from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,AT,RH,WS,WD,VWS,BP,SR,RF,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
20-Jan-2020 - 00:00,61.42,105.62,40.29,36.76,77.13,13.52,14.15,0.76,33.88,19.33,72.04,0.12,149.59,0.02,,117.56,0.0,9.59,13.95,1.6,3.11,21-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
21-Jan-2020 - 00:00,74.74,143.43,48.26,71.36,119.72,11.09,16.12,1.1,30.9,18.85,69.34,0.12,148.31,0.01,,148.72,0.0,18.78,28.88,5.41,7.96,22-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
22-Jan-2020 - 00:00,109.3,201.57,55.73,98.23,154.55,8.65,15.09,1.4,29.34,19.44,74.66,0.11,187.01,0.02,,131.66,0.0,27.93,36.93,6.88,10.99,23-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
23-Jan-2020 - 00:00,97.98,175.65,49.78,44.36,95.23,11.31,16.93,1.0,31.12,20.1,76.2,0.09,194.12,0.02,,71.24,0.0,18.21,19.78,2.95,5.16,24-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
24-Jan-2020 - 00:00,75.45,156.36,62.78,66.93,130.32,12.81,18.44,1.09,28.95,19.06,59.15,0.11,191.65,0.01,,91.92,0.0,22.28,26.31,4.37,7.53,25-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
25-Jan-2020 - 00:00,59.03,123.59,60.94,50.33,111.28,13.35,16.58,0.88,42.44,18.2,55.78,0.1,204.92,0.01,,84.53,0.0,16.12,22.03,2.77,5.49,26-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
26-Jan-2020 - 00:00,100.19,199.54,79.62,71.19,150.84,11.33,18.48,1.26,35.79,18.67,65.43,0.11,213.73,0.02,,319.15,0.0,21.64,32.22,5.69,9.42,27-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
27-Jan-2020 - 00:00,104.33,210.35,74.18,63.83,138.02,11.41,13.63,1.29,35.3,18.61,66.01,0.11,201.59,0.01,,153.88,0.0,17.9,29.84,4.82,8.75,28-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
28-Jan-2020 - 00:00,89.08,158.03,51.41,31.87,83.28,7.57,15.91,0.7,51.4,20.24,70.11,0.17,143.11,0.01,,143.36,0.0,15.85,15.63,2.02,4.38,29-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
29-Jan-2020 - 00:00,45.28,72.98,31.75,44.16,65.21,7.97,10.95,0.46,52.73,21.04,86.62,0.39,103.23,0.04,,85.94,0.04,4.58,6.25,0.41,1.05,30-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
30-Jan-2020 - 00:00,60.75,93.13,46.46,37.21,83.68,10.66,10.1,1.05,27.63,20.42,92.82,0.15,128.35,0.03,,52.88,0.0,15.58,19.02,3.37,5.32,31-Jan-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
31-Jan-2020 - 00:00,69.32,133.13,58.81,50.97,112.33,11.61,13.98,0.95,28.04,20.04,73.25,0.1,189.41,0.02,,154.43,0.0,19.12,27.96,4.14,7.16,01-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
01-Feb-2020 - 00:00,63.12,126.65,66.23,56.97,123.21,12.22,14.84,0.94,34.87,19.61,62.87,0.12,155.04,0.02,,172.12,0.0,20.67,31.9,4.13,7.24,02-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
02-Feb-2020 - 00:00,61.99,158.08,72.01,66.76,138.81,10.98,15.71,0.99,34.61,19.13,57.83,0.1,187.23,0.02,,182.7,0.0,13.64,22.62,3.54,7.29,03-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
03-Feb-2020 - 00:00,59.44,136.2,66.49,59.02,125.48,12.09,12.55,0.94,37.34,18.8,52.29,0.11,182.29,0.01,,208.51,0.0,16.35,22.8,3.36,6.89,04-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
04-Feb-2020 - 00:00,71.99,168.24,71.94,60.24,132.22,11.24,20.71,0.99,35.65,19.45,55.2,0.11,161.18,0.02,,184.24,0.0,19.32,27.51,4.48,7.41,05-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
05-Feb-2020 - 00:00,87.67,176.04,64.25,51.66,115.91,9.69,28.33,0.88,44.08,21.05,64.49,0.12,187.18,0.03,,142.27,0.0,16.47,21.19,4.3,6.44,06-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
06-Feb-2020 - 00:00,65.42,134.6,59.21,46.76,105.51,9.9,15.15,0.91,34.78,21.01,66.81,0.13,151.89,0.02,,149.84,0.0,16.72,21.19,2.66,5.16,07-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
07-Feb-2020 - 00:00,72.88,147.65,51.88,37.42,89.31,9.82,14.49,0.75,33.68,20.34,58.24,0.16,141.24,0.02,,75.15,0.0,16.04,19.79,3.09,4.73,08-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
08-Feb-2020 - 00:00,99.67,209.06,58.41,42.94,101.35,9.01,23.05,0.98,12.49,18.9,67.95,0.12,174.09,0.02,,36.9,0.0,13.96,18.59,2.79,4.27,09-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
09-Feb-2020 - 00:00,82.46,160.54,62.2,50.69,112.9,9.4,18.9,0.89,36.85,20.36,60.92,0.13,198.73,0.02,,183.77,0.0,9.4,15.62,1.73,3.98,10-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
10-Feb-2020 - 00:00,81.0,180.01,71.27,65.98,137.28,11.2,19.4,1.13,35.84,19.44,57.14,0.12,204.92,0.02,,196.37,0.0,15.51,26.27,3.68,7.42,11-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
11-Feb-2020 - 00:00,92.22,203.72,94.31,101.71,196.06,11.32,20.29,1.49,33.89,19.89,56.11,0.11,194.61,0.02,,203.24,0.0,32.36,35.75,6.01,11.52,12-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
12-Feb-2020 - 00:00,95.57,208.09,103.61,123.87,218.65,10.21,17.76,1.74,34.23,20.0,57.45,0.13,202.94,0.01,,200.01,0.0,28.37,43.36,8.22,14.49,13-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
13-Feb-2020 - 00:00,85.75,177.72,72.16,62.18,134.38,8.96,15.0,1.1,36.94,20.79,55.96,0.14,212.95,0.02,,189.06,0.0,19.87,26.26,4.38,8.16,14-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
14-Feb-2020 - 00:00,78.28,153.41,62.9,51.32,114.23,6.94,14.63,0.81,40.57,22.31,61.23,0.14,213.6,0.01,,189.91,0.0,15.45,21.38,3.22,6.59,15-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
15-Feb-2020 - 00:00,55.82,135.61,61.8,53.86,115.68,9.13,12.11,0.98,36.78,22.47,56.44,0.18,206.18,0.02,,209.46,0.0,11.65,15.85,3.64,6.09,16-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
16-Feb-2020 - 00:00,75.66,171.98,65.71,54.85,120.58,7.86,16.71,0.84,39.37,22.81,58.16,0.12,178.01,0.02,,175.11,0.0,13.93,18.21,3.17,6.05,17-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
17-Feb-2020 - 00:00,81.18,166.48,69.18,60.67,130.32,8.33,14.82,1.0,38.11,23.01,62.09,0.13,167.63,0.02,,170.1,0.0,13.64,18.57,4.25,7.07,18-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
18-Feb-2020 - 00:00,72.9,143.15,48.08,40.06,87.7,5.11,15.14,0.66,48.73,23.34,71.17,0.13,217.67,0.02,,178.7,0.0,10.47,13.54,1.96,3.69,19-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
19-Feb-2020 - 00:00,61.22,109.06,48.69,28.37,73.79,6.45,28.06,0.46,35.11,23.47,76.1,0.16,184.52,0.03,,184.66,0.0,6.92,8.36,0.87,2.05,20-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
20-Feb-2020 - 00:00,48.27,83.07,38.87,24.08,62.94,5.68,20.58,0.47,49.49,24.19,72.49,0.13,194.48,0.02,,170.83,0.0,3.87,6.51,0.78,1.66,21-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
21-Feb-2020 - 00:00,65.06,163.44,65.32,63.54,132.59,11.89,16.4,1.17,38.84,24.09,66.46,0.14,180.93,0.03,,181.32,0.0,14.12,20.96,3.81,6.78,22-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
22-Feb-2020 - 00:00,89.13,182.76,65.96,56.84,122.76,9.36,24.3,1.07,46.83,24.59,55.95,0.1,184.03,0.02,,187.98,0.0,23.04,26.97,5.07,8.35,23-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
23-Feb-2020 - 00:00,77.59,173.54,56.32,45.11,103.64,6.53,18.09,0.69,39.04,24.93,61.01,0.18,137.43,0.02,,165.62,0.0,12.58,16.41,3.07,5.19,24-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
24-Feb-2020 - 00:00,91.44,187.77,61.85,49.79,111.64,5.34,19.12,0.92,24.27,23.28,70.97,0.14,173.54,0.02,,81.43,0.0,15.87,19.86,3.74,6.29,25-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
25-Feb-2020 - 00:00,63.04,117.74,55.36,38.86,94.23,4.32,10.32,0.62,14.43,20.54,84.73,0.17,171.48,0.03,,43.35,0.04,12.84,15.06,3.99,4.82,26-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
26-Feb-2020 - 00:00,34.89,73.7,46.48,28.54,75.23,6.36,13.36,0.4,34.6,22.28,74.25,0.19,161.45,0.03,,159.87,0.0,6.45,10.57,1.85,2.73,27-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
27-Feb-2020 - 00:00,38.59,95.55,55.6,43.67,99.29,8.31,16.64,0.78,36.02,22.99,70.43,0.15,176.83,0.02,,155.96,0.0,17.42,19.68,2.52,4.67,28-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
28-Feb-2020 - 00:00,59.08,131.69,52.31,39.78,93.47,8.29,16.12,0.63,44.18,23.17,63.37,0.14,167.42,0.03,,165.32,0.0,12.03,16.74,2.05,3.74,29-Feb-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
29-Feb-2020 - 00:00,65.23,137.96,74.35,64.15,137.91,8.24,15.83,1.03,36.29,23.75,58.21,0.12,171.1,0.02,,212.91,0.0,20.25,25.92,4.25,6.95,01-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
01-Mar-2020 - 00:00,71.22,157.91,62.81,51.19,114.02,5.58,18.29,0.84,45.0,24.71,64.37,0.11,202.66,0.02,,186.31,0.0,14.08,17.15,2.96,6.07,02-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
02-Mar-2020 - 00:00,73.51,149.46,35.71,27.64,63.17,7.2,16.14,0.64,43.1,25.82,65.73,0.12,213.87,0.02,,185.08,0.0,11.75,11.38,1.95,4.55,03-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
03-Mar-2020 - 00:00,65.55,127.16,12.61,8.69,20.31,11.65,11.67,0.54,54.32,24.83,73.17,0.27,164.64,0.03,,172.72,0.03,8.16,8.9,1.01,1.93,04-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
04-Mar-2020 - 00:00,38.43,69.55,13.24,7.7,20.94,17.77,11.03,0.4,38.73,24.07,77.43,0.22,177.05,0.02,,170.25,0.06,4.35,6.06,0.71,1.47,05-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
05-Mar-2020 - 00:00,27.28,51.12,12.7,14.96,27.2,22.65,8.13,0.46,31.83,22.97,78.68,0.22,178.95,0.02,,169.87,0.09,6.72,9.1,1.36,2.39,06-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
06-Mar-2020 - 00:00,30.17,47.24,11.85,9.59,21.31,18.64,6.93,0.41,22.5,24.69,78.58,0.24,143.4,0.03,,140.87,0.0,7.18,6.62,0.82,1.91,07-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
07-Mar-2020 - 00:00,26.75,49.32,8.32,9.12,17.44,17.54,6.87,0.5,24.27,24.01,86.77,0.26,136.47,0.03,,117.56,0.05,5.53,6.86,0.93,1.98,08-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
08-Mar-2020 - 00:00,28.32,73.13,8.27,13.87,22.13,17.29,8.14,0.77,30.98,25.28,74.68,0.2,222.75,0.02,,205.26,0.02,7.58,9.5,1.54,3.91,09-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
09-Mar-2020 - 00:00,39.89,98.4,8.95,11.76,20.71,17.6,9.92,0.59,47.72,25.13,56.47,0.14,171.77,0.01,,242.64,0.0,8.35,10.46,1.78,3.72,10-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
10-Mar-2020 - 00:00,52.33,122.67,9.2,11.82,21.02,17.29,11.24,0.75,52.45,25.39,57.71,0.17,182.82,0.02,,227.25,0.0,12.31,12.34,2.2,4.7,11-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
11-Mar-2020 - 00:00,48.04,97.27,8.3,10.5,18.8,17.25,15.22,0.47,60.77,27.08,62.29,0.2,210.03,0.02,,196.69,0.0,5.18,7.23,1.41,2.15,12-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
12-Mar-2020 - 00:00,52.2,106.97,9.79,9.86,19.65,17.26,10.43,0.54,36.77,27.27,68.44,0.18,184.47,0.02,,196.27,0.0,6.74,8.16,1.16,2.12,13-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
13-Mar-2020 - 00:00,49.86,101.65,27.18,17.27,23.06,14.05,12.71,0.73,42.83,28.45,65.92,0.21,159.92,0.03,,219.22,0.0,8.72,10.94,1.77,3.19,14-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
14-Mar-2020 - 00:00,44.07,92.77,16.28,34.59,33.94,16.56,9.88,0.25,56.01,26.94,57.57,0.43,57.63,0.02,,221.67,0.0,6.46,7.2,0.85,1.53,15-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
15-Mar-2020 - 00:00,26.93,53.08,16.13,12.06,21.87,17.08,13.06,0.41,41.96,25.51,61.45,0.17,151.69,0.01,,239.06,0.0,4.62,7.48,0.93,1.77,16-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
16-Mar-2020 - 00:00,52.94,106.12,18.69,15.18,33.89,18.15,20.09,0.69,37.93,27.15,63.49,0.12,176.91,0.02,,178.69,0.0,11.89,13.55,2.15,3.8,17-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
17-Mar-2020 - 00:00,48.71,107.53,15.91,13.79,29.69,17.13,11.34,0.62,53.64,27.64,58.76,0.26,121.79,0.03,,204.21,0.02,9.18,9.87,1.51,3.48,18-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
18-Mar-2020 - 00:00,68.88,138.47,18.03,16.64,34.66,17.33,16.07,0.7,55.97,27.46,55.39,0.24,166.97,0.02,,193.28,0.0,10.24,14.14,3.35,4.39,19-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
19-Mar-2020 - 00:00,85.16,135.24,18.5,15.85,34.35,17.64,18.24,0.51,68.51,27.36,53.45,0.17,170.11,0.02,,205.92,0.0,12.6,13.85,2.38,4.02,20-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
20-Mar-2020 - 00:00,43.06,79.02,17.43,14.8,32.23,17.29,14.38,0.58,56.21,27.15,51.05,0.25,227.43,0.01,,245.59,0.0,9.83,13.5,2.59,3.67,21-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
21-Mar-2020 - 00:00,42.33,64.79,13.59,11.34,24.91,16.26,17.09,0.23,56.2,27.61,64.8,0.21,162.49,0.03,,235.41,0.0,4.21,5.41,0.56,1.21,22-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
22-Mar-2020 - 00:00,16.07,25.94,13.35,8.97,17.0,16.24,8.62,0.22,60.52,25.29,63.31,0.32,140.31,0.03,,253.88,0.01,1.7,3.45,0.36,0.56,23-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
23-Mar-2020 - 00:00,31.25,50.82,12.13,9.84,21.96,16.92,11.44,0.33,64.01,26.97,67.97,0.22,140.95,0.03,,214.09,0.0,3.36,4.17,0.51,0.91,24-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
24-Mar-2020 - 00:00,36.11,49.17,11.36,9.5,20.86,16.75,11.2,0.31,49.11,27.47,68.74,0.21,127.82,0.03,,202.54,0.0,3.95,3.41,0.45,0.83,25-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
25-Mar-2020 - 00:00,50.39,68.64,11.17,9.48,20.64,17.04,14.31,0.3,43.04,28.14,72.33,0.15,208.91,0.02,,212.31,0.0,3.12,3.77,0.53,0.94,26-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
26-Mar-2020 - 00:00,23.9,56.88,11.21,9.57,20.76,16.93,6.8,0.34,46.28,29.73,59.29,0.17,222.98,0.02,,251.64,0.0,3.4,3.08,0.44,1.01,27-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
27-Mar-2020 - 00:00,9.44,79.7,10.74,9.46,20.19,17.32,13.23,0.31,58.84,30.63,53.04,0.13,242.12,0.02,,253.9,0.0,3.66,2.61,0.32,0.75,28-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
28-Mar-2020 - 00:00,,72.79,9.88,16.91,25.74,17.83,11.86,0.34,62.73,31.34,53.59,0.15,248.22,0.02,,242.1,0.0,3.72,2.63,0.38,0.81,29-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
29-Mar-2020 - 00:00,,63.41,10.79,7.24,18.02,17.2,9.98,0.33,72.82,30.76,48.15,0.18,226.68,0.01,,262.46,0.0,3.69,2.51,0.32,0.66,30-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
30-Mar-2020 - 00:00,,67.11,10.56,9.09,19.65,17.51,11.35,0.31,74.4,30.43,44.36,0.15,217.22,0.02,,262.16,0.0,3.8,2.82,0.39,0.81,31-Mar-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
31-Mar-2020 - 00:00,,68.78,10.63,9.17,19.79,17.53,9.9,0.31,73.09,30.74,44.62,0.14,204.15,0.02,,256.7,0.0,3.73,3.03,0.39,0.89,01-Apr-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
01-Apr-2020 - 00:00,,73.21,10.2,9.06,19.27,17.19,9.74,0.35,64.38,30.59,65.51,0.16,232.13,0.02,,239.14,0.0,2.62,2.02,0.26,0.64,02-Apr-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
02-Apr-2020 - 00:00,,55.78,10.29,8.84,19.09,17.05,6.77,0.29,54.87,30.19,67.47,0.15,178.19,0.03,,240.56,0.0,2.08,1.9,0.25,0.5,03-Apr-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
03-Apr-2020 - 00:00,,69.0,9.89,9.4,19.28,17.57,6.07,0.41,57.81,31.33,62.78,0.1,187.14,0.02,,222.01,0.0,3.3,2.5,0.36,0.79,04-Apr-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
04-Apr-2020 - 00:00,,92.52,10.09,9.82,19.92,17.34,9.28,0.35,75.81,31.65,51.38,0.2,150.87,0.03,,232.54,0.0,4.22,2.54,0.34,0.75,05-Apr-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
05-Apr-2020 - 00:00,68.11,73.29,7.95,20.6,27.86,18.06,7.31,0.37,62.6,31.04,63.83,0.14,228.13,0.02,,205.2,0.0,2.85,1.93,0.22,0.48,06-Apr-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
06-Apr-2020 - 00:00,35.21,68.87,10.0,8.77,18.82,17.72,7.19,0.31,47.51,31.44,54.69,0.13,229.08,0.02,,265.39,0.0,3.03,2.59,0.32,0.77,07-Apr-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
07-Apr-2020 - 00:00,36.11,72.81,9.61,8.56,18.19,17.64,10.29,0.31,56.76,31.01,60.82,0.16,225.22,0.02,,242.73,0.0,2.34,1.81,0.18,0.43,08-Apr-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
08-Apr-2020 - 00:00,21.55,45.55,9.43,8.32,17.74,17.79,7.71,0.27,57.91,30.04,52.69,0.18,216.39,0.02,,168.29,0.0,1.99,1.87,0.18,0.42,09-Apr-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
09-Apr-2020 - 00:00,17.57,43.17,9.38,7.86,17.26,18.27,10.39,0.25,76.44,29.73,47.24,0.16,177.34,0.03,,38.38,0.0,1.86,1.99,0.19,0.36,10-Apr-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
10-Apr-2020 - 00:00,,,,,,,,0.27,,,,,,,,,,,,,,11-Apr-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
11-Apr-2020 - 00:00,22.21,44.69,8.38,7.47,15.89,18.29,5.95,0.26,50.2,31.29,60.02,0.25,165.69,0.04,,,0.0,1.61,1.36,0.13,0.29,12-Apr-2020 - 00:00,"Rabindra Sarobar, Kolkata - WBPCB"
