from date,Benzene,Eth-Benzene,MP-Xylene,Toluene,PM10,PM2.5,RH,SR,WD,WS,Temp,CO,NH3,NO,NO2,NOx,O Xylene,SO2,Ozone,to date,station
05-Feb-2020 - 00:00,11.02,9.59,1.5,11.05,105.37,53.74,46.32,,134.59,0.46,21.53,0.48,38.79,2.95,34.49,19.78,3.93,6.17,7.82,06-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
06-Feb-2020 - 00:00,3.48,0.58,0.05,2.38,79.57,43.23,46.56,179.31,117.59,0.75,21.65,0.5,,,,,0.25,27.74,,07-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
07-Feb-2020 - 00:00,2.02,0.04,0.01,1.03,63.51,42.56,44.95,88.72,98.65,0.89,20.98,0.42,37.1,4.64,47.91,28.14,0.05,14.48,,08-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
08-Feb-2020 - 00:00,1.64,0.1,0.01,0.86,62.34,37.91,47.52,209.22,93.9,0.86,21.69,0.4,27.03,3.79,31.43,18.81,0.07,6.25,,09-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
09-Feb-2020 - 00:00,1.08,0.0,0.0,0.26,57.97,34.53,41.02,,84.65,0.74,18.8,0.21,29.79,3.84,31.6,19.06,0.0,4.79,,10-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
10-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,11-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
11-Feb-2020 - 00:00,8.87,7.34,1.29,7.2,99.72,57.02,53.11,325.13,144.92,0.55,24.73,1.67,23.36,39.49,72.13,68.63,3.17,22.04,,12-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
12-Feb-2020 - 00:00,3.69,2.29,0.3,3.23,78.14,47.01,50.36,279.12,142.48,0.44,23.4,0.66,24.18,18.28,52.92,41.61,1.26,12.37,,13-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
13-Feb-2020 - 00:00,4.11,0.59,0.03,2.63,81.08,53.65,53.97,332.81,163.56,0.39,25.28,0.07,23.82,44.91,56.39,64.94,0.24,3.52,,14-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
14-Feb-2020 - 00:00,,,,,,,51.56,348.2,178.65,0.45,24.24,,23.29,10.01,45.62,31.26,,,,15-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
15-Feb-2020 - 00:00,,,,,,,53.14,328.11,132.85,0.47,25.7,,20.57,36.99,66.88,63.99,,,,16-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
16-Feb-2020 - 00:00,,,,,,,48.56,394.29,146.24,0.58,23.56,,22.61,6.71,41.37,26.32,,,,17-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
17-Feb-2020 - 00:00,14.04,16.53,2.93,18.4,,,46.0,46.65,204.47,0.37,22.59,2.71,39.94,116.06,112.35,150.87,7.48,18.14,,18-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
18-Feb-2020 - 00:00,5.88,5.12,0.72,5.32,52.55,23.88,47.07,363.86,165.39,0.51,22.99,0.9,27.55,10.59,46.58,32.81,2.08,21.25,50.11,19-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
19-Feb-2020 - 00:00,6.2,4.28,0.62,5.28,63.98,34.78,51.09,341.17,168.63,0.47,23.7,1.0,22.84,72.4,105.17,112.44,1.75,13.34,46.13,20-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
20-Feb-2020 - 00:00,5.96,3.74,0.4,6.33,77.11,44.27,55.79,332.62,158.68,0.51,26.09,0.83,22.93,6.21,44.24,27.56,1.54,11.03,30.51,21-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
21-Feb-2020 - 00:00,3.93,1.84,0.17,3.89,79.23,45.42,53.57,283.27,177.56,0.51,25.16,0.7,23.94,3.56,27.44,15.99,0.8,7.83,20.31,22-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
22-Feb-2020 - 00:00,5.5,4.45,0.58,5.06,,,58.81,308.11,174.71,0.53,27.89,,20.81,20.05,53.29,43.24,1.74,,,23-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
23-Feb-2020 - 00:00,2.47,0.43,0.04,1.9,,,54.65,340.05,163.93,0.52,26.04,0.2,22.41,3.08,36.77,22.79,0.18,,,24-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
24-Feb-2020 - 00:00,3.17,1.05,0.08,2.32,64.72,38.83,50.08,203.61,144.17,0.63,26.16,1.24,28.72,8.36,55.23,34.57,0.55,12.24,42.84,25-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
25-Feb-2020 - 00:00,2.66,0.17,0.01,1.76,64.62,37.39,41.18,171.08,152.04,0.39,24.81,0.7,21.97,10.4,40.8,28.31,0.48,10.69,55.74,26-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
26-Feb-2020 - 00:00,3.55,1.79,0.23,2.77,54.7,28.56,45.3,269.89,153.71,0.51,26.73,1.01,23.75,26.96,59.09,49.16,0.89,33.06,57.98,27-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
27-Feb-2020 - 00:00,5.51,0.18,0.01,5.57,71.03,36.84,45.49,63.38,149.19,0.48,25.88,1.11,25.48,16.04,94.41,60.85,0.98,56.71,34.86,28-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
28-Feb-2020 - 00:00,6.97,0.56,0.02,5.68,79.71,43.11,43.47,179.96,170.13,0.53,25.02,1.2,24.12,21.71,64.31,50.37,1.64,17.43,46.18,29-Feb-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
29-Feb-2020 - 00:00,6.15,0.74,0.03,5.08,77.6,42.39,49.69,246.18,166.62,0.6,27.9,1.12,20.88,19.41,58.74,45.56,1.53,19.9,67.87,01-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
01-Mar-2020 - 00:00,4.93,3.28,0.66,6.17,74.04,42.63,45.32,201.97,169.59,0.58,26.02,0.6,20.9,7.09,46.85,29.4,2.95,13.69,54.0,02-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
02-Mar-2020 - 00:00,4.89,1.69,0.15,6.93,75.68,30.72,47.28,210.38,171.02,0.54,27.08,1.12,21.6,21.63,51.98,43.59,3.54,11.72,49.26,03-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
03-Mar-2020 - 00:00,4.58,0.81,0.05,5.23,71.97,37.22,50.19,221.71,201.56,0.47,28.58,0.99,23.12,18.44,59.35,43.92,1.47,10.61,49.69,04-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
04-Mar-2020 - 00:00,2.04,0.01,0.0,1.19,57.63,25.95,46.82,224.16,193.43,0.47,26.96,0.57,21.05,6.42,43.88,26.92,0.09,12.74,57.5,05-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
05-Mar-2020 - 00:00,6.43,2.05,0.27,6.66,77.23,34.02,49.12,190.52,195.82,0.49,28.12,1.77,23.11,35.72,76.67,67.88,2.19,11.72,50.57,06-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
06-Mar-2020 - 00:00,4.4,0.16,0.01,3.72,70.46,27.96,45.46,185.07,207.37,0.56,26.44,0.82,22.8,11.74,60.0,40.18,0.71,2.07,31.85,07-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
07-Mar-2020 - 00:00,4.18,0.15,0.01,3.36,108.2,46.37,45.02,198.06,176.33,0.49,26.37,0.88,18.96,17.45,54.35,41.92,0.78,10.44,28.09,08-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
08-Mar-2020 - 00:00,0.82,0.01,0.0,0.37,73.31,24.34,45.71,234.16,139.4,0.64,26.65,0.28,18.94,3.76,30.23,18.33,0.03,5.57,60.5,09-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
09-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,10-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
10-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,11-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
11-Mar-2020 - 00:00,7.0,0.21,0.0,4.77,51.34,25.56,49.32,112.09,194.32,0.48,28.65,1.56,18.98,26.69,70.22,57.62,1.37,2.03,19.49,12-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
12-Mar-2020 - 00:00,3.25,0.1,0.0,2.13,45.82,23.03,48.21,197.86,179.26,0.48,28.06,0.6,22.8,10.58,47.93,33.0,0.53,3.58,38.31,13-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
13-Mar-2020 - 00:00,1.6,0.01,0.0,1.0,55.82,27.89,42.86,90.53,180.85,0.31,25.59,0.33,22.31,5.2,35.41,21.16,0.02,1.52,8.49,14-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
14-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,15-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
15-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,16-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
16-Mar-2020 - 00:00,5.48,0.17,0.0,3.09,80.71,47.08,51.81,249.63,128.38,0.56,29.92,1.07,35.94,10.9,66.99,43.17,0.94,5.69,67.68,17-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
17-Mar-2020 - 00:00,5.08,0.02,0.0,1.19,66.76,30.98,48.08,201.91,139.23,0.55,28.28,0.81,39.23,6.02,48.56,29.49,0.07,5.54,64.65,18-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
18-Mar-2020 - 00:00,3.91,1.98,0.0,3.48,53.2,26.24,44.29,170.23,134.82,0.59,27.48,0.79,28.19,8.0,51.64,32.27,3.52,5.06,33.92,19-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
19-Mar-2020 - 00:00,4.32,1.36,0.0,3.44,45.13,23.74,46.69,227.02,178.19,0.63,28.31,0.97,44.68,5.52,51.21,30.47,3.13,1.9,39.95,20-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
20-Mar-2020 - 00:00,1.51,0.01,0.0,0.61,46.34,25.33,52.21,284.22,125.71,0.79,30.27,0.86,41.62,3.92,43.95,25.35,0.06,4.43,77.71,21-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
21-Mar-2020 - 00:00,2.4,0.03,0.0,0.95,48.76,24.53,46.55,207.64,168.22,0.41,27.62,0.59,20.05,2.74,37.48,20.76,0.22,2.36,54.38,22-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
22-Mar-2020 - 00:00,1.06,0.0,0.0,0.27,48.77,22.36,45.92,114.88,173.8,0.46,27.18,0.3,16.95,2.08,28.67,15.7,0.02,6.69,55.85,23-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
23-Mar-2020 - 00:00,2.04,0.02,0.0,0.77,48.7,22.93,48.98,206.29,177.56,0.45,28.5,0.43,15.99,2.68,23.85,13.76,0.13,2.32,59.17,24-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
24-Mar-2020 - 00:00,1.41,0.0,0.0,0.31,51.24,26.16,49.79,207.75,189.73,0.43,29.0,0.41,19.44,2.91,22.58,13.3,0.01,1.75,54.83,25-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
25-Mar-2020 - 00:00,0.63,0.0,0.0,0.08,42.26,18.55,49.79,217.93,168.57,0.61,29.05,1.04,15.39,3.08,14.74,9.76,0.0,1.79,45.96,26-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
26-Mar-2020 - 00:00,1.69,0.0,0.0,0.38,46.88,22.29,46.46,177.72,160.38,0.47,27.75,0.21,58.29,3.65,38.6,22.46,0.03,1.2,45.74,27-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
27-Mar-2020 - 00:00,1.63,0.0,0.0,0.28,50.18,27.72,50.3,215.53,197.66,0.46,30.21,0.43,61.81,3.53,30.85,18.37,0.01,1.55,40.11,28-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
28-Mar-2020 - 00:00,0.89,0.0,0.0,0.13,42.22,22.51,51.49,255.08,125.68,0.56,30.9,0.39,48.11,3.31,29.01,17.03,0.0,4.49,50.53,29-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
29-Mar-2020 - 00:00,1.16,0.0,0.0,0.24,40.96,22.03,50.46,247.59,157.31,0.51,30.59,0.3,42.22,3.35,22.77,13.66,0.0,1.41,46.73,30-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
30-Mar-2020 - 00:00,1.74,0.0,0.0,0.34,33.86,18.42,52.11,283.31,183.81,0.48,31.41,0.48,35.78,3.28,28.58,17.04,0.01,0.88,47.86,31-Mar-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
31-Mar-2020 - 00:00,0.76,0.0,0.0,0.15,31.72,15.97,51.76,244.84,193.78,0.49,31.46,0.31,33.56,3.47,20.61,13.07,0.0,0.94,60.88,01-Apr-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
01-Apr-2020 - 00:00,1.17,0.0,0.0,0.26,33.78,16.69,52.6,232.05,200.68,0.41,32.0,0.37,31.54,3.13,21.98,13.41,0.0,1.03,51.03,02-Apr-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
02-Apr-2020 - 00:00,0.05,0.0,0.0,0.0,46.42,22.27,53.0,219.85,182.56,0.45,32.13,0.36,19.54,2.46,17.19,10.42,0.0,1.38,58.89,03-Apr-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
03-Apr-2020 - 00:00,0.0,0.0,0.0,0.0,56.19,24.06,52.23,199.84,134.58,0.63,31.74,0.28,18.83,2.34,12.16,7.52,0.0,2.14,71.51,04-Apr-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
04-Apr-2020 - 00:00,0.0,0.0,0.0,0.0,50.61,27.01,50.37,227.12,141.04,0.61,30.94,0.34,24.09,2.62,12.07,7.78,0.0,1.66,61.47,05-Apr-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
05-Apr-2020 - 00:00,0.0,0.0,0.0,0.0,35.58,20.97,50.69,261.09,128.57,0.52,31.0,0.63,100.49,8.54,52.11,33.42,0.0,1.37,45.34,06-Apr-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
06-Apr-2020 - 00:00,0.5,0.0,0.0,0.11,29.9,22.31,46.31,37.74,151.59,0.48,29.88,2.22,43.98,7.37,21.96,19.76,0.0,2.02,69.9,07-Apr-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
07-Apr-2020 - 00:00,1.35,0.0,0.0,0.42,46.47,27.16,52.46,209.88,185.63,0.43,32.08,0.38,22.81,2.35,16.99,10.11,0.01,1.06,54.68,08-Apr-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
08-Apr-2020 - 00:00,0.69,0.0,0.0,0.18,40.74,18.53,51.45,225.52,198.11,0.47,32.41,0.58,23.67,3.36,15.42,10.17,0.0,1.15,65.59,09-Apr-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
09-Apr-2020 - 00:00,2.4,0.01,0.0,0.76,55.29,24.82,49.02,221.0,184.71,0.44,31.95,0.6,24.96,3.47,25.09,15.42,0.07,3.84,69.29,10-Apr-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
10-Apr-2020 - 00:00,1.88,0.01,0.0,0.72,54.32,23.62,50.46,225.44,154.03,0.49,32.73,0.47,28.14,3.26,19.55,12.34,0.03,2.02,61.9,11-Apr-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
11-Apr-2020 - 00:00,1.56,2.47,0.0,0.11,47.72,20.83,50.68,220.63,164.58,0.48,32.95,0.46,26.65,3.36,21.07,13.2,0.0,2.26,68.02,12-Apr-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
12-Apr-2020 - 00:00,1.9,4.35,0.07,10.0,59.56,24.35,51.84,217.03,186.31,0.42,33.74,0.5,27.21,3.82,18.83,12.48,0.07,1.64,64.28,13-Apr-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
13-Apr-2020 - 00:00,1.93,4.35,0.09,10.0,60.46,28.09,52.39,187.92,163.05,0.39,34.11,0.63,27.54,3.65,24.4,15.12,0.09,1.54,64.02,14-Apr-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
14-Apr-2020 - 00:00,1.91,4.34,0.07,10.0,54.48,24.31,52.4,207.82,167.63,0.52,34.18,0.44,26.41,3.39,17.78,11.54,0.07,1.48,67.81,15-Apr-2020 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
