from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,WS,WD,AT,RH,RF,to date,station
03-Mar-2020 - 00:00,13.5,80.5,12.41,12.4,24.81,17.04,5.65,0.52,18.91,0.81,197.3,33.58,80.95,0.02,04-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
04-Mar-2020 - 00:00,16.08,91.44,12.28,12.39,24.66,17.13,6.43,0.51,20.63,1.15,205.5,31.32,80.07,0.06,05-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
05-Mar-2020 - 00:00,12.23,94.71,12.01,12.9,24.92,17.06,6.34,0.51,14.61,0.91,207.58,30.55,82.94,0.41,06-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
06-Mar-2020 - 00:00,13.15,73.13,11.32,13.44,24.76,17.0,5.43,0.46,16.72,0.94,196.38,31.59,75.46,0.0,07-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
07-Mar-2020 - 00:00,20.74,84.83,11.32,14.3,25.62,17.01,5.86,0.46,15.67,0.69,180.81,31.7,74.02,0.0,08-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
08-Mar-2020 - 00:00,9.55,74.48,10.95,13.26,24.21,17.06,5.93,0.43,19.37,0.77,201.84,31.81,75.91,0.0,09-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
09-Mar-2020 - 00:00,4.9,65.0,11.16,11.97,23.13,17.11,5.51,0.39,22.59,1.07,185.89,31.67,77.37,0.0,10-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
10-Mar-2020 - 00:00,15.39,76.95,11.14,12.02,23.16,17.13,6.88,0.45,27.87,1.04,184.61,31.38,76.8,0.0,11-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
11-Mar-2020 - 00:00,16.83,74.1,10.69,11.77,22.47,17.19,5.41,0.35,24.54,1.09,221.82,31.77,76.47,0.0,12-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
12-Mar-2020 - 00:00,13.19,66.03,10.51,11.97,22.47,17.12,5.54,0.37,25.94,1.09,249.82,30.65,82.67,0.37,13-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
13-Mar-2020 - 00:00,22.73,70.15,10.57,12.04,22.6,17.13,5.38,0.32,26.67,1.14,214.71,31.41,75.63,0.0,14-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
14-Mar-2020 - 00:00,8.04,84.14,10.92,12.36,23.28,16.99,5.34,0.34,28.92,0.89,191.74,31.13,75.76,0.0,15-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
15-Mar-2020 - 00:00,12.05,83.9,10.91,12.61,23.51,17.05,5.67,0.33,34.51,0.84,180.28,31.22,74.26,0.0,16-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
16-Mar-2020 - 00:00,13.37,93.83,10.86,11.91,22.77,17.08,5.57,0.34,36.01,0.88,195.71,31.59,73.4,0.0,17-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
17-Mar-2020 - 00:00,8.23,97.09,11.3,12.02,23.32,16.97,5.19,0.27,35.14,0.83,183.94,31.63,74.12,0.0,18-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
18-Mar-2020 - 00:00,7.54,93.14,11.53,12.81,23.61,17.0,5.55,0.29,32.01,0.94,225.2,31.01,71.31,0.0,19-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
19-Mar-2020 - 00:00,12.22,87.09,11.3,12.74,23.02,16.97,5.23,0.32,25.6,0.97,175.91,30.39,74.75,0.0,20-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
20-Mar-2020 - 00:00,22.22,85.26,10.97,12.05,23.02,16.93,5.13,0.24,24.9,0.92,180.05,30.05,73.78,0.0,21-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
21-Mar-2020 - 00:00,5.41,80.41,10.99,12.05,23.04,16.94,6.11,0.31,24.12,0.98,167.69,29.99,74.72,0.0,22-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
22-Mar-2020 - 00:00,9.4,69.75,10.39,11.69,22.08,17.03,6.58,0.33,32.26,0.88,182.31,30.04,73.34,0.0,23-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
23-Mar-2020 - 00:00,9.2,79.2,10.36,11.95,22.3,17.04,6.62,0.36,24.36,0.78,168.37,30.39,73.3,0.0,24-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
24-Mar-2020 - 00:00,12.83,66.3,9.72,11.73,21.46,17.41,4.89,0.25,28.68,0.87,194.55,30.28,74.89,0.0,25-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
25-Mar-2020 - 00:00,8.86,51.39,9.7,11.73,21.44,17.12,5.32,0.36,27.5,0.81,187.36,29.99,76.45,0.0,26-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
26-Mar-2020 - 00:00,16.8,66.34,9.66,11.72,21.37,17.06,5.27,0.33,28.61,0.68,173.26,30.19,72.44,0.0,27-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
27-Mar-2020 - 00:00,6.52,79.88,9.56,11.68,21.24,17.03,5.64,0.33,29.72,0.82,174.98,30.68,69.8,0.0,28-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
28-Mar-2020 - 00:00,13.94,72.53,9.45,11.63,21.08,17.04,5.53,0.27,25.0,0.97,192.78,30.74,71.49,0.0,29-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
29-Mar-2020 - 00:00,13.19,56.08,9.29,11.71,20.99,17.05,5.32,0.33,25.05,0.76,195.44,30.92,72.65,0.0,30-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
30-Mar-2020 - 00:00,16.92,69.72,8.19,10.82,19.02,13.54,5.3,0.31,25.5,0.96,192.24,31.14,73.59,0.0,31-Mar-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
31-Mar-2020 - 00:00,16.93,67.09,5.31,8.66,13.99,5.04,5.14,0.35,27.67,0.94,196.83,31.28,74.47,0.0,01-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
01-Apr-2020 - 00:00,11.42,69.15,5.32,8.76,14.07,5.05,4.91,0.32,26.13,0.82,180.24,31.34,71.52,0.0,02-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
02-Apr-2020 - 00:00,14.21,71.05,5.34,8.59,13.93,5.01,5.94,0.35,28.64,0.82,211.79,31.15,74.3,0.0,03-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
03-Apr-2020 - 00:00,3.8,60.6,5.19,8.75,13.95,4.98,5.62,0.29,26.36,0.9,211.12,31.29,72.86,0.0,04-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
04-Apr-2020 - 00:00,8.95,51.29,5.48,8.52,14.01,4.95,6.15,0.39,16.77,0.47,141.98,29.58,80.47,0.0,05-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
05-Apr-2020 - 00:00,10.28,48.45,5.23,8.63,13.86,5.0,5.38,0.33,19.99,0.88,150.02,29.56,77.89,0.04,06-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
06-Apr-2020 - 00:00,9.45,40.42,5.32,8.81,14.13,4.94,5.04,0.33,23.72,0.96,177.62,29.05,80.21,0.04,07-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
07-Apr-2020 - 00:00,10.83,34.59,5.4,8.62,14.03,4.93,4.65,0.38,30.75,0.94,253.21,27.72,86.78,0.03,08-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
08-Apr-2020 - 00:00,12.19,56.35,5.35,8.72,14.06,4.88,5.17,0.32,24.85,0.93,166.89,29.17,77.31,0.0,09-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
09-Apr-2020 - 00:00,11.99,51.85,5.36,8.59,13.95,4.88,5.92,0.32,25.3,1.04,152.48,28.7,76.6,0.0,10-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
10-Apr-2020 - 00:00,8.24,43.21,5.21,8.55,13.76,4.91,5.47,0.31,33.88,0.89,146.91,30.44,68.56,0.0,11-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
11-Apr-2020 - 00:00,14.25,46.79,5.19,8.58,13.77,4.9,4.57,0.35,38.37,0.7,181.34,30.83,68.52,0.0,12-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
12-Apr-2020 - 00:00,3.51,55.27,5.02,8.68,13.7,4.91,5.45,0.29,31.4,0.92,209.29,30.97,75.04,0.0,13-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
13-Apr-2020 - 00:00,11.29,66.09,5.18,8.72,13.9,4.9,5.1,0.32,27.77,0.94,179.09,31.03,75.27,0.0,14-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
14-Apr-2020 - 00:00,15.03,63.39,5.06,8.6,13.66,4.94,5.45,0.28,29.19,0.82,159.69,31.02,71.7,0.06,15-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
15-Apr-2020 - 00:00,7.39,43.75,5.21,8.61,13.82,4.89,5.64,0.35,29.17,0.87,182.14,29.37,71.37,0.02,16-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
16-Apr-2020 - 00:00,6.07,41.15,5.32,8.61,13.93,4.88,5.06,0.33,29.44,0.96,163.56,29.0,73.9,0.0,17-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
17-Apr-2020 - 00:00,9.45,52.57,5.18,8.5,13.69,4.9,5.63,0.28,27.46,0.83,188.47,30.3,73.51,0.0,18-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
18-Apr-2020 - 00:00,11.89,58.77,5.17,8.65,13.81,4.89,5.34,0.36,22.54,0.75,193.98,31.17,74.12,0.0,19-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
19-Apr-2020 - 00:00,5.56,61.58,5.21,8.58,13.8,4.9,6.42,0.28,22.54,0.79,140.24,30.62,76.44,0.34,20-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
20-Apr-2020 - 00:00,11.09,42.1,5.07,8.81,13.88,4.92,6.89,0.3,24.57,0.74,167.63,30.21,78.21,0.2,21-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
21-Apr-2020 - 00:00,8.75,44.24,5.18,8.68,13.87,4.86,5.66,0.38,25.12,0.96,205.69,28.98,82.02,0.01,22-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
22-Apr-2020 - 00:00,10.68,43.3,5.3,8.59,13.89,4.84,5.32,0.33,22.16,0.81,151.43,29.33,76.98,0.0,23-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
23-Apr-2020 - 00:00,15.49,52.18,5.26,8.57,13.83,4.88,5.87,0.35,24.41,0.97,184.57,30.01,74.02,0.0,24-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
24-Apr-2020 - 00:00,9.22,48.45,5.16,8.7,13.86,4.9,5.67,0.3,23.63,0.81,172.72,29.45,77.62,0.0,25-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
25-Apr-2020 - 00:00,6.69,64.24,5.26,8.66,13.93,4.87,5.38,0.28,22.1,1.17,191.87,30.44,71.59,0.0,26-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
26-Apr-2020 - 00:00,12.17,58.1,5.21,8.65,13.88,4.87,5.9,0.27,21.92,0.91,156.54,28.69,81.98,0.03,27-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
27-Apr-2020 - 00:00,7.04,50.39,5.26,8.62,13.88,4.9,5.49,0.33,24.53,1.05,192.23,29.59,78.26,0.0,28-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
28-Apr-2020 - 00:00,5.64,50.82,5.21,8.63,13.84,4.86,6.35,0.4,23.02,1.04,170.13,29.54,77.59,0.01,29-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
29-Apr-2020 - 00:00,6.79,43.35,5.2,8.62,13.81,4.86,5.07,0.35,24.39,0.78,161.91,28.82,80.94,0.0,30-Apr-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
30-Apr-2020 - 00:00,9.51,56.05,5.22,8.67,13.87,4.79,4.67,0.27,20.82,0.84,158.28,29.71,76.25,0.0,01-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
01-May-2020 - 00:00,6.09,50.64,5.18,8.64,13.82,4.84,5.76,0.31,20.88,1.0,169.08,29.53,73.98,0.0,02-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
02-May-2020 - 00:00,18.13,48.77,5.16,8.55,13.64,4.87,5.51,0.34,21.16,0.86,124.86,29.47,77.56,0.0,03-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
03-May-2020 - 00:00,5.02,83.38,5.18,8.64,13.82,4.87,2.65,0.33,30.78,1.39,311.55,31.01,76.31,0.0,04-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
04-May-2020 - 00:00,,,,,,,,,,,,,,,05-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
05-May-2020 - 00:00,6.48,68.24,5.22,8.61,13.85,4.93,5.74,0.38,22.57,1.08,202.92,30.44,75.45,0.19,06-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
06-May-2020 - 00:00,9.76,70.04,5.36,8.68,14.04,4.86,8.88,0.35,19.07,0.89,161.72,28.4,84.54,0.24,07-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
07-May-2020 - 00:00,5.61,53.62,5.2,8.6,13.8,4.84,5.01,0.38,21.15,0.81,163.26,29.47,78.2,0.0,08-May-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
