from date,PM2.5,PM10,NO2,NOx,NH3,SO2,CO,Ozone,WS,WD,Temp,RH,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,AT,SR,RF,BP,to date,station
22-Jan-2020 - 00:00,33.02,43.59,23.4,26.69,25.46,7.61,0.42,43.86,1.41,89.83,,62.09,0.0,0.0,0.0,0.0,0.0,22.97,190.47,0.0,875.46,23-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
23-Jan-2020 - 00:00,35.17,46.42,24.03,28.43,26.89,6.22,0.53,37.57,1.25,96.02,,67.26,0.0,0.0,0.0,0.0,0.0,23.24,186.05,0.0,874.83,24-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
24-Jan-2020 - 00:00,39.26,51.82,33.83,39.19,36.06,6.93,0.62,34.77,0.96,96.94,,58.53,0.0,0.0,0.0,0.0,0.0,23.23,186.37,0.0,873.5,25-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
25-Jan-2020 - 00:00,52.77,69.71,60.64,78.67,71.02,11.29,1.01,43.93,0.62,103.39,,45.04,0.0,0.0,0.0,0.0,0.0,22.66,178.79,0.0,872.02,26-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
26-Jan-2020 - 00:00,64.89,85.66,64.86,84.66,76.96,8.4,1.04,51.62,0.56,111.4,,41.35,0.0,0.0,0.0,0.0,0.0,22.87,184.76,0.0,871.82,27-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
27-Jan-2020 - 00:00,51.09,78.67,33.29,39.65,38.42,5.3,0.68,54.69,0.42,156.54,,61.55,0.21,0.38,0.05,0.12,0.09,23.9,186.05,0.0,871.61,28-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
28-Jan-2020 - 00:00,42.37,80.09,22.38,26.36,27.54,0.6,0.55,47.79,0.41,213.17,,65.48,0.9,1.6,0.2,0.5,0.4,24.28,180.79,0.0,871.61,29-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
29-Jan-2020 - 00:00,43.43,96.96,28.2,34.97,34.51,3.11,0.71,75.03,0.47,161.74,,61.71,0.9,1.61,0.19,0.5,0.4,25.07,182.9,0.0,871.66,30-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
30-Jan-2020 - 00:00,41.96,95.87,33.92,43.88,42.71,1.36,0.8,50.36,0.44,169.12,,61.92,0.9,1.59,0.2,0.5,0.39,25.46,184.25,0.0,871.61,31-Jan-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
31-Jan-2020 - 00:00,34.03,76.15,29.07,37.71,37.34,1.98,0.71,52.09,0.61,156.55,,59.18,0.9,1.59,0.2,0.5,0.4,25.51,187.42,0.0,872.29,01-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
01-Feb-2020 - 00:00,24.16,69.13,22.35,26.47,26.87,1.19,0.49,53.92,0.89,139.92,,57.93,0.9,1.61,0.2,0.5,0.4,24.95,186.43,0.0,873.46,02-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
02-Feb-2020 - 00:00,30.06,80.92,29.42,34.67,33.44,6.2,0.54,52.08,0.73,110.73,,54.55,0.9,1.6,0.2,0.5,0.4,24.01,183.53,0.0,872.65,03-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
03-Feb-2020 - 00:00,27.99,80.85,29.4,36.83,35.43,3.56,0.58,51.95,0.77,101.43,,52.28,0.9,1.61,0.2,0.51,0.4,23.81,191.86,0.0,872.74,04-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
04-Feb-2020 - 00:00,30.1,68.87,40.53,56.82,54.06,3.76,0.84,38.68,0.67,96.81,,49.39,0.9,1.6,0.2,0.5,0.4,23.08,194.09,0.0,872.32,05-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
05-Feb-2020 - 00:00,40.06,62.8,39.36,55.08,53.25,5.6,0.93,33.68,0.57,112.1,,56.91,0.9,1.59,0.2,0.5,0.4,23.3,190.71,0.0,871.91,06-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
06-Feb-2020 - 00:00,31.51,51.15,25.24,29.11,29.9,2.37,0.59,60.12,0.53,181.81,,62.93,0.9,1.6,0.2,0.5,0.4,24.71,183.67,0.0,871.94,07-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
07-Feb-2020 - 00:00,22.2,51.56,22.67,26.72,27.01,1.29,0.56,54.35,0.66,228.08,,61.11,0.9,1.62,0.2,0.5,0.4,24.89,185.23,0.0,872.53,08-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
08-Feb-2020 - 00:00,14.1,37.57,21.42,28.08,27.84,1.07,0.5,40.79,0.69,242.32,,61.18,0.9,1.61,0.2,0.5,0.4,24.41,202.12,0.0,872.89,09-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
09-Feb-2020 - 00:00,14.45,36.07,20.12,23.24,23.12,1.23,0.43,28.97,0.61,146.57,,55.0,0.9,1.6,0.2,0.5,0.4,24.6,199.08,0.0,872.27,10-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
10-Feb-2020 - 00:00,15.94,38.23,19.73,22.67,22.46,1.21,0.44,45.52,0.94,103.53,,59.24,0.9,1.6,0.2,0.49,0.4,24.38,198.9,0.0,873.55,11-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
11-Feb-2020 - 00:00,18.74,42.84,15.82,18.8,19.41,1.96,0.42,43.49,1.41,102.24,,60.25,0.9,1.61,0.2,0.5,0.4,23.63,209.95,0.0,875.61,12-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
12-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
13-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
14-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
15-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
16-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
17-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
18-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
19-Feb-2020 - 00:00,33.09,61.95,72.69,54.04,69.59,4.06,1.16,57.19,0.48,104.94,,37.8,,,,,,23.0,103.07,0.0,784.01,20-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
20-Feb-2020 - 00:00,26.71,53.88,42.82,33.83,42.18,6.98,0.63,54.17,1.09,106.31,,46.81,,,,,,21.72,207.05,0.0,753.2,21-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
21-Feb-2020 - 00:00,20.65,49.16,31.3,25.84,30.71,6.61,0.47,54.23,1.05,106.24,,44.27,,,,,,21.82,208.69,0.0,712.49,22-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
22-Feb-2020 - 00:00,20.53,49.18,25.78,22.07,26.18,3.75,0.44,44.67,1.34,90.54,,53.28,,,,,,25.79,211.21,0.0,793.3,23-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
23-Feb-2020 - 00:00,15.45,42.82,17.54,15.32,18.59,1.81,0.41,56.24,1.22,101.97,,54.32,,,,,,30.81,211.28,0.0,885.44,24-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
24-Feb-2020 - 00:00,19.02,47.65,34.57,28.54,34.14,1.32,0.63,41.71,0.98,94.15,,57.1,,,,,,30.65,194.84,0.0,867.2,25-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
25-Feb-2020 - 00:00,24.3,50.85,24.8,21.29,25.31,2.26,0.51,57.73,0.57,134.26,,59.91,,,,,,30.94,211.64,0.0,902.59,26-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
26-Feb-2020 - 00:00,19.0,41.41,17.96,15.85,20.11,0.4,0.62,37.42,0.94,164.33,,72.81,,,,,,30.16,212.33,0.0,885.82,27-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
27-Feb-2020 - 00:00,22.88,59.41,44.3,37.16,41.55,5.22,0.76,55.95,1.2,88.58,,34.96,,,,,,32.85,209.48,0.0,951.67,28-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
28-Feb-2020 - 00:00,21.63,56.89,39.2,33.06,37.52,2.67,0.69,51.74,1.13,93.14,,41.37,,,,,,32.18,269.37,0.0,962.26,29-Feb-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
29-Feb-2020 - 00:00,28.14,51.28,20.17,17.37,21.61,2.17,0.45,60.6,0.99,115.65,,54.96,,,,,,31.55,240.16,0.0,939.67,01-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
01-Mar-2020 - 00:00,22.2,68.8,29.33,23.49,29.73,1.33,0.6,47.07,0.8,154.22,,63.02,,,,,,31.35,237.17,0.0,925.89,02-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
02-Mar-2020 - 00:00,26.58,68.35,45.26,36.16,44.74,0.33,1.04,25.64,0.53,185.78,,79.05,,,,,,30.72,222.45,0.0,932.98,03-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
03-Mar-2020 - 00:00,30.73,57.82,39.11,31.29,40.0,3.9,0.82,41.95,0.39,204.18,,65.04,,,,,,31.77,238.02,0.0,934.69,04-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
04-Mar-2020 - 00:00,24.9,51.0,65.73,45.16,64.6,0.99,1.05,32.02,0.65,177.0,,57.64,,,,,,31.78,245.62,0.0,927.38,05-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
05-Mar-2020 - 00:00,28.17,62.73,38.93,30.63,38.96,0.73,0.59,36.01,0.56,226.08,,61.48,,,,,,31.54,207.58,0.0,931.68,06-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
06-Mar-2020 - 00:00,16.82,37.06,23.83,18.63,24.76,0.52,0.43,33.07,0.49,249.62,,60.94,,,,,,31.51,223.95,0.0,937.4,07-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
07-Mar-2020 - 00:00,17.49,34.08,27.49,22.64,27.86,0.47,0.46,36.18,0.53,206.41,,57.4,,,,,,31.57,202.2,0.0,939.93,08-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
08-Mar-2020 - 00:00,15.81,33.12,22.24,17.19,23.48,0.37,0.39,25.93,0.34,226.17,,72.67,,,,,,30.63,185.65,0.0,940.01,09-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
09-Mar-2020 - 00:00,22.48,42.05,36.87,30.01,36.03,0.55,0.6,45.03,0.75,131.33,,51.11,,,,,,32.68,275.79,0.0,962.56,10-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
10-Mar-2020 - 00:00,16.7,37.84,24.57,20.78,24.87,0.62,0.43,45.89,0.53,175.42,,56.77,,,,,,32.38,240.92,0.0,949.49,11-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
11-Mar-2020 - 00:00,17.13,36.7,22.77,18.75,23.35,0.53,0.4,51.02,0.51,217.94,,56.44,,,,,,32.25,254.5,0.0,949.65,12-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
12-Mar-2020 - 00:00,17.57,35.85,27.53,22.97,27.63,0.92,0.47,51.41,0.72,167.7,,50.34,,,,,,32.29,263.63,0.0,950.13,13-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
13-Mar-2020 - 00:00,17.9,45.4,29.72,25.79,29.2,3.11,0.44,63.59,1.0,135.32,,29.69,,,,,,33.1,295.66,0.0,951.44,14-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
14-Mar-2020 - 00:00,21.79,49.39,47.91,35.31,45.84,3.18,0.74,43.0,0.73,128.31,,53.97,,,,,,31.78,234.47,0.0,948.4,15-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
15-Mar-2020 - 00:00,22.91,48.53,29.12,23.9,28.74,1.43,0.51,53.27,0.67,131.44,,55.34,,,,,,31.97,236.3,0.0,948.06,16-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
16-Mar-2020 - 00:00,21.47,55.66,26.99,22.23,26.95,1.74,0.48,47.77,0.78,124.1,,52.96,,,,,,32.08,239.62,0.0,948.25,17-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
17-Mar-2020 - 00:00,19.74,46.87,19.29,17.1,19.82,2.71,0.26,51.75,1.12,131.82,,40.52,,,,,,32.54,240.47,0.0,948.74,18-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
18-Mar-2020 - 00:00,13.5,35.99,23.64,19.94,23.89,3.37,0.36,56.25,0.88,134.5,,31.5,,,,,,32.88,255.24,0.0,946.88,19-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
19-Mar-2020 - 00:00,20.95,49.32,27.54,23.5,27.14,1.81,0.45,55.23,0.63,189.44,,49.88,,,,,,32.48,248.69,0.0,946.48,20-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
20-Mar-2020 - 00:00,21.15,69.41,20.78,17.88,21.81,0.41,0.39,52.03,0.67,189.12,,58.64,,,,,,32.11,242.79,0.0,949.66,21-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
21-Mar-2020 - 00:00,26.73,88.2,44.07,34.48,42.81,1.16,0.7,46.98,0.65,136.42,,45.49,,,,,,32.48,317.28,0.0,949.65,22-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
22-Mar-2020 - 00:00,20.1,40.96,10.58,9.13,11.94,0.34,0.27,3.92,0.64,184.8,,57.11,,,,,,32.07,241.49,0.0,952.06,23-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
23-Mar-2020 - 00:00,21.87,49.79,17.52,14.99,19.39,0.25,0.41,49.68,0.5,180.69,,62.6,,,,,,31.93,218.97,0.0,954.96,24-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
24-Mar-2020 - 00:00,21.27,40.15,13.39,11.49,15.54,0.23,0.34,44.86,0.5,154.9,,67.23,,,,,,31.44,289.43,0.0,952.12,25-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
25-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
26-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
27-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
28-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,29-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
29-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,30-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
30-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,31-Mar-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
31-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
01-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
02-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
03-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
04-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
05-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
06-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
07-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
08-Apr-2020 - 00:00,18.43,32.17,11.75,10.33,13.2,0.13,0.23,62.59,0.89,55.08,,54.31,,,,,,25.52,199.42,0.0,766.92,09-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
09-Apr-2020 - 00:00,15.75,30.91,10.02,8.6,12.0,0.21,0.22,63.78,1.07,68.81,,62.83,,,,,,28.22,156.64,0.01,768.3,10-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
10-Apr-2020 - 00:00,11.38,23.09,11.7,9.79,13.46,0.24,0.24,57.79,0.93,75.44,,70.76,,,,,,26.94,119.86,0.0,766.04,11-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
11-Apr-2020 - 00:00,24.03,42.59,11.98,10.67,11.11,0.57,0.18,63.79,1.22,79.49,,42.19,,,,,,29.82,92.65,0.0,768.2,12-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
12-Apr-2020 - 00:00,19.55,38.47,11.85,10.55,10.8,0.38,0.18,5.96,0.3,17.7,,69.33,,,,,,26.86,216.02,0.0,767.0,13-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
13-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
14-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
15-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
16-Apr-2020 - 00:00,17.66,28.8,9.88,8.27,9.08,0.31,0.2,85.91,1.13,150.4,,39.23,,,,,,31.04,104.33,0.0,770.26,17-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
17-Apr-2020 - 00:00,22.97,42.0,10.07,8.78,9.06,0.31,0.21,64.08,1.16,90.04,,52.11,,,,,,30.29,131.96,0.0,772.11,18-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
18-Apr-2020 - 00:00,22.38,41.49,8.73,7.26,7.78,0.18,0.12,49.69,0.9,64.53,,62.86,,,,,,29.14,211.91,0.0,771.82,19-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
19-Apr-2020 - 00:00,18.3,33.44,8.12,6.88,7.29,0.25,0.12,54.92,1.08,68.57,,59.5,,,,,,29.04,134.67,0.0,772.97,20-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
20-Apr-2020 - 00:00,16.75,35.52,9.34,8.01,8.4,0.46,0.12,51.68,0.91,52.01,,58.86,,,,,,28.84,138.77,0.0,772.53,21-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
21-Apr-2020 - 00:00,16.53,41.03,13.12,11.1,11.88,0.32,0.16,39.6,0.67,57.88,,63.09,,,,,,28.67,195.56,0.0,774.17,22-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
22-Apr-2020 - 00:00,15.68,44.23,6.47,5.09,5.55,0.14,0.01,35.36,0.89,19.94,,77.59,,,,,,27.14,246.32,0.0,775.47,23-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
23-Apr-2020 - 00:00,16.52,42.35,10.63,9.07,9.62,0.21,0.09,57.64,1.13,64.21,,55.94,,,,,,30.18,198.29,0.0,774.93,24-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
24-Apr-2020 - 00:00,13.82,28.87,14.18,11.92,12.92,0.21,0.14,43.92,0.71,56.34,,73.52,,,,,,27.95,228.66,0.0,773.9,25-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
25-Apr-2020 - 00:00,15.56,32.47,13.78,11.59,12.5,0.21,0.15,50.22,0.87,59.94,,68.88,,,,,,27.87,251.31,0.0,773.16,26-Apr-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
