from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,WS,WD,RH,RF,SR,to date,station
19-May-2020 - 00:00,71.33,203.66,10.99,13.96,8.02,27.96,1.87,0.87,40.27,8.2,0.79,1.54,2.87,2.18,0.89,159.24,19.94,0.0,388.89,20-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
20-May-2020 - 00:00,32.19,152.79,11.01,14.01,7.99,28.03,1.8,0.73,42.77,7.4,0.7,1.48,2.51,1.89,1.05,261.23,17.62,0.0,457.44,21-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
21-May-2020 - 00:00,123.63,156.63,11.03,13.99,8.02,27.92,1.58,0.63,45.1,7.1,0.62,1.4,2.32,1.71,0.86,288.09,17.16,0.0,495.84,22-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
22-May-2020 - 00:00,99.63,204.41,11.01,14.0,8.03,28.0,1.75,0.91,40.11,8.83,0.75,1.58,2.94,2.57,0.71,191.29,19.41,0.0,435.6,23-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
23-May-2020 - 00:00,144.24,262.43,10.99,13.95,8.02,28.07,1.78,0.93,20.66,9.62,0.82,1.59,3.11,2.7,0.74,197.27,23.06,0.0,359.45,24-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
24-May-2020 - 00:00,123.93,200.83,11.0,14.01,8.03,27.96,1.86,0.58,28.55,7.23,0.59,1.16,2.26,1.62,0.72,246.7,17.1,0.0,435.22,25-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
25-May-2020 - 00:00,55.01,158.55,11.01,14.02,8.0,28.04,1.78,0.68,33.04,7.71,0.59,1.19,2.31,1.73,0.8,266.92,19.07,0.0,460.16,26-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
26-May-2020 - 00:00,98.94,201.96,11.0,14.05,8.0,28.03,5.26,0.68,22.5,7.65,0.77,1.28,2.64,2.07,0.78,233.71,18.0,0.0,377.28,27-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
27-May-2020 - 00:00,102.9,191.12,10.99,13.98,8.0,28.02,2.93,0.63,44.44,7.49,0.56,1.12,2.34,1.78,0.95,141.86,23.11,0.0,366.65,28-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
28-May-2020 - 00:00,125.28,292.76,11.0,13.99,8.0,28.0,1.48,0.53,47.23,6.91,0.42,0.9,1.7,1.22,1.57,91.59,43.83,0.01,345.21,29-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
29-May-2020 - 00:00,55.7,70.68,10.99,13.97,8.0,28.0,1.37,0.47,42.14,6.39,0.4,0.89,1.53,1.15,1.22,118.55,63.6,0.16,203.67,30-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
30-May-2020 - 00:00,31.88,91.25,11.0,13.89,7.99,27.91,1.7,0.48,43.81,6.29,0.45,1.01,1.81,1.33,1.0,116.95,67.18,0.0,418.25,31-May-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
31-May-2020 - 00:00,9.41,102.12,11.0,13.67,8.01,27.94,4.53,0.46,36.88,6.1,0.44,0.93,1.67,1.24,0.97,129.42,77.32,0.11,235.18,01-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
01-Jun-2020 - 00:00,57.12,161.73,10.99,14.04,8.03,27.91,2.08,0.58,41.34,5.75,1.03,0.84,1.47,1.13,0.73,90.03,72.12,0.0,389.44,02-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
02-Jun-2020 - 00:00,62.01,175.12,10.99,14.0,8.0,27.97,1.81,0.73,45.06,2.56,0.2,0.57,1.13,0.4,0.81,139.22,57.93,0.0,370.82,03-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
03-Jun-2020 - 00:00,62.49,140.76,11.0,14.06,8.03,28.05,1.97,0.66,45.14,2.5,0.22,0.6,1.2,0.44,0.81,130.79,54.46,0.0,335.28,04-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
04-Jun-2020 - 00:00,78.65,160.28,11.03,13.95,8.02,27.94,1.95,0.8,28.39,2.78,0.24,0.7,1.35,0.53,0.76,139.82,62.56,0.0,154.11,05-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
05-Jun-2020 - 00:00,65.64,176.55,10.99,14.01,7.99,28.02,1.94,0.7,34.74,2.61,0.21,0.98,1.1,1.32,0.79,103.31,64.67,0.0,340.13,06-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
06-Jun-2020 - 00:00,50.18,110.12,10.99,14.01,8.0,27.96,1.86,0.61,38.33,2.44,0.18,1.79,0.43,4.23,0.8,92.59,62.96,0.0,373.45,07-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
07-Jun-2020 - 00:00,58.06,198.9,10.97,14.04,8.0,27.99,1.83,0.69,32.27,2.5,0.19,1.84,0.45,4.33,0.92,119.21,66.34,0.07,337.72,08-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
08-Jun-2020 - 00:00,39.15,83.39,10.98,13.83,7.99,28.09,1.97,0.75,38.84,2.64,0.22,2.17,0.56,4.34,0.8,143.69,56.75,0.0,389.43,09-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
09-Jun-2020 - 00:00,24.17,258.03,10.98,14.01,8.02,28.02,2.04,0.79,47.53,2.61,0.2,2.2,0.56,3.77,0.82,141.74,42.79,0.0,436.71,10-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
10-Jun-2020 - 00:00,52.45,207.99,11.02,13.99,7.99,27.95,1.91,0.83,38.33,2.65,0.22,2.18,0.61,3.63,0.71,166.76,50.46,0.0,328.41,11-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
11-Jun-2020 - 00:00,42.77,143.45,11.01,14.02,8.02,27.94,1.95,0.73,49.35,2.51,0.2,1.91,0.48,3.88,0.79,111.41,51.77,0.0,369.36,12-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
12-Jun-2020 - 00:00,57.34,303.32,10.97,13.97,8.0,28.0,1.8,0.75,45.11,2.6,0.15,1.66,0.38,3.62,0.86,86.07,54.97,0.0,396.89,13-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
13-Jun-2020 - 00:00,46.3,157.85,11.01,14.02,7.98,27.99,1.74,0.71,32.48,2.52,0.16,1.56,0.37,3.78,0.89,104.49,54.35,0.0,55.27,14-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
14-Jun-2020 - 00:00,22.69,197.71,11.0,14.02,7.97,27.94,1.69,0.76,35.02,2.64,0.18,1.7,0.41,3.79,0.91,79.81,56.35,0.0,335.21,15-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
15-Jun-2020 - 00:00,43.09,167.31,11.02,14.0,8.03,28.03,1.6,0.68,47.11,4.47,0.94,1.67,1.57,2.64,0.75,154.45,46.0,0.0,335.36,16-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
16-Jun-2020 - 00:00,51.5,143.43,11.02,14.01,8.0,28.11,1.47,0.76,44.3,7.6,0.47,1.64,3.34,1.17,0.88,109.57,46.39,0.0,354.79,17-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
17-Jun-2020 - 00:00,26.94,91.01,10.98,13.86,7.99,28.07,1.44,0.65,41.76,7.1,0.41,1.54,2.93,1.0,0.99,93.37,55.14,0.0,401.39,18-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
18-Jun-2020 - 00:00,108.46,166.53,11.01,14.01,7.99,28.03,1.68,0.68,47.56,7.62,0.54,2.18,4.29,1.38,0.85,92.35,54.56,0.0,405.25,19-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
19-Jun-2020 - 00:00,89.68,176.02,10.97,14.0,8.01,28.04,1.39,0.69,46.43,7.37,0.4,1.69,3.21,1.09,0.98,85.97,,0.0,,20-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
20-Jun-2020 - 00:00,47.25,142.11,11.02,13.83,7.99,27.96,1.66,0.63,32.53,7.06,0.55,1.96,3.6,1.27,0.8,137.77,52.43,0.01,84.81,21-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
21-Jun-2020 - 00:00,56.67,146.29,10.97,13.89,7.98,27.98,1.68,0.67,29.31,7.42,0.61,2.38,4.43,1.69,0.76,91.98,66.13,0.01,253.41,22-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
22-Jun-2020 - 00:00,61.49,141.41,11.01,14.01,7.99,27.98,2.26,0.66,48.63,7.44,0.54,1.78,3.29,1.29,0.81,100.85,64.55,0.0,373.98,23-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
23-Jun-2020 - 00:00,47.03,105.91,11.02,14.02,8.01,27.94,3.19,0.58,23.42,6.24,0.37,1.31,2.44,0.92,0.89,77.75,67.2,0.0,351.87,24-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
24-Jun-2020 - 00:00,45.63,182.04,10.99,14.01,7.98,28.08,3.25,0.61,19.27,5.73,0.37,1.44,2.81,0.95,0.82,83.69,77.24,0.05,247.13,25-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
25-Jun-2020 - 00:00,54.62,399.41,11.02,14.0,8.02,28.02,4.09,0.66,24.34,37.4,5.1,2.81,4.03,2.11,0.74,154.75,71.44,0.01,336.21,26-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
26-Jun-2020 - 00:00,46.44,86.65,10.97,14.02,7.99,28.04,9.13,0.73,17.81,7.82,6.87,3.0,5.33,2.29,0.69,170.73,70.88,0.01,298.84,27-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
27-Jun-2020 - 00:00,38.64,151.43,10.99,14.02,8.02,28.02,8.64,0.52,15.09,6.64,7.13,2.5,4.47,1.75,0.76,251.77,54.54,0.0,341.27,28-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
28-Jun-2020 - 00:00,53.3,238.37,11.01,13.99,8.01,28.17,8.35,0.53,13.88,6.65,6.94,2.4,4.39,1.78,0.75,243.05,49.35,0.0,373.84,29-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
29-Jun-2020 - 00:00,56.37,140.9,11.04,13.99,8.01,27.89,7.29,0.51,24.41,6.08,5.45,1.84,3.44,1.45,0.82,169.41,56.46,0.3,258.62,30-Jun-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
30-Jun-2020 - 00:00,19.23,113.41,11.01,13.32,8.01,28.09,7.16,0.52,31.65,4.9,5.15,1.53,2.83,0.99,0.81,98.15,68.01,0.0,419.59,01-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
01-Jul-2020 - 00:00,29.42,158.2,11.02,14.05,7.98,28.11,7.2,0.65,23.94,5.4,5.74,1.51,2.8,1.08,0.77,90.84,68.34,0.0,302.15,02-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
02-Jul-2020 - 00:00,66.76,176.87,11.01,13.99,8.0,28.01,7.11,0.71,33.39,5.11,5.81,1.45,2.96,1.06,0.7,90.9,63.84,0.0,297.38,03-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
03-Jul-2020 - 00:00,64.43,284.77,11.01,14.0,7.99,28.07,6.75,0.73,25.81,5.2,4.9,1.38,2.82,1.14,0.8,107.64,68.69,0.04,276.9,04-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
04-Jul-2020 - 00:00,66.19,230.09,10.99,14.01,7.99,27.97,7.11,0.6,34.86,4.83,6.75,1.56,2.9,1.03,0.92,100.69,71.51,0.0,361.93,05-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
05-Jul-2020 - 00:00,87.82,494.94,11.07,13.95,8.03,28.14,7.1,0.55,29.82,4.66,6.97,1.42,2.51,0.91,1.33,72.93,87.47,0.56,0.34,06-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
06-Jul-2020 - 00:00,49.53,89.11,11.03,13.07,8.01,28.04,6.18,0.5,32.79,4.0,3.09,1.08,1.93,0.7,0.88,108.43,68.28,0.0,430.94,07-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
07-Jul-2020 - 00:00,28.99,62.04,11.03,14.01,8.0,28.03,5.48,0.5,12.54,4.53,5.86,1.81,2.67,1.22,0.88,72.1,81.82,0.01,237.39,08-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
08-Jul-2020 - 00:00,41.74,96.09,10.98,13.95,8.0,28.04,6.26,0.6,15.79,4.26,5.58,1.82,3.08,1.19,0.81,114.24,81.85,0.0,226.88,09-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
09-Jul-2020 - 00:00,53.26,156.31,10.99,14.01,7.96,28.05,5.83,0.65,19.33,4.13,4.01,1.67,2.96,1.16,0.69,189.17,71.46,0.0,310.07,10-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
10-Jul-2020 - 00:00,34.34,100.61,10.96,14.04,8.03,27.95,5.99,0.6,35.87,1.54,3.01,1.73,2.78,0.93,0.71,237.45,61.19,0.0,397.52,11-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
11-Jul-2020 - 00:00,33.11,90.96,10.97,14.0,8.02,28.05,6.24,0.6,28.39,1.58,2.41,1.22,2.45,1.1,0.94,139.07,67.87,0.01,271.09,12-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
12-Jul-2020 - 00:00,36.48,89.93,11.03,13.98,8.01,28.12,6.13,0.6,30.13,1.59,2.42,1.21,2.32,1.02,1.1,145.46,64.39,0.0,325.23,13-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
13-Jul-2020 - 00:00,36.69,114.23,11.03,14.07,7.99,27.97,5.75,0.59,38.88,1.51,2.1,1.0,2.02,0.81,0.65,234.96,58.11,0.0,408.02,14-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
14-Jul-2020 - 00:00,57.92,186.17,10.99,14.0,8.01,27.99,5.9,0.6,36.1,1.41,2.32,0.9,1.9,0.83,0.71,159.84,59.87,0.0,329.41,15-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
15-Jul-2020 - 00:00,57.53,191.68,10.98,13.97,8.0,28.01,5.28,0.56,19.54,1.43,1.75,0.78,1.44,0.65,0.87,78.14,69.92,0.0,,16-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
16-Jul-2020 - 00:00,47.18,78.56,11.02,13.99,7.99,28.03,6.36,0.61,1.69,1.73,2.73,1.27,2.23,0.91,0.79,83.89,72.24,0.0,291.38,17-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
17-Jul-2020 - 00:00,66.79,89.99,11.0,14.01,7.98,27.95,5.82,0.6,5.93,1.82,3.71,0.85,1.54,0.66,0.85,80.87,72.69,0.0,319.66,18-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
18-Jul-2020 - 00:00,59.72,85.14,11.0,13.98,8.01,28.05,6.64,0.63,1.4,2.21,2.72,0.16,0.39,0.16,0.82,71.91,75.56,0.0,232.45,19-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
19-Jul-2020 - 00:00,31.73,66.2,10.96,14.03,8.01,27.95,6.78,0.69,1.13,1.61,2.62,0.47,1.15,0.44,0.68,185.95,81.15,0.03,248.4,20-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
20-Jul-2020 - 00:00,29.28,63.02,11.03,13.98,8.02,28.0,6.29,0.67,24.72,1.54,2.1,0.78,1.81,0.84,0.7,193.85,79.79,0.1,208.57,21-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
21-Jul-2020 - 00:00,25.69,53.15,11.06,13.74,8.04,28.04,8.64,0.6,2.49,0.42,0.37,0.19,0.44,0.36,0.71,144.77,91.28,0.14,82.41,22-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
22-Jul-2020 - 00:00,32.71,49.38,11.05,14.0,8.0,28.07,5.92,0.59,5.12,1.03,0.57,0.39,0.99,0.86,0.69,170.81,92.14,0.0,134.91,23-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
23-Jul-2020 - 00:00,72.43,122.01,11.02,10.59,7.96,27.88,5.64,0.45,7.51,0.61,1.09,0.37,0.92,0.83,0.62,148.96,82.96,0.0,,24-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
24-Jul-2020 - 00:00,72.62,99.16,10.97,14.01,8.01,28.07,5.38,0.66,17.32,1.27,2.4,0.8,1.69,1.26,0.76,106.22,80.45,0.0,332.82,25-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
25-Jul-2020 - 00:00,44.54,71.83,11.01,13.88,8.01,27.93,5.51,0.61,17.84,1.26,2.77,0.79,1.55,1.05,0.74,73.75,84.05,0.01,308.73,26-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
26-Jul-2020 - 00:00,64.7,94.7,11.02,14.0,8.05,28.06,6.21,0.73,25.15,1.51,4.05,1.08,2.17,1.45,0.73,99.24,76.69,0.0,386.73,27-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
27-Jul-2020 - 00:00,65.71,95.61,10.98,14.01,8.05,27.94,5.97,0.68,26.16,1.43,3.57,1.02,2.1,1.29,0.65,246.99,67.66,0.0,458.73,28-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
28-Jul-2020 - 00:00,50.46,77.62,11.02,14.07,7.93,27.93,5.9,0.59,22.68,1.33,3.45,0.93,1.88,1.24,0.67,239.66,65.91,0.0,389.98,29-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
29-Jul-2020 - 00:00,37.21,83.61,11.01,13.41,7.99,28.02,6.01,0.6,21.22,1.37,3.27,1.01,2.07,1.6,0.93,140.38,80.49,0.03,246.45,30-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
30-Jul-2020 - 00:00,38.26,58.85,10.99,14.01,7.98,27.91,5.63,0.76,25.14,1.33,2.6,0.88,1.74,1.26,0.85,142.21,79.77,0.0,319.72,31-Jul-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
31-Jul-2020 - 00:00,64.22,89.87,11.0,14.03,7.98,28.09,5.02,0.83,17.82,1.26,1.97,0.75,1.6,1.27,0.73,85.6,84.57,0.0,229.57,01-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
01-Aug-2020 - 00:00,52.6,84.08,11.04,14.0,8.03,27.97,5.25,0.81,18.66,1.17,2.66,0.84,1.8,1.42,0.79,144.4,85.25,0.0,232.57,02-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
02-Aug-2020 - 00:00,43.97,68.15,10.98,13.96,7.96,27.97,5.32,0.75,23.66,1.15,2.81,0.76,1.56,1.05,0.62,249.72,74.75,0.0,401.79,03-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
03-Aug-2020 - 00:00,35.36,79.48,10.92,14.02,8.03,28.02,5.26,0.74,22.53,1.11,2.72,0.65,1.3,0.78,0.74,234.77,71.49,0.0,308.52,04-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
04-Aug-2020 - 00:00,41.25,80.12,11.03,14.01,7.93,28.03,5.34,0.73,27.08,1.13,2.64,0.59,1.2,0.75,0.91,145.75,67.63,0.0,384.4,05-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
05-Aug-2020 - 00:00,53.53,99.16,10.98,13.96,8.04,27.95,5.28,0.97,12.44,1.33,2.8,0.75,1.71,1.34,0.68,112.55,87.84,0.04,168.0,06-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
06-Aug-2020 - 00:00,29.68,71.16,10.46,13.46,7.4,27.52,5.13,0.73,13.89,1.13,2.64,0.61,1.32,0.94,0.91,82.23,75.06,0.0,345.83,07-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
07-Aug-2020 - 00:00,38.65,70.07,10.01,13.03,6.96,26.97,5.13,0.64,18.41,1.03,2.68,0.5,1.03,0.66,0.88,95.64,74.58,0.0,316.26,08-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
08-Aug-2020 - 00:00,63.62,109.4,10.05,12.9,6.96,26.96,5.05,0.75,21.84,1.12,2.31,0.54,1.19,0.78,0.72,117.03,69.58,0.0,433.31,09-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
09-Aug-2020 - 00:00,28.01,108.98,11.01,14.43,5.81,24.52,5.23,0.83,21.13,1.14,2.5,0.59,1.26,0.91,0.69,200.85,76.49,0.0,172.06,10-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
10-Aug-2020 - 00:00,21.91,79.14,12.3,15.93,3.66,13.68,5.19,0.76,23.11,1.1,2.73,0.57,1.16,0.74,0.82,85.66,83.79,0.01,212.57,11-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
11-Aug-2020 - 00:00,39.8,80.65,12.01,13.19,3.48,11.99,5.58,0.88,27.06,1.07,2.52,0.61,1.26,0.84,0.63,124.31,89.17,0.05,216.01,12-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
12-Aug-2020 - 00:00,18.78,71.19,,0.0,,,5.49,0.72,26.82,1.18,2.48,0.77,1.54,1.04,0.66,195.4,77.92,0.02,258.95,13-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
13-Aug-2020 - 00:00,24.78,39.82,,,,,5.27,0.78,12.0,1.19,1.55,0.68,1.36,0.94,0.69,138.92,96.42,0.03,57.69,14-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
14-Aug-2020 - 00:00,37.44,55.61,,0.0,,,6.28,0.79,1.5,1.16,1.43,0.57,1.14,0.75,0.75,67.4,91.1,0.01,178.83,15-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
15-Aug-2020 - 00:00,48.25,72.4,,,,,5.81,0.78,3.18,1.18,1.92,0.62,1.25,0.76,0.86,99.63,80.13,0.0,398.58,16-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
16-Aug-2020 - 00:00,39.18,62.92,,0.0,,,8.22,0.7,5.26,1.05,1.94,0.57,1.12,0.66,0.81,92.17,87.94,0.0,447.24,17-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
17-Aug-2020 - 00:00,51.9,82.94,,0.0,,,5.03,0.77,5.88,1.21,2.03,0.51,1.05,0.7,1.01,96.72,85.14,0.0,291.68,18-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
18-Aug-2020 - 00:00,58.44,90.59,9.13,9.01,4.05,21.15,5.36,0.75,3.25,1.33,3.13,0.73,1.61,0.92,0.69,156.86,84.1,0.0,230.91,19-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
19-Aug-2020 - 00:00,40.71,56.4,1.67,1.52,3.78,23.76,6.38,0.7,3.13,1.28,6.15,1.13,2.64,0.78,0.68,133.26,96.65,0.1,38.45,20-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
20-Aug-2020 - 00:00,35.51,42.42,2.69,0.7,1.47,18.51,6.71,0.67,5.12,1.35,3.08,1.15,2.63,0.68,0.82,76.62,97.3,0.15,97.13,21-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
21-Aug-2020 - 00:00,36.61,54.88,1.9,10.8,2.28,13.8,5.45,0.55,6.57,1.15,1.82,0.67,1.58,0.41,0.79,63.04,80.64,0.0,441.88,22-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
22-Aug-2020 - 00:00,29.63,57.62,2.42,6.33,2.7,3.2,4.64,0.53,5.88,2.38,3.04,0.79,1.42,0.29,1.05,40.93,71.63,0.0,408.53,23-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
23-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,24-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
24-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,25-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
25-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,26-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
26-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,27-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
27-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,28-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
28-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,29-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
29-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,30-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
30-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,31-Aug-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
31-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,01-Sep-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
01-Sep-2020 - 00:00,29.1,59.07,5.56,13.9,5.27,17.54,10.97,0.54,36.66,1.46,,,3.17,,0.4,196.98,67.36,0.0,127.43,02-Sep-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
02-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,03-Sep-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
03-Sep-2020 - 00:00,39.68,97.36,4.24,2.01,5.19,14.94,11.22,0.54,43.3,2.48,,,1.85,,0.27,64.0,85.39,0.0,64.5,04-Sep-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
04-Sep-2020 - 00:00,38.83,95.73,4.68,8.07,5.72,17.15,11.03,0.63,45.71,2.83,,,2.25,,0.4,117.1,83.48,0.0,60.0,05-Sep-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
05-Sep-2020 - 00:00,26.82,91.22,4.79,14.08,5.84,15.63,7.07,0.63,51.36,2.16,,,2.32,,0.31,143.07,79.87,0.0,69.97,06-Sep-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
06-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,07-Sep-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
07-Sep-2020 - 00:00,57.79,92.48,7.94,16.66,5.97,13.56,6.46,0.74,34.63,2.0,,,2.69,,0.43,178.91,85.62,0.26,76.81,08-Sep-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
08-Sep-2020 - 00:00,85.07,112.57,6.75,18.87,6.49,17.75,5.26,0.81,33.19,2.8,,,3.24,,0.32,249.01,67.45,0.0,84.81,09-Sep-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
09-Sep-2020 - 00:00,80.71,125.16,6.52,24.89,7.8,17.77,5.26,1.02,25.32,3.61,,,4.84,,0.22,250.77,75.37,0.0,78.56,10-Sep-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
10-Sep-2020 - 00:00,93.67,141.67,11.69,18.56,8.72,17.26,10.46,0.88,17.81,3.65,,,4.25,,0.21,247.63,73.22,0.0,79.79,11-Sep-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
11-Sep-2020 - 00:00,79.89,111.73,15.36,22.93,18.63,20.15,9.43,0.9,18.03,2.92,,,4.81,,0.28,185.44,68.73,0.0,73.54,12-Sep-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
12-Sep-2020 - 00:00,54.55,96.17,15.49,28.29,23.15,21.39,5.25,1.13,26.63,3.1,,,4.83,,0.33,136.11,65.42,0.0,58.82,13-Sep-2020 - 00:00,"Sector 30, Faridabad - HSPCB"
