from date,PM2.5,PM10,Temp,SR,BP,RH,RF,WD,WS,VWS,AT,Benzene,Xylene,SO2,Ozone,NO,NO2,NOx,NH3,CO,Toluene,to date,station
20-Jan-2020 - 00:00,35.8,77.82,30.16,90.23,727.72,67.72,0.0,87.99,0.74,0.01,20.91,0.36,0.0,4.98,29.75,1.32,16.21,9.7,12.12,0.51,2.12,21-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
21-Jan-2020 - 00:00,33.05,81.6,29.66,114.78,727.82,61.97,0.0,92.99,0.86,0.02,21.08,0.26,0.0,4.81,35.03,1.23,17.83,10.49,11.51,0.52,1.84,22-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
22-Jan-2020 - 00:00,33.35,84.35,29.59,118.73,727.57,64.69,0.0,106.62,0.75,0.02,20.7,0.27,0.09,6.31,32.54,1.3,19.14,11.24,12.1,0.54,2.62,23-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
23-Jan-2020 - 00:00,53.86,129.89,29.64,119.88,727.97,65.24,0.0,133.78,0.64,0.0,20.26,0.73,0.34,6.76,22.82,4.1,36.17,22.58,12.51,0.72,8.32,24-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
24-Jan-2020 - 00:00,56.8,127.38,29.9,121.2,728.09,62.71,0.0,80.44,0.62,-0.0,20.41,0.76,0.45,5.99,23.58,7.72,35.87,25.36,13.53,0.7,6.62,25-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
25-Jan-2020 - 00:00,57.72,134.55,29.81,115.03,727.96,64.07,0.0,105.67,0.53,-0.02,20.45,1.08,0.56,7.52,21.19,5.81,33.46,22.52,14.52,0.77,7.18,26-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
26-Jan-2020 - 00:00,62.2,176.86,29.85,115.71,727.52,61.42,0.0,161.91,0.53,-0.02,20.83,0.98,0.61,10.81,22.54,7.53,34.65,24.54,16.59,0.7,9.74,27-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
27-Jan-2020 - 00:00,60.66,,29.9,119.78,727.4,59.94,0.0,119.22,0.56,0.01,21.12,0.45,0.22,7.1,25.75,1.51,23.39,13.67,15.12,0.58,3.37,28-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
28-Jan-2020 - 00:00,38.76,82.07,29.01,110.67,727.33,58.84,0.0,209.0,0.65,0.0,21.15,0.18,0.08,7.03,35.7,1.25,12.59,7.72,14.97,0.49,1.08,29-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
29-Jan-2020 - 00:00,53.91,127.21,28.62,110.31,727.03,59.56,0.0,213.86,0.6,0.0,21.06,0.83,1.28,10.38,24.14,1.77,26.29,15.43,15.41,0.65,5.44,30-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
30-Jan-2020 - 00:00,67.8,148.11,28.88,109.07,727.48,64.55,0.0,171.11,0.62,0.0,20.63,1.04,0.35,14.72,32.87,12.79,24.61,23.48,20.12,0.73,10.73,31-Jan-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
31-Jan-2020 - 00:00,52.93,126.95,28.79,109.72,727.27,62.84,0.0,81.81,0.87,0.03,20.9,0.38,0.0,6.95,42.74,7.07,19.85,16.31,15.4,0.5,3.23,01-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
01-Feb-2020 - 00:00,31.38,71.62,28.87,115.14,727.02,61.02,0.0,115.84,0.76,0.04,21.34,0.16,0.0,6.03,27.97,1.22,12.66,7.71,13.06,0.45,1.36,02-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
02-Feb-2020 - 00:00,36.29,68.47,28.66,84.35,727.69,68.27,0.0,95.51,0.83,0.02,20.81,0.21,0.0,5.37,27.49,1.21,12.54,7.63,13.03,0.48,1.84,03-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
03-Feb-2020 - 00:00,27.91,67.74,28.72,109.59,727.3,66.53,0.0,119.68,0.69,0.02,20.86,0.19,0.11,5.32,22.5,2.15,14.39,9.41,11.55,0.45,1.67,04-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
04-Feb-2020 - 00:00,21.26,57.14,28.84,124.83,726.74,56.34,0.0,117.83,0.67,0.03,21.57,0.15,0.0,4.92,24.1,1.14,12.48,7.57,10.2,0.46,1.5,05-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
05-Feb-2020 - 00:00,27.69,72.27,28.93,114.31,726.83,60.15,0.0,129.05,0.57,0.01,21.59,0.31,0.06,5.9,21.01,1.26,18.49,10.86,10.65,0.54,2.19,06-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
06-Feb-2020 - 00:00,24.33,66.67,32.58,120.61,727.22,55.96,0.0,142.87,0.64,0.01,21.7,0.19,0.0,6.27,20.14,3.2,19.98,12.71,14.29,0.47,1.5,07-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
07-Feb-2020 - 00:00,27.39,67.1,28.6,120.77,727.33,60.9,0.0,167.08,0.68,0.01,21.58,0.11,0.0,6.37,30.33,1.04,8.98,5.58,10.16,0.47,0.76,08-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
08-Feb-2020 - 00:00,34.31,74.86,28.77,87.61,727.73,71.01,0.0,123.19,0.72,0.02,20.83,0.64,0.0,7.08,24.61,14.22,11.28,17.54,12.27,0.57,3.22,09-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
09-Feb-2020 - 00:00,38.79,67.7,28.63,66.21,729.73,78.24,0.0,62.32,1.02,0.0,19.17,1.06,0.0,10.4,18.77,2.0,17.39,10.88,13.34,0.53,5.3,10-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
10-Feb-2020 - 00:00,37.28,69.88,28.63,98.15,728.47,73.42,0.0,84.0,0.87,0.04,20.0,0.34,0.0,5.17,29.19,1.25,15.07,9.04,11.14,0.57,2.18,11-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
11-Feb-2020 - 00:00,39.93,77.45,28.59,100.55,728.26,69.77,0.0,87.56,0.83,0.03,20.56,0.33,0.03,6.52,36.59,1.21,15.83,9.4,10.92,0.59,2.17,12-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
12-Feb-2020 - 00:00,53.04,103.0,28.56,93.7,728.36,70.1,0.0,83.77,0.7,0.01,20.49,0.53,0.18,7.27,31.06,1.77,23.98,14.19,11.3,0.66,4.06,13-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
13-Feb-2020 - 00:00,59.12,129.84,28.74,136.72,727.84,58.59,0.0,82.23,0.69,-0.01,20.72,1.32,0.14,13.42,26.1,3.39,31.97,19.77,12.53,0.62,9.75,14-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
14-Feb-2020 - 00:00,66.44,143.65,28.86,135.64,727.62,55.59,0.0,118.4,0.54,-0.03,20.63,1.62,1.03,15.74,25.77,16.96,44.45,37.43,13.03,0.87,10.42,15-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
15-Feb-2020 - 00:00,62.08,149.72,28.68,133.07,727.44,53.52,0.0,140.27,0.54,-0.0,21.04,3.32,1.12,15.52,26.41,21.17,49.18,43.36,13.83,1.02,17.27,16-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
16-Feb-2020 - 00:00,59.38,145.4,28.72,132.67,727.45,56.97,0.0,142.47,0.61,0.01,21.21,1.02,0.87,10.22,34.22,4.72,33.78,21.8,13.49,0.76,8.42,17-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
17-Feb-2020 - 00:00,59.5,144.35,29.78,131.27,727.52,56.44,0.0,82.79,0.66,-0.02,21.27,1.06,0.36,11.82,27.11,4.87,37.67,24.0,14.94,0.72,7.0,18-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
18-Feb-2020 - 00:00,41.32,124.8,31.09,140.74,728.05,46.55,0.0,59.64,0.69,-0.05,21.4,1.57,0.1,20.72,25.88,2.54,39.28,22.96,14.49,0.57,13.61,19-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
19-Feb-2020 - 00:00,45.08,126.61,30.97,132.22,727.98,57.69,0.0,94.72,0.65,-0.01,20.94,0.72,0.29,9.47,33.49,2.83,29.44,17.96,14.65,0.74,7.4,20-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
20-Feb-2020 - 00:00,43.66,94.2,30.81,134.11,728.01,61.31,0.0,98.84,0.81,0.02,21.38,0.35,0.01,6.13,37.33,1.22,14.84,8.9,15.45,0.51,2.4,21-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
21-Feb-2020 - 00:00,35.11,80.67,30.72,137.53,728.65,57.66,0.0,96.24,0.81,0.0,21.09,0.25,0.03,6.94,34.2,1.22,14.42,8.66,12.82,0.48,1.96,22-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
22-Feb-2020 - 00:00,28.65,78.67,33.45,104.19,729.06,56.64,0.0,91.69,0.67,-0.02,20.77,0.38,0.0,8.21,24.72,2.99,20.12,12.67,13.66,0.51,2.55,23-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
23-Feb-2020 - 00:00,22.97,65.39,30.86,140.55,727.84,53.61,0.0,106.3,0.75,0.0,21.51,0.24,0.0,3.99,30.96,1.11,13.26,7.94,10.52,0.51,1.76,24-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
24-Feb-2020 - 00:00,30.29,78.44,30.89,134.09,727.48,54.46,0.0,134.99,0.58,-0.01,21.9,0.29,0.05,3.49,29.07,1.2,13.65,8.21,11.39,0.52,1.77,25-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
25-Feb-2020 - 00:00,42.8,103.25,30.72,127.89,727.6,54.32,0.0,189.51,0.71,-0.05,21.83,0.69,0.03,9.94,27.81,1.53,17.91,10.77,12.92,0.61,5.12,26-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
26-Feb-2020 - 00:00,59.6,143.5,30.87,134.45,727.92,54.15,0.0,74.92,0.79,-0.04,21.54,1.19,0.02,19.78,31.97,1.87,28.94,16.92,19.08,0.65,9.31,27-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
27-Feb-2020 - 00:00,39.82,113.65,31.1,136.53,727.7,44.35,0.0,82.49,0.77,-0.03,21.66,0.9,0.01,17.86,35.4,1.44,25.96,14.97,13.25,0.58,7.04,28-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
28-Feb-2020 - 00:00,41.56,107.93,30.79,134.57,727.92,56.32,0.0,86.77,0.75,-0.01,21.45,0.47,0.01,7.89,35.98,1.38,23.21,13.47,13.51,0.63,4.25,29-Feb-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
29-Feb-2020 - 00:00,41.31,91.39,31.41,125.96,727.96,60.78,0.0,113.29,0.74,-0.02,21.82,0.39,0.03,5.72,30.94,1.12,15.99,9.41,14.61,0.55,2.84,01-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
01-Mar-2020 - 00:00,39.28,89.02,33.12,129.46,728.0,60.6,0.0,106.48,0.7,-0.02,21.84,0.49,0.0,7.24,33.77,1.16,14.52,8.67,15.36,0.53,2.54,02-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
02-Mar-2020 - 00:00,40.32,85.98,33.16,134.75,726.98,58.34,0.0,175.17,0.68,-0.01,22.26,0.62,0.01,5.17,22.27,1.4,14.82,9.01,14.84,0.49,3.72,03-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
03-Mar-2020 - 00:00,44.34,97.28,29.59,118.0,727.04,58.64,0.0,174.53,0.65,-0.03,22.37,0.28,0.01,5.21,21.82,1.4,12.81,7.95,11.16,0.5,2.35,04-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
04-Mar-2020 - 00:00,38.83,96.28,26.22,130.72,726.01,54.99,0.0,224.02,0.68,-0.0,22.26,0.33,0.06,8.06,18.75,2.18,14.49,9.48,11.01,0.52,3.51,05-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
05-Mar-2020 - 00:00,50.78,130.56,29.59,129.28,727.42,52.73,0.0,214.23,0.63,-0.04,21.59,0.84,1.21,11.62,18.09,4.38,23.64,16.13,13.82,0.69,8.57,06-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
06-Mar-2020 - 00:00,27.82,66.47,31.33,134.76,727.11,61.55,0.0,184.95,0.75,0.02,22.06,0.22,0.39,5.87,16.27,1.41,10.11,6.53,14.17,0.44,3.25,07-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
07-Mar-2020 - 00:00,35.33,85.35,31.37,116.66,726.65,63.18,0.0,190.12,0.69,-0.01,22.16,0.32,0.53,5.25,19.54,1.29,11.72,7.28,13.39,0.46,3.59,08-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
08-Mar-2020 - 00:00,30.22,66.76,31.29,94.7,727.08,68.61,0.0,93.11,0.82,0.01,22.0,0.21,0.48,6.83,22.05,1.17,11.46,7.05,13.08,0.46,2.75,09-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
09-Mar-2020 - 00:00,29.06,70.72,31.29,87.6,727.11,66.16,0.0,99.04,0.76,0.01,21.84,0.5,0.61,7.48,17.17,1.64,16.33,10.02,11.88,0.54,5.26,10-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
10-Mar-2020 - 00:00,20.16,51.12,31.23,123.41,726.41,59.64,0.0,140.9,0.67,0.01,22.71,0.27,0.48,6.84,17.68,1.39,10.21,6.56,10.19,0.47,1.98,11-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
11-Mar-2020 - 00:00,27.27,68.98,31.05,88.3,727.19,62.72,0.0,141.57,0.74,-0.04,22.5,0.45,0.47,7.37,19.62,1.32,11.8,7.35,10.51,0.49,3.33,12-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
12-Mar-2020 - 00:00,29.43,79.95,31.02,95.62,726.64,66.84,0.0,102.03,0.7,-0.01,22.34,1.07,0.41,9.49,18.14,1.49,16.93,10.22,10.87,0.54,7.33,13-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
13-Mar-2020 - 00:00,23.85,63.81,31.02,139.08,726.47,57.94,0.0,128.66,0.74,0.01,23.07,0.23,0.3,7.51,16.94,1.26,11.53,7.16,9.6,0.46,2.27,14-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
14-Mar-2020 - 00:00,30.19,79.07,31.13,110.9,727.49,61.38,0.0,162.9,0.67,-0.07,22.57,0.42,0.82,7.71,15.74,2.07,14.84,9.58,10.25,0.53,4.49,15-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
15-Mar-2020 - 00:00,27.11,79.77,35.52,145.99,729.32,58.68,0.0,83.65,0.79,-0.09,22.41,6.16,0.63,7.64,19.57,4.0,17.96,12.81,21.76,0.45,9.46,16-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
16-Mar-2020 - 00:00,23.74,73.0,36.45,67.31,727.05,54.69,0.0,85.69,0.9,-0.02,23.37,20.85,0.21,6.39,15.13,9.02,31.85,23.37,51.39,0.79,0.92,17-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
17-Mar-2020 - 00:00,26.17,62.33,58.5,22.75,730.33,67.42,0.0,104.92,0.62,-0.01,21.83,0.0,0.0,2.45,11.7,6.46,27.4,19.83,46.13,0.38,0.0,18-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
18-Mar-2020 - 00:00,18.72,81.25,31.91,90.11,724.37,43.34,0.0,127.34,0.59,0.0,24.39,0.56,0.66,6.33,12.9,1.9,17.18,9.98,5.94,0.64,4.94,19-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
19-Mar-2020 - 00:00,38.8,89.91,31.87,107.5,726.03,58.56,0.0,145.02,0.7,-0.03,22.81,1.63,1.27,10.16,19.62,1.92,18.16,11.22,12.43,0.66,14.39,20-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
20-Mar-2020 - 00:00,29.93,61.79,31.88,124.84,726.08,55.7,0.0,140.46,0.67,-0.02,22.96,0.44,1.16,5.34,24.88,1.41,13.64,8.4,11.56,0.51,3.81,21-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
21-Mar-2020 - 00:00,37.2,102.76,31.91,150.76,726.25,55.51,0.0,159.31,0.63,-0.06,22.59,0.67,0.62,8.26,20.12,1.72,14.54,9.14,11.44,0.58,8.04,22-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
22-Mar-2020 - 00:00,39.73,97.73,31.96,148.04,725.83,58.35,0.0,120.2,0.65,-0.03,22.74,0.82,3.1,6.76,20.11,4.3,14.87,11.39,12.41,0.6,7.93,23-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
23-Mar-2020 - 00:00,36.91,74.58,31.94,142.61,725.8,59.31,0.0,92.12,0.79,-0.01,23.15,0.34,0.09,6.77,27.18,1.22,6.97,4.69,12.29,0.47,2.39,24-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
24-Mar-2020 - 00:00,28.02,61.09,31.92,146.32,725.82,56.11,0.0,104.19,0.76,-0.03,23.3,0.13,0.0,9.13,24.89,1.19,5.37,3.82,10.78,0.41,1.29,25-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
25-Mar-2020 - 00:00,29.28,61.16,31.9,148.99,726.11,54.83,0.0,99.6,0.81,-0.03,23.18,0.21,0.67,9.49,24.89,1.2,5.21,3.74,10.21,0.43,1.61,26-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
26-Mar-2020 - 00:00,28.99,58.77,32.19,149.22,726.29,53.29,0.0,99.73,0.83,-0.04,22.97,0.21,0.0,3.58,25.76,2.52,4.28,4.56,9.88,0.42,1.33,27-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
27-Mar-2020 - 00:00,31.02,67.53,31.85,153.04,725.57,48.4,0.0,105.15,0.77,-0.01,23.72,0.05,0.0,4.43,27.45,1.15,3.29,2.68,8.82,0.38,0.53,28-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
28-Mar-2020 - 00:00,35.86,67.95,32.16,148.8,725.65,45.06,0.0,123.51,0.61,-0.05,23.59,0.16,0.0,5.03,29.93,1.17,4.4,3.29,8.69,0.44,1.1,29-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
29-Mar-2020 - 00:00,38.86,73.5,32.62,132.72,725.41,46.91,0.0,106.76,0.7,-0.03,24.09,0.25,0.0,3.87,32.37,1.12,4.5,3.3,9.65,0.51,1.61,30-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
30-Mar-2020 - 00:00,33.11,62.45,33.41,148.94,725.98,49.55,0.0,88.48,0.87,-0.05,23.61,0.28,0.0,6.13,31.78,1.2,5.56,3.93,9.89,0.44,1.47,31-Mar-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
31-Mar-2020 - 00:00,42.84,92.58,32.53,139.93,725.36,51.53,0.0,141.01,0.69,-0.05,23.69,0.4,0.01,4.57,30.39,1.17,5.07,3.65,9.85,0.51,2.01,01-Apr-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
01-Apr-2020 - 00:00,43.72,78.38,32.77,95.64,725.35,53.33,0.0,173.93,0.53,-0.06,23.53,0.54,0.16,2.86,25.14,1.2,6.72,4.56,11.42,0.54,2.69,02-Apr-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
02-Apr-2020 - 00:00,46.72,79.98,32.28,105.81,724.92,51.41,0.0,118.98,0.59,-0.02,24.01,0.68,0.45,4.81,25.62,1.21,6.41,4.39,10.82,0.58,3.05,03-Apr-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
03-Apr-2020 - 00:00,38.24,70.08,31.77,108.21,725.47,51.97,0.0,113.02,0.69,-0.02,23.75,0.28,0.12,4.25,25.61,1.14,5.96,4.1,10.15,0.46,2.55,04-Apr-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
04-Apr-2020 - 00:00,36.85,74.18,31.57,46.61,726.62,51.77,0.0,124.84,0.55,-0.05,22.76,0.34,0.24,5.23,21.27,1.14,7.1,4.7,9.23,0.48,2.53,05-Apr-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
05-Apr-2020 - 00:00,30.92,55.25,31.64,130.6,725.0,52.24,0.0,111.02,0.7,-0.01,23.79,0.05,0.0,4.27,23.24,1.09,3.73,2.88,9.08,0.44,1.07,06-Apr-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
06-Apr-2020 - 00:00,27.84,62.4,31.77,100.49,725.77,58.31,0.0,169.58,0.65,-0.01,22.98,0.41,0.0,3.96,21.42,1.22,5.86,4.11,10.0,0.48,3.53,07-Apr-2020 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
