from date,BP,PM10,PM2.5,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
18-Jun-2020 - 00:00,721.22,115.7,40.52,230.47,1.29,0.79,0.27,1.46,0.62,0.69,36.13,6.38,22.61,28.98,55.8,8.64,19-Jun-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
19-Jun-2020 - 00:00,722.74,102.38,36.16,273.95,1.29,0.56,0.18,0.98,0.39,0.47,30.88,5.79,16.74,22.53,59.36,13.69,20-Jun-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
20-Jun-2020 - 00:00,724.28,112.81,43.64,234.1,1.75,0.35,0.09,0.52,0.24,0.65,30.5,5.93,15.98,21.91,58.46,8.12,21-Jun-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
21-Jun-2020 - 00:00,723.81,70.47,32.03,223.0,1.68,0.41,0.05,0.28,0.12,0.41,31.16,5.83,16.14,21.96,42.36,11.08,22-Jun-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
22-Jun-2020 - 00:00,723.29,53.37,23.49,164.68,1.9,0.7,0.1,0.52,0.24,0.65,31.24,5.87,18.55,24.42,51.97,8.6,23-Jun-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
23-Jun-2020 - 00:00,724.29,50.25,24.88,193.26,1.69,0.62,0.09,0.29,0.13,0.62,21.02,5.86,16.21,22.07,61.58,9.59,24-Jun-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
24-Jun-2020 - 00:00,725.41,37.93,20.26,124.37,1.37,1.0,0.11,0.51,0.24,0.62,22.55,6.02,16.8,22.82,36.76,8.9,25-Jun-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
25-Jun-2020 - 00:00,724.33,199.62,51.09,213.94,1.37,0.71,0.18,0.89,0.4,0.65,26.01,6.39,20.86,27.25,39.66,8.64,26-Jun-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
26-Jun-2020 - 00:00,723.93,82.17,25.79,236.34,1.44,0.71,0.36,1.86,0.78,0.66,26.98,6.66,24.22,30.87,35.06,10.65,27-Jun-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
27-Jun-2020 - 00:00,723.3,72.49,20.78,226.78,1.91,0.37,0.09,0.54,0.24,0.61,23.1,6.34,18.36,24.7,38.25,10.2,28-Jun-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
28-Jun-2020 - 00:00,722.98,69.67,28.34,222.78,1.64,0.26,0.05,0.36,0.16,0.43,21.37,6.76,17.41,24.17,38.26,8.79,29-Jun-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
29-Jun-2020 - 00:00,723.49,83.28,30.92,225.86,1.49,0.43,0.1,0.62,0.26,0.39,21.47,6.73,19.01,25.73,40.64,10.84,30-Jun-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
30-Jun-2020 - 00:00,723.87,62.79,29.32,169.39,1.47,0.59,0.1,0.63,0.25,0.66,18.45,5.92,15.29,21.21,49.4,8.83,01-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
