from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,WS,WD,RF,to date,station
24-Jan-2020 - 00:00,28.69,49.6,13.22,5.26,9.07,23.55,5.97,0.37,11.84,2.57,65.54,0.83,0.4,0.44,45.41,327.69,2.77,297.93,0.0,25-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
25-Jan-2020 - 00:00,49.66,98.99,13.76,5.37,9.43,23.53,6.06,0.54,10.73,4.34,81.25,1.67,0.8,0.77,50.97,333.68,2.21,234.67,0.0,26-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
26-Jan-2020 - 00:00,71.13,138.06,13.4,5.39,9.3,23.6,6.11,0.76,9.04,7.97,87.9,4.35,1.18,0.83,61.3,313.82,2.13,205.59,0.0,27-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
27-Jan-2020 - 00:00,59.13,124.01,14.1,5.32,9.43,23.41,6.12,0.62,11.34,6.39,83.03,1.92,0.28,0.22,75.6,204.95,2.43,101.27,0.0,28-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
28-Jan-2020 - 00:00,66.47,99.39,14.88,5.39,9.32,27.19,6.08,0.66,14.29,4.75,59.3,1.76,1.09,0.79,90.23,206.6,3.02,174.24,0.0,29-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
29-Jan-2020 - 00:00,48.81,70.41,13.44,5.15,9.09,26.17,5.92,0.48,17.69,3.6,57.51,1.12,0.56,0.53,74.24,323.81,2.83,233.79,0.0,30-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
30-Jan-2020 - 00:00,45.6,79.09,14.59,5.49,9.86,23.35,5.35,0.52,10.42,4.16,72.73,1.21,0.61,0.57,74.54,330.16,2.98,283.87,0.0,31-Jan-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
31-Jan-2020 - 00:00,49.84,76.92,14.69,5.3,9.83,25.14,5.18,0.55,10.72,4.53,82.31,1.14,0.56,0.55,78.74,310.08,2.24,198.44,0.0,01-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
01-Feb-2020 - 00:00,61.62,95.69,14.59,5.27,9.76,26.31,5.26,0.63,12.7,5.22,80.13,1.56,0.85,0.71,76.69,310.19,1.88,181.63,0.0,02-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
02-Feb-2020 - 00:00,62.77,98.05,14.59,5.35,9.73,26.37,5.23,0.59,11.33,4.57,77.96,1.32,0.68,0.59,72.18,342.15,2.34,253.38,0.0,03-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
03-Feb-2020 - 00:00,72.88,133.68,14.64,5.77,10.17,23.13,5.27,0.69,10.97,5.89,80.66,2.22,1.05,0.92,64.66,337.91,2.06,163.68,0.0,04-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
04-Feb-2020 - 00:00,67.38,106.44,15.05,5.44,10.09,20.37,5.34,0.58,15.47,4.88,69.53,1.56,0.9,0.7,60.82,297.77,2.36,155.54,0.0,05-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
05-Feb-2020 - 00:00,91.6,114.8,15.17,5.46,10.15,24.43,5.28,0.71,12.7,5.59,73.99,1.24,0.75,0.61,71.02,294.85,2.5,239.91,0.0,06-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
06-Feb-2020 - 00:00,59.84,85.79,14.99,5.28,9.96,27.29,5.32,0.57,14.92,4.84,82.64,1.09,0.57,0.55,66.85,339.13,2.05,199.9,0.0,07-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
07-Feb-2020 - 00:00,77.02,115.17,14.67,5.26,9.67,27.41,5.45,0.68,14.4,5.75,72.81,1.87,1.17,0.79,65.25,314.32,2.38,229.69,0.0,08-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
08-Feb-2020 - 00:00,80.41,129.16,15.05,5.54,10.2,27.37,5.42,0.74,13.88,6.59,78.41,1.66,0.78,0.8,65.92,324.32,2.25,226.91,0.0,09-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
09-Feb-2020 - 00:00,83.34,129.84,14.77,5.02,9.56,27.45,5.32,0.76,12.07,6.87,87.04,2.55,1.13,1.11,61.86,325.5,2.27,156.25,0.0,10-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
10-Feb-2020 - 00:00,93.57,155.66,14.86,5.52,10.06,26.73,5.41,0.81,11.71,7.08,79.98,1.98,0.92,0.87,62.49,318.19,2.04,174.81,0.0,11-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
11-Feb-2020 - 00:00,104.3,162.85,15.89,5.42,9.59,23.67,5.45,0.81,11.44,7.15,78.86,2.32,1.21,0.92,67.51,287.66,2.0,159.16,0.0,12-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
12-Feb-2020 - 00:00,97.45,150.21,13.23,5.58,9.41,21.57,5.29,0.77,11.04,8.0,85.06,2.62,0.74,0.71,58.71,322.49,2.99,278.24,0.0,13-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
13-Feb-2020 - 00:00,51.25,81.97,15.74,7.21,11.22,21.6,5.59,0.46,13.08,3.12,55.29,0.72,0.2,0.21,51.16,334.29,3.42,303.59,0.0,14-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
14-Feb-2020 - 00:00,41.6,103.16,18.08,8.11,12.58,21.54,5.31,0.36,13.67,2.98,52.26,0.63,0.31,0.32,31.94,403.36,4.28,305.08,0.0,15-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
15-Feb-2020 - 00:00,27.86,65.88,18.01,8.24,12.59,21.46,5.51,0.36,13.74,2.73,64.67,0.76,0.35,0.37,30.25,370.11,3.29,285.19,0.0,16-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
16-Feb-2020 - 00:00,46.06,115.61,18.25,8.04,12.54,21.44,5.49,0.51,10.54,4.86,90.15,1.62,0.65,0.71,31.6,334.5,2.55,209.65,0.0,17-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
17-Feb-2020 - 00:00,61.05,138.03,18.26,8.43,12.79,21.41,5.65,0.65,7.49,5.68,84.19,1.95,0.76,0.86,36.59,335.57,2.51,236.26,0.0,18-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
18-Feb-2020 - 00:00,59.49,117.47,,,,,4.47,0.59,7.91,6.51,69.17,2.81,2.54,2.96,37.18,325.95,3.28,231.87,0.0,19-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
19-Feb-2020 - 00:00,52.96,149.83,,,,,3.41,0.53,7.81,5.08,64.08,0.66,0.84,1.32,46.51,312.05,3.24,159.68,0.0,20-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
20-Feb-2020 - 00:00,41.31,93.52,,,,,3.34,0.45,9.73,3.81,59.04,0.45,0.53,0.81,62.4,214.14,3.36,144.09,0.04,21-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
21-Feb-2020 - 00:00,56.53,66.78,,,,,3.2,0.5,4.95,4.06,75.58,0.55,0.69,1.07,89.92,209.86,3.58,124.23,0.0,22-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
22-Feb-2020 - 00:00,78.68,113.05,,,,,5.46,0.7,11.39,5.14,61.98,0.55,0.58,0.97,85.68,246.53,2.81,198.22,0.0,23-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
23-Feb-2020 - 00:00,91.3,124.35,,,,,5.46,0.7,1.82,6.72,109.61,1.02,1.01,2.04,87.2,325.25,2.27,205.57,0.0,24-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
24-Feb-2020 - 00:00,71.76,106.11,,,,,5.56,0.6,2.18,5.37,105.53,0.73,0.73,1.52,81.75,292.29,2.36,234.09,0.0,25-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
25-Feb-2020 - 00:00,71.26,111.6,,,,,5.34,0.65,2.45,6.61,123.08,0.81,0.69,1.62,69.51,329.73,2.45,149.2,0.0,26-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
26-Feb-2020 - 00:00,68.18,168.37,,,,,5.71,0.71,2.44,6.24,123.83,1.11,0.98,2.38,64.4,329.26,2.29,145.1,0.0,27-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
27-Feb-2020 - 00:00,91.61,148.39,,,,,5.62,0.68,8.91,6.54,94.45,1.02,1.27,2.25,72.36,293.66,2.3,114.95,0.0,28-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
28-Feb-2020 - 00:00,59.73,97.26,,,,,5.53,0.46,7.76,4.35,66.56,0.53,0.54,1.07,71.88,277.02,3.02,143.2,0.0,29-Feb-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
29-Feb-2020 - 00:00,49.08,83.54,,,,,5.34,0.44,6.43,4.16,71.24,0.46,0.46,0.87,77.25,242.63,3.61,146.94,0.05,01-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
01-Mar-2020 - 00:00,34.92,49.06,,,,,5.48,0.37,2.53,3.06,89.25,0.57,0.53,0.96,99.13,0.03,2.82,133.99,0.0,02-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
02-Mar-2020 - 00:00,-999.9,,,,,,7.15,0.52,10.22,5.09,122.16,0.66,0.54,1.19,70.69,219.18,3.08,76.17,0.0,03-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
03-Mar-2020 - 00:00,47.19,86.24,,,,,6.48,0.58,10.26,5.89,126.66,0.84,0.75,1.78,75.97,333.07,2.41,149.88,0.0,04-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
04-Mar-2020 - 00:00,56.39,104.33,,,,,6.8,0.42,13.13,4.25,101.22,0.73,0.8,1.53,73.61,240.75,3.55,140.08,0.02,05-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
05-Mar-2020 - 00:00,22.35,37.1,,,,,5.87,0.24,15.1,2.3,68.68,0.48,0.53,0.89,81.75,227.67,3.78,142.19,0.17,06-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
06-Mar-2020 - 00:00,26.01,37.29,,,,,4.73,0.37,18.66,1.86,50.28,0.39,0.32,0.66,90.7,287.83,3.55,141.08,0.06,07-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
07-Mar-2020 - 00:00,22.05,37.51,,,,,4.32,0.3,10.29,3.36,85.82,1.58,1.4,1.89,78.97,372.9,2.99,219.22,0.0,08-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
08-Mar-2020 - 00:00,34.65,80.92,,,,,3.46,0.42,8.7,3.78,112.27,0.81,1.0,1.75,69.26,364.96,3.28,250.04,0.0,09-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
09-Mar-2020 - 00:00,35.34,85.65,,,,,3.39,0.4,9.09,3.09,107.37,0.68,0.59,1.28,63.42,373.22,3.81,297.49,0.0,10-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
10-Mar-2020 - 00:00,43.72,96.57,,,,,173.76,0.58,12.28,4.22,104.5,0.64,0.59,1.06,,,2.88,167.93,0.0,11-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
11-Mar-2020 - 00:00,25.97,80.26,,,,,19.21,0.66,33.67,2.27,48.76,0.37,0.23,0.44,60.94,264.92,4.5,169.35,0.03,12-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
12-Mar-2020 - 00:00,18.78,162.39,,,,,3.45,0.27,22.32,2.55,59.75,0.44,0.33,0.68,47.59,241.13,3.64,185.39,0.0,13-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
13-Mar-2020 - 00:00,50.5,247.53,,,,,10.05,0.32,13.95,2.55,75.84,0.4,0.36,0.68,38.05,365.59,3.11,207.65,0.0,14-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
14-Mar-2020 - 00:00,41.46,138.45,,,,,9.68,0.34,10.88,2.41,80.72,0.3,0.28,0.51,51.95,347.66,3.71,314.07,0.0,15-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
15-Mar-2020 - 00:00,33.41,77.17,,,,,9.35,0.42,10.34,2.91,92.82,0.38,0.34,0.62,57.19,328.4,2.94,208.83,0.0,16-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
16-Mar-2020 - 00:00,42.22,91.47,,,,,4.82,0.4,9.64,3.1,104.04,0.55,0.48,0.97,63.42,261.94,2.18,198.61,0.0,17-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
17-Mar-2020 - 00:00,44.24,105.37,,,,,5.03,0.5,9.21,3.85,109.18,0.75,0.72,1.49,57.45,303.85,2.36,228.09,0.0,18-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
18-Mar-2020 - 00:00,45.86,113.59,,,,,5.18,0.5,10.02,3.77,92.84,0.85,0.79,1.66,55.15,312.38,2.56,218.06,0.0,19-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
19-Mar-2020 - 00:00,49.87,133.03,,,,,5.29,0.48,9.66,3.78,86.03,0.72,0.78,1.48,57.71,307.35,2.4,179.66,0.0,20-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
20-Mar-2020 - 00:00,55.3,108.6,,,,,5.38,0.47,12.2,4.18,80.0,0.83,1.11,1.77,58.05,193.82,2.45,154.89,0.0,21-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
21-Mar-2020 - 00:00,20.39,53.69,,,,,5.44,0.29,12.06,1.89,54.37,0.35,0.24,0.38,51.79,286.82,3.71,169.05,0.0,22-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
22-Mar-2020 - 00:00,49.2,104.67,,,,,5.74,0.47,9.01,,,,0.0,0.0,52.33,304.41,3.18,225.16,0.0,23-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
23-Mar-2020 - 00:00,42.15,109.82,,,,,19.02,0.79,13.65,4.46,118.56,0.93,0.6,1.51,51.31,,2.68,132.15,0.0,24-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
24-Mar-2020 - 00:00,40.68,87.45,,,,,3.76,0.42,10.48,4.37,99.9,0.75,0.72,1.54,57.72,231.52,4.47,133.9,0.0,25-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
25-Mar-2020 - 00:00,27.45,50.98,,,,,3.91,0.34,9.2,3.39,94.65,0.56,0.55,1.11,63.95,146.4,3.99,148.78,0.0,26-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
26-Mar-2020 - 00:00,11.98,22.98,,,,,3.96,0.21,9.06,1.74,77.79,0.41,0.4,0.82,65.97,95.88,4.48,245.29,0.01,27-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
27-Mar-2020 - 00:00,10.19,16.62,,,,,3.99,0.18,11.11,1.52,60.26,0.3,0.3,0.59,79.23,105.83,4.2,206.22,0.01,28-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
28-Mar-2020 - 00:00,15.78,29.22,,,,,4.09,0.27,8.81,2.34,86.64,0.44,0.43,0.88,65.45,283.44,2.98,203.66,0.0,29-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
29-Mar-2020 - 00:00,19.33,38.65,,,,,4.14,0.28,10.71,2.66,79.29,0.39,0.4,0.75,54.15,297.79,4.06,270.49,0.0,30-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
30-Mar-2020 - 00:00,22.66,50.16,,,,,4.19,0.3,11.35,2.65,78.58,0.37,0.36,0.69,47.19,327.98,4.46,281.38,0.0,31-Mar-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
31-Mar-2020 - 00:00,24.84,61.52,,,,,4.47,0.34,11.02,3.45,107.34,0.48,0.52,0.89,47.48,317.54,3.2,133.86,0.0,01-Apr-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
01-Apr-2020 - 00:00,15.68,73.35,,,,,3.85,0.97,15.98,3.36,58.43,0.28,0.21,0.38,53.23,,4.33,319.63,0.0,02-Apr-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
02-Apr-2020 - 00:00,19.94,42.8,,,,,3.9,0.22,11.83,2.4,68.46,0.28,0.29,0.53,49.46,287.15,5.45,295.15,0.0,03-Apr-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
03-Apr-2020 - 00:00,19.11,43.81,,,,,3.98,0.26,12.59,2.46,75.59,0.3,0.31,0.55,38.06,282.99,4.97,270.75,0.0,04-Apr-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
04-Apr-2020 - 00:00,26.24,62.91,,,,,4.17,0.35,11.71,3.33,86.99,0.39,0.38,0.71,39.06,327.32,3.62,221.25,0.0,05-Apr-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
05-Apr-2020 - 00:00,28.37,67.31,,,,,4.45,0.35,10.44,4.13,85.9,0.51,0.6,0.93,43.48,356.79,3.03,225.11,0.0,06-Apr-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
06-Apr-2020 - 00:00,25.82,89.25,,,,,8.24,0.21,19.89,3.13,77.5,0.34,0.39,0.56,25.35,346.12,4.75,223.93,0.0,07-Apr-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
07-Apr-2020 - 00:00,23.76,77.15,,,,,2.94,0.26,13.5,3.07,72.9,0.29,0.33,0.51,43.44,298.29,5.14,180.94,0.0,08-Apr-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
08-Apr-2020 - 00:00,17.45,51.23,,,,,3.23,0.25,14.52,2.21,63.71,0.24,0.26,0.42,38.28,309.79,4.57,300.29,0.0,09-Apr-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
09-Apr-2020 - 00:00,23.59,60.23,,,,,4.74,0.29,13.12,3.4,79.58,0.3,0.32,0.51,31.91,317.88,4.87,254.04,0.0,10-Apr-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
10-Apr-2020 - 00:00,30.4,87.49,,,,,4.35,0.36,11.24,3.45,106.05,0.45,0.7,0.83,32.82,365.28,3.42,150.52,0.0,11-Apr-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
11-Apr-2020 - 00:00,41.54,103.74,,,,,4.64,0.36,16.14,3.71,85.63,0.36,0.4,0.62,24.26,307.73,4.4,229.01,0.0,12-Apr-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
12-Apr-2020 - 00:00,24.53,84.39,,,,,4.53,0.3,12.52,3.23,86.06,0.34,0.37,0.59,28.65,343.35,4.36,289.94,0.0,13-Apr-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
13-Apr-2020 - 00:00,35.8,125.83,,,,,4.71,0.42,11.5,5.12,102.86,0.49,0.51,0.91,28.85,332.17,4.34,254.55,0.0,14-Apr-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
14-Apr-2020 - 00:00,38.79,139.53,,,,,4.86,0.4,12.0,4.19,117.82,0.59,0.59,1.11,24.19,294.29,4.59,208.69,0.0,15-Apr-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
15-Apr-2020 - 00:00,32.36,130.78,,,,,4.82,0.31,11.23,3.78,116.6,0.49,0.48,0.84,17.36,276.4,5.1,255.72,0.0,16-Apr-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
16-Apr-2020 - 00:00,29.43,107.59,,,,,4.92,0.33,13.41,3.82,92.22,0.34,0.34,0.57,25.07,309.58,4.37,308.34,0.0,17-Apr-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
17-Apr-2020 - 00:00,27.21,132.34,,,,,5.03,0.29,13.67,2.64,101.96,0.34,0.33,0.56,22.85,343.03,3.47,176.16,0.0,18-Apr-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
18-Apr-2020 - 00:00,34.9,161.7,,,,,5.21,0.33,13.87,3.88,95.64,0.35,0.35,0.61,34.56,373.95,5.5,117.25,0.0,19-Apr-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
19-Apr-2020 - 00:00,21.27,70.81,,,,,5.17,0.28,12.08,3.38,88.15,0.3,0.3,0.5,30.81,373.78,4.39,310.51,0.0,20-Apr-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
20-Apr-2020 - 00:00,16.39,43.91,,,,,5.33,0.25,15.47,2.99,80.56,0.31,0.31,0.56,47.63,189.55,5.38,238.0,0.01,21-Apr-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
21-Apr-2020 - 00:00,23.4,60.72,,,,,5.49,0.33,11.71,3.43,103.05,0.46,0.47,0.89,43.11,368.68,3.81,241.43,0.0,22-Apr-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
22-Apr-2020 - 00:00,24.66,76.34,,,,,5.62,0.38,13.21,3.96,104.08,0.45,0.44,0.85,31.54,379.66,3.78,213.48,0.0,23-Apr-2020 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
