from date,PM2.5,PM10,NO2,SO2,CO,to date,station
14-Jul-2020 - 00:00,38.77,309.0,39.57,20.11,4.69,15-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
15-Jul-2020 - 00:00,35.74,309.0,42.9,29.66,5.01,16-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
16-Jul-2020 - 00:00,45.95,144.5,53.5,1.0,0.01,17-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
17-Jul-2020 - 00:00,,,,,,18-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
18-Jul-2020 - 00:00,24.44,66.14,55.59,1.29,0.01,19-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
19-Jul-2020 - 00:00,46.52,131.61,77.33,4.43,0.01,20-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
20-Jul-2020 - 00:00,102.73,286.98,47.34,1.29,0.01,21-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
21-Jul-2020 - 00:00,53.01,152.22,41.51,3.76,0.01,22-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
22-Jul-2020 - 00:00,107.43,219.12,53.77,1.27,0.01,23-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
23-Jul-2020 - 00:00,31.88,63.75,31.83,1.36,0.02,24-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
24-Jul-2020 - 00:00,78.03,156.06,47.36,6.91,0.01,25-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
25-Jul-2020 - 00:00,116.0,232.0,70.65,1.41,0.01,26-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
26-Jul-2020 - 00:00,116.0,232.0,41.0,5.17,0.01,27-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
27-Jul-2020 - 00:00,95.61,191.21,41.04,1.37,0.02,28-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
28-Jul-2020 - 00:00,46.93,93.86,50.2,4.58,0.01,29-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
29-Jul-2020 - 00:00,66.14,88.89,26.16,3.78,0.02,30-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
30-Jul-2020 - 00:00,74.42,107.12,24.72,4.52,0.01,31-Jul-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
31-Jul-2020 - 00:00,90.47,125.19,30.19,6.55,0.02,01-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
01-Aug-2020 - 00:00,89.65,125.38,19.76,1.81,0.02,02-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
02-Aug-2020 - 00:00,100.22,143.22,9.85,1.33,0.02,03-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
03-Aug-2020 - 00:00,,,,,,04-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
04-Aug-2020 - 00:00,79.67,99.0,12.0,1.25,0.02,05-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
05-Aug-2020 - 00:00,53.98,76.23,15.42,1.27,0.02,06-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
06-Aug-2020 - 00:00,73.4,105.81,23.07,1.22,0.02,07-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
07-Aug-2020 - 00:00,152.92,219.9,38.34,1.74,0.01,08-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
08-Aug-2020 - 00:00,111.14,159.32,34.9,2.94,0.02,09-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
09-Aug-2020 - 00:00,86.0,142.0,22.0,1.0,0.02,10-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
10-Aug-2020 - 00:00,84.37,118.94,36.36,6.26,0.01,11-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
11-Aug-2020 - 00:00,70.12,97.58,43.81,8.43,0.01,12-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
12-Aug-2020 - 00:00,71.98,101.21,30.8,10.8,0.01,13-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
13-Aug-2020 - 00:00,81.47,119.21,61.02,7.74,0.01,14-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
14-Aug-2020 - 00:00,80.6,114.52,31.13,3.1,0.01,15-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
15-Aug-2020 - 00:00,123.64,175.9,31.91,4.48,0.01,16-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
16-Aug-2020 - 00:00,121.44,174.08,46.35,6.57,0.01,17-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
17-Aug-2020 - 00:00,150.22,217.74,51.67,16.6,0.01,18-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
18-Aug-2020 - 00:00,,,,,,19-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
19-Aug-2020 - 00:00,,,,,,20-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
20-Aug-2020 - 00:00,,,,,,21-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
21-Aug-2020 - 00:00,,,,,,22-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
22-Aug-2020 - 00:00,,,,,,23-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
23-Aug-2020 - 00:00,,,,,,24-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
24-Aug-2020 - 00:00,,,,,,25-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
25-Aug-2020 - 00:00,,,,,,26-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
26-Aug-2020 - 00:00,,,,,,27-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
27-Aug-2020 - 00:00,,,,,,28-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
28-Aug-2020 - 00:00,,,,,,29-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
29-Aug-2020 - 00:00,185.12,225.38,102.38,1.17,0.02,30-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
30-Aug-2020 - 00:00,112.96,160.53,23.06,1.11,0.02,31-Aug-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
31-Aug-2020 - 00:00,124.42,178.61,16.16,1.3,0.02,01-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
01-Sep-2020 - 00:00,,,,,,02-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
02-Sep-2020 - 00:00,45.44,65.26,36.71,1.23,1.48,03-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
03-Sep-2020 - 00:00,47.2,69.54,20.8,1.22,2.38,04-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
04-Sep-2020 - 00:00,85.22,124.89,14.7,1.39,3.3,05-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
05-Sep-2020 - 00:00,59.26,87.31,20.96,1.17,3.35,06-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
06-Sep-2020 - 00:00,,,,,,07-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
07-Sep-2020 - 00:00,199.5,296.31,4.25,1.0,2.06,08-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
08-Sep-2020 - 00:00,27.78,40.12,15.81,1.08,3.83,09-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
09-Sep-2020 - 00:00,45.79,64.99,12.3,1.3,2.48,10-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
10-Sep-2020 - 00:00,117.69,157.42,14.27,1.29,3.02,11-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
11-Sep-2020 - 00:00,58.81,85.82,16.4,1.26,2.44,12-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
12-Sep-2020 - 00:00,127.52,167.59,0.99,1.2,2.95,13-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
13-Sep-2020 - 00:00,98.39,131.89,22.71,1.27,3.07,14-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
14-Sep-2020 - 00:00,43.0,61.25,20.76,1.31,3.18,15-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
15-Sep-2020 - 00:00,43.0,61.24,35.49,1.27,3.47,16-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
16-Sep-2020 - 00:00,43.0,61.25,19.72,1.27,3.12,17-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
17-Sep-2020 - 00:00,43.0,61.7,17.47,1.27,2.62,18-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
18-Sep-2020 - 00:00,44.81,60.96,47.96,1.33,2.9,19-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
19-Sep-2020 - 00:00,45.92,64.6,26.29,1.21,2.86,20-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
20-Sep-2020 - 00:00,25.06,35.46,15.7,1.39,3.08,21-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
21-Sep-2020 - 00:00,22.11,31.34,15.61,1.58,3.18,22-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
22-Sep-2020 - 00:00,29.54,41.56,20.25,3.47,3.77,23-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
23-Sep-2020 - 00:00,36.28,51.8,16.71,1.53,3.77,24-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
24-Sep-2020 - 00:00,53.62,74.8,11.35,1.23,4.93,25-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
25-Sep-2020 - 00:00,73.82,101.88,8.85,1.3,5.51,26-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
26-Sep-2020 - 00:00,85.06,118.65,13.04,1.32,6.19,27-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
27-Sep-2020 - 00:00,58.92,83.2,6.18,1.24,6.16,28-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
28-Sep-2020 - 00:00,92.51,134.89,7.17,1.2,6.09,29-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
29-Sep-2020 - 00:00,66.04,91.67,7.9,1.3,6.25,30-Sep-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
30-Sep-2020 - 00:00,75.15,105.12,6.16,1.36,6.59,01-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
01-Oct-2020 - 00:00,312.12,451.35,3.7,1.3,7.33,02-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
02-Oct-2020 - 00:00,57.7,80.24,5.92,1.25,6.78,03-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
03-Oct-2020 - 00:00,151.48,211.4,3.8,1.28,7.45,04-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
04-Oct-2020 - 00:00,65.75,90.9,5.5,1.33,7.33,05-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
05-Oct-2020 - 00:00,69.91,99.78,6.56,1.33,7.44,06-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
06-Oct-2020 - 00:00,48.1,67.56,4.33,1.3,7.98,07-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
07-Oct-2020 - 00:00,43.81,61.33,2.36,1.19,8.19,08-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
08-Oct-2020 - 00:00,31.16,43.32,4.5,1.35,8.68,09-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
09-Oct-2020 - 00:00,55.0,77.04,4.7,1.29,8.65,10-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
10-Oct-2020 - 00:00,55.0,77.04,5.15,1.32,8.83,11-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
11-Oct-2020 - 00:00,55.0,76.53,5.85,1.27,8.73,12-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
12-Oct-2020 - 00:00,55.0,77.16,5.58,1.35,9.09,13-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
13-Oct-2020 - 00:00,55.0,77.04,5.17,1.28,9.27,14-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
14-Oct-2020 - 00:00,55.0,77.04,2.24,1.24,9.38,15-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
15-Oct-2020 - 00:00,48.15,68.08,1.78,1.22,9.74,16-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
16-Oct-2020 - 00:00,42.92,57.81,1.31,1.39,9.98,17-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
17-Oct-2020 - 00:00,214.59,290.35,2.9,1.29,10.0,18-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
18-Oct-2020 - 00:00,,,,,,19-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
19-Oct-2020 - 00:00,264.67,348.75,14.86,1.39,1.59,20-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
20-Oct-2020 - 00:00,462.5,610.25,13.95,1.35,8.7,21-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
21-Oct-2020 - 00:00,26.27,36.5,19.95,1.28,8.9,22-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
22-Oct-2020 - 00:00,27.62,38.92,17.67,1.26,9.22,23-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
23-Oct-2020 - 00:00,33.27,44.98,11.02,1.28,5.92,24-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
24-Oct-2020 - 00:00,33.85,47.02,11.0,1.34,2.2,25-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
25-Oct-2020 - 00:00,57.89,81.0,14.76,1.26,5.53,26-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
26-Oct-2020 - 00:00,,,,,,27-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
27-Oct-2020 - 00:00,16.85,23.01,7.17,1.25,0.01,28-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
28-Oct-2020 - 00:00,25.88,35.42,5.68,1.28,0.01,29-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
29-Oct-2020 - 00:00,26.19,36.27,1.0,1.2,0.01,30-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
30-Oct-2020 - 00:00,26.31,36.75,1.0,1.22,2.03,31-Oct-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
31-Oct-2020 - 00:00,24.27,34.1,1.0,1.28,6.62,01-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
01-Nov-2020 - 00:00,23.94,33.81,1.0,1.22,6.9,02-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
02-Nov-2020 - 00:00,25.6,36.24,1.0,1.27,6.8,03-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
03-Nov-2020 - 00:00,24.99,34.76,0.96,1.21,3.96,04-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
04-Nov-2020 - 00:00,33.48,45.98,1.0,1.26,3.98,05-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
05-Nov-2020 - 00:00,32.56,45.69,1.0,1.35,4.06,06-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
06-Nov-2020 - 00:00,29.83,41.65,1.0,1.26,4.47,07-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
07-Nov-2020 - 00:00,31.21,43.44,1.0,1.31,5.06,08-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
08-Nov-2020 - 00:00,36.08,50.67,1.0,1.24,4.95,09-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
09-Nov-2020 - 00:00,37.0,52.0,1.0,1.21,5.0,10-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
10-Nov-2020 - 00:00,37.0,52.0,1.0,1.24,5.33,11-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
11-Nov-2020 - 00:00,37.0,52.0,1.0,1.24,5.84,12-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
12-Nov-2020 - 00:00,37.0,52.0,1.0,1.38,6.47,13-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
13-Nov-2020 - 00:00,37.0,52.0,1.0,1.2,5.59,14-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
14-Nov-2020 - 00:00,37.0,50.84,0.97,1.17,5.31,15-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
15-Nov-2020 - 00:00,37.0,52.0,1.0,1.17,5.0,16-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
16-Nov-2020 - 00:00,37.0,52.0,1.0,1.17,5.35,17-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
17-Nov-2020 - 00:00,37.0,52.0,1.0,1.28,5.76,18-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
18-Nov-2020 - 00:00,37.0,52.0,1.0,1.31,6.04,19-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
19-Nov-2020 - 00:00,37.0,52.0,1.0,1.32,6.65,20-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
20-Nov-2020 - 00:00,36.6,51.52,1.0,1.13,6.94,21-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
21-Nov-2020 - 00:00,27.06,37.98,1.0,1.19,6.98,22-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
22-Nov-2020 - 00:00,26.52,37.48,1.0,1.27,7.33,23-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
23-Nov-2020 - 00:00,34.04,48.0,1.0,1.23,7.52,24-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
24-Nov-2020 - 00:00,36.6,51.29,1.0,1.22,7.94,25-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
25-Nov-2020 - 00:00,37.25,52.19,1.0,1.28,7.79,26-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
26-Nov-2020 - 00:00,36.5,51.79,1.0,1.35,7.98,27-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
27-Nov-2020 - 00:00,24.29,34.52,1.0,1.31,8.42,28-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
28-Nov-2020 - 00:00,19.3,27.54,1.0,1.3,7.41,29-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
29-Nov-2020 - 00:00,19.25,27.06,1.0,1.18,1.76,30-Nov-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
30-Nov-2020 - 00:00,38.46,57.65,1.0,1.39,1.06,01-Dec-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
01-Dec-2020 - 00:00,34.0,55.0,1.0,1.0,1.5,02-Dec-2020 - 00:00,"GIDC, Nandesari - Nandesari Ind. Association"
