from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
04-Apr-2020 - 00:00,28.97,989.8,59.38,30.35,49.08,213.91,314.39,0.99,0.2,1.44,32.25,1.5,9.91,8.41,0.44,28.7,6.06,05-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
05-Apr-2020 - 00:00,29.58,990.55,79.8,44.03,48.97,192.74,168.96,1.11,0.24,1.95,37.54,1.45,9.24,7.79,0.48,33.99,16.0,06-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
06-Apr-2020 - 00:00,30.23,989.27,90.21,50.14,47.07,203.22,243.65,1.04,0.37,2.45,38.36,1.73,9.6,7.88,0.52,26.95,8.7,07-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
07-Apr-2020 - 00:00,28.52,987.83,60.0,27.0,57.22,3.02,339.17,0.97,0.2,1.4,39.52,0.82,6.35,5.57,0.4,24.55,5.93,08-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
08-Apr-2020 - 00:00,27.85,986.82,53.5,23.06,38.66,154.77,315.01,1.14,0.12,0.95,38.83,0.43,14.91,16.26,0.67,32.57,2.24,09-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
09-Apr-2020 - 00:00,29.34,988.36,59.86,25.1,46.81,195.18,285.05,0.9,0.18,1.3,37.47,1.22,22.42,23.09,0.63,30.94,3.86,10-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
10-Apr-2020 - 00:00,30.09,989.34,79.78,44.34,45.47,200.26,230.9,0.66,0.26,2.04,40.76,4.39,33.8,32.27,0.56,18.4,7.55,11-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
11-Apr-2020 - 00:00,30.72,990.25,101.46,50.71,44.32,190.53,164.4,0.84,0.43,2.16,45.97,2.11,26.26,26.15,0.54,23.25,11.39,12-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
12-Apr-2020 - 00:00,30.46,988.13,71.04,29.32,44.99,205.94,292.39,0.86,0.19,1.32,41.61,1.29,25.32,25.73,0.43,31.3,7.62,13-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
13-Apr-2020 - 00:00,30.85,986.07,98.64,54.89,45.64,201.27,275.6,0.79,0.3,1.71,45.42,2.08,27.48,25.98,0.56,22.39,10.88,14-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
14-Apr-2020 - 00:00,31.18,986.47,98.88,41.05,44.99,148.66,164.98,0.57,0.28,2.2,54.22,1.61,18.43,16.84,0.55,19.28,8.0,15-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
15-Apr-2020 - 00:00,31.38,986.11,148.75,58.64,41.05,187.19,220.03,0.82,0.38,2.23,62.91,2.42,18.84,16.43,0.59,19.4,6.64,16-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
16-Apr-2020 - 00:00,31.35,984.81,161.69,74.32,39.84,170.72,255.14,0.9,0.46,2.88,68.53,4.57,22.47,17.92,0.64,22.55,8.39,17-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
17-Apr-2020 - 00:00,31.09,984.51,73.77,18.16,39.89,172.17,159.96,1.68,0.16,1.23,47.33,0.66,8.88,8.22,0.28,35.56,7.63,18-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
18-Apr-2020 - 00:00,30.24,986.37,79.68,21.68,48.13,175.31,89.04,2.18,0.18,1.6,48.42,0.57,7.98,7.44,0.3,28.48,6.23,19-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
19-Apr-2020 - 00:00,29.82,985.84,47.64,25.24,52.1,216.66,231.92,0.88,0.2,1.66,51.51,1.33,11.62,10.33,0.41,25.16,5.61,20-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
20-Apr-2020 - 00:00,29.24,986.74,78.88,43.05,53.24,115.42,190.41,0.99,0.46,4.03,58.27,5.35,19.09,13.71,0.55,19.0,6.64,21-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
21-Apr-2020 - 00:00,29.8,987.05,59.59,27.81,49.86,202.35,258.18,0.87,0.21,1.29,49.8,0.9,10.57,9.7,0.36,26.52,6.55,22-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
22-Apr-2020 - 00:00,30.23,985.69,89.91,48.14,46.37,215.05,203.26,0.64,0.25,1.92,47.68,2.24,15.2,12.96,0.49,15.51,8.6,23-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
23-Apr-2020 - 00:00,30.23,984.81,88.15,44.97,44.5,119.39,192.98,0.95,0.31,2.15,51.15,1.1,12.4,11.35,0.43,26.57,7.19,24-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
24-Apr-2020 - 00:00,30.52,983.37,90.09,50.18,47.81,207.41,166.72,0.86,0.32,1.65,56.37,1.29,12.57,11.28,0.51,20.93,7.06,25-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
25-Apr-2020 - 00:00,30.7,983.64,55.64,19.31,44.61,169.98,187.68,0.98,0.15,1.22,47.67,0.58,9.58,9.04,0.33,31.28,4.76,26-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
26-Apr-2020 - 00:00,29.02,986.47,88.2,35.92,57.84,92.7,123.56,2.29,0.24,1.72,54.27,0.81,8.12,7.31,0.42,30.02,4.53,27-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
27-Apr-2020 - 00:00,28.47,989.58,40.11,22.38,64.86,253.63,118.09,2.55,0.11,0.8,52.67,0.65,6.92,6.28,0.32,24.92,3.82,28-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
28-Apr-2020 - 00:00,,,79.04,28.19,,,,,1.38,1.43,,,,,,,,29-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
29-Apr-2020 - 00:00,30.64,985.89,100.65,47.57,54.84,3.36,117.8,2.1,1.94,2.04,31.95,1.02,8.86,7.9,0.5,32.15,5.78,30-Apr-2020 - 00:00,"Patparganj, Delhi - DPCC"
30-Apr-2020 - 00:00,31.14,985.88,119.18,41.56,51.08,190.56,160.69,0.96,0.21,1.3,36.57,0.49,5.67,5.74,0.46,27.2,5.88,01-May-2020 - 00:00,"Patparganj, Delhi - DPCC"
01-May-2020 - 00:00,30.57,983.99,132.5,50.63,57.12,95.9,118.04,1.88,0.22,1.82,55.9,0.63,5.14,5.02,0.42,27.09,5.06,02-May-2020 - 00:00,"Patparganj, Delhi - DPCC"
02-May-2020 - 00:00,30.67,984.04,104.46,27.17,54.68,188.36,115.4,2.86,0.12,0.96,54.36,0.84,2.61,1.77,0.39,33.62,4.87,03-May-2020 - 00:00,"Patparganj, Delhi - DPCC"
03-May-2020 - 00:00,29.76,985.12,69.0,25.73,61.18,111.06,138.54,1.96,0.15,0.9,49.31,1.01,3.24,2.22,0.4,29.04,5.11,04-May-2020 - 00:00,"Patparganj, Delhi - DPCC"
04-May-2020 - 00:00,29.96,986.42,59.82,21.2,57.37,194.74,148.0,1.38,0.11,0.91,43.22,1.02,3.24,2.23,0.38,30.79,6.68,05-May-2020 - 00:00,"Patparganj, Delhi - DPCC"
05-May-2020 - 00:00,31.02,984.95,105.93,50.72,50.13,204.01,185.41,0.92,0.25,1.7,42.62,1.19,4.72,3.54,0.51,26.99,12.23,06-May-2020 - 00:00,"Patparganj, Delhi - DPCC"
06-May-2020 - 00:00,30.72,984.52,147.53,50.77,48.43,147.14,130.6,1.26,0.24,2.01,42.33,1.15,5.13,3.98,0.51,26.08,6.4,07-May-2020 - 00:00,"Patparganj, Delhi - DPCC"
