from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,WS,WD,RH,SR,RF,to date,station
13-Apr-2020 - 00:00,30.74,48.34,3.51,68.77,83.05,3.01,16.55,0.96,1.29,0.0,0.0,0.0,0.0,0.66,5.29,70.69,363.6,0.0,14-Apr-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
14-Apr-2020 - 00:00,28.15,46.58,3.77,70.19,84.61,3.04,16.84,0.98,1.27,0.0,0.0,0.01,0.0,0.77,5.34,67.12,393.29,0.05,15-Apr-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
15-Apr-2020 - 00:00,17.04,31.47,4.37,72.59,87.12,3.44,16.7,0.92,1.26,0.0,0.0,0.0,0.0,0.78,4.9,66.09,406.25,0.01,16-Apr-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
16-Apr-2020 - 00:00,19.03,32.37,5.3,78.02,93.08,4.34,16.42,0.98,1.38,0.0,0.0,0.0,0.0,0.76,4.61,70.45,394.95,0.63,17-Apr-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
17-Apr-2020 - 00:00,20.22,31.55,4.33,75.96,91.19,3.53,17.06,0.98,1.35,0.0,0.0,0.0,0.0,0.59,4.15,70.32,348.57,0.07,18-Apr-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
18-Apr-2020 - 00:00,18.51,29.6,3.62,74.72,90.13,2.7,17.03,0.94,1.28,0.0,0.0,0.0,0.0,0.6,4.04,71.78,333.85,0.0,19-Apr-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
19-Apr-2020 - 00:00,25.03,38.48,4.18,75.86,91.17,2.55,16.84,0.98,1.33,0.0,0.0,0.0,0.0,0.86,4.67,68.5,409.43,0.0,20-Apr-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
20-Apr-2020 - 00:00,18.41,32.33,4.54,75.7,90.75,3.18,16.95,0.99,1.3,0.0,0.0,0.0,0.0,0.77,4.64,69.37,373.03,0.7,21-Apr-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
21-Apr-2020 - 00:00,12.11,23.59,9.77,72.18,79.69,7.6,12.99,1.03,1.33,0.0,0.0,0.0,0.0,0.76,3.89,73.63,335.6,0.06,22-Apr-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
22-Apr-2020 - 00:00,11.62,22.79,11.18,51.02,49.18,8.43,15.56,0.99,1.32,0.0,0.0,0.0,0.0,0.68,3.89,72.86,374.86,0.37,23-Apr-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
23-Apr-2020 - 00:00,15.33,25.58,6.13,36.19,35.36,4.42,16.4,1.05,1.27,0.0,0.0,0.0,0.0,0.65,3.81,70.23,385.2,0.0,24-Apr-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
24-Apr-2020 - 00:00,13.34,27.93,4.55,31.57,31.06,3.29,17.06,1.06,1.27,0.0,0.0,0.0,0.0,0.56,4.17,70.71,298.83,0.0,25-Apr-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
25-Apr-2020 - 00:00,19.66,41.6,5.35,33.19,32.52,3.43,16.79,1.05,1.24,0.0,0.0,0.0,0.0,0.83,4.76,66.47,428.04,0.0,26-Apr-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
26-Apr-2020 - 00:00,27.27,46.83,6.59,38.45,37.54,6.09,16.43,1.09,1.25,0.0,0.0,0.0,0.0,0.78,4.14,76.42,232.5,0.31,27-Apr-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
27-Apr-2020 - 00:00,17.38,31.76,7.5,39.92,38.81,5.56,16.78,1.07,1.3,0.0,0.0,0.0,0.0,0.78,3.36,70.01,416.04,0.0,28-Apr-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
28-Apr-2020 - 00:00,15.8,32.39,6.66,37.87,36.93,5.47,16.75,1.03,1.26,0.0,0.0,0.0,0.0,0.9,3.46,69.92,377.45,0.02,29-Apr-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
29-Apr-2020 - 00:00,13.79,26.28,7.18,38.68,37.65,5.29,16.64,0.99,1.24,0.0,0.0,0.0,0.0,0.84,3.35,71.58,263.21,0.02,30-Apr-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
30-Apr-2020 - 00:00,25.16,42.78,6.71,37.03,36.09,5.42,16.52,1.1,1.05,0.0,0.0,0.0,0.0,0.77,3.44,71.15,353.46,0.04,01-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
01-May-2020 - 00:00,15.72,36.33,6.5,38.05,37.15,5.26,16.69,1.04,0.48,0.0,0.0,0.0,0.0,0.75,3.94,67.2,374.54,0.0,02-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
02-May-2020 - 00:00,18.8,35.77,6.37,37.15,36.28,4.8,16.69,1.06,1.27,0.0,0.0,0.0,0.0,0.85,4.12,67.83,370.5,0.0,03-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
03-May-2020 - 00:00,25.5,38.86,6.48,37.98,37.09,5.2,17.03,1.08,1.33,0.0,0.0,0.0,0.0,0.78,4.07,69.25,383.83,0.0,04-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
04-May-2020 - 00:00,21.11,40.68,6.92,38.0,37.01,5.49,16.92,1.12,1.27,0.0,0.0,0.0,0.0,0.78,4.08,69.55,399.54,0.0,05-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
05-May-2020 - 00:00,26.73,45.45,7.48,40.28,39.19,7.16,17.09,1.21,1.34,0.0,0.0,0.0,0.0,0.81,3.91,70.53,377.58,0.0,06-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
06-May-2020 - 00:00,8.52,41.68,9.57,40.61,39.1,8.37,18.32,1.28,1.34,0.0,0.0,0.0,0.0,1.03,3.46,69.06,375.04,0.34,07-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
07-May-2020 - 00:00,17.92,47.53,28.48,91.52,86.49,21.54,6.38,1.55,1.9,0.0,0.0,0.0,0.0,0.9,3.54,66.58,352.73,0.05,08-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
08-May-2020 - 00:00,11.03,28.75,21.45,76.16,72.27,16.74,12.35,1.27,1.22,0.0,0.0,0.0,0.0,0.67,2.88,74.54,312.58,0.18,09-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
