from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Toluene,Xylene,MP-Xylene,Eth-Benzene,WD,WS,AT,RH,RF,BP,SR,to date,station
29-Jan-2020 - 00:00,43.66,110.29,0.84,4.45,5.28,2.31,6.95,0.9,38.59,0.0,0.0,0.0,0.0,248.53,0.73,21.3,56.36,0.0,819.12,93.96,30-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
30-Jan-2020 - 00:00,47.5,149.89,0.83,4.64,5.44,2.39,9.4,0.88,41.58,0.0,0.0,0.0,0.0,240.62,0.59,21.6,47.75,0.0,819.12,94.25,31-Jan-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
31-Jan-2020 - 00:00,46.35,148.32,0.77,4.19,4.95,2.14,12.76,1.05,37.33,0.0,0.0,0.0,0.0,179.06,0.83,21.78,44.47,0.0,819.12,84.88,01-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
01-Feb-2020 - 00:00,41.28,99.25,0.6,4.4,4.95,2.09,6.74,0.67,42.3,0.0,0.0,0.0,0.0,194.51,0.75,21.53,50.39,0.0,819.12,84.03,02-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
02-Feb-2020 - 00:00,49.3,110.53,0.45,3.66,4.07,1.38,7.32,0.53,44.47,0.0,0.0,0.0,0.0,144.98,0.93,21.92,47.17,0.0,819.12,75.37,03-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
03-Feb-2020 - 00:00,40.9,106.74,0.47,3.4,3.85,1.26,2.98,0.15,44.95,0.0,0.0,0.0,0.0,142.74,0.71,22.01,47.63,0.0,819.12,76.3,04-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
04-Feb-2020 - 00:00,37.09,120.34,0.31,3.84,4.1,1.36,6.55,0.6,40.37,0.0,0.0,0.0,0.0,132.88,0.79,22.1,46.37,0.0,819.12,73.35,05-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
05-Feb-2020 - 00:00,41.92,136.23,0.38,4.38,4.69,1.76,8.97,0.43,40.69,0.0,0.0,0.0,0.0,158.49,0.76,22.17,46.44,0.0,819.12,77.92,06-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
06-Feb-2020 - 00:00,47.99,140.71,0.37,3.82,4.16,1.53,6.27,0.55,46.0,0.0,0.0,0.0,0.0,214.03,0.99,22.17,48.17,0.0,819.12,90.84,07-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
07-Feb-2020 - 00:00,37.7,118.47,0.35,3.68,3.99,1.37,6.42,0.71,40.64,0.0,0.0,0.0,0.0,221.6,1.26,21.23,52.95,0.0,819.12,92.62,08-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
08-Feb-2020 - 00:00,37.02,115.02,0.29,3.64,3.83,1.26,8.96,0.45,43.79,0.0,0.0,0.0,0.0,195.26,0.74,20.77,49.63,0.0,819.12,86.89,09-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
09-Feb-2020 - 00:00,41.35,115.48,0.26,3.29,3.48,0.91,5.19,0.15,44.02,0.0,0.0,0.0,0.0,77.38,1.23,21.4,56.01,0.0,819.12,65.4,10-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
10-Feb-2020 - 00:00,31.61,80.17,0.21,3.26,3.32,0.74,3.22,0.23,44.62,0.0,0.0,0.0,0.0,53.48,2.27,21.9,56.42,0.0,819.12,53.52,11-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
11-Feb-2020 - 00:00,25.95,67.61,0.21,3.17,3.21,0.7,3.17,0.75,43.41,0.0,0.0,0.0,0.0,53.75,1.83,21.71,54.78,0.0,819.12,53.92,12-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
12-Feb-2020 - 00:00,28.16,68.99,13.7,3.38,16.43,14.3,4.25,0.79,47.28,0.0,0.0,0.0,0.0,64.12,1.37,21.68,52.78,0.0,819.12,47.69,13-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
13-Feb-2020 - 00:00,35.88,75.97,23.87,3.4,27.27,26.23,3.85,0.63,54.06,0.0,0.0,0.0,0.0,103.67,0.76,22.04,47.03,0.0,819.12,58.1,14-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
14-Feb-2020 - 00:00,50.01,110.96,34.24,4.09,38.33,37.19,9.75,0.58,55.29,0.0,0.0,0.0,0.0,147.06,0.59,22.31,39.08,0.0,819.12,52.02,15-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
15-Feb-2020 - 00:00,54.07,136.42,34.11,3.74,37.85,37.02,13.25,1.11,54.36,0.0,0.0,0.0,0.0,200.98,0.58,22.51,34.51,0.0,819.12,82.22,16-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
16-Feb-2020 - 00:00,46.73,117.2,26.25,3.39,29.68,27.28,11.39,0.91,60.02,0.0,0.0,0.0,0.0,76.36,0.92,22.57,31.94,0.0,819.12,56.17,17-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
17-Feb-2020 - 00:00,41.19,103.42,20.78,3.29,24.07,21.62,5.45,0.86,64.92,0.0,0.0,0.0,0.0,64.28,1.2,22.58,33.38,0.0,819.12,55.54,18-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
18-Feb-2020 - 00:00,44.47,109.65,27.15,3.38,30.52,27.81,9.73,1.02,58.26,0.0,0.0,0.0,0.0,67.38,0.87,22.62,33.12,0.0,819.12,56.15,19-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
19-Feb-2020 - 00:00,53.45,128.36,33.4,4.06,37.45,35.05,14.37,0.95,54.38,0.0,0.0,0.0,0.0,125.04,0.82,22.45,35.62,0.0,819.12,73.01,20-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
20-Feb-2020 - 00:00,40.27,76.85,16.3,3.24,19.54,17.97,6.83,0.84,54.66,0.0,0.0,0.0,0.0,69.62,1.11,21.35,42.05,0.0,819.12,58.18,21-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
21-Feb-2020 - 00:00,28.25,80.17,17.4,3.19,20.6,18.26,4.91,1.17,65.01,0.0,0.0,0.0,0.0,64.01,1.39,23.42,27.92,0.0,819.12,60.69,22-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
22-Feb-2020 - 00:00,23.01,64.71,15.39,3.31,18.7,16.42,5.1,0.94,55.15,0.0,0.0,0.0,0.0,49.72,1.49,22.42,31.37,0.0,819.12,58.9,23-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
23-Feb-2020 - 00:00,23.6,59.97,14.92,3.35,18.27,16.24,5.76,0.75,55.83,0.0,0.0,0.0,0.0,56.19,1.11,22.45,34.67,0.0,819.12,58.27,24-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
24-Feb-2020 - 00:00,36.16,78.45,23.9,3.62,27.52,25.76,9.98,0.41,52.25,0.0,0.0,0.0,0.0,157.71,0.61,22.91,35.96,0.0,819.12,77.17,25-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
25-Feb-2020 - 00:00,40.51,107.77,37.39,4.41,41.8,40.95,15.87,1.21,47.66,0.0,0.0,0.0,0.0,265.94,0.75,22.78,35.92,0.0,819.12,100.8,26-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
26-Feb-2020 - 00:00,33.67,76.22,22.81,3.36,26.17,24.76,7.26,0.93,59.7,0.0,0.0,0.0,0.0,141.7,1.06,22.83,32.44,0.0,819.12,83.0,27-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
27-Feb-2020 - 00:00,41.12,73.94,19.29,3.17,22.45,20.78,8.02,0.81,59.7,0.0,0.0,0.0,0.0,99.87,1.32,22.72,40.34,0.0,819.12,69.6,28-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
28-Feb-2020 - 00:00,36.73,67.35,15.9,3.24,19.13,17.48,5.35,1.27,60.92,0.0,0.0,0.0,0.0,68.14,1.24,22.74,43.38,0.0,819.12,60.88,29-Feb-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
29-Feb-2020 - 00:00,39.83,72.8,17.61,3.34,20.95,19.63,7.2,1.01,54.56,0.0,0.0,0.0,0.0,73.8,1.0,26.75,41.98,0.0,819.12,61.75,01-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
01-Mar-2020 - 00:00,36.45,70.32,19.74,3.34,23.08,22.93,4.34,0.87,55.56,0.0,0.0,0.0,0.0,114.28,0.98,30.55,42.49,0.0,819.12,74.25,02-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
02-Mar-2020 - 00:00,32.36,68.56,18.93,3.42,22.35,21.69,4.17,0.78,56.43,0.0,0.0,0.0,0.0,86.16,0.72,29.73,52.85,0.0,819.12,69.05,03-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
03-Mar-2020 - 00:00,44.44,95.6,29.59,3.66,33.26,33.79,10.28,1.48,54.53,0.0,0.0,0.0,0.0,250.44,1.19,30.3,42.33,0.0,819.12,98.22,04-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
04-Mar-2020 - 00:00,26.86,59.61,31.22,3.86,35.1,35.8,8.81,1.54,43.67,0.0,0.0,0.0,0.0,245.27,2.11,29.66,37.95,0.0,819.12,100.8,05-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
05-Mar-2020 - 00:00,33.69,77.78,26.37,3.84,30.15,31.0,11.92,1.12,45.95,0.0,0.0,0.0,0.0,213.84,0.99,29.07,41.21,0.0,819.14,92.01,06-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
06-Mar-2020 - 00:00,21.22,59.52,22.86,3.69,26.56,26.73,1.96,0.89,45.11,0.0,0.0,0.0,0.0,230.36,2.09,27.78,57.85,0.0,819.12,96.48,07-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
07-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,08-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
08-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,09-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
09-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,10-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
10-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,11-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
11-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,12-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
12-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,13-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
13-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,14-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
14-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,15-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
15-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,16-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
16-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,17-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
17-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,18-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
18-Mar-2020 - 00:00,30.73,61.34,22.08,3.51,25.07,25.07,5.97,1.24,62.38,0.0,,0.0,0.0,169.74,2.22,33.37,80.55,,850.91,533.48,19-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
19-Mar-2020 - 00:00,25.88,56.09,30.56,4.12,34.28,33.84,8.15,2.18,46.75,0.0,,0.0,0.0,145.67,2.3,31.06,78.65,,870.75,540.78,20-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
20-Mar-2020 - 00:00,27.42,62.28,29.69,3.61,33.29,33.32,15.7,2.91,51.77,0.0,,0.0,0.0,91.28,2.43,30.57,76.6,,897.42,544.59,21-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
21-Mar-2020 - 00:00,24.97,65.19,32.95,4.92,37.86,36.25,11.19,1.86,38.23,0.0,,0.0,0.0,123.34,2.25,29.69,74.42,,899.11,531.52,22-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
22-Mar-2020 - 00:00,32.95,80.77,25.99,3.6,29.59,28.73,17.81,0.11,48.54,0.0,,0.0,0.0,115.56,2.27,30.56,77.01,,840.94,518.08,23-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
23-Mar-2020 - 00:00,28.71,68.03,25.58,3.59,29.17,27.46,8.88,1.88,55.2,0.0,,0.0,0.0,125.02,2.21,31.29,77.79,,913.61,540.12,24-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
24-Mar-2020 - 00:00,31.6,68.93,17.64,3.43,21.07,20.81,8.76,2.25,48.8,0.0,,0.0,0.0,157.84,2.3,30.95,86.16,,923.27,528.13,25-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
25-Mar-2020 - 00:00,26.02,49.83,13.1,3.38,16.48,15.58,4.88,0.96,59.37,0.0,,0.0,0.0,197.9,2.51,31.11,81.89,,956.42,523.96,26-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
26-Mar-2020 - 00:00,23.98,57.76,11.94,3.39,15.33,14.86,4.0,1.19,51.74,0.0,,0.0,0.0,178.88,2.41,30.85,76.91,,909.57,529.59,27-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
27-Mar-2020 - 00:00,20.31,39.59,11.26,3.45,14.71,13.53,4.86,3.41,52.47,0.0,,0.0,0.0,239.92,2.39,31.94,75.05,,875.98,517.04,28-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
28-Mar-2020 - 00:00,24.89,44.55,11.37,3.35,14.72,14.14,7.92,0.83,55.41,0.0,,0.0,0.0,186.65,2.23,31.63,74.11,,920.99,519.71,29-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
29-Mar-2020 - 00:00,32.68,61.49,12.04,3.31,15.17,14.41,7.38,0.0,59.6,0.0,,0.0,0.0,197.1,2.29,31.85,73.3,,881.74,508.55,30-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
30-Mar-2020 - 00:00,28.23,55.57,13.81,3.35,17.16,16.05,5.83,0.0,56.87,0.0,,0.0,0.0,173.09,2.32,31.78,75.58,,939.29,528.85,31-Mar-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
31-Mar-2020 - 00:00,24.18,51.67,11.4,3.39,14.79,13.49,6.28,1.78,53.38,0.0,,0.0,0.0,216.13,2.37,32.0,71.66,,924.39,508.17,01-Apr-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
01-Apr-2020 - 00:00,26.58,44.21,14.39,3.44,17.82,18.29,6.31,3.21,49.67,0.0,,0.0,0.0,188.45,2.18,32.09,73.66,,947.27,537.01,02-Apr-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
02-Apr-2020 - 00:00,33.45,55.73,17.04,3.33,20.37,21.46,7.51,3.96,55.74,0.0,,0.0,0.0,124.48,2.17,32.44,77.91,,919.29,545.99,03-Apr-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
03-Apr-2020 - 00:00,24.94,40.3,15.39,3.33,18.71,20.84,4.54,0.05,57.36,0.0,,0.0,0.0,159.39,2.29,32.57,80.19,,918.87,540.4,04-Apr-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
04-Apr-2020 - 00:00,29.41,59.31,18.04,3.74,21.64,23.04,4.16,1.65,44.21,0.0,,0.0,0.0,148.08,2.25,31.42,85.49,,905.48,536.15,05-Apr-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
05-Apr-2020 - 00:00,19.07,65.61,23.2,3.59,26.24,29.42,6.2,3.49,42.73,0.0,,0.0,0.0,183.83,2.28,31.02,89.72,,920.16,539.15,06-Apr-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
06-Apr-2020 - 00:00,19.07,37.54,19.26,3.58,22.83,27.28,2.48,0.42,40.72,0.0,,0.0,0.0,149.32,2.18,30.88,90.11,,839.81,578.14,07-Apr-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
07-Apr-2020 - 00:00,19.07,53.23,21.12,3.77,24.89,29.42,3.87,0.0,45.97,0.0,,0.0,0.0,179.04,2.3,30.73,82.48,,859.99,581.37,08-Apr-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
08-Apr-2020 - 00:00,19.07,28.22,26.73,3.81,30.54,34.6,4.4,0.0,51.9,0.0,,0.0,0.0,98.49,2.53,30.7,75.76,,,601.77,09-Apr-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
09-Apr-2020 - 00:00,18.76,58.07,25.27,4.52,29.79,32.01,8.3,1.63,47.07,0.0,,0.0,0.0,116.15,2.36,31.13,77.45,,913.32,576.96,10-Apr-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
10-Apr-2020 - 00:00,,22.56,14.9,3.71,18.61,19.85,6.16,1.72,53.36,0.0,,0.0,0.0,249.2,2.09,30.78,81.34,,,557.95,11-Apr-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
11-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,12-Apr-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
12-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,13-Apr-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
13-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,14-Apr-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
14-Apr-2020 - 00:00,999.99,40.45,41.43,3.24,39.65,52.28,8.21,2.46,62.98,0.0,,0.0,0.0,240.46,2.45,34.78,63.9,,916.1,483.73,15-Apr-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
15-Apr-2020 - 00:00,19.62,108.05,20.15,4.29,24.44,26.67,9.19,2.09,57.19,0.0,,0.0,0.0,211.17,2.22,32.82,74.42,,909.26,505.38,16-Apr-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
16-Apr-2020 - 00:00,,51.59,18.06,4.29,22.35,25.08,3.83,4.87,46.44,0.0,,0.0,0.0,98.53,2.29,31.56,84.15,,911.23,542.92,17-Apr-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
17-Apr-2020 - 00:00,,36.53,15.3,3.86,19.16,20.46,3.37,0.46,56.35,0.0,,0.0,0.0,129.77,2.21,31.11,87.82,,878.42,545.29,18-Apr-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
18-Apr-2020 - 00:00,,40.57,11.81,3.9,15.6,15.93,3.83,0.0,57.11,0.0,,0.0,0.0,117.72,2.28,30.81,84.3,,894.01,536.4,19-Apr-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
19-Apr-2020 - 00:00,,29.37,7.6,4.36,11.96,9.47,5.14,0.0,60.76,0.0,,0.0,0.0,181.26,2.4,30.85,87.27,,902.11,532.96,20-Apr-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
20-Apr-2020 - 00:00,,40.43,5.89,4.0,9.89,7.21,7.05,0.0,58.65,0.0,,0.0,0.0,205.85,2.32,31.6,87.05,,902.39,528.14,21-Apr-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
21-Apr-2020 - 00:00,19.54,38.85,4.61,4.16,8.77,5.93,3.25,0.99,49.89,0.0,,0.0,0.0,108.38,2.24,31.28,88.18,,924.41,542.72,22-Apr-2020 - 00:00,"Vidayagiri, Bagalkot - KSPCB"
