from date,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,SR,Temp,WD,WS,SO2,to date,station
10-Mar-2020 - 00:00,0.88,9.3,11.21,10.69,21.9,24.34,84.8,49.3,416.27,19.42,194.12,0.34,6.05,11-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
11-Mar-2020 - 00:00,0.83,7.87,10.44,10.47,20.9,15.98,80.59,46.85,553.39,17.11,105.89,0.73,5.07,12-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
12-Mar-2020 - 00:00,0.8,8.6,10.14,9.19,19.33,20.42,46.45,27.01,432.04,19.88,154.67,1.04,7.31,13-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
13-Mar-2020 - 00:00,0.78,8.83,10.99,5.82,17.17,26.42,55.11,32.04,443.02,18.79,135.88,1.38,13.21,14-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
14-Mar-2020 - 00:00,0.77,8.42,9.91,6.68,16.62,22.86,46.23,26.92,524.96,16.12,108.7,0.71,8.42,15-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
15-Mar-2020 - 00:00,0.69,11.73,9.05,7.18,16.23,24.56,55.28,32.14,398.35,18.71,187.92,0.5,8.94,16-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
16-Mar-2020 - 00:00,0.75,9.96,10.28,7.58,17.86,22.35,88.66,51.54,408.32,20.59,259.97,0.62,8.57,17-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
17-Mar-2020 - 00:00,0.77,10.19,11.5,7.94,19.65,22.69,92.79,53.88,406.93,21.95,253.28,0.61,9.26,18-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
18-Mar-2020 - 00:00,0.62,10.11,10.0,8.46,18.46,28.36,97.98,57.08,414.13,23.29,237.25,0.63,8.32,19-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
19-Mar-2020 - 00:00,0.75,10.32,10.67,9.13,20.05,26.95,101.87,59.23,399.91,23.89,207.98,0.47,7.11,20-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
20-Mar-2020 - 00:00,0.69,9.93,12.06,8.06,20.12,31.0,75.62,43.96,211.85,24.97,134.38,0.46,11.84,21-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
21-Mar-2020 - 00:00,0.8,7.55,8.95,8.97,17.91,20.65,98.86,57.47,130.77,23.03,200.89,0.58,13.56,22-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
22-Mar-2020 - 00:00,0.51,10.42,8.99,6.7,15.87,35.23,57.22,32.16,367.65,24.19,198.57,0.57,18.84,23-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
23-Mar-2020 - 00:00,0.49,8.53,8.59,6.98,15.57,26.99,43.78,25.45,354.51,24.9,190.27,0.52,12.02,24-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
24-Mar-2020 - 00:00,0.52,10.48,10.03,4.4,14.94,6.7,37.08,21.53,166.72,21.34,123.19,0.7,12.51,25-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
25-Mar-2020 - 00:00,0.37,6.45,7.8,5.35,13.67,10.6,33.14,19.27,343.92,22.93,259.59,0.65,9.4,26-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
26-Mar-2020 - 00:00,0.37,8.19,7.22,7.31,14.45,12.01,40.43,23.51,295.88,24.26,273.25,0.77,8.81,27-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
27-Mar-2020 - 00:00,0.45,9.85,7.36,7.69,15.14,7.44,43.44,25.26,176.63,20.6,170.09,0.87,16.44,28-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
28-Mar-2020 - 00:00,0.39,9.79,5.09,9.77,14.85,15.79,37.27,21.7,383.9,21.53,191.58,0.75,8.98,29-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
29-Mar-2020 - 00:00,0.32,9.15,4.38,9.72,14.15,15.39,26.17,15.18,406.27,23.53,288.84,0.88,10.58,30-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
30-Mar-2020 - 00:00,0.26,8.93,4.45,10.21,14.66,15.73,34.1,19.83,369.2,23.25,264.27,0.73,11.22,31-Mar-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
31-Mar-2020 - 00:00,0.27,8.54,4.9,11.35,16.25,10.86,34.57,20.1,280.63,22.94,168.23,1.1,9.58,01-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
01-Apr-2020 - 00:00,0.2,8.83,5.67,14.02,19.54,10.41,28.74,16.71,435.84,23.99,285.2,0.95,9.81,02-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
02-Apr-2020 - 00:00,0.24,7.75,7.21,12.08,20.02,16.7,36.88,21.31,426.61,24.45,278.39,0.96,12.55,03-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
03-Apr-2020 - 00:00,0.24,5.83,11.76,9.24,21.0,30.71,38.82,22.57,420.18,23.8,276.44,0.79,15.29,04-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
04-Apr-2020 - 00:00,0.41,8.84,11.22,11.1,22.32,8.45,36.33,21.13,383.57,24.85,216.29,0.6,14.27,05-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
05-Apr-2020 - 00:00,0.47,11.9,10.77,12.64,24.0,12.48,45.09,25.0,349.09,25.82,118.91,0.56,9.84,06-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
06-Apr-2020 - 00:00,0.42,7.87,10.91,11.22,22.13,16.44,37.92,22.05,367.29,25.58,233.6,0.92,8.44,07-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
07-Apr-2020 - 00:00,0.34,4.94,9.83,10.43,20.59,13.72,49.38,28.71,174.11,22.74,223.7,0.8,8.67,08-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
08-Apr-2020 - 00:00,0.32,8.59,11.25,11.92,23.18,19.6,38.96,22.65,367.35,24.02,276.38,0.73,10.18,09-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
09-Apr-2020 - 00:00,0.34,6.75,8.55,9.1,17.66,20.22,41.46,24.11,299.23,25.98,233.18,0.59,5.3,10-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
10-Apr-2020 - 00:00,0.33,6.77,8.49,8.82,17.41,18.24,42.22,24.55,334.12,28.08,253.64,0.78,3.68,11-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
11-Apr-2020 - 00:00,0.35,6.73,8.35,8.98,17.32,20.92,35.88,20.86,355.06,28.84,223.68,0.8,3.43,12-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
12-Apr-2020 - 00:00,0.4,6.92,9.42,8.77,18.2,16.45,37.81,22.14,305.36,25.86,200.48,0.61,5.56,13-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
13-Apr-2020 - 00:00,0.2,6.64,7.13,9.16,17.11,29.59,46.98,27.32,432.67,33.63,243.24,0.78,4.71,14-Apr-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
