from date,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,SR,Temp,WD,WS,SO2,to date,station
23-Sep-2020 - 00:00,0.65,12.07,7.63,11.34,18.97,21.32,90.89,52.84,190.45,36.66,167.22,0.51,12.46,24-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
24-Sep-2020 - 00:00,0.66,10.35,7.12,10.34,17.69,26.99,91.49,53.19,250.37,36.65,194.47,0.69,15.8,25-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
25-Sep-2020 - 00:00,0.67,7.39,8.5,11.28,19.77,24.07,89.52,52.04,260.39,36.42,179.4,0.72,12.56,26-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
26-Sep-2020 - 00:00,0.54,8.63,10.44,13.73,24.2,27.26,79.71,46.34,267.6,36.17,171.38,0.57,9.84,27-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
27-Sep-2020 - 00:00,0.41,7.42,9.2,14.88,24.08,32.32,85.56,49.75,268.64,35.65,208.86,0.63,6.65,28-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
28-Sep-2020 - 00:00,0.52,8.1,7.83,13.68,21.51,36.73,99.29,57.68,246.17,35.3,208.31,0.48,6.76,29-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
29-Sep-2020 - 00:00,0.56,5.35,7.8,15.44,22.93,38.86,108.24,62.93,247.75,34.44,211.98,0.64,10.07,30-Sep-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
30-Sep-2020 - 00:00,0.52,8.29,8.22,14.75,22.97,36.08,100.4,58.31,253.81,32.01,220.48,0.54,11.22,01-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
01-Oct-2020 - 00:00,0.57,8.08,8.97,15.52,24.5,30.66,114.97,66.84,252.62,32.38,205.99,0.51,12.08,02-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
02-Oct-2020 - 00:00,0.57,8.86,10.31,16.99,27.3,34.6,113.08,65.75,282.71,31.96,214.74,0.62,11.74,03-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
03-Oct-2020 - 00:00,0.51,8.18,8.23,17.12,25.38,34.85,98.46,57.24,291.12,31.68,197.57,0.52,9.75,04-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
04-Oct-2020 - 00:00,0.46,8.38,8.4,14.61,23.96,33.26,125.36,72.86,268.24,32.15,200.06,0.54,12.43,05-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
05-Oct-2020 - 00:00,0.55,9.65,9.83,17.18,27.68,32.59,107.09,62.25,259.05,32.18,225.15,0.53,13.99,06-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
06-Oct-2020 - 00:00,0.53,6.63,8.43,18.52,26.96,32.83,103.99,60.47,239.62,31.98,175.89,0.53,13.16,07-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
07-Oct-2020 - 00:00,0.58,10.61,9.82,19.26,29.48,39.73,113.6,66.1,229.03,32.35,176.24,0.44,12.59,08-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
08-Oct-2020 - 00:00,0.71,10.37,8.2,17.12,25.33,33.59,132.07,76.79,220.79,32.8,181.63,0.48,14.66,09-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
09-Oct-2020 - 00:00,0.66,11.62,8.15,14.97,22.86,35.93,122.82,71.41,213.26,33.58,179.77,0.44,17.86,10-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
10-Oct-2020 - 00:00,0.7,16.56,14.89,18.07,32.65,35.2,128.24,74.56,217.15,34.72,204.25,0.44,14.0,11-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
11-Oct-2020 - 00:00,0.66,7.49,8.73,18.21,26.29,37.41,127.35,74.04,215.78,34.35,177.07,0.36,10.77,12-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
12-Oct-2020 - 00:00,0.63,5.83,10.32,19.94,30.39,35.48,125.17,72.54,209.78,32.82,174.04,0.38,17.91,13-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
13-Oct-2020 - 00:00,0.64,10.54,2.76,17.19,20.24,31.08,124.58,72.44,194.03,31.7,167.7,0.37,15.81,14-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
14-Oct-2020 - 00:00,0.67,7.26,7.02,18.75,25.86,32.92,121.86,70.84,262.08,30.52,225.55,0.77,17.81,15-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
15-Oct-2020 - 00:00,0.5,8.16,5.5,18.1,23.95,30.81,149.12,88.35,291.17,29.06,189.99,1.78,17.02,16-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
16-Oct-2020 - 00:00,0.64,6.41,5.03,17.73,22.87,34.42,149.73,78.62,195.18,29.57,174.86,1.65,7.9,17-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
17-Oct-2020 - 00:00,0.73,7.64,6.26,20.73,27.06,33.01,122.26,67.86,200.51,30.2,249.64,1.26,15.22,18-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
18-Oct-2020 - 00:00,0.7,7.56,4.38,16.17,20.63,38.58,138.66,62.82,200.97,29.96,247.83,1.44,8.97,19-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
19-Oct-2020 - 00:00,0.77,9.17,4.36,19.17,23.63,30.29,155.6,71.73,199.36,29.27,208.63,1.32,12.14,20-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
20-Oct-2020 - 00:00,0.92,10.74,7.99,19.04,27.02,27.84,158.3,74.76,196.99,28.19,154.06,1.15,13.64,21-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
21-Oct-2020 - 00:00,0.78,10.7,8.56,19.78,28.27,32.56,132.83,68.04,184.76,28.8,148.52,0.96,14.65,22-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
22-Oct-2020 - 00:00,0.82,8.54,7.61,18.48,26.09,26.03,139.18,62.79,165.5,28.39,151.09,0.95,12.1,23-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
23-Oct-2020 - 00:00,0.9,6.6,6.43,17.63,26.45,20.42,188.47,71.76,159.58,27.06,155.26,0.96,16.43,24-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
24-Oct-2020 - 00:00,1.01,10.77,8.84,20.0,28.96,26.41,210.73,85.71,159.83,27.24,167.98,0.79,14.72,25-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
25-Oct-2020 - 00:00,0.71,11.42,8.98,20.21,30.47,24.27,168.3,76.39,172.82,27.53,148.58,0.7,15.42,26-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
26-Oct-2020 - 00:00,0.48,9.62,11.09,18.48,29.41,29.7,178.7,65.04,165.96,28.16,250.61,0.83,15.72,27-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
27-Oct-2020 - 00:00,0.51,12.43,8.94,19.98,28.92,25.45,195.23,69.63,184.97,26.4,213.59,0.71,15.1,28-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
28-Oct-2020 - 00:00,0.85,6.95,8.95,14.59,23.54,25.72,200.43,88.26,176.03,25.57,174.82,0.58,8.58,29-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
29-Oct-2020 - 00:00,0.95,10.17,9.2,17.78,27.22,19.49,211.98,83.86,134.65,24.06,130.27,0.49,12.58,30-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
30-Oct-2020 - 00:00,0.77,9.02,10.23,16.52,26.75,24.43,186.19,84.34,169.84,24.72,217.96,0.74,14.53,31-Oct-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
31-Oct-2020 - 00:00,0.76,12.26,10.15,19.37,29.46,24.59,218.35,86.82,178.47,24.86,239.97,0.98,18.34,01-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
01-Nov-2020 - 00:00,0.68,8.67,8.02,17.62,25.59,20.81,231.71,88.14,164.11,24.77,201.48,1.46,19.76,02-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
02-Nov-2020 - 00:00,1.03,10.81,10.02,16.59,26.61,13.81,278.02,108.82,155.47,23.78,130.99,1.75,16.34,03-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
03-Nov-2020 - 00:00,0.79,13.21,8.22,16.62,24.96,23.54,258.65,116.25,143.95,23.73,150.55,1.9,23.11,04-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
04-Nov-2020 - 00:00,0.8,12.04,5.45,14.98,20.22,31.02,327.17,135.0,151.36,24.39,189.03,1.98,18.92,05-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
05-Nov-2020 - 00:00,0.79,11.19,5.71,17.6,23.31,31.4,287.24,113.94,151.14,24.93,148.69,1.78,22.22,06-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
06-Nov-2020 - 00:00,0.72,10.04,5.33,19.47,24.67,29.78,229.8,89.63,163.44,26.18,198.85,1.3,20.98,07-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
07-Nov-2020 - 00:00,0.92,14.56,5.52,22.56,27.87,29.47,271.47,99.45,150.12,25.89,152.99,1.3,27.46,08-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
08-Nov-2020 - 00:00,1.06,9.97,5.31,16.14,20.62,28.22,333.47,111.22,134.68,24.98,133.03,1.21,14.73,09-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
09-Nov-2020 - 00:00,1.16,16.86,7.23,20.68,27.87,26.3,344.72,137.11,130.48,25.17,149.19,1.21,18.67,10-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
10-Nov-2020 - 00:00,0.95,16.83,9.09,22.84,32.12,26.12,265.97,122.78,134.84,25.4,149.92,1.02,16.29,11-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
11-Nov-2020 - 00:00,1.41,12.85,8.34,21.28,29.75,17.86,227.54,113.63,111.24,23.47,119.13,1.04,14.55,12-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
12-Nov-2020 - 00:00,1.15,14.1,9.8,19.03,28.7,20.89,200.98,125.56,102.51,22.87,161.23,1.1,19.02,13-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
13-Nov-2020 - 00:00,1.0,18.61,10.09,20.03,30.12,30.36,258.66,105.57,126.12,23.04,193.48,1.08,21.28,14-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
14-Nov-2020 - 00:00,1.15,20.23,9.48,21.05,31.2,34.24,375.15,163.28,97.32,21.95,116.52,1.07,20.74,15-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
15-Nov-2020 - 00:00,0.7,19.72,11.99,23.6,35.59,18.97,326.19,147.11,87.94,22.28,104.62,1.84,23.81,16-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
16-Nov-2020 - 00:00,0.63,15.67,10.16,19.4,29.65,12.92,96.85,32.16,66.72,21.06,124.39,1.52,20.17,17-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
17-Nov-2020 - 00:00,0.74,11.67,9.95,15.85,25.22,14.8,274.22,33.41,205.37,19.99,279.62,1.43,21.38,18-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
18-Nov-2020 - 00:00,0.82,14.35,10.24,22.36,32.51,26.13,121.6,41.93,194.03,18.72,237.38,1.29,26.46,19-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
19-Nov-2020 - 00:00,0.67,18.83,9.46,22.33,31.79,26.63,135.35,50.49,184.49,17.83,189.15,1.25,12.8,20-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
20-Nov-2020 - 00:00,0.51,17.74,9.94,17.1,27.04,26.15,138.62,56.92,196.28,18.22,235.3,1.63,11.8,21-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
21-Nov-2020 - 00:00,0.48,16.27,9.81,15.2,24.7,25.85,151.34,58.93,201.94,16.78,258.87,1.54,13.47,22-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
22-Nov-2020 - 00:00,0.7,15.48,10.81,15.42,26.22,24.6,163.79,67.19,179.59,16.87,224.57,1.58,13.95,23-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
23-Nov-2020 - 00:00,0.87,16.83,9.85,16.81,26.65,23.03,203.93,91.98,115.68,18.14,197.96,1.66,16.21,24-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
24-Nov-2020 - 00:00,0.48,18.83,10.04,18.52,28.53,11.43,188.87,67.75,140.8,19.26,196.57,1.53,18.56,25-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
25-Nov-2020 - 00:00,0.47,20.34,11.17,18.6,29.77,10.45,200.98,93.14,86.73,17.8,97.04,1.38,13.58,26-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
26-Nov-2020 - 00:00,0.4,20.53,10.44,16.82,27.72,25.0,64.19,29.69,201.41,18.98,239.8,1.5,17.72,27-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
27-Nov-2020 - 00:00,0.56,23.07,11.65,18.68,30.33,25.8,126.73,57.14,196.81,19.45,292.46,1.79,21.96,28-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
28-Nov-2020 - 00:00,0.62,19.09,10.66,16.49,27.36,26.5,130.71,61.04,192.11,18.57,239.32,1.66,16.37,29-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
29-Nov-2020 - 00:00,0.94,17.1,9.96,15.29,25.25,25.84,175.33,84.55,162.7,18.22,133.02,1.24,14.38,30-Nov-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
30-Nov-2020 - 00:00,0.8,23.9,11.73,19.1,30.72,26.05,206.59,95.85,160.03,18.2,181.03,1.14,18.06,01-Dec-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
01-Dec-2020 - 00:00,0.77,30.05,14.23,24.69,38.91,20.81,354.18,136.1,8.16,15.23,42.67,0.66,24.07,02-Dec-2020 - 00:00,"Civil Line, Jalandhar - PPCB"
