from date,Temp,CO,SO2,NO,NO2,NOx,Ozone,WS,WD,RH,BP,SR,RF,VWS,Benzene,Toluene,Xylene,PM2.5,AT,to date,station
03-May-2020 - 00:00,25.4,0.67,5.34,,,,64.08,2.81,119.49,77.29,726.57,138.0,0.0,-0.15,,,,38.94,23.18,04-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-May-2020 - 00:00,25.6,0.64,11.62,,,,103.87,1.65,137.61,58.29,728.12,294.55,0.0,-0.08,,,,28.14,25.72,05-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-May-2020 - 00:00,25.14,0.76,6.94,,,,85.0,1.6,187.6,64.5,727.47,249.83,0.0,-0.11,,,,52.03,24.75,06-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-May-2020 - 00:00,25.11,0.79,5.76,,,,122.82,2.21,153.23,54.71,726.42,208.98,0.0,-0.15,,,,50.95,25.58,07-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-May-2020 - 00:00,26.0,0.64,7.95,,,,112.16,2.14,119.85,59.73,726.96,154.47,0.0,-0.08,,,,34.59,23.63,08-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-May-2020 - 00:00,25.38,1.05,7.27,,,,123.45,2.02,171.9,59.64,725.05,204.03,0.0,-0.15,,,,44.8,26.01,09-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-May-2020 - 00:00,25.26,0.84,4.4,,,,131.24,2.11,134.56,61.06,725.72,191.04,0.0,-0.09,,,,59.33,26.62,10-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-May-2020 - 00:00,25.74,1.09,3.73,,,,91.14,2.66,133.98,71.9,726.75,102.4,0.0,-0.1,,,,57.25,24.26,11-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-May-2020 - 00:00,27.19,1.35,8.69,,,,96.4,2.52,115.2,69.41,728.11,209.05,0.0,-0.17,,,,42.23,26.09,12-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-May-2020 - 00:00,27.31,0.85,7.02,,,,89.95,2.12,111.35,66.03,727.4,200.34,0.0,-0.11,,,,37.12,26.1,13-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-May-2020 - 00:00,28.25,1.1,6.7,,,,78.14,1.81,154.35,71.0,725.48,103.79,0.0,-0.15,,,,52.02,26.74,14-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-May-2020 - 00:00,27.21,1.09,5.01,,,,82.26,1.9,181.43,63.11,725.61,192.48,0.0,-0.13,,,,44.53,28.53,15-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-May-2020 - 00:00,27.41,1.42,5.66,,,,94.29,3.26,257.39,52.16,724.88,198.94,0.0,-0.28,,,,35.58,29.63,16-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-May-2020 - 00:00,27.86,1.27,4.61,,,,95.63,2.4,261.67,51.77,723.94,88.29,0.0,-0.22,,,,62.06,29.09,17-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-May-2020 - 00:00,27.59,1.11,6.65,,,,106.28,2.04,247.04,44.9,722.52,160.91,0.0,-0.19,,,,54.24,31.23,18-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-May-2020 - 00:00,29.36,1.02,9.1,,,,95.97,2.29,251.16,42.32,721.72,212.97,0.0,-0.21,,,,49.21,31.38,19-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-May-2020 - 00:00,28.35,1.18,9.69,,,,104.91,1.86,226.07,40.2,721.05,232.64,0.0,-0.14,,,,69.64,31.48,20-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-May-2020 - 00:00,28.25,1.36,11.74,,,,68.73,3.01,259.8,37.73,719.9,208.15,0.03,-0.31,,,,31.66,32.67,21-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-May-2020 - 00:00,28.76,1.08,7.94,,,,104.27,2.31,260.02,39.98,719.83,230.62,0.0,-0.32,,,,36.64,31.86,22-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-May-2020 - 00:00,30.98,1.44,10.85,,,,86.65,1.25,216.85,40.15,720.0,218.4,0.0,-0.18,,,,56.54,33.44,23-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-May-2020 - 00:00,29.4,1.06,8.73,,,,70.13,1.39,232.49,41.57,721.13,206.3,0.0,-0.26,,,,75.85,34.21,24-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-May-2020 - 00:00,30.39,0.75,12.04,,,,77.16,1.38,253.19,39.37,721.79,223.57,0.0,-0.27,,,,33.29,34.61,25-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-May-2020 - 00:00,29.49,1.0,16.38,,,,85.14,1.34,259.2,41.14,721.27,224.44,0.0,-0.32,,,,38.71,34.09,26-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-May-2020 - 00:00,30.56,1.07,16.19,,,,56.17,1.64,234.51,40.34,719.7,210.52,0.0,-0.3,,,,39.28,34.74,27-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-May-2020 - 00:00,31.21,1.07,17.7,,,,94.6,1.09,192.47,42.67,718.07,255.6,0.0,-0.21,,,,34.82,34.18,28-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-May-2020 - 00:00,32.04,1.64,12.98,,,,67.23,4.98,126.46,60.96,720.33,291.93,0.0,0.02,,,,33.78,30.93,29-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-May-2020 - 00:00,28.98,0.49,12.71,,,,,4.72,126.0,73.04,722.94,211.1,0.0,-0.02,,,,22.71,26.78,30-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-May-2020 - 00:00,28.97,0.59,12.49,,,,86.74,3.1,134.5,74.64,725.46,299.71,0.0,-0.15,,,,24.0,27.49,31-May-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
31-May-2020 - 00:00,29.41,0.76,12.73,,,,66.75,2.92,150.68,85.28,727.06,198.02,0.0,-0.16,,,,24.75,24.87,01-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Jun-2020 - 00:00,32.93,0.93,13.2,,,,110.85,1.84,122.11,72.25,727.02,298.11,0.0,-0.09,,,,45.64,28.55,02-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Jun-2020 - 00:00,28.48,0.68,13.78,,,,69.38,2.27,193.53,74.69,725.56,109.61,0.0,-0.15,,,,46.31,27.03,03-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Jun-2020 - 00:00,30.44,1.67,13.83,,,,79.76,2.05,185.26,67.04,723.38,170.04,0.0,-0.11,,,,44.97,28.61,04-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Jun-2020 - 00:00,30.03,1.96,14.28,,,,54.71,2.74,182.04,75.28,722.55,88.48,0.0,-0.13,,,,54.2,27.03,05-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Jun-2020 - 00:00,30.11,1.08,13.73,,,,66.33,2.21,158.59,76.19,722.72,166.24,0.0,-0.12,,,,43.29,26.78,06-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Jun-2020 - 00:00,27.64,1.03,13.13,,,,68.06,2.1,144.88,76.05,722.03,190.05,0.0,-0.11,,,,29.68,27.37,07-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Jun-2020 - 00:00,28.32,1.1,12.86,,,,77.06,2.04,178.31,75.74,721.7,184.81,0.0,-0.13,,,,46.47,27.56,08-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Jun-2020 - 00:00,31.28,1.21,13.51,,,,84.96,1.98,191.24,68.65,721.22,205.74,0.0,-0.16,,,,44.15,29.3,09-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Jun-2020 - 00:00,29.41,1.17,14.01,,,,92.41,1.94,200.79,63.24,721.39,260.75,0.0,-0.14,,,,74.76,31.33,10-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Jun-2020 - 00:00,33.71,1.16,13.92,,,,106.31,2.8,185.84,60.05,719.98,256.34,0.0,-0.18,,,,45.41,32.61,11-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-Jun-2020 - 00:00,30.7,1.22,13.48,,,,87.6,1.77,176.61,64.16,719.28,194.29,0.0,-0.11,,,,48.56,31.67,12-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Jun-2020 - 00:00,28.76,1.26,13.15,,,,67.6,2.72,132.15,67.21,718.12,195.04,0.0,-0.08,,,,60.39,31.7,13-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Jun-2020 - 00:00,27.8,1.14,13.38,,,,49.9,2.81,156.38,71.83,718.7,99.03,0.0,-0.11,,,,51.91,29.73,14-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Jun-2020 - 00:00,27.42,1.26,13.4,,,,57.38,1.91,135.12,69.9,720.16,180.71,0.0,-0.09,,,,54.18,31.05,15-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Jun-2020 - 00:00,30.93,1.12,13.93,,,,88.09,2.22,189.5,61.21,718.31,192.07,0.0,-0.15,,,,44.21,32.37,16-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Jun-2020 - 00:00,30.02,0.94,14.11,,,,72.29,3.02,139.68,62.15,716.05,191.53,0.0,-0.12,,,,34.33,32.05,17-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Jun-2020 - 00:00,33.39,0.74,13.32,,,,73.54,3.56,116.86,64.34,715.12,317.39,0.0,-0.15,,,,27.2,32.74,18-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-Jun-2020 - 00:00,27.75,0.73,13.97,,,,63.34,3.14,129.44,68.64,716.17,202.29,0.0,-0.13,,,,35.09,31.48,19-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Jun-2020 - 00:00,29.25,0.79,13.16,,,,51.71,3.66,122.13,71.27,718.13,157.13,0.0,-0.14,,,,49.51,31.44,20-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Jun-2020 - 00:00,27.87,0.62,13.47,,,,47.98,3.48,150.39,71.84,719.75,151.4,0.0,-0.15,,,,32.62,29.12,21-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-Jun-2020 - 00:00,28.39,1.74,13.39,,,,47.05,2.94,138.03,74.58,719.45,124.08,0.0,-0.13,,,,39.11,28.87,22-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Jun-2020 - 00:00,30.9,0.97,12.95,,,,107.04,3.13,174.91,66.33,719.38,307.69,0.0,-0.16,,,,38.28,30.99,23-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Jun-2020 - 00:00,30.61,0.68,13.22,,,,27.35,4.33,112.87,82.08,721.92,236.32,0.0,-0.17,,,,28.67,28.55,24-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Jun-2020 - 00:00,32.03,1.35,13.61,,,,12.74,2.29,123.48,85.52,723.18,190.62,0.02,-0.14,,,,20.2,27.83,25-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Jun-2020 - 00:00,29.82,1.25,13.01,,,,32.85,1.52,189.27,81.04,720.38,157.37,0.0,-0.13,,,,34.78,29.05,26-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Jun-2020 - 00:00,30.31,0.57,13.37,,,,27.06,2.04,192.55,80.85,719.16,179.85,0.0,-0.18,,,,45.0,29.36,27-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Jun-2020 - 00:00,28.25,1.06,13.55,,,,15.71,2.81,238.76,71.23,718.0,146.74,0.0,-0.27,,,,36.54,30.3,28-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Jun-2020 - 00:00,27.29,0.64,13.33,,,,18.89,2.96,240.46,65.17,717.03,192.9,0.0,-0.3,,,,47.77,32.29,29-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-Jun-2020 - 00:00,31.09,0.52,13.34,,,,36.08,2.5,202.07,64.63,718.97,176.81,0.0,-0.17,,,,38.31,32.12,30-Jun-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-Jun-2020 - 00:00,29.32,2.03,12.84,,,,44.58,2.06,110.15,77.08,719.48,172.55,0.0,-0.1,,,,38.35,30.52,01-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Jul-2020 - 00:00,30.02,0.84,13.18,,,,32.05,1.99,125.35,78.31,719.53,172.1,0.0,-0.09,,,,46.55,30.07,02-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Jul-2020 - 00:00,30.3,0.81,13.36,,,,57.68,1.73,136.07,73.79,717.45,167.99,0.0,-0.1,,,,59.39,31.41,03-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Jul-2020 - 00:00,32.16,0.93,13.65,,,,53.83,2.77,125.88,74.06,717.9,244.42,0.0,-0.15,,,,57.7,31.88,04-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Jul-2020 - 00:00,31.25,1.07,13.38,,,,52.57,3.14,114.72,76.56,717.37,284.15,0.0,-0.07,,,,32.67,30.54,05-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Jul-2020 - 00:00,28.84,0.52,13.2,,,,64.77,1.98,113.98,80.95,717.83,300.95,0.0,-0.11,,,,17.23,28.44,06-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Jul-2020 - 00:00,30.26,1.08,13.36,,,,32.92,2.25,112.74,88.33,718.05,114.53,0.0,-0.14,,,,36.29,27.69,07-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Jul-2020 - 00:00,31.43,0.35,13.01,,,,22.83,3.36,106.47,91.19,721.15,127.97,0.0,-0.21,,,,13.96,26.76,08-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Jul-2020 - 00:00,31.45,0.64,13.26,,,,24.41,2.51,132.91,90.03,722.31,139.35,0.0,-0.18,,,,25.36,27.57,09-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Jul-2020 - 00:00,30.22,0.55,13.18,,,,35.42,1.8,214.75,82.91,718.79,172.11,0.0,-0.18,,,,32.35,29.43,10-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Jul-2020 - 00:00,31.18,1.31,13.31,,,,41.58,2.89,237.1,75.18,716.52,189.93,0.0,-0.24,,,,26.8,30.64,11-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-Jul-2020 - 00:00,29.03,0.59,13.49,,,,55.34,2.35,188.06,79.3,717.74,152.64,0.0,-0.16,,,,18.07,28.92,12-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Jul-2020 - 00:00,29.36,0.52,13.12,,,,53.43,2.21,210.2,76.89,718.64,147.84,0.0,-0.14,,,,24.39,28.84,13-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Jul-2020 - 00:00,31.09,0.5,13.02,,,,56.51,2.0,235.0,72.01,718.93,200.93,0.0,-0.16,,,,37.73,29.9,14-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Jul-2020 - 00:00,32.31,0.67,13.47,,,,83.69,2.19,135.04,68.52,719.56,223.43,0.0,-0.15,,,,52.67,32.65,15-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Jul-2020 - 00:00,30.58,0.89,13.06,,,,32.09,3.01,110.74,82.78,720.47,190.1,0.0,-0.19,,,,50.92,29.33,16-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Jul-2020 - 00:00,31.54,0.71,13.31,,,,11.09,2.56,108.82,83.86,719.54,136.06,0.0,-0.19,,,,27.76,28.91,17-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Jul-2020 - 00:00,31.06,0.69,13.57,,,,5.34,2.49,113.68,86.14,720.24,130.79,0.0,-0.18,,,,38.23,29.14,18-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-Jul-2020 - 00:00,28.36,0.76,13.21,,,,5.6,2.2,113.35,87.12,721.56,153.58,0.0,-0.13,,,,35.3,28.94,19-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Jul-2020 - 00:00,29.32,1.34,13.48,,,,5.44,1.76,216.52,80.7,718.32,246.26,0.0,-0.16,,,,21.64,29.73,20-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Jul-2020 - 00:00,30.9,0.73,12.59,,,,5.74,2.37,191.71,82.6,718.62,210.45,0.0,-0.21,,,,20.76,27.83,21-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-Jul-2020 - 00:00,32.5,1.16,13.73,,,,5.52,1.79,173.38,92.27,722.14,162.89,0.04,-0.13,,,,17.32,25.74,22-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Jul-2020 - 00:00,30.35,1.8,13.21,,,,5.37,1.84,217.11,95.21,722.45,79.76,0.37,-0.17,,,,20.09,24.63,23-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Jul-2020 - 00:00,31.47,0.86,13.42,,,,5.36,1.57,240.79,75.95,721.73,260.2,0.0,-0.17,,,,23.24,26.92,24-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Jul-2020 - 00:00,30.72,0.73,13.16,,,,5.34,2.52,124.75,81.88,724.75,226.29,0.0,-0.14,,,,28.2,28.71,25-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Jul-2020 - 00:00,30.34,0.97,13.42,,,,5.6,2.07,110.39,92.41,726.75,102.34,0.0,-0.14,,,,20.53,27.09,26-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Jul-2020 - 00:00,28.53,0.81,13.34,,,,5.23,1.47,145.34,77.56,725.54,232.64,0.0,-0.12,,,,33.86,30.14,27-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Jul-2020 - 00:00,31.34,0.64,13.33,,,,5.36,2.76,247.68,77.46,723.0,207.22,0.0,-0.24,,,,26.5,30.25,28-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Jul-2020 - 00:00,30.48,0.61,13.37,,,,6.59,2.54,246.8,75.69,720.82,182.54,0.0,-0.24,,,,23.9,30.49,29-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-Jul-2020 - 00:00,30.97,0.67,13.75,,,,8.37,1.7,166.62,87.65,721.64,94.2,0.0,-0.15,,,,19.84,27.4,30-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-Jul-2020 - 00:00,30.74,0.7,13.55,,,,8.45,1.83,183.55,86.44,723.34,165.73,0.0,-0.14,,,,17.68,27.16,31-Jul-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
31-Jul-2020 - 00:00,29.21,0.77,13.47,,,,8.3,1.56,142.35,90.37,722.5,118.72,0.0,-0.12,,,,31.26,27.87,01-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Aug-2020 - 00:00,30.82,1.27,13.73,,,,8.5,1.72,181.34,92.9,722.0,85.79,0.0,-0.15,,,,24.66,27.46,02-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Aug-2020 - 00:00,31.55,0.71,13.24,,,,8.45,1.99,247.61,85.35,719.82,188.02,0.0,-0.19,,,,22.83,28.9,03-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Aug-2020 - 00:00,28.57,0.65,13.62,,,,8.46,2.47,241.68,81.28,715.62,174.5,0.0,-0.26,,,,22.01,29.44,04-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Aug-2020 - 00:00,31.77,0.63,13.7,,,,8.63,2.25,210.26,70.41,713.48,303.59,0.0,-0.15,,,,26.04,31.3,05-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Aug-2020 - 00:00,29.56,0.95,13.67,,,,8.31,1.79,135.21,89.49,715.34,77.28,0.01,-0.12,,,,32.37,28.08,06-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Aug-2020 - 00:00,30.15,0.47,13.31,,,,8.37,3.97,102.32,82.9,718.33,162.88,0.0,-0.27,,,,13.5,28.98,07-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Aug-2020 - 00:00,30.29,0.34,13.24,,,,8.6,2.94,120.8,84.51,721.09,173.2,0.0,-0.17,,,,30.55,28.44,08-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Aug-2020 - 00:00,29.98,0.58,17.71,32.85,125.43,56.32,41.91,1.21,169.44,74.46,718.71,219.32,0.0,-0.12,,,,114.15,31.15,09-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Aug-2020 - 00:00,28.31,0.7,12.42,47.82,112.23,63.36,84.64,0.7,214.86,90.06,718.71,82.04,0.0,-0.15,,,,28.33,27.97,10-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Aug-2020 - 00:00,29.04,0.55,12.64,43.49,88.23,58.0,56.34,1.42,128.39,90.01,720.01,119.3,0.0,-0.13,,,,27.28,27.83,11-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-Aug-2020 - 00:00,29.13,0.49,21.54,40.5,93.47,53.23,59.12,0.54,179.43,95.14,719.6,67.54,0.04,-0.13,,,,47.62,27.33,12-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Aug-2020 - 00:00,28.9,1.12,18.27,37.25,65.63,43.19,69.74,0.49,211.75,88.37,718.56,169.34,0.01,-0.16,,,,24.33,28.33,13-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Aug-2020 - 00:00,30.19,0.88,17.27,27.79,64.91,36.75,57.98,1.12,163.62,99.2,717.92,50.81,0.26,-0.13,,,,17.6,25.62,14-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Aug-2020 - 00:00,28.99,0.86,16.98,28.37,47.76,31.48,54.59,1.17,103.67,92.36,717.21,94.46,0.0,-0.15,,,,21.48,26.53,15-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Aug-2020 - 00:00,28.04,0.66,18.8,34.68,30.63,31.58,66.11,0.31,124.68,89.78,717.26,155.46,0.0,-0.12,,,,25.39,27.61,16-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Aug-2020 - 00:00,28.69,0.65,17.93,29.4,32.0,28.48,60.44,0.59,127.48,89.7,718.57,127.81,0.0,-0.11,,,,21.01,27.77,17-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Aug-2020 - 00:00,30.11,0.7,17.44,21.89,41.02,26.07,61.5,2.3,140.76,88.41,718.66,135.32,0.0,-0.12,,,,25.27,28.58,18-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-Aug-2020 - 00:00,30.06,0.74,15.13,34.8,45.28,38.73,56.09,1.8,182.68,90.86,719.34,104.22,0.0,-0.16,,,,27.26,28.08,19-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Aug-2020 - 00:00,28.63,1.08,16.18,40.16,64.03,44.66,38.58,1.67,165.59,97.77,719.46,25.84,0.35,-2.78,,,,24.21,25.36,20-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Aug-2020 - 00:00,29.54,1.2,10.66,28.63,56.3,34.85,47.6,1.76,119.28,97.0,721.76,59.66,0.81,-0.08,,,,17.92,24.56,21-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-Aug-2020 - 00:00,29.82,0.82,10.52,27.59,36.18,28.48,42.5,2.21,108.65,70.48,723.38,176.89,0.0,-0.12,,,,16.92,26.78,22-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Aug-2020 - 00:00,29.31,0.62,13.86,23.97,23.54,22.51,49.52,2.25,101.16,59.54,722.42,124.69,0.0,-0.12,,,,13.82,26.96,23-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Aug-2020 - 00:00,28.8,0.58,15.4,28.61,20.9,24.83,54.23,2.34,104.62,61.73,721.08,141.05,0.0,-0.13,,,,15.02,26.66,24-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Aug-2020 - 00:00,29.87,0.56,14.0,22.83,27.26,22.8,46.34,1.31,126.58,63.16,721.72,109.35,0.0,-0.12,,,,13.76,26.37,25-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Aug-2020 - 00:00,30.75,0.67,12.64,17.94,25.01,18.93,47.19,2.23,157.59,61.28,723.86,115.95,0.0,-0.13,,,,15.02,27.04,26-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Aug-2020 - 00:00,30.4,0.82,9.67,13.48,38.48,19.8,62.86,2.19,251.76,54.07,724.9,215.0,0.0,-0.2,,,,18.18,28.63,27-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Aug-2020 - 00:00,30.21,0.85,11.56,19.34,38.19,23.58,66.25,2.38,229.2,55.66,724.41,141.77,0.0,-0.15,,,,24.24,28.19,28-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Aug-2020 - 00:00,30.62,0.83,14.71,22.79,45.39,27.21,46.73,1.46,197.94,62.68,722.31,72.24,0.08,-0.12,,,,40.68,26.6,29-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-Aug-2020 - 00:00,32.05,0.67,6.98,4.23,32.69,12.05,76.01,1.84,101.94,52.88,721.47,381.19,0.0,-0.06,,,,25.77,29.82,30-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,31-Aug-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
31-Aug-2020 - 00:00,29.66,0.52,12.52,20.0,22.16,19.48,54.76,2.36,156.48,56.35,724.76,190.22,0.0,-0.05,,,,13.35,27.54,01-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Sep-2020 - 00:00,30.94,0.47,11.94,16.27,20.35,16.51,53.97,1.66,197.09,56.28,725.64,161.18,0.0,-0.22,,,,20.79,27.44,02-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Sep-2020 - 00:00,31.14,0.54,15.16,15.06,19.94,15.59,71.77,0.65,199.55,56.1,727.57,142.82,0.0,-0.14,,,,22.6,28.09,03-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Sep-2020 - 00:00,30.67,0.59,13.75,13.57,20.05,14.65,68.71,1.51,112.72,58.34,728.21,144.53,0.0,-0.14,,,,37.17,27.99,04-Sep-2020 - 00:00,"Sector- 16A, Faridabad - HSPCB"
