from date,PM2.5,PM10,AT,Temp,SR,RH,WS,WD,BP,RF,SO2,NO,NO2,NOx,NH3,CO,Ozone,to date,station
11-Jan-2020 - 00:00,36.59,54.76,28.57,28.31,212.16,66.99,1.2,189.79,743.82,0.0,9.93,11.57,30.26,25.46,10.49,1.01,46.95,12-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
12-Jan-2020 - 00:00,33.66,52.93,28.68,28.13,213.78,63.45,1.46,153.49,740.56,0.0,10.63,8.89,21.28,18.49,11.43,0.79,51.51,13-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
13-Jan-2020 - 00:00,46.73,73.75,28.03,28.3,182.6,70.7,1.2,170.04,,0.0,9.01,9.86,27.02,22.36,13.4,0.98,50.69,14-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
14-Jan-2020 - 00:00,49.09,85.88,28.44,28.19,192.21,70.74,1.3,164.6,,0.02,8.73,9.42,26.62,21.79,12.99,0.91,58.77,15-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
15-Jan-2020 - 00:00,62.82,91.11,27.96,28.39,175.39,72.07,1.29,148.52,,0.0,8.65,7.99,25.15,19.83,13.82,1.06,58.29,16-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
16-Jan-2020 - 00:00,45.99,71.6,28.22,28.63,196.49,67.85,1.37,198.15,,0.0,8.75,10.17,28.51,23.39,14.03,0.97,54.31,17-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
17-Jan-2020 - 00:00,27.36,68.04,28.55,28.24,204.68,69.56,1.49,182.68,,0.0,8.6,9.1,23.33,19.78,14.28,0.93,55.14,18-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
18-Jan-2020 - 00:00,29.78,60.18,29.14,28.79,184.83,70.88,1.29,191.24,,0.0,9.35,11.39,25.28,22.67,17.7,0.88,46.04,19-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
19-Jan-2020 - 00:00,30.28,57.41,29.54,28.44,131.78,73.64,1.04,245.28,,0.0,8.61,9.61,23.39,20.21,17.15,0.97,37.24,20-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
20-Jan-2020 - 00:00,30.73,58.05,29.15,28.44,174.08,75.82,1.42,218.27,,0.0,7.63,12.32,24.4,22.97,15.08,1.14,29.1,21-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
21-Jan-2020 - 00:00,25.54,52.35,29.23,28.56,194.74,75.93,1.33,212.86,,0.0,8.13,11.08,22.72,21.04,12.63,1.04,35.24,22-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
22-Jan-2020 - 00:00,23.37,55.54,29.45,29.14,204.64,75.74,1.29,261.24,,0.0,8.59,11.29,22.54,21.13,12.32,0.98,37.45,23-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
23-Jan-2020 - 00:00,25.55,53.43,29.57,28.92,202.0,75.02,1.39,244.93,,0.0,8.77,12.33,23.62,22.52,11.67,1.07,33.45,24-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
24-Jan-2020 - 00:00,30.24,60.46,29.66,28.81,206.84,73.48,1.31,228.34,733.75,0.0,7.57,9.67,21.0,19.01,11.86,1.06,36.97,25-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
25-Jan-2020 - 00:00,30.9,66.98,29.18,28.65,207.25,70.84,1.42,191.43,751.62,0.0,7.85,10.41,22.69,20.5,11.39,1.02,42.43,26-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
26-Jan-2020 - 00:00,25.45,55.19,28.31,28.33,212.09,69.53,1.42,212.49,730.45,0.0,8.41,8.16,17.5,15.89,9.91,0.86,52.29,27-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
27-Jan-2020 - 00:00,29.42,60.88,27.97,28.57,205.03,71.25,1.44,195.32,749.84,0.03,9.06,9.01,20.02,17.93,10.34,0.87,53.39,28-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
28-Jan-2020 - 00:00,38.26,80.2,28.06,28.3,198.28,71.4,1.33,166.61,752.75,0.0,8.48,8.52,22.34,18.76,11.1,0.96,53.2,29-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
29-Jan-2020 - 00:00,51.2,92.29,28.3,28.35,204.27,70.79,1.21,193.02,753.85,0.0,9.35,8.95,26.76,21.47,10.7,1.14,52.75,30-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
30-Jan-2020 - 00:00,46.22,86.82,28.36,28.37,204.65,72.43,1.42,186.23,753.15,0.0,8.95,7.81,20.1,16.99,12.0,1.05,53.34,31-Jan-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
31-Jan-2020 - 00:00,40.25,86.43,28.65,28.29,200.15,72.64,1.33,195.61,750.71,0.0,8.29,8.63,23.33,19.36,14.3,1.06,56.62,01-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
01-Feb-2020 - 00:00,42.42,70.29,29.01,28.35,209.73,70.32,1.54,212.1,750.9,0.0,7.73,8.23,18.36,16.41,14.44,0.9,52.51,02-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
02-Feb-2020 - 00:00,33.23,58.62,29.03,28.27,191.31,66.23,1.59,215.43,752.71,0.0,7.68,8.18,17.75,16.06,14.36,0.85,54.6,03-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
03-Feb-2020 - 00:00,35.77,67.33,28.61,28.32,179.47,68.94,1.45,213.77,753.41,0.0,7.37,9.26,23.48,19.99,14.43,1.02,47.29,04-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
04-Feb-2020 - 00:00,31.71,55.11,28.74,28.51,194.17,71.18,1.35,212.93,750.99,0.0,9.07,9.97,20.63,19.04,14.85,0.89,43.56,05-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
05-Feb-2020 - 00:00,34.34,61.48,28.76,28.32,187.36,72.59,1.34,166.98,751.48,0.0,8.39,9.0,19.55,17.67,13.93,0.99,41.38,06-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
06-Feb-2020 - 00:00,27.98,60.2,28.84,28.75,187.54,71.81,1.42,158.38,751.94,0.0,8.51,8.38,17.83,16.26,13.26,0.87,46.4,07-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
07-Feb-2020 - 00:00,31.0,56.39,29.08,28.27,191.6,72.22,1.58,228.84,752.64,0.0,9.68,9.38,16.94,16.59,12.47,0.93,41.77,08-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
08-Feb-2020 - 00:00,38.23,62.07,29.2,28.19,196.07,70.86,1.54,230.71,752.99,0.0,10.1,9.59,18.55,17.63,12.95,0.98,47.01,09-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
09-Feb-2020 - 00:00,40.39,66.83,29.22,28.13,211.14,68.52,1.51,198.54,751.45,0.0,11.01,8.14,19.96,17.2,13.71,1.04,55.72,10-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
10-Feb-2020 - 00:00,85.34,121.32,28.77,28.41,209.3,70.38,1.4,163.18,750.11,0.0,10.39,8.31,21.48,18.15,17.16,1.19,48.39,11-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
11-Feb-2020 - 00:00,39.78,71.04,28.81,28.54,221.87,64.48,1.34,168.22,749.6,0.0,11.93,10.12,24.33,21.13,12.65,1.03,45.69,12-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
12-Feb-2020 - 00:00,36.97,65.62,29.14,28.71,215.29,67.92,1.36,180.35,751.61,0.0,10.5,4.92,22.24,15.83,12.87,1.08,44.24,13-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
13-Feb-2020 - 00:00,39.84,68.6,29.07,28.71,206.31,72.19,1.45,173.73,752.17,0.0,9.49,8.94,22.0,18.93,14.39,1.28,40.49,14-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
14-Feb-2020 - 00:00,33.85,61.4,28.94,28.73,190.51,73.86,1.54,173.1,750.54,0.0,9.21,8.44,18.12,16.45,12.64,1.26,43.58,15-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
15-Feb-2020 - 00:00,39.71,68.34,28.72,28.35,175.88,74.93,1.48,156.43,750.23,0.0,7.07,9.26,20.28,18.28,11.6,1.38,41.39,16-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
16-Feb-2020 - 00:00,55.61,86.53,29.04,28.34,210.99,70.93,1.4,162.76,750.72,0.0,9.85,8.26,16.27,15.33,10.98,1.25,46.35,17-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
17-Feb-2020 - 00:00,55.5,80.61,28.87,28.56,222.44,69.08,1.44,152.02,751.22,0.0,8.73,8.12,19.83,17.08,11.83,1.36,49.28,18-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
18-Feb-2020 - 00:00,38.39,65.94,28.43,28.63,226.32,66.69,1.36,172.16,751.49,0.0,8.97,8.45,21.93,18.49,11.39,1.15,53.05,19-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
19-Feb-2020 - 00:00,34.78,64.15,28.2,28.23,226.71,64.51,1.3,152.38,750.95,0.0,10.41,8.29,23.37,19.12,10.75,0.98,59.89,20-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
20-Feb-2020 - 00:00,44.93,73.3,27.92,28.26,215.14,69.09,1.45,185.33,749.48,0.0,11.3,9.3,26.85,21.78,11.79,1.23,48.29,21-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
21-Feb-2020 - 00:00,29.2,54.69,28.84,28.27,219.03,67.26,1.51,222.8,750.46,0.0,13.42,8.98,22.57,19.27,11.44,1.14,41.66,22-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
22-Feb-2020 - 00:00,44.55,68.43,29.31,28.23,103.11,69.79,1.02,182.46,751.58,0.0,10.44,9.58,26.92,22.04,13.35,1.58,43.21,23-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
23-Feb-2020 - 00:00,12.71,47.85,29.07,28.15,205.27,63.73,1.3,198.18,750.71,0.0,9.31,8.94,19.65,17.67,10.04,1.14,47.45,24-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
24-Feb-2020 - 00:00,23.44,55.02,28.72,28.44,214.75,71.31,1.55,223.49,748.27,0.0,9.55,9.83,21.21,19.23,10.0,1.45,36.83,25-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
25-Feb-2020 - 00:00,32.41,55.2,28.91,28.41,221.93,66.49,1.57,204.65,747.99,0.0,10.19,8.93,22.62,19.26,11.26,1.44,48.34,26-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
26-Feb-2020 - 00:00,22.77,55.04,28.64,28.43,207.59,70.12,1.65,208.93,747.85,0.0,8.77,9.14,21.45,18.81,10.83,1.53,48.67,27-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
27-Feb-2020 - 00:00,29.06,51.43,28.72,28.59,218.43,70.21,1.47,157.74,748.27,0.0,10.88,4.57,19.64,14.16,11.49,1.66,46.03,28-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
28-Feb-2020 - 00:00,35.17,74.06,29.2,28.5,215.98,67.88,1.35,186.19,746.46,0.0,9.26,9.29,26.43,21.58,11.0,2.02,43.7,29-Feb-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
29-Feb-2020 - 00:00,25.81,180.46,28.92,28.29,196.96,65.01,1.49,167.7,747.25,0.0,10.95,8.6,23.22,19.31,9.97,1.62,45.92,01-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
01-Mar-2020 - 00:00,26.75,51.34,29.04,28.07,209.74,68.17,1.56,213.28,747.41,0.0,10.2,7.87,14.15,13.88,12.12,1.66,44.09,02-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
02-Mar-2020 - 00:00,22.36,53.22,29.29,28.46,210.32,69.22,1.66,219.36,749.02,0.0,9.14,9.44,19.8,18.17,11.41,2.36,41.72,03-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
03-Mar-2020 - 00:00,18.29,45.97,29.0,28.31,179.2,74.85,1.66,228.51,749.49,0.01,7.77,9.64,18.82,17.81,11.16,3.16,34.45,04-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
04-Mar-2020 - 00:00,19.5,56.82,29.28,28.45,181.78,72.58,1.54,173.23,747.98,0.0,6.46,9.02,17.36,16.52,11.2,3.58,31.12,05-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
05-Mar-2020 - 00:00,27.31,57.63,28.57,28.33,137.6,75.06,1.17,172.27,747.94,0.06,8.69,9.23,18.94,17.54,10.12,2.47,36.6,06-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
06-Mar-2020 - 00:00,21.63,48.76,29.6,28.77,209.17,70.3,1.65,230.96,748.14,0.0,7.38,5.98,16.24,13.49,9.17,0.92,35.08,07-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
07-Mar-2020 - 00:00,25.53,50.6,29.63,28.78,221.57,71.38,1.58,166.58,749.91,0.0,10.11,10.45,19.77,18.98,10.31,0.98,29.29,08-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
08-Mar-2020 - 00:00,24.08,51.4,31.45,28.88,224.72,72.15,1.56,143.18,748.99,0.0,9.03,12.25,13.56,17.12,11.19,0.84,29.74,09-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
09-Mar-2020 - 00:00,17.24,44.84,,28.87,219.04,73.86,1.62,190.96,747.08,0.0,10.07,8.46,15.21,14.92,11.13,0.81,38.89,10-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
10-Mar-2020 - 00:00,31.33,54.01,31.87,28.96,194.64,73.04,1.52,152.99,747.44,0.0,8.65,12.0,23.64,22.29,11.63,0.96,36.98,11-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
11-Mar-2020 - 00:00,26.48,49.06,30.64,29.25,219.25,71.06,1.44,149.41,748.55,0.0,8.41,8.83,18.48,16.97,10.88,0.93,38.74,12-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
12-Mar-2020 - 00:00,26.65,53.02,28.92,29.15,215.47,70.58,1.52,156.18,748.86,0.0,11.84,10.13,19.84,18.76,11.24,0.91,42.82,13-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
13-Mar-2020 - 00:00,25.47,49.94,29.12,29.02,230.67,68.11,1.58,203.48,748.04,0.0,9.75,8.44,18.07,16.43,11.23,0.88,47.96,14-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
14-Mar-2020 - 00:00,28.18,56.5,28.76,28.92,226.91,70.72,1.69,211.44,746.5,0.0,11.12,8.0,14.26,14.05,10.94,0.82,45.11,15-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
15-Mar-2020 - 00:00,26.1,54.81,28.68,28.88,215.73,71.47,1.58,194.86,745.75,0.0,8.72,7.58,11.89,12.45,10.86,0.76,43.22,16-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
16-Mar-2020 - 00:00,29.07,56.66,29.1,29.6,229.92,68.51,1.42,165.45,747.74,0.0,9.64,8.33,17.38,15.98,11.28,0.9,42.35,17-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
17-Mar-2020 - 00:00,34.23,65.99,29.32,28.97,165.3,66.83,1.38,121.28,748.75,0.0,10.78,7.86,16.52,15.14,10.55,0.9,40.95,18-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
18-Mar-2020 - 00:00,14.14,42.09,29.56,29.41,221.88,64.32,1.67,233.99,747.9,2.92,10.35,9.11,17.54,16.69,10.23,0.81,38.57,19-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
19-Mar-2020 - 00:00,19.24,46.86,29.73,29.51,203.62,69.65,1.74,205.48,748.65,7.05,10.39,8.2,15.43,14.83,10.77,0.82,40.34,20-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
20-Mar-2020 - 00:00,24.03,51.0,30.51,29.03,200.43,71.44,1.78,227.28,759.26,0.02,8.67,8.44,13.87,14.2,10.0,0.86,44.24,21-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
21-Mar-2020 - 00:00,23.78,51.79,29.88,28.5,228.78,75.22,1.58,194.23,781.04,0.21,7.15,8.28,11.78,12.96,9.16,0.76,38.45,22-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
22-Mar-2020 - 00:00,21.95,45.95,30.04,28.32,212.05,76.06,1.51,214.32,781.62,0.0,7.21,11.96,10.68,15.33,8.03,0.7,37.82,23-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
23-Mar-2020 - 00:00,19.79,45.74,30.29,28.7,216.57,75.23,1.65,208.96,781.87,0.0,7.8,8.03,10.33,11.99,7.79,0.76,36.17,24-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
24-Mar-2020 - 00:00,16.36,37.11,29.77,28.35,218.31,75.56,1.66,165.99,778.98,0.0,8.49,7.84,7.66,10.41,6.89,0.68,34.79,25-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
25-Mar-2020 - 00:00,19.45,39.67,29.67,28.4,239.22,75.36,1.58,181.41,775.67,0.31,8.13,7.86,6.89,10.02,6.44,0.67,34.23,26-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
26-Mar-2020 - 00:00,15.84,43.42,29.42,28.2,201.81,75.19,1.3,240.98,765.06,0.0,7.74,7.77,7.27,10.15,6.47,0.67,36.3,27-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
27-Mar-2020 - 00:00,24.88,43.92,27.4,28.0,32.18,79.43,0.46,153.79,757.29,0.0,6.92,3.52,5.75,5.93,6.65,0.7,34.31,28-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
28-Mar-2020 - 00:00,13.3,42.7,30.15,28.51,226.43,,2.18,199.46,754.22,0.0,8.73,3.03,5.59,5.44,6.56,0.68,43.53,29-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
29-Mar-2020 - 00:00,13.46,42.07,29.31,28.53,225.28,61.9,1.59,158.46,754.53,0.0,6.98,3.62,8.69,7.54,7.56,0.66,34.69,30-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
30-Mar-2020 - 00:00,19.72,48.32,29.62,28.68,215.52,57.96,1.63,172.0,754.49,0.0,8.2,7.69,8.38,10.67,7.71,0.7,35.96,31-Mar-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
31-Mar-2020 - 00:00,20.18,48.76,29.59,28.32,215.99,55.55,1.53,199.77,754.88,0.0,6.59,7.35,7.99,10.19,7.04,0.65,40.46,01-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
01-Apr-2020 - 00:00,16.87,49.61,28.96,28.56,233.8,62.75,1.59,181.91,754.5,0.35,6.52,7.51,7.87,10.26,7.36,0.67,36.28,02-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
02-Apr-2020 - 00:00,22.99,55.45,28.93,28.55,229.82,78.96,1.76,215.92,754.0,0.0,7.43,7.43,7.19,9.83,8.02,0.67,38.79,03-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
03-Apr-2020 - 00:00,22.51,52.91,29.06,28.53,230.22,79.45,1.59,165.09,754.64,0.0,7.12,7.34,7.54,9.94,7.65,0.67,39.75,04-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
04-Apr-2020 - 00:00,24.42,52.54,29.26,28.55,235.48,77.98,1.47,182.18,755.31,0.0,7.65,7.5,7.47,10.0,7.65,0.66,37.98,05-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
05-Apr-2020 - 00:00,19.38,43.01,29.18,28.85,251.56,76.8,1.76,140.96,756.0,2.18,6.22,9.3,9.06,12.32,8.2,0.67,35.34,06-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
06-Apr-2020 - 00:00,7.68,24.21,30.41,31.91,168.12,74.92,1.76,220.5,756.9,0.03,10.09,3.7,7.39,6.8,9.86,0.31,21.88,07-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
07-Apr-2020 - 00:00,9.26,29.29,29.71,27.52,196.21,86.06,1.78,231.42,759.0,0.01,8.73,7.17,7.63,9.75,5.68,0.58,28.24,08-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
08-Apr-2020 - 00:00,10.44,29.71,29.51,26.98,245.66,84.07,1.91,246.22,759.47,0.17,7.38,7.17,6.29,9.1,5.05,0.63,35.36,09-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
09-Apr-2020 - 00:00,10.58,40.29,29.68,26.85,248.12,80.04,1.77,218.76,758.84,0.04,8.63,2.77,4.57,4.62,4.77,0.65,34.99,10-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
10-Apr-2020 - 00:00,10.21,41.2,30.18,26.94,242.43,84.05,1.56,209.19,758.86,0.84,7.67,7.33,5.58,8.9,4.81,0.67,30.86,11-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
11-Apr-2020 - 00:00,13.39,48.53,30.39,26.66,221.64,78.7,1.55,209.18,759.35,0.94,7.9,7.59,5.34,8.94,4.83,0.65,28.31,12-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
12-Apr-2020 - 00:00,12.66,41.97,30.58,26.39,253.83,73.53,1.53,242.24,759.11,0.61,7.47,2.81,3.14,3.92,4.71,0.66,28.49,13-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
13-Apr-2020 - 00:00,15.59,50.64,30.54,26.4,236.29,77.98,1.57,203.54,758.23,0.27,7.9,7.52,4.7,8.53,4.64,0.71,32.63,14-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
14-Apr-2020 - 00:00,15.27,46.91,30.36,26.99,224.6,78.8,1.54,153.7,757.96,0.0,9.15,7.81,4.15,8.42,4.84,0.66,31.54,15-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
15-Apr-2020 - 00:00,9.94,30.02,30.38,26.75,245.74,78.09,1.69,149.93,758.86,1.54,7.37,7.68,2.81,7.6,4.84,0.61,29.01,16-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
16-Apr-2020 - 00:00,5.25,19.05,29.77,26.8,239.66,77.17,1.62,194.03,756.72,1.1,8.35,8.04,3.54,7.43,8.76,0.66,27.53,17-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
17-Apr-2020 - 00:00,6.14,19.1,30.33,29.26,231.03,77.5,1.4,163.58,755.27,0.0,8.64,6.69,4.67,7.85,10.01,0.66,26.3,18-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
18-Apr-2020 - 00:00,4.91,14.79,31.66,28.33,251.32,81.04,1.59,145.54,757.19,0.0,6.83,6.93,4.46,7.92,8.13,0.66,48.0,19-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
19-Apr-2020 - 00:00,8.67,14.4,31.52,28.06,208.28,80.72,1.49,135.6,756.95,0.0,7.06,6.81,4.11,7.67,6.74,0.58,22.57,20-Apr-2020 - 00:00,"Plammoodu, Thiruvananthapuram - Kerala PCB"
