from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,AT,WS,WD,RH,BP,SR,RF,to date,station
15-May-2020 - 00:00,14.61,19.44,0.35,15.85,11.67,22.88,9.07,0.3,0.06,4.82,5.76,0.3,0.14,,,,,,,0.0,16-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
16-May-2020 - 00:00,8.45,12.77,0.3,15.65,11.58,22.67,9.19,0.27,,12.47,13.05,0.41,0.2,,,,,,,0.0,17-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
17-May-2020 - 00:00,12.61,18.2,0.12,15.26,11.49,25.98,9.88,0.23,0.04,,,0.0,0.0,,,,,,,0.0,18-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
18-May-2020 - 00:00,18.11,25.52,0.58,15.89,11.55,29.11,10.04,0.38,4.03,27.38,28.17,0.29,0.13,,,,,,,0.0,19-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
19-May-2020 - 00:00,18.04,23.88,0.5,15.89,11.58,24.32,9.8,0.35,1.23,6.4,7.04,0.28,0.2,,,,,,,0.0,20-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
20-May-2020 - 00:00,6.82,10.19,0.5,16.13,11.81,17.6,9.82,0.31,0.23,2.24,2.6,0.36,0.17,,,,,,,0.0,21-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
21-May-2020 - 00:00,9.2,15.16,0.35,15.53,11.41,13.08,10.11,0.21,2.84,0.02,0.21,0.21,0.07,,,,,,,0.0,22-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
22-May-2020 - 00:00,14.05,18.96,0.35,15.59,11.48,11.38,9.93,0.25,1.12,0.02,0.3,0.27,0.11,,,,,,,0.0,23-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
23-May-2020 - 00:00,16.69,22.32,0.28,15.52,11.48,16.26,10.91,0.25,0.37,38.23,38.38,0.04,0.02,,,,,,,0.0,24-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
24-May-2020 - 00:00,13.28,19.05,0.09,15.09,11.38,15.85,11.2,0.19,0.82,7.3,7.49,0.04,0.02,,,,,,,0.0,25-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
25-May-2020 - 00:00,9.53,14.71,0.3,15.5,11.49,14.21,11.16,0.19,1.44,10.25,10.36,0.13,0.05,,,,,,,0.0,26-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
26-May-2020 - 00:00,8.77,13.13,0.45,15.65,11.58,12.13,11.05,0.21,2.12,0.03,0.26,0.27,0.09,,,,,,,0.0,27-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
27-May-2020 - 00:00,1.46,4.1,0.62,20.75,15.69,16.75,11.12,0.21,4.89,1.76,1.94,0.21,0.05,,,,,,,0.0,28-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
28-May-2020 - 00:00,3.54,9.68,0.36,15.66,11.6,19.7,11.92,0.24,2.5,0.38,4.06,1.28,0.93,,,,,,,0.0,29-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
29-May-2020 - 00:00,3.53,7.78,0.5,15.72,11.59,12.55,11.22,0.24,2.75,3.12,3.61,0.59,0.17,,,,,,,0.0,30-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
30-May-2020 - 00:00,3.52,7.14,0.21,15.46,11.61,12.93,11.41,0.22,0.24,16.96,17.28,0.23,0.08,,,,,,,0.0,31-May-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
31-May-2020 - 00:00,3.77,7.72,0.08,15.13,11.54,12.87,11.57,0.18,0.1,,,0.0,0.0,,,,,,,0.0,01-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
01-Jun-2020 - 00:00,4.52,9.11,0.6,15.89,12.05,12.85,11.87,0.22,4.6,10.34,10.65,0.11,0.03,,,,,,,0.0,02-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
02-Jun-2020 - 00:00,3.87,8.45,0.22,15.69,11.74,13.34,12.13,0.24,,,,0.0,0.0,,,,,,,0.0,03-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
03-Jun-2020 - 00:00,2.41,6.35,0.31,15.66,11.67,14.4,12.25,0.24,2.76,48.54,48.67,0.01,0.0,,,,,,,0.0,04-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
04-Jun-2020 - 00:00,2.4,4.62,0.24,15.59,11.65,16.23,12.63,0.19,2.81,3.74,4.0,0.15,0.05,,,,,,,0.0,05-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
05-Jun-2020 - 00:00,2.76,7.17,0.78,20.84,16.11,25.28,13.17,0.25,3.3,18.66,19.01,0.1,0.03,,,,,,,0.0,06-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
06-Jun-2020 - 00:00,3.11,6.47,0.15,15.61,11.73,18.77,12.74,0.21,,,,0.0,0.0,,,,,,,0.0,07-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
07-Jun-2020 - 00:00,5.64,,0.09,15.24,11.58,19.22,12.18,0.19,,,,0.0,0.0,,,,,,,0.0,08-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
08-Jun-2020 - 00:00,14.58,21.57,0.8,16.34,11.8,22.6,13.04,0.42,0.87,10.13,10.84,0.4,0.14,,,,,,,0.0,09-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
09-Jun-2020 - 00:00,9.66,12.58,0.12,15.47,11.63,24.59,13.5,0.32,,2.77,3.25,0.5,0.21,,,,,,,0.0,10-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
10-Jun-2020 - 00:00,1.95,2.95,0.11,15.51,11.76,21.37,13.41,0.22,,,,0.0,0.0,,,,,,,0.0,11-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
11-Jun-2020 - 00:00,,6.11,0.33,15.76,11.78,20.41,13.55,0.21,2.25,1.48,1.78,0.19,0.07,,,,,,,0.0,12-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
12-Jun-2020 - 00:00,1.07,7.9,0.28,15.54,11.67,21.44,11.66,0.2,3.63,3.44,3.74,0.33,0.13,,,,,,,0.0,13-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
13-Jun-2020 - 00:00,1.4,5.9,0.07,15.29,11.65,21.98,8.16,0.17,4.36,,,0.0,0.0,,,,,,,0.0,14-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
14-Jun-2020 - 00:00,0.98,4.59,0.08,15.18,11.63,24.78,8.81,0.16,3.79,,,0.0,0.0,,,,,,,0.0,15-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
15-Jun-2020 - 00:00,1.4,4.98,0.07,15.29,11.66,24.31,8.56,0.17,4.2,,,0.0,0.0,,,,,,,0.0,16-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
16-Jun-2020 - 00:00,1.23,6.13,0.4,15.86,11.83,20.28,8.57,0.17,4.87,11.73,11.95,0.14,0.05,,,,,,,0.0,17-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
17-Jun-2020 - 00:00,1.88,1.95,0.35,15.57,13.0,19.41,5.36,0.16,4.7,22.29,22.36,0.13,0.04,,,,,,,0.0,18-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
18-Jun-2020 - 00:00,1.4,9.3,0.23,15.62,11.71,25.15,1.89,0.15,2.18,24.7,24.7,0.01,0.0,,,,,,,0.0,19-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
19-Jun-2020 - 00:00,5.86,18.58,0.27,15.73,11.73,35.92,2.76,0.2,1.89,6.57,6.85,0.15,0.06,,,,,,,0.0,20-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
20-Jun-2020 - 00:00,2.3,12.36,0.08,15.46,11.74,34.26,2.39,0.21,,0.04,0.24,0.11,0.05,,,,,,,0.0,21-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
21-Jun-2020 - 00:00,2.5,9.31,0.06,15.16,11.55,29.87,2.31,0.15,0.52,,,0.0,0.0,,,,,,,0.0,22-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
22-Jun-2020 - 00:00,3.06,13.64,0.32,15.78,11.74,29.89,1.88,0.16,1.87,11.39,11.5,0.09,0.03,,,,,,,0.0,23-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
23-Jun-2020 - 00:00,3.39,14.58,0.39,15.69,11.62,25.3,0.94,0.06,2.58,12.27,12.34,0.09,0.03,,,,,,,,24-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
24-Jun-2020 - 00:00,8.76,31.94,0.14,15.38,11.55,25.7,1.1,0.07,1.87,9.11,9.2,0.1,0.04,,,,,,,,25-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
25-Jun-2020 - 00:00,7.62,28.3,0.16,15.53,11.59,23.2,1.01,0.05,1.72,,,0.0,0.0,,,,,,,,26-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
26-Jun-2020 - 00:00,1.63,6.82,0.17,15.69,11.8,22.75,1.27,0.04,1.07,,,0.0,0.0,,,,,,,,27-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
27-Jun-2020 - 00:00,0.17,3.26,0.08,15.41,11.69,22.19,1.07,0.02,1.29,,,0.0,0.0,,,,,,,,28-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
28-Jun-2020 - 00:00,0.26,1.5,0.05,15.13,11.56,25.75,1.42,0.02,1.4,,,0.0,0.0,,,,,,,,29-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
29-Jun-2020 - 00:00,0.33,9.99,0.14,15.97,12.04,28.5,2.01,0.12,0.97,,,0.0,0.0,,,,,,,,30-Jun-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
30-Jun-2020 - 00:00,2.76,9.5,0.1,15.75,11.91,28.53,2.25,0.1,1.24,,,0.0,0.0,,,,,,,,01-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
01-Jul-2020 - 00:00,0.43,11.64,0.35,16.23,12.1,23.12,2.3,0.11,1.12,0.0,0.0,0.0,0.0,,,,,,,,02-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
02-Jul-2020 - 00:00,1.62,9.37,0.32,16.77,12.56,26.96,2.58,0.11,0.67,9.47,9.37,0.05,0.02,,,,,,,,03-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
03-Jul-2020 - 00:00,3.13,11.46,0.11,16.6,12.63,24.36,2.35,0.17,0.42,97.21,97.17,0.0,0.0,,,,,,,,04-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
04-Jul-2020 - 00:00,1.94,5.51,0.1,15.87,12.05,25.06,2.53,0.11,0.64,2.01,2.09,0.09,0.04,,,,,,,,05-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
05-Jul-2020 - 00:00,,1.46,0.06,15.21,11.65,24.76,2.67,0.03,1.06,12.15,12.24,0.02,0.01,,,,,,,,06-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
06-Jul-2020 - 00:00,,8.12,0.12,15.68,11.83,25.74,3.11,0.07,1.26,48.57,48.57,0.0,0.0,,,,,,,,07-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
07-Jul-2020 - 00:00,0.99,11.79,0.22,16.3,12.26,24.71,3.49,0.12,0.96,17.51,17.7,0.06,0.02,,,,,,,,08-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
08-Jul-2020 - 00:00,0.97,8.28,0.3,15.86,11.84,22.82,3.5,0.1,1.81,13.65,13.65,0.0,0.0,,,,,,,,09-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
09-Jul-2020 - 00:00,1.94,10.09,0.18,15.66,11.76,29.59,3.61,0.05,1.97,0.0,0.0,0.0,0.0,,,,,,,,10-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
10-Jul-2020 - 00:00,1.88,4.64,0.13,15.65,11.79,30.91,3.57,0.02,2.06,0.0,0.0,0.0,0.0,,,,,,,,11-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
11-Jul-2020 - 00:00,0.95,4.03,0.11,15.58,11.76,30.75,3.29,0.02,1.93,0.0,0.0,0.0,0.0,,,,,,,,12-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
12-Jul-2020 - 00:00,,3.48,0.07,15.35,11.68,34.3,3.49,0.01,1.57,0.0,0.0,0.0,0.0,,,,,,,,13-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
13-Jul-2020 - 00:00,0.97,8.12,0.15,16.15,12.2,33.15,4.01,0.1,1.17,0.0,0.0,0.0,0.0,,,,,,,,14-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
14-Jul-2020 - 00:00,,12.72,0.22,16.94,12.74,34.15,4.34,0.17,0.77,0.0,0.0,0.0,0.0,,,,,,,,15-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
15-Jul-2020 - 00:00,,11.58,0.31,16.81,12.56,32.67,4.88,0.13,0.92,0.0,0.0,0.0,0.0,,,,,,,,16-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
16-Jul-2020 - 00:00,2.0,13.72,0.65,27.26,20.83,30.37,4.74,0.1,1.38,0.0,0.0,0.0,0.0,,,,,,,,17-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
17-Jul-2020 - 00:00,0.97,11.3,0.36,17.2,12.73,37.61,5.19,0.08,43.66,0.0,0.0,0.0,0.0,,,,,,,,18-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
18-Jul-2020 - 00:00,1.61,8.95,0.12,15.76,11.94,25.49,4.32,0.0,,0.0,0.0,0.0,0.0,,,,,,,,19-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
19-Jul-2020 - 00:00,0.94,1.98,0.07,15.25,11.69,25.09,4.46,0.0,,0.0,0.0,0.0,0.0,,,,,,,,20-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
20-Jul-2020 - 00:00,,5.97,0.22,15.99,12.13,29.19,4.57,0.08,4.33,0.0,0.0,0.0,0.0,,,,,,,,21-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
21-Jul-2020 - 00:00,0.96,2.62,0.14,15.98,12.14,26.02,4.67,0.17,4.09,0.0,0.0,0.0,0.0,,,,,,,,22-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
22-Jul-2020 - 00:00,1.28,7.21,0.18,15.84,11.96,27.33,4.98,0.18,4.68,0.0,0.0,0.0,0.0,,,,,,,,23-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
23-Jul-2020 - 00:00,1.44,11.43,0.55,16.54,12.24,32.85,5.28,0.23,4.53,0.0,0.0,0.0,0.0,,,,,,,,24-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
24-Jul-2020 - 00:00,,13.5,0.21,16.37,12.35,37.36,5.84,0.21,4.0,0.0,0.0,0.0,0.0,,,,,,,,25-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
25-Jul-2020 - 00:00,0.76,14.98,0.17,16.84,12.71,33.45,5.92,0.26,3.74,0.0,0.0,0.0,0.0,,,,,,,,26-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
26-Jul-2020 - 00:00,2.1,8.05,0.07,15.49,11.86,31.8,5.94,0.21,4.04,0.0,0.0,0.0,0.0,,,,,,,,27-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
27-Jul-2020 - 00:00,4.46,17.53,0.62,16.57,12.18,40.53,6.33,0.25,4.84,0.0,0.0,0.0,0.0,,,,,,,,28-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
28-Jul-2020 - 00:00,5.34,14.4,1.34,17.05,12.0,29.27,6.33,0.34,4.9,0.0,0.0,0.0,0.0,,1.28,175.11,76.43,886.2,24.61,,29-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
29-Jul-2020 - 00:00,0.71,10.84,0.18,16.96,12.78,37.35,6.41,0.21,3.86,0.0,0.0,0.0,0.0,,1.49,185.8,93.53,887.15,87.35,,30-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
30-Jul-2020 - 00:00,,9.88,0.18,16.97,12.85,34.34,6.75,0.22,3.65,0.0,0.0,0.0,0.0,,1.12,185.83,92.41,887.26,108.09,,31-Jul-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
31-Jul-2020 - 00:00,3.23,14.07,0.32,17.01,12.74,35.35,7.2,0.29,3.92,0.0,0.0,0.0,0.0,,0.79,183.66,92.23,886.14,102.64,,01-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
01-Aug-2020 - 00:00,1.32,11.47,0.2,16.69,12.6,34.93,7.58,0.31,3.74,0.0,0.0,0.0,0.0,,0.78,183.76,93.14,884.51,96.74,,02-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
02-Aug-2020 - 00:00,4.03,10.52,0.16,15.59,11.89,32.56,8.39,0.21,4.29,0.0,0.0,0.0,0.0,,0.89,177.77,91.01,882.19,0.39,,03-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
03-Aug-2020 - 00:00,6.24,20.11,0.27,16.84,12.63,34.77,8.84,0.38,4.0,0.0,0.0,0.0,0.0,,0.79,179.7,87.36,878.6,0.19,,04-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
04-Aug-2020 - 00:00,3.46,17.59,0.44,16.65,12.39,25.83,8.32,0.32,4.68,0.0,0.0,0.0,0.0,,3.05,73.4,89.31,876.45,97.48,,05-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
05-Aug-2020 - 00:00,,12.28,0.38,16.22,12.08,26.26,8.7,0.24,5.16,0.0,0.0,0.0,0.0,,3.04,84.2,80.8,880.31,,,06-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
06-Aug-2020 - 00:00,,12.0,0.31,16.51,12.4,27.03,8.91,0.26,4.29,0.0,0.0,0.0,0.0,,1.56,126.19,88.39,885.53,,,07-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
07-Aug-2020 - 00:00,,10.19,1.57,17.96,12.73,124.3,8.59,0.22,4.55,0.0,0.0,0.0,0.0,,1.32,184.94,90.64,885.62,,,08-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
08-Aug-2020 - 00:00,,9.71,0.4,16.64,12.33,242.35,7.57,0.21,3.87,0.0,0.0,0.0,0.0,,1.46,184.49,91.75,884.2,,,09-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
09-Aug-2020 - 00:00,,5.14,0.19,16.03,12.1,133.11,7.91,0.14,3.88,0.0,0.0,0.0,0.0,,1.19,176.51,82.88,884.53,,,10-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
10-Aug-2020 - 00:00,0.72,9.25,1.58,17.62,12.42,187.22,9.08,0.24,5.43,0.0,0.0,0.0,0.0,,1.47,191.55,86.61,885.12,,,11-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
11-Aug-2020 - 00:00,,3.67,0.39,16.36,12.16,108.12,8.65,0.24,4.78,0.0,0.0,0.0,0.0,,1.9,159.78,93.97,884.61,,,12-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
12-Aug-2020 - 00:00,,9.55,0.27,16.31,12.23,81.09,8.71,0.22,4.65,0.0,0.0,0.0,0.0,,1.76,147.47,90.29,884.99,,,13-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
13-Aug-2020 - 00:00,3.13,14.04,0.41,16.73,12.52,63.11,9.33,0.3,4.03,0.0,0.0,0.0,0.0,,1.1,167.88,85.69,883.61,,,14-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
14-Aug-2020 - 00:00,,8.3,0.25,16.57,12.48,54.64,9.32,0.26,4.47,0.0,0.0,0.0,0.0,,1.38,141.56,86.61,882.24,,,15-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
15-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,16-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
16-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,17-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
17-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,18-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
18-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,19-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
19-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,20-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
20-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,21-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
21-Aug-2020 - 00:00,1.59,8.91,0.32,15.99,12.07,36.05,10.66,0.16,5.03,0.0,0.0,0.0,0.0,,,,,,,,22-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
22-Aug-2020 - 00:00,1.7,6.29,0.13,15.82,12.11,44.38,10.73,0.15,4.39,0.0,0.0,0.0,0.0,,,,,,,,23-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
23-Aug-2020 - 00:00,,5.8,0.12,15.89,12.14,50.78,11.39,0.15,4.22,0.0,0.0,0.0,0.0,,,,,,,,24-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
24-Aug-2020 - 00:00,,10.72,0.34,16.95,12.74,39.2,11.43,0.28,4.25,0.0,0.0,0.0,0.0,,,,,,,,25-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
25-Aug-2020 - 00:00,,8.09,0.24,16.76,12.63,44.49,12.15,0.22,4.67,0.0,0.0,0.0,0.0,,,,,,,,26-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
26-Aug-2020 - 00:00,1.0,11.39,0.16,16.51,12.52,43.62,11.85,0.22,4.39,0.0,0.0,0.0,0.0,,,,,,,,27-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
27-Aug-2020 - 00:00,2.21,14.59,0.15,15.99,12.18,46.89,11.9,0.17,4.51,0.0,0.0,0.0,0.0,,,,,,,,28-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
28-Aug-2020 - 00:00,4.75,20.5,0.14,16.04,12.18,42.35,11.97,0.19,4.63,0.0,0.0,0.0,0.0,,,,,,,,29-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
29-Aug-2020 - 00:00,5.88,19.09,0.1,15.63,11.97,43.97,12.17,0.13,4.74,0.0,0.0,0.0,0.0,,,,,,,,30-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
30-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,31-Aug-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
31-Aug-2020 - 00:00,8.91,22.55,0.64,16.76,12.31,36.28,12.79,0.39,5.2,0.0,0.0,0.0,0.0,,,,,,,,01-Sep-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
01-Sep-2020 - 00:00,3.48,15.55,0.35,16.98,12.86,42.66,12.93,0.33,4.37,0.0,0.0,0.0,0.0,,,,,,,,02-Sep-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
02-Sep-2020 - 00:00,1.97,14.77,0.23,16.49,12.42,40.52,13.3,0.27,4.16,0.0,0.0,0.0,0.0,,,,,,,,03-Sep-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
03-Sep-2020 - 00:00,4.23,15.7,0.24,16.73,12.56,40.14,13.82,0.32,4.08,0.0,0.0,0.0,0.0,,,,,,,,04-Sep-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
04-Sep-2020 - 00:00,5.93,21.2,0.25,16.75,12.61,33.7,13.9,0.39,3.93,0.0,0.0,0.0,0.0,,,,,,,,05-Sep-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
05-Sep-2020 - 00:00,6.14,15.9,0.12,16.21,12.41,32.68,13.4,0.39,3.9,0.0,0.0,0.0,0.0,,,,,,,,06-Sep-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
06-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,07-Sep-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
07-Sep-2020 - 00:00,1.28,12.57,0.68,17.15,12.66,26.06,14.59,0.27,4.5,0.0,0.0,0.0,0.0,,,,,,,,08-Sep-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
08-Sep-2020 - 00:00,3.59,13.8,0.39,16.65,12.46,30.33,14.65,0.28,4.58,0.0,0.0,0.0,0.0,,,,,,,,09-Sep-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
09-Sep-2020 - 00:00,6.04,15.89,0.23,16.59,12.47,33.95,14.71,0.32,4.33,0.0,0.0,0.0,0.0,,,,,,,,10-Sep-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
10-Sep-2020 - 00:00,2.5,5.25,0.23,16.05,12.07,33.84,14.66,0.24,4.62,0.0,0.0,0.0,0.0,,,,,,,,11-Sep-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
11-Sep-2020 - 00:00,1.0,3.39,0.13,15.84,12.13,35.54,14.97,0.15,4.31,0.0,0.0,0.0,0.0,,,,,,,,12-Sep-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
12-Sep-2020 - 00:00,,3.51,0.12,15.89,12.22,32.68,15.16,0.15,4.07,0.0,0.0,0.0,0.0,,,,,,,,13-Sep-2020 - 00:00,"Sikulpuikawn, Aizawl - Mizoram PCB"
