from date,PM10,O Xylene,WD,RH,SR,NO,NO2,NOx,Ozone,Temp,CO,WS,RF,PM2.5,NH3,SO2,Benzene,Toluene,MP-Xylene,Eth-Benzene,to date,station
28-Jan-2020 - 00:00,176.97,13.94,282.85,78.93,36.95,8.5,37.71,26.74,22.8,12.85,0.83,0.12,0.0,119.51,20.58,7.88,4.32,33.37,9.38,7.7,29-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
29-Jan-2020 - 00:00,127.77,16.55,174.0,74.09,35.09,24.22,40.1,39.44,26.34,12.07,1.06,0.09,0.0,77.06,24.15,7.56,4.36,36.89,10.23,8.48,30-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
30-Jan-2020 - 00:00,159.15,19.93,243.3,70.4,35.12,23.6,46.96,43.19,31.32,11.63,1.02,0.14,0.0,91.81,25.31,8.61,5.2,47.0,12.32,11.91,31-Jan-2020 - 00:00,"Sirifort, Delhi - CPCB"
31-Jan-2020 - 00:00,163.24,15.87,223.36,68.88,33.12,16.65,44.84,37.0,30.93,10.63,1.01,0.13,0.0,85.75,23.55,7.57,4.65,36.44,9.33,8.63,01-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
01-Feb-2020 - 00:00,184.7,21.38,213.46,68.74,35.03,35.31,55.27,57.39,32.34,11.15,1.36,0.11,0.0,99.8,29.44,8.87,7.56,48.1,12.84,11.86,02-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
02-Feb-2020 - 00:00,228.44,14.39,255.13,71.29,35.51,17.86,47.83,39.53,35.31,10.41,1.04,0.15,0.0,131.44,24.29,7.78,5.62,39.13,9.3,8.07,03-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
03-Feb-2020 - 00:00,252.03,17.94,238.23,65.64,31.01,38.75,60.95,62.29,32.35,11.02,1.48,0.1,0.0,130.51,31.11,8.4,5.61,40.95,10.41,8.48,04-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
04-Feb-2020 - 00:00,383.21,57.56,187.75,68.25,33.41,147.61,107.32,173.22,23.07,11.34,4.33,0.09,0.0,197.1,63.32,12.22,12.96,101.33,30.48,28.39,05-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
05-Feb-2020 - 00:00,264.26,30.87,235.26,65.32,35.65,51.21,67.19,76.34,34.05,11.65,1.86,0.12,0.0,150.76,34.97,10.19,8.7,61.04,17.16,15.95,06-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
06-Feb-2020 - 00:00,214.24,17.29,254.31,64.28,33.81,24.75,51.55,46.98,34.36,11.24,1.07,0.12,0.0,119.45,26.37,6.49,5.03,40.17,10.11,8.78,07-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
07-Feb-2020 - 00:00,262.46,34.16,232.31,66.13,35.12,88.95,83.17,113.38,27.11,11.16,2.58,0.1,0.0,151.65,46.34,6.87,11.41,72.61,18.48,17.29,08-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
08-Feb-2020 - 00:00,250.23,18.12,245.74,65.38,34.7,25.73,52.72,48.39,34.64,11.52,1.23,0.13,0.0,160.83,26.89,7.1,6.42,41.7,10.99,9.82,09-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
09-Feb-2020 - 00:00,272.48,20.55,241.94,66.01,33.66,30.61,54.26,52.19,31.4,11.79,1.42,0.09,0.0,159.48,28.22,5.31,6.76,42.99,11.45,10.7,10-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
10-Feb-2020 - 00:00,323.28,28.96,254.93,67.16,36.7,64.05,70.63,88.42,32.71,11.7,2.28,0.11,0.0,194.34,38.56,6.3,8.24,55.96,15.14,14.49,11-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
11-Feb-2020 - 00:00,306.01,46.78,234.74,64.14,33.82,101.84,90.37,129.66,30.26,12.06,3.21,0.1,0.0,177.47,50.71,7.61,13.4,99.28,25.56,24.75,12-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
12-Feb-2020 - 00:00,290.98,26.64,252.0,62.65,35.08,35.93,59.54,60.11,41.82,13.46,1.47,0.2,0.0,191.93,30.4,7.5,8.32,59.72,18.01,15.08,13-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
13-Feb-2020 - 00:00,171.2,9.92,264.49,54.4,30.44,3.41,37.38,22.53,47.97,15.39,0.41,0.27,0.0,98.47,19.44,6.86,3.07,24.96,7.64,5.49,14-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
14-Feb-2020 - 00:00,154.86,7.36,266.55,50.85,33.77,3.03,33.78,20.3,54.99,15.13,0.29,0.31,0.0,68.12,18.66,5.25,3.11,22.8,8.67,4.18,15-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
15-Feb-2020 - 00:00,187.61,12.17,263.24,48.48,32.44,16.38,45.26,36.64,46.82,13.98,0.75,0.22,0.0,86.02,23.57,6.63,3.37,29.95,7.48,5.73,16-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
16-Feb-2020 - 00:00,275.54,21.54,245.15,54.77,34.34,38.23,62.07,63.28,44.68,14.3,1.45,0.12,0.0,133.21,31.25,7.61,5.67,43.42,14.49,9.66,17-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
17-Feb-2020 - 00:00,299.66,32.01,254.52,55.49,38.13,63.57,75.03,90.64,40.8,14.64,2.14,0.14,0.0,161.5,39.31,8.1,7.5,59.36,19.03,14.8,18-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
18-Feb-2020 - 00:00,305.39,16.93,261.9,48.54,38.43,29.26,58.74,55.29,49.55,14.59,1.19,0.17,0.0,133.03,29.08,9.31,4.85,32.48,9.81,7.29,19-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
19-Feb-2020 - 00:00,309.4,36.11,258.81,59.6,37.76,52.15,69.52,78.84,25.96,14.45,2.08,0.1,0.0,134.11,35.93,7.56,8.01,55.59,19.47,18.69,20-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
20-Feb-2020 - 00:00,282.78,14.9,303.81,54.98,38.27,5.64,40.12,25.63,43.11,16.38,0.82,0.15,0.01,112.69,20.23,5.51,4.74,18.2,10.52,6.56,21-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
21-Feb-2020 - 00:00,128.65,7.76,207.24,71.62,34.86,3.6,28.54,18.01,35.87,13.91,0.38,0.19,0.01,57.63,17.91,4.37,3.3,10.73,7.94,3.86,22-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
22-Feb-2020 - 00:00,230.71,14.48,239.74,68.12,52.47,30.62,49.49,50.8,24.46,15.21,1.07,0.09,0.0,75.18,27.54,5.75,4.62,24.02,10.77,6.97,23-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
23-Feb-2020 - 00:00,212.89,29.09,215.84,66.61,52.13,53.8,61.68,73.82,36.09,16.12,1.95,0.08,0.0,108.47,34.34,7.33,8.52,50.54,19.47,15.28,24-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
24-Feb-2020 - 00:00,169.72,13.71,210.72,61.46,49.59,18.46,53.7,42.78,37.46,16.03,0.82,0.1,0.0,71.49,25.23,6.54,4.27,21.47,9.83,7.04,25-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
25-Feb-2020 - 00:00,263.99,17.76,259.17,64.72,50.26,18.35,50.36,41.24,41.15,15.97,1.13,0.12,0.0,147.35,24.83,6.63,6.3,36.99,11.97,9.87,26-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
26-Feb-2020 - 00:00,260.48,31.57,273.04,63.85,51.38,39.85,62.65,64.05,44.25,16.33,1.83,0.11,0.0,132.3,31.41,7.78,7.61,60.46,19.84,20.72,27-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
27-Feb-2020 - 00:00,244.5,18.04,280.27,69.81,44.84,13.16,49.0,36.05,26.9,16.51,1.16,0.12,0.0,116.81,18.63,6.23,5.54,30.76,11.71,9.41,28-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
28-Feb-2020 - 00:00,233.61,12.41,304.86,64.03,51.38,4.56,32.76,20.96,42.86,17.3,0.64,0.15,0.0,94.83,13.87,4.2,4.2,20.4,9.37,5.97,29-Feb-2020 - 00:00,"Sirifort, Delhi - CPCB"
29-Feb-2020 - 00:00,160.13,9.49,272.37,69.63,46.72,3.46,29.35,18.33,40.74,16.41,0.46,0.16,0.03,67.63,14.13,3.98,3.48,20.32,7.88,4.39,01-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
01-Mar-2020 - 00:00,99.09,9.39,263.41,70.29,55.59,14.9,38.61,32.34,36.73,16.45,0.62,0.12,0.04,43.22,12.73,4.15,2.62,25.14,8.07,5.49,02-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
02-Mar-2020 - 00:00,249.32,31.83,255.11,70.85,49.89,58.59,81.47,89.72,42.8,17.08,2.4,0.1,0.01,105.48,23.16,7.15,7.13,48.63,19.15,15.19,03-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
03-Mar-2020 - 00:00,251.82,29.45,238.72,62.74,53.03,28.6,78.18,64.02,47.1,17.23,2.0,0.11,0.01,92.73,13.19,7.16,6.64,78.15,17.33,15.11,04-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
04-Mar-2020 - 00:00,320.44,25.14,265.73,62.58,52.78,20.67,71.47,55.04,67.7,17.08,1.45,0.11,0.01,102.56,15.28,6.45,5.87,53.67,14.09,12.72,05-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
05-Mar-2020 - 00:00,94.94,10.38,288.95,69.48,61.57,3.73,33.66,20.65,119.01,15.92,0.35,0.15,0.01,33.59,12.71,4.96,2.33,29.67,7.25,4.81,06-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
06-Mar-2020 - 00:00,36.46,9.99,283.54,81.03,55.05,2.67,27.79,16.88,139.5,13.34,0.32,0.16,0.0,18.4,14.81,4.61,1.91,26.41,7.45,5.07,07-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
07-Mar-2020 - 00:00,96.36,13.45,292.27,76.97,61.32,5.14,38.13,24.27,139.63,14.32,0.68,0.12,0.0,43.79,13.13,4.71,3.05,32.75,9.33,6.4,08-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
08-Mar-2020 - 00:00,123.65,20.1,228.2,66.51,65.3,6.71,47.89,30.98,127.53,15.07,1.07,0.14,0.0,60.03,18.35,5.23,4.38,43.33,12.56,11.14,09-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
09-Mar-2020 - 00:00,154.62,10.42,260.76,59.99,69.4,3.23,36.53,21.9,133.35,14.98,0.48,0.19,0.0,63.04,14.25,5.54,2.5,24.68,10.12,5.07,10-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
10-Mar-2020 - 00:00,182.76,11.52,228.46,60.14,66.31,2.11,29.23,17.06,165.65,15.81,0.8,0.09,0.0,86.07,14.56,4.66,3.65,29.76,10.89,5.38,11-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
11-Mar-2020 - 00:00,245.74,9.67,300.19,64.5,73.78,3.21,27.71,17.31,130.47,17.31,0.51,0.14,0.01,72.09,11.9,4.46,2.71,25.28,10.19,4.07,12-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
12-Mar-2020 - 00:00,309.16,13.06,269.23,59.75,76.24,9.41,46.57,32.11,129.6,17.84,0.83,0.11,0.01,74.88,12.89,5.21,3.49,32.43,11.24,5.82,13-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
13-Mar-2020 - 00:00,263.28,15.84,275.06,52.47,61.82,3.74,39.23,23.74,141.19,17.19,0.7,0.13,0.01,73.56,12.82,5.78,3.35,33.84,13.34,7.7,14-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
14-Mar-2020 - 00:00,149.82,9.9,252.32,73.24,46.91,2.22,29.42,17.36,153.63,15.25,0.39,0.12,0.01,43.8,13.09,5.55,2.29,27.83,10.8,4.73,15-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
15-Mar-2020 - 00:00,133.22,11.77,239.36,64.35,73.85,2.09,31.25,18.24,167.37,15.79,0.56,0.1,0.01,58.87,12.29,4.81,3.19,36.03,10.34,6.28,16-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
16-Mar-2020 - 00:00,198.7,12.29,253.33,61.36,70.34,7.69,41.36,28.0,118.34,16.38,0.59,0.12,0.01,71.1,12.89,5.25,3.01,35.89,10.02,6.52,17-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
17-Mar-2020 - 00:00,219.06,16.27,255.75,59.89,84.47,9.72,50.36,34.45,128.63,17.1,0.84,0.15,0.01,76.2,13.13,5.82,3.73,43.18,11.61,8.27,18-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
18-Mar-2020 - 00:00,220.37,24.85,249.38,57.14,82.36,10.68,55.15,37.28,113.4,18.05,1.12,0.17,0.0,73.01,11.2,6.2,4.59,55.44,14.1,12.25,19-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
19-Mar-2020 - 00:00,220.49,23.6,239.95,59.95,82.16,12.29,58.43,40.62,102.65,18.93,1.29,0.13,0.01,88.13,9.02,6.83,4.94,56.92,16.87,12.96,20-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
20-Mar-2020 - 00:00,315.97,19.22,237.29,58.86,63.21,18.19,58.94,44.92,83.2,19.6,1.21,0.11,0.01,109.8,9.35,7.38,5.23,51.01,14.08,9.72,21-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
21-Mar-2020 - 00:00,175.17,20.02,255.99,54.43,65.59,17.32,46.1,38.07,106.13,19.12,1.09,0.11,0.01,69.58,10.23,7.8,3.85,48.87,11.9,10.32,22-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
22-Mar-2020 - 00:00,129.38,18.95,243.93,54.4,87.27,2.74,26.14,15.99,128.18,19.6,0.79,0.12,0.0,75.37,12.54,7.3,4.02,44.28,14.38,9.28,23-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
23-Mar-2020 - 00:00,117.23,8.82,255.09,52.47,84.83,3.61,25.01,16.18,110.4,19.97,0.35,0.11,0.01,51.9,10.61,6.17,2.15,25.81,7.93,3.99,24-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
24-Mar-2020 - 00:00,138.17,11.88,273.85,59.77,81.07,2.81,21.96,13.95,122.73,19.25,0.53,0.13,0.0,57.9,10.28,6.2,3.23,37.87,8.95,5.11,25-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
25-Mar-2020 - 00:00,61.05,8.47,243.73,59.45,106.47,1.93,15.56,9.99,146.44,20.0,0.46,0.11,0.01,31.41,13.47,7.54,1.77,29.57,7.28,3.68,26-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
26-Mar-2020 - 00:00,70.79,0.76,251.76,57.22,59.52,1.41,11.45,7.32,127.58,19.28,0.17,0.24,0.0,35.13,13.22,5.34,1.39,26.86,0.74,0.35,27-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
27-Mar-2020 - 00:00,57.17,4.96,265.08,63.67,62.04,1.53,11.21,7.28,144.8,18.57,0.25,0.15,0.0,26.1,13.02,4.62,1.13,26.41,4.98,2.2,28-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
28-Mar-2020 - 00:00,32.45,4.37,252.85,59.7,129.81,1.34,11.6,7.33,,18.52,0.19,0.15,0.0,16.29,13.13,4.38,0.84,24.65,5.01,1.84,29-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
29-Mar-2020 - 00:00,51.72,3.82,261.46,50.67,139.56,1.33,10.29,6.66,,19.47,0.15,0.2,0.0,28.71,13.93,4.5,0.71,21.73,4.8,1.64,30-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
30-Mar-2020 - 00:00,50.29,4.93,252.03,49.55,137.41,1.3,11.06,6.94,,19.03,0.2,0.19,0.0,,14.17,4.99,1.27,31.37,6.02,2.2,31-Mar-2020 - 00:00,"Sirifort, Delhi - CPCB"
31-Mar-2020 - 00:00,61.73,4.16,223.4,46.29,128.82,1.29,11.46,7.24,90.99,20.37,0.23,0.15,0.0,19.06,13.98,5.2,0.93,25.26,4.98,1.77,01-Apr-2020 - 00:00,"Sirifort, Delhi - CPCB"
01-Apr-2020 - 00:00,58.38,3.87,250.47,51.44,137.75,1.6,12.18,7.86,,20.66,0.21,0.14,0.0,28.63,13.16,4.87,0.84,24.28,4.05,1.63,02-Apr-2020 - 00:00,"Sirifort, Delhi - CPCB"
02-Apr-2020 - 00:00,53.95,3.01,232.04,50.65,142.9,1.46,10.85,7.06,68.94,21.66,0.18,0.22,0.0,22.83,14.04,4.48,0.78,19.43,3.66,1.73,03-Apr-2020 - 00:00,"Sirifort, Delhi - CPCB"
03-Apr-2020 - 00:00,61.44,2.53,259.07,49.55,148.73,1.34,11.81,7.45,125.21,22.62,0.27,0.18,0.0,30.47,13.37,4.29,0.91,18.05,3.69,2.04,04-Apr-2020 - 00:00,"Sirifort, Delhi - CPCB"
04-Apr-2020 - 00:00,72.17,3.7,265.09,53.33,147.5,1.32,13.99,8.55,,23.06,0.39,0.17,0.0,38.43,13.45,5.14,1.27,20.9,4.12,2.61,05-Apr-2020 - 00:00,"Sirifort, Delhi - CPCB"
05-Apr-2020 - 00:00,78.65,5.33,243.6,55.55,123.3,1.64,18.34,11.03,,24.44,0.54,0.13,0.0,39.77,10.82,4.71,1.78,24.19,4.39,2.67,06-Apr-2020 - 00:00,"Sirifort, Delhi - CPCB"
06-Apr-2020 - 00:00,94.99,5.6,238.77,50.02,151.12,1.68,15.99,9.54,,26.14,0.51,0.13,0.0,50.4,11.26,4.94,2.4,28.34,4.41,2.91,07-Apr-2020 - 00:00,"Sirifort, Delhi - CPCB"
07-Apr-2020 - 00:00,94.19,2.81,187.32,51.43,140.47,1.42,10.72,6.94,,24.98,0.26,0.19,0.0,36.12,12.81,4.21,0.96,20.08,3.64,1.9,08-Apr-2020 - 00:00,"Sirifort, Delhi - CPCB"
08-Apr-2020 - 00:00,74.59,2.26,243.52,46.02,165.75,1.37,10.73,6.92,,26.4,0.2,0.19,0.0,28.2,13.02,4.53,0.88,17.5,3.53,1.86,09-Apr-2020 - 00:00,"Sirifort, Delhi - CPCB"
09-Apr-2020 - 00:00,73.98,-0.01,250.26,48.37,141.95,1.7,14.86,9.34,,27.04,0.28,0.18,0.0,33.63,12.65,5.98,,,-0.01,-0.01,10-Apr-2020 - 00:00,"Sirifort, Delhi - CPCB"
10-Apr-2020 - 00:00,105.75,3.6,274.04,49.36,135.49,2.43,20.35,12.75,25.98,28.53,0.49,0.12,0.0,55.71,10.95,7.92,0.76,21.17,3.78,2.51,11-Apr-2020 - 00:00,"Sirifort, Delhi - CPCB"
11-Apr-2020 - 00:00,104.35,3.86,242.37,49.89,137.08,4.17,19.92,13.96,56.87,28.9,0.66,0.14,0.0,50.22,11.13,8.16,2.84,33.24,2.04,1.38,12-Apr-2020 - 00:00,"Sirifort, Delhi - CPCB"
12-Apr-2020 - 00:00,91.09,,267.12,46.17,143.04,1.47,12.94,8.17,65.98,26.48,0.29,0.18,0.0,38.92,13.36,8.39,,,,,13-Apr-2020 - 00:00,"Sirifort, Delhi - CPCB"
13-Apr-2020 - 00:00,136.47,,261.73,49.01,132.4,2.17,17.64,11.17,42.67,26.99,0.51,0.16,0.0,68.3,11.11,11.04,,,,,14-Apr-2020 - 00:00,"Sirifort, Delhi - CPCB"
14-Apr-2020 - 00:00,128.07,,256.58,50.45,113.93,2.19,21.77,13.28,41.24,28.55,0.59,0.11,0.0,52.96,10.64,8.61,,,,,15-Apr-2020 - 00:00,"Sirifort, Delhi - CPCB"
15-Apr-2020 - 00:00,180.37,4.32,255.26,44.02,136.86,3.48,20.56,13.74,52.04,28.77,0.54,0.13,0.0,59.32,13.23,10.41,1.23,16.89,3.22,2.18,16-Apr-2020 - 00:00,"Sirifort, Delhi - CPCB"
16-Apr-2020 - 00:00,167.23,8.72,269.56,41.76,149.92,2.96,20.81,13.6,39.24,27.94,0.6,0.16,0.0,67.03,10.5,11.28,2.81,40.82,6.95,5.0,17-Apr-2020 - 00:00,"Sirifort, Delhi - CPCB"
17-Apr-2020 - 00:00,78.6,3.01,210.55,40.37,152.35,1.39,12.26,7.73,50.99,28.9,0.19,0.13,0.0,22.93,13.18,7.85,0.92,15.34,3.05,1.85,18-Apr-2020 - 00:00,"Sirifort, Delhi - CPCB"
