from date,NO,NO2,NOx,CO,SO2,PM10,PM2.5,WS,WD,RH,SR,BP,RF,to date,station
28-Feb-2020 - 00:00,14.61,18.43,33.0,2.08,10.1,138.27,82.44,3.46,117.43,68.34,775.56,976.86,,29-Feb-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
29-Feb-2020 - 00:00,14.64,18.47,32.98,2.11,8.12,88.33,53.18,3.9,111.69,69.71,766.01,976.86,,01-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
01-Mar-2020 - 00:00,14.62,18.3,32.92,2.03,8.93,91.62,26.01,3.42,107.99,65.86,753.95,978.09,,02-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
02-Mar-2020 - 00:00,14.87,18.33,33.2,2.06,9.37,101.55,34.77,4.09,204.48,64.97,771.03,977.74,,03-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
03-Mar-2020 - 00:00,14.58,18.41,32.99,2.09,9.01,101.39,46.63,4.88,280.92,65.11,802.74,976.93,,04-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
04-Mar-2020 - 00:00,14.76,18.1,32.86,2.09,8.59,230.26,64.4,3.78,194.14,61.07,770.23,976.0,,05-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
05-Mar-2020 - 00:00,14.59,18.39,32.98,2.17,6.84,68.88,23.65,3.71,158.11,65.42,765.12,975.82,0.12,06-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
06-Mar-2020 - 00:00,14.6,18.32,32.93,2.01,7.89,80.12,6.12,3.67,122.03,69.85,740.2,975.38,,07-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
07-Mar-2020 - 00:00,14.6,18.18,32.78,2.07,8.41,47.72,17.38,4.04,147.16,68.78,751.26,977.98,,08-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
08-Mar-2020 - 00:00,14.68,18.24,32.91,2.07,7.96,57.96,24.05,4.04,214.15,64.19,765.55,979.63,,09-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
09-Mar-2020 - 00:00,14.85,18.22,33.07,2.08,8.53,148.75,36.12,4.14,291.37,63.77,769.81,978.47,,10-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
10-Mar-2020 - 00:00,14.64,18.34,32.97,2.07,7.83,131.63,,3.63,197.4,60.96,765.9,977.08,,11-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
11-Mar-2020 - 00:00,14.46,18.23,32.65,2.07,8.74,66.66,24.32,3.97,118.11,68.84,752.35,975.62,0.78,12-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
12-Mar-2020 - 00:00,14.82,18.06,32.86,2.03,8.24,59.83,18.31,3.92,136.11,62.62,755.71,976.81,0.09,13-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
13-Mar-2020 - 00:00,14.59,18.2,32.79,2.02,8.55,63.68,16.93,3.85,177.12,65.68,757.77,978.4,,14-Mar-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
