from date,NO,NO2,NOx,CO,SO2,PM10,PM2.5,WS,WD,RH,SR,BP,RF,to date,station
14-Oct-2020 - 00:00,14.5,18.24,32.74,0.69,7.74,133.03,73.56,1.31,274.61,60.4,796.61,975.11,,15-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
15-Oct-2020 - 00:00,14.63,18.4,33.04,0.46,6.94,112.68,46.82,1.23,176.32,56.11,771.74,975.48,,16-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
16-Oct-2020 - 00:00,14.97,18.2,33.17,0.47,6.74,101.93,40.78,1.23,175.75,56.8,771.18,975.14,,17-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
17-Oct-2020 - 00:00,14.74,18.26,32.99,0.55,6.65,115.25,52.76,1.32,217.72,57.02,779.59,975.56,,18-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
18-Oct-2020 - 00:00,14.71,18.23,32.91,0.51,7.5,98.1,47.71,1.32,304.97,55.72,784.0,975.68,,19-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
19-Oct-2020 - 00:00,14.58,18.35,32.95,0.51,6.86,109.6,52.35,1.17,182.49,55.26,767.12,975.51,,20-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
20-Oct-2020 - 00:00,14.72,18.52,33.17,0.56,7.69,179.41,62.66,1.16,159.19,53.83,770.16,975.11,,21-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
21-Oct-2020 - 00:00,14.62,18.44,33.06,0.51,7.12,160.51,61.23,1.29,143.62,52.18,767.05,975.67,,22-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
22-Oct-2020 - 00:00,15.0,18.33,33.33,0.65,7.36,160.43,77.41,1.32,235.98,54.25,777.5,975.21,,23-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
23-Oct-2020 - 00:00,15.45,18.44,33.85,0.83,6.98,277.54,121.03,1.28,141.8,59.54,761.02,975.1,,24-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
24-Oct-2020 - 00:00,14.78,17.87,32.59,0.87,7.08,284.8,151.06,1.26,124.32,59.86,759.06,975.53,,25-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
25-Oct-2020 - 00:00,14.59,18.48,33.06,0.87,7.0,199.59,108.0,1.34,142.27,57.02,762.87,976.59,,26-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
26-Oct-2020 - 00:00,14.74,18.17,32.9,0.76,7.1,111.2,67.48,1.37,272.49,58.7,772.78,977.83,,27-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
27-Oct-2020 - 00:00,14.78,18.16,32.94,0.64,7.03,185.18,70.18,1.28,266.64,56.4,762.65,977.51,,28-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
28-Oct-2020 - 00:00,14.75,18.1,32.85,0.65,8.23,118.12,62.82,1.25,160.28,56.46,760.56,977.64,,29-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
29-Oct-2020 - 00:00,14.79,18.21,32.99,0.98,8.24,147.96,92.12,1.35,109.23,57.74,749.31,978.15,,30-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
30-Oct-2020 - 00:00,14.87,18.18,33.05,1.15,8.52,152.09,102.96,1.32,239.82,60.64,760.69,978.28,,31-Oct-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
31-Oct-2020 - 00:00,14.84,18.23,33.07,0.94,7.22,125.67,82.48,1.3,308.64,57.86,767.91,978.22,,01-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
01-Nov-2020 - 00:00,14.45,18.14,32.59,0.87,7.41,135.74,78.22,1.3,267.52,56.71,762.66,978.22,,02-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
02-Nov-2020 - 00:00,14.85,18.16,33.01,0.93,7.21,190.0,103.15,1.33,234.81,57.13,756.78,978.38,,03-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
03-Nov-2020 - 00:00,14.65,18.33,32.98,1.09,7.9,207.03,132.74,1.4,191.3,56.75,755.92,978.19,,04-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
04-Nov-2020 - 00:00,14.89,18.16,33.04,1.22,8.04,120.53,89.71,1.38,219.04,57.29,760.09,977.6,,05-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
05-Nov-2020 - 00:00,14.49,18.12,32.55,1.17,9.48,112.54,74.79,1.41,182.46,56.42,753.78,978.18,,06-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
06-Nov-2020 - 00:00,14.51,18.22,32.71,1.17,7.92,128.59,77.14,1.34,211.81,54.64,755.52,979.78,,07-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
07-Nov-2020 - 00:00,14.59,18.23,32.83,1.09,7.97,114.07,52.51,1.24,320.11,58.86,767.8,980.2,,08-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
08-Nov-2020 - 00:00,14.71,18.33,33.04,1.1,8.7,167.41,83.47,1.39,289.09,59.43,765.02,980.35,,09-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
09-Nov-2020 - 00:00,14.7,18.35,33.04,1.31,8.72,258.52,144.28,1.42,313.27,60.14,766.51,979.72,,10-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
10-Nov-2020 - 00:00,14.7,18.15,32.86,1.05,7.11,216.46,120.05,1.34,214.05,58.09,763.49,979.12,,11-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
11-Nov-2020 - 00:00,15.06,18.25,33.31,1.08,9.15,227.87,119.58,1.37,147.64,59.12,757.53,980.11,,12-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
12-Nov-2020 - 00:00,14.86,18.31,33.16,1.11,4.94,227.78,129.29,1.43,123.22,62.31,741.08,980.82,,13-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
13-Nov-2020 - 00:00,14.71,18.26,32.97,1.09,8.16,233.52,135.73,1.41,198.53,63.32,756.41,980.08,,14-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
14-Nov-2020 - 00:00,14.62,18.17,32.79,1.3,10.4,299.24,185.62,1.37,154.56,62.71,756.25,978.6,,15-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
15-Nov-2020 - 00:00,14.93,18.26,33.17,0.91,6.98,250.81,153.67,0.93,147.8,62.0,753.41,977.96,,16-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
16-Nov-2020 - 00:00,14.39,17.96,32.33,0.38,6.9,53.2,20.32,1.01,144.12,68.47,753.47,979.79,,17-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
17-Nov-2020 - 00:00,14.44,18.89,33.32,0.46,7.63,71.72,27.72,1.32,332.67,62.97,759.94,979.12,,18-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
18-Nov-2020 - 00:00,14.6,18.06,32.66,0.68,7.79,116.33,70.22,1.35,335.25,59.31,750.57,978.23,,19-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
19-Nov-2020 - 00:00,14.68,18.15,32.83,0.66,7.3,137.17,73.83,1.23,224.42,60.77,743.18,978.58,,20-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
20-Nov-2020 - 00:00,14.66,18.23,32.89,0.57,7.67,153.83,59.89,1.13,226.93,60.18,743.35,979.65,,21-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
21-Nov-2020 - 00:00,14.66,18.24,32.91,0.61,7.41,153.7,63.65,1.05,293.42,56.22,749.69,979.7,,22-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
22-Nov-2020 - 00:00,14.48,18.38,32.86,0.57,6.38,249.01,61.7,1.09,266.28,56.99,752.38,979.71,,23-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
23-Nov-2020 - 00:00,14.73,18.2,32.95,0.57,8.15,330.22,92.27,1.34,139.98,56.09,743.63,979.86,,24-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
24-Nov-2020 - 00:00,14.62,18.29,32.91,0.68,8.14,95.68,61.9,1.36,275.52,62.93,761.98,979.57,,25-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
25-Nov-2020 - 00:00,14.71,18.38,33.09,0.62,7.69,80.13,50.02,1.34,115.6,68.1,745.7,979.78,,26-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
26-Nov-2020 - 00:00,16.34,23.43,39.82,0.28,12.06,79.09,26.1,1.21,235.67,63.01,765.66,981.97,0.06,27-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
27-Nov-2020 - 00:00,17.93,24.52,42.65,0.56,7.17,69.26,33.35,1.28,312.92,63.64,758.7,982.32,,28-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
28-Nov-2020 - 00:00,17.73,24.13,42.06,0.54,7.04,88.13,38.51,1.29,317.6,59.73,753.49,981.25,,29-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
29-Nov-2020 - 00:00,17.49,24.09,41.78,0.6,7.01,91.94,46.53,1.29,308.57,61.43,754.43,980.31,,30-Nov-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
30-Nov-2020 - 00:00,17.47,23.99,41.66,0.6,7.12,150.35,59.05,1.28,324.79,61.77,759.09,979.98,,01-Dec-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
01-Dec-2020 - 00:00,17.67,24.38,42.25,0.68,6.66,132.97,71.54,,,69.91,748.15,980.0,,02-Dec-2020 - 00:00,"Hardev Nagar, Bathinda - PPCB"
