from date,AT,BP,RH,SR,WD,WS,PM10,PM2.5,VWS,Benzene,Toluene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
29-Apr-2020 - 00:00,31.03,984.74,48.49,160.18,160.39,1.41,135.85,65.55,,1.51,3.45,46.91,8.62,0.81,9.42,0.47,26.94,11.73,30-Apr-2020 - 00:00,"Rohini, Delhi - DPCC"
30-Apr-2020 - 00:00,31.86,984.14,47.19,166.6,125.92,1.37,134.05,60.96,,1.28,3.02,50.15,8.47,1.02,9.49,0.51,25.94,,01-May-2020 - 00:00,"Rohini, Delhi - DPCC"
01-May-2020 - 00:00,31.85,982.33,51.21,166.59,114.48,1.91,179.03,77.73,,1.67,3.85,60.99,8.38,1.16,9.54,0.6,16.6,,02-May-2020 - 00:00,"Rohini, Delhi - DPCC"
02-May-2020 - 00:00,30.49,982.22,51.37,174.4,114.67,3.33,125.28,41.79,,1.18,2.26,54.21,5.74,0.75,6.48,0.22,21.63,,03-May-2020 - 00:00,"Rohini, Delhi - DPCC"
03-May-2020 - 00:00,28.07,983.25,58.29,126.57,131.4,2.67,92.78,26.3,0.11,1.31,2.55,49.09,6.81,0.85,7.52,0.38,14.46,11.28,04-May-2020 - 00:00,"Rohini, Delhi - DPCC"
04-May-2020 - 00:00,28.07,984.83,55.88,162.04,105.6,1.7,70.56,19.33,0.03,1.24,3.41,45.92,6.82,0.91,7.7,0.4,19.73,13.41,05-May-2020 - 00:00,"Rohini, Delhi - DPCC"
05-May-2020 - 00:00,30.84,983.31,47.94,181.26,224.67,1.62,131.62,,,1.48,4.82,44.1,10.79,1.35,12.12,0.55,17.61,,06-May-2020 - 00:00,"Rohini, Delhi - DPCC"
06-May-2020 - 00:00,30.03,982.86,45.19,118.6,111.3,1.69,222.05,76.77,,1.63,4.16,44.82,12.87,1.36,14.23,0.66,21.75,12.19,07-May-2020 - 00:00,"Rohini, Delhi - DPCC"
07-May-2020 - 00:00,29.94,983.5,42.93,195.12,118.51,1.94,96.14,37.21,,1.42,3.45,35.83,8.14,0.73,8.83,0.4,41.22,9.31,08-May-2020 - 00:00,"Rohini, Delhi - DPCC"
08-May-2020 - 00:00,32.52,981.81,43.08,180.48,133.16,1.49,131.67,55.38,,1.51,4.4,40.94,10.34,0.76,11.1,0.52,46.99,9.53,09-May-2020 - 00:00,"Rohini, Delhi - DPCC"
09-May-2020 - 00:00,33.7,982.39,44.23,175.61,129.22,2.1,142.33,58.67,,1.29,3.47,49.72,8.45,0.65,9.06,0.49,47.43,8.0,10-May-2020 - 00:00,"Rohini, Delhi - DPCC"
10-May-2020 - 00:00,28.16,983.74,52.03,69.74,111.93,3.04,119.0,57.21,,1.23,3.21,44.75,9.3,1.01,10.22,0.49,32.09,7.72,11-May-2020 - 00:00,"Rohini, Delhi - DPCC"
11-May-2020 - 00:00,28.73,984.61,53.38,142.47,116.33,2.13,107.67,47.79,,1.3,3.54,48.6,10.97,0.93,11.82,0.47,39.46,8.4,12-May-2020 - 00:00,"Rohini, Delhi - DPCC"
12-May-2020 - 00:00,30.81,984.22,49.13,174.3,79.06,1.95,114.75,49.17,,1.29,4.25,51.73,8.23,0.69,8.88,0.42,42.54,9.57,13-May-2020 - 00:00,"Rohini, Delhi - DPCC"
13-May-2020 - 00:00,30.23,983.06,51.87,106.31,197.16,1.11,189.59,93.17,,1.44,4.74,53.62,14.12,1.88,15.99,0.77,19.52,12.27,14-May-2020 - 00:00,"Rohini, Delhi - DPCC"
14-May-2020 - 00:00,30.34,982.36,53.48,165.08,183.42,1.28,130.82,65.96,,1.53,5.3,59.69,14.06,2.16,16.19,0.66,18.47,8.39,15-May-2020 - 00:00,"Rohini, Delhi - DPCC"
15-May-2020 - 00:00,30.44,981.77,46.99,192.93,324.16,2.46,133.96,61.75,,1.24,4.92,47.3,14.74,1.51,16.23,0.81,29.32,9.65,16-May-2020 - 00:00,"Rohini, Delhi - DPCC"
16-May-2020 - 00:00,31.74,980.65,41.33,204.05,322.83,2.16,192.45,103.55,,1.26,4.31,51.28,16.93,1.65,18.54,1.04,35.99,10.31,17-May-2020 - 00:00,"Rohini, Delhi - DPCC"
17-May-2020 - 00:00,31.87,979.32,40.84,146.74,269.06,1.15,238.42,122.19,,1.44,5.4,51.8,25.18,4.72,29.89,1.05,34.53,11.34,18-May-2020 - 00:00,"Rohini, Delhi - DPCC"
18-May-2020 - 00:00,31.18,978.86,40.77,192.79,281.58,1.23,258.5,139.62,,1.77,6.47,50.52,24.49,3.61,28.06,1.02,37.84,15.94,19-May-2020 - 00:00,"Rohini, Delhi - DPCC"
19-May-2020 - 00:00,31.38,978.22,38.79,195.81,267.87,1.29,258.24,133.08,,1.79,9.62,56.2,32.6,8.48,40.9,1.2,40.77,11.3,20-May-2020 - 00:00,"Rohini, Delhi - DPCC"
20-May-2020 - 00:00,31.01,977.77,35.28,236.78,319.63,2.32,203.33,91.49,,1.76,7.88,53.97,19.88,1.37,21.24,0.86,46.66,13.9,21-May-2020 - 00:00,"Rohini, Delhi - DPCC"
21-May-2020 - 00:00,31.66,977.3,34.14,218.64,315.88,2.55,211.67,69.49,,1.56,5.83,49.49,24.98,9.33,33.53,0.91,44.57,11.49,22-May-2020 - 00:00,"Rohini, Delhi - DPCC"
22-May-2020 - 00:00,31.97,976.71,35.93,174.82,240.64,0.77,291.29,131.47,,2.77,9.85,54.17,40.01,9.45,49.47,1.33,41.74,21.31,23-May-2020 - 00:00,"Rohini, Delhi - DPCC"
23-May-2020 - 00:00,33.45,978.53,37.76,154.36,237.29,0.85,231.68,83.93,,2.95,14.75,60.57,37.35,11.92,49.2,1.04,34.63,11.75,24-May-2020 - 00:00,"Rohini, Delhi - DPCC"
24-May-2020 - 00:00,35.7,977.61,31.39,2.97,326.87,2.05,177.88,51.15,,1.18,6.14,75.72,12.56,0.77,12.7,0.86,24.92,14.43,25-May-2020 - 00:00,"Rohini, Delhi - DPCC"
25-May-2020 - 00:00,36.11,977.83,33.59,188.63,290.54,1.69,212.19,93.28,,1.42,5.69,76.07,10.63,1.45,12.07,0.99,10.99,13.49,26-May-2020 - 00:00,"Rohini, Delhi - DPCC"
26-May-2020 - 00:00,37.24,976.55,31.71,193.67,249.03,1.72,235.77,68.77,,2.06,8.76,55.16,10.52,1.9,12.35,1.02,15.69,10.64,27-May-2020 - 00:00,"Rohini, Delhi - DPCC"
27-May-2020 - 00:00,37.25,975.06,32.07,169.67,146.16,2.01,194.59,48.29,,1.59,4.91,54.73,14.15,1.22,15.34,0.71,35.19,8.01,28-May-2020 - 00:00,"Rohini, Delhi - DPCC"
28-May-2020 - 00:00,32.75,976.86,46.56,173.18,115.12,4.13,258.89,35.77,,1.05,3.38,56.94,8.97,0.81,9.77,0.75,26.27,6.34,29-May-2020 - 00:00,"Rohini, Delhi - DPCC"
29-May-2020 - 00:00,29.0,979.83,55.77,142.72,119.15,3.39,81.5,27.54,,1.12,3.66,116.71,11.87,1.43,13.3,0.52,23.4,4.49,30-May-2020 - 00:00,"Rohini, Delhi - DPCC"
30-May-2020 - 00:00,29.24,981.69,55.8,169.83,153.17,2.4,66.58,27.21,,1.12,3.42,105.59,11.77,1.73,13.5,0.56,26.27,4.03,31-May-2020 - 00:00,"Rohini, Delhi - DPCC"
31-May-2020 - 00:00,25.68,983.6,68.4,111.6,136.17,2.21,52.25,25.96,,1.0,3.1,105.23,11.33,1.93,13.26,0.61,22.16,4.53,01-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
01-Jun-2020 - 00:00,28.28,983.95,61.52,181.77,88.53,1.22,101.1,51.47,,1.4,4.02,100.97,12.81,1.83,14.64,0.82,25.96,9.34,02-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
02-Jun-2020 - 00:00,29.79,982.08,58.19,185.28,199.82,1.88,120.93,57.17,,1.89,5.53,119.92,12.76,1.74,14.49,0.66,19.2,7.22,03-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
03-Jun-2020 - 00:00,31.02,980.15,52.18,175.21,179.12,1.56,134.17,54.79,,1.37,5.74,113.94,19.6,6.46,26.05,0.79,24.66,8.45,04-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
04-Jun-2020 - 00:00,28.87,979.27,59.07,85.43,163.53,1.57,188.7,86.44,,1.93,9.47,130.99,30.55,4.98,35.55,0.86,20.81,13.89,05-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
05-Jun-2020 - 00:00,28.87,979.46,57.82,146.23,150.7,1.38,109.19,46.56,,1.6,6.36,110.97,26.41,3.1,29.5,0.8,23.97,5.96,06-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
06-Jun-2020 - 00:00,30.76,978.9,55.1,162.79,116.69,1.78,103.29,43.96,,1.49,5.38,106.08,20.29,2.5,22.77,0.77,29.82,7.09,07-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
07-Jun-2020 - 00:00,29.99,978.66,56.5,147.69,144.26,1.97,95.58,40.88,,1.47,5.05,95.05,19.95,2.27,22.23,0.69,23.67,6.9,08-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
08-Jun-2020 - 00:00,31.76,978.14,53.5,180.38,172.67,1.66,125.42,56.6,,1.35,4.67,100.99,21.04,2.35,23.4,0.8,23.91,11.09,09-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
09-Jun-2020 - 00:00,34.25,977.96,49.67,171.92,178.03,1.34,161.53,64.45,,1.9,6.18,114.18,30.91,7.97,38.82,0.99,14.36,10.64,10-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
10-Jun-2020 - 00:00,34.69,977.36,48.93,155.64,200.46,1.3,174.26,56.11,,1.81,7.48,121.77,30.86,9.9,40.76,0.92,9.4,8.82,11-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
11-Jun-2020 - 00:00,34.7,976.3,49.48,168.98,139.28,1.21,153.9,57.08,,1.61,7.27,123.56,24.11,4.06,28.21,0.89,13.8,8.67,12-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
12-Jun-2020 - 00:00,35.18,975.18,49.56,138.16,142.82,1.72,171.86,70.69,,1.65,6.18,134.64,28.19,5.5,33.67,1.11,14.29,5.59,13-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
13-Jun-2020 - 00:00,31.88,975.92,57.96,86.31,144.11,2.07,139.49,54.41,,1.34,5.11,123.03,25.38,4.44,29.84,0.83,11.81,6.52,14-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
14-Jun-2020 - 00:00,33.63,977.3,55.49,151.52,109.1,1.27,174.46,81.64,,1.92,6.34,148.19,26.52,6.41,32.96,0.67,9.31,13.87,15-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
15-Jun-2020 - 00:00,35.71,975.33,47.04,169.99,216.94,1.62,147.66,51.77,,1.63,4.97,118.97,21.76,4.14,25.46,0.98,17.69,8.38,16-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
16-Jun-2020 - 00:00,35.84,973.1,46.3,166.48,116.84,1.93,127.59,43.55,,1.65,6.23,102.61,28.73,4.56,33.26,0.97,22.18,7.27,17-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
17-Jun-2020 - 00:00,35.05,972.84,51.1,172.08,105.92,2.76,107.24,36.0,,1.34,8.92,106.92,16.65,2.09,18.72,0.69,19.01,5.73,18-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
18-Jun-2020 - 00:00,35.62,973.5,49.66,176.35,136.88,2.09,113.36,39.56,,1.37,5.25,102.78,20.45,3.02,23.46,0.84,26.74,5.63,19-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
19-Jun-2020 - 00:00,35.59,975.16,52.28,133.06,105.03,2.29,222.83,54.1,,1.3,5.33,105.86,18.79,2.68,21.47,0.93,14.72,6.39,20-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
20-Jun-2020 - 00:00,31.08,976.96,58.72,112.52,150.81,1.84,114.96,34.77,,1.25,5.1,98.84,24.89,4.29,29.15,0.74,12.82,6.43,21-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
21-Jun-2020 - 00:00,31.05,976.82,61.4,111.12,126.86,1.39,113.19,47.77,,1.35,6.1,105.45,27.55,4.06,31.61,1.0,11.91,6.93,22-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
22-Jun-2020 - 00:00,31.36,976.65,61.19,174.99,183.54,1.64,95.23,46.92,0.02,1.5,5.88,121.24,22.64,3.36,25.93,0.81,13.99,6.32,23-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
23-Jun-2020 - 00:00,31.86,978.65,61.62,130.03,94.65,2.45,75.49,34.96,0.23,1.57,5.8,118.78,17.11,2.65,19.72,0.65,7.05,6.62,24-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
24-Jun-2020 - 00:00,31.34,979.63,64.13,143.62,110.82,2.32,78.14,40.54,,1.13,4.44,116.54,20.1,3.63,23.74,0.7,8.02,6.52,25-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
25-Jun-2020 - 00:00,31.48,977.28,62.93,126.57,191.04,1.45,89.71,42.04,,1.24,6.97,110.63,20.86,3.49,24.35,0.71,8.75,5.03,26-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
26-Jun-2020 - 00:00,30.82,976.97,67.25,61.03,137.49,1.04,134.82,63.61,,1.76,6.54,142.44,24.02,5.73,29.79,0.76,4.45,8.33,27-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
27-Jun-2020 - 00:00,,,,,,,293.24,,,1.61,5.82,171.48,0.96,1.85,2.34,0.75,3.54,10.35,28-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
28-Jun-2020 - 00:00,,,,,,,364.66,,,1.9,5.8,116.97,0.64,1.13,1.32,1.76,5.55,5.81,29-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
29-Jun-2020 - 00:00,29.76,978.04,60.18,3.45,148.85,1.88,196.1,,,1.9,8.15,114.97,1.35,1.5,0.84,0.08,12.41,5.22,30-Jun-2020 - 00:00,"Rohini, Delhi - DPCC"
30-Jun-2020 - 00:00,32.55,978.19,61.66,177.94,109.8,2.43,111.73,,,1.25,4.86,114.16,0.3,1.18,0.67,,17.0,8.04,01-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
01-Jul-2020 - 00:00,33.62,977.02,58.51,162.96,114.77,1.98,135.42,,,1.8,5.24,108.78,0.36,1.31,0.78,,20.53,7.2,02-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
02-Jul-2020 - 00:00,33.39,975.08,58.68,87.26,130.22,1.36,160.68,,,1.49,5.9,122.61,1.3,1.95,2.29,,28.04,6.7,03-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
03-Jul-2020 - 00:00,,,,,,,175.45,51.11,,1.82,7.0,136.74,1.29,2.34,3.6,2.47,32.09,6.43,04-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
04-Jul-2020 - 00:00,32.47,973.13,60.94,5.43,115.2,2.94,110.6,48.2,,1.43,5.56,105.51,1.35,2.02,3.27,,16.54,6.29,05-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
05-Jul-2020 - 00:00,29.11,975.04,67.67,163.47,91.68,2.6,58.4,27.91,,1.03,4.27,99.4,1.34,2.43,3.69,,5.0,5.08,06-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
06-Jul-2020 - 00:00,31.04,974.41,66.2,136.19,84.82,1.91,98.29,55.17,,1.21,4.83,97.93,2.36,2.03,4.13,1.76,4.35,5.38,07-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
07-Jul-2020 - 00:00,29.38,977.26,70.14,105.75,95.88,2.82,57.47,28.08,,1.28,4.5,33.27,9.33,2.04,11.14,0.86,5.98,5.75,08-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
08-Jul-2020 - 00:00,29.97,978.36,69.94,111.23,158.23,2.35,64.25,29.88,,1.2,6.16,44.15,17.24,4.28,21.52,0.82,5.49,2.87,09-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
09-Jul-2020 - 00:00,32.66,974.99,62.14,165.23,210.0,1.28,96.02,48.0,,1.49,8.33,56.39,18.71,3.81,22.52,0.43,6.48,2.44,10-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
10-Jul-2020 - 00:00,33.77,972.68,58.05,143.5,258.38,1.78,80.49,28.08,,1.19,5.92,46.81,17.63,2.76,20.39,0.77,6.74,2.15,11-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
11-Jul-2020 - 00:00,30.91,974.06,65.28,144.42,131.6,2.1,68.79,23.83,,1.75,6.42,44.52,18.44,2.78,21.34,1.22,10.46,2.19,12-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
12-Jul-2020 - 00:00,29.32,975.48,66.74,121.01,218.36,2.43,60.46,23.88,,1.24,6.41,26.62,,,,3.35,11.25,1.87,13-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
13-Jul-2020 - 00:00,31.49,975.15,61.14,160.6,283.1,1.57,135.59,30.35,,1.05,5.8,28.59,,,,0.76,10.41,1.96,14-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
14-Jul-2020 - 00:00,33.59,976.02,57.94,149.39,180.52,1.64,163.1,36.09,,1.23,6.73,32.04,14.58,1.45,16.02,0.6,8.61,1.93,15-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
15-Jul-2020 - 00:00,32.79,976.81,60.24,150.5,70.72,2.56,126.33,42.12,,1.3,4.19,33.75,12.95,2.59,15.53,1.31,10.17,2.05,16-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
16-Jul-2020 - 00:00,30.71,976.07,67.58,15.96,84.12,2.13,81.69,33.24,,1.41,4.57,48.55,14.36,3.64,18.01,1.27,4.78,2.18,17-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
17-Jul-2020 - 00:00,31.82,976.44,66.82,114.64,113.15,2.09,96.39,48.53,,1.52,8.74,47.24,13.82,3.63,17.45,0.0,2.75,2.13,18-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
18-Jul-2020 - 00:00,31.62,977.69,67.66,117.72,79.95,2.08,102.09,43.36,,1.3,4.86,40.21,16.35,6.31,22.65,0.0,4.63,1.73,19-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
19-Jul-2020 - 00:00,29.1,976.26,72.81,122.56,212.52,1.47,61.7,24.9,,1.57,5.75,32.93,14.56,6.56,21.13,0.48,5.37,1.87,20-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
20-Jul-2020 - 00:00,28.61,974.61,69.43,101.79,229.61,1.58,62.86,23.9,,1.7,7.6,28.34,16.81,2.92,19.72,2.32,10.64,1.88,21-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
21-Jul-2020 - 00:00,26.47,977.48,77.19,89.95,159.65,2.15,50.64,23.12,,1.25,6.77,36.99,16.74,5.08,21.85,1.03,8.29,2.13,22-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
22-Jul-2020 - 00:00,26.65,978.57,79.3,55.61,229.62,1.45,60.04,31.12,,1.23,6.7,45.22,16.41,5.65,22.05,0.68,5.05,1.97,23-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
23-Jul-2020 - 00:00,29.7,977.74,67.94,175.86,221.96,0.99,85.88,39.67,,1.63,7.09,41.41,19.15,10.12,29.3,,10.68,2.07,24-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
24-Jul-2020 - 00:00,30.41,980.57,67.57,133.11,87.78,1.77,121.25,60.21,,1.86,6.87,42.73,21.15,6.25,27.39,0.97,12.54,2.51,25-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
25-Jul-2020 - 00:00,30.26,982.21,70.1,125.69,73.59,1.96,78.5,36.46,,1.15,4.86,40.0,15.57,6.15,21.73,0.73,5.96,2.1,26-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
26-Jul-2020 - 00:00,31.54,981.8,66.39,140.77,106.6,1.12,107.0,50.75,,1.35,5.93,34.28,21.9,11.11,32.99,1.06,7.4,2.59,27-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
27-Jul-2020 - 00:00,33.08,978.94,61.98,187.87,247.04,1.71,115.12,46.21,,1.87,7.6,26.95,19.76,7.55,27.08,0.95,3.82,2.35,28-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
28-Jul-2020 - 00:00,33.29,976.76,60.86,169.45,238.68,1.74,90.96,26.04,,1.38,6.83,20.41,15.36,8.71,24.08,,4.54,2.28,29-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
29-Jul-2020 - 00:00,30.85,977.3,63.68,110.83,163.13,2.07,90.75,24.54,,1.31,5.99,24.12,19.59,6.38,25.98,0.77,4.9,2.35,30-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
30-Jul-2020 - 00:00,28.61,979.29,71.38,104.57,176.68,1.97,57.88,22.17,,1.31,7.81,30.6,17.0,4.66,21.6,0.71,10.31,1.99,31-Jul-2020 - 00:00,"Rohini, Delhi - DPCC"
31-Jul-2020 - 00:00,31.16,978.5,67.68,145.68,139.13,1.45,109.46,50.38,,1.43,6.83,37.42,21.29,8.05,29.33,0.77,7.27,2.54,01-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
01-Aug-2020 - 00:00,30.29,978.02,69.36,130.47,170.83,1.5,86.47,38.83,,1.24,5.86,38.63,19.45,4.57,24.02,0.71,8.28,2.08,02-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
02-Aug-2020 - 00:00,31.94,976.0,64.34,187.09,250.9,1.78,72.8,26.22,,1.33,5.18,30.09,14.98,3.81,18.8,0.56,5.13,2.02,03-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
03-Aug-2020 - 00:00,32.92,971.98,61.84,160.16,233.51,1.72,82.43,27.46,,1.22,5.6,28.6,14.08,3.81,17.88,0.53,3.83,2.84,04-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
04-Aug-2020 - 00:00,32.75,970.55,60.32,167.81,242.38,1.72,72.82,24.96,,,,58.83,12.94,3.19,16.14,0.49,8.53,2.87,05-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
05-Aug-2020 - 00:00,31.21,972.01,67.78,77.54,101.85,1.54,104.15,44.79,,1.29,6.58,53.76,18.53,4.09,22.62,0.8,5.47,1.43,06-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
06-Aug-2020 - 00:00,32.89,974.64,60.57,227.82,68.51,3.69,71.26,21.38,,1.16,4.33,64.34,13.81,4.99,18.8,0.53,3.83,1.72,07-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
07-Aug-2020 - 00:00,33.01,976.73,60.11,146.61,88.47,2.14,91.44,32.59,,1.31,5.12,50.12,18.11,5.37,23.47,0.55,4.74,3.22,08-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
08-Aug-2020 - 00:00,33.03,975.38,62.98,113.43,207.15,0.96,122.03,56.79,,1.45,5.44,71.33,18.72,8.99,27.7,0.83,12.46,2.67,09-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
09-Aug-2020 - 00:00,29.9,974.96,74.61,84.25,195.99,1.5,63.26,32.29,,1.19,5.58,60.52,14.35,4.65,19.0,0.69,6.59,1.8,10-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
10-Aug-2020 - 00:00,30.67,976.14,73.06,115.97,126.08,1.66,80.19,43.38,,1.31,5.24,55.23,18.33,8.16,26.51,0.78,6.25,2.45,11-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
11-Aug-2020 - 00:00,31.16,975.67,71.1,115.62,213.72,1.16,97.47,49.5,,1.36,6.84,47.28,22.27,8.09,30.34,0.88,3.02,2.12,12-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
12-Aug-2020 - 00:00,31.41,974.62,68.43,131.29,220.52,1.85,69.42,21.17,,1.17,5.24,43.31,14.34,3.76,18.09,0.7,3.14,1.78,13-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
13-Aug-2020 - 00:00,26.95,974.47,82.79,25.96,139.47,1.58,39.92,20.96,,1.18,6.63,39.34,16.9,5.81,22.66,0.71,4.14,2.02,14-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
14-Aug-2020 - 00:00,28.57,973.82,77.38,70.68,64.97,2.03,60.58,29.83,,1.21,5.42,37.45,16.09,5.12,21.21,0.88,4.87,2.64,15-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
15-Aug-2020 - 00:00,30.64,973.71,71.15,131.52,100.39,1.9,77.79,40.5,,1.52,5.02,41.19,17.29,7.04,24.34,0.85,3.31,2.21,16-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
16-Aug-2020 - 00:00,31.29,974.67,68.9,153.44,106.97,1.94,53.73,26.17,,1.09,4.46,35.15,18.88,8.99,27.86,1.11,4.83,1.9,17-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
17-Aug-2020 - 00:00,30.27,975.01,74.04,67.01,134.07,1.84,68.18,34.69,,1.45,5.77,36.98,20.57,12.36,32.91,0.72,4.25,2.06,18-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
18-Aug-2020 - 00:00,30.55,975.51,72.32,80.42,154.03,1.43,82.34,34.27,,1.53,7.73,44.42,23.39,12.23,35.61,0.79,2.12,2.38,19-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
19-Aug-2020 - 00:00,26.89,975.48,82.32,14.53,133.32,1.66,59.5,27.56,,1.39,7.42,44.7,24.8,16.23,41.02,1.06,5.97,1.92,20-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
20-Aug-2020 - 00:00,26.84,978.13,79.73,65.09,79.92,1.96,47.96,25.62,,1.42,7.01,38.41,19.7,7.98,27.65,0.78,8.89,1.89,21-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
21-Aug-2020 - 00:00,29.46,979.66,68.8,156.76,66.86,2.0,60.27,24.23,,1.21,4.96,33.14,17.52,8.15,25.68,0.69,6.68,2.07,22-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
22-Aug-2020 - 00:00,30.31,978.88,65.79,175.81,64.96,2.91,59.9,19.9,,1.17,4.92,32.88,13.5,5.71,19.21,0.62,4.36,1.58,23-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
23-Aug-2020 - 00:00,29.5,977.49,69.72,121.41,67.49,3.0,52.38,20.65,,1.3,3.38,33.59,12.27,4.79,17.05,0.73,5.83,1.38,24-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
24-Aug-2020 - 00:00,29.12,977.78,71.14,86.93,101.35,2.67,52.7,20.88,,1.1,4.76,32.87,18.31,8.39,26.69,0.67,6.07,1.8,25-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
25-Aug-2020 - 00:00,29.72,979.69,69.46,90.74,130.05,2.14,55.41,20.69,,1.14,4.83,33.43,20.15,10.84,30.98,0.94,4.11,1.82,26-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
26-Aug-2020 - 00:00,30.31,980.91,66.35,128.1,230.13,1.22,62.14,17.79,,1.07,4.96,28.67,16.03,7.13,23.16,0.75,5.12,2.15,27-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
27-Aug-2020 - 00:00,30.93,980.21,64.98,137.23,293.59,1.32,70.95,24.29,,1.14,6.53,29.24,13.5,6.86,20.35,0.71,4.25,2.89,28-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
28-Aug-2020 - 00:00,28.88,978.38,73.98,92.18,189.71,1.37,86.66,37.79,,1.29,7.31,40.26,19.02,11.55,30.55,0.94,3.63,2.65,29-Aug-2020 - 00:00,"Rohini, Delhi - DPCC"
