from date,PM10,CO,NO,NO2,NOx,Ozone,SO2,to date,station
08-Sep-2020 - 00:00,,,,,,,,09-Sep-2020 - 00:00,"Haldia, Haldia - WBPCB"
09-Sep-2020 - 00:00,,,,,,,,10-Sep-2020 - 00:00,"Haldia, Haldia - WBPCB"
10-Sep-2020 - 00:00,,,,,,,,11-Sep-2020 - 00:00,"Haldia, Haldia - WBPCB"
11-Sep-2020 - 00:00,,,,,,,,12-Sep-2020 - 00:00,"Haldia, Haldia - WBPCB"
12-Sep-2020 - 00:00,,,,,,,,13-Sep-2020 - 00:00,"Haldia, Haldia - WBPCB"
13-Sep-2020 - 00:00,,,,,,,,14-Sep-2020 - 00:00,"Haldia, Haldia - WBPCB"
14-Sep-2020 - 00:00,,,,,,,,15-Sep-2020 - 00:00,"Haldia, Haldia - WBPCB"
15-Sep-2020 - 00:00,,,,,,,,16-Sep-2020 - 00:00,"Haldia, Haldia - WBPCB"
16-Sep-2020 - 00:00,,,,,,,,17-Sep-2020 - 00:00,"Haldia, Haldia - WBPCB"
17-Sep-2020 - 00:00,,,,,,,,18-Sep-2020 - 00:00,"Haldia, Haldia - WBPCB"
18-Sep-2020 - 00:00,,,,,,,,19-Sep-2020 - 00:00,"Haldia, Haldia - WBPCB"
19-Sep-2020 - 00:00,,,,,,,,20-Sep-2020 - 00:00,"Haldia, Haldia - WBPCB"
20-Sep-2020 - 00:00,,,,,,,,21-Sep-2020 - 00:00,"Haldia, Haldia - WBPCB"
21-Sep-2020 - 00:00,,,,,,,,22-Sep-2020 - 00:00,"Haldia, Haldia - WBPCB"
22-Sep-2020 - 00:00,,,,,,,,23-Sep-2020 - 00:00,"Haldia, Haldia - WBPCB"
23-Sep-2020 - 00:00,,,,,,,,24-Sep-2020 - 00:00,"Haldia, Haldia - WBPCB"
24-Sep-2020 - 00:00,,,,,,,,25-Sep-2020 - 00:00,"Haldia, Haldia - WBPCB"
25-Sep-2020 - 00:00,,,,,,,,26-Sep-2020 - 00:00,"Haldia, Haldia - WBPCB"
26-Sep-2020 - 00:00,,,,,,,,27-Sep-2020 - 00:00,"Haldia, Haldia - WBPCB"
27-Sep-2020 - 00:00,,,,,,,,28-Sep-2020 - 00:00,"Haldia, Haldia - WBPCB"
28-Sep-2020 - 00:00,,,,,,,,29-Sep-2020 - 00:00,"Haldia, Haldia - WBPCB"
29-Sep-2020 - 00:00,,,,,,,,30-Sep-2020 - 00:00,"Haldia, Haldia - WBPCB"
30-Sep-2020 - 00:00,,,,,,,,01-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
01-Oct-2020 - 00:00,,,,,,,,02-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
02-Oct-2020 - 00:00,,,,,,,,03-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
03-Oct-2020 - 00:00,,,,,,,,04-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
04-Oct-2020 - 00:00,,,,,,,,05-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
05-Oct-2020 - 00:00,,,,,,,,06-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
06-Oct-2020 - 00:00,,,,,,,,07-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
07-Oct-2020 - 00:00,,,,,,,,08-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
08-Oct-2020 - 00:00,,,,,,,,09-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
09-Oct-2020 - 00:00,,,,,,,,10-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
10-Oct-2020 - 00:00,,,,,,,,11-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
11-Oct-2020 - 00:00,,,,,,,,12-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
12-Oct-2020 - 00:00,,,,,,,,13-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
13-Oct-2020 - 00:00,,,,,,,,14-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
14-Oct-2020 - 00:00,,,,,,,,15-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
15-Oct-2020 - 00:00,,,,,,,,16-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
16-Oct-2020 - 00:00,,,,,,,,17-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
17-Oct-2020 - 00:00,,,,,,,,18-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
18-Oct-2020 - 00:00,,,,,,,,19-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
19-Oct-2020 - 00:00,,,,,,4.57,24.08,20-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
20-Oct-2020 - 00:00,,,,,,,,21-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
21-Oct-2020 - 00:00,,,,,,,,22-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
22-Oct-2020 - 00:00,,,,,,,,23-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
23-Oct-2020 - 00:00,,,,,,,,24-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
24-Oct-2020 - 00:00,,,,,,,,25-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
25-Oct-2020 - 00:00,,,,,,,,26-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
26-Oct-2020 - 00:00,,,,,,,,27-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
27-Oct-2020 - 00:00,,,,,,,,28-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
28-Oct-2020 - 00:00,,,,,,,,29-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
29-Oct-2020 - 00:00,,,,,,,,30-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
30-Oct-2020 - 00:00,,,,,,,,31-Oct-2020 - 00:00,"Haldia, Haldia - WBPCB"
31-Oct-2020 - 00:00,,,,,,,,01-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
01-Nov-2020 - 00:00,,,,,,,,02-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
02-Nov-2020 - 00:00,,,,,,,,03-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
03-Nov-2020 - 00:00,,,,,,,,04-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
04-Nov-2020 - 00:00,,,,,,,,05-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
05-Nov-2020 - 00:00,,,,,,,,06-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
06-Nov-2020 - 00:00,,,,,,,,07-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
07-Nov-2020 - 00:00,,,,,,,,08-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
08-Nov-2020 - 00:00,,,,,,,,09-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
09-Nov-2020 - 00:00,,,,,,,,10-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
10-Nov-2020 - 00:00,,,,,,,,11-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
11-Nov-2020 - 00:00,,,,,,,,12-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
12-Nov-2020 - 00:00,,,,,,,,13-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
13-Nov-2020 - 00:00,,,,,,,,14-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
14-Nov-2020 - 00:00,,,,,,,,15-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
15-Nov-2020 - 00:00,,,,,,,,16-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
16-Nov-2020 - 00:00,,,,,,14.47,13.0,17-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
17-Nov-2020 - 00:00,10.68,,,,,19.24,10.98,18-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
18-Nov-2020 - 00:00,61.1,0.17,,1.03,,16.72,10.65,19-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
19-Nov-2020 - 00:00,105.64,,6.64,7.19,12.08,16.71,5.49,20-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
20-Nov-2020 - 00:00,27.66,,3.07,8.05,11.13,14.63,11.24,21-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
21-Nov-2020 - 00:00,57.44,,2.52,8.13,10.65,15.29,15.19,22-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
22-Nov-2020 - 00:00,22.69,,3.4,8.4,11.8,14.78,15.29,23-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
23-Nov-2020 - 00:00,61.4,1.85,3.26,8.61,11.87,20.96,19.25,24-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
24-Nov-2020 - 00:00,51.64,,3.15,8.71,11.86,22.36,15.74,25-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
25-Nov-2020 - 00:00,152.66,,3.47,8.65,12.12,17.46,15.76,26-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
26-Nov-2020 - 00:00,148.22,,3.55,8.65,12.2,17.0,15.15,27-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
27-Nov-2020 - 00:00,95.8,,3.08,8.32,11.4,19.9,17.41,28-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
28-Nov-2020 - 00:00,117.3,,3.07,8.18,11.26,16.45,15.28,29-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
29-Nov-2020 - 00:00,152.36,,3.13,8.42,11.55,16.88,14.98,30-Nov-2020 - 00:00,"Haldia, Haldia - WBPCB"
30-Nov-2020 - 00:00,137.29,,3.2,8.51,11.71,16.54,15.81,01-Dec-2020 - 00:00,"Haldia, Haldia - WBPCB"
01-Dec-2020 - 00:00,192.61,,3.21,8.8,12.02,14.49,16.17,02-Dec-2020 - 00:00,"Haldia, Haldia - WBPCB"
