from date,SR,BP,PM10,Temp,VWS,RH,PM2.5,CO,Ozone,NO2,NO,NH3,SO2,to date,station
15-May-2020 - 00:00,215.14,,87.16,31.19,-3.29,67.01,64.24,1.07,36.1,10.42,24.09,9.28,29.97,16-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
16-May-2020 - 00:00,223.27,,130.27,31.22,-3.31,56.72,70.14,0.99,39.25,10.25,23.13,9.06,23.39,17-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
17-May-2020 - 00:00,228.4,,160.11,32.49,-3.36,48.65,78.11,0.82,40.77,10.18,23.35,8.87,22.74,18-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
18-May-2020 - 00:00,235.23,,169.08,32.19,-3.47,51.22,83.88,1.03,34.83,10.16,24.67,8.63,27.37,19-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
19-May-2020 - 00:00,168.55,,160.26,29.76,-2.83,64.43,44.85,0.7,17.98,10.85,24.36,9.03,26.05,20-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
20-May-2020 - 00:00,56.8,,149.47,23.87,-2.24,90.82,44.0,0.83,26.74,10.8,23.53,8.66,23.68,21-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
21-May-2020 - 00:00,176.23,,138.52,24.75,-2.21,92.93,17.69,0.77,26.6,10.38,24.06,9.58,17.62,22-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
22-May-2020 - 00:00,228.35,,151.32,29.55,-2.92,76.61,38.77,0.79,27.18,10.09,24.22,9.21,21.48,23-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
23-May-2020 - 00:00,239.39,,161.32,31.53,-3.21,81.24,67.29,0.77,28.16,10.61,25.21,9.17,20.96,24-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
24-May-2020 - 00:00,230.77,,161.89,33.13,-3.56,74.99,67.57,0.76,29.09,10.44,21.98,9.08,21.42,25-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
25-May-2020 - 00:00,285.74,999.05,164.19,32.77,-3.71,78.91,52.94,0.58,25.96,11.12,24.12,9.19,22.41,26-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
26-May-2020 - 00:00,252.69,,162.59,33.4,-3.67,72.27,56.85,0.73,34.98,10.88,23.39,8.76,24.61,27-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
27-May-2020 - 00:00,148.9,1000.0,167.05,28.42,-2.96,90.76,54.64,0.74,61.8,10.11,23.65,9.43,22.1,28-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
28-May-2020 - 00:00,82.21,999.72,155.76,23.87,-2.03,99.4,48.23,0.96,24.67,10.06,24.43,9.22,22.36,29-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
29-May-2020 - 00:00,257.69,999.69,154.1,27.67,-2.59,81.18,44.61,0.71,59.99,9.97,24.93,9.41,23.99,30-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
30-May-2020 - 00:00,220.86,999.95,161.92,28.09,-2.6,85.37,46.64,0.72,24.82,10.18,24.51,9.23,23.37,31-May-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
31-May-2020 - 00:00,216.54,999.11,151.98,27.4,-2.12,84.93,32.06,0.65,34.6,10.39,24.14,8.86,23.85,01-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
01-Jun-2020 - 00:00,229.28,998.83,152.34,27.47,-2.33,82.62,30.26,0.43,47.61,11.33,25.15,9.0,21.39,02-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
02-Jun-2020 - 00:00,272.17,998.79,156.44,29.02,-2.3,72.87,,0.57,135.58,11.07,25.46,9.09,24.62,03-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
03-Jun-2020 - 00:00,241.94,,155.02,28.6,-2.25,77.34,,0.48,67.23,12.25,23.37,8.79,24.0,04-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
04-Jun-2020 - 00:00,233.37,998.58,164.34,29.0,-2.46,75.48,,0.42,29.38,11.34,24.38,9.28,30.69,05-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
05-Jun-2020 - 00:00,228.01,998.91,149.55,29.03,-2.34,72.06,,0.38,28.77,10.58,25.2,8.91,18.99,06-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
06-Jun-2020 - 00:00,288.28,999.92,153.31,29.68,-2.49,66.3,,0.43,34.29,11.14,25.13,8.99,25.24,07-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
07-Jun-2020 - 00:00,256.73,999.65,171.8,29.69,-2.36,69.8,,0.44,32.11,10.95,24.69,8.69,34.96,08-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
08-Jun-2020 - 00:00,271.71,,167.45,30.41,-2.71,69.65,,0.47,33.0,10.04,25.31,9.27,28.34,09-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
09-Jun-2020 - 00:00,250.91,,169.64,30.94,-3.02,67.86,,0.43,32.1,10.82,23.47,8.75,29.91,10-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
10-Jun-2020 - 00:00,255.14,,159.33,30.74,-2.74,72.3,,0.34,26.81,10.87,24.84,9.12,21.08,11-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
11-Jun-2020 - 00:00,210.88,,161.17,29.4,-2.64,82.1,,1.62,18.92,10.38,26.48,9.24,24.26,12-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
12-Jun-2020 - 00:00,190.57,,106.73,27.54,-2.32,92.35,,1.83,17.54,9.34,23.37,9.17,21.59,13-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
13-Jun-2020 - 00:00,124.76,,72.25,27.19,-2.02,99.28,,1.88,15.41,10.4,25.1,8.67,14.92,14-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
14-Jun-2020 - 00:00,163.06,,74.78,27.75,-2.07,98.07,,1.79,15.43,10.53,23.99,9.54,14.39,15-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
15-Jun-2020 - 00:00,131.18,,69.95,27.49,-2.1,96.87,,1.57,15.97,10.05,24.33,9.35,14.88,16-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
16-Jun-2020 - 00:00,210.53,,72.52,28.47,-2.43,92.28,,1.46,16.97,11.9,24.47,8.51,16.85,17-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
17-Jun-2020 - 00:00,161.81,,68.05,27.74,-2.11,91.83,,1.5,20.34,10.26,25.09,9.31,16.15,18-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
18-Jun-2020 - 00:00,120.16,,67.77,26.62,-1.89,95.41,,1.38,24.42,10.6,23.43,8.96,18.15,19-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
19-Jun-2020 - 00:00,243.06,,73.67,28.61,-2.39,88.85,,1.49,29.96,10.45,23.53,9.69,18.08,20-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
20-Jun-2020 - 00:00,220.48,,85.31,27.88,-2.3,94.36,,2.07,20.74,11.26,24.56,9.27,21.12,21-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
21-Jun-2020 - 00:00,130.68,,75.82,27.08,-2.06,97.57,,2.26,17.51,10.1,25.5,9.26,20.37,22-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
22-Jun-2020 - 00:00,231.67,,75.88,27.59,-2.17,94.6,,2.13,66.27,11.36,25.92,9.31,19.71,23-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
23-Jun-2020 - 00:00,150.61,,74.77,28.62,-2.08,93.18,,1.9,78.72,11.32,26.17,8.98,15.58,24-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
24-Jun-2020 - 00:00,255.74,,70.15,29.85,-2.19,82.59,,1.69,24.48,12.5,23.6,8.85,15.78,25-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
25-Jun-2020 - 00:00,201.23,,74.36,29.28,-2.42,87.64,,1.98,32.82,9.42,23.73,9.28,19.39,26-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
26-Jun-2020 - 00:00,154.11,,70.39,26.5,-2.27,97.98,,2.17,99.31,10.17,23.95,9.28,19.87,27-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
27-Jun-2020 - 00:00,213.93,,73.26,28.33,-2.73,88.27,,1.71,84.56,11.32,24.03,8.73,25.61,28-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
28-Jun-2020 - 00:00,217.81,,74.13,27.81,-2.45,91.28,,1.88,72.0,10.61,25.16,8.74,23.44,29-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
29-Jun-2020 - 00:00,221.88,,75.82,27.57,-2.55,90.47,,1.65,54.55,12.12,24.91,8.68,24.14,30-Jun-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
30-Jun-2020 - 00:00,243.65,,80.91,29.1,-3.01,86.4,,1.68,29.93,10.8,24.84,9.09,28.24,01-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
01-Jul-2020 - 00:00,245.68,,82.04,30.85,-2.95,75.91,,1.19,26.61,9.53,23.33,9.44,21.29,02-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
02-Jul-2020 - 00:00,189.49,,90.7,29.36,-2.28,91.22,,1.02,67.57,10.2,22.64,9.27,17.68,03-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
03-Jul-2020 - 00:00,167.7,,83.0,28.43,-1.57,94.61,,1.6,27.59,10.38,24.07,9.17,13.87,04-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
04-Jul-2020 - 00:00,256.0,,68.14,29.45,-1.08,86.08,,1.07,72.69,12.0,27.27,9.32,13.18,05-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
05-Jul-2020 - 00:00,159.8,,71.99,27.98,-1.0,95.5,,0.92,21.0,10.84,23.58,9.4,14.62,06-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
06-Jul-2020 - 00:00,152.4,,80.12,27.14,-1.11,97.32,,0.75,19.15,9.93,25.95,9.54,13.32,07-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
07-Jul-2020 - 00:00,147.51,,73.72,27.82,-1.29,97.37,,0.79,15.61,11.88,25.76,9.14,13.28,08-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
08-Jul-2020 - 00:00,220.8,,73.23,28.46,-1.74,92.94,,0.6,25.59,11.08,24.73,9.07,13.96,09-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
09-Jul-2020 - 00:00,104.24,998.94,70.15,26.27,-1.94,99.19,,0.73,16.89,10.73,24.19,9.03,14.5,10-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
10-Jul-2020 - 00:00,198.26,999.63,74.55,27.39,-1.98,94.48,,0.49,23.89,10.79,25.32,9.24,14.32,11-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
11-Jul-2020 - 00:00,126.31,999.68,69.9,26.25,-2.0,98.54,,1.3,29.06,10.87,25.46,9.34,13.27,12-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
12-Jul-2020 - 00:00,153.67,999.91,73.64,27.38,-1.31,97.77,,1.9,14.22,10.85,25.65,9.0,13.89,13-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
13-Jul-2020 - 00:00,125.46,999.79,80.33,26.58,-1.37,96.43,,1.91,25.75,17.22,28.0,8.35,13.35,14-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
14-Jul-2020 - 00:00,229.85,,83.04,28.15,-1.48,89.47,,2.32,17.8,23.37,33.55,7.12,13.99,15-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
15-Jul-2020 - 00:00,223.04,999.99,73.56,28.24,-1.16,91.6,,1.95,14.54,23.69,33.91,6.82,13.56,16-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
16-Jul-2020 - 00:00,262.93,,64.28,29.65,-1.05,82.44,,1.53,14.22,23.79,31.67,7.09,13.5,17-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
17-Jul-2020 - 00:00,248.46,,67.28,29.52,-1.23,83.62,,1.69,14.26,24.35,32.36,6.88,14.56,18-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
18-Jul-2020 - 00:00,194.0,,75.13,29.26,-1.1,87.12,,1.75,16.43,24.1,33.82,6.99,14.51,19-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
19-Jul-2020 - 00:00,169.82,,73.65,28.08,-0.99,92.29,,1.71,19.71,24.3,33.38,6.39,14.02,20-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
20-Jul-2020 - 00:00,153.89,,72.64,27.73,-1.0,92.56,,1.59,17.55,23.04,34.69,7.03,13.88,21-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
21-Jul-2020 - 00:00,111.84,,48.79,26.11,-1.34,97.5,,1.79,18.06,12.37,15.69,6.68,13.78,22-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
22-Jul-2020 - 00:00,187.99,,21.21,27.6,-1.9,94.09,,1.93,15.12,6.61,6.86,6.44,14.32,23-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
23-Jul-2020 - 00:00,95.12,,30.17,26.43,-1.64,97.33,,1.61,16.64,6.6,6.96,6.48,14.5,24-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
24-Jul-2020 - 00:00,154.91,,24.16,26.63,-1.63,95.79,,1.69,15.94,6.63,6.82,6.46,14.07,25-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
25-Jul-2020 - 00:00,248.51,,33.5,29.17,-1.73,84.23,,1.4,15.41,6.64,7.0,6.44,13.98,26-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
26-Jul-2020 - 00:00,234.07,,29.0,29.73,-1.94,85.3,,1.47,21.45,6.6,6.91,6.48,14.8,27-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
27-Jul-2020 - 00:00,178.45,,32.33,28.09,-1.83,91.18,,1.4,18.84,6.73,6.85,6.44,14.15,28-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
28-Jul-2020 - 00:00,279.85,,37.61,27.91,-1.65,91.83,,1.87,18.27,6.68,6.92,6.45,18.31,29-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
29-Jul-2020 - 00:00,,,,,,,,,,,,,,30-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
30-Jul-2020 - 00:00,,,,,,,,,,,,,,31-Jul-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
31-Jul-2020 - 00:00,173.91,,33.21,29.47,-1.83,86.09,,1.98,56.3,6.69,6.97,6.48,15.6,01-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
01-Aug-2020 - 00:00,201.43,,38.8,29.6,-1.45,87.2,,1.83,62.62,6.63,6.97,6.47,14.98,02-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
02-Aug-2020 - 00:00,197.78,,50.47,29.79,-1.71,86.14,,1.37,21.49,6.59,6.89,6.46,15.78,03-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
03-Aug-2020 - 00:00,201.6,,36.22,29.12,-1.57,91.05,,1.66,20.94,6.54,6.98,6.5,14.88,04-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
04-Aug-2020 - 00:00,125.59,,19.95,27.19,-1.45,94.16,,1.14,16.91,6.59,6.81,6.48,14.39,05-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
05-Aug-2020 - 00:00,167.39,,18.47,26.87,-1.51,97.12,,1.28,21.7,6.55,6.98,6.48,14.37,06-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
06-Aug-2020 - 00:00,214.1,,15.98,27.21,-1.59,93.75,,1.17,17.57,6.61,6.94,6.45,14.52,07-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
07-Aug-2020 - 00:00,218.16,,22.37,28.32,-1.7,93.89,,1.63,19.36,6.62,6.88,6.48,14.08,08-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
08-Aug-2020 - 00:00,263.74,,30.7,29.75,-1.44,84.95,,1.44,21.44,6.63,6.91,6.46,14.04,09-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
09-Aug-2020 - 00:00,199.77,,27.62,29.16,-1.43,88.9,,1.4,18.02,6.6,6.9,6.48,14.57,10-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
10-Aug-2020 - 00:00,196.61,,18.4,28.63,-1.56,90.71,,1.13,18.24,6.63,6.82,6.47,14.4,11-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
11-Aug-2020 - 00:00,175.95,,,29.08,-1.55,87.99,,,,,,,,12-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
12-Aug-2020 - 00:00,109.51,,,28.0,-1.54,97.31,,,106.6,,,,,13-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
13-Aug-2020 - 00:00,349.81,998.9,38.38,29.27,-1.42,88.69,,0.84,86.67,6.62,6.85,6.38,19.44,14-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
14-Aug-2020 - 00:00,264.39,999.87,20.11,30.05,-2.33,84.3,,1.31,51.82,6.62,6.88,6.5,16.47,15-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
15-Aug-2020 - 00:00,193.25,1000.0,17.74,28.02,-2.13,94.09,,1.27,83.74,6.56,6.85,6.5,14.77,16-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
16-Aug-2020 - 00:00,117.57,999.99,23.22,26.94,-2.07,99.36,,1.66,38.54,6.58,6.88,6.45,14.46,17-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
17-Aug-2020 - 00:00,215.86,,17.49,28.39,-2.17,94.44,,1.28,67.32,6.61,6.98,6.47,13.53,18-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
18-Aug-2020 - 00:00,180.44,,24.7,29.08,-2.12,91.44,,1.25,41.32,6.67,6.91,6.45,12.9,19-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
19-Aug-2020 - 00:00,214.35,999.7,24.37,28.33,-2.11,90.87,,1.22,33.12,6.62,6.95,6.45,14.07,20-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
20-Aug-2020 - 00:00,102.47,999.73,13.59,25.63,-1.99,99.49,,0.96,59.41,6.68,6.89,6.47,14.1,21-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
21-Aug-2020 - 00:00,73.36,999.91,14.25,25.29,-2.02,99.52,,1.01,103.56,6.59,6.95,6.47,12.77,22-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
22-Aug-2020 - 00:00,175.78,999.54,15.79,26.55,-1.19,95.66,,1.05,80.04,6.62,6.87,6.44,12.96,23-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
23-Aug-2020 - 00:00,135.2,999.97,21.03,26.9,-1.09,98.24,,1.4,78.04,6.65,6.9,6.47,14.0,24-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
24-Aug-2020 - 00:00,191.02,999.91,16.17,27.46,-1.19,92.46,,0.9,44.71,6.66,6.97,6.47,12.9,25-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
25-Aug-2020 - 00:00,200.42,999.83,11.79,26.4,-1.06,96.42,,0.72,15.48,6.66,7.08,6.44,14.53,26-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
26-Aug-2020 - 00:00,,,,,,,,,,,,,,27-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
27-Aug-2020 - 00:00,209.14,,16.53,26.68,-1.71,97.07,,0.79,56.23,6.7,6.81,6.46,13.35,28-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
28-Aug-2020 - 00:00,276.39,,14.98,28.23,-1.84,85.34,,0.93,27.04,6.63,7.04,6.48,14.27,29-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
29-Aug-2020 - 00:00,261.24,999.95,24.24,29.03,-1.9,80.3,,1.03,87.74,6.66,6.84,6.45,15.08,30-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
30-Aug-2020 - 00:00,133.55,999.67,27.99,28.98,-1.91,82.77,,1.13,49.69,6.7,6.9,6.44,14.29,31-Aug-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
31-Aug-2020 - 00:00,227.53,999.96,26.53,29.9,-2.13,77.67,,0.97,62.74,6.68,6.8,6.48,14.47,01-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
01-Sep-2020 - 00:00,108.01,,31.41,27.26,-1.5,95.01,,0.85,92.57,6.66,7.01,6.46,14.13,02-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
02-Sep-2020 - 00:00,190.58,,27.0,27.31,-1.67,89.34,,0.83,34.14,6.72,7.05,6.44,14.39,03-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
03-Sep-2020 - 00:00,247.83,,22.44,28.67,-2.01,84.75,,0.63,84.86,6.68,6.95,6.48,14.43,04-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
04-Sep-2020 - 00:00,277.89,,30.28,29.75,-2.1,80.72,,0.63,56.19,6.68,6.95,6.46,14.13,05-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
05-Sep-2020 - 00:00,261.95,,30.38,30.09,-2.15,81.72,,0.89,47.82,6.64,6.9,6.45,14.76,06-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
06-Sep-2020 - 00:00,319.44,,29.36,28.95,-1.91,85.1,,0.73,62.41,6.66,6.81,6.47,15.28,07-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
07-Sep-2020 - 00:00,,,,,,,,,,,,,,08-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
08-Sep-2020 - 00:00,,,,,,,,,,,,,,09-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
09-Sep-2020 - 00:00,,,,,,,,,,,,,,10-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
10-Sep-2020 - 00:00,,,,,,,,,,,,,,11-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
11-Sep-2020 - 00:00,,,,,,,,,,,,,,12-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
12-Sep-2020 - 00:00,,,,,,,,,,,,,,13-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
13-Sep-2020 - 00:00,,,,,,,,,,,,,,14-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
14-Sep-2020 - 00:00,,,,,,,,,,,,,,15-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
15-Sep-2020 - 00:00,,,,,,,,,,,,,,16-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
16-Sep-2020 - 00:00,,,,,,,,,,,,,,17-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
17-Sep-2020 - 00:00,,,,,,,,,,,,,,18-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
18-Sep-2020 - 00:00,,,,,,,,,,,,,,19-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
19-Sep-2020 - 00:00,,,,,,,,,,,,,,20-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
20-Sep-2020 - 00:00,,,,,,,,,,,,,,21-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
21-Sep-2020 - 00:00,,,,,,,,,,,,,,22-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
22-Sep-2020 - 00:00,,,,,,,,,,,,,,23-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
23-Sep-2020 - 00:00,,,,,,,,,,,,,,24-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
24-Sep-2020 - 00:00,,,,,,,,,,,,,,25-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
25-Sep-2020 - 00:00,,,,,,,,,,,,,,26-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
26-Sep-2020 - 00:00,,,,,,,,,,,,,,27-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
27-Sep-2020 - 00:00,,,,,,,,,,,,,,28-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
28-Sep-2020 - 00:00,,,,,,,,,,,,,,29-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
29-Sep-2020 - 00:00,,,,,,,,,,,,,,30-Sep-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
30-Sep-2020 - 00:00,,,,,,,,,,,,,,01-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
01-Oct-2020 - 00:00,,,,,,,,,,,,,,02-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
02-Oct-2020 - 00:00,,,,,,,,,,,,,,03-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
03-Oct-2020 - 00:00,,,,,,,,,,,,,,04-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
04-Oct-2020 - 00:00,,,,,,,,,,,,,,05-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
05-Oct-2020 - 00:00,,,,,,,,,,,,,,06-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
06-Oct-2020 - 00:00,,,,,,,,,,,,,,07-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
07-Oct-2020 - 00:00,,,,,,,,,,,,,,08-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
08-Oct-2020 - 00:00,,,,,,,,,,,,,,09-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
09-Oct-2020 - 00:00,,,,,,,,,,,,,,10-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
10-Oct-2020 - 00:00,,,,,,,,,,,,,,11-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
11-Oct-2020 - 00:00,,,,,,,,,,,,,,12-Oct-2020 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
