from date,PM10,PM2.5,NO2,NO,NOx,CO,to date,station
17-Feb-2020 - 00:00,118.4,36.07,15.07,10.33,25.36,0.3,18-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
18-Feb-2020 - 00:00,121.54,34.66,15.1,10.4,25.48,0.3,19-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
19-Feb-2020 - 00:00,98.67,26.0,15.04,10.4,25.34,0.3,20-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
20-Feb-2020 - 00:00,96.23,30.75,14.89,10.38,25.26,0.31,21-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
21-Feb-2020 - 00:00,103.18,46.57,15.05,10.3,25.38,0.3,22-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
22-Feb-2020 - 00:00,108.87,53.84,15.02,10.37,25.35,0.3,23-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
23-Feb-2020 - 00:00,103.78,69.71,15.02,10.34,25.45,0.31,24-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
24-Feb-2020 - 00:00,102.82,60.21,15.06,10.38,25.42,0.3,25-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
25-Feb-2020 - 00:00,98.01,41.73,14.97,10.35,25.33,0.29,26-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
26-Feb-2020 - 00:00,95.6,43.89,15.01,10.37,25.38,0.3,27-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
27-Feb-2020 - 00:00,123.8,45.18,15.1,10.4,25.5,0.3,28-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
28-Feb-2020 - 00:00,137.68,44.01,15.01,10.37,25.39,0.3,29-Feb-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
29-Feb-2020 - 00:00,125.25,44.23,15.07,10.34,25.41,0.3,01-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
01-Mar-2020 - 00:00,107.72,44.13,15.11,10.34,25.45,0.31,02-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
02-Mar-2020 - 00:00,54.36,29.2,15.12,10.33,25.45,0.31,03-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
03-Mar-2020 - 00:00,81.33,35.88,15.06,10.33,25.39,0.31,04-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
04-Mar-2020 - 00:00,78.86,31.7,15.03,10.33,25.36,0.31,05-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
05-Mar-2020 - 00:00,86.31,31.41,15.0,10.34,25.34,0.31,06-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
06-Mar-2020 - 00:00,138.53,31.06,15.03,10.37,25.41,0.3,07-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
07-Mar-2020 - 00:00,99.32,21.52,15.08,10.35,25.43,0.31,08-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
08-Mar-2020 - 00:00,78.87,23.64,14.99,10.39,25.38,0.31,09-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
09-Mar-2020 - 00:00,73.05,18.73,14.99,10.35,25.33,0.29,10-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
10-Mar-2020 - 00:00,71.89,20.85,15.01,10.35,25.35,0.31,11-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
11-Mar-2020 - 00:00,58.07,18.79,14.98,10.32,25.3,0.3,12-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
12-Mar-2020 - 00:00,92.43,20.0,15.02,10.36,25.38,0.3,13-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
13-Mar-2020 - 00:00,60.52,13.62,15.05,10.36,25.4,0.3,14-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
14-Mar-2020 - 00:00,69.67,24.06,15.09,10.35,25.44,0.29,15-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
15-Mar-2020 - 00:00,92.25,21.04,15.14,10.36,25.5,0.3,16-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
16-Mar-2020 - 00:00,102.55,26.27,15.0,10.38,25.38,0.3,17-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
17-Mar-2020 - 00:00,83.73,23.51,15.13,10.35,25.48,0.3,18-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
18-Mar-2020 - 00:00,93.31,30.38,15.01,10.37,25.38,0.29,19-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
19-Mar-2020 - 00:00,63.33,25.3,15.09,10.3,25.39,0.28,20-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
20-Mar-2020 - 00:00,67.91,28.82,14.63,9.84,24.47,0.2,21-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
21-Mar-2020 - 00:00,97.29,27.2,14.87,10.09,24.95,0.23,22-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
22-Mar-2020 - 00:00,77.57,32.55,15.05,10.36,25.41,0.26,23-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
23-Mar-2020 - 00:00,74.24,28.45,15.03,10.32,25.35,0.27,24-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
24-Mar-2020 - 00:00,69.85,25.68,15.05,10.28,25.33,0.28,25-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
25-Mar-2020 - 00:00,55.59,24.8,15.08,10.35,25.44,0.29,26-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
26-Mar-2020 - 00:00,32.8,,15.16,10.36,25.52,0.29,27-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
27-Mar-2020 - 00:00,55.08,,15.12,10.29,25.4,0.3,28-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
28-Mar-2020 - 00:00,,,,,,,29-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
29-Mar-2020 - 00:00,,,,,,,30-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
30-Mar-2020 - 00:00,,,,,,,31-Mar-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
31-Mar-2020 - 00:00,,,,,,,01-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
01-Apr-2020 - 00:00,77.27,8.77,14.82,10.37,25.19,0.25,02-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
02-Apr-2020 - 00:00,,,,,,,03-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
03-Apr-2020 - 00:00,,,,,,,04-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
04-Apr-2020 - 00:00,72.8,7.38,14.86,10.32,25.17,0.29,05-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
05-Apr-2020 - 00:00,77.86,14.85,14.99,10.34,25.33,0.29,06-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
06-Apr-2020 - 00:00,70.42,19.76,15.08,10.33,25.42,0.3,07-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
07-Apr-2020 - 00:00,122.96,25.35,15.04,10.35,25.39,0.29,08-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
08-Apr-2020 - 00:00,,24.17,15.09,10.42,25.51,0.3,09-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
09-Apr-2020 - 00:00,,22.36,15.17,10.39,25.56,0.28,10-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
10-Apr-2020 - 00:00,,20.88,15.12,10.42,25.54,0.29,11-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
11-Apr-2020 - 00:00,,25.51,15.15,10.45,25.6,0.3,12-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
12-Apr-2020 - 00:00,,28.4,15.11,10.44,25.54,0.29,13-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
13-Apr-2020 - 00:00,,24.01,15.04,10.39,25.42,0.29,14-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
14-Apr-2020 - 00:00,,22.34,15.19,10.41,25.6,0.3,15-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
15-Apr-2020 - 00:00,,23.5,15.19,10.42,25.61,0.3,16-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
16-Apr-2020 - 00:00,,28.87,15.09,10.38,25.47,0.28,17-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
17-Apr-2020 - 00:00,,35.29,15.06,10.39,25.45,0.3,18-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
18-Apr-2020 - 00:00,,26.69,15.08,10.45,25.54,0.31,19-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
19-Apr-2020 - 00:00,,28.68,15.04,10.42,25.46,0.28,20-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
20-Apr-2020 - 00:00,,35.3,15.19,10.41,25.6,0.3,21-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
21-Apr-2020 - 00:00,,22.8,15.06,10.41,25.47,0.3,22-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
22-Apr-2020 - 00:00,,29.63,15.08,10.42,25.5,0.3,23-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
23-Apr-2020 - 00:00,,,15.09,10.39,25.48,0.31,24-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
24-Apr-2020 - 00:00,,,14.99,10.43,25.42,0.31,25-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
25-Apr-2020 - 00:00,80.07,18.34,15.01,10.38,25.39,0.3,26-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
26-Apr-2020 - 00:00,48.85,7.34,15.09,10.31,25.4,0.3,27-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
27-Apr-2020 - 00:00,37.75,10.16,15.07,10.32,25.39,0.3,28-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
28-Apr-2020 - 00:00,46.47,20.45,15.18,10.31,25.49,0.29,29-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
29-Apr-2020 - 00:00,64.36,21.44,15.04,10.3,25.34,0.3,30-Apr-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
30-Apr-2020 - 00:00,53.5,14.56,15.11,10.26,25.37,0.3,01-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
01-May-2020 - 00:00,66.3,13.34,15.05,10.28,25.33,0.29,02-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
02-May-2020 - 00:00,80.65,17.37,15.12,10.34,25.46,0.31,03-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
03-May-2020 - 00:00,86.82,19.97,15.16,10.36,25.52,0.3,04-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
04-May-2020 - 00:00,82.24,11.3,15.09,10.29,25.38,0.3,05-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
05-May-2020 - 00:00,41.42,8.44,15.1,10.25,25.35,0.3,06-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
06-May-2020 - 00:00,72.19,11.52,15.07,10.28,25.35,0.3,07-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
07-May-2020 - 00:00,47.33,11.39,14.95,10.25,25.2,0.3,08-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
08-May-2020 - 00:00,71.34,17.63,14.95,10.28,25.23,0.3,09-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
09-May-2020 - 00:00,58.17,11.59,15.07,10.29,25.36,0.3,10-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
10-May-2020 - 00:00,61.26,15.85,15.09,10.3,25.38,0.29,11-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
11-May-2020 - 00:00,62.73,14.83,14.96,10.31,25.28,0.35,12-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
12-May-2020 - 00:00,54.39,14.52,14.89,10.26,25.16,0.32,13-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
13-May-2020 - 00:00,58.21,18.29,14.96,10.31,25.26,0.31,14-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
14-May-2020 - 00:00,53.62,18.58,15.02,10.32,25.33,0.31,15-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
15-May-2020 - 00:00,42.91,15.22,14.98,10.31,25.29,0.32,16-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
16-May-2020 - 00:00,67.04,18.96,15.0,10.32,25.32,0.32,17-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
17-May-2020 - 00:00,60.04,17.54,15.04,10.3,25.34,0.31,18-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
18-May-2020 - 00:00,42.0,15.08,15.03,10.28,25.32,0.33,19-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
19-May-2020 - 00:00,67.21,20.88,14.98,10.32,25.3,0.29,20-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
20-May-2020 - 00:00,104.46,27.37,14.99,10.32,25.31,0.3,21-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
21-May-2020 - 00:00,83.51,21.62,15.02,10.31,25.34,0.31,22-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
22-May-2020 - 00:00,102.0,19.71,15.0,10.32,25.33,0.3,23-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
23-May-2020 - 00:00,97.06,15.08,15.06,10.31,25.37,0.31,24-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
24-May-2020 - 00:00,85.72,12.34,14.98,10.32,25.3,0.31,25-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
25-May-2020 - 00:00,80.33,11.08,14.95,10.28,25.22,0.31,26-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
26-May-2020 - 00:00,65.71,10.29,14.98,10.3,25.28,0.31,27-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
27-May-2020 - 00:00,80.62,11.79,15.01,10.29,25.3,0.32,28-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
28-May-2020 - 00:00,87.86,12.75,15.04,10.29,25.33,0.32,29-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
29-May-2020 - 00:00,63.16,16.17,14.92,10.33,25.24,0.31,30-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
30-May-2020 - 00:00,87.29,18.79,15.03,10.33,25.36,0.31,31-May-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
31-May-2020 - 00:00,70.58,21.15,15.01,10.33,25.34,0.32,01-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
01-Jun-2020 - 00:00,83.53,20.45,14.97,10.28,25.25,0.31,02-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
02-Jun-2020 - 00:00,71.62,17.83,15.03,10.33,25.36,0.32,03-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
03-Jun-2020 - 00:00,40.26,13.55,15.04,10.29,25.34,0.33,04-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
04-Jun-2020 - 00:00,19.92,7.91,14.82,10.28,25.09,0.32,05-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
05-Jun-2020 - 00:00,31.71,17.84,14.96,10.3,25.27,0.31,06-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
06-Jun-2020 - 00:00,36.84,14.84,14.96,10.32,25.28,0.32,07-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
07-Jun-2020 - 00:00,45.51,18.17,14.96,10.33,25.29,0.32,08-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
08-Jun-2020 - 00:00,55.22,20.58,15.01,10.33,25.34,0.32,09-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
09-Jun-2020 - 00:00,45.01,17.54,14.99,10.33,25.33,0.33,10-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
10-Jun-2020 - 00:00,,20.37,14.96,10.34,25.3,0.33,11-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
11-Jun-2020 - 00:00,86.67,31.52,14.97,10.32,25.29,0.32,12-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
12-Jun-2020 - 00:00,84.39,43.24,14.88,10.3,25.18,0.32,13-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
13-Jun-2020 - 00:00,52.83,28.32,14.87,10.28,25.15,0.33,14-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
14-Jun-2020 - 00:00,30.46,17.5,14.89,10.29,25.17,0.33,15-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
15-Jun-2020 - 00:00,26.39,10.93,14.87,10.28,25.15,0.33,16-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
16-Jun-2020 - 00:00,34.01,14.3,14.82,10.29,25.11,0.32,17-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
17-Jun-2020 - 00:00,43.67,17.54,14.81,10.3,25.11,0.32,18-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
18-Jun-2020 - 00:00,36.41,12.91,14.8,10.34,25.14,0.33,19-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
19-Jun-2020 - 00:00,33.13,12.42,14.86,10.32,25.18,0.33,20-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
20-Jun-2020 - 00:00,40.92,13.17,14.9,10.3,25.2,0.33,21-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
21-Jun-2020 - 00:00,51.01,16.51,14.92,10.33,25.24,0.33,22-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
22-Jun-2020 - 00:00,40.07,18.17,14.95,10.3,25.25,0.33,23-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
23-Jun-2020 - 00:00,27.01,14.71,14.9,10.28,25.18,0.33,24-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
24-Jun-2020 - 00:00,28.5,15.09,14.86,10.33,25.19,0.34,25-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
25-Jun-2020 - 00:00,29.97,17.55,14.65,9.94,24.59,0.24,26-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
26-Jun-2020 - 00:00,27.14,9.68,14.93,10.42,25.35,0.38,27-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
27-Jun-2020 - 00:00,31.0,14.95,14.85,10.37,25.21,0.33,28-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
28-Jun-2020 - 00:00,29.63,11.62,14.89,10.37,25.26,0.33,29-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
29-Jun-2020 - 00:00,22.21,8.96,14.86,10.36,25.22,0.33,30-Jun-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
30-Jun-2020 - 00:00,31.12,11.97,14.91,10.37,25.28,0.33,01-Jul-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
01-Jul-2020 - 00:00,34.73,11.54,14.92,10.34,25.26,0.33,02-Jul-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
02-Jul-2020 - 00:00,33.89,12.39,14.9,10.32,25.22,0.33,03-Jul-2020 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
