from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,MP-Xylene,AT,RH,BP,SR,WS,WD,to date,station
06-Feb-2020 - 00:00,45.6,107.64,38.53,6.06,44.6,15.84,5.7,0.42,30.5,1.29,1.91,3.23,22.01,59.51,,107.38,0.89,155.02,07-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
07-Feb-2020 - 00:00,46.28,120.73,45.38,11.09,56.47,16.24,6.83,0.48,25.36,1.69,2.96,5.86,20.73,57.71,,111.79,0.81,147.08,08-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
08-Feb-2020 - 00:00,72.39,146.37,50.24,19.13,69.37,19.5,5.43,0.68,26.67,2.05,3.65,6.51,21.92,67.41,,124.38,0.83,139.21,09-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
09-Feb-2020 - 00:00,74.35,124.92,37.7,9.51,47.21,16.02,7.03,0.54,29.32,1.53,2.35,4.64,23.59,59.47,,125.67,0.96,132.92,10-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
10-Feb-2020 - 00:00,63.2,143.54,42.56,15.86,58.42,18.15,6.54,0.63,28.82,1.74,3.23,6.15,25.33,58.88,,114.19,1.02,149.88,11-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
11-Feb-2020 - 00:00,71.33,169.85,57.09,26.59,83.69,22.62,7.01,0.91,26.48,2.32,3.79,7.02,25.99,63.13,,143.73,0.76,158.43,12-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
12-Feb-2020 - 00:00,66.31,144.22,56.57,26.8,83.36,23.75,7.45,1.06,33.01,2.48,4.33,8.26,26.71,61.65,,151.23,0.78,161.83,13-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
13-Feb-2020 - 00:00,74.75,135.74,62.18,55.84,115.62,24.07,8.18,1.19,25.07,2.26,4.85,9.3,26.54,60.21,,126.83,0.74,157.34,14-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
14-Feb-2020 - 00:00,57.85,150.98,63.64,33.83,97.46,10.32,7.65,0.86,36.35,1.79,3.14,6.26,26.35,51.7,,128.04,0.82,159.59,15-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
15-Feb-2020 - 00:00,52.13,149.75,52.58,49.08,101.66,3.62,8.73,0.91,36.35,2.03,3.5,7.98,25.18,46.02,,127.45,0.81,163.06,16-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
16-Feb-2020 - 00:00,71.46,138.13,52.41,10.57,62.98,7.55,7.31,0.87,60.68,1.96,2.06,4.86,24.64,61.81,,128.93,0.69,164.97,17-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
17-Feb-2020 - 00:00,108.09,199.51,73.92,46.68,120.59,2.51,8.29,1.46,36.94,2.76,3.71,9.54,26.37,64.27,,135.07,0.69,149.46,18-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
18-Feb-2020 - 00:00,87.51,168.44,76.49,56.76,133.26,1.76,9.37,1.3,44.28,2.46,3.48,8.28,27.19,56.5,,139.69,0.72,165.86,19-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
19-Feb-2020 - 00:00,92.84,183.06,63.54,75.03,138.04,3.2,9.88,1.36,45.35,2.56,4.03,10.32,26.11,63.76,,145.5,0.69,169.98,20-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
20-Feb-2020 - 00:00,54.41,123.05,49.81,30.25,80.06,11.18,7.15,0.85,24.31,1.33,2.22,5.58,25.51,64.7,,140.54,0.76,170.7,21-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
21-Feb-2020 - 00:00,35.49,89.02,37.01,17.29,54.31,16.29,6.23,0.65,21.29,1.1,1.45,3.3,24.65,70.85,,152.86,0.77,163.44,22-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
22-Feb-2020 - 00:00,75.92,138.08,59.7,20.52,80.22,15.26,8.74,0.92,50.36,1.75,2.35,4.96,25.12,61.97,,159.03,0.7,159.98,23-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
23-Feb-2020 - 00:00,81.97,163.02,56.32,34.47,90.79,13.17,9.07,1.08,51.79,2.32,2.74,6.69,25.51,59.09,,164.86,0.73,165.21,24-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
24-Feb-2020 - 00:00,95.66,176.27,60.51,33.71,94.21,12.74,8.62,1.21,51.15,2.3,2.14,5.26,24.64,65.34,,157.9,0.7,156.45,25-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
25-Feb-2020 - 00:00,62.97,192.64,48.42,66.78,113.93,8.24,8.95,1.0,26.18,1.61,1.97,6.11,26.84,42.14,,171.8,0.82,151.72,26-Feb-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
