from date,NO2,NO,NOx,NH3,SO2,CO,Benzene,Eth-Benzene,MP-Xylene,Toluene,RH,WS,WD,SR,RF,PM2.5,PM10,Ozone,to date,station
19-Feb-2020 - 00:00,33.89,7.17,23.45,24.32,14.45,0.65,5.77,1.8,3.19,25.29,67.32,3.73,113.01,298.76,0.0,83.03,177.23,32.77,20-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
20-Feb-2020 - 00:00,18.65,2.47,10.91,21.33,18.22,0.47,2.92,0.55,1.02,15.5,56.09,4.63,119.13,292.64,0.0,56.53,130.8,44.44,21-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
21-Feb-2020 - 00:00,20.22,3.01,12.94,18.13,0.86,0.09,0.91,0.27,0.53,11.08,70.13,3.3,149.71,472.42,0.0,23.44,66.6,30.68,22-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
22-Feb-2020 - 00:00,28.99,8.21,21.09,19.13,8.37,0.49,4.06,2.15,4.33,28.67,70.82,1.9,258.26,397.08,0.0,43.27,94.31,26.22,23-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
23-Feb-2020 - 00:00,32.44,5.93,21.4,21.63,18.14,0.42,3.18,1.29,2.74,28.92,70.91,1.51,201.48,310.99,0.0,48.51,108.39,24.72,24-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
24-Feb-2020 - 00:00,28.85,3.73,17.0,20.76,5.69,0.38,3.08,1.08,2.76,27.78,68.57,2.1,304.48,325.83,0.0,43.11,95.0,25.48,25-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
25-Feb-2020 - 00:00,26.88,4.1,17.33,22.32,10.09,0.51,4.55,1.21,2.93,32.43,73.44,2.42,244.27,401.17,0.0,57.59,127.23,33.57,26-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
26-Feb-2020 - 00:00,33.68,5.32,21.86,21.52,7.47,0.6,4.81,1.36,3.5,30.24,77.34,1.84,153.88,352.15,0.0,60.8,123.15,29.63,27-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
27-Feb-2020 - 00:00,35.98,4.78,22.63,22.33,9.01,0.72,6.37,1.49,3.33,29.89,82.59,1.98,117.8,279.53,0.0,88.64,161.71,28.57,28-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
28-Feb-2020 - 00:00,23.21,2.73,14.32,22.61,13.27,0.56,3.72,0.64,1.25,18.18,79.24,3.69,113.34,280.71,0.0,76.29,141.11,33.95,29-Feb-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
29-Feb-2020 - 00:00,22.42,3.58,14.3,20.49,17.36,0.33,0.69,0.1,0.19,4.1,74.85,3.14,111.45,270.85,0.0,44.15,90.17,28.63,01-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
01-Mar-2020 - 00:00,24.05,4.15,15.9,18.78,3.45,0.34,0.69,0.16,0.43,7.14,66.71,1.73,197.49,430.04,0.0,30.45,69.43,27.74,02-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
02-Mar-2020 - 00:00,32.76,16.2,30.11,17.95,13.87,0.47,1.26,0.39,0.97,8.74,68.14,1.48,212.77,436.31,0.0,47.0,112.61,25.68,03-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
03-Mar-2020 - 00:00,27.31,3.23,16.86,21.13,29.61,0.48,1.23,0.42,0.92,9.34,68.08,2.04,292.47,440.21,0.0,50.62,123.18,31.75,04-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
04-Mar-2020 - 00:00,36.95,11.84,28.8,21.25,23.76,0.55,1.41,0.67,1.16,9.8,63.82,1.79,140.72,454.07,0.0,63.07,145.83,32.7,05-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
05-Mar-2020 - 00:00,12.75,2.49,8.66,20.16,18.56,0.26,0.6,0.13,0.26,6.38,62.28,3.6,119.18,285.97,0.08,32.11,72.12,35.25,06-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
06-Mar-2020 - 00:00,9.19,2.23,6.38,17.93,17.28,0.18,0.33,0.06,0.12,3.8,89.4,4.55,116.53,101.02,0.57,21.79,41.01,28.49,07-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
07-Mar-2020 - 00:00,23.18,7.43,18.07,15.51,4.71,0.33,0.55,0.2,0.42,5.2,89.65,2.23,125.59,76.89,0.02,19.53,33.4,7.48,08-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
08-Mar-2020 - 00:00,23.92,12.91,22.85,16.91,7.55,0.3,1.04,0.4,0.75,8.57,78.5,2.41,237.29,488.92,0.0,41.19,85.34,19.45,09-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
09-Mar-2020 - 00:00,10.95,2.17,7.39,19.04,14.56,0.24,1.12,0.72,1.31,10.56,69.81,4.04,301.41,636.76,0.0,31.49,80.98,15.8,10-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
10-Mar-2020 - 00:00,24.22,3.98,15.78,17.51,3.59,0.47,3.29,1.37,3.2,29.73,65.98,1.64,221.16,521.87,0.0,49.05,108.61,23.63,11-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
11-Mar-2020 - 00:00,22.0,3.79,14.52,19.38,6.75,0.36,2.82,0.93,2.73,25.16,72.29,2.94,135.5,114.72,0.32,44.21,87.13,20.42,12-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
12-Mar-2020 - 00:00,18.62,3.12,12.21,18.34,19.84,0.25,1.41,0.56,1.54,23.63,70.1,4.12,116.2,347.6,0.0,21.61,53.99,27.51,13-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
13-Mar-2020 - 00:00,25.57,4.25,16.75,15.12,24.09,0.24,1.28,0.58,1.41,21.08,69.92,3.79,138.39,295.95,0.09,21.79,49.97,29.05,14-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
14-Mar-2020 - 00:00,21.59,2.37,13.17,13.45,26.5,0.23,1.3,0.63,1.31,24.23,72.94,2.56,133.25,153.23,0.47,18.49,36.49,29.17,15-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
15-Mar-2020 - 00:00,25.7,3.19,15.97,11.78,29.69,0.29,1.89,0.86,1.8,30.01,72.3,2.05,219.72,500.46,0.0,26.55,62.42,31.32,16-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
16-Mar-2020 - 00:00,27.24,2.53,16.27,13.55,35.37,0.36,2.57,0.93,2.36,32.15,72.15,2.71,310.28,496.99,0.0,34.34,87.06,31.78,17-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
17-Mar-2020 - 00:00,21.44,2.07,12.78,18.83,25.05,0.37,3.32,2.11,3.21,34.23,74.15,2.91,295.86,518.18,0.0,46.44,115.78,30.02,18-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
18-Mar-2020 - 00:00,19.19,4.65,14.47,18.85,16.95,0.44,3.39,1.99,3.32,28.05,73.15,3.09,299.33,496.52,0.0,51.83,117.72,30.4,19-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
19-Mar-2020 - 00:00,29.3,10.39,25.19,19.62,20.78,0.52,4.09,1.86,3.81,28.57,65.35,1.89,299.06,484.26,0.0,59.23,133.55,35.04,20-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
20-Mar-2020 - 00:00,37.14,26.41,42.14,28.34,22.71,0.59,5.58,2.89,5.44,32.27,64.6,1.4,162.71,401.51,0.0,63.82,139.9,32.99,21-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
21-Mar-2020 - 00:00,27.21,16.25,27.2,28.52,32.38,0.42,4.15,2.3,4.95,33.83,67.88,1.58,135.1,296.61,0.07,56.63,125.28,28.29,22-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
22-Mar-2020 - 00:00,16.23,10.1,13.57,25.72,36.24,0.3,2.85,2.13,4.23,32.14,67.27,1.95,247.57,521.37,0.0,44.19,83.81,32.17,23-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
23-Mar-2020 - 00:00,6.54,5.52,7.01,24.75,16.66,0.25,1.99,0.65,1.62,28.95,61.61,1.86,258.66,526.8,0.0,33.38,79.09,30.9,24-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
24-Mar-2020 - 00:00,8.52,7.01,7.61,25.34,12.4,0.24,2.79,1.49,2.43,27.51,65.42,1.97,206.99,300.24,0.0,42.49,82.54,33.22,25-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
25-Mar-2020 - 00:00,10.08,6.27,6.06,26.7,18.97,0.14,1.34,0.36,0.77,25.95,67.61,2.44,251.6,472.76,0.0,26.58,53.53,32.95,26-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
26-Mar-2020 - 00:00,11.93,4.71,7.32,28.87,14.24,0.19,1.24,0.3,0.6,25.58,71.61,2.91,283.9,421.51,0.0,23.1,57.39,28.6,27-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
27-Mar-2020 - 00:00,14.89,5.55,9.62,27.49,9.76,0.18,1.36,0.31,0.65,25.57,80.85,3.26,152.36,172.69,0.12,23.33,49.4,26.98,28-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
28-Mar-2020 - 00:00,12.39,4.99,7.86,27.8,11.4,0.1,0.81,0.25,0.52,24.17,71.78,2.93,253.11,501.82,0.01,12.09,30.92,30.93,29-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
29-Mar-2020 - 00:00,11.5,4.31,6.85,26.44,15.74,0.11,0.83,0.22,0.47,23.48,62.24,4.73,309.78,475.68,0.0,16.23,40.01,33.81,30-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
30-Mar-2020 - 00:00,12.97,4.08,7.44,25.74,19.23,0.13,1.14,0.27,0.55,25.04,61.22,3.69,307.13,500.15,0.0,18.01,48.7,26.58,31-Mar-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
31-Mar-2020 - 00:00,12.93,4.21,7.52,25.45,12.93,0.14,1.6,0.3,0.57,24.39,70.85,3.26,287.0,257.13,0.0,26.2,59.65,30.64,01-Apr-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
01-Apr-2020 - 00:00,12.43,4.2,7.25,25.06,10.41,0.13,0.97,0.26,0.57,23.16,56.94,2.65,251.96,492.33,0.0,20.63,48.68,33.19,02-Apr-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
02-Apr-2020 - 00:00,13.02,4.17,7.53,25.36,14.9,0.19,1.06,0.26,0.57,24.81,53.59,4.27,306.63,484.78,0.0,21.32,50.64,31.15,03-Apr-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
03-Apr-2020 - 00:00,13.79,3.97,7.78,23.12,12.93,0.17,1.09,0.27,0.57,24.61,45.57,3.59,308.92,470.74,0.0,17.94,40.89,36.38,04-Apr-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
04-Apr-2020 - 00:00,15.11,4.02,8.51,24.04,9.28,0.21,1.52,0.34,0.74,25.89,48.74,3.32,306.7,484.57,0.0,21.57,54.91,32.38,05-Apr-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
05-Apr-2020 - 00:00,19.27,4.58,11.13,26.24,9.78,0.26,2.16,0.48,1.22,27.97,49.96,1.5,221.93,444.05,0.0,29.67,59.69,34.99,06-Apr-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
06-Apr-2020 - 00:00,15.33,4.74,9.2,28.69,14.66,0.21,2.34,0.56,1.26,29.76,46.75,2.84,256.1,378.74,0.0,28.65,35.36,32.85,07-Apr-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
07-Apr-2020 - 00:00,13.03,4.13,7.42,26.81,10.09,0.1,1.37,0.27,0.6,22.32,53.48,4.29,315.48,164.6,0.0,24.35,35.74,32.11,08-Apr-2020 - 00:00,"Patti Mehar, Ambala - HSPCB"
