from date,CO,PM10,NO,NO2,NOx,SO2,to date,station
27-Jan-2020 - 00:00,2.04,108.35,14.84,70.3,85.14,10.86,28-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
28-Jan-2020 - 00:00,1.83,107.2,7.83,47.4,55.23,9.67,29-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
29-Jan-2020 - 00:00,1.71,115.73,10.08,52.88,62.96,9.59,30-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
30-Jan-2020 - 00:00,1.92,101.48,10.36,55.21,65.56,10.05,31-Jan-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
31-Jan-2020 - 00:00,1.9,105.48,9.15,53.66,62.82,10.21,01-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
01-Feb-2020 - 00:00,1.84,104.1,11.12,54.34,65.46,10.1,02-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
02-Feb-2020 - 00:00,1.46,76.03,7.68,34.93,42.61,8.96,03-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
03-Feb-2020 - 00:00,2.0,100.02,13.95,62.84,76.79,10.03,04-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
04-Feb-2020 - 00:00,1.97,85.68,11.9,51.49,63.39,10.33,05-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
05-Feb-2020 - 00:00,1.88,96.8,11.04,49.64,60.68,9.85,06-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
06-Feb-2020 - 00:00,1.86,103.98,9.88,51.49,61.37,9.84,07-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
07-Feb-2020 - 00:00,1.94,145.68,8.92,46.97,55.88,9.67,08-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
08-Feb-2020 - 00:00,1.86,168.06,9.29,48.87,58.16,9.67,09-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
09-Feb-2020 - 00:00,1.75,137.52,8.9,43.69,52.59,9.46,10-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
10-Feb-2020 - 00:00,1.75,120.67,8.43,41.91,50.35,9.51,11-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
11-Feb-2020 - 00:00,1.89,157.73,8.41,45.3,53.71,9.35,12-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
12-Feb-2020 - 00:00,1.95,87.78,9.95,46.46,56.41,9.77,13-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
13-Feb-2020 - 00:00,2.03,147.89,14.22,63.52,77.75,10.27,14-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
14-Feb-2020 - 00:00,1.76,143.21,6.37,42.64,49.0,9.04,15-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
15-Feb-2020 - 00:00,2.36,205.87,16.24,80.19,95.38,10.45,16-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
16-Feb-2020 - 00:00,1.26,129.16,2.84,26.04,28.88,9.96,17-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
17-Feb-2020 - 00:00,1.44,144.17,7.47,50.43,57.9,9.87,18-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
18-Feb-2020 - 00:00,1.83,289.31,14.45,68.84,83.12,10.29,19-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
19-Feb-2020 - 00:00,1.67,123.95,9.36,53.88,63.24,10.09,20-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
20-Feb-2020 - 00:00,,,,,,,21-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
21-Feb-2020 - 00:00,1.77,120.64,11.71,56.91,68.63,10.16,22-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
22-Feb-2020 - 00:00,1.56,118.27,9.19,44.98,54.17,9.8,23-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
23-Feb-2020 - 00:00,1.63,114.29,10.37,50.69,61.06,9.61,24-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
24-Feb-2020 - 00:00,1.69,123.67,12.36,58.96,71.32,9.83,25-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
25-Feb-2020 - 00:00,1.69,115.52,6.93,46.99,53.92,9.19,26-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
26-Feb-2020 - 00:00,1.72,122.71,12.71,63.23,75.93,10.04,27-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
27-Feb-2020 - 00:00,1.69,122.83,10.97,53.48,64.45,10.05,28-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
28-Feb-2020 - 00:00,1.62,118.66,9.52,48.71,58.23,9.79,29-Feb-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
29-Feb-2020 - 00:00,1.64,121.65,10.65,52.58,63.22,9.34,01-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
01-Mar-2020 - 00:00,1.55,98.81,7.5,34.07,41.58,9.61,02-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
02-Mar-2020 - 00:00,2.17,161.72,13.47,66.75,80.21,10.28,03-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
03-Mar-2020 - 00:00,1.78,147.53,4.87,31.03,35.89,9.9,04-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
04-Mar-2020 - 00:00,1.55,126.62,4.76,35.73,40.47,9.02,05-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
05-Mar-2020 - 00:00,1.68,144.48,5.08,40.43,45.5,9.99,06-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
06-Mar-2020 - 00:00,1.54,123.73,7.31,43.65,50.96,9.86,07-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
07-Mar-2020 - 00:00,1.62,127.87,10.39,51.74,62.13,10.38,08-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
08-Mar-2020 - 00:00,1.49,118.51,8.46,44.39,52.85,9.45,09-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
09-Mar-2020 - 00:00,1.64,122.25,6.68,40.42,47.09,10.05,10-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
10-Mar-2020 - 00:00,1.64,138.89,6.62,41.48,48.1,9.86,11-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
11-Mar-2020 - 00:00,1.61,88.27,6.94,44.63,51.56,9.95,12-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
12-Mar-2020 - 00:00,1.5,80.1,8.06,48.96,57.01,9.75,13-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
13-Mar-2020 - 00:00,1.52,73.64,8.24,46.23,52.52,9.86,14-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
14-Mar-2020 - 00:00,1.84,77.87,15.81,83.2,95.25,9.92,15-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
15-Mar-2020 - 00:00,1.48,59.09,9.07,54.97,64.04,9.74,16-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
16-Mar-2020 - 00:00,1.49,126.63,11.16,54.0,65.15,9.99,17-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
17-Mar-2020 - 00:00,1.55,169.04,8.67,42.85,51.52,9.83,18-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
18-Mar-2020 - 00:00,1.67,124.1,8.13,45.69,53.82,9.75,19-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
19-Mar-2020 - 00:00,1.82,167.46,8.52,65.69,74.21,10.51,20-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
20-Mar-2020 - 00:00,1.56,187.11,5.78,43.12,48.9,10.07,21-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
21-Mar-2020 - 00:00,1.73,167.29,5.69,48.84,54.53,10.04,22-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
22-Mar-2020 - 00:00,1.34,110.83,0.83,14.05,14.87,9.81,23-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
23-Mar-2020 - 00:00,1.53,139.2,1.65,19.75,21.4,9.29,24-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
24-Mar-2020 - 00:00,,,,,,,25-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
25-Mar-2020 - 00:00,,,,,,,26-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
26-Mar-2020 - 00:00,,,,,,,27-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
27-Mar-2020 - 00:00,,,,,,,28-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
28-Mar-2020 - 00:00,,,,,,,29-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
29-Mar-2020 - 00:00,,,,,,,30-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
30-Mar-2020 - 00:00,,,,,,,31-Mar-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
31-Mar-2020 - 00:00,,,,,,,01-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
01-Apr-2020 - 00:00,,,,,,,02-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
02-Apr-2020 - 00:00,,,,,,,03-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
03-Apr-2020 - 00:00,,,,,,,04-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
04-Apr-2020 - 00:00,,,,,,,05-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
05-Apr-2020 - 00:00,,,,,,,06-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
06-Apr-2020 - 00:00,,,,,,,07-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
07-Apr-2020 - 00:00,,,,,,,08-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
08-Apr-2020 - 00:00,,,,,,,09-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
09-Apr-2020 - 00:00,,,,,,,10-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
10-Apr-2020 - 00:00,,,,,,,11-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
11-Apr-2020 - 00:00,,,,,,,12-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
12-Apr-2020 - 00:00,,,,,,,13-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
13-Apr-2020 - 00:00,,,,,,,14-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
14-Apr-2020 - 00:00,,,,,,,15-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
15-Apr-2020 - 00:00,,,,,,,16-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
16-Apr-2020 - 00:00,,,,,,,17-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
17-Apr-2020 - 00:00,,,,,,,18-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
18-Apr-2020 - 00:00,,,,,,,19-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
19-Apr-2020 - 00:00,,,,,,,20-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
20-Apr-2020 - 00:00,,,,,,,21-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
21-Apr-2020 - 00:00,1.87,35.55,9.0,20.15,15.26,10.06,22-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
22-Apr-2020 - 00:00,0.95,86.8,3.0,10.53,13.53,7.59,23-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
23-Apr-2020 - 00:00,0.93,81.75,3.86,12.51,16.38,7.7,24-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
24-Apr-2020 - 00:00,0.97,134.72,4.5,14.14,18.64,8.28,25-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
25-Apr-2020 - 00:00,0.97,88.37,4.53,13.88,18.41,7.78,26-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
26-Apr-2020 - 00:00,0.95,57.55,4.5,13.44,17.94,8.35,27-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
27-Apr-2020 - 00:00,1.0,69.76,4.49,13.41,17.9,8.01,28-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
28-Apr-2020 - 00:00,1.0,78.41,4.48,13.4,17.88,7.8,29-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
29-Apr-2020 - 00:00,1.0,95.59,4.46,13.55,18.02,8.26,30-Apr-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
30-Apr-2020 - 00:00,1.04,81.53,4.41,14.12,18.53,8.21,01-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
01-May-2020 - 00:00,0.98,87.06,4.44,13.83,18.27,7.89,02-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
02-May-2020 - 00:00,0.98,73.68,4.48,13.47,17.95,8.64,03-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
03-May-2020 - 00:00,1.02,87.9,4.48,13.55,18.03,8.16,04-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
04-May-2020 - 00:00,1.03,75.97,4.48,13.61,18.09,8.23,05-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
05-May-2020 - 00:00,1.04,106.23,4.46,13.64,18.1,8.07,06-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
06-May-2020 - 00:00,0.88,100.62,3.87,11.86,15.73,7.39,07-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
07-May-2020 - 00:00,0.66,99.79,2.23,6.9,9.14,4.81,08-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
08-May-2020 - 00:00,0.56,75.06,2.83,9.93,12.76,5.21,09-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
09-May-2020 - 00:00,0.63,85.54,2.25,6.96,9.21,5.47,10-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
10-May-2020 - 00:00,0.58,84.68,2.26,7.03,9.29,4.78,11-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
11-May-2020 - 00:00,0.63,79.73,2.23,6.93,9.16,5.76,12-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
12-May-2020 - 00:00,0.57,81.41,2.67,8.31,10.97,5.0,13-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
13-May-2020 - 00:00,0.67,66.03,3.16,10.12,13.28,5.6,14-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
14-May-2020 - 00:00,0.65,91.27,3.12,10.08,13.21,4.66,15-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
15-May-2020 - 00:00,0.71,66.73,3.12,10.0,13.12,4.99,16-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
16-May-2020 - 00:00,,,,,,,17-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
17-May-2020 - 00:00,0.71,178.95,3.04,11.15,14.19,5.46,18-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
18-May-2020 - 00:00,0.6,109.22,3.16,10.55,13.71,5.16,19-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
19-May-2020 - 00:00,0.69,175.54,10.89,25.11,35.99,4.23,20-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
20-May-2020 - 00:00,0.69,82.65,11.13,25.61,36.74,4.99,21-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
21-May-2020 - 00:00,0.73,74.06,11.02,26.66,37.68,4.67,22-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
22-May-2020 - 00:00,0.64,81.2,11.06,26.73,37.79,5.03,23-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
23-May-2020 - 00:00,0.65,86.06,11.07,26.82,37.89,5.49,24-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
24-May-2020 - 00:00,0.68,144.35,11.07,26.9,37.97,5.35,25-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
25-May-2020 - 00:00,0.7,79.97,11.07,26.76,37.83,5.55,26-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
26-May-2020 - 00:00,0.71,160.17,11.12,26.77,37.89,5.23,27-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
27-May-2020 - 00:00,0.72,101.78,11.13,26.67,37.8,5.37,28-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
28-May-2020 - 00:00,0.67,86.46,11.04,26.56,37.6,5.37,29-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
29-May-2020 - 00:00,0.7,105.07,14.78,26.76,37.9,5.14,30-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
30-May-2020 - 00:00,0.67,39.12,11.07,26.53,37.6,5.28,31-May-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
31-May-2020 - 00:00,,,,,,,01-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
01-Jun-2020 - 00:00,,,,,,,02-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
02-Jun-2020 - 00:00,0.65,15.0,11.22,28.35,39.57,6.64,03-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
03-Jun-2020 - 00:00,,,,,,,04-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
04-Jun-2020 - 00:00,0.81,72.36,48.83,26.19,38.35,7.95,05-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
05-Jun-2020 - 00:00,0.66,61.46,8.46,17.49,25.94,8.35,06-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
06-Jun-2020 - 00:00,0.67,92.9,8.44,17.44,25.88,8.63,07-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
07-Jun-2020 - 00:00,0.51,78.56,8.45,17.46,25.91,7.26,08-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
08-Jun-2020 - 00:00,0.91,32.53,8.37,17.48,25.82,7.92,09-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
09-Jun-2020 - 00:00,0.77,81.3,8.76,17.49,25.9,8.31,10-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
10-Jun-2020 - 00:00,0.63,80.29,8.45,17.42,25.87,7.78,11-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
11-Jun-2020 - 00:00,0.61,66.87,8.44,18.59,26.26,7.95,12-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
12-Jun-2020 - 00:00,0.67,33.4,8.44,17.41,25.85,7.45,13-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
13-Jun-2020 - 00:00,0.76,79.45,8.44,17.39,25.84,8.56,14-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
14-Jun-2020 - 00:00,0.67,47.5,8.45,17.33,25.78,8.14,15-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
15-Jun-2020 - 00:00,0.67,76.5,8.45,17.31,25.76,7.76,16-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
16-Jun-2020 - 00:00,0.76,90.31,8.45,17.31,25.76,8.49,17-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
17-Jun-2020 - 00:00,0.84,88.98,8.45,17.31,25.76,8.93,18-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
18-Jun-2020 - 00:00,0.72,79.02,8.45,17.31,25.76,8.07,19-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
19-Jun-2020 - 00:00,0.7,83.3,8.45,17.31,25.76,7.94,20-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
20-Jun-2020 - 00:00,0.68,66.43,8.45,17.31,25.76,8.17,21-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
21-Jun-2020 - 00:00,0.63,67.93,8.45,17.31,25.76,7.83,22-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
22-Jun-2020 - 00:00,0.67,58.79,8.45,17.31,25.76,8.3,23-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
23-Jun-2020 - 00:00,0.7,70.37,8.45,17.31,25.76,7.79,24-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
24-Jun-2020 - 00:00,0.69,111.53,8.46,17.3,25.76,7.84,25-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
25-Jun-2020 - 00:00,0.71,72.96,8.45,17.3,25.75,8.0,26-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
26-Jun-2020 - 00:00,0.63,34.58,8.45,17.28,25.73,8.3,27-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
27-Jun-2020 - 00:00,,,,,,,28-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
28-Jun-2020 - 00:00,,,,,,,29-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
29-Jun-2020 - 00:00,,,,,,,30-Jun-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
30-Jun-2020 - 00:00,,,,,,,01-Jul-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
01-Jul-2020 - 00:00,,,,,,,02-Jul-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
02-Jul-2020 - 00:00,,,,,,,03-Jul-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
03-Jul-2020 - 00:00,1.27,87.03,8.99,17.86,26.76,7.78,04-Jul-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
04-Jul-2020 - 00:00,0.8,42.11,8.45,17.3,25.74,7.56,05-Jul-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
05-Jul-2020 - 00:00,0.64,60.5,8.45,17.31,25.77,8.01,06-Jul-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
06-Jul-2020 - 00:00,0.87,50.95,8.5,17.43,25.91,8.02,07-Jul-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
07-Jul-2020 - 00:00,0.84,54.07,9.03,17.75,26.76,7.58,08-Jul-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
08-Jul-2020 - 00:00,0.77,44.21,13.08,20.3,33.37,7.3,09-Jul-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
09-Jul-2020 - 00:00,0.73,36.63,14.02,21.72,35.58,7.53,10-Jul-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
10-Jul-2020 - 00:00,0.87,46.81,19.61,24.35,43.96,7.21,11-Jul-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
11-Jul-2020 - 00:00,0.86,43.43,19.69,23.46,43.15,7.29,12-Jul-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
12-Jul-2020 - 00:00,0.72,38.84,22.03,24.75,46.78,7.1,13-Jul-2020 - 00:00,"City Railway Station, Bengaluru - KSPCB"
