from date,BP,PM2.5,RH,SR,Temp,CH4,CO,NH3,NO,NO2,NOx,SO2,Ozone,to date,station
24-Mar-2020 - 00:00,933.06,55.0,45.15,176.65,28.52,825.99,0.94,13.43,2.18,9.5,11.52,2.93,,25-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
25-Mar-2020 - 00:00,938.64,35.19,46.1,161.19,27.95,838.74,0.79,12.0,2.12,6.35,8.34,3.33,,26-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
26-Mar-2020 - 00:00,929.46,35.98,44.1,168.73,28.3,808.16,0.78,11.84,2.19,5.74,7.81,3.27,,27-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
27-Mar-2020 - 00:00,918.35,33.83,42.54,178.65,27.71,814.45,0.77,11.43,2.65,6.78,9.36,3.38,,28-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
28-Mar-2020 - 00:00,912.21,30.53,31.2,186.72,28.27,685.34,0.72,10.02,1.92,6.27,8.11,2.87,,29-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
29-Mar-2020 - 00:00,896.08,32.65,26.47,185.05,28.84,778.56,0.73,9.89,1.92,6.69,8.57,3.82,,30-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
30-Mar-2020 - 00:00,910.01,35.42,33.2,185.73,28.89,761.88,0.79,10.2,1.94,6.04,7.95,3.25,,31-Mar-2020 - 00:00,"Peenya, Bengaluru - CPCB"
31-Mar-2020 - 00:00,914.34,32.32,33.25,182.61,28.6,760.51,0.75,10.07,1.94,5.94,7.82,3.77,,01-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
01-Apr-2020 - 00:00,901.98,32.31,28.62,187.55,29.4,727.0,0.79,9.77,1.91,5.98,7.83,3.2,,02-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
02-Apr-2020 - 00:00,916.9,35.97,34.64,165.16,29.23,806.13,0.82,10.16,1.97,5.99,7.86,3.73,,03-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
03-Apr-2020 - 00:00,925.82,45.38,39.6,159.88,29.12,806.48,0.84,10.14,1.99,5.88,7.81,4.03,,04-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
04-Apr-2020 - 00:00,927.23,44.98,44.26,186.37,28.83,801.71,0.74,10.38,1.99,5.98,7.91,3.09,,05-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
05-Apr-2020 - 00:00,939.86,41.99,50.6,171.61,28.75,857.68,0.8,11.25,2.35,6.46,8.75,3.12,,06-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
06-Apr-2020 - 00:00,959.11,36.19,59.47,150.22,27.74,947.67,0.89,11.29,2.19,5.94,8.04,3.07,,07-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
07-Apr-2020 - 00:00,,22.64,85.68,12.84,24.28,,0.8,15.07,2.46,6.79,9.13,3.31,,08-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
08-Apr-2020 - 00:00,,24.23,,,,,0.84,14.71,2.2,6.86,8.97,3.71,,09-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
09-Apr-2020 - 00:00,,30.1,,,,,0.84,13.78,2.2,6.04,8.12,3.57,,10-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
10-Apr-2020 - 00:00,,44.0,,,,0.0,0.93,12.08,2.46,6.55,8.55,3.79,,11-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
11-Apr-2020 - 00:00,,43.9,,,,,1.01,12.9,2.39,5.69,7.91,3.92,,12-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
12-Apr-2020 - 00:00,,35.14,,,,,0.77,12.01,2.4,6.1,8.38,4.93,,13-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
13-Apr-2020 - 00:00,,35.03,,,,,0.79,11.42,2.06,6.72,8.63,3.44,,14-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
14-Apr-2020 - 00:00,,41.45,,,,,0.8,10.49,2.03,7.48,9.38,3.6,,15-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
15-Apr-2020 - 00:00,,46.62,,,,,0.82,10.78,2.1,6.66,8.55,4.17,,16-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
16-Apr-2020 - 00:00,,34.61,,,,,0.78,11.15,2.03,6.51,8.4,3.54,,17-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
17-Apr-2020 - 00:00,,41.06,,,,,0.93,12.88,2.31,6.69,8.91,3.75,,18-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
18-Apr-2020 - 00:00,,37.38,,,,,0.85,12.52,2.14,6.05,8.14,3.35,,19-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
19-Apr-2020 - 00:00,,35.54,,,,,0.87,12.26,2.14,5.37,7.48,2.67,,20-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
20-Apr-2020 - 00:00,,40.11,,,,,0.99,12.04,2.2,5.85,8.01,4.16,,21-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
21-Apr-2020 - 00:00,933.26,33.0,27.09,1.82,29.92,760.98,0.92,11.48,2.09,7.23,9.26,3.48,,22-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
22-Apr-2020 - 00:00,952.14,35.09,51.15,167.89,29.03,828.57,0.93,12.54,2.19,5.75,7.85,3.07,,23-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
23-Apr-2020 - 00:00,963.16,61.92,55.19,141.93,28.75,747.73,1.19,13.72,2.36,6.77,9.08,4.34,,24-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
24-Apr-2020 - 00:00,987.38,33.15,69.08,124.96,27.07,768.47,0.92,14.92,2.62,7.59,10.14,3.66,,25-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
25-Apr-2020 - 00:00,989.81,34.07,70.97,102.97,26.85,803.03,0.96,15.62,2.4,5.83,8.2,4.0,,26-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
26-Apr-2020 - 00:00,987.92,28.7,64.08,133.22,27.48,745.34,1.04,16.02,2.58,5.36,7.83,3.25,,27-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
27-Apr-2020 - 00:00,989.37,31.31,65.76,103.98,27.58,757.48,1.0,16.66,3.1,5.96,8.92,3.12,,28-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
28-Apr-2020 - 00:00,967.66,34.18,61.82,147.66,28.22,735.54,0.83,14.64,2.48,4.87,7.1,3.55,,29-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
29-Apr-2020 - 00:00,,19.79,79.08,77.28,25.26,834.39,0.82,12.55,2.02,5.37,7.33,2.44,,30-Apr-2020 - 00:00,"Peenya, Bengaluru - CPCB"
30-Apr-2020 - 00:00,962.72,32.71,59.04,172.54,27.9,702.78,0.94,12.51,2.15,7.7,9.76,3.55,,01-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
01-May-2020 - 00:00,966.6,36.6,58.98,154.1,28.48,710.97,0.84,12.12,2.11,5.19,7.25,3.29,,02-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
02-May-2020 - 00:00,982.93,26.87,65.61,55.58,27.05,764.66,1.55,11.93,3.23,5.74,8.7,3.33,,03-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
03-May-2020 - 00:00,,,,,,,,,,,,,,04-May-2020 - 00:00,"Peenya, Bengaluru - CPCB"
