from date,BP,PM2.5,RH,SR,Temp,CH4,CO,NH3,NO,NO2,NOx,SO2,Ozone,to date,station
18-Oct-2020 - 00:00,988.46,29.97,81.94,67.36,25.56,894.51,1.05,9.18,2.67,10.25,12.91,2.26,,19-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
19-Oct-2020 - 00:00,991.04,69.67,88.95,74.8,25.17,906.38,1.0,10.54,2.81,10.31,13.13,2.7,,20-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
20-Oct-2020 - 00:00,988.43,26.29,91.08,47.54,24.97,936.35,0.99,8.35,2.23,9.9,12.12,2.57,,21-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
21-Oct-2020 - 00:00,985.55,118.4,92.51,75.21,24.67,,0.76,8.21,2.38,10.68,13.05,2.66,,22-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
22-Oct-2020 - 00:00,960.04,24.39,91.93,94.91,24.63,872.1,0.92,7.61,2.31,10.7,13.01,3.29,,23-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
23-Oct-2020 - 00:00,933.73,62.91,93.2,82.9,23.88,,0.84,7.05,2.17,9.9,12.06,2.83,,24-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
24-Oct-2020 - 00:00,929.53,23.79,78.76,113.87,24.41,951.21,0.93,6.96,2.26,10.67,12.93,2.95,,25-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
25-Oct-2020 - 00:00,927.79,37.38,75.98,99.15,25.31,936.23,1.02,6.55,2.25,11.19,13.44,2.89,,26-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
26-Oct-2020 - 00:00,926.76,27.31,73.06,196.88,25.86,877.0,1.06,6.83,2.24,11.94,14.18,3.14,,27-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
27-Oct-2020 - 00:00,924.75,38.04,67.6,158.83,26.03,881.69,1.17,6.99,2.2,12.54,14.73,3.06,,28-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
28-Oct-2020 - 00:00,924.26,36.25,66.36,158.05,25.65,868.68,1.17,7.07,2.15,12.83,14.97,2.87,,29-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
29-Oct-2020 - 00:00,924.5,37.91,62.69,91.91,24.94,917.17,1.22,7.11,2.21,12.92,15.13,2.44,,30-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
30-Oct-2020 - 00:00,922.43,37.18,57.31,115.77,25.59,861.24,1.29,7.51,2.29,14.02,16.3,3.1,,31-Oct-2020 - 00:00,"Peenya, Bengaluru - CPCB"
31-Oct-2020 - 00:00,923.15,47.97,60.59,118.21,26.23,928.3,1.5,9.94,2.63,13.89,16.51,2.75,,01-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
01-Nov-2020 - 00:00,923.34,43.27,60.24,127.37,26.48,890.62,1.1,6.0,2.07,10.58,12.65,2.88,,02-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
02-Nov-2020 - 00:00,924.99,52.77,67.36,81.31,26.37,934.32,1.49,9.93,2.4,10.36,12.75,2.74,,03-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
03-Nov-2020 - 00:00,929.51,41.39,81.22,2.25,24.36,,1.37,11.5,2.54,9.3,11.84,3.23,,04-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
04-Nov-2020 - 00:00,,35.2,,,,,1.34,9.98,2.44,9.53,11.97,2.77,,05-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
05-Nov-2020 - 00:00,938.42,82.43,82.63,33.15,25.77,929.86,1.28,8.35,2.14,8.87,11.01,2.45,,06-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
06-Nov-2020 - 00:00,928.55,172.66,78.7,159.3,26.19,928.83,1.13,6.44,2.1,9.42,11.52,3.06,,07-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
07-Nov-2020 - 00:00,926.86,19.37,72.45,156.84,26.49,895.43,1.01,7.99,2.16,9.4,11.56,2.32,,08-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
08-Nov-2020 - 00:00,927.43,22.82,74.71,111.27,26.0,935.7,0.92,7.78,1.98,9.22,11.2,2.98,,09-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
09-Nov-2020 - 00:00,926.51,30.88,69.69,143.91,25.47,902.38,1.18,7.93,2.12,9.94,12.06,3.18,,10-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
10-Nov-2020 - 00:00,922.53,28.71,54.47,180.85,24.56,739.28,1.3,9.2,2.22,10.68,12.89,2.87,,11-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
11-Nov-2020 - 00:00,925.94,30.94,65.7,148.77,24.75,828.98,1.34,7.62,2.06,10.43,12.49,2.76,,12-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
12-Nov-2020 - 00:00,922.4,31.9,78.95,76.84,25.48,958.02,1.17,9.12,2.1,10.77,12.85,3.4,,13-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
13-Nov-2020 - 00:00,919.77,25.12,87.99,61.41,24.88,,1.28,9.98,2.46,11.24,13.69,2.54,,14-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
14-Nov-2020 - 00:00,916.09,20.91,76.26,163.07,25.8,905.1,0.99,6.8,2.38,10.54,12.92,2.87,,15-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
15-Nov-2020 - 00:00,920.41,23.33,89.76,48.13,24.27,,0.88,5.65,2.02,9.42,11.43,3.83,,16-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
16-Nov-2020 - 00:00,922.67,23.0,91.9,82.85,24.44,996.76,0.92,6.54,2.0,9.98,11.98,2.58,,17-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
17-Nov-2020 - 00:00,920.32,23.76,81.71,136.78,25.06,967.25,1.07,7.24,2.13,12.3,14.43,3.03,,18-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
18-Nov-2020 - 00:00,919.71,21.16,76.91,126.68,25.27,917.62,1.09,6.99,2.2,14.02,16.22,2.99,,19-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
19-Nov-2020 - 00:00,918.59,25.6,73.13,127.36,25.66,901.39,1.15,7.12,2.2,14.19,16.39,2.91,,20-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
20-Nov-2020 - 00:00,918.85,22.2,64.22,183.23,25.46,851.53,1.14,7.75,2.31,12.36,14.67,2.85,,21-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
21-Nov-2020 - 00:00,911.79,20.72,50.63,190.26,25.36,681.79,1.21,12.42,2.86,17.93,20.78,2.99,,22-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
22-Nov-2020 - 00:00,912.47,24.11,51.92,165.0,24.62,791.51,1.07,7.3,2.39,18.13,20.53,2.41,,23-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
23-Nov-2020 - 00:00,915.82,31.43,66.62,135.83,24.84,894.31,1.28,13.89,3.25,18.85,22.1,2.85,,24-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
24-Nov-2020 - 00:00,919.12,26.79,77.49,108.11,24.76,913.93,1.32,8.71,2.47,13.63,16.1,,,25-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
25-Nov-2020 - 00:00,920.68,20.28,83.22,64.71,23.87,978.49,1.19,9.84,2.54,12.59,15.14,2.48,,26-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
26-Nov-2020 - 00:00,925.08,16.22,98.25,6.45,22.58,,7.23,8.75,2.38,11.48,13.87,3.01,,27-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
27-Nov-2020 - 00:00,923.29,15.58,90.34,108.03,22.65,992.97,1.29,7.84,2.38,13.38,15.76,2.87,,28-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
28-Nov-2020 - 00:00,921.09,14.58,83.16,105.01,23.82,958.6,1.77,9.34,2.6,13.94,16.53,3.33,,29-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
29-Nov-2020 - 00:00,921.99,11.37,85.42,42.19,24.23,972.92,1.54,9.38,2.58,11.56,14.14,2.74,,30-Nov-2020 - 00:00,"Peenya, Bengaluru - CPCB"
30-Nov-2020 - 00:00,922.93,19.14,76.68,149.64,24.85,897.46,1.75,13.98,4.76,18.27,22.71,2.89,20.49,01-Dec-2020 - 00:00,"Peenya, Bengaluru - CPCB"
01-Dec-2020 - 00:00,933.9,28.08,89.95,0.91,22.57,,1.35,6.19,2.21,11.77,13.98,1.3,31.34,02-Dec-2020 - 00:00,"Peenya, Bengaluru - CPCB"
