from date,Temp,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,RF,VWS,to date,station
04-Feb-2020 - 00:00,34.86,,23.99,58.5,96.02,98.64,15.38,194.67,0.2,1.37,0.02,15.59,74.78,1.03,115.74,95.88,753.14,0.0,-0.02,05-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
05-Feb-2020 - 00:00,35.26,,38.99,22.34,74.13,57.59,13.57,111.36,,,0.0,16.48,70.02,1.88,103.03,100.71,752.73,0.0,0.01,06-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
06-Feb-2020 - 00:00,34.75,,35.1,15.2,65.22,47.06,14.81,102.64,0.12,1.67,0.34,16.56,68.96,1.39,91.55,95.11,752.9,0.0,-0.01,07-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
07-Feb-2020 - 00:00,34.67,,41.2,8.93,52.88,35.39,13.1,99.61,0.1,1.31,0.77,16.14,70.63,1.72,104.85,83.5,754.33,0.0,-0.04,08-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
08-Feb-2020 - 00:00,34.41,,36.94,43.84,75.21,75.69,16.21,142.22,0.19,2.06,1.32,15.84,68.84,1.56,126.87,105.03,756.23,0.0,0.02,09-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
09-Feb-2020 - 00:00,34.23,,32.99,54.46,89.49,91.89,19.54,176.86,0.18,2.23,1.44,16.59,74.16,1.07,112.35,97.82,756.9,0.0,0.0,10-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
10-Feb-2020 - 00:00,34.51,,35.64,30.73,96.82,76.48,15.77,136.12,0.18,2.22,1.42,16.83,69.47,1.5,101.98,115.47,755.34,0.0,0.0,11-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
11-Feb-2020 - 00:00,34.46,,36.82,68.22,92.88,104.88,21.61,183.7,0.27,4.03,2.89,16.73,70.03,1.21,121.06,115.84,755.48,0.0,-0.0,12-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
12-Feb-2020 - 00:00,34.31,,39.13,19.48,93.76,65.71,21.45,160.49,0.28,4.25,2.88,17.58,71.76,1.88,132.89,107.99,754.8,0.0,0.01,13-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
13-Feb-2020 - 00:00,34.18,,41.91,18.83,58.32,46.3,19.0,78.97,0.24,3.68,2.51,19.93,67.73,3.56,142.81,122.69,751.03,0.0,0.02,14-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
14-Feb-2020 - 00:00,34.26,,50.29,18.27,41.84,37.11,11.88,55.13,0.25,4.4,2.98,19.74,65.02,4.85,118.28,124.41,748.28,0.0,0.02,15-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
15-Feb-2020 - 00:00,34.48,,42.2,21.21,69.15,54.03,25.42,55.54,0.21,3.58,2.43,19.06,60.49,3.14,162.64,135.63,749.81,0.0,0.02,16-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
16-Feb-2020 - 00:00,34.08,,39.1,9.96,77.2,49.17,19.87,91.56,0.15,2.62,1.89,19.36,67.94,1.94,154.03,119.84,752.06,0.0,0.01,17-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
17-Feb-2020 - 00:00,34.69,,43.7,16.32,81.38,56.55,14.14,93.47,0.14,2.21,1.65,19.98,67.65,1.83,128.57,123.36,752.96,0.0,0.01,18-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
18-Feb-2020 - 00:00,34.36,,43.39,52.4,86.64,88.69,28.29,92.69,0.14,2.13,1.52,19.32,63.67,2.24,166.88,135.88,751.07,0.0,-0.0,19-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
19-Feb-2020 - 00:00,34.52,,35.69,60.12,98.79,101.43,19.58,112.77,0.18,2.17,1.47,20.66,65.98,1.37,187.94,125.21,750.9,0.0,-0.02,20-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
20-Feb-2020 - 00:00,34.49,,59.13,5.72,44.68,28.37,14.38,75.82,0.1,1.86,1.27,21.49,65.94,3.48,169.83,116.7,750.52,0.01,-0.09,21-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
21-Feb-2020 - 00:00,35.56,,53.75,5.17,32.72,21.61,12.81,101.24,0.1,1.79,1.12,19.57,80.28,4.77,166.24,99.45,752.15,0.03,-0.15,22-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
22-Feb-2020 - 00:00,34.66,,30.07,16.26,52.05,40.91,9.91,71.13,0.11,1.62,1.01,19.05,82.46,2.07,118.62,89.57,754.73,0.0,-0.05,23-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
23-Feb-2020 - 00:00,34.28,,33.15,8.08,51.63,34.03,10.68,101.81,0.11,1.64,1.01,20.5,82.53,1.57,96.16,108.61,752.77,0.0,-0.02,24-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
24-Feb-2020 - 00:00,34.83,,34.52,8.14,52.87,34.74,7.85,81.51,0.1,1.73,1.03,21.11,80.19,1.51,85.67,132.05,749.72,0.0,-0.01,25-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
25-Feb-2020 - 00:00,35.54,,39.2,8.44,45.47,31.04,6.63,34.82,0.1,1.7,1.02,19.21,79.46,2.12,93.4,175.57,749.61,0.0,-0.04,26-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
26-Feb-2020 - 00:00,34.67,,34.25,9.92,55.85,37.73,7.55,58.43,0.1,1.56,0.92,19.65,77.07,1.74,145.84,192.95,751.01,0.0,-0.03,27-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
27-Feb-2020 - 00:00,34.54,,38.76,7.13,52.21,33.56,9.46,54.68,0.1,1.52,0.92,20.23,76.72,2.24,184.36,185.12,751.38,0.0,-0.05,28-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
28-Feb-2020 - 00:00,35.02,,38.33,7.35,47.05,31.0,8.63,56.62,0.1,1.51,0.89,20.86,75.43,2.38,173.67,156.05,750.49,0.0,-0.06,29-Feb-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
29-Feb-2020 - 00:00,35.55,,39.65,8.35,46.76,31.65,10.72,66.01,0.1,1.5,0.87,21.54,76.45,2.39,154.91,145.27,749.14,0.03,-0.07,01-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
01-Mar-2020 - 00:00,35.24,,39.91,6.97,41.36,27.67,8.46,43.14,0.09,1.45,0.82,21.76,80.11,1.97,144.89,161.17,749.26,0.01,-0.02,02-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
02-Mar-2020 - 00:00,34.6,,34.21,10.22,52.63,36.31,9.41,66.14,0.1,1.32,0.74,23.01,77.49,1.29,113.86,143.39,748.36,0.0,-0.01,03-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
03-Mar-2020 - 00:00,35.65,,38.87,21.64,59.78,49.4,11.72,66.38,0.1,1.45,0.85,23.97,70.55,1.06,125.02,158.6,747.02,0.0,-0.01,04-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
04-Mar-2020 - 00:00,35.94,,39.74,10.0,51.63,35.14,14.49,71.02,0.1,1.42,0.84,22.16,71.83,2.03,152.17,128.52,746.94,0.02,-0.03,05-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
05-Mar-2020 - 00:00,35.33,,43.62,5.84,31.14,21.32,9.03,54.52,0.09,1.32,0.73,21.25,77.88,3.22,112.49,160.62,746.93,0.0,-0.07,06-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
06-Mar-2020 - 00:00,34.01,,42.48,5.66,30.32,20.73,9.49,48.14,0.08,1.16,0.62,20.58,79.78,3.71,145.59,117.49,746.02,0.02,-0.11,07-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
07-Mar-2020 - 00:00,35.58,,36.88,6.95,29.39,21.28,6.81,29.0,0.06,1.21,0.69,19.56,85.11,2.63,153.26,122.49,749.77,0.02,-0.05,08-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
08-Mar-2020 - 00:00,34.02,,36.67,6.34,33.17,22.8,7.29,37.53,0.06,1.07,0.59,19.33,80.72,2.58,100.71,170.74,751.26,0.0,0.01,09-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
09-Mar-2020 - 00:00,34.63,,45.31,7.85,45.46,30.56,10.63,53.94,0.09,1.15,0.66,20.34,65.22,3.01,105.18,186.33,748.93,0.0,0.02,10-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
10-Mar-2020 - 00:00,34.82,,33.73,6.88,43.56,28.76,10.99,116.5,0.1,1.16,0.67,18.59,73.16,1.25,168.64,39.22,748.77,0.02,0.0,11-Mar-2020 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
