from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,WS,WD,RH,SR,RF,to date,station
26-Sep-2020 - 00:00,87.16,159.03,21.96,14.49,5.76,22.71,4.8,0.81,40.2,6.58,23.33,4.0,10.09,10.51,3.42,,82.24,437.09,0.0,27-Sep-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
27-Sep-2020 - 00:00,66.22,152.04,15.12,8.67,2.96,22.19,5.0,0.49,52.56,3.25,23.6,2.86,5.31,6.67,2.82,,80.83,443.49,0.0,28-Sep-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
28-Sep-2020 - 00:00,74.85,184.82,21.37,13.85,5.3,21.65,5.36,0.56,44.49,4.23,24.9,2.46,3.93,5.81,3.14,,79.17,326.9,0.0,29-Sep-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
29-Sep-2020 - 00:00,76.24,193.02,19.68,12.43,4.68,22.87,5.49,0.5,56.87,1.48,6.21,0.62,0.9,1.34,2.67,,76.47,485.0,0.0,30-Sep-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
30-Sep-2020 - 00:00,71.61,162.48,17.24,9.61,2.75,19.69,5.55,0.45,60.33,1.36,5.55,0.46,0.7,1.04,2.65,,77.5,466.49,0.0,01-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
01-Oct-2020 - 00:00,77.55,176.03,24.06,14.62,4.57,18.39,6.15,0.58,57.4,1.77,6.08,0.62,1.11,1.32,3.29,,74.58,391.43,0.0,02-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
02-Oct-2020 - 00:00,98.35,215.88,28.87,19.65,7.7,19.75,6.28,0.71,60.89,2.15,7.77,0.74,1.14,1.71,3.7,,73.41,442.6,0.0,03-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
03-Oct-2020 - 00:00,94.99,202.33,28.05,17.13,5.08,22.65,5.93,0.67,54.73,2.0,8.08,0.76,1.08,1.7,3.66,,69.06,383.69,0.0,04-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
04-Oct-2020 - 00:00,94.19,202.23,27.8,17.92,6.25,22.58,6.03,0.69,63.38,1.83,7.93,0.74,1.13,1.74,3.32,,68.21,443.25,0.0,05-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
05-Oct-2020 - 00:00,94.17,210.25,21.78,12.13,3.08,24.54,4.77,0.57,61.45,1.45,5.53,0.6,0.78,1.18,2.89,,67.88,394.07,0.0,06-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
06-Oct-2020 - 00:00,112.82,248.61,29.9,18.8,5.94,20.41,4.02,0.73,64.87,2.08,5.97,0.59,0.88,1.24,3.13,,61.77,343.47,0.0,07-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
07-Oct-2020 - 00:00,137.14,260.37,34.86,23.43,8.35,19.41,4.35,0.84,61.77,2.49,6.4,0.65,0.98,1.45,3.51,,63.82,244.71,0.0,08-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
08-Oct-2020 - 00:00,118.9,229.45,36.09,21.74,5.6,17.52,3.6,0.91,59.34,2.78,7.01,0.82,1.05,1.59,3.81,,64.78,429.86,0.0,09-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
09-Oct-2020 - 00:00,112.68,215.43,36.0,22.44,6.44,19.9,2.97,0.89,54.2,2.48,7.94,1.0,1.49,2.05,3.53,,58.76,474.82,0.0,10-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
10-Oct-2020 - 00:00,103.62,197.65,36.09,24.56,9.11,22.97,3.52,0.88,54.99,3.84,12.79,1.73,2.45,3.75,3.71,,68.78,422.84,0.0,11-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
11-Oct-2020 - 00:00,103.01,210.5,50.66,36.99,15.37,16.67,3.24,1.01,49.79,8.72,35.83,5.83,8.42,12.74,4.24,,53.07,509.61,0.0,12-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
12-Oct-2020 - 00:00,114.57,226.7,60.21,50.99,26.36,17.15,2.91,1.25,48.16,10.67,37.6,8.53,10.29,15.73,3.98,,68.22,326.2,0.0,13-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
13-Oct-2020 - 00:00,118.94,295.54,72.38,62.58,32.88,19.4,4.57,1.63,38.98,10.58,33.54,7.57,9.34,16.37,3.93,,69.59,335.17,0.0,14-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
14-Oct-2020 - 00:00,135.04,314.55,49.23,41.41,21.56,22.08,3.19,1.27,57.0,10.27,29.19,5.17,7.86,11.92,3.9,,66.58,265.35,0.0,15-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
15-Oct-2020 - 00:00,153.03,314.39,45.05,30.91,11.2,23.57,3.78,1.21,56.07,10.31,26.37,4.1,5.86,9.51,3.44,,60.56,262.38,0.0,16-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
16-Oct-2020 - 00:00,120.8,293.3,53.57,34.67,10.52,22.73,3.56,1.26,50.4,10.86,26.84,5.37,7.18,10.96,4.13,,58.38,329.46,0.0,17-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
17-Oct-2020 - 00:00,92.5,287.37,49.17,39.58,19.32,23.36,3.98,1.45,57.17,13.21,27.0,4.93,7.56,10.82,3.77,,64.75,385.19,0.0,18-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
18-Oct-2020 - 00:00,167.57,283.01,38.38,22.15,4.62,17.2,3.95,0.99,73.45,7.95,18.26,3.0,4.46,6.14,3.23,,58.25,384.97,0.0,19-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
19-Oct-2020 - 00:00,157.34,284.4,39.74,26.51,8.56,15.44,11.45,1.15,47.77,8.63,16.57,2.83,3.85,5.97,3.48,,43.83,456.08,0.0,20-Oct-2020 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
