from date,PM2.5,PM10,RH,SR,Temp,BP,WD,VWS,WS,RF,CO,Ozone,NO2,NO,NOx,NH3,SO2,Benzene,Toluene,Xylene,to date,station
04-Feb-2020 - 00:00,16.9,63.91,54.87,160.99,27.92,704.64,127.99,0.0,1.84,0.0,0.0,22.22,38.52,4.32,23.73,42.48,2.64,0.11,0.24,0.0,05-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
05-Feb-2020 - 00:00,24.34,75.09,58.53,135.74,27.79,704.43,119.28,0.0,1.09,0.0,0.0,20.24,45.94,4.74,28.29,40.87,1.36,0.19,0.33,0.0,06-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
06-Feb-2020 - 00:00,20.82,77.77,53.69,150.05,27.92,704.27,143.53,0.0,1.42,0.0,0.0,27.26,38.66,4.55,24.27,39.34,2.43,0.15,0.29,0.0,07-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
07-Feb-2020 - 00:00,22.82,79.57,59.31,147.55,27.74,704.45,161.81,0.0,1.84,0.0,0.0,33.33,30.66,4.34,19.83,37.22,1.77,0.05,0.09,0.0,08-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
08-Feb-2020 - 00:00,28.39,74.28,68.42,117.05,27.71,704.95,122.78,0.0,1.46,0.0,0.0,23.75,34.97,4.46,22.23,34.69,2.07,0.13,0.54,0.0,09-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
09-Feb-2020 - 00:00,31.21,64.77,75.77,59.96,27.65,707.07,80.52,0.0,1.78,0.0,0.0,17.27,35.6,4.85,22.87,33.81,3.03,0.24,0.82,0.0,10-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
10-Feb-2020 - 00:00,29.11,63.9,71.93,108.29,27.65,706.1,93.1,0.0,2.0,0.0,0.0,26.19,36.69,4.45,23.13,32.46,1.91,0.23,0.36,0.0,11-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
11-Feb-2020 - 00:00,33.31,74.28,67.92,129.88,27.71,705.48,98.76,0.0,2.18,0.0,0.0,34.93,37.64,4.51,23.68,30.83,2.96,0.22,0.29,0.0,12-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
12-Feb-2020 - 00:00,41.18,91.18,67.53,123.47,28.04,705.52,79.72,0.0,1.45,0.0,0.0,30.25,44.9,4.22,25.48,32.15,1.03,0.35,0.74,0.02,13-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
13-Feb-2020 - 00:00,49.08,119.55,54.06,164.25,28.22,705.24,85.79,0.0,1.05,0.0,0.0,32.39,52.85,5.72,32.76,32.6,6.21,0.6,1.82,0.04,14-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
14-Feb-2020 - 00:00,59.66,148.6,45.82,162.93,28.34,705.03,82.49,0.0,0.67,0.0,0.0,25.16,77.91,19.42,57.24,34.93,10.61,1.36,4.07,0.13,15-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
15-Feb-2020 - 00:00,50.5,143.59,46.0,161.07,28.27,704.89,99.46,-0.0,0.6,0.0,0.0,30.33,70.67,17.07,51.14,35.98,6.79,0.88,2.99,0.19,16-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
16-Feb-2020 - 00:00,55.44,125.96,50.97,161.26,28.38,704.54,98.14,0.0,0.86,0.0,0.0,39.48,58.61,5.0,35.24,38.04,6.04,0.54,1.79,0.03,17-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
17-Feb-2020 - 00:00,46.83,121.98,51.04,159.42,28.24,704.43,95.03,0.0,0.89,0.0,0.0,35.79,53.1,5.66,32.77,36.73,5.03,0.46,1.07,0.02,18-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
18-Feb-2020 - 00:00,31.02,105.23,42.03,174.17,28.54,704.36,70.36,0.0,1.01,0.0,0.0,31.62,55.82,5.84,34.05,34.52,8.7,0.66,2.56,0.06,19-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
19-Feb-2020 - 00:00,36.87,103.41,53.18,160.02,28.16,704.77,112.19,0.0,1.29,0.0,0.0,39.03,49.85,5.75,30.09,37.5,4.04,0.44,1.03,0.01,20-Feb-2020 - 00:00,"Central University, Hyderabad - TSPCB"
