from date,AT,PM10,PM2.5,BP,WD,WS,RH,SR,Benzene,Toluene,NH3,NO,NO2,NOx,Ozone,SO2,CO,to date,station
02-Sep-2020 - 00:00,35.58,70.17,25.58,983.97,140.5,0.35,67.51,103.8,,15.8,18.52,7.1,25.86,19.55,22.88,8.1,1.04,03-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
03-Sep-2020 - 00:00,34.57,103.47,49.39,984.82,85.19,0.69,74.46,42.36,,25.72,19.88,14.34,30.67,28.03,9.93,8.01,1.16,04-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
04-Sep-2020 - 00:00,36.85,100.67,49.92,982.32,125.39,0.75,63.51,114.61,,26.86,23.21,7.96,33.74,24.44,24.03,8.79,1.09,05-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
05-Sep-2020 - 00:00,34.97,104.45,54.31,981.55,166.86,0.39,73.12,95.72,,38.28,25.46,12.78,34.21,28.61,24.07,7.47,1.18,06-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
06-Sep-2020 - 00:00,34.99,80.43,44.69,980.69,201.78,0.35,73.23,108.41,,20.3,29.13,7.61,25.2,19.61,17.06,6.98,1.2,07-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
07-Sep-2020 - 00:00,35.08,96.14,48.61,981.19,170.02,0.28,73.19,97.23,,21.35,27.47,14.13,35.19,30.24,8.38,9.34,1.0,08-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
08-Sep-2020 - 00:00,35.58,102.21,47.65,981.83,251.57,0.32,68.74,134.96,,4.81,25.13,8.16,22.31,18.53,12.56,8.37,1.19,09-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
09-Sep-2020 - 00:00,36.17,143.57,71.25,981.69,280.68,0.38,67.69,137.3,,12.51,29.09,11.13,24.41,22.06,17.28,8.24,1.31,10-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
10-Sep-2020 - 00:00,36.49,156.0,75.58,979.28,240.03,0.42,64.38,149.36,,44.14,48.35,8.16,33.43,24.43,15.54,7.38,1.24,11-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
11-Sep-2020 - 00:00,36.47,148.38,62.33,979.76,165.87,0.27,63.32,136.81,,18.73,35.24,13.86,34.54,29.67,18.48,9.01,0.85,12-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
12-Sep-2020 - 00:00,36.54,160.84,71.38,982.41,209.41,0.3,63.55,127.83,,14.19,37.4,16.67,31.67,30.44,14.18,8.79,1.17,13-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
13-Sep-2020 - 00:00,36.28,146.49,74.42,982.35,178.61,0.32,67.0,112.4,,13.21,38.75,8.82,27.0,21.55,14.11,6.85,1.13,14-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
14-Sep-2020 - 00:00,36.33,177.58,86.54,981.3,220.9,0.3,66.97,92.4,,19.12,38.05,12.13,31.76,26.78,17.0,7.07,1.07,15-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
15-Sep-2020 - 00:00,36.37,173.33,78.09,980.74,209.53,0.31,65.44,92.72,,21.16,38.52,12.51,32.41,27.43,15.84,7.97,1.25,16-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
16-Sep-2020 - 00:00,37.06,186.71,81.06,980.39,211.96,0.39,63.02,110.18,,19.15,38.43,11.61,34.56,27.85,22.9,6.95,1.2,17-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
17-Sep-2020 - 00:00,37.28,149.88,55.95,979.87,243.57,0.48,61.03,119.96,,16.91,38.24,8.16,27.78,21.44,12.87,8.49,1.03,18-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
18-Sep-2020 - 00:00,37.54,135.88,52.83,979.01,243.88,0.53,60.32,116.49,,13.23,37.39,8.45,25.92,20.69,14.68,8.96,1.07,19-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
19-Sep-2020 - 00:00,36.78,141.83,63.02,979.37,246.19,0.33,63.62,102.87,,14.37,37.95,7.44,28.85,21.41,11.75,8.34,1.06,20-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
20-Sep-2020 - 00:00,36.53,177.42,85.54,978.8,271.0,0.43,64.44,101.04,,17.67,39.55,10.41,30.12,24.51,15.19,8.33,1.38,21-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
21-Sep-2020 - 00:00,36.83,177.25,80.1,977.73,278.5,0.38,62.79,87.12,,15.1,33.91,7.56,29.86,22.05,19.9,8.11,1.0,22-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
22-Sep-2020 - 00:00,36.36,106.83,42.74,978.16,111.03,0.72,64.43,87.25,,11.42,22.19,13.37,28.37,25.99,11.88,8.06,0.98,23-Sep-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
