from date,AT,BP,PM10,PM2.5,RH,SR,WS,WD,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
08-Feb-2020 - 00:00,14.48,995.21,277.18,200.06,63.34,152.31,0.69,259.36,8.72,17.31,28.49,24.78,39.27,35.84,1.27,37.16,15.21,09-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
09-Feb-2020 - 00:00,14.66,995.76,319.83,223.5,63.91,161.97,0.52,251.27,9.27,18.81,23.28,29.76,45.27,39.5,1.58,39.64,14.78,10-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
10-Feb-2020 - 00:00,14.45,993.86,367.82,255.76,65.95,155.57,0.49,253.7,10.76,25.31,24.04,60.13,72.76,44.64,2.13,36.66,14.57,11-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
11-Feb-2020 - 00:00,15.08,994.16,359.85,241.73,62.56,162.71,0.4,258.61,9.24,37.83,24.44,77.68,88.37,47.05,2.45,36.31,14.52,12-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
12-Feb-2020 - 00:00,17.18,993.49,308.86,198.4,59.47,154.39,0.92,245.55,8.14,21.96,25.54,34.59,48.91,38.94,1.06,38.79,20.13,13-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
13-Feb-2020 - 00:00,19.65,990.4,181.88,101.35,49.27,173.24,1.28,248.32,5.04,11.66,25.82,6.42,19.82,27.41,0.57,45.48,17.11,14-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
14-Feb-2020 - 00:00,19.16,987.55,165.52,77.45,46.39,176.29,1.5,259.34,4.35,9.77,24.1,4.57,15.26,21.68,0.45,63.94,14.46,15-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
15-Feb-2020 - 00:00,18.24,987.85,189.55,97.42,41.18,177.26,1.09,256.12,5.5,12.26,21.2,10.15,25.65,32.68,0.83,51.84,17.99,16-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
16-Feb-2020 - 00:00,18.25,990.97,281.12,179.33,50.82,178.8,0.66,247.08,6.05,19.46,20.53,27.38,43.16,39.17,1.8,45.94,20.53,17-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
17-Feb-2020 - 00:00,18.62,992.09,304.21,183.8,52.41,176.51,0.73,247.26,9.31,22.29,20.84,41.69,56.21,40.98,1.52,40.71,24.06,18-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
18-Feb-2020 - 00:00,18.54,989.58,286.01,170.77,44.1,181.3,0.78,246.37,7.85,17.05,20.8,34.35,74.11,51.89,1.53,46.04,27.29,19-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
19-Feb-2020 - 00:00,18.46,988.83,350.6,154.95,55.09,134.86,1.42,133.12,9.21,23.63,22.42,35.81,131.14,56.74,1.66,35.17,18.55,20-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
20-Feb-2020 - 00:00,20.59,988.15,276.34,108.25,50.23,160.89,2.32,107.46,4.48,8.76,22.32,12.98,32.68,41.56,0.69,48.53,14.06,21-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
21-Feb-2020 - 00:00,16.75,991.84,97.92,62.93,74.42,69.04,1.38,205.72,3.27,8.7,21.04,7.81,20.36,26.3,0.56,41.63,14.65,22-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
22-Feb-2020 - 00:00,18.0,995.03,151.74,90.74,71.73,146.87,0.54,200.58,6.0,15.28,22.22,36.91,46.81,31.42,1.22,44.62,17.99,23-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
23-Feb-2020 - 00:00,19.75,992.74,179.08,111.52,67.24,145.76,0.48,257.03,6.87,17.88,21.41,37.67,46.62,29.92,0.9,42.17,13.77,24-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
24-Feb-2020 - 00:00,19.61,989.43,159.28,84.86,63.39,171.32,0.56,280.93,5.37,14.4,20.4,23.74,37.5,34.12,0.89,39.48,17.1,25-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
25-Feb-2020 - 00:00,19.84,988.24,236.84,142.78,66.57,158.86,0.58,257.83,7.27,19.11,20.95,23.66,37.12,33.52,1.03,42.5,19.37,26-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
26-Feb-2020 - 00:00,20.71,989.03,267.0,150.07,63.98,159.03,0.56,212.19,7.94,20.47,23.32,46.37,56.99,36.06,1.36,47.45,16.52,27-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
27-Feb-2020 - 00:00,20.49,989.8,211.42,101.64,69.6,136.57,1.12,98.64,5.2,11.57,24.75,25.25,39.53,35.59,0.84,34.21,16.79,28-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
28-Feb-2020 - 00:00,20.64,988.57,169.54,88.16,68.36,144.06,2.26,105.12,3.93,6.54,27.62,9.38,22.98,28.81,0.59,43.08,12.17,29-Feb-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
29-Feb-2020 - 00:00,19.75,987.75,117.28,63.16,72.78,131.68,1.92,114.16,3.31,6.58,25.5,9.25,21.97,27.13,0.49,39.31,9.48,01-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
01-Mar-2020 - 00:00,20.21,988.22,119.97,67.65,69.59,172.36,0.82,138.85,4.23,10.42,24.5,35.62,45.84,31.57,1.07,51.2,13.94,02-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
02-Mar-2020 - 00:00,21.21,987.53,219.79,122.18,72.09,145.76,0.36,249.38,8.47,21.6,23.98,89.21,91.92,36.1,1.9,48.37,13.78,03-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
03-Mar-2020 - 00:00,21.63,986.07,183.82,87.61,60.02,179.74,0.49,257.89,6.5,18.35,25.2,49.78,57.28,31.38,0.99,42.55,13.45,04-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
04-Mar-2020 - 00:00,20.97,985.69,223.34,100.67,60.7,160.82,1.43,173.86,5.66,16.16,25.11,53.4,61.56,33.87,1.06,69.53,15.08,05-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
05-Mar-2020 - 00:00,19.48,985.91,67.52,28.35,67.54,144.68,1.64,135.01,2.51,8.51,41.42,16.85,37.64,44.94,0.52,36.67,11.5,06-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
06-Mar-2020 - 00:00,16.37,984.96,42.68,21.52,82.16,114.27,1.73,114.94,1.96,6.83,61.7,18.84,42.53,51.08,0.48,37.59,9.09,07-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
07-Mar-2020 - 00:00,16.88,989.29,107.93,57.01,79.37,120.12,1.37,109.33,3.41,8.17,55.99,34.06,57.85,56.56,0.9,36.43,11.12,08-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
08-Mar-2020 - 00:00,18.99,990.66,133.11,73.54,65.93,221.28,0.66,257.05,6.1,13.0,54.8,47.81,61.56,42.47,0.94,47.19,8.82,09-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
09-Mar-2020 - 00:00,18.7,987.81,132.2,67.17,58.72,226.15,1.02,265.52,4.68,10.59,52.47,14.33,33.83,41.62,0.69,43.85,9.26,10-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
10-Mar-2020 - 00:00,19.06,986.86,159.41,89.28,58.99,201.19,0.9,197.69,4.61,8.51,47.88,13.71,34.28,43.44,0.77,61.76,20.52,11-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
11-Mar-2020 - 00:00,20.85,984.73,110.58,53.65,64.16,194.15,2.19,113.37,2.76,6.38,46.08,13.41,36.37,47.83,0.58,56.38,15.84,12-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
12-Mar-2020 - 00:00,21.36,986.76,160.46,58.69,61.15,186.85,1.22,156.33,2.95,6.15,41.87,42.73,64.7,57.69,0.91,30.24,11.99,13-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
13-Mar-2020 - 00:00,21.57,988.42,184.14,62.6,48.05,210.73,0.81,169.96,3.8,9.03,45.26,50.83,70.17,54.25,0.62,40.99,12.31,14-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
14-Mar-2020 - 00:00,17.82,989.79,84.45,42.15,80.86,102.36,0.93,174.92,2.76,8.58,44.29,16.67,39.82,49.31,0.62,26.01,11.79,15-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
15-Mar-2020 - 00:00,18.1,991.33,121.93,62.27,69.05,208.13,0.57,208.94,4.15,11.41,41.16,29.48,50.29,49.37,0.77,46.27,14.18,16-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
16-Mar-2020 - 00:00,19.87,990.86,136.34,61.94,64.89,191.29,0.71,271.14,4.4,12.26,43.78,14.69,36.98,46.99,0.78,50.75,12.83,17-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
17-Mar-2020 - 00:00,21.23,990.83,148.74,74.2,60.87,225.89,0.78,272.27,5.46,13.74,45.44,22.17,44.53,49.76,0.91,56.31,16.08,18-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
18-Mar-2020 - 00:00,22.49,989.1,140.64,67.17,58.05,220.61,0.75,264.58,5.51,15.94,44.19,30.08,52.22,52.06,0.97,57.63,15.86,19-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
19-Mar-2020 - 00:00,23.44,986.0,177.9,91.52,61.51,200.86,0.59,257.04,6.16,17.15,41.86,52.55,71.68,54.23,1.15,56.83,21.13,20-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
20-Mar-2020 - 00:00,24.49,985.34,205.26,100.52,56.93,169.38,0.8,159.34,5.84,17.05,36.14,51.56,83.41,76.24,1.37,53.65,25.64,21-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
21-Mar-2020 - 00:00,24.21,985.36,157.12,76.77,52.62,170.65,0.59,239.98,4.86,13.18,32.04,30.49,53.6,53.05,0.94,51.95,20.86,22-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
22-Mar-2020 - 00:00,24.32,987.07,129.02,77.16,54.12,213.89,0.6,256.75,3.7,9.96,31.01,15.84,30.8,33.64,0.59,68.87,19.02,23-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
23-Mar-2020 - 00:00,24.71,986.68,97.01,54.62,50.25,206.72,0.47,238.85,3.07,7.69,30.44,8.37,24.94,34.12,0.65,76.11,15.72,24-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
24-Mar-2020 - 00:00,23.82,985.7,104.83,56.94,57.33,150.12,0.99,176.2,3.47,7.84,31.03,14.74,29.52,32.9,0.59,51.95,20.33,25-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
25-Mar-2020 - 00:00,25.35,985.78,69.17,38.38,57.78,224.01,0.78,238.48,2.22,5.67,29.97,7.88,16.41,18.76,0.43,55.88,13.35,26-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
26-Mar-2020 - 00:00,24.48,986.93,74.93,42.46,57.13,145.29,1.21,258.32,1.1,3.2,28.05,4.64,10.69,12.98,0.4,45.7,12.55,27-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
27-Mar-2020 - 00:00,21.85,989.01,47.93,27.09,69.51,120.29,1.34,196.72,1.1,3.2,26.02,5.07,11.0,12.91,0.29,40.81,11.31,28-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
28-Mar-2020 - 00:00,22.73,988.98,38.4,23.06,63.07,240.29,1.17,260.99,1.1,3.2,25.53,4.8,11.28,13.83,0.34,48.8,10.42,29-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
29-Mar-2020 - 00:00,23.94,986.84,55.42,26.17,51.35,244.49,1.44,270.52,1.1,3.2,24.87,3.93,8.41,9.77,0.29,68.88,10.67,30-Mar-2020 - 00:00,"Nehru Nagar, Delhi - DPCC"
