from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
26-Feb-2020 - 00:00,46.66,158.38,55.27,61.89,6.62,13.89,31.78,0.48,75.74,6.03,12.93,8.51,28.02,33.76,,393.1,2.41,159.28,27-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
27-Feb-2020 - 00:00,58.28,186.04,78.66,95.88,17.21,16.13,38.75,0.69,78.47,8.17,19.08,14.06,27.95,36.41,,401.56,1.9,161.45,28-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
28-Feb-2020 - 00:00,80.83,229.7,96.72,175.31,78.7,15.29,35.18,1.12,60.0,11.7,36.48,27.71,27.08,42.56,,404.0,1.35,194.83,29-Feb-2020 - 00:00,"Kurla, Mumbai - MPCB"
29-Feb-2020 - 00:00,75.65,235.9,88.31,157.19,68.89,22.06,52.8,0.97,35.58,11.3,33.47,20.83,26.5,53.23,,380.41,1.39,211.26,01-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
01-Mar-2020 - 00:00,32.83,166.39,60.58,95.17,34.6,45.59,64.51,0.41,27.24,5.5,18.14,10.08,26.03,62.96,,383.98,1.59,248.47,02-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
02-Mar-2020 - 00:00,53.04,199.33,53.74,110.63,56.99,25.31,81.94,0.6,16.62,7.56,21.38,8.69,25.39,63.22,,399.05,1.37,232.17,03-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
03-Mar-2020 - 00:00,44.33,174.98,45.1,66.81,21.73,35.18,84.2,0.27,27.98,4.42,10.72,5.54,25.21,70.0,,413.3,1.47,227.25,04-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
04-Mar-2020 - 00:00,31.46,165.43,46.71,70.86,24.18,20.18,93.47,0.23,28.13,4.29,9.16,4.94,24.56,68.78,,343.19,1.75,238.83,05-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
05-Mar-2020 - 00:00,21.75,137.75,37.98,57.05,19.09,21.31,99.53,0.25,23.45,4.5,8.66,4.24,24.58,71.34,,397.23,1.71,183.92,06-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
06-Mar-2020 - 00:00,17.79,193.87,33.1,75.14,42.1,16.75,89.62,0.21,13.35,4.4,7.8,3.09,25.29,66.08,,391.78,1.54,228.31,07-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
07-Mar-2020 - 00:00,9.09,169.77,35.58,46.47,10.89,13.96,9.97,0.19,39.62,3.72,9.48,4.8,24.32,66.38,,376.43,1.78,222.34,08-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
08-Mar-2020 - 00:00,29.38,158.48,44.12,59.39,15.27,11.04,15.86,0.18,48.32,3.96,9.9,4.97,24.09,62.28,,420.18,1.55,209.65,09-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
09-Mar-2020 - 00:00,48.01,186.58,48.11,62.55,14.44,13.57,24.09,0.31,38.56,5.45,11.65,5.31,24.4,69.06,,418.58,1.53,230.4,10-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
10-Mar-2020 - 00:00,61.76,178.79,30.39,48.86,18.53,20.73,44.67,0.56,26.98,6.72,11.38,5.56,24.96,69.8,,389.0,1.39,221.74,11-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
11-Mar-2020 - 00:00,15.37,116.0,32.98,46.68,13.7,12.59,46.72,0.15,34.01,2.54,4.68,1.79,24.65,61.89,,415.02,1.82,262.96,12-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
12-Mar-2020 - 00:00,19.71,118.73,36.33,49.22,12.88,10.77,41.92,0.2,36.06,3.74,9.06,3.76,23.88,62.8,,373.18,1.97,217.63,13-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
13-Mar-2020 - 00:00,22.91,144.81,36.02,41.07,5.05,8.41,8.56,0.22,67.95,4.0,8.07,4.09,23.54,54.25,,406.28,2.03,189.25,14-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
14-Mar-2020 - 00:00,32.49,161.98,43.23,60.96,17.72,8.46,10.9,0.4,77.62,5.82,13.24,7.79,24.93,47.29,,462.09,1.83,199.26,15-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
15-Mar-2020 - 00:00,61.67,251.58,56.75,123.45,66.76,11.03,12.62,1.0,66.59,9.85,30.67,17.43,26.91,42.26,,401.4,1.46,183.59,16-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
16-Mar-2020 - 00:00,69.07,271.33,83.01,139.52,56.79,13.33,13.87,1.12,64.89,11.23,32.2,15.4,28.61,39.45,,402.08,1.5,184.43,17-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
17-Mar-2020 - 00:00,90.48,307.51,71.47,195.44,124.83,17.25,11.03,1.5,55.89,17.63,51.72,30.52,28.36,44.35,,390.98,1.44,211.6,18-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
18-Mar-2020 - 00:00,61.01,252.35,76.06,156.07,81.02,20.59,,0.96,31.89,11.94,30.51,18.02,28.42,47.71,,400.28,1.33,246.13,19-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
19-Mar-2020 - 00:00,35.37,168.91,49.98,71.54,21.55,23.32,8.06,0.39,34.93,6.03,13.85,8.3,27.01,56.11,,454.19,1.58,242.38,20-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
20-Mar-2020 - 00:00,32.85,202.48,36.31,83.61,47.37,25.82,,0.32,13.05,4.2,8.08,3.83,25.84,67.59,,406.31,1.53,242.66,21-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
21-Mar-2020 - 00:00,22.13,107.29,27.57,48.21,20.89,19.86,68.46,0.27,24.03,3.82,8.77,7.52,25.45,70.32,,414.02,1.71,221.51,22-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
22-Mar-2020 - 00:00,17.42,68.21,10.14,15.32,5.19,17.93,60.33,0.15,30.61,2.41,3.74,1.76,26.76,69.44,,422.83,1.73,225.2,23-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
23-Mar-2020 - 00:00,25.46,83.2,12.76,17.87,5.11,19.96,56.96,0.21,39.81,2.6,3.74,2.23,28.18,66.27,,430.97,1.58,236.58,24-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
24-Mar-2020 - 00:00,40.58,113.94,20.19,26.48,6.29,20.08,20.98,0.31,42.52,4.61,7.41,3.93,28.56,63.88,,402.48,1.31,245.36,25-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
25-Mar-2020 - 00:00,30.5,86.94,12.89,17.61,4.72,11.96,19.6,0.28,28.55,1.93,2.14,3.88,28.24,71.7,,362.88,1.3,211.18,26-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
26-Mar-2020 - 00:00,30.42,74.21,15.53,21.95,6.42,16.61,36.16,0.22,28.16,2.88,2.26,3.7,28.18,72.17,,325.24,1.39,217.18,27-Mar-2020 - 00:00,"Kurla, Mumbai - MPCB"
