from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Eth-Benzene,MP-Xylene,RH,WS,WD,to date,station
16-Jan-2020 - 00:00,20.59,2.75,12.92,9.95,7.38,0.93,46.12,65.69,97.04,3.83,0.11,0.85,1.97,97.58,0.91,280.3,17-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
17-Jan-2020 - 00:00,22.74,2.9,14.2,10.55,7.7,0.87,45.37,72.66,112.08,4.61,0.12,0.79,2.08,96.02,0.94,234.83,18-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
18-Jan-2020 - 00:00,25.14,7.59,19.22,9.17,12.26,0.94,50.35,74.2,108.2,5.3,0.12,0.8,2.02,98.67,0.76,244.81,19-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
19-Jan-2020 - 00:00,14.98,1.73,9.22,9.6,12.01,1.05,59.78,69.03,110.54,4.5,0.09,0.6,1.14,99.13,1.2,269.09,20-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
20-Jan-2020 - 00:00,26.04,9.29,21.06,6.97,14.17,1.43,49.83,71.61,136.81,6.39,0.17,1.16,3.32,99.07,0.64,219.34,21-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
21-Jan-2020 - 00:00,28.15,3.67,17.65,10.25,11.1,1.28,56.82,89.8,144.42,7.26,0.19,1.67,3.08,93.83,0.72,87.41,22-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
22-Jan-2020 - 00:00,23.52,2.96,14.66,9.44,6.4,1.11,46.86,61.36,107.56,6.21,0.16,1.13,2.36,91.71,1.19,261.58,23-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
23-Jan-2020 - 00:00,19.67,2.1,11.95,8.85,6.02,0.81,61.61,59.75,103.8,3.1,0.09,0.51,1.25,71.13,2.05,271.47,24-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
24-Jan-2020 - 00:00,18.14,1.76,10.89,8.01,7.44,0.81,72.91,51.65,90.02,3.08,0.07,0.38,0.95,57.25,2.07,268.55,25-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
25-Jan-2020 - 00:00,26.96,2.16,15.81,6.02,23.12,1.68,65.37,68.66,120.84,3.94,0.09,0.67,1.68,62.43,0.76,233.67,26-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
26-Jan-2020 - 00:00,30.98,6.75,21.6,7.83,8.87,1.18,57.08,101.65,158.13,5.35,0.14,1.03,2.66,70.73,0.85,239.73,27-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
27-Jan-2020 - 00:00,29.24,3.65,18.2,13.45,31.88,0.25,66.75,104.41,161.86,5.62,0.1,2.01,3.09,76.61,1.03,100.77,28-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
28-Jan-2020 - 00:00,19.48,1.93,11.73,11.57,11.11,0.48,48.67,60.42,84.31,4.34,0.15,1.18,3.27,99.1,1.33,224.2,29-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
29-Jan-2020 - 00:00,28.25,5.43,19.11,8.81,13.39,1.17,62.77,39.87,69.34,3.29,0.1,0.66,2.13,87.08,0.74,201.81,30-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
30-Jan-2020 - 00:00,28.57,3.81,17.99,16.17,8.88,0.66,53.81,58.19,98.53,4.34,0.13,0.77,2.27,85.67,1.16,275.74,31-Jan-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
31-Jan-2020 - 00:00,25.14,2.89,15.83,9.41,21.69,0.63,51.42,63.03,101.22,3.95,0.08,0.59,1.55,89.53,0.92,205.55,01-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
01-Feb-2020 - 00:00,26.37,4.89,17.72,8.66,9.59,0.76,67.95,81.02,121.17,5.47,0.12,0.82,2.08,84.95,0.94,210.19,02-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
02-Feb-2020 - 00:00,24.48,2.95,15.15,8.25,6.8,0.7,52.79,69.67,115.8,4.49,0.11,0.63,1.65,89.41,0.93,265.56,03-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
03-Feb-2020 - 00:00,31.24,2.42,10.93,7.83,11.37,0.67,48.68,80.98,125.03,4.43,0.12,0.64,2.06,78.63,0.73,213.66,04-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
04-Feb-2020 - 00:00,20.88,1.41,8.19,19.0,21.36,0.88,54.77,106.62,171.1,6.88,0.28,2.09,3.58,70.77,1.18,117.95,05-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
05-Feb-2020 - 00:00,20.12,1.77,11.93,20.31,14.19,0.7,61.71,88.65,153.74,4.2,0.12,0.87,2.01,81.8,0.99,275.63,06-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
06-Feb-2020 - 00:00,17.71,1.47,10.42,20.4,21.82,0.59,59.0,68.29,108.17,3.43,0.08,0.53,1.38,68.78,0.83,203.36,07-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
07-Feb-2020 - 00:00,17.86,2.71,11.5,12.88,14.01,0.72,68.0,91.44,157.11,5.1,0.12,0.76,1.86,40.81,0.98,214.44,08-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
08-Feb-2020 - 00:00,15.93,1.63,9.63,13.64,20.17,0.7,55.29,85.53,152.35,4.2,0.08,0.49,1.25,52.74,1.03,278.29,09-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
09-Feb-2020 - 00:00,19.31,1.91,11.62,13.95,20.58,0.83,62.22,81.73,142.04,5.62,0.14,1.17,2.55,70.78,0.73,261.05,10-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
10-Feb-2020 - 00:00,19.29,2.23,11.87,14.41,10.19,0.83,56.42,109.52,169.47,5.84,0.14,0.91,2.72,75.73,0.74,272.12,11-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
11-Feb-2020 - 00:00,23.97,5.65,17.05,12.64,22.16,0.9,51.75,109.04,210.61,5.73,0.15,1.17,3.45,71.76,0.68,252.61,12-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
12-Feb-2020 - 00:00,16.99,1.78,10.31,13.0,15.54,0.85,56.11,113.31,172.15,5.54,0.13,0.81,2.02,73.57,1.64,258.58,13-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
13-Feb-2020 - 00:00,11.41,1.6,7.24,11.06,29.76,0.55,54.26,58.2,113.97,3.41,0.08,0.39,1.08,57.64,2.19,264.75,14-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
14-Feb-2020 - 00:00,9.52,1.45,6.14,9.33,22.45,0.49,52.17,58.02,128.07,2.68,0.06,0.26,0.64,58.79,2.42,271.63,15-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
15-Feb-2020 - 00:00,11.84,1.4,7.13,18.79,17.44,0.45,63.66,42.81,94.0,2.45,0.04,0.19,0.45,45.23,1.78,259.5,16-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
16-Feb-2020 - 00:00,26.33,3.24,16.35,31.71,34.4,0.77,115.12,61.65,152.05,4.36,0.1,0.55,1.77,49.94,1.01,256.52,17-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
17-Feb-2020 - 00:00,40.75,5.2,25.45,36.28,35.08,0.83,108.84,81.27,169.41,5.21,0.2,1.17,3.66,66.62,0.82,266.94,18-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
18-Feb-2020 - 00:00,23.17,2.01,13.7,33.66,39.95,0.63,129.32,53.64,127.83,3.65,0.1,0.38,1.11,47.06,1.38,241.11,19-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
19-Feb-2020 - 00:00,24.26,2.25,14.48,36.29,55.74,0.81,145.99,59.19,199.6,5.47,0.17,1.53,2.5,52.79,2.5,112.99,20-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
20-Feb-2020 - 00:00,21.55,1.7,12.62,33.76,56.58,0.87,137.77,64.01,173.57,5.16,0.12,0.81,1.51,64.42,2.52,109.42,21-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
21-Feb-2020 - 00:00,17.07,2.22,11.1,40.83,41.16,0.42,95.1,21.99,50.64,1.77,0.08,0.33,0.79,87.53,1.3,117.7,22-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
22-Feb-2020 - 00:00,21.99,1.99,13.21,42.82,53.34,0.43,91.85,34.27,74.98,3.03,0.15,0.58,1.63,84.0,0.93,183.4,23-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
23-Feb-2020 - 00:00,22.47,1.6,13.03,41.58,58.11,0.53,90.87,44.19,91.85,3.87,0.17,0.83,2.12,85.78,0.92,312.66,24-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
24-Feb-2020 - 00:00,26.83,3.14,16.52,40.57,55.86,0.82,83.62,62.14,129.78,5.03,0.14,0.86,2.32,86.09,0.86,294.19,25-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
25-Feb-2020 - 00:00,22.62,2.05,13.46,39.32,51.92,1.44,96.03,76.1,125.76,5.48,0.16,0.75,2.18,86.83,1.11,260.58,26-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
26-Feb-2020 - 00:00,18.77,1.39,10.92,38.32,38.02,0.98,126.06,76.97,160.2,2.81,17.84,1.14,1.95,55.06,0.84,198.26,27-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
27-Feb-2020 - 00:00,38.73,5.67,24.78,37.14,64.16,1.18,122.14,90.0,171.2,7.49,39.07,2.26,3.57,75.91,1.25,92.21,28-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
28-Feb-2020 - 00:00,26.15,1.95,15.23,34.54,55.32,1.9,120.81,64.63,141.29,5.52,40.31,1.44,2.47,80.7,2.48,107.54,29-Feb-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
29-Feb-2020 - 00:00,21.34,1.98,12.73,31.89,54.38,1.64,109.91,48.54,85.47,4.8,35.49,0.8,1.57,75.89,2.48,101.52,01-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
01-Mar-2020 - 00:00,22.16,2.01,13.17,29.56,55.71,0.97,96.0,35.41,65.74,4.0,44.98,0.92,2.06,83.75,1.07,163.12,02-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
02-Mar-2020 - 00:00,22.14,2.58,13.63,31.94,53.15,1.28,92.81,36.48,94.33,3.83,49.4,0.84,2.3,74.95,0.65,189.9,03-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
03-Mar-2020 - 00:00,22.46,3.4,14.47,35.04,50.34,1.39,94.97,31.15,98.13,3.54,48.74,0.72,1.98,75.43,0.6,144.75,04-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
04-Mar-2020 - 00:00,26.31,2.34,15.62,33.25,58.6,2.05,121.91,36.87,115.94,5.17,45.21,1.17,2.23,71.82,1.31,121.27,05-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
05-Mar-2020 - 00:00,17.06,1.81,10.38,28.28,45.85,1.81,99.12,16.95,42.06,2.63,33.62,0.63,1.37,80.28,1.96,104.23,06-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
06-Mar-2020 - 00:00,18.32,1.75,10.96,27.52,46.77,1.86,103.11,12.54,26.61,2.31,31.69,0.57,1.45,93.08,1.6,129.92,07-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
07-Mar-2020 - 00:00,21.26,2.8,13.35,30.49,45.2,1.67,87.42,17.02,39.75,3.42,38.48,0.79,1.7,89.42,1.54,168.29,08-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
08-Mar-2020 - 00:00,24.99,3.25,15.66,29.58,46.14,1.04,94.31,26.35,69.4,5.06,53.33,1.31,2.84,78.05,0.98,197.9,09-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
09-Mar-2020 - 00:00,19.94,1.73,11.8,26.6,45.91,0.88,121.93,30.58,90.23,3.03,45.2,0.57,1.64,67.16,1.53,272.57,10-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
10-Mar-2020 - 00:00,16.27,1.58,9.77,27.16,50.33,1.0,110.5,44.27,101.85,4.0,54.55,0.63,1.78,77.34,0.9,169.74,11-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
11-Mar-2020 - 00:00,20.39,2.0,12.19,33.81,36.65,0.82,127.93,37.84,81.34,4.56,58.08,0.85,2.35,70.55,2.01,131.33,12-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
12-Mar-2020 - 00:00,19.86,2.06,12.02,30.87,41.2,1.21,129.63,26.88,145.15,3.73,56.96,1.27,3.07,65.45,1.37,135.73,13-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
13-Mar-2020 - 00:00,20.82,2.11,12.57,38.78,41.64,1.19,106.34,26.3,123.06,4.46,82.7,1.21,3.36,54.48,1.05,240.88,14-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
14-Mar-2020 - 00:00,18.44,2.18,11.38,39.9,42.25,0.45,118.27,29.71,136.77,3.46,61.11,0.64,1.77,71.82,1.23,279.73,15-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
15-Mar-2020 - 00:00,14.92,1.74,9.19,28.52,32.93,0.44,109.13,30.43,74.65,3.28,46.61,0.46,1.09,64.13,0.71,141.88,16-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
16-Mar-2020 - 00:00,22.97,2.35,13.87,27.17,28.99,0.56,133.78,33.2,123.53,3.85,61.0,0.83,2.67,61.19,1.11,299.13,17-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
17-Mar-2020 - 00:00,20.87,1.8,12.34,29.17,37.45,0.56,125.67,38.53,111.98,3.5,43.16,0.67,2.2,70.52,1.11,284.38,18-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
18-Mar-2020 - 00:00,23.42,2.02,13.86,34.65,43.96,0.55,103.82,42.16,112.21,4.17,48.8,0.89,2.46,66.29,1.06,246.11,19-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
19-Mar-2020 - 00:00,20.92,1.7,12.29,33.91,45.0,0.6,87.08,42.2,105.97,4.72,61.04,0.88,2.4,74.46,0.82,147.88,20-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
20-Mar-2020 - 00:00,20.94,1.6,12.22,35.72,47.92,0.58,97.2,43.33,105.05,5.06,62.11,1.03,2.57,69.16,0.88,103.68,21-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
21-Mar-2020 - 00:00,23.3,1.87,13.67,36.3,47.97,0.43,91.34,34.36,92.22,4.52,78.88,1.07,2.83,61.7,0.98,188.1,22-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
22-Mar-2020 - 00:00,21.16,1.71,12.37,38.25,37.79,0.48,94.93,45.46,92.7,5.21,88.5,1.12,2.86,62.43,1.12,237.69,23-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
23-Mar-2020 - 00:00,20.68,1.46,11.94,32.65,39.69,0.39,87.74,29.81,61.14,4.48,86.08,0.93,2.64,54.66,0.64,115.61,24-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
24-Mar-2020 - 00:00,20.47,1.71,12.04,34.16,54.24,0.48,78.9,39.63,77.64,5.81,80.01,1.02,2.76,62.62,1.17,94.22,25-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
25-Mar-2020 - 00:00,17.58,1.72,10.56,32.0,51.44,0.46,70.98,30.88,59.63,5.57,80.81,0.86,2.43,67.81,0.95,194.86,26-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
26-Mar-2020 - 00:00,15.77,1.67,9.58,30.66,48.43,0.31,85.41,21.0,43.06,3.82,79.26,0.69,2.02,66.21,1.39,272.33,27-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
27-Mar-2020 - 00:00,15.12,1.56,9.13,27.81,50.56,0.3,55.66,11.88,26.58,3.16,74.62,0.62,1.82,87.49,1.35,154.71,28-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
28-Mar-2020 - 00:00,25.98,12.62,21.52,37.41,3.87,0.38,84.56,40.15,40.53,2.85,72.91,0.44,1.28,54.64,1.22,286.23,29-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
29-Mar-2020 - 00:00,21.35,1.62,12.44,35.42,2.11,0.27,78.98,16.39,37.22,3.26,77.77,0.66,2.03,62.23,1.63,291.04,30-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
30-Mar-2020 - 00:00,19.85,1.51,11.58,28.43,4.6,0.33,63.92,20.21,43.05,3.63,77.12,0.64,1.95,60.75,1.24,276.82,31-Mar-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
31-Mar-2020 - 00:00,17.65,1.45,10.38,27.22,2.04,0.32,51.89,20.32,43.27,3.86,80.51,0.67,1.98,60.49,1.34,206.06,01-Apr-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
01-Apr-2020 - 00:00,16.22,1.64,9.78,26.89,6.17,0.28,59.17,13.93,37.44,3.62,78.54,0.62,1.78,64.04,1.26,255.45,02-Apr-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
02-Apr-2020 - 00:00,15.99,1.42,9.47,25.11,5.74,0.33,75.13,20.92,41.54,3.94,77.66,0.61,1.69,59.38,1.7,290.4,03-Apr-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
03-Apr-2020 - 00:00,16.59,1.39,9.77,23.17,3.98,0.28,75.45,19.1,38.6,4.27,78.69,0.64,1.76,48.38,1.3,289.2,04-Apr-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
04-Apr-2020 - 00:00,16.25,1.19,9.42,22.4,1.65,0.32,71.26,22.79,34.66,4.56,79.27,0.67,1.86,47.91,1.0,271.92,05-Apr-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
05-Apr-2020 - 00:00,12.67,1.77,7.88,30.94,54.2,0.33,52.15,16.48,35.46,2.69,43.3,0.34,0.82,39.09,0.95,111.56,06-Apr-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
06-Apr-2020 - 00:00,12.43,1.53,7.72,22.38,57.36,0.42,53.7,18.09,67.5,4.73,49.13,0.46,1.23,41.1,1.35,196.58,07-Apr-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
07-Apr-2020 - 00:00,10.01,1.16,6.16,19.64,65.46,0.36,51.27,26.66,62.91,2.97,61.28,0.39,0.9,49.93,1.76,226.21,08-Apr-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
08-Apr-2020 - 00:00,10.15,1.16,6.22,16.1,68.9,0.35,55.46,24.01,55.2,3.44,61.66,0.39,0.91,43.76,1.68,296.4,09-Apr-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
09-Apr-2020 - 00:00,12.24,1.34,7.46,15.82,70.9,0.41,66.12,29.42,57.66,4.11,65.0,0.44,1.12,40.47,1.07,218.57,10-Apr-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
10-Apr-2020 - 00:00,15.63,1.58,9.44,17.91,61.12,0.47,57.6,32.46,62.33,4.4,72.76,0.72,2.02,37.65,0.67,190.36,11-Apr-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
11-Apr-2020 - 00:00,12.08,1.23,7.27,18.82,68.2,0.43,60.24,31.0,68.48,4.12,74.6,0.51,1.3,39.15,1.01,248.55,12-Apr-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
12-Apr-2020 - 00:00,12.83,1.17,7.64,16.43,7.45,0.41,65.59,31.01,71.76,4.83,72.4,0.47,1.18,37.43,1.22,272.12,13-Apr-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
13-Apr-2020 - 00:00,15.51,1.47,9.28,18.28,17.11,0.52,60.32,38.16,91.65,5.44,78.58,0.66,1.89,36.08,0.94,273.34,14-Apr-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
14-Apr-2020 - 00:00,18.22,1.37,10.62,17.64,16.05,0.53,60.75,43.47,118.34,5.77,81.75,1.02,2.75,30.5,0.93,178.36,15-Apr-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
15-Apr-2020 - 00:00,17.95,1.53,10.6,16.78,14.29,0.45,54.0,51.5,191.62,4.76,86.52,1.07,2.98,20.66,1.08,232.8,16-Apr-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
16-Apr-2020 - 00:00,12.83,1.24,7.69,17.33,15.87,0.41,56.39,23.16,96.23,5.02,89.9,0.6,1.64,45.72,1.43,295.96,17-Apr-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
17-Apr-2020 - 00:00,10.25,1.1,6.24,11.18,14.03,0.26,61.25,18.73,99.65,2.48,47.85,0.21,0.49,24.76,1.44,97.35,18-Apr-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
18-Apr-2020 - 00:00,10.42,1.19,6.36,11.7,11.94,0.34,60.29,24.08,107.43,3.03,57.27,0.28,0.65,40.79,1.45,126.86,19-Apr-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
19-Apr-2020 - 00:00,13.76,1.43,8.33,16.02,7.69,0.43,60.85,17.79,56.84,4.45,80.29,0.55,1.52,47.03,1.0,275.43,20-Apr-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
20-Apr-2020 - 00:00,14.82,1.18,8.68,13.96,6.63,0.38,62.41,17.16,97.47,4.29,82.22,0.68,1.92,44.11,1.58,214.18,21-Apr-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
21-Apr-2020 - 00:00,16.4,1.66,9.95,16.74,13.89,0.4,62.33,17.2,66.81,3.93,62.58,1.77,2.75,45.86,1.02,212.79,22-Apr-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
22-Apr-2020 - 00:00,19.78,1.32,11.37,21.64,27.15,0.36,68.46,24.4,90.02,4.12,66.63,0.6,1.69,31.66,0.75,188.87,23-Apr-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
23-Apr-2020 - 00:00,24.56,1.32,13.88,20.87,18.4,0.42,55.62,28.01,141.8,7.66,108.94,1.25,3.51,38.27,0.96,190.53,24-Apr-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
24-Apr-2020 - 00:00,16.95,1.19,9.81,20.78,16.71,0.22,71.37,19.9,100.18,4.34,103.88,0.94,2.72,26.52,1.02,176.41,25-Apr-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
25-Apr-2020 - 00:00,21.83,1.36,12.18,25.32,19.83,0.33,66.91,20.51,75.28,4.06,81.46,0.61,1.61,36.81,0.88,142.78,26-Apr-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
26-Apr-2020 - 00:00,29.22,1.47,16.32,30.92,17.35,0.39,59.12,31.25,166.67,7.0,97.79,0.88,2.26,51.59,1.76,108.84,27-Apr-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
27-Apr-2020 - 00:00,19.54,1.38,11.31,25.59,10.42,0.34,54.25,19.71,63.69,6.85,85.05,0.76,1.97,61.7,1.94,88.53,28-Apr-2020 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
