from date,NO2,NOx,NO,NH3,SO2,Ozone,CO,PM10,PM2.5,Benzene,Toluene,AT,Temp,BP,RH,RF,WS,WD,SR,to date,station
04-Feb-2020 - 00:00,67.84,80.3,54.12,57.34,38.78,51.16,1.91,324.26,213.83,2.51,12.63,15.09,30.34,746.0,56.79,0.0,0.75,179.06,70.73,05-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
05-Feb-2020 - 00:00,55.27,49.97,25.86,53.47,32.99,74.26,1.34,261.6,159.97,1.66,11.81,15.7,30.8,746.0,55.51,0.0,3.08,273.86,87.68,06-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
06-Feb-2020 - 00:00,46.37,39.66,18.12,45.31,20.12,32.1,1.05,207.28,142.36,1.66,18.72,13.18,28.95,745.94,65.25,0.0,1.78,231.08,89.33,07-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
07-Feb-2020 - 00:00,44.83,27.94,5.36,46.26,34.22,90.07,1.47,188.75,105.58,1.03,5.96,16.15,29.6,746.0,51.75,0.0,3.02,257.3,46.08,08-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
08-Feb-2020 - 00:00,57.82,47.82,20.88,49.34,32.22,66.64,1.25,226.79,135.66,1.58,14.49,15.15,30.07,746.0,59.07,0.0,2.92,275.59,68.27,09-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
09-Feb-2020 - 00:00,69.88,58.01,25.56,47.96,35.54,39.51,2.0,237.02,147.84,1.63,11.0,15.64,30.32,745.47,56.9,0.0,1.89,281.97,71.11,10-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
10-Feb-2020 - 00:00,80.18,80.08,45.94,49.55,33.62,37.34,1.86,284.15,174.46,1.83,9.41,15.73,29.57,745.03,56.21,0.0,1.78,227.88,68.16,11-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
11-Feb-2020 - 00:00,77.86,77.65,44.48,50.27,33.51,41.4,2.0,280.05,175.48,1.7,12.94,16.02,27.77,745.27,54.68,0.0,1.21,272.85,70.24,12-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
12-Feb-2020 - 00:00,66.64,56.09,25.86,49.6,33.01,57.33,1.96,307.1,176.08,1.83,19.58,16.91,27.7,745.58,56.95,0.0,2.29,278.41,65.04,13-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
13-Feb-2020 - 00:00,50.85,32.94,7.13,49.67,31.71,55.07,1.36,225.74,92.65,1.08,9.77,19.23,29.57,745.82,52.43,0.0,3.9,284.2,75.08,14-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
14-Feb-2020 - 00:00,34.14,20.83,3.32,43.24,20.29,84.87,0.86,188.99,57.6,0.68,6.78,18.64,30.14,745.66,50.12,0.0,5.67,279.97,78.82,15-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
15-Feb-2020 - 00:00,59.66,41.79,12.23,42.81,26.15,62.08,1.57,199.49,86.79,1.09,9.3,17.77,30.79,745.41,48.76,0.0,3.17,298.33,79.79,16-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
16-Feb-2020 - 00:00,78.53,65.35,28.86,52.61,43.97,88.8,1.39,232.8,124.58,1.63,12.97,18.15,31.94,745.53,50.98,0.0,2.81,269.77,79.04,17-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
17-Feb-2020 - 00:00,86.07,64.42,22.81,50.88,45.84,63.63,1.34,251.2,138.19,1.78,17.98,18.94,32.08,745.46,49.32,0.0,2.95,273.96,77.99,18-Feb-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
