from date,PM10,PM2.5,AT,BP,SR,RH,WD,RF,NO,NOx,NO2,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,to date,station
12-Mar-2020 - 00:00,115.85,52.61,20.56,989.46,166.63,59.32,158.93,,2.86,19.91,33.06,22.72,12.57,0.82,22.4,0.16,1.5,0.04,13-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
13-Mar-2020 - 00:00,229.21,91.91,19.94,991.4,175.67,56.31,163.6,,15.96,32.71,37.01,18.17,15.25,0.95,23.74,0.49,2.38,0.09,14-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
14-Mar-2020 - 00:00,54.18,34.34,17.1,992.89,106.97,68.05,165.88,1.39,2.83,14.18,22.46,16.94,13.09,0.85,18.9,0.13,1.27,0.01,15-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
15-Mar-2020 - 00:00,89.03,51.72,17.07,994.61,182.66,64.16,169.64,,9.78,21.78,26.52,17.04,11.79,0.79,21.27,0.23,1.95,0.01,16-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
16-Mar-2020 - 00:00,121.14,59.72,16.14,994.25,94.91,68.53,288.31,,3.6,21.57,35.14,19.95,15.51,0.86,12.28,0.14,3.68,0.01,17-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
17-Mar-2020 - 00:00,125.46,50.72,20.78,993.9,232.14,58.61,292.67,,7.65,30.8,46.17,27.47,14.12,0.89,22.63,0.21,2.8,0.01,18-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
18-Mar-2020 - 00:00,132.83,50.35,24.23,991.13,233.71,53.2,297.99,,9.69,30.29,44.77,27.29,15.38,0.99,34.76,0.32,2.94,0.31,19-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
19-Mar-2020 - 00:00,209.77,92.15,21.72,989.25,180.2,62.19,199.08,,17.9,36.6,41.39,30.64,19.63,0.96,37.27,0.61,5.13,0.58,20-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
20-Mar-2020 - 00:00,180.44,85.28,23.0,988.24,174.13,57.78,92.48,,9.88,32.08,45.19,24.57,18.6,1.09,41.06,0.65,5.71,0.33,21-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
21-Mar-2020 - 00:00,254.49,115.19,23.14,988.67,136.85,58.49,173.89,,15.62,41.16,53.42,27.93,28.48,1.07,37.18,1.0,16.65,1.57,22-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
22-Mar-2020 - 00:00,132.77,80.29,22.25,990.57,189.51,59.61,171.93,,3.18,20.73,34.11,25.48,14.04,0.93,30.28,0.6,2.63,0.17,23-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
23-Mar-2020 - 00:00,91.98,52.47,23.01,989.97,190.48,55.59,147.43,,3.18,20.28,33.25,21.74,15.91,0.85,29.67,0.31,1.5,0.07,24-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
24-Mar-2020 - 00:00,95.18,56.14,23.21,988.59,145.46,58.23,154.95,0.5,3.02,21.11,35.05,22.23,15.81,0.81,29.75,0.5,1.34,0.05,25-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
25-Mar-2020 - 00:00,71.72,37.62,24.17,989.05,195.11,57.6,205.42,,2.94,18.84,30.91,21.47,11.58,0.92,26.97,0.26,1.21,0.03,26-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
26-Mar-2020 - 00:00,90.04,48.83,23.67,990.38,123.73,58.74,293.62,,2.76,17.49,28.65,23.42,15.64,0.66,22.6,0.22,1.15,0.0,27-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
27-Mar-2020 - 00:00,40.51,22.51,20.88,992.1,101.89,64.44,180.03,2.0,2.96,17.43,28.23,17.87,10.56,0.63,20.74,0.07,0.86,0.0,28-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
28-Mar-2020 - 00:00,34.13,16.44,21.17,992.55,223.03,63.52,253.32,0.5,2.94,17.94,29.2,15.48,10.5,0.65,20.26,0.05,0.68,0.01,29-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
29-Mar-2020 - 00:00,60.75,21.32,22.8,990.37,222.09,56.17,295.58,,2.52,17.23,28.51,15.64,9.86,0.48,29.95,0.01,0.71,0.0,30-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
30-Mar-2020 - 00:00,80.21,32.06,22.17,990.39,218.57,55.4,303.56,,2.68,18.8,31.23,17.51,11.22,0.63,31.67,0.03,0.93,0.0,31-Mar-2020 - 00:00,"Alipur, Delhi - DPCC"
31-Mar-2020 - 00:00,73.88,28.5,23.47,989.2,186.4,53.21,246.58,,2.76,18.12,29.85,16.78,12.41,0.59,32.64,0.05,0.86,0.0,01-Apr-2020 - 00:00,"Alipur, Delhi - DPCC"
01-Apr-2020 - 00:00,77.25,31.06,24.28,988.37,208.29,53.13,222.08,,2.88,18.39,30.16,17.52,14.2,0.74,28.55,0.08,0.7,0.0,02-Apr-2020 - 00:00,"Alipur, Delhi - DPCC"
02-Apr-2020 - 00:00,66.81,24.54,23.91,988.7,224.02,51.06,248.43,,2.68,17.77,29.29,16.47,11.48,0.66,33.27,0.01,0.61,0.01,03-Apr-2020 - 00:00,"Alipur, Delhi - DPCC"
03-Apr-2020 - 00:00,82.56,29.85,22.45,989.87,224.48,46.7,298.97,,2.63,19.22,32.1,15.93,12.03,0.91,40.46,0.07,0.92,0.03,04-Apr-2020 - 00:00,"Alipur, Delhi - DPCC"
04-Apr-2020 - 00:00,104.81,44.12,23.17,989.84,225.63,49.8,288.16,,3.4,22.46,36.95,17.74,15.11,0.66,34.09,0.24,1.28,0.01,05-Apr-2020 - 00:00,"Alipur, Delhi - DPCC"
05-Apr-2020 - 00:00,125.81,62.33,24.13,990.51,203.21,51.87,184.06,0.0,3.55,22.53,36.88,21.49,13.26,0.6,34.91,0.39,1.84,0.0,06-Apr-2020 - 00:00,"Alipur, Delhi - DPCC"
06-Apr-2020 - 00:00,145.73,68.42,26.97,989.3,216.06,46.66,172.38,0.0,3.2,21.68,35.85,22.87,16.25,0.91,33.82,0.52,1.29,0.0,07-Apr-2020 - 00:00,"Alipur, Delhi - DPCC"
07-Apr-2020 - 00:00,108.98,27.33,25.36,987.4,201.17,47.22,240.36,0.0,2.59,18.84,31.46,20.22,10.27,0.78,35.43,0.08,0.75,0.0,08-Apr-2020 - 00:00,"Alipur, Delhi - DPCC"
08-Apr-2020 - 00:00,88.88,27.31,25.64,988.05,244.46,42.36,269.08,,2.55,18.2,30.3,17.61,13.09,0.71,39.16,0.04,0.67,0.0,09-Apr-2020 - 00:00,"Alipur, Delhi - DPCC"
09-Apr-2020 - 00:00,97.69,35.77,24.7,988.4,204.01,45.75,303.63,,2.69,20.77,34.96,18.49,14.73,0.83,39.9,0.14,1.01,0.01,10-Apr-2020 - 00:00,"Alipur, Delhi - DPCC"
10-Apr-2020 - 00:00,135.06,51.29,26.88,989.26,215.18,43.19,305.84,,4.19,24.24,39.15,20.19,15.3,0.83,34.29,0.33,1.98,0.01,11-Apr-2020 - 00:00,"Alipur, Delhi - DPCC"
11-Apr-2020 - 00:00,136.83,49.1,28.66,990.22,190.36,42.17,202.37,,3.24,20.31,32.88,21.4,18.84,0.81,41.92,0.34,1.05,0.06,12-Apr-2020 - 00:00,"Alipur, Delhi - DPCC"
12-Apr-2020 - 00:00,105.98,33.24,28.54,988.01,214.41,40.9,281.76,,2.57,17.68,29.28,18.87,17.98,0.7,43.05,0.13,1.23,0.0,13-Apr-2020 - 00:00,"Alipur, Delhi - DPCC"
13-Apr-2020 - 00:00,166.4,59.08,29.74,985.98,209.33,41.08,305.09,,2.88,20.6,34.32,21.33,21.66,0.85,35.63,0.31,2.15,0.02,14-Apr-2020 - 00:00,"Alipur, Delhi - DPCC"
14-Apr-2020 - 00:00,222.0,73.76,31.07,986.39,181.2,40.82,203.76,,4.83,21.86,33.69,25.67,18.93,0.86,45.76,0.61,2.57,0.1,15-Apr-2020 - 00:00,"Alipur, Delhi - DPCC"
15-Apr-2020 - 00:00,257.15,75.19,31.06,986.04,189.62,37.85,161.55,,3.02,17.94,29.09,24.54,19.14,0.74,43.67,0.94,1.97,0.04,16-Apr-2020 - 00:00,"Alipur, Delhi - DPCC"
16-Apr-2020 - 00:00,228.91,69.34,30.53,984.9,190.23,36.49,263.38,,4.53,19.07,28.92,23.92,21.93,0.94,48.9,0.51,1.96,0.05,17-Apr-2020 - 00:00,"Alipur, Delhi - DPCC"
17-Apr-2020 - 00:00,106.84,22.93,30.83,984.46,183.44,34.72,168.16,,2.4,11.44,17.81,20.8,15.33,0.6,61.33,0.12,1.04,0.0,18-Apr-2020 - 00:00,"Alipur, Delhi - DPCC"
18-Apr-2020 - 00:00,115.89,23.15,28.3,986.38,152.59,42.43,123.63,,2.37,10.41,16.16,19.64,13.38,0.71,58.32,0.13,0.61,0.0,19-Apr-2020 - 00:00,"Alipur, Delhi - DPCC"
19-Apr-2020 - 00:00,97.3,30.08,27.42,985.9,211.69,44.09,243.05,,2.6,12.52,19.54,19.44,15.32,0.7,51.17,0.07,0.89,0.0,20-Apr-2020 - 00:00,"Alipur, Delhi - DPCC"
20-Apr-2020 - 00:00,159.54,61.01,26.0,986.75,144.86,46.11,174.22,,4.92,18.41,27.06,21.59,14.31,0.92,39.55,0.4,1.16,0.02,21-Apr-2020 - 00:00,"Alipur, Delhi - DPCC"
21-Apr-2020 - 00:00,121.05,42.09,26.57,987.09,196.87,46.13,228.61,,2.88,14.46,22.74,19.54,16.26,0.92,51.38,0.22,0.88,0.0,22-Apr-2020 - 00:00,"Alipur, Delhi - DPCC"
22-Apr-2020 - 00:00,190.56,57.57,27.89,985.64,214.87,41.03,238.68,,8.41,20.44,25.52,19.06,15.44,0.78,54.06,0.29,1.36,0.04,23-Apr-2020 - 00:00,"Alipur, Delhi - DPCC"
23-Apr-2020 - 00:00,175.22,63.84,27.97,984.73,100.63,40.58,210.52,,2.64,15.48,25.02,21.12,18.23,0.92,48.81,0.67,1.5,0.04,24-Apr-2020 - 00:00,"Alipur, Delhi - DPCC"
24-Apr-2020 - 00:00,199.25,81.58,28.99,983.25,201.24,43.41,151.01,,3.12,17.12,27.64,24.57,17.49,0.94,62.23,0.91,2.05,0.21,25-Apr-2020 - 00:00,"Alipur, Delhi - DPCC"
25-Apr-2020 - 00:00,124.81,30.04,29.95,983.6,180.71,39.05,204.34,,2.47,12.85,20.35,19.94,12.16,0.62,61.74,0.16,1.07,0.0,26-Apr-2020 - 00:00,"Alipur, Delhi - DPCC"
26-Apr-2020 - 00:00,154.27,49.89,25.64,986.4,158.19,50.04,154.83,,2.44,11.78,18.2,22.27,17.81,0.62,51.42,0.61,0.71,0.01,27-Apr-2020 - 00:00,"Alipur, Delhi - DPCC"
27-Apr-2020 - 00:00,68.38,33.51,26.04,989.33,199.79,53.96,177.28,,2.44,10.69,16.35,21.5,13.97,0.79,57.81,0.36,0.51,0.0,28-Apr-2020 - 00:00,"Alipur, Delhi - DPCC"
