from date,AT,BP,PM2.5,PM10,RF,RH,SR,Temp,VWS,WD,WS,Benzene,Eth-Benzene,MP-Xylene,Xylene,Toluene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
12-Oct-2020 - 00:00,20.31,744.33,8.16,12.39,0.63,87.55,154.94,,-0.02,250.9,2.28,0.49,1.22,0.61,1.63,5.02,0.54,13.94,2.63,11.03,8.0,20.39,7.69,13-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
13-Oct-2020 - 00:00,23.73,741.16,9.75,19.31,0.56,85.14,173.14,,0.03,161.12,4.47,0.23,4.12,0.88,0.4,5.89,0.71,9.62,2.19,11.06,7.67,28.97,3.44,14-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
14-Oct-2020 - 00:00,22.4,745.65,12.83,18.15,0.03,86.09,145.13,,0.02,132.92,1.64,0.4,5.08,1.16,1.28,8.12,0.68,7.45,2.02,15.02,9.64,30.71,5.01,15-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
15-Oct-2020 - 00:00,23.74,747.64,20.34,39.68,0.1,84.68,155.8,,0.02,120.33,1.26,0.35,9.8,2.69,0.72,12.38,0.99,7.2,4.9,21.38,15.36,25.12,5.36,16-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
16-Oct-2020 - 00:00,25.53,748.02,14.16,27.95,0.07,80.01,203.66,,-0.01,188.79,1.89,0.2,2.46,0.5,0.43,4.76,0.59,6.65,2.15,10.78,7.49,41.57,8.22,17-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
17-Oct-2020 - 00:00,25.7,749.1,10.57,23.62,0.06,78.72,205.7,,0.02,157.3,1.53,0.2,2.9,0.59,0.5,5.26,0.65,6.99,2.13,10.56,7.35,35.13,6.64,18-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
18-Oct-2020 - 00:00,26.98,749.65,8.94,24.16,0.0,74.64,200.94,,-0.01,234.3,2.2,0.19,1.28,0.26,0.47,3.44,0.52,7.04,1.98,6.88,5.28,35.35,6.56,19-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
19-Oct-2020 - 00:00,24.82,748.89,10.97,25.1,0.28,80.63,161.46,,-0.01,204.37,1.81,0.15,2.01,0.38,0.29,3.68,0.58,8.18,2.04,9.68,6.81,32.76,7.25,20-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
20-Oct-2020 - 00:00,24.9,748.93,11.56,32.4,0.05,81.51,173.21,,0.01,200.89,1.23,0.26,4.95,1.39,0.88,8.01,0.77,8.13,3.15,12.8,9.37,26.27,7.8,21-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
21-Oct-2020 - 00:00,25.25,748.7,11.6,39.9,0.0,83.29,157.05,,0.06,219.55,1.35,0.15,4.9,1.08,0.22,6.99,0.76,8.13,2.45,12.36,8.57,18.01,6.53,22-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
22-Oct-2020 - 00:00,27.33,747.16,49.0,111.07,0.0,72.08,173.03,,-0.01,279.96,2.36,0.3,2.25,0.46,0.45,5.14,0.82,12.79,1.91,11.76,7.82,57.91,14.05,23-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
23-Oct-2020 - 00:00,27.48,748.05,64.55,133.55,0.0,68.5,174.98,,-0.01,244.13,1.98,0.39,2.53,0.56,0.54,5.37,0.84,13.37,1.74,13.72,8.72,66.59,13.9,24-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
24-Oct-2020 - 00:00,26.75,750.63,64.5,125.15,0.0,69.09,181.78,,0.01,185.99,1.95,0.57,2.48,0.75,1.24,6.46,0.93,12.91,1.66,14.7,9.17,72.14,11.94,25-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
25-Oct-2020 - 00:00,27.72,752.78,61.49,122.47,0.18,62.86,203.9,,0.0,153.19,1.86,0.82,1.62,1.09,2.75,8.35,0.83,14.67,1.74,17.62,10.78,70.29,11.92,26-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
26-Oct-2020 - 00:00,26.17,753.79,55.64,115.22,0.05,66.85,192.73,,0.01,161.44,2.09,0.77,1.29,0.5,1.38,5.88,0.79,14.09,1.6,15.72,9.67,83.57,12.88,27-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
27-Oct-2020 - 00:00,26.9,753.23,48.91,106.93,0.0,63.59,177.93,,0.02,159.33,1.96,1.05,1.55,1.14,2.9,7.99,0.81,13.79,1.83,18.32,11.23,80.45,13.8,28-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
28-Oct-2020 - 00:00,25.97,754.17,46.91,110.79,0.0,59.17,170.05,,0.0,152.1,1.75,1.22,2.31,1.37,3.46,9.66,1.0,12.26,1.86,22.37,13.41,79.95,14.51,29-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
29-Oct-2020 - 00:00,26.19,754.2,44.23,119.26,0.0,57.04,190.36,,0.07,187.51,1.92,1.1,1.45,0.97,2.79,7.96,0.86,12.74,1.84,21.77,13.08,87.9,14.97,30-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
30-Oct-2020 - 00:00,24.76,753.39,53.78,127.96,0.0,58.7,181.16,,0.02,183.3,2.17,1.32,2.08,1.15,2.91,8.85,0.94,15.74,2.04,22.15,13.44,88.24,15.93,31-Oct-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
31-Oct-2020 - 00:00,25.84,753.54,60.77,137.57,0.0,59.77,190.14,,0.0,177.97,1.85,1.19,1.72,1.11,2.65,7.64,0.91,16.88,1.76,21.09,12.64,94.27,14.72,01-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
01-Nov-2020 - 00:00,27.45,753.91,67.64,137.55,0.0,59.85,189.31,,0.0,189.36,1.93,1.1,1.61,0.79,2.1,6.86,0.93,19.23,1.46,17.7,10.61,100.52,15.6,02-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
02-Nov-2020 - 00:00,27.35,754.92,66.5,128.07,0.0,65.09,158.67,,0.01,166.21,1.71,0.77,1.12,0.49,1.55,5.57,0.88,18.41,1.45,17.2,10.34,91.23,12.6,03-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
03-Nov-2020 - 00:00,26.75,755.11,39.86,83.14,0.0,68.85,174.68,,0.02,153.51,2.3,0.67,1.05,0.42,1.28,6.33,0.79,15.3,1.58,12.76,8.08,76.8,11.1,04-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
04-Nov-2020 - 00:00,25.62,754.92,38.99,76.89,0.03,74.04,192.49,,-0.01,223.65,2.14,0.55,0.97,0.27,0.75,5.22,0.67,14.14,1.85,12.91,8.38,59.96,10.74,05-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
05-Nov-2020 - 00:00,26.22,755.6,38.43,77.56,0.0,72.16,163.64,,0.03,139.54,2.49,0.36,0.95,0.31,0.87,3.95,0.69,13.28,1.7,10.66,7.06,68.59,7.78,06-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
06-Nov-2020 - 00:00,26.12,757.36,57.92,100.78,0.0,72.21,172.73,,0.06,103.59,3.3,0.66,1.14,0.41,1.15,5.13,0.81,13.83,1.56,12.57,7.95,89.83,9.31,07-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
07-Nov-2020 - 00:00,25.93,758.11,66.9,126.35,0.0,68.42,186.02,,0.04,126.7,2.75,0.9,1.24,0.56,1.72,7.1,1.07,13.57,1.44,15.05,9.18,110.81,12.85,08-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
08-Nov-2020 - 00:00,25.44,758.08,66.51,126.9,0.0,59.76,184.55,,0.04,127.48,2.4,0.8,0.76,0.32,1.18,4.7,0.7,13.37,1.73,13.8,8.76,117.46,16.37,09-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
09-Nov-2020 - 00:00,22.96,757.1,59.13,122.82,0.0,56.3,196.38,,-0.02,203.8,2.18,1.0,1.68,0.67,1.88,5.98,0.76,10.61,1.92,20.14,12.27,107.22,17.04,10-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
10-Nov-2020 - 00:00,22.61,755.19,50.55,102.52,0.0,59.58,191.36,,0.01,149.2,2.17,1.06,1.04,0.8,2.02,6.22,0.81,11.27,1.84,17.54,10.82,97.38,12.8,11-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
11-Nov-2020 - 00:00,23.01,755.31,16.8,48.79,0.02,73.47,190.36,,0.04,135.24,3.26,0.53,0.89,0.28,0.91,3.69,0.66,9.46,2.1,12.0,8.09,44.97,7.58,12-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
12-Nov-2020 - 00:00,23.25,757.1,10.06,28.47,0.01,77.23,179.26,,0.06,109.24,3.6,0.49,1.18,0.41,1.16,5.01,0.69,10.54,2.28,13.7,9.13,42.09,7.35,13-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
13-Nov-2020 - 00:00,25.71,756.24,18.35,61.39,0.0,57.89,182.95,,0.06,128.14,3.41,0.75,0.78,0.39,1.45,5.67,0.66,9.95,1.82,15.34,9.64,78.56,14.48,14-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
14-Nov-2020 - 00:00,24.85,755.43,52.61,107.45,0.0,57.77,185.59,,0.04,135.52,3.06,0.91,0.74,0.3,0.98,5.32,0.67,10.47,1.76,17.14,10.55,95.65,26.73,15-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
15-Nov-2020 - 00:00,25.29,755.48,41.12,86.39,0.0,58.98,189.44,,0.04,104.79,3.0,0.71,0.56,0.23,0.84,4.61,0.66,10.71,1.55,13.02,8.19,102.32,14.38,16-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
16-Nov-2020 - 00:00,25.42,756.01,40.79,85.42,0.0,61.85,171.94,,0.07,95.53,3.47,0.8,1.07,0.45,1.64,5.15,0.65,10.4,1.62,15.6,9.63,100.54,11.85,17-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
17-Nov-2020 - 00:00,25.23,755.26,47.21,93.81,0.0,60.46,163.68,,0.05,108.69,3.06,0.95,1.24,0.65,2.06,6.8,0.71,10.89,1.69,17.15,10.49,91.81,12.36,18-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
18-Nov-2020 - 00:00,25.19,755.61,57.51,105.05,0.0,68.59,183.72,,0.04,134.82,2.58,0.91,1.11,0.48,1.38,6.53,0.71,11.21,1.76,15.53,9.7,73.05,11.43,19-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
19-Nov-2020 - 00:00,25.83,755.49,43.83,85.81,0.0,67.76,185.49,,0.01,142.83,2.19,0.82,1.29,0.59,1.79,6.49,0.73,10.01,1.84,14.39,9.15,48.32,10.31,20-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
20-Nov-2020 - 00:00,25.58,755.66,35.94,80.74,0.0,68.55,186.7,,0.0,170.26,2.01,0.73,1.22,0.55,1.56,5.99,0.7,10.23,2.0,16.6,10.46,47.77,8.26,21-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
21-Nov-2020 - 00:00,26.18,755.55,33.8,76.22,0.0,68.39,186.9,,0.01,233.15,2.27,0.63,1.15,0.47,1.15,4.97,0.76,12.34,1.98,15.08,9.63,40.58,11.02,22-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
22-Nov-2020 - 00:00,26.39,756.35,32.43,72.73,0.0,65.53,179.69,,0.03,130.93,2.37,0.48,0.9,0.27,0.71,4.09,0.64,12.39,1.72,14.93,9.33,48.65,9.5,23-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
23-Nov-2020 - 00:00,24.31,756.82,60.95,104.8,0.0,70.41,178.08,,0.06,99.72,3.16,0.86,1.0,0.54,1.29,5.28,0.64,13.41,1.55,14.46,8.95,64.63,12.74,24-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
24-Nov-2020 - 00:00,23.74,756.11,65.79,119.12,0.0,61.69,186.32,,0.05,101.07,3.26,1.02,0.89,0.39,1.31,6.24,0.86,12.59,1.67,16.78,10.28,86.41,17.87,25-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
25-Nov-2020 - 00:00,22.86,755.12,47.82,104.99,0.01,56.21,176.08,,0.05,100.02,3.55,0.96,1.07,0.45,1.38,5.67,0.77,9.88,1.6,16.61,10.14,75.43,12.48,26-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
26-Nov-2020 - 00:00,17.62,755.45,23.5,31.11,0.6,87.67,137.99,,0.06,91.84,4.34,0.48,0.21,0.07,0.3,1.63,0.54,7.61,1.41,10.26,6.6,54.96,5.5,27-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
27-Nov-2020 - 00:00,17.55,756.11,9.64,14.12,0.1,85.31,168.96,,0.05,95.88,3.94,0.92,0.65,0.21,0.69,2.71,0.49,7.28,1.59,9.21,6.19,45.38,5.06,28-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
28-Nov-2020 - 00:00,20.72,758.18,24.95,54.7,0.01,71.2,177.91,,0.04,108.91,2.51,1.23,1.66,0.94,2.8,8.0,0.68,6.77,1.99,18.26,11.28,53.71,8.21,29-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
29-Nov-2020 - 00:00,24.04,758.04,37.35,86.88,0.0,55.76,187.42,,0.05,108.03,2.8,1.02,0.84,0.42,1.48,6.16,0.7,7.55,1.66,17.61,10.72,70.37,13.32,30-Nov-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
30-Nov-2020 - 00:00,22.77,757.95,47.05,106.29,0.0,58.29,188.42,,0.03,148.79,2.42,1.11,1.14,0.58,1.98,7.16,0.74,8.45,2.0,20.1,12.31,76.21,12.88,01-Dec-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
01-Dec-2020 - 00:00,20.3,758.5,59.0,121.0,0.0,74.5,4.0,,0.01,104.0,1.35,0.9,0.75,0.15,0.35,3.7,0.43,8.6,1.65,11.9,7.65,81.35,12.9,02-Dec-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
