from date,AT,BP,PM2.5,PM10,RF,RH,SR,Temp,VWS,WD,WS,Benzene,Eth-Benzene,MP-Xylene,Xylene,Toluene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jul-2020 - 00:00,27.13,746.35,11.91,28.05,0.0,77.77,202.19,,0.0,194.02,2.19,0.07,1.79,0.22,0.03,3.27,0.58,6.13,1.76,11.38,7.48,32.06,2.91,02-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
02-Jul-2020 - 00:00,27.39,744.66,12.38,33.72,0.01,74.69,207.71,,-0.01,213.15,2.2,0.09,1.08,0.16,0.06,2.96,0.58,5.48,1.69,12.07,7.8,32.33,3.31,03-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
03-Jul-2020 - 00:00,28.89,743.79,9.36,29.15,0.01,74.09,204.21,,-0.03,244.82,3.27,0.05,0.65,0.06,0.03,2.31,0.53,5.59,1.8,11.18,7.4,33.53,3.21,04-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
04-Jul-2020 - 00:00,26.67,743.88,7.19,16.32,0.17,79.33,188.35,,-0.02,234.52,3.06,0.06,0.83,0.1,0.04,1.83,0.53,6.26,1.62,8.41,5.8,34.16,2.86,05-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
05-Jul-2020 - 00:00,25.86,744.17,6.47,17.41,0.1,82.61,191.2,,-0.07,250.83,4.28,0.01,0.13,0.0,0.0,0.36,0.35,5.71,1.39,5.54,4.07,25.45,3.41,06-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
06-Jul-2020 - 00:00,24.86,744.75,12.76,31.18,0.08,84.7,193.08,,0.02,238.34,3.13,0.08,0.84,0.12,0.09,1.9,0.62,6.49,2.09,9.65,6.81,24.12,3.16,07-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
07-Jul-2020 - 00:00,28.68,746.76,14.79,50.08,0.0,72.74,264.39,,-0.0,199.79,2.14,0.09,1.35,0.2,0.08,3.12,0.71,7.43,2.37,11.41,8.0,30.08,3.96,08-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
08-Jul-2020 - 00:00,30.97,747.72,12.59,33.3,0.0,62.35,232.89,,0.01,194.69,2.38,0.21,1.96,0.33,0.22,3.95,0.65,8.59,1.73,12.64,8.13,39.05,3.44,09-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
09-Jul-2020 - 00:00,26.11,747.32,6.15,18.72,0.44,76.96,195.91,,-0.03,239.71,3.2,0.13,0.6,0.09,0.17,1.78,0.54,9.66,1.85,8.31,5.92,30.8,2.87,10-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
10-Jul-2020 - 00:00,25.61,747.71,7.24,19.55,0.12,75.71,195.95,,-0.03,251.35,2.88,0.18,0.28,0.07,0.21,1.79,0.41,8.38,1.67,9.42,6.36,34.3,3.61,11-Jul-2020 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
