from date,Ozone,NO,NO2,NOx,SO2,Benzene,Toluene,WS,RH,BP,WD,SR,PM2.5,PM10,Temp,RF,AP,CO,to date,station
05-May-2020 - 00:00,10.73,5.37,4.43,7.0,12.37,1.26,2.51,0.42,,,103.82,,11.67,18.67,34.63,0.75,112.54,1.0,06-May-2020 - 00:00,"Karve Road, Pune - MPCB"
06-May-2020 - 00:00,10.58,5.29,4.37,6.9,12.19,1.22,2.43,0.42,,,137.28,,11.5,18.4,26.45,0.73,118.36,0.97,07-May-2020 - 00:00,"Karve Road, Pune - MPCB"
07-May-2020 - 00:00,10.58,233.28,192.71,6.9,12.18,1.2,2.4,0.42,,,117.1,,507.12,18.4,28.89,0.72,148.89,0.96,08-May-2020 - 00:00,"Karve Road, Pune - MPCB"
08-May-2020 - 00:00,24.47,198.42,163.91,15.43,28.19,1.23,2.45,0.42,,,134.83,,431.35,42.55,31.78,0.74,146.46,0.98,09-May-2020 - 00:00,"Karve Road, Pune - MPCB"
09-May-2020 - 00:00,23.33,11.66,9.63,15.21,26.88,1.25,2.51,0.42,,,68.77,,25.35,40.57,34.01,0.75,137.37,1.0,10-May-2020 - 00:00,"Karve Road, Pune - MPCB"
10-May-2020 - 00:00,20.99,10.49,8.67,13.69,24.18,1.29,2.58,0.42,,,89.49,,22.81,36.5,30.47,0.78,131.62,1.03,11-May-2020 - 00:00,"Karve Road, Pune - MPCB"
11-May-2020 - 00:00,20.4,10.2,8.43,13.31,23.51,1.26,2.53,0.42,,,93.38,,22.18,35.48,43.79,0.76,133.35,1.01,12-May-2020 - 00:00,"Karve Road, Pune - MPCB"
12-May-2020 - 00:00,19.44,9.72,8.03,12.68,22.4,1.29,2.58,0.42,,,84.26,,21.13,33.81,26.2,0.77,135.25,1.03,13-May-2020 - 00:00,"Karve Road, Pune - MPCB"
13-May-2020 - 00:00,22.11,11.06,9.13,14.42,25.48,1.27,2.55,0.42,,,91.72,,24.04,38.46,40.34,0.76,111.36,1.02,14-May-2020 - 00:00,"Karve Road, Pune - MPCB"
14-May-2020 - 00:00,16.8,8.4,6.94,10.95,19.35,1.33,2.66,0.42,,,54.52,0.25,18.26,29.21,39.78,0.8,104.95,1.06,15-May-2020 - 00:00,"Karve Road, Pune - MPCB"
15-May-2020 - 00:00,16.71,26.87,22.2,10.9,19.24,1.33,2.66,0.42,,,133.97,0.25,58.41,29.06,45.87,0.8,115.52,1.06,16-May-2020 - 00:00,"Karve Road, Pune - MPCB"
16-May-2020 - 00:00,22.98,11.49,9.49,14.99,26.47,1.35,2.7,0.42,,,138.87,,24.98,39.96,43.87,0.81,119.27,1.08,17-May-2020 - 00:00,"Karve Road, Pune - MPCB"
17-May-2020 - 00:00,21.93,10.97,9.06,14.31,25.27,1.27,2.54,0.42,,,53.84,,23.84,38.15,33.15,0.76,117.8,1.01,18-May-2020 - 00:00,"Karve Road, Pune - MPCB"
18-May-2020 - 00:00,25.63,12.81,10.59,16.71,29.53,1.3,2.61,0.42,,,122.53,,27.86,44.57,40.28,0.78,117.09,1.04,19-May-2020 - 00:00,"Karve Road, Pune - MPCB"
19-May-2020 - 00:00,20.0,28.74,23.74,13.04,23.03,1.3,2.6,0.42,,,175.83,,62.47,34.77,42.45,0.78,115.9,1.04,20-May-2020 - 00:00,"Karve Road, Pune - MPCB"
20-May-2020 - 00:00,17.43,27.24,22.5,11.37,20.08,1.32,2.63,0.42,,,114.68,,59.22,30.32,36.67,0.79,114.59,1.05,21-May-2020 - 00:00,"Karve Road, Pune - MPCB"
21-May-2020 - 00:00,18.05,9.03,7.46,11.77,20.78,1.37,2.74,0.42,,,143.65,,19.62,31.39,35.09,0.82,115.29,1.09,22-May-2020 - 00:00,"Karve Road, Pune - MPCB"
22-May-2020 - 00:00,18.85,46.23,38.19,12.29,21.69,1.33,2.67,0.42,,,108.64,,100.5,32.78,38.72,0.8,117.61,1.07,23-May-2020 - 00:00,"Karve Road, Pune - MPCB"
23-May-2020 - 00:00,20.86,10.43,8.62,13.6,24.03,1.37,2.75,0.42,,,91.28,,22.67,36.28,34.99,0.82,115.94,1.1,24-May-2020 - 00:00,"Karve Road, Pune - MPCB"
24-May-2020 - 00:00,22.95,11.47,9.48,14.97,26.44,1.39,2.78,0.42,,,96.94,,24.94,39.91,33.74,0.83,136.22,1.11,25-May-2020 - 00:00,"Karve Road, Pune - MPCB"
25-May-2020 - 00:00,24.68,12.34,10.2,16.1,28.44,1.46,2.92,0.42,,,99.9,,26.83,42.93,34.34,0.88,132.86,1.17,26-May-2020 - 00:00,"Karve Road, Pune - MPCB"
26-May-2020 - 00:00,25.13,12.56,10.38,16.39,28.95,1.39,2.79,0.42,,,118.06,,27.31,43.7,38.42,0.84,118.38,1.12,27-May-2020 - 00:00,"Karve Road, Pune - MPCB"
27-May-2020 - 00:00,23.54,11.77,9.72,15.35,27.12,1.41,2.81,0.42,,,129.31,,25.59,40.94,34.43,0.84,117.63,1.12,28-May-2020 - 00:00,"Karve Road, Pune - MPCB"
28-May-2020 - 00:00,22.43,47.88,39.55,14.63,25.82,1.37,2.74,0.37,,,75.21,,104.09,39.0,39.67,0.82,117.76,1.1,29-May-2020 - 00:00,"Karve Road, Pune - MPCB"
29-May-2020 - 00:00,18.52,28.38,23.44,12.08,21.32,1.35,2.69,0.31,,,130.27,,61.69,32.2,39.85,0.81,117.28,1.08,30-May-2020 - 00:00,"Karve Road, Pune - MPCB"
30-May-2020 - 00:00,16.28,8.14,6.72,10.61,18.75,1.41,2.81,0.28,,,118.76,,17.69,28.31,40.59,0.84,122.09,1.13,31-May-2020 - 00:00,"Karve Road, Pune - MPCB"
31-May-2020 - 00:00,13.25,6.62,5.47,8.64,15.26,1.42,2.85,0.28,,,106.3,0.25,14.4,23.04,42.44,0.85,114.61,1.14,01-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
01-Jun-2020 - 00:00,8.43,4.21,3.48,5.5,9.71,1.52,3.04,0.31,,,86.4,,9.16,14.66,57.27,0.91,101.5,1.22,02-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
02-Jun-2020 - 00:00,7.36,3.68,3.04,4.8,8.48,1.51,3.02,0.32,,,82.69,,8.0,12.79,56.06,0.91,111.58,1.21,03-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
03-Jun-2020 - 00:00,3.12,1.56,1.29,2.04,3.6,1.5,2.99,0.3,,,19.28,0.25,3.39,5.43,,0.9,128.15,1.2,04-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
04-Jun-2020 - 00:00,8.95,23.13,19.1,5.83,10.3,1.51,3.01,0.3,,,54.5,0.25,50.28,15.56,56.6,0.9,123.06,1.21,05-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
05-Jun-2020 - 00:00,13.09,25.4,20.99,8.54,15.09,1.49,2.98,0.32,,,93.93,0.25,55.23,22.77,44.69,0.9,129.88,1.19,06-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
06-Jun-2020 - 00:00,13.34,6.67,5.51,8.7,15.37,1.43,2.86,0.3,,,95.44,,14.5,23.2,51.7,0.86,117.1,1.14,07-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
07-Jun-2020 - 00:00,12.83,6.41,5.3,8.36,14.78,1.41,2.82,0.25,,,120.72,,13.94,22.3,49.82,0.85,125.66,1.13,08-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
08-Jun-2020 - 00:00,9.29,4.65,3.84,6.06,10.71,1.48,2.95,0.25,,,165.21,,10.1,16.16,48.48,0.89,133.6,1.18,09-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
09-Jun-2020 - 00:00,11.46,5.73,4.73,7.47,13.2,1.29,2.58,0.23,,,93.5,,12.46,19.93,45.73,0.7,123.6,0.99,10-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
10-Jun-2020 - 00:00,11.38,5.69,4.7,7.42,13.11,1.18,2.36,0.25,,,164.92,0.25,12.37,19.79,48.97,0.59,123.81,0.88,11-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
11-Jun-2020 - 00:00,8.24,4.12,3.4,5.37,9.49,1.19,2.39,0.28,,,162.62,,8.96,14.33,47.5,0.6,123.98,0.9,12-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
12-Jun-2020 - 00:00,8.19,4.09,3.38,5.34,9.43,1.21,2.43,0.28,,,114.89,,8.9,14.24,50.28,0.61,103.71,0.91,13-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
13-Jun-2020 - 00:00,9.46,4.73,3.91,6.17,10.9,1.25,2.49,0.26,,,85.09,,10.28,16.45,53.26,0.62,118.96,0.93,14-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
14-Jun-2020 - 00:00,5.83,2.92,2.41,3.04,6.72,1.17,2.35,0.24,,,76.03,,6.34,10.14,55.69,0.59,122.21,0.88,15-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
15-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,16-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
16-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,17-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
17-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,18-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
18-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,19-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
19-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,20-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
20-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,21-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
21-Jun-2020 - 00:00,12.67,6.34,5.23,8.26,14.6,1.16,2.32,0.3,,,85.92,,13.77,22.04,55.31,0.58,127.67,0.87,22-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
22-Jun-2020 - 00:00,14.18,7.09,5.86,9.25,16.34,1.18,2.36,0.27,,,109.17,,15.42,24.67,49.38,0.59,135.98,0.88,23-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
23-Jun-2020 - 00:00,14.63,7.32,6.04,9.54,16.86,1.26,2.52,0.25,,,118.37,,15.91,25.45,49.42,0.63,153.39,0.95,24-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
24-Jun-2020 - 00:00,9.29,4.88,20.98,6.16,11.04,1.25,2.49,0.28,,,73.26,,50.42,15.66,44.84,0.62,142.52,1.27,25-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
25-Jun-2020 - 00:00,9.21,5.07,3.95,6.0,11.27,1.3,2.59,0.3,,,57.0,,9.4,15.03,43.94,0.65,141.69,1.62,26-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
26-Jun-2020 - 00:00,9.64,5.89,4.25,6.97,12.86,1.24,2.47,0.31,,,77.49,,10.13,16.2,50.3,0.62,137.91,1.55,27-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
27-Jun-2020 - 00:00,9.99,6.38,4.46,7.44,13.81,1.23,2.47,0.32,,,103.94,,10.63,17.0,45.28,0.62,143.98,1.54,28-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
28-Jun-2020 - 00:00,13.23,9.44,6.58,10.85,20.29,1.2,2.22,0.25,,,71.77,,16.06,25.83,43.94,0.59,129.58,1.6,29-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
29-Jun-2020 - 00:00,7.03,5.38,3.74,6.13,11.51,1.07,1.84,0.2,,,90.99,,9.27,14.95,46.09,0.52,100.71,1.53,30-Jun-2020 - 00:00,"Karve Road, Pune - MPCB"
30-Jun-2020 - 00:00,7.05,5.4,3.75,6.15,11.55,1.08,1.86,0.21,,,114.18,,9.3,15.0,50.11,0.53,106.79,1.55,01-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
01-Jul-2020 - 00:00,6.49,4.7,3.34,5.28,10.1,1.13,1.9,0.25,,,113.85,,7.63,12.3,51.09,0.56,116.95,1.54,02-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
02-Jul-2020 - 00:00,7.47,5.28,3.84,5.54,11.35,1.2,1.99,0.32,,,155.12,,8.12,16.66,52.17,0.6,125.99,1.42,03-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
03-Jul-2020 - 00:00,9.5,6.94,5.67,7.81,14.75,1.16,1.93,0.26,,,102.09,,10.8,20.18,55.31,0.54,104.67,1.3,04-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
04-Jul-2020 - 00:00,7.63,5.64,4.76,5.23,11.95,1.08,1.82,0.19,,,89.08,,8.85,15.49,54.99,0.48,128.28,1.27,05-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
05-Jul-2020 - 00:00,15.06,11.13,9.39,12.44,23.55,1.04,1.74,0.18,,,0.12,,17.47,30.56,,0.46,32.13,1.22,06-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
06-Jul-2020 - 00:00,14.63,10.81,9.12,12.08,22.89,1.0,1.68,0.18,,,127.28,,16.96,29.68,57.5,0.44,66.54,1.18,07-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
07-Jul-2020 - 00:00,10.69,8.28,6.85,8.99,17.48,0.96,1.72,0.23,,,71.46,,12.39,21.69,56.88,0.4,114.22,1.21,08-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
08-Jul-2020 - 00:00,10.18,8.11,6.64,9.0,17.11,0.98,1.87,0.3,,,71.46,,11.8,20.65,57.95,0.39,109.54,1.31,09-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
09-Jul-2020 - 00:00,13.91,10.77,8.55,11.98,22.75,0.96,1.84,0.24,,,92.18,0.25,16.12,28.22,55.72,0.36,110.51,1.33,10-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
10-Jul-2020 - 00:00,17.42,13.13,10.1,14.64,27.77,0.93,1.79,0.2,,,113.67,,20.2,35.34,56.7,0.33,113.38,1.32,11-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
11-Jul-2020 - 00:00,19.4,14.62,11.25,16.31,30.93,0.82,1.6,0.22,,,124.93,,22.5,39.37,51.19,0.36,115.45,1.15,12-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
12-Jul-2020 - 00:00,12.82,9.66,7.43,10.78,20.44,0.82,1.63,0.31,,,117.03,,14.86,26.01,54.75,0.42,112.08,1.14,13-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
13-Jul-2020 - 00:00,10.92,8.23,6.33,9.18,17.42,0.83,1.61,0.34,,,141.04,0.25,12.67,22.16,52.42,0.46,112.36,1.09,14-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
14-Jul-2020 - 00:00,7.01,5.28,4.06,5.65,11.17,0.85,1.61,0.3,,,128.43,,8.13,14.22,56.48,0.49,116.43,1.06,15-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
15-Jul-2020 - 00:00,4.42,3.33,2.56,3.22,7.05,0.9,1.7,0.29,,,55.92,,5.13,8.97,59.55,0.51,116.73,1.12,16-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
16-Jul-2020 - 00:00,5.9,4.45,3.42,4.41,9.4,0.89,1.69,0.29,,,85.0,,6.84,11.97,57.25,0.51,113.76,1.12,17-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
17-Jul-2020 - 00:00,8.59,6.59,5.1,7.16,14.02,0.84,1.62,0.25,,,81.3,,10.0,17.43,55.88,0.54,133.33,1.06,18-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
18-Jul-2020 - 00:00,9.42,7.51,5.87,8.6,16.12,0.83,1.63,0.23,,,99.1,,11.06,19.12,56.2,0.6,110.91,1.06,19-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
19-Jul-2020 - 00:00,17.48,13.93,10.89,15.96,29.89,0.91,1.78,0.25,,,97.32,,20.52,35.46,53.11,0.66,95.38,1.16,20-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
20-Jul-2020 - 00:00,14.6,11.64,9.1,13.33,24.97,0.82,1.6,0.27,,,100.63,,17.14,29.63,50.93,0.59,99.22,1.04,21-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
21-Jul-2020 - 00:00,18.95,15.11,11.81,17.3,32.41,0.86,1.68,0.34,,,95.2,,22.25,38.45,49.49,0.62,104.19,1.1,22-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
22-Jul-2020 - 00:00,10.86,8.66,6.77,9.92,18.58,0.86,1.69,0.38,,,72.5,,12.75,22.04,49.1,0.62,98.24,1.1,23-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
23-Jul-2020 - 00:00,3.96,3.16,2.47,3.62,6.78,0.79,1.59,0.36,,,92.79,,4.65,8.04,51.55,0.56,111.14,1.01,24-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
24-Jul-2020 - 00:00,3.7,2.95,2.31,3.36,6.33,0.76,1.56,0.35,,,52.41,0.28,4.34,7.51,58.8,0.52,116.98,0.97,25-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
25-Jul-2020 - 00:00,10.97,8.74,6.84,9.37,18.76,0.76,1.76,0.31,,,106.75,0.25,12.88,22.26,45.88,0.56,120.12,0.97,26-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
26-Jul-2020 - 00:00,6.66,5.31,4.15,5.28,11.39,0.77,1.94,0.28,,,80.14,0.25,7.82,13.51,48.85,0.6,122.13,0.99,27-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
27-Jul-2020 - 00:00,4.56,3.63,2.84,3.6,7.79,0.77,1.75,0.31,,,87.73,,5.35,9.24,53.85,0.59,116.24,0.95,28-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
28-Jul-2020 - 00:00,5.65,4.5,3.52,5.04,9.66,0.84,1.75,0.37,,,98.64,,6.63,11.47,55.14,0.64,115.3,1.01,29-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
29-Jul-2020 - 00:00,12.09,9.64,7.53,10.58,20.68,0.89,1.86,0.36,,,96.19,,14.19,24.53,52.82,0.68,116.86,1.07,30-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
30-Jul-2020 - 00:00,7.72,6.15,4.81,6.83,13.2,0.86,1.79,0.31,,,98.96,,9.06,15.66,50.85,0.65,116.63,1.03,31-Jul-2020 - 00:00,"Karve Road, Pune - MPCB"
31-Jul-2020 - 00:00,6.83,5.45,4.26,5.73,11.69,0.84,1.75,0.3,,,82.46,0.25,8.02,13.87,45.99,0.64,147.49,1.01,01-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
01-Aug-2020 - 00:00,6.97,5.37,4.2,5.38,11.52,0.97,1.86,0.27,,,93.37,,7.91,13.67,48.32,0.7,117.11,1.03,02-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
02-Aug-2020 - 00:00,9.78,7.37,5.76,5.83,15.81,1.08,1.88,0.21,,,86.19,,10.86,18.76,48.17,0.73,115.58,0.97,03-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
03-Aug-2020 - 00:00,4.34,3.27,2.55,3.05,7.01,1.09,1.89,0.23,,,77.5,,4.81,8.32,56.46,0.7,132.03,0.93,04-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
04-Aug-2020 - 00:00,3.73,2.81,2.2,1.39,6.02,1.21,2.08,0.28,,,61.91,0.25,4.14,7.15,,0.73,151.7,0.97,05-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
05-Aug-2020 - 00:00,4.98,3.75,2.93,3.66,8.04,1.27,2.15,0.33,,,76.37,0.25,5.52,9.54,,0.73,172.29,0.93,06-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
06-Aug-2020 - 00:00,5.29,3.99,3.12,3.85,8.55,1.39,2.31,0.4,,,70.72,0.25,5.87,10.14,,0.77,130.48,0.92,07-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
07-Aug-2020 - 00:00,8.96,6.75,5.28,7.54,14.49,1.41,2.33,0.36,,,82.15,0.25,9.94,17.19,58.07,0.8,112.33,0.96,08-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
08-Aug-2020 - 00:00,10.69,8.05,6.3,9.23,17.28,1.4,2.31,0.31,,,89.21,,11.86,20.5,56.05,0.8,115.67,0.98,09-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
09-Aug-2020 - 00:00,14.68,11.06,8.65,12.67,23.73,1.49,2.37,0.24,,,73.9,,16.29,28.15,56.9,0.72,117.64,0.92,10-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
10-Aug-2020 - 00:00,14.62,11.02,8.61,12.62,23.64,1.59,2.48,0.18,,,57.78,0.25,16.23,28.05,58.91,0.67,107.23,0.89,11-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
11-Aug-2020 - 00:00,9.66,7.28,5.69,7.78,15.61,1.62,2.5,0.27,,,71.95,0.25,10.72,18.53,59.62,0.66,116.25,0.93,12-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
12-Aug-2020 - 00:00,8.49,6.39,5.0,7.32,13.72,1.69,2.57,0.35,,,43.49,0.25,9.42,16.27,,0.67,109.42,0.98,13-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
13-Aug-2020 - 00:00,6.33,4.77,3.73,5.46,10.23,1.73,2.63,0.41,,,34.59,0.25,7.02,12.13,,0.71,105.58,0.98,14-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
14-Aug-2020 - 00:00,7.36,5.54,4.33,5.64,11.89,1.75,2.66,0.46,,,55.51,0.25,8.16,14.11,,0.74,103.71,0.98,15-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
15-Aug-2020 - 00:00,5.93,4.47,3.49,5.12,9.59,1.83,2.78,0.48,,,36.59,0.25,6.58,11.38,,0.77,102.98,1.02,16-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
16-Aug-2020 - 00:00,9.58,7.22,5.64,7.74,15.49,1.72,2.61,0.45,,,54.07,0.25,10.63,18.38,,0.72,92.79,0.96,17-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
17-Aug-2020 - 00:00,6.49,4.68,3.66,5.36,10.04,1.7,2.56,0.4,,,43.93,0.25,7.12,11.91,,0.74,102.54,0.99,18-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
18-Aug-2020 - 00:00,6.22,4.38,3.43,4.69,9.4,1.74,2.59,0.37,,,66.32,0.25,6.77,11.16,59.54,0.78,123.14,1.04,19-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
19-Aug-2020 - 00:00,8.19,5.77,4.51,6.61,12.38,1.72,2.52,0.35,,,64.47,,8.92,14.7,58.53,0.81,119.65,1.02,20-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
20-Aug-2020 - 00:00,8.37,5.9,4.62,6.58,12.66,1.82,2.64,0.28,,,62.09,0.25,9.13,15.03,58.99,0.89,120.3,1.07,21-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
21-Aug-2020 - 00:00,6.82,5.13,3.95,5.03,11.09,1.77,2.57,0.21,,,59.66,0.25,7.75,12.88,,0.87,140.94,1.04,22-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
22-Aug-2020 - 00:00,6.53,5.02,3.85,5.86,10.88,1.69,2.49,0.25,,,63.4,,8.09,13.67,58.89,0.81,149.38,0.98,23-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
23-Aug-2020 - 00:00,9.83,7.56,5.8,8.26,16.39,1.61,2.39,0.27,,,91.68,0.25,12.61,21.43,56.34,0.75,113.92,0.92,24-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
24-Aug-2020 - 00:00,8.24,6.68,5.13,7.74,14.42,1.67,2.47,0.4,,,76.01,0.25,10.57,17.97,58.74,0.83,108.29,1.04,25-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
25-Aug-2020 - 00:00,9.85,8.21,6.32,9.47,17.68,1.72,2.55,0.52,,,89.13,0.25,12.63,21.47,52.03,0.9,111.99,1.14,26-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
26-Aug-2020 - 00:00,10.7,8.92,7.42,10.04,19.21,1.62,2.4,0.49,,,68.44,,13.72,23.33,56.01,0.84,106.51,1.07,27-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
27-Aug-2020 - 00:00,11.44,9.53,8.36,11.0,20.53,1.74,2.5,0.44,,,73.65,0.25,14.66,24.93,55.4,0.85,100.29,1.09,28-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
28-Aug-2020 - 00:00,6.46,5.39,4.72,6.21,11.6,1.82,2.55,1.96,,,73.22,0.25,8.29,14.09,55.03,0.84,98.27,1.09,29-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
29-Aug-2020 - 00:00,6.41,5.34,4.68,6.0,11.5,1.86,2.6,1.68,,,51.0,0.25,8.22,13.97,,0.85,102.71,1.12,30-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
30-Aug-2020 - 00:00,8.82,7.35,6.45,7.94,15.83,1.89,2.65,0.34,,,67.13,0.25,11.31,19.22,58.91,0.87,112.33,1.14,31-Aug-2020 - 00:00,"Karve Road, Pune - MPCB"
31-Aug-2020 - 00:00,9.38,7.81,6.85,8.81,16.83,1.96,2.72,0.3,,,79.8,,12.02,20.44,55.62,0.92,116.69,1.18,01-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
01-Sep-2020 - 00:00,9.73,8.11,7.11,8.97,17.47,2.07,2.85,0.27,,,87.12,,12.48,21.21,52.3,0.98,105.62,1.25,02-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
02-Sep-2020 - 00:00,20.97,17.47,15.32,20.16,37.6,2.05,2.83,0.27,,,102.7,,26.88,45.7,46.41,0.97,111.24,1.24,03-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
03-Sep-2020 - 00:00,24.55,20.46,17.94,23.61,44.07,1.91,2.66,0.33,,,78.68,0.25,31.48,53.51,42.04,0.89,133.7,1.17,04-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
04-Sep-2020 - 00:00,23.72,19.77,17.34,22.81,42.58,1.9,2.69,0.4,,,95.0,,30.41,51.7,42.77,0.87,127.22,1.19,05-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
05-Sep-2020 - 00:00,20.21,16.84,14.77,19.43,36.26,1.95,2.77,0.41,,,87.62,0.25,23.75,40.44,41.26,0.9,131.01,1.15,06-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
06-Sep-2020 - 00:00,18.78,15.65,13.73,18.06,33.71,2.05,2.9,0.43,,,85.09,0.25,20.47,34.91,43.95,0.94,118.67,1.15,07-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
07-Sep-2020 - 00:00,13.72,11.43,10.03,13.19,24.63,2.05,2.91,0.43,,,93.64,0.25,14.95,25.51,46.6,0.94,114.51,1.16,08-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
08-Sep-2020 - 00:00,14.14,11.78,10.07,13.6,25.38,1.93,2.76,0.46,,,73.01,,15.41,26.29,48.22,0.86,125.02,1.08,09-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
09-Sep-2020 - 00:00,18.3,15.25,12.91,17.6,32.85,1.9,2.74,0.49,,,78.33,0.25,19.95,34.03,51.04,0.84,114.27,1.06,10-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
10-Sep-2020 - 00:00,16.04,13.37,11.31,15.06,28.77,1.9,2.74,0.49,,,87.9,0.25,17.48,29.83,49.59,0.84,102.06,1.06,11-Sep-2020 - 00:00,"Karve Road, Pune - MPCB"
