from date,Temp,RH,SR,BP,WS,WD,NO,NO2,NOx,SO2,CO,Ozone,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,Eth-Benzene,VWS,to date,station
23-Mar-2020 - 00:00,21.97,55.58,196.77,979.25,0.67,122.11,,,0.0,8.95,0.43,25.62,40.81,2.01,4.0,3.0,2.99,3.0,-0.64,24-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
24-Mar-2020 - 00:00,21.19,56.79,128.41,977.94,0.88,165.57,,,0.0,7.87,0.54,24.48,63.44,1.98,3.95,2.98,2.98,2.98,-0.63,25-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
25-Mar-2020 - 00:00,21.79,57.48,202.66,978.39,0.73,114.2,,,0.0,7.98,0.41,18.6,45.46,2.0,3.99,3.0,3.0,3.0,-0.64,26-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
26-Mar-2020 - 00:00,21.28,57.58,90.46,980.07,0.86,73.43,,,0.0,8.14,0.38,20.37,36.36,2.01,4.0,2.99,2.99,3.01,-0.64,27-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
27-Mar-2020 - 00:00,18.15,59.57,99.07,981.6,1.1,145.01,,,0.0,7.3,0.26,16.92,19.29,1.99,4.01,3.0,2.99,3.0,-0.64,28-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
28-Mar-2020 - 00:00,19.78,57.73,245.31,982.2,0.71,78.73,,,0.0,8.83,0.31,12.39,16.01,2.01,4.01,3.0,3.0,3.0,-0.64,29-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
29-Mar-2020 - 00:00,21.54,56.19,244.35,980.07,0.78,94.77,,,0.0,7.87,0.27,17.95,24.22,2.0,4.0,3.0,3.0,3.0,-0.64,30-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
30-Mar-2020 - 00:00,20.95,56.29,227.44,980.13,0.73,79.43,,,0.0,8.1,0.27,23.8,27.77,2.0,4.0,3.0,3.0,3.01,-0.64,31-Mar-2020 - 00:00,"MD University, Rohtak - HSPCB"
31-Mar-2020 - 00:00,21.54,55.85,174.36,978.76,0.79,113.11,,,0.0,10.31,0.29,24.5,29.44,2.0,4.01,2.99,3.01,3.0,-0.64,01-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
01-Apr-2020 - 00:00,21.93,56.11,230.88,978.03,0.81,95.27,,,0.0,10.08,0.27,19.99,25.78,1.99,4.01,3.0,3.0,3.01,-0.64,02-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
02-Apr-2020 - 00:00,21.75,55.98,246.05,978.4,0.84,93.5,,,0.0,8.14,0.29,22.9,23.51,2.0,4.02,3.0,2.99,2.99,-0.64,03-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
03-Apr-2020 - 00:00,21.08,54.35,248.17,979.58,0.75,79.1,,,0.0,7.74,0.33,28.53,19.96,2.0,4.0,3.0,3.0,3.0,-0.64,04-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
04-Apr-2020 - 00:00,21.59,54.59,246.69,979.49,0.71,92.37,,,0.0,8.19,0.4,24.94,28.65,2.0,4.0,2.99,2.99,3.0,-0.64,05-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
05-Apr-2020 - 00:00,22.48,54.51,208.29,979.9,0.81,124.47,,,0.0,7.6,0.41,25.67,34.61,1.99,4.0,2.99,3.0,3.01,-0.64,06-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
06-Apr-2020 - 00:00,24.04,54.45,236.66,978.73,0.65,99.94,,,0.0,8.69,0.45,23.74,52.59,2.01,4.0,3.0,3.0,3.0,-0.64,07-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
07-Apr-2020 - 00:00,22.22,54.75,212.26,977.09,0.84,110.39,,,0.0,8.1,0.33,25.91,32.25,2.0,3.99,3.01,3.0,3.01,-0.64,08-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
08-Apr-2020 - 00:00,22.03,53.79,249.39,977.75,0.74,94.63,,,0.0,7.93,0.34,28.47,31.89,2.0,4.0,3.01,2.98,3.0,-0.64,09-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
09-Apr-2020 - 00:00,21.84,54.05,216.98,978.03,0.77,81.81,,,0.0,7.81,0.34,29.88,39.43,1.99,4.01,3.0,3.0,3.0,-0.64,10-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
10-Apr-2020 - 00:00,24.19,53.35,234.54,978.49,0.63,112.08,,,0.0,7.64,0.43,23.9,36.81,2.01,4.0,3.0,3.01,3.0,-0.64,11-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
11-Apr-2020 - 00:00,25.18,53.37,219.86,979.5,0.79,115.08,,,0.0,8.38,0.36,29.1,38.33,2.01,4.01,3.01,3.01,3.01,-0.64,12-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
12-Apr-2020 - 00:00,24.69,53.53,234.08,977.43,0.8,76.47,,,0.0,9.12,0.33,29.57,32.36,2.0,4.0,2.99,3.0,3.0,-0.64,13-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
13-Apr-2020 - 00:00,26.15,53.53,222.17,975.22,0.8,69.68,,,0.0,8.34,0.47,27.35,45.39,2.0,4.0,3.0,3.0,3.01,-0.64,14-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
14-Apr-2020 - 00:00,26.83,53.51,180.4,975.21,0.53,121.37,,,0.0,8.96,0.6,23.17,58.87,2.0,4.01,3.0,2.99,3.0,-0.64,15-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
15-Apr-2020 - 00:00,27.21,52.56,219.77,974.87,0.65,103.23,,,0.0,10.57,0.68,17.72,89.59,2.0,4.01,2.99,3.0,3.0,-0.64,16-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
16-Apr-2020 - 00:00,26.75,52.18,223.6,974.01,0.78,99.2,,,0.0,9.7,0.36,27.07,52.86,2.0,4.0,3.0,3.0,2.99,-0.64,17-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
17-Apr-2020 - 00:00,26.15,52.19,169.16,973.2,0.98,139.78,,,0.0,9.84,0.28,30.11,33.27,1.99,3.99,3.0,2.99,3.01,-0.64,18-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
18-Apr-2020 - 00:00,23.34,54.03,196.78,975.31,1.31,161.6,,,0.0,10.44,0.28,29.01,37.85,2.0,4.0,3.0,3.0,2.99,-0.64,19-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
19-Apr-2020 - 00:00,22.7,54.24,240.21,975.2,0.69,99.74,,,0.0,7.47,0.33,21.71,23.03,2.0,3.99,3.0,3.01,3.01,-0.64,20-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
20-Apr-2020 - 00:00,21.27,54.05,158.32,975.93,1.05,90.64,,,0.0,7.7,0.38,25.33,42.36,2.0,4.01,3.01,3.01,3.0,-0.64,21-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
21-Apr-2020 - 00:00,21.65,54.43,233.73,976.31,0.74,90.82,,,0.0,7.83,0.35,27.68,33.14,2.0,4.0,3.0,3.0,3.0,-0.64,22-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
22-Apr-2020 - 00:00,22.98,52.98,244.28,974.65,0.67,106.21,,,0.0,8.0,0.42,28.68,39.98,2.0,4.01,2.99,3.0,3.0,-0.64,23-Apr-2020 - 00:00,"MD University, Rohtak - HSPCB"
