from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,to date,station
22-Jan-2020 - 00:00,36.99,79.32,7.76,127.54,135.31,101.78,3.34,1.92,0.65,1.11,0.16,0.09,0.64,23-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
23-Jan-2020 - 00:00,,,,,,,,,,,,,,24-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
24-Jan-2020 - 00:00,41.23,69.22,7.97,125.65,133.62,102.61,3.47,1.14,0.7,1.91,0.31,0.2,1.23,25-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
25-Jan-2020 - 00:00,52.95,84.33,7.77,126.35,134.13,104.22,3.48,1.18,0.92,1.99,0.2,0.34,1.16,26-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
26-Jan-2020 - 00:00,59.0,86.04,7.94,125.12,133.07,103.22,3.54,1.19,1.16,1.81,0.15,0.37,0.95,27-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
27-Jan-2020 - 00:00,51.9,79.19,5.36,154.58,158.31,136.16,3.5,1.22,1.59,2.56,0.22,0.35,1.34,28-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
28-Jan-2020 - 00:00,60.76,94.96,7.98,127.77,135.4,102.02,3.56,1.37,1.39,2.3,0.28,0.33,1.36,29-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
29-Jan-2020 - 00:00,57.29,96.25,16.33,65.97,82.31,35.0,3.58,1.36,5.07,9.85,1.39,2.28,7.55,30-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
30-Jan-2020 - 00:00,43.86,80.01,19.16,44.51,63.67,19.99,3.54,1.35,4.96,6.41,0.94,2.15,2.14,31-Jan-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
31-Jan-2020 - 00:00,35.23,77.85,19.3,43.47,62.77,28.88,3.57,1.27,3.92,5.26,0.74,0.3,2.74,01-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
01-Feb-2020 - 00:00,38.52,74.81,19.56,41.5,61.06,27.57,3.53,1.17,1.33,2.55,0.19,0.18,1.02,02-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
02-Feb-2020 - 00:00,38.88,67.26,19.75,40.03,59.78,26.58,3.55,1.08,1.73,4.16,0.39,0.88,1.85,03-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
03-Feb-2020 - 00:00,41.3,72.94,12.67,39.27,56.84,26.04,3.52,1.14,1.08,2.04,0.17,0.11,0.86,04-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
04-Feb-2020 - 00:00,55.01,90.51,5.16,37.01,51.82,24.53,3.43,1.42,1.14,2.01,0.32,0.37,1.2,05-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
05-Feb-2020 - 00:00,51.25,94.38,3.7,34.86,42.85,23.15,3.49,1.38,0.96,1.62,0.24,0.32,1.0,06-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
06-Feb-2020 - 00:00,36.05,69.7,0.73,33.23,29.31,21.81,3.64,1.36,0.75,1.49,0.19,0.12,0.64,07-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
07-Feb-2020 - 00:00,41.99,70.74,0.7,69.27,55.57,46.52,3.79,1.52,2.03,4.25,0.9,1.29,4.18,08-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
08-Feb-2020 - 00:00,36.21,68.67,,88.04,69.35,59.11,3.56,1.3,2.4,3.41,0.39,0.28,1.64,09-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
09-Feb-2020 - 00:00,36.38,65.12,,81.02,64.22,54.31,3.52,1.14,0.75,1.24,0.05,0.05,0.61,10-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
10-Feb-2020 - 00:00,40.96,69.41,0.33,81.58,67.47,57.99,3.67,1.33,2.19,2.84,0.16,0.08,1.64,11-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
11-Feb-2020 - 00:00,38.72,70.51,0.66,85.03,84.61,75.2,3.61,1.22,1.46,3.37,0.37,0.59,2.21,12-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
12-Feb-2020 - 00:00,51.63,86.08,0.67,72.87,73.54,64.14,3.44,1.43,1.24,2.38,0.31,0.25,1.46,13-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
13-Feb-2020 - 00:00,39.24,70.77,2.63,98.85,97.2,55.9,3.66,1.33,1.08,2.23,0.22,0.26,1.29,14-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
14-Feb-2020 - 00:00,50.62,84.82,0.37,78.34,78.47,17.56,3.67,1.5,4.05,7.97,0.94,1.09,5.31,15-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
15-Feb-2020 - 00:00,32.1,50.39,0.77,80.9,80.76,14.28,3.87,1.32,2.22,3.18,0.48,0.77,1.31,16-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
16-Feb-2020 - 00:00,40.09,58.88,0.32,80.99,80.73,15.26,4.08,1.08,0.08,0.26,0.01,0.02,0.06,17-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
17-Feb-2020 - 00:00,50.72,79.39,0.89,69.07,69.96,12.51,3.52,1.3,0.68,1.57,0.17,0.09,0.73,18-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
18-Feb-2020 - 00:00,49.48,78.99,1.2,65.76,66.96,11.85,3.47,1.34,0.74,1.39,0.18,0.1,0.65,19-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
19-Feb-2020 - 00:00,79.01,117.76,1.41,63.42,64.84,11.41,3.54,1.62,1.82,2.6,0.56,0.39,1.36,20-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
20-Feb-2020 - 00:00,55.32,87.98,1.64,60.84,62.48,10.92,3.45,1.39,0.81,1.67,0.39,0.22,0.94,21-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
21-Feb-2020 - 00:00,59.48,89.07,1.77,59.43,61.2,10.67,3.47,1.59,1.1,2.13,0.44,0.28,1.23,22-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
22-Feb-2020 - 00:00,46.41,74.07,1.73,59.72,61.45,10.77,3.5,1.36,0.87,1.43,0.1,0.09,0.64,23-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
23-Feb-2020 - 00:00,37.97,59.85,1.8,58.9,60.69,10.64,3.52,1.24,0.62,1.07,0.02,0.01,0.25,24-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
24-Feb-2020 - 00:00,44.83,73.46,1.89,57.86,59.75,10.46,3.52,1.5,0.83,1.66,0.15,0.08,0.81,25-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
25-Feb-2020 - 00:00,43.11,69.49,1.93,57.36,59.29,10.43,3.66,1.54,1.7,3.51,0.53,0.41,2.74,26-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
26-Feb-2020 - 00:00,50.68,77.75,1.9,57.42,59.32,10.52,3.65,1.34,0.82,1.46,0.01,0.01,0.32,27-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
27-Feb-2020 - 00:00,47.0,69.42,1.94,56.9,58.85,10.45,3.7,1.57,2.13,4.52,0.49,0.35,2.28,28-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
28-Feb-2020 - 00:00,47.45,71.98,1.9,57.22,59.12,10.7,3.98,1.71,1.19,2.2,0.25,0.61,1.43,29-Feb-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
29-Feb-2020 - 00:00,34.63,54.91,2.25,53.78,56.02,9.75,3.52,1.4,0.54,1.4,0.17,0.15,0.71,01-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
01-Mar-2020 - 00:00,34.24,53.81,2.32,53.0,55.31,9.58,3.53,1.24,0.48,0.9,0.02,0.07,0.29,02-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
02-Mar-2020 - 00:00,35.99,55.37,2.32,52.92,55.24,9.64,3.6,1.58,0.78,1.86,0.19,0.1,1.06,03-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
03-Mar-2020 - 00:00,28.21,44.22,2.66,48.86,51.53,8.94,3.67,1.63,0.83,2.31,0.26,0.14,1.34,04-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
04-Mar-2020 - 00:00,31.5,63.19,6.93,0.97,7.9,0.19,4.31,1.79,0.54,1.58,0.26,0.33,1.1,05-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
05-Mar-2020 - 00:00,36.41,72.04,6.96,0.57,7.49,0.11,4.12,1.86,0.29,0.89,0.17,0.18,0.7,06-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
06-Mar-2020 - 00:00,30.58,63.31,6.99,0.31,7.16,0.06,3.96,1.77,1.52,2.57,0.92,0.77,4.7,07-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
07-Mar-2020 - 00:00,18.16,43.98,7.0,0.1,6.99,0.02,3.62,1.25,0.61,1.6,0.22,0.16,0.81,08-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
08-Mar-2020 - 00:00,27.75,52.71,7.0,0.15,7.01,0.03,3.57,1.35,0.6,1.22,0.07,0.09,0.58,09-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
09-Mar-2020 - 00:00,24.52,49.33,6.99,0.6,7.09,0.1,3.62,1.49,0.55,1.8,0.16,0.1,0.97,10-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
10-Mar-2020 - 00:00,34.5,62.33,7.0,0.06,6.98,0.01,3.63,1.31,0.77,1.43,0.0,0.06,0.68,11-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
11-Mar-2020 - 00:00,21.95,66.13,5.0,0.12,6.03,1.04,3.89,1.62,0.13,0.33,0.02,0.01,0.2,12-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
12-Mar-2020 - 00:00,13.6,40.07,5.0,0.11,5.99,1.0,3.86,1.39,0.2,0.82,0.03,0.09,0.29,13-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
13-Mar-2020 - 00:00,20.96,59.21,2.99,0.98,2.4,2.0,4.02,1.65,0.41,1.39,0.05,0.02,0.69,14-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
14-Mar-2020 - 00:00,29.09,67.17,2.99,0.99,2.42,2.04,3.57,1.49,0.78,1.48,0.06,0.05,0.61,15-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
15-Mar-2020 - 00:00,36.2,72.08,2.99,0.99,2.42,2.04,3.51,1.38,0.59,1.03,0.03,0.14,0.48,16-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
16-Mar-2020 - 00:00,37.18,75.71,2.99,1.0,2.45,2.07,3.52,1.59,0.62,1.33,0.15,0.06,0.71,17-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
17-Mar-2020 - 00:00,45.17,83.95,2.99,0.99,2.43,2.05,4.05,1.61,0.29,0.42,0.01,0.02,0.16,18-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
18-Mar-2020 - 00:00,47.58,91.26,2.99,0.99,2.44,2.06,3.99,1.85,0.82,1.21,0.13,0.15,0.63,19-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
19-Mar-2020 - 00:00,40.82,82.6,3.0,0.99,2.43,2.05,3.53,1.7,0.8,1.51,0.15,0.12,0.8,20-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
20-Mar-2020 - 00:00,31.57,62.58,3.16,1.35,3.4,2.5,3.44,1.52,0.52,1.15,0.1,0.11,0.66,21-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
21-Mar-2020 - 00:00,31.46,63.1,3.5,2.06,5.3,3.42,3.5,1.53,0.55,1.06,0.03,0.09,0.57,22-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
22-Mar-2020 - 00:00,20.24,39.17,3.5,2.05,5.27,3.41,3.46,1.1,0.25,0.3,0.0,0.01,0.04,23-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
23-Mar-2020 - 00:00,19.48,49.18,3.5,2.09,5.3,3.43,3.4,1.27,0.3,0.58,0.0,0.0,0.19,24-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
24-Mar-2020 - 00:00,23.44,47.19,3.5,2.08,5.3,3.44,3.22,1.23,0.29,0.39,0.0,0.0,0.06,25-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
25-Mar-2020 - 00:00,16.47,31.88,3.5,2.06,5.28,3.42,3.48,1.15,0.02,0.08,0.0,0.01,0.01,26-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
26-Mar-2020 - 00:00,20.39,40.07,3.5,2.05,5.26,3.41,3.18,1.11,0.17,0.22,0.0,0.0,0.0,27-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
27-Mar-2020 - 00:00,30.85,54.48,3.5,2.07,5.27,3.4,3.12,1.16,0.29,0.31,0.0,0.0,0.01,28-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
28-Mar-2020 - 00:00,30.67,56.83,3.5,2.12,5.33,3.47,3.13,1.16,0.33,0.44,0.01,0.02,0.1,29-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
29-Mar-2020 - 00:00,,,,,,,,,,,,,,30-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
30-Mar-2020 - 00:00,22.24,44.85,3.51,2.02,5.24,3.38,3.41,1.16,0.0,0.0,0.0,0.0,0.0,31-Mar-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
31-Mar-2020 - 00:00,21.79,45.46,3.5,2.06,5.26,3.41,3.57,1.26,0.05,0.08,0.0,0.04,0.01,01-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
01-Apr-2020 - 00:00,23.04,47.87,2.89,3.42,5.69,3.43,3.48,1.23,0.02,0.02,0.0,0.02,0.0,02-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
02-Apr-2020 - 00:00,29.08,50.91,1.3,6.96,6.77,3.42,3.49,1.29,0.03,0.03,0.0,0.02,0.0,03-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
03-Apr-2020 - 00:00,23.21,45.2,1.3,6.95,6.76,3.4,3.53,1.29,0.02,0.02,0.0,0.01,0.0,04-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
04-Apr-2020 - 00:00,21.28,41.49,1.3,6.95,6.76,3.4,3.47,1.25,0.02,0.03,0.0,0.0,0.0,05-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
05-Apr-2020 - 00:00,16.0,32.09,1.3,6.95,6.75,3.42,3.42,1.21,0.04,0.05,0.0,0.01,0.0,06-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
06-Apr-2020 - 00:00,9.54,21.72,1.3,6.96,6.78,3.41,3.18,1.17,0.12,0.18,0.0,0.0,0.0,07-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
07-Apr-2020 - 00:00,11.97,22.98,1.3,6.97,6.77,3.4,3.42,1.32,0.1,0.11,0.0,0.01,0.0,08-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
08-Apr-2020 - 00:00,17.95,38.08,1.3,6.96,6.77,3.42,3.53,1.37,0.06,0.06,0.0,0.02,0.0,09-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
09-Apr-2020 - 00:00,17.66,41.49,1.3,6.97,6.78,3.41,3.18,1.22,0.14,0.14,0.0,0.0,0.0,10-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
10-Apr-2020 - 00:00,14.62,31.28,2.02,5.49,6.76,3.38,3.08,1.13,0.14,0.14,0.0,0.0,0.0,11-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
11-Apr-2020 - 00:00,16.83,29.96,2.8,4.3,6.77,3.4,3.1,1.17,0.28,0.28,0.0,0.0,0.01,12-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
12-Apr-2020 - 00:00,14.3,30.51,2.86,4.26,6.3,3.4,3.23,1.24,0.08,0.12,0.0,0.0,0.0,13-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
13-Apr-2020 - 00:00,23.85,47.24,3.61,3.94,5.53,3.44,3.68,1.49,0.04,0.03,0.0,0.04,0.0,14-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
14-Apr-2020 - 00:00,23.72,46.67,3.5,5.24,5.29,3.43,3.6,1.43,0.03,0.03,0.0,0.05,0.0,15-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
15-Apr-2020 - 00:00,14.46,30.2,3.11,6.36,5.28,3.42,3.36,1.34,0.14,0.19,0.0,0.01,0.0,16-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
16-Apr-2020 - 00:00,16.38,29.29,3.23,6.36,5.28,3.41,3.1,1.3,0.26,0.28,0.0,0.0,0.01,17-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
17-Apr-2020 - 00:00,17.25,33.63,3.66,6.39,5.3,3.44,3.1,1.29,0.21,0.23,0.0,0.0,0.0,18-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
18-Apr-2020 - 00:00,15.67,29.79,3.55,6.37,5.29,3.43,3.66,1.46,0.03,0.04,0.0,0.05,0.0,19-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
19-Apr-2020 - 00:00,21.07,36.39,3.13,6.36,5.28,3.41,3.63,1.49,0.07,0.05,0.0,0.01,0.0,20-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
20-Apr-2020 - 00:00,16.4,26.59,2.72,6.21,5.19,3.41,3.41,1.46,0.03,0.08,0.0,0.0,0.01,21-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
21-Apr-2020 - 00:00,11.2,23.15,0.22,77.59,71.76,109.65,3.49,1.1,0.12,0.25,0.0,0.0,0.03,22-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
22-Apr-2020 - 00:00,11.37,25.98,,34.46,31.46,54.32,2.34,1.12,0.27,0.36,0.0,0.0,0.04,23-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
23-Apr-2020 - 00:00,25.47,37.51,,34.26,30.97,57.4,2.72,1.16,0.32,0.39,0.0,0.0,0.09,24-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
24-Apr-2020 - 00:00,21.35,41.35,0.06,10.02,9.1,18.09,2.67,1.12,0.4,0.59,0.0,0.0,0.13,25-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
25-Apr-2020 - 00:00,19.34,47.74,0.06,13.1,11.87,28.62,4.99,1.04,0.15,0.31,0.01,0.0,0.05,26-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
26-Apr-2020 - 00:00,18.04,43.25,,15.38,13.88,38.43,2.88,1.16,0.07,0.07,0.0,0.08,0.0,27-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
27-Apr-2020 - 00:00,15.32,32.0,,13.43,12.12,35.27,2.83,1.35,0.1,0.13,0.01,0.12,0.05,28-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
28-Apr-2020 - 00:00,15.62,34.48,,11.6,10.45,33.35,2.88,1.52,0.09,0.16,0.0,0.11,0.04,29-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
29-Apr-2020 - 00:00,14.67,32.07,,9.65,8.7,27.73,2.82,1.52,0.08,0.15,0.0,0.13,0.15,30-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
30-Apr-2020 - 00:00,18.87,42.65,,9.12,8.21,27.2,2.91,1.71,0.15,0.22,0.06,0.24,0.28,01-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
01-May-2020 - 00:00,17.33,38.82,,8.49,7.66,25.31,2.85,1.62,0.16,0.14,0.0,0.11,0.16,02-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
02-May-2020 - 00:00,19.47,38.49,,8.26,7.44,24.98,2.87,1.74,0.19,0.34,0.0,0.12,0.23,03-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
03-May-2020 - 00:00,19.32,39.61,,8.16,7.35,25.11,2.87,1.64,0.08,0.11,0.0,0.08,0.04,04-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
04-May-2020 - 00:00,19.26,45.85,,7.88,7.1,24.97,2.96,1.88,0.07,0.31,0.01,0.06,0.17,05-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
05-May-2020 - 00:00,24.67,51.67,,7.5,6.75,23.61,2.88,1.92,0.14,0.34,0.04,0.12,0.21,06-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
06-May-2020 - 00:00,24.3,50.92,,7.24,6.52,22.88,2.86,1.98,0.29,0.48,0.08,0.16,0.33,07-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
07-May-2020 - 00:00,9.83,29.32,,11.52,10.38,39.83,2.87,1.76,0.12,0.42,0.46,0.07,0.41,08-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
08-May-2020 - 00:00,9.96,23.67,,10.82,9.73,39.28,2.7,1.73,0.12,0.27,0.18,0.07,0.27,09-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
09-May-2020 - 00:00,14.38,33.14,,9.26,8.33,33.86,2.75,1.86,0.12,0.34,0.0,0.01,0.15,10-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
10-May-2020 - 00:00,17.32,36.85,,8.8,7.92,32.53,2.75,1.73,0.14,0.14,0.0,0.01,0.08,11-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
11-May-2020 - 00:00,12.06,28.9,,8.39,7.55,31.03,2.76,1.9,0.13,0.32,0.02,0.03,0.22,12-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
12-May-2020 - 00:00,23.57,50.01,,8.33,7.5,30.99,2.79,2.13,0.23,0.43,0.01,0.05,0.35,13-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
13-May-2020 - 00:00,13.44,32.04,,7.97,7.17,29.51,2.75,1.99,0.12,0.29,0.0,0.02,0.23,14-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
14-May-2020 - 00:00,18.19,43.63,,7.62,6.85,28.45,2.77,2.19,0.16,0.34,0.02,0.03,0.27,15-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
15-May-2020 - 00:00,17.08,44.54,,7.42,6.67,27.84,2.8,2.06,0.14,0.26,0.01,0.02,0.15,16-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
16-May-2020 - 00:00,10.75,34.34,,7.29,6.55,27.62,2.85,2.43,0.1,0.29,0.04,0.03,0.2,17-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
17-May-2020 - 00:00,14.45,35.93,,7.1,6.39,26.84,2.84,1.96,0.04,0.08,0.0,0.02,0.02,18-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
18-May-2020 - 00:00,21.82,47.21,,6.84,6.15,25.76,2.82,2.58,0.18,0.36,0.06,0.05,0.24,19-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
19-May-2020 - 00:00,17.95,48.68,,8.01,7.2,31.85,2.8,2.51,0.08,0.17,0.02,0.01,0.14,20-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
