from date,Benzene,Eth-Benzene,MP-Xylene,Toluene,BP,PM2.5,PM10,RF,RH,SR,VWS,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,26.2,4.74,7.3,15.29,,137.25,215.68,0.0,78.01,143.0,-0.12,256.87,1.12,0.97,48.45,44.24,57.42,98.69,25.55,10.52,02-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
02-Jan-2020 - 00:00,27.68,8.25,7.57,14.78,,139.97,225.53,0.0,76.76,114.0,-0.13,187.11,1.16,1.01,32.1,20.51,62.68,79.74,19.96,16.29,03-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
03-Jan-2020 - 00:00,20.66,5.82,5.68,12.73,,53.05,80.09,0.0,96.57,39.32,-0.14,166.76,1.47,0.43,27.04,16.19,55.03,68.21,7.49,5.0,04-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
04-Jan-2020 - 00:00,19.83,5.21,5.73,16.99,,77.24,104.65,0.0,98.07,46.54,-0.11,218.91,1.03,1.35,22.51,34.65,45.06,76.71,5.83,7.49,05-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
05-Jan-2020 - 00:00,22.5,6.13,7.62,16.29,,90.87,124.01,0.0,97.9,68.41,-0.13,259.52,1.14,0.8,22.38,48.3,39.77,85.08,8.09,4.16,06-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
06-Jan-2020 - 00:00,21.02,6.39,7.73,11.98,,101.2,145.64,0.0,83.14,161.15,-0.13,209.12,1.27,0.85,21.45,83.83,57.99,138.81,23.51,6.33,07-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
07-Jan-2020 - 00:00,16.12,3.99,4.39,10.11,,121.33,176.69,0.0,88.65,146.27,-0.13,254.19,1.36,0.84,22.25,24.11,51.35,72.46,22.65,8.87,08-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
08-Jan-2020 - 00:00,28.09,8.97,9.15,17.91,,166.82,226.41,0.0,82.44,150.06,-0.12,169.56,1.14,1.11,25.03,83.27,59.07,139.34,23.92,12.04,09-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
09-Jan-2020 - 00:00,27.83,11.04,9.78,17.84,,133.26,189.37,0.0,88.24,78.51,-0.12,189.5,0.95,0.93,26.71,47.84,63.42,108.32,10.35,10.38,10-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
10-Jan-2020 - 00:00,16.76,3.72,4.21,11.2,,86.4,122.03,0.0,78.46,141.79,-0.16,313.32,1.83,0.52,35.16,13.26,42.07,52.31,25.13,8.0,11-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
11-Jan-2020 - 00:00,11.07,2.14,2.69,7.6,,78.06,114.49,0.0,85.12,137.95,-0.15,301.13,1.59,0.51,27.77,8.25,38.56,43.79,23.16,5.04,12-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
12-Jan-2020 - 00:00,12.24,1.96,3.07,7.99,,91.25,122.69,0.0,80.05,167.73,-0.13,304.36,1.42,0.65,25.83,14.82,42.43,54.24,28.81,5.86,13-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
13-Jan-2020 - 00:00,14.01,2.82,3.53,7.87,,110.12,161.05,0.0,70.43,176.87,-0.14,292.81,1.2,1.02,25.12,35.38,55.06,88.89,49.31,7.79,14-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
14-Jan-2020 - 00:00,35.82,9.83,11.53,26.86,,175.34,250.68,0.0,75.45,149.94,-0.11,247.35,0.97,1.5,26.55,96.6,73.69,170.28,28.75,11.3,15-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
15-Jan-2020 - 00:00,43.25,19.47,17.62,27.18,,199.3,281.04,0.0,76.03,148.96,-0.18,249.49,0.98,1.64,28.74,120.64,83.75,204.38,34.75,10.84,16-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
16-Jan-2020 - 00:00,54.67,14.48,15.84,27.74,,180.88,265.53,0.0,75.44,143.42,-0.07,186.23,0.88,1.45,27.75,101.68,87.1,188.78,31.31,9.62,17-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
17-Jan-2020 - 00:00,44.26,15.3,14.34,20.84,,142.11,217.27,0.0,75.41,141.75,-0.12,175.29,0.86,1.3,30.07,96.23,73.19,171.52,26.37,10.25,18-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
18-Jan-2020 - 00:00,21.19,9.35,9.59,13.89,,107.33,159.72,0.16,71.09,163.97,-0.12,238.2,1.0,1.23,28.29,35.16,56.9,92.06,26.61,15.81,19-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
19-Jan-2020 - 00:00,21.04,7.27,6.92,12.35,,107.34,158.81,0.0,81.94,152.51,-0.13,247.39,1.35,1.04,25.93,21.99,46.43,68.39,25.15,10.56,20-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
20-Jan-2020 - 00:00,11.32,3.18,3.43,6.97,,84.21,117.78,0.0,82.81,140.96,-0.16,265.05,1.6,0.91,26.39,9.87,37.46,47.29,25.23,6.49,21-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
21-Jan-2020 - 00:00,22.77,6.42,7.22,15.2,,118.2,178.19,0.0,76.18,169.74,-0.12,212.47,1.16,1.04,27.45,48.65,54.76,103.4,29.08,10.33,22-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
22-Jan-2020 - 00:00,38.53,13.71,12.75,21.28,,166.52,248.31,0.0,78.37,150.14,-0.12,215.09,0.94,1.25,29.31,92.69,70.99,163.67,29.39,14.29,23-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
23-Jan-2020 - 00:00,31.76,14.77,11.6,17.25,,144.4,199.43,0.0,83.59,91.81,-0.13,244.21,0.99,1.02,29.05,21.77,55.68,77.41,16.82,7.7,24-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
24-Jan-2020 - 00:00,21.39,5.49,6.41,14.23,,117.81,174.48,0.0,64.12,183.36,-0.15,238.69,1.37,0.71,28.03,38.87,52.67,91.53,29.22,7.06,25-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
25-Jan-2020 - 00:00,16.95,5.03,5.68,11.98,,92.71,141.55,0.0,63.72,185.71,-0.12,261.0,1.24,0.71,27.01,20.36,52.02,72.37,32.11,3.92,26-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
26-Jan-2020 - 00:00,33.61,12.18,11.66,20.07,,169.13,243.14,0.0,71.7,163.55,-0.11,268.31,1.11,1.08,30.63,58.34,58.94,117.28,34.99,5.66,27-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
27-Jan-2020 - 00:00,25.43,4.41,6.17,12.21,,149.78,195.08,0.0,76.29,166.4,-0.13,247.7,1.2,0.95,28.87,13.3,49.9,63.15,33.34,4.68,28-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
28-Jan-2020 - 00:00,34.64,9.09,10.46,17.35,,178.78,259.6,0.0,71.59,143.57,-0.12,196.65,1.07,1.12,32.53,59.79,73.18,132.96,28.87,5.92,29-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
29-Jan-2020 - 00:00,22.45,3.74,4.32,9.98,,61.92,87.49,0.03,92.59,88.63,-0.12,131.07,1.57,0.42,32.6,4.11,37.62,41.71,15.13,3.06,30-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
30-Jan-2020 - 00:00,17.18,4.75,5.02,12.72,,82.52,126.71,0.19,97.99,69.09,-0.12,125.56,1.09,0.62,33.07,13.01,34.73,47.75,11.29,4.36,31-Jan-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
31-Jan-2020 - 00:00,22.26,5.3,6.27,12.71,,87.29,128.31,0.0,80.94,170.09,-0.14,271.92,1.45,0.68,31.82,36.11,32.79,68.89,30.81,5.32,01-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
01-Feb-2020 - 00:00,20.4,5.02,6.72,12.93,,93.11,148.86,0.0,70.06,180.12,-0.14,143.02,1.29,0.9,30.27,42.87,48.06,90.93,35.79,8.99,02-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
02-Feb-2020 - 00:00,17.24,3.65,5.81,11.68,,85.46,126.29,0.0,65.74,176.58,-0.14,268.17,1.43,0.69,27.01,28.65,43.91,72.55,34.37,5.29,03-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
03-Feb-2020 - 00:00,18.67,3.86,6.47,10.78,,86.23,154.19,0.0,64.25,194.31,-0.14,217.59,1.35,0.76,27.36,42.33,51.07,93.35,34.47,6.22,04-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
04-Feb-2020 - 00:00,27.2,7.91,10.35,18.28,,38.78,199.92,0.0,65.02,172.35,-0.12,220.53,1.11,0.9,27.98,71.06,61.38,132.43,33.34,10.94,05-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
05-Feb-2020 - 00:00,24.89,7.69,8.5,14.9,,111.25,177.02,0.0,67.49,138.57,-0.11,210.06,1.04,0.9,26.66,29.43,57.01,86.43,36.34,12.41,06-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
06-Feb-2020 - 00:00,18.02,4.45,5.39,11.93,,96.03,160.5,0.0,67.79,150.65,-0.12,199.35,1.02,0.87,28.9,18.74,53.31,72.05,33.61,10.63,07-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
07-Feb-2020 - 00:00,24.06,6.76,7.53,16.73,,112.25,179.33,0.0,61.66,76.23,-0.13,133.06,1.22,0.96,26.3,16.95,56.31,73.26,11.42,4.68,08-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
08-Feb-2020 - 00:00,23.89,4.06,5.06,13.4,,156.69,226.95,0.0,79.84,40.7,-0.12,274.59,1.35,1.03,27.97,8.84,53.85,62.7,6.15,4.63,09-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
09-Feb-2020 - 00:00,15.49,2.18,3.21,8.47,,103.13,153.04,0.0,69.94,181.47,-0.14,261.56,1.44,0.64,28.63,6.11,39.31,45.42,35.98,6.07,10-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
10-Feb-2020 - 00:00,16.19,2.59,4.28,9.93,,102.86,161.76,0.0,66.9,190.28,-0.1,290.19,1.37,0.73,26.88,18.74,37.7,56.44,35.11,4.83,11-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
11-Feb-2020 - 00:00,27.6,5.74,8.06,19.35,,128.31,196.85,0.0,63.75,199.19,-0.13,258.4,1.26,0.95,27.42,47.01,39.54,86.53,40.39,5.65,12-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
12-Feb-2020 - 00:00,27.19,7.57,8.75,19.23,,121.82,208.83,0.0,65.02,194.46,-0.14,276.38,1.29,1.03,27.03,50.23,44.39,94.6,35.99,6.53,13-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
13-Feb-2020 - 00:00,23.01,7.66,8.31,16.24,,120.53,191.18,0.0,62.35,188.64,-0.13,246.13,1.17,0.99,28.0,36.77,46.61,83.4,39.9,7.5,14-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
14-Feb-2020 - 00:00,25.75,13.59,11.91,16.3,,114.14,200.17,0.0,65.55,185.33,-0.12,235.21,1.2,1.01,28.56,49.29,51.82,101.11,39.03,11.0,15-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
15-Feb-2020 - 00:00,13.69,4.26,5.08,9.47,,83.47,147.31,0.0,60.42,201.82,-0.16,270.3,1.39,0.81,25.11,25.21,37.9,63.11,41.66,6.61,16-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
16-Feb-2020 - 00:00,21.96,6.04,7.65,14.11,,121.46,210.42,0.0,64.39,170.0,-0.12,244.67,1.07,1.07,24.92,32.32,47.37,79.69,38.77,9.53,17-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
17-Feb-2020 - 00:00,20.2,4.92,6.48,13.19,,109.16,194.9,0.0,68.01,168.97,-0.12,227.52,1.03,1.01,26.53,26.89,42.29,69.18,39.96,8.95,18-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
18-Feb-2020 - 00:00,17.58,4.75,5.89,13.12,,99.1,160.52,0.0,74.62,176.79,-0.12,247.55,1.16,0.81,28.96,13.81,30.71,44.53,42.02,8.49,19-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
19-Feb-2020 - 00:00,12.78,2.95,3.91,9.52,,81.09,133.96,0.0,79.61,179.35,-0.11,215.3,1.28,0.52,28.15,14.17,27.23,41.41,36.56,9.42,20-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
20-Feb-2020 - 00:00,10.59,2.24,2.93,11.25,,63.37,109.27,0.0,73.5,173.69,-0.11,192.77,1.47,0.55,59.48,12.68,20.07,32.71,17.97,3.1,21-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
21-Feb-2020 - 00:00,17.64,4.2,5.02,12.49,,96.98,158.93,0.0,72.46,158.41,-0.12,210.44,0.95,0.88,39.38,22.42,35.9,58.31,29.41,4.99,22-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
22-Feb-2020 - 00:00,28.08,7.68,8.45,16.02,,136.36,214.64,0.0,64.79,184.55,-0.12,241.89,1.25,0.97,40.05,48.4,45.14,93.53,28.3,4.68,23-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
23-Feb-2020 - 00:00,19.54,4.61,6.11,12.85,,103.19,165.2,0.0,66.55,152.86,-0.13,194.66,1.25,0.72,38.63,20.87,28.5,49.34,24.22,3.4,24-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
24-Feb-2020 - 00:00,23.96,6.84,7.68,13.86,,111.44,182.93,0.0,81.17,87.94,-0.13,228.52,1.07,0.76,39.2,24.97,32.16,57.12,13.16,3.59,25-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
25-Feb-2020 - 00:00,26.14,8.36,8.03,16.06,,78.8,122.44,0.0,93.38,49.43,-0.12,220.0,1.2,0.54,39.4,24.4,33.75,58.15,9.54,2.3,26-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
26-Feb-2020 - 00:00,14.62,5.37,5.32,10.68,,47.24,75.05,0.0,79.16,173.11,-0.12,226.77,1.2,0.46,37.16,19.46,25.52,44.99,22.99,4.3,27-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
27-Feb-2020 - 00:00,12.27,3.18,3.36,8.05,,51.97,92.0,0.0,73.5,177.11,-0.13,220.67,1.2,0.53,36.07,14.28,25.0,39.29,25.44,4.6,28-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
28-Feb-2020 - 00:00,15.68,3.13,3.76,10.21,,79.23,131.14,0.0,67.46,164.66,-0.13,186.62,1.23,0.61,37.96,19.03,30.19,49.21,26.65,5.38,29-Feb-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
29-Feb-2020 - 00:00,21.36,4.59,5.59,12.2,,98.24,164.09,0.0,66.45,199.05,-0.12,252.82,1.14,0.89,35.96,43.32,41.88,85.17,27.81,8.32,01-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
01-Mar-2020 - 00:00,22.51,4.58,6.81,12.43,,104.69,162.65,0.0,70.0,185.62,-0.12,264.5,1.08,0.89,33.86,27.3,41.68,68.96,36.64,7.31,02-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
02-Mar-2020 - 00:00,17.76,4.54,6.28,9.76,,104.17,172.51,0.0,70.76,182.06,-0.12,246.14,1.13,0.72,29.6,16.26,35.88,52.12,34.22,10.69,03-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
03-Mar-2020 - 00:00,14.8,3.24,4.11,8.7,,88.43,141.04,0.1,77.74,163.12,-0.12,180.2,1.42,0.57,26.41,5.23,31.57,36.78,35.26,7.21,04-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
04-Mar-2020 - 00:00,9.69,2.73,3.02,6.58,,53.56,79.77,0.0,80.47,167.24,-0.12,208.34,1.47,0.47,24.49,4.63,27.62,32.25,28.09,6.84,05-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
05-Mar-2020 - 00:00,9.08,3.3,3.0,6.44,,43.64,72.61,0.0,82.0,184.2,-0.13,204.32,1.44,0.45,23.67,9.38,32.04,41.37,25.34,18.8,06-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
06-Mar-2020 - 00:00,10.81,6.38,5.17,8.93,,46.84,84.41,0.0,82.99,155.17,-0.11,160.4,1.55,0.56,20.81,16.4,30.15,46.53,22.75,6.76,07-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
07-Mar-2020 - 00:00,13.1,5.78,4.56,7.87,,42.0,64.12,0.0,91.7,112.35,-0.12,153.7,1.33,0.63,18.38,7.46,30.03,37.48,22.17,5.31,08-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
08-Mar-2020 - 00:00,10.85,3.11,3.78,7.36,,40.5,69.63,0.02,81.55,201.7,-0.11,260.39,1.3,0.64,17.58,10.17,25.84,35.83,32.9,5.82,09-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
09-Mar-2020 - 00:00,13.29,2.51,4.37,8.23,,71.51,112.22,0.0,64.42,230.58,-0.12,244.36,1.08,0.55,16.08,10.59,29.99,40.58,45.35,6.83,10-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
10-Mar-2020 - 00:00,14.45,2.74,4.34,8.32,,83.12,141.86,0.02,62.1,220.79,-0.12,229.82,1.04,0.72,18.7,5.51,30.11,35.61,56.63,8.94,11-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
11-Mar-2020 - 00:00,9.16,1.43,2.11,4.32,,57.24,98.52,0.0,67.22,187.43,-0.12,267.85,1.2,0.46,17.4,2.62,26.41,29.01,62.73,10.08,12-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
12-Mar-2020 - 00:00,10.88,1.58,2.47,5.75,,63.48,102.37,0.0,76.01,181.78,-0.12,214.01,1.2,0.57,16.7,4.05,35.4,39.44,37.62,15.77,13-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
13-Mar-2020 - 00:00,14.8,4.04,3.95,7.9,,61.19,105.09,0.0,70.97,186.33,-0.12,217.17,1.05,0.7,14.21,5.89,40.11,46.01,51.94,13.51,14-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
14-Mar-2020 - 00:00,7.83,1.21,1.52,2.98,,50.38,92.08,0.0,61.41,219.49,-0.2,119.14,2.3,0.41,15.69,2.87,25.65,28.5,58.69,11.11,15-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
15-Mar-2020 - 00:00,5.53,0.7,1.26,2.9,,25.74,47.81,0.0,69.83,239.21,-0.17,240.85,1.79,0.46,13.32,5.81,33.24,39.06,46.25,9.1,16-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
16-Mar-2020 - 00:00,13.68,4.0,4.38,6.24,,57.84,100.93,0.0,69.66,195.27,-0.14,249.59,1.32,0.68,11.03,15.27,51.45,66.66,44.72,16.69,17-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
17-Mar-2020 - 00:00,19.42,7.23,5.93,8.97,,69.11,126.36,0.07,59.48,204.48,-0.12,176.61,1.06,0.65,11.38,14.54,49.47,63.57,56.19,16.18,18-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
18-Mar-2020 - 00:00,19.25,4.69,5.29,11.23,,84.38,156.9,0.0,59.39,210.81,-0.13,225.8,1.29,0.73,12.16,19.26,41.17,60.41,59.45,29.51,19-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
19-Mar-2020 - 00:00,26.39,6.63,7.65,17.73,,110.71,186.49,0.0,56.64,252.12,-0.12,269.0,1.11,0.87,8.83,66.98,71.99,138.07,55.72,33.92,20-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
20-Mar-2020 - 00:00,11.4,2.77,3.11,6.03,,50.27,83.67,0.0,52.79,244.42,-0.12,278.1,1.66,0.57,11.14,13.96,6.92,20.84,54.84,21.87,21-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
21-Mar-2020 - 00:00,8.39,1.21,1.83,3.06,,50.74,90.13,0.02,68.59,232.65,-0.13,176.58,1.58,0.38,11.49,8.16,13.57,20.92,52.81,17.78,22-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
22-Mar-2020 - 00:00,3.61,0.53,0.83,2.56,,18.81,29.95,0.12,67.13,246.01,-0.14,185.3,1.7,0.35,8.71,1.44,19.04,20.2,62.68,7.98,23-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
23-Mar-2020 - 00:00,6.54,0.7,1.19,2.41,,34.67,57.57,0.0,69.78,228.54,-0.12,193.81,1.21,0.39,7.59,1.21,19.13,20.1,60.84,17.17,24-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
24-Mar-2020 - 00:00,6.11,0.72,1.16,2.21,,34.59,54.6,0.0,69.51,222.2,-0.12,177.81,1.15,0.42,7.2,1.08,17.18,18.03,53.76,11.63,25-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
25-Mar-2020 - 00:00,7.14,1.0,1.74,2.82,,36.41,76.63,0.0,75.62,223.0,-0.12,235.86,1.27,0.44,6.77,1.38,17.16,18.26,48.37,16.02,26-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
26-Mar-2020 - 00:00,6.02,0.72,1.1,2.01,,,64.82,0.0,61.92,253.7,-0.13,264.0,1.23,0.49,6.67,0.88,15.07,15.52,58.53,8.55,27-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
27-Mar-2020 - 00:00,8.08,0.58,1.16,2.32,,,85.55,0.0,56.09,251.07,-0.12,260.75,1.18,0.46,5.85,0.74,15.71,16.11,65.08,16.21,28-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
28-Mar-2020 - 00:00,7.57,0.57,1.07,2.14,,,67.15,0.0,56.87,245.67,-0.13,279.82,1.32,0.44,5.97,0.65,14.92,15.08,67.37,10.52,29-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
29-Mar-2020 - 00:00,6.99,0.41,0.78,1.87,,,,0.0,51.23,262.75,-0.15,301.85,1.48,0.42,5.75,0.67,14.55,14.79,75.51,9.86,30-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
30-Mar-2020 - 00:00,7.46,0.55,1.03,2.31,,,,0.0,46.72,258.64,-0.13,267.37,1.27,0.4,5.56,0.77,14.84,15.05,80.36,12.18,31-Mar-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
31-Mar-2020 - 00:00,7.97,0.73,1.34,2.58,,,,0.0,48.33,258.26,-0.13,260.97,1.25,0.45,5.53,0.7,15.47,15.82,76.15,14.04,01-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
01-Apr-2020 - 00:00,5.32,0.38,0.71,1.78,,,,0.0,66.94,235.1,-0.12,237.62,1.3,0.44,5.96,0.8,14.48,14.9,71.49,13.78,02-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
02-Apr-2020 - 00:00,4.37,0.45,0.77,1.85,,,,0.0,71.1,232.95,-0.12,240.7,1.39,0.38,5.52,0.6,15.33,15.44,60.93,13.2,03-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
03-Apr-2020 - 00:00,6.04,0.53,0.94,2.08,,,,0.0,65.76,227.88,-0.13,238.94,1.27,0.46,5.17,0.82,15.64,16.09,65.28,10.33,04-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
04-Apr-2020 - 00:00,9.09,0.62,1.26,2.61,,,,0.0,51.8,218.38,-0.12,218.56,1.25,0.45,4.94,0.66,15.26,15.41,81.69,13.86,05-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
05-Apr-2020 - 00:00,5.63,0.35,0.71,1.85,,42.53,91.64,0.0,65.32,211.51,-0.12,259.36,1.28,0.44,5.35,4.63,10.6,14.94,69.18,10.17,06-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
06-Apr-2020 - 00:00,5.4,0.44,0.8,1.85,,41.42,69.02,0.0,57.33,260.01,-0.13,256.95,1.27,0.44,5.87,13.33,3.4,16.69,50.86,8.61,07-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
07-Apr-2020 - 00:00,4.56,0.24,0.56,1.55,,48.91,75.73,0.0,60.2,239.19,-0.12,218.12,1.68,0.42,5.43,13.22,3.45,16.64,50.73,15.06,08-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
08-Apr-2020 - 00:00,3.83,0.29,0.51,1.58,,32.66,54.66,0.0,52.86,175.94,-0.13,234.07,1.55,0.45,4.86,13.29,4.91,18.2,52.24,12.21,09-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
09-Apr-2020 - 00:00,3.77,0.23,0.52,1.54,,14.87,43.76,0.0,48.6,239.37,-0.12,234.72,1.53,0.41,4.58,12.97,4.0,16.97,67.8,15.36,10-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
10-Apr-2020 - 00:00,3.24,0.25,0.45,1.37,,1.29,48.05,0.0,73.92,222.56,-0.11,219.67,1.69,0.4,3.97,13.08,2.69,15.76,42.26,8.54,11-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
11-Apr-2020 - 00:00,3.25,0.22,0.41,1.43,,,48.57,0.0,72.15,219.29,-0.12,194.91,1.61,0.41,3.83,13.23,3.1,16.32,37.06,12.89,12-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
12-Apr-2020 - 00:00,3.12,0.56,0.57,1.51,,,62.64,0.0,70.05,200.5,-0.12,148.33,1.76,0.41,3.86,12.84,2.24,15.06,38.63,7.66,13-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
13-Apr-2020 - 00:00,2.87,0.14,0.35,1.39,,,53.66,0.0,79.59,218.24,-0.12,177.01,1.7,0.5,3.48,12.83,2.12,14.93,35.32,8.97,14-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
14-Apr-2020 - 00:00,2.78,0.14,0.32,1.35,,,62.81,0.0,78.35,232.65,-0.11,173.78,1.73,0.45,3.25,12.84,2.05,14.86,33.44,8.42,15-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
15-Apr-2020 - 00:00,3.43,0.22,0.44,1.59,,50.16,68.13,0.0,79.68,182.35,-0.13,173.31,1.5,0.43,4.33,7.36,6.8,14.1,35.18,10.29,16-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
16-Apr-2020 - 00:00,4.83,0.36,0.75,2.0,,36.63,63.3,0.0,74.66,217.14,-0.12,156.25,1.5,0.43,5.08,2.48,12.12,14.57,35.42,9.72,17-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
17-Apr-2020 - 00:00,2.33,0.08,0.27,1.12,999.96,29.07,49.02,0.0,73.89,230.74,-0.1,189.97,2.23,0.43,4.7,1.92,10.8,12.7,37.96,10.53,18-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
18-Apr-2020 - 00:00,2.04,0.1,0.28,1.16,,21.01,35.74,0.0,78.06,167.46,-0.12,204.25,1.77,0.41,4.66,2.04,10.49,12.44,32.38,10.68,19-Apr-2020 - 00:00,"Padmapukur, Howrah - WBPCB"
