from date,NO2,SO2,CO,PM10,PM2.5,to date,station
20-May-2020 - 00:00,3.96,11.53,0.33,89.38,58.62,21-May-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
21-May-2020 - 00:00,3.29,9.4,0.36,98.04,64.34,22-May-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
22-May-2020 - 00:00,2.44,10.26,0.41,98.59,67.07,23-May-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
23-May-2020 - 00:00,1.31,9.0,0.4,104.24,54.63,24-May-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
24-May-2020 - 00:00,1.19,9.69,0.38,85.33,55.03,25-May-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
25-May-2020 - 00:00,1.29,9.63,0.41,104.18,75.93,26-May-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
26-May-2020 - 00:00,0.97,12.46,0.36,98.81,69.4,27-May-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
27-May-2020 - 00:00,0.7,10.74,0.38,76.19,45.31,28-May-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
28-May-2020 - 00:00,0.3,8.29,0.33,123.53,48.43,29-May-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
29-May-2020 - 00:00,2.88,7.64,0.34,42.13,30.09,30-May-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
30-May-2020 - 00:00,5.51,7.88,0.35,64.11,37.19,31-May-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
31-May-2020 - 00:00,4.13,9.75,0.39,43.2,23.91,01-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
01-Jun-2020 - 00:00,6.46,5.58,0.32,40.62,24.47,02-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
02-Jun-2020 - 00:00,10.19,6.78,0.36,72.78,45.88,03-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
03-Jun-2020 - 00:00,9.88,7.88,0.35,70.27,34.46,04-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
04-Jun-2020 - 00:00,9.82,8.39,0.36,67.92,36.87,05-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
05-Jun-2020 - 00:00,10.52,7.38,0.35,40.02,24.7,06-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
06-Jun-2020 - 00:00,10.33,8.66,0.37,90.48,56.82,07-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
07-Jun-2020 - 00:00,13.26,8.13,0.41,33.09,20.3,08-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
08-Jun-2020 - 00:00,11.32,8.04,0.35,189.48,38.42,09-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
09-Jun-2020 - 00:00,10.25,9.18,0.36,130.61,38.38,10-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
10-Jun-2020 - 00:00,10.23,11.17,0.43,98.63,58.08,11-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
11-Jun-2020 - 00:00,10.14,8.96,0.37,95.25,55.88,12-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
12-Jun-2020 - 00:00,10.12,7.5,0.33,198.95,91.79,13-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
13-Jun-2020 - 00:00,9.99,7.81,0.4,232.71,79.01,14-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
14-Jun-2020 - 00:00,9.53,8.72,0.34,62.59,31.43,15-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
15-Jun-2020 - 00:00,8.49,9.06,0.35,77.72,47.39,16-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
16-Jun-2020 - 00:00,7.21,8.73,0.34,79.53,46.95,17-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
17-Jun-2020 - 00:00,7.62,8.75,0.35,86.74,51.69,18-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
18-Jun-2020 - 00:00,7.05,8.75,0.42,60.94,35.35,19-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
19-Jun-2020 - 00:00,6.68,8.81,0.31,73.86,36.61,20-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
20-Jun-2020 - 00:00,8.75,9.01,0.35,97.3,55.75,21-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
21-Jun-2020 - 00:00,8.4,7.32,0.32,52.06,30.46,22-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
22-Jun-2020 - 00:00,12.19,7.68,0.34,46.67,20.21,23-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
23-Jun-2020 - 00:00,11.14,9.98,0.37,73.27,30.26,24-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
24-Jun-2020 - 00:00,15.06,10.57,0.41,58.37,32.92,25-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
25-Jun-2020 - 00:00,25.24,10.18,0.36,62.78,32.59,26-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
26-Jun-2020 - 00:00,26.69,8.99,0.37,60.28,32.27,27-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
27-Jun-2020 - 00:00,10.78,12.78,0.44,48.52,28.09,28-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
28-Jun-2020 - 00:00,7.62,9.26,0.41,77.36,42.48,29-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
29-Jun-2020 - 00:00,3.26,7.82,0.39,60.41,32.17,30-Jun-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
30-Jun-2020 - 00:00,3.22,9.4,0.4,35.22,19.75,01-Jul-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
01-Jul-2020 - 00:00,3.62,8.62,0.35,53.27,30.63,02-Jul-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
02-Jul-2020 - 00:00,1.56,10.9,0.37,74.16,40.14,03-Jul-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
03-Jul-2020 - 00:00,3.43,9.74,0.34,69.72,39.42,04-Jul-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
04-Jul-2020 - 00:00,2.32,8.26,0.36,39.03,20.76,05-Jul-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
05-Jul-2020 - 00:00,1.73,8.66,0.41,31.84,14.94,06-Jul-2020 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
