from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
30-Mar-2020 - 00:00,25.01,52.99,6.67,1.39,8.06,4.08,4.13,0.29,54.73,20.37,26.29,11.65,28.36,69.8,,217.76,0.98,218.39,31-Mar-2020 - 00:00,"Worli, Mumbai - MPCB"
31-Mar-2020 - 00:00,26.27,55.42,4.79,1.93,6.72,3.63,5.23,0.3,33.82,18.05,20.91,13.02,28.01,75.58,,146.89,1.02,201.22,01-Apr-2020 - 00:00,"Worli, Mumbai - MPCB"
01-Apr-2020 - 00:00,21.28,54.82,5.33,1.06,6.38,3.85,3.92,0.26,55.92,14.31,20.63,11.17,27.84,78.57,,275.29,1.31,223.44,02-Apr-2020 - 00:00,"Worli, Mumbai - MPCB"
02-Apr-2020 - 00:00,28.38,69.58,7.23,0.98,8.21,3.67,4.07,0.3,68.08,13.2,26.68,10.47,28.4,77.12,,137.03,1.18,230.99,03-Apr-2020 - 00:00,"Worli, Mumbai - MPCB"
03-Apr-2020 - 00:00,26.26,74.72,7.02,1.13,8.15,3.41,3.56,0.29,54.57,13.52,25.13,10.56,28.73,76.66,,212.39,1.04,227.06,04-Apr-2020 - 00:00,"Worli, Mumbai - MPCB"
04-Apr-2020 - 00:00,27.39,72.21,5.61,1.19,6.8,3.43,3.55,0.28,52.48,15.85,18.67,11.29,28.64,79.06,,173.62,1.02,234.68,05-Apr-2020 - 00:00,"Worli, Mumbai - MPCB"
05-Apr-2020 - 00:00,29.09,68.67,5.64,1.23,6.87,3.27,3.54,0.29,53.77,14.84,26.15,10.21,28.56,81.06,,253.98,1.02,219.77,06-Apr-2020 - 00:00,"Worli, Mumbai - MPCB"
06-Apr-2020 - 00:00,21.7,55.29,4.18,1.34,5.52,3.11,3.45,0.24,33.86,16.51,23.52,10.27,28.12,82.69,,254.49,1.13,208.24,07-Apr-2020 - 00:00,"Worli, Mumbai - MPCB"
07-Apr-2020 - 00:00,25.95,79.56,4.64,1.76,6.4,3.31,3.83,0.25,26.68,15.86,17.62,9.5,27.61,81.18,,244.59,0.88,204.55,08-Apr-2020 - 00:00,"Worli, Mumbai - MPCB"
08-Apr-2020 - 00:00,33.68,93.73,4.91,2.64,7.55,3.14,3.53,0.25,24.35,15.7,25.14,12.43,27.88,77.49,,92.11,0.88,208.37,09-Apr-2020 - 00:00,"Worli, Mumbai - MPCB"
