from date,PM2.5,PM10,NOx,SO2,CO,to date,station
05-Mar-2020 - 00:00,62.83,92.49,34.15,18.33,0.98,06-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
06-Mar-2020 - 00:00,66.13,94.97,27.29,19.87,0.96,07-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
07-Mar-2020 - 00:00,50.44,83.46,25.01,15.35,0.84,08-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
08-Mar-2020 - 00:00,53.52,89.69,31.96,8.13,0.95,09-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
09-Mar-2020 - 00:00,51.2,97.96,38.3,12.5,1.03,10-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
10-Mar-2020 - 00:00,87.21,127.27,36.11,11.85,1.25,11-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
11-Mar-2020 - 00:00,44.35,74.96,22.14,13.07,0.88,12-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
12-Mar-2020 - 00:00,40.81,89.49,36.64,15.72,0.94,13-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
13-Mar-2020 - 00:00,34.01,94.16,37.25,17.26,0.95,14-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
14-Mar-2020 - 00:00,44.01,78.63,23.59,11.88,0.84,15-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
15-Mar-2020 - 00:00,55.47,107.86,26.36,12.75,0.87,16-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
16-Mar-2020 - 00:00,43.23,112.77,58.04,17.53,1.15,17-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
17-Mar-2020 - 00:00,43.23,112.77,69.35,20.06,1.34,18-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
18-Mar-2020 - 00:00,43.23,112.77,74.13,23.07,1.47,19-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
19-Mar-2020 - 00:00,43.23,112.77,62.91,24.64,1.26,20-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
20-Mar-2020 - 00:00,43.23,112.77,32.63,24.8,0.85,21-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
21-Mar-2020 - 00:00,43.23,112.77,44.01,23.04,0.91,22-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
22-Mar-2020 - 00:00,43.23,112.77,39.72,26.36,0.95,23-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
23-Mar-2020 - 00:00,43.23,112.77,30.09,27.42,0.89,24-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
24-Mar-2020 - 00:00,43.23,112.77,26.41,28.35,0.86,25-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
25-Mar-2020 - 00:00,43.23,112.77,17.08,29.26,0.61,26-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
26-Mar-2020 - 00:00,43.23,112.77,13.62,30.28,0.48,27-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
27-Mar-2020 - 00:00,43.23,112.77,14.37,31.59,0.5,28-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
28-Mar-2020 - 00:00,43.23,112.77,15.68,32.85,0.46,29-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
29-Mar-2020 - 00:00,43.23,112.77,13.59,29.43,0.45,30-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
30-Mar-2020 - 00:00,43.23,112.77,17.28,29.2,0.53,31-Mar-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
31-Mar-2020 - 00:00,43.23,112.77,18.56,25.08,0.57,01-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
01-Apr-2020 - 00:00,43.23,112.77,13.64,14.75,0.51,02-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
02-Apr-2020 - 00:00,43.23,112.77,11.03,15.12,0.45,03-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
03-Apr-2020 - 00:00,43.23,,11.65,17.03,0.45,04-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
04-Apr-2020 - 00:00,43.23,,15.62,17.68,0.54,05-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
05-Apr-2020 - 00:00,43.23,,20.76,6.86,0.64,06-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
06-Apr-2020 - 00:00,43.23,,16.61,4.17,0.56,07-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
07-Apr-2020 - 00:00,43.23,,17.31,8.09,0.54,08-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
08-Apr-2020 - 00:00,43.23,,12.57,10.52,0.47,09-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
09-Apr-2020 - 00:00,43.23,,11.87,9.17,0.46,10-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
10-Apr-2020 - 00:00,43.23,,18.32,1.84,0.56,11-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
11-Apr-2020 - 00:00,43.23,,16.8,6.8,0.5,12-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
12-Apr-2020 - 00:00,43.23,,15.58,10.97,0.52,13-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
13-Apr-2020 - 00:00,43.23,,17.36,4.99,0.54,14-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
14-Apr-2020 - 00:00,43.23,,19.54,3.03,0.49,15-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
15-Apr-2020 - 00:00,43.23,,16.75,8.19,0.49,16-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
16-Apr-2020 - 00:00,43.23,,13.6,11.3,0.45,17-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
17-Apr-2020 - 00:00,43.23,,20.14,14.73,0.65,18-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
18-Apr-2020 - 00:00,43.23,,17.57,17.36,0.57,19-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
19-Apr-2020 - 00:00,43.23,,17.46,20.11,0.56,20-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
20-Apr-2020 - 00:00,43.23,,18.27,21.71,0.53,21-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
21-Apr-2020 - 00:00,43.23,,17.11,21.41,0.45,22-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
22-Apr-2020 - 00:00,43.23,,19.92,23.43,0.54,23-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
23-Apr-2020 - 00:00,43.23,,22.23,25.38,0.65,24-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
24-Apr-2020 - 00:00,43.23,,19.27,26.25,0.53,25-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
25-Apr-2020 - 00:00,43.23,,14.34,26.04,0.46,26-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
26-Apr-2020 - 00:00,43.23,,12.55,28.53,0.44,27-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
27-Apr-2020 - 00:00,43.23,,14.2,29.7,0.4,28-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
28-Apr-2020 - 00:00,43.23,,13.27,30.68,0.46,29-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
29-Apr-2020 - 00:00,43.23,,12.59,31.99,0.48,30-Apr-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
30-Apr-2020 - 00:00,43.23,,15.71,32.79,0.54,01-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
01-May-2020 - 00:00,43.23,,12.07,33.84,0.48,02-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
02-May-2020 - 00:00,43.23,,11.16,34.68,0.43,03-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
03-May-2020 - 00:00,43.23,,11.27,34.67,0.46,04-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
04-May-2020 - 00:00,,,23.04,27.13,0.43,05-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
05-May-2020 - 00:00,,,15.71,31.07,0.44,06-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
06-May-2020 - 00:00,,,19.91,32.8,0.6,07-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
07-May-2020 - 00:00,,,23.18,31.8,0.63,08-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
08-May-2020 - 00:00,,,30.34,33.23,0.87,09-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
09-May-2020 - 00:00,,,26.29,32.93,0.9,10-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
10-May-2020 - 00:00,,,17.24,32.25,0.78,11-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
11-May-2020 - 00:00,,,17.59,32.06,0.68,12-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
12-May-2020 - 00:00,,,15.06,31.53,0.6,13-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
13-May-2020 - 00:00,,,23.61,31.63,0.72,14-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
14-May-2020 - 00:00,,,25.19,31.7,0.8,15-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
15-May-2020 - 00:00,,,17.15,31.3,0.68,16-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
16-May-2020 - 00:00,,,17.9,31.3,0.65,17-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
17-May-2020 - 00:00,,,22.19,29.66,0.67,18-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
18-May-2020 - 00:00,,,20.77,31.05,0.6,19-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
19-May-2020 - 00:00,,,21.07,31.64,0.65,20-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
20-May-2020 - 00:00,,,21.59,31.61,0.59,21-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
21-May-2020 - 00:00,,,22.02,31.69,0.65,22-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
22-May-2020 - 00:00,,,22.82,31.76,0.63,23-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
23-May-2020 - 00:00,,,13.56,32.6,0.47,24-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
24-May-2020 - 00:00,,,25.46,31.64,1.92,25-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
25-May-2020 - 00:00,,,14.71,33.04,0.41,26-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
26-May-2020 - 00:00,,,14.59,33.3,0.4,27-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
27-May-2020 - 00:00,,,23.43,33.9,0.6,28-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
28-May-2020 - 00:00,,,19.93,35.59,0.71,29-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
29-May-2020 - 00:00,,,15.2,33.35,0.57,30-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
30-May-2020 - 00:00,,,15.31,33.6,0.5,31-May-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
31-May-2020 - 00:00,,,14.71,33.08,0.51,01-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
01-Jun-2020 - 00:00,,,19.1,33.01,0.56,02-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
02-Jun-2020 - 00:00,,,21.21,33.15,0.56,03-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
03-Jun-2020 - 00:00,,,19.79,33.06,0.54,04-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
04-Jun-2020 - 00:00,,,20.15,30.42,0.54,05-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
05-Jun-2020 - 00:00,,,17.41,30.69,0.47,06-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
06-Jun-2020 - 00:00,,,18.16,30.69,0.5,07-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
07-Jun-2020 - 00:00,,,22.31,30.12,0.54,08-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
08-Jun-2020 - 00:00,,,26.27,30.61,0.61,09-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
09-Jun-2020 - 00:00,,,30.92,30.97,0.74,10-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
10-Jun-2020 - 00:00,,,28.38,30.78,0.73,11-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
11-Jun-2020 - 00:00,,,19.68,30.68,0.57,12-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
12-Jun-2020 - 00:00,,,19.08,30.94,0.63,13-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
13-Jun-2020 - 00:00,,,19.43,31.51,0.54,14-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
14-Jun-2020 - 00:00,,,16.4,31.53,0.44,15-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
15-Jun-2020 - 00:00,,,17.73,32.4,0.4,16-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
16-Jun-2020 - 00:00,,,18.01,31.89,0.45,17-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
17-Jun-2020 - 00:00,,,18.39,32.22,0.41,18-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
18-Jun-2020 - 00:00,,,17.8,32.14,0.41,19-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
19-Jun-2020 - 00:00,,,14.95,32.04,0.4,20-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
20-Jun-2020 - 00:00,,,15.11,32.0,0.34,21-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
21-Jun-2020 - 00:00,,,12.75,31.52,0.3,22-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
22-Jun-2020 - 00:00,,,15.55,28.52,0.36,23-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
23-Jun-2020 - 00:00,,,14.1,28.85,0.41,24-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
24-Jun-2020 - 00:00,,,15.16,29.78,0.45,25-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
25-Jun-2020 - 00:00,,,16.52,29.69,0.44,26-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
26-Jun-2020 - 00:00,,,31.19,29.74,0.32,27-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
27-Jun-2020 - 00:00,,,12.48,4.91,0.23,28-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
28-Jun-2020 - 00:00,,,13.01,6.53,0.26,29-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
29-Jun-2020 - 00:00,,,11.98,5.01,0.23,30-Jun-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
30-Jun-2020 - 00:00,,,15.21,5.35,0.26,01-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
01-Jul-2020 - 00:00,,,19.14,1.45,0.31,02-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
02-Jul-2020 - 00:00,,,20.48,0.92,0.39,03-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
03-Jul-2020 - 00:00,,,14.41,0.79,0.29,04-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
04-Jul-2020 - 00:00,,,11.86,0.7,0.26,05-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
05-Jul-2020 - 00:00,,,12.88,0.74,0.28,06-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
06-Jul-2020 - 00:00,,,11.02,0.71,0.24,07-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
07-Jul-2020 - 00:00,,,12.97,0.72,0.25,08-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
08-Jul-2020 - 00:00,,,14.24,0.65,0.24,09-Jul-2020 - 00:00,"Phool Bagh, Gwalior - Mondelez Ind. Food"
