from date,SR,Temp,VWS,NO,NO2,NOx,WS,CO,WD,Ozone,PM10,PM2.5,Benzene,Toluene,O Xylene,Eth-Benzene,MP-Xylene,BP,RH,SO2,to date,station
14-Oct-2020 - 00:00,183.75,33.35,0.27,15.99,20.25,22.89,0.55,0.63,95.98,28.87,157.39,69.72,2.04,2.69,0.71,0.9,0.7,736.75,22.55,7.71,15-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
15-Oct-2020 - 00:00,153.36,32.9,0.36,13.18,20.78,21.39,0.78,0.57,90.82,44.96,192.66,99.89,1.98,2.71,0.71,0.9,0.69,736.16,30.45,10.18,16-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
16-Oct-2020 - 00:00,169.66,34.46,0.21,10.57,15.54,16.46,0.73,0.58,108.09,34.55,190.38,98.28,2.0,2.7,0.71,0.9,0.7,736.62,28.22,9.31,17-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
17-Oct-2020 - 00:00,130.28,34.5,0.34,8.68,12.31,13.34,0.62,0.41,100.39,51.01,170.3,79.28,1.99,2.7,0.7,0.9,0.7,736.24,27.92,8.62,18-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
18-Oct-2020 - 00:00,52.63,30.09,0.28,11.8,15.9,17.8,0.58,0.73,107.4,44.58,140.79,73.61,2.0,2.69,0.69,0.9,0.7,735.24,44.24,11.38,19-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
19-Oct-2020 - 00:00,129.81,31.14,0.21,68.82,22.21,66.68,0.27,1.02,150.83,25.91,124.99,69.22,2.2,3.02,0.7,0.9,0.7,734.34,48.15,10.72,20-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
20-Oct-2020 - 00:00,168.32,32.02,0.26,77.28,45.79,85.45,0.21,1.23,158.18,26.38,92.1,58.9,2.25,3.25,1.19,1.05,0.85,730.79,46.0,9.45,21-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
21-Oct-2020 - 00:00,138.6,33.26,0.25,22.35,17.35,26.79,0.71,0.77,169.04,35.72,89.68,52.92,2.22,3.17,1.5,1.29,1.15,729.33,35.8,9.59,22-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
22-Oct-2020 - 00:00,187.36,31.48,0.25,28.55,20.05,33.15,0.63,1.47,91.36,37.91,136.55,67.25,2.51,3.35,1.07,1.34,1.43,729.58,25.16,11.12,23-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
23-Oct-2020 - 00:00,179.21,30.95,0.25,47.12,16.96,46.32,0.28,1.73,126.26,38.8,186.18,93.9,2.27,3.15,1.35,1.15,1.42,729.56,27.91,11.33,24-Oct-2020 - 00:00,"Collectorate, Jodhpur - RSPCB"
