from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
12-Feb-2020 - 00:00,37.55,79.42,10.82,2.84,13.66,5.9,2.76,0.35,19.11,0.06,0.04,0.1,26.27,69.86,,177.81,0.53,141.94,13-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
13-Feb-2020 - 00:00,41.44,72.68,7.86,3.25,11.12,5.83,1.87,0.36,16.43,0.05,0.2,0.3,25.86,70.75,,264.89,0.63,175.7,14-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
14-Feb-2020 - 00:00,48.05,90.28,12.85,3.58,16.43,7.46,1.82,0.39,17.7,0.04,1.76,2.99,25.41,64.76,,283.37,0.76,182.13,15-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
15-Feb-2020 - 00:00,45.19,100.48,14.1,3.14,17.24,9.05,3.37,0.38,11.49,0.4,5.57,6.27,23.24,64.9,,281.68,0.7,165.29,16-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
16-Feb-2020 - 00:00,57.28,123.28,17.02,3.06,20.08,8.96,3.39,0.5,30.84,1.06,4.61,1.84,23.43,70.26,,266.41,0.65,178.12,17-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
17-Feb-2020 - 00:00,63.22,108.31,11.09,2.71,13.8,8.55,3.73,0.49,26.51,0.9,3.78,1.48,25.78,68.25,,266.66,0.77,169.73,18-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
18-Feb-2020 - 00:00,58.36,106.9,12.68,2.57,15.25,7.72,5.18,0.45,36.5,0.85,3.17,1.29,26.33,64.46,,267.76,0.83,173.71,19-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
19-Feb-2020 - 00:00,50.45,114.48,11.38,2.68,14.06,7.14,2.82,0.37,30.71,0.58,3.53,1.26,25.41,67.92,,278.25,0.81,152.46,20-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
20-Feb-2020 - 00:00,40.38,85.72,11.58,2.89,14.47,6.95,1.96,0.33,20.4,0.5,2.82,1.08,24.46,68.78,,285.83,0.76,153.7,21-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
21-Feb-2020 - 00:00,26.19,64.63,9.33,3.65,12.99,7.36,2.98,0.3,13.43,0.43,3.66,1.31,23.29,70.84,,298.19,0.64,153.61,22-Feb-2020 - 00:00,"Borivali East, Mumbai - MPCB"
