from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,BP,PM10,PM2.5,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
11-Jan-2020 - 00:00,3.05,1.09,2.7,1.57,748.72,99.74,54.1,0.0,60.87,12.71,153.19,0.92,0.72,11.06,22.17,30.28,52.42,31.58,8.17,12-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
12-Jan-2020 - 00:00,3.77,1.38,3.38,1.96,745.81,93.66,60.21,0.0,61.34,15.31,163.68,0.93,0.86,12.44,28.1,29.34,57.42,34.67,9.35,13-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
13-Jan-2020 - 00:00,3.52,1.16,2.95,1.73,740.91,130.9,55.63,0.0,64.34,19.4,242.74,1.29,0.56,17.5,24.31,22.93,47.21,35.15,7.69,14-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
14-Jan-2020 - 00:00,2.08,0.42,1.06,0.62,743.98,73.58,34.14,0.0,68.47,16.49,196.78,1.22,0.62,18.47,15.39,25.0,40.37,37.87,7.46,15-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
15-Jan-2020 - 00:00,2.98,0.75,1.53,0.89,744.39,92.46,52.81,0.03,85.5,15.09,56.19,1.32,0.63,21.04,14.78,25.35,38.18,42.42,7.7,16-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
16-Jan-2020 - 00:00,2.63,0.75,1.41,0.98,743.6,80.48,46.29,0.0,97.43,14.52,229.75,1.22,0.5,20.87,14.67,19.51,34.18,26.56,7.67,17-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
17-Jan-2020 - 00:00,1.76,0.48,1.03,0.61,746.14,69.66,38.95,0.0,79.79,14.21,239.5,1.18,0.52,23.31,11.63,22.09,33.63,35.41,8.08,18-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
18-Jan-2020 - 00:00,2.34,0.69,1.74,0.97,747.0,83.26,44.93,0.0,84.01,13.75,134.83,0.85,0.77,28.62,18.79,17.5,36.24,25.52,7.92,19-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
19-Jan-2020 - 00:00,2.92,1.1,2.67,1.53,748.56,79.53,44.02,0.0,89.28,12.92,160.18,0.8,0.57,27.91,27.1,18.06,45.15,21.26,7.66,20-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
20-Jan-2020 - 00:00,2.83,0.99,2.43,1.4,747.16,90.38,41.64,0.0,80.7,13.6,147.88,0.8,0.52,27.29,13.75,22.2,35.89,28.73,7.87,21-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
21-Jan-2020 - 00:00,2.91,1.11,2.78,1.56,746.39,117.25,50.53,0.0,78.38,15.67,174.07,0.91,0.49,30.7,19.33,25.61,44.91,24.12,8.37,22-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
22-Jan-2020 - 00:00,2.24,0.83,2.07,1.22,748.97,76.16,31.83,0.0,75.05,15.52,164.1,1.02,0.54,33.41,8.39,23.35,31.67,31.96,7.51,23-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
23-Jan-2020 - 00:00,2.39,0.81,2.22,1.34,749.45,91.83,40.47,0.0,64.46,15.33,206.26,0.77,0.64,30.36,14.26,21.31,35.5,13.03,7.81,24-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
24-Jan-2020 - 00:00,2.32,0.99,2.76,1.74,747.19,69.95,30.33,0.0,48.78,15.44,176.86,0.94,0.57,26.5,12.11,23.0,35.01,4.18,8.04,25-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
25-Jan-2020 - 00:00,2.63,1.0,2.81,1.63,746.0,94.24,40.46,0.0,50.51,16.49,179.74,0.74,0.73,25.36,17.1,28.86,45.9,16.83,8.62,26-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
26-Jan-2020 - 00:00,3.19,1.26,3.49,1.94,744.28,116.22,45.71,0.0,54.38,17.88,142.5,0.97,0.65,25.36,10.61,25.5,36.05,12.05,8.41,27-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
27-Jan-2020 - 00:00,2.75,1.16,3.0,1.68,740.32,108.16,37.88,0.0,63.62,18.88,142.33,0.87,0.65,21.06,11.37,17.87,29.08,30.92,7.93,28-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
28-Jan-2020 - 00:00,1.92,0.99,2.68,1.6,739.63,61.75,23.36,0.0,45.6,20.52,261.81,1.5,0.33,18.11,10.37,17.11,27.47,52.2,7.71,29-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
29-Jan-2020 - 00:00,1.29,0.47,1.26,0.76,745.82,53.17,20.81,0.0,48.15,17.15,161.23,1.09,0.63,18.31,10.46,16.37,26.83,45.43,7.63,30-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
30-Jan-2020 - 00:00,1.87,0.63,1.88,1.11,747.33,69.16,30.5,0.0,52.36,15.56,164.28,1.01,0.58,18.08,11.99,18.54,30.52,12.59,7.75,31-Jan-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
31-Jan-2020 - 00:00,1.44,0.38,1.45,0.83,744.67,71.33,27.74,0.0,48.87,16.28,124.7,1.07,0.57,18.85,9.69,17.06,26.74,4.54,7.28,01-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
01-Feb-2020 - 00:00,1.7,0.52,1.86,1.07,746.97,79.16,33.7,0.0,49.72,16.51,138.85,0.93,0.56,19.3,10.78,18.07,28.84,14.18,7.95,02-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
02-Feb-2020 - 00:00,2.02,0.41,2.2,1.29,748.83,85.85,37.7,0.0,52.14,15.23,151.47,0.93,0.67,18.41,11.91,17.56,29.46,9.96,7.72,03-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
03-Feb-2020 - 00:00,2.39,0.34,2.45,1.41,747.25,93.6,41.43,0.0,60.83,15.64,163.13,0.96,0.71,18.72,13.52,19.8,33.33,11.22,7.15,04-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
04-Feb-2020 - 00:00,2.79,0.4,3.09,1.75,744.9,115.08,47.36,0.0,62.78,16.58,150.13,0.81,0.65,20.03,12.43,20.59,33.02,13.86,8.27,05-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
05-Feb-2020 - 00:00,2.67,0.73,2.87,1.66,745.97,91.83,44.94,0.0,57.72,17.18,130.21,0.99,0.6,20.76,12.55,20.39,32.93,8.77,7.56,06-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
06-Feb-2020 - 00:00,2.66,0.57,2.83,1.61,744.94,104.55,53.64,0.0,62.53,16.59,202.15,0.92,0.64,38.78,22.56,40.52,61.26,26.98,7.39,07-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
07-Feb-2020 - 00:00,2.47,0.49,2.47,1.35,747.02,93.38,51.72,0.0,56.63,16.82,136.36,1.03,0.53,57.04,15.98,66.4,81.96,20.21,8.05,08-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
08-Feb-2020 - 00:00,2.86,0.49,2.83,1.89,749.86,112.92,58.1,0.0,57.45,15.89,135.59,0.82,0.78,69.17,23.96,46.17,68.39,35.24,9.35,09-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
09-Feb-2020 - 00:00,2.74,0.36,2.54,1.54,750.47,111.52,57.83,0.0,59.23,15.18,179.59,0.99,0.5,23.63,29.4,25.49,53.82,28.98,8.52,10-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
10-Feb-2020 - 00:00,2.4,0.35,2.39,1.34,748.34,104.19,52.17,0.0,54.69,15.94,154.18,1.01,0.59,18.61,16.48,35.18,51.39,16.69,8.75,11-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
11-Feb-2020 - 00:00,2.66,0.36,2.97,1.63,748.15,120.22,57.42,0.0,56.11,17.34,150.08,1.06,0.62,17.96,19.7,24.36,43.46,11.84,8.92,12-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
12-Feb-2020 - 00:00,3.08,0.36,3.29,1.82,748.85,135.22,63.09,0.0,57.02,19.1,184.01,0.78,0.82,21.67,27.7,26.79,53.57,28.7,9.51,13-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
13-Feb-2020 - 00:00,3.38,0.35,4.32,2.36,746.55,104.11,50.21,0.0,53.79,21.6,204.84,0.91,0.63,40.68,11.7,33.09,44.33,50.85,8.76,14-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
14-Feb-2020 - 00:00,2.1,0.35,2.58,1.43,744.27,79.39,41.53,0.0,40.63,21.64,277.73,1.46,0.49,43.79,9.35,30.41,39.76,55.8,8.69,15-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
15-Feb-2020 - 00:00,1.81,0.36,1.97,1.1,744.42,63.55,37.29,0.0,47.17,21.07,181.0,1.09,0.56,45.93,11.37,29.86,41.19,29.75,8.81,16-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
16-Feb-2020 - 00:00,2.26,0.35,2.55,1.39,746.28,70.48,36.85,0.0,51.84,20.97,144.17,0.73,0.71,43.72,13.42,26.52,39.93,27.11,8.82,17-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
17-Feb-2020 - 00:00,3.45,1.4,4.3,2.75,747.11,95.69,51.69,0.0,53.2,21.49,134.91,0.81,0.64,45.9,17.19,39.73,56.5,23.16,10.81,18-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
18-Feb-2020 - 00:00,3.39,0.49,3.35,1.81,744.91,87.45,40.96,0.0,54.88,21.98,183.75,0.9,0.6,63.49,11.16,33.25,44.41,30.59,9.29,19-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
19-Feb-2020 - 00:00,2.72,0.35,2.75,1.45,741.91,56.73,26.81,0.0,49.02,24.0,183.52,0.97,0.49,50.26,11.38,30.16,41.54,27.93,9.29,20-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
20-Feb-2020 - 00:00,2.08,0.36,2.56,1.37,740.58,82.69,35.94,0.0,60.95,24.14,153.1,1.05,0.68,30.7,10.49,26.13,36.62,54.04,9.2,21-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
21-Feb-2020 - 00:00,2.43,0.36,1.71,0.91,744.77,107.2,47.72,0.0,67.01,20.61,259.4,2.01,0.6,28.77,10.33,25.12,35.32,80.91,8.64,22-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
22-Feb-2020 - 00:00,2.68,0.35,2.3,1.17,748.48,84.93,41.61,0.0,81.0,18.81,150.09,1.07,0.59,27.44,9.66,23.21,32.91,67.87,10.06,23-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
23-Feb-2020 - 00:00,2.44,0.35,1.9,0.93,746.87,82.59,42.23,0.0,83.27,19.31,217.88,1.05,0.62,29.44,8.42,30.42,38.84,71.13,9.82,24-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
24-Feb-2020 - 00:00,1.9,0.35,1.69,0.83,744.24,79.85,40.22,0.0,78.29,20.36,206.68,0.75,0.56,27.09,9.07,48.53,57.61,64.31,10.04,25-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
25-Feb-2020 - 00:00,3.16,0.35,2.58,1.37,743.41,89.19,45.38,0.0,70.58,21.34,183.93,0.93,0.84,25.61,14.21,66.05,80.25,38.73,11.07,26-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
26-Feb-2020 - 00:00,2.89,0.48,2.75,1.48,743.33,104.73,44.03,0.0,59.02,23.22,202.23,1.11,0.79,23.33,17.42,66.12,83.54,27.19,11.62,27-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
27-Feb-2020 - 00:00,2.71,0.38,3.25,1.71,743.03,97.51,41.16,0.0,58.69,24.18,168.34,0.93,0.53,24.99,10.96,60.66,71.62,8.75,11.17,28-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
28-Feb-2020 - 00:00,2.74,0.35,3.1,1.58,741.12,97.81,46.09,0.0,65.38,24.59,129.46,1.1,0.55,26.11,11.23,59.47,70.7,32.71,10.83,29-Feb-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
29-Feb-2020 - 00:00,2.46,0.8,2.67,1.39,739.46,95.15,39.37,0.0,75.27,24.31,204.93,1.05,0.47,28.6,9.52,48.3,57.83,33.46,10.6,01-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
01-Mar-2020 - 00:00,1.91,0.76,2.22,1.14,741.35,84.57,29.51,0.0,85.04,21.74,105.43,1.32,0.53,27.94,8.03,37.66,45.68,38.78,9.67,02-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
02-Mar-2020 - 00:00,2.55,0.47,3.14,1.59,741.34,95.39,37.72,0.0,78.45,23.22,93.71,1.05,0.44,26.97,7.29,36.31,43.59,51.34,10.35,03-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
03-Mar-2020 - 00:00,2.08,0.44,2.57,1.29,740.29,93.75,39.11,0.0,77.82,23.69,98.48,1.16,0.47,25.0,6.55,33.77,40.39,52.49,10.82,04-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
04-Mar-2020 - 00:00,2.1,0.5,2.47,1.16,739.1,94.22,48.58,0.0,74.77,23.41,149.31,1.01,0.51,24.94,9.58,38.99,48.67,43.62,11.23,05-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
05-Mar-2020 - 00:00,1.77,0.58,2.27,1.09,738.48,110.19,55.75,0.0,62.24,22.82,150.11,1.24,0.42,24.45,7.8,35.62,43.41,40.24,10.09,06-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
06-Mar-2020 - 00:00,0.86,0.5,1.81,1.57,738.08,68.77,26.07,0.0,62.29,21.74,240.3,2.08,0.37,23.41,5.44,25.26,30.69,46.78,8.41,07-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
07-Mar-2020 - 00:00,0.86,0.36,1.14,0.82,743.24,47.6,20.14,0.0,62.45,20.27,224.22,1.5,0.51,23.45,5.73,32.67,38.4,37.11,8.48,08-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
08-Mar-2020 - 00:00,1.82,0.35,2.7,1.87,745.21,68.01,29.97,0.0,66.17,20.91,103.39,1.15,0.54,24.28,7.07,39.59,46.68,17.76,8.93,09-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
09-Mar-2020 - 00:00,2.28,0.35,3.04,2.1,743.03,99.17,41.27,0.0,61.68,21.14,149.49,1.1,0.74,23.81,9.15,47.59,56.74,24.64,8.05,10-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
10-Mar-2020 - 00:00,2.01,0.36,2.95,2.14,740.13,94.64,34.04,0.0,63.6,21.89,99.38,2.36,0.41,25.08,6.29,35.8,42.08,28.38,9.16,11-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
11-Mar-2020 - 00:00,1.11,0.35,1.2,0.85,738.64,62.47,34.58,0.0,66.43,22.79,235.38,1.47,0.37,23.76,5.65,27.83,33.48,22.63,8.48,12-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
12-Mar-2020 - 00:00,0.6,0.35,0.81,0.56,741.37,53.33,30.77,0.0,51.83,23.32,211.12,1.45,0.39,21.23,5.12,23.66,28.77,27.19,8.77,13-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
13-Mar-2020 - 00:00,0.74,0.35,0.87,0.59,743.49,104.88,44.11,0.0,41.29,22.27,228.5,1.29,0.41,19.56,4.69,19.45,24.13,24.28,8.87,14-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
14-Mar-2020 - 00:00,1.02,0.42,0.95,0.64,744.58,101.28,37.47,0.0,50.96,20.62,309.98,1.84,0.41,30.55,6.57,27.39,33.57,27.55,9.11,15-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
15-Mar-2020 - 00:00,1.38,0.77,1.53,1.14,745.43,113.49,51.89,0.0,53.6,20.67,242.98,0.96,0.47,22.71,10.74,43.87,54.6,46.64,9.35,16-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
16-Mar-2020 - 00:00,2.14,0.98,2.26,1.66,745.57,104.32,46.51,0.0,63.35,20.91,134.96,1.06,0.69,20.01,11.07,37.2,48.26,40.64,8.78,17-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
17-Mar-2020 - 00:00,3.18,1.15,4.01,3.97,745.67,113.2,50.4,0.0,63.17,22.47,150.34,0.83,0.72,16.62,11.04,30.64,41.68,41.47,9.17,18-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
18-Mar-2020 - 00:00,3.93,1.27,4.79,4.54,743.99,104.86,46.45,0.0,61.95,23.8,149.95,0.86,0.73,16.89,13.21,33.61,46.82,39.77,9.14,19-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
19-Mar-2020 - 00:00,3.3,1.17,4.02,4.14,740.72,92.21,40.51,0.0,50.05,26.52,163.47,0.95,0.54,17.1,12.28,31.37,43.66,39.11,9.66,20-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
20-Mar-2020 - 00:00,1.77,1.07,2.81,2.5,738.63,88.23,34.64,0.0,41.23,28.27,179.41,1.45,0.4,27.55,8.93,21.62,30.55,55.49,9.33,21-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
21-Mar-2020 - 00:00,1.49,1.1,1.74,1.61,740.37,74.06,33.39,0.0,57.31,25.86,121.47,1.22,0.63,38.77,10.29,22.34,32.64,49.02,10.0,22-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
22-Mar-2020 - 00:00,2.65,1.02,2.11,2.73,741.39,95.52,40.4,0.0,50.94,27.49,165.74,0.89,0.51,36.06,9.47,22.99,32.47,36.1,10.63,23-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
23-Mar-2020 - 00:00,1.85,0.87,2.17,1.77,740.97,80.65,34.99,0.0,52.69,28.11,174.5,1.03,0.66,30.79,8.37,17.26,25.63,41.06,10.42,24-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
24-Mar-2020 - 00:00,2.9,0.77,2.32,1.89,739.95,88.01,38.44,0.0,55.92,28.33,144.24,0.84,0.55,28.32,8.36,16.38,24.74,37.15,10.49,25-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
25-Mar-2020 - 00:00,1.47,0.78,1.91,1.43,740.4,70.98,27.64,0.01,63.04,26.88,127.92,1.8,0.46,28.02,8.05,12.24,20.29,36.94,9.8,26-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
26-Mar-2020 - 00:00,1.13,0.78,1.12,0.84,741.9,43.97,22.61,0.02,75.97,24.52,197.23,1.42,0.49,31.05,8.24,12.31,20.55,31.5,9.76,27-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
27-Mar-2020 - 00:00,0.9,0.71,0.86,0.65,744.15,33.75,13.94,0.08,88.45,20.89,148.44,1.9,0.45,32.19,8.34,10.07,18.41,22.11,9.29,28-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
28-Mar-2020 - 00:00,1.35,0.7,1.34,0.97,743.45,63.23,24.63,0.0,64.51,24.28,170.59,0.79,0.49,29.98,8.61,12.79,21.4,27.74,10.42,29-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
29-Mar-2020 - 00:00,1.44,0.7,1.69,1.24,742.19,63.82,22.53,0.0,62.36,25.47,138.44,0.92,0.43,28.44,8.24,13.97,22.21,38.58,10.13,30-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
30-Mar-2020 - 00:00,1.61,0.73,1.77,1.28,741.84,75.15,24.91,0.0,54.81,26.65,173.42,0.96,0.52,27.13,8.17,14.56,22.72,46.56,10.49,31-Mar-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
31-Mar-2020 - 00:00,2.15,0.74,1.66,1.29,740.29,82.82,27.0,0.0,51.79,28.37,152.53,1.16,0.53,27.16,8.03,14.33,22.35,47.41,9.88,01-Apr-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
01-Apr-2020 - 00:00,1.56,0.71,1.18,0.91,740.12,91.87,28.75,0.0,46.38,28.48,299.75,1.59,0.41,26.6,7.71,10.8,18.51,47.51,9.6,02-Apr-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
02-Apr-2020 - 00:00,0.99,0.72,0.93,0.68,740.87,65.8,23.09,0.0,46.42,27.34,212.8,1.02,0.42,28.53,7.83,12.54,20.37,44.2,10.05,03-Apr-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
03-Apr-2020 - 00:00,1.14,0.74,1.24,0.96,741.8,63.69,21.9,0.0,44.96,27.06,175.3,1.06,0.43,29.45,7.77,12.88,20.64,42.88,10.06,04-Apr-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
04-Apr-2020 - 00:00,1.26,0.72,0.87,1.13,741.62,65.03,23.37,0.0,37.88,28.52,133.02,1.05,0.49,27.97,7.89,12.89,20.78,48.77,10.1,05-Apr-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
05-Apr-2020 - 00:00,1.5,0.72,0.88,1.15,741.39,71.91,27.59,0.0,39.63,29.95,200.87,0.88,0.53,28.55,7.96,14.68,22.66,38.34,10.23,06-Apr-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
06-Apr-2020 - 00:00,2.0,0.7,0.75,1.43,740.42,80.16,31.03,0.0,39.76,30.41,174.33,0.85,0.57,28.22,8.07,15.76,23.84,43.1,10.69,07-Apr-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
07-Apr-2020 - 00:00,1.67,0.71,0.91,1.23,738.05,78.98,30.26,0.0,37.11,31.0,174.97,1.09,0.45,27.7,7.82,12.94,20.76,52.32,10.79,08-Apr-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
08-Apr-2020 - 00:00,1.2,0.68,0.9,0.83,739.31,103.7,38.58,0.0,41.45,30.33,245.26,1.09,0.39,27.23,7.69,12.12,19.81,52.11,10.6,09-Apr-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
09-Apr-2020 - 00:00,1.24,0.68,0.69,0.81,740.53,80.54,32.45,0.0,41.25,29.59,190.08,0.99,0.47,26.6,7.64,12.06,19.7,52.56,10.7,10-Apr-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
10-Apr-2020 - 00:00,1.81,0.65,0.25,1.36,741.06,81.46,33.5,0.0,39.21,31.03,160.83,0.78,0.62,26.87,7.97,14.27,22.24,38.16,10.36,11-Apr-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
11-Apr-2020 - 00:00,1.68,0.65,0.54,1.24,741.98,72.55,33.66,0.0,36.75,32.46,229.72,1.04,0.55,27.03,7.84,12.09,19.92,38.09,8.95,12-Apr-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
12-Apr-2020 - 00:00,1.18,0.64,0.8,0.81,740.79,57.45,30.45,0.0,39.04,32.14,202.97,1.02,0.58,26.53,7.65,12.75,20.4,45.21,9.94,13-Apr-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
13-Apr-2020 - 00:00,1.06,0.6,0.87,0.89,738.85,63.12,30.72,0.0,37.07,33.63,236.36,1.03,0.45,25.87,7.64,10.38,18.04,40.79,9.42,14-Apr-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
14-Apr-2020 - 00:00,1.09,0.58,0.85,0.63,739.01,71.39,33.48,0.0,33.53,34.12,248.93,1.13,0.59,23.88,7.4,11.26,18.65,45.33,9.75,15-Apr-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
15-Apr-2020 - 00:00,1.14,0.56,0.98,0.78,739.24,57.68,28.61,0.0,33.59,34.24,265.34,1.7,0.51,23.17,7.4,9.36,16.76,46.34,8.78,16-Apr-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
16-Apr-2020 - 00:00,0.88,0.56,0.69,0.5,737.24,57.92,24.77,0.0,35.37,33.49,270.73,1.4,0.55,23.27,7.37,9.31,16.68,44.37,7.28,17-Apr-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
17-Apr-2020 - 00:00,0.82,0.54,0.68,0.49,736.91,82.9,36.68,0.0,37.61,33.67,246.31,1.4,0.46,22.88,7.23,8.12,15.35,48.55,7.96,18-Apr-2020 - 00:00,"Shrinath Puram, Kota - RSPCB"
