from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,O Xylene,AT,WS,WD,RH,SR,RF,to date,station
14-Jan-2020 - 00:00,36.19,48.29,2.7,0.86,1.19,2.75,7.63,0.46,24.59,0.54,0.56,0.42,0.08,0.13,9.13,2.91,149.32,60.56,95.88,0.0,15-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
15-Jan-2020 - 00:00,38.87,50.28,2.84,0.91,1.23,2.91,8.02,0.43,23.64,0.53,0.52,0.35,0.07,0.11,8.8,3.2,142.16,67.15,85.56,0.01,16-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
16-Jan-2020 - 00:00,21.01,30.33,2.31,0.73,0.66,2.33,6.48,0.2,26.79,0.25,0.13,0.08,0.01,0.01,8.18,2.7,116.34,46.57,128.25,0.0,17-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
17-Jan-2020 - 00:00,32.0,44.41,2.37,0.75,0.42,2.45,7.12,0.15,33.53,0.16,0.12,0.09,0.02,0.02,7.86,3.65,164.88,51.35,11.55,0.0,18-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
18-Jan-2020 - 00:00,33.67,46.16,2.41,0.76,1.03,2.46,7.33,0.25,46.74,0.23,0.09,0.07,0.0,0.0,8.26,4.2,157.21,46.89,67.01,0.0,19-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
19-Jan-2020 - 00:00,20.95,31.68,2.49,0.77,1.11,2.6,7.84,0.18,65.87,0.12,0.01,0.01,0.0,0.0,8.71,7.06,174.65,43.18,65.23,0.0,20-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
20-Jan-2020 - 00:00,29.92,39.61,2.59,0.8,1.14,2.65,7.85,0.23,62.72,0.16,0.04,0.04,0.0,0.0,7.15,6.53,167.22,49.6,88.53,0.01,21-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
21-Jan-2020 - 00:00,19.81,29.63,2.46,0.77,1.08,2.55,7.11,0.3,34.43,0.23,0.27,0.24,0.07,0.08,6.59,3.04,144.41,26.27,96.44,0.0,22-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
22-Jan-2020 - 00:00,14.97,22.67,2.36,0.73,1.05,2.42,6.87,0.21,43.7,0.16,0.15,0.15,0.04,0.04,7.23,4.94,155.16,25.38,94.76,0.0,23-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
23-Jan-2020 - 00:00,15.9,27.76,2.9,0.89,1.28,3.0,8.63,0.23,60.75,0.1,0.08,0.2,0.04,0.06,8.12,8.34,195.02,35.6,123.04,0.0,24-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
24-Jan-2020 - 00:00,38.55,52.3,2.89,0.91,1.26,2.94,8.37,0.55,41.9,87.7,87.88,131.81,131.57,131.62,5.44,4.09,168.13,57.7,94.02,0.01,25-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
25-Jan-2020 - 00:00,43.77,54.93,2.61,0.79,1.19,2.68,7.6,0.34,35.87,431.43,431.24,479.09,479.09,479.09,6.17,3.51,121.91,54.73,108.36,0.0,26-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
26-Jan-2020 - 00:00,45.6,56.94,2.67,0.83,1.2,2.68,7.64,0.33,39.21,438.09,437.83,480.65,480.65,480.65,5.33,3.35,156.7,57.96,51.27,0.0,27-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
27-Jan-2020 - 00:00,46.36,58.49,2.44,0.74,1.11,2.5,7.04,0.56,25.95,185.67,185.36,198.45,198.22,198.26,5.36,2.59,143.71,55.69,51.01,0.0,28-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
28-Jan-2020 - 00:00,64.99,80.67,2.36,0.72,1.04,2.44,6.99,0.62,18.96,0.58,0.2,0.34,0.05,0.09,5.34,2.4,118.88,57.01,40.59,0.0,29-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
29-Jan-2020 - 00:00,61.55,77.49,2.6,0.78,1.2,2.64,7.46,0.6,29.22,0.59,0.15,0.27,0.04,0.05,6.94,2.92,147.47,56.14,76.92,0.0,30-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
30-Jan-2020 - 00:00,41.8,57.09,2.43,0.74,1.09,2.48,7.38,0.31,47.42,0.3,0.03,0.15,0.01,0.03,7.16,5.17,162.67,52.68,57.29,0.0,31-Jan-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
31-Jan-2020 - 00:00,41.82,56.85,2.41,0.75,1.08,2.46,7.22,0.35,36.35,0.33,0.15,0.16,0.03,0.05,6.4,4.23,150.83,52.71,65.1,0.0,01-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
01-Feb-2020 - 00:00,47.43,62.01,2.47,0.76,1.08,2.53,7.62,0.27,39.18,0.33,0.06,0.1,0.0,0.01,6.35,3.98,143.6,52.78,83.55,0.0,02-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
02-Feb-2020 - 00:00,49.13,69.23,3.08,0.98,1.34,3.16,9.58,0.34,56.42,0.4,0.04,0.06,0.0,0.0,6.39,4.87,189.99,64.19,101.23,0.0,03-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
03-Feb-2020 - 00:00,60.71,84.89,3.22,1.03,1.36,3.28,10.16,0.55,49.2,0.6,0.21,0.42,0.09,0.12,7.04,3.86,161.71,73.49,102.86,0.0,04-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
04-Feb-2020 - 00:00,49.35,63.56,2.94,0.91,1.32,3.0,9.12,0.56,37.9,0.47,0.13,0.26,0.04,0.04,7.84,3.8,149.56,59.89,119.0,0.0,05-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
05-Feb-2020 - 00:00,53.73,72.91,3.31,1.01,1.51,3.35,10.36,0.53,56.77,0.48,0.12,0.25,0.05,0.07,8.5,5.63,197.67,62.85,99.8,0.0,06-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
06-Feb-2020 - 00:00,42.31,62.07,3.19,0.95,1.47,3.24,9.89,0.43,61.48,0.39,0.15,0.19,0.02,0.03,8.18,4.66,189.75,51.92,135.83,0.0,07-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
07-Feb-2020 - 00:00,57.97,82.96,3.14,0.98,1.38,3.21,10.22,0.58,52.71,0.56,0.17,0.34,0.05,0.09,7.95,4.32,158.06,66.36,105.12,0.0,08-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
08-Feb-2020 - 00:00,47.29,67.34,2.67,0.84,1.18,2.7,8.91,0.35,39.12,0.36,0.02,0.09,0.01,0.02,7.51,3.87,126.77,55.84,67.69,0.0,09-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
09-Feb-2020 - 00:00,27.82,36.51,2.88,0.94,1.23,2.99,9.84,0.27,43.42,0.26,0.02,0.04,0.02,0.02,8.78,4.66,182.76,58.32,63.89,0.04,10-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
10-Feb-2020 - 00:00,47.45,63.73,3.01,0.97,1.28,3.08,10.07,0.58,34.82,0.43,0.08,0.26,0.04,0.08,8.82,3.79,165.61,67.07,89.82,0.0,11-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
11-Feb-2020 - 00:00,42.84,60.5,2.88,0.96,1.21,3.0,10.06,0.58,37.42,0.49,0.09,0.45,0.07,0.14,9.12,3.84,167.56,61.76,98.22,0.01,12-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
12-Feb-2020 - 00:00,38.84,54.19,2.67,0.86,1.15,2.75,9.11,0.39,38.35,0.32,0.08,0.29,0.07,0.08,8.84,3.72,156.51,51.26,104.32,0.0,13-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
13-Feb-2020 - 00:00,50.08,67.72,2.41,0.76,1.06,2.45,7.93,0.53,33.65,183.67,183.57,183.57,183.54,183.54,7.68,2.78,130.98,51.28,49.75,0.0,14-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
14-Feb-2020 - 00:00,52.35,72.29,2.4,0.75,1.07,2.43,8.03,0.34,60.58,204.35,203.91,203.96,203.88,203.9,7.02,5.56,137.42,48.99,44.76,0.0,15-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
15-Feb-2020 - 00:00,81.84,109.41,2.48,0.76,1.1,2.51,8.08,0.37,64.75,0.31,0.04,0.09,0.03,0.02,7.29,4.1,147.91,53.7,37.35,0.0,16-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
16-Feb-2020 - 00:00,64.03,84.9,2.38,0.73,1.07,2.46,7.79,0.32,46.49,0.26,0.02,0.03,0.01,0.01,7.83,3.06,133.37,53.43,52.21,0.0,17-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
17-Feb-2020 - 00:00,79.07,103.68,2.67,0.84,1.18,2.75,9.0,0.5,38.05,0.38,0.03,0.17,0.03,0.06,9.19,3.47,142.34,62.38,66.38,0.0,18-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
18-Feb-2020 - 00:00,75.07,97.86,2.77,0.86,1.23,2.84,9.61,0.49,52.28,0.4,0.05,0.22,0.05,0.04,9.54,4.92,155.08,57.31,73.94,0.0,19-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
19-Feb-2020 - 00:00,92.97,121.94,2.82,0.91,1.2,2.89,10.0,0.59,34.21,0.51,0.07,0.23,0.05,0.05,9.17,3.75,154.19,64.83,66.66,0.0,20-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
20-Feb-2020 - 00:00,67.16,89.43,2.65,0.83,1.16,2.69,9.18,0.49,25.53,0.37,0.03,0.25,0.06,0.09,9.3,3.28,142.47,52.46,104.22,0.0,21-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
21-Feb-2020 - 00:00,58.26,78.32,2.67,0.84,1.19,2.75,9.35,0.32,52.33,0.23,0.03,0.01,0.01,0.01,9.23,4.1,109.29,56.39,148.07,0.0,22-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
22-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,23-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
23-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,24-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
24-Feb-2020 - 00:00,29.52,38.79,7.95,0.88,1.09,2.6,3.72,0.29,31.99,124.72,124.7,191.94,191.89,191.91,8.44,4.53,153.57,55.18,40.39,0.21,25-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
25-Feb-2020 - 00:00,24.86,31.13,2.56,0.82,1.12,2.6,3.22,0.34,28.98,231.61,231.02,250.47,250.47,250.47,8.41,3.48,132.36,55.51,55.02,0.11,26-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
26-Feb-2020 - 00:00,21.14,26.94,2.75,0.87,1.19,2.82,3.33,0.22,34.88,113.8,113.8,175.13,175.13,175.15,8.44,5.96,143.97,63.45,104.4,0.09,27-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
27-Feb-2020 - 00:00,18.39,27.81,2.7,0.84,1.2,2.81,3.28,0.35,32.73,399.53,399.09,482.94,482.94,482.94,8.47,4.1,164.58,57.05,84.93,0.0,28-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
28-Feb-2020 - 00:00,17.05,24.91,2.41,0.78,1.03,2.46,3.05,0.24,25.08,406.65,406.5,417.03,417.03,417.03,8.68,3.47,127.5,45.89,118.43,0.0,29-Feb-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
29-Feb-2020 - 00:00,20.11,28.32,2.67,0.87,1.15,2.76,3.73,0.23,39.24,450.3,450.03,494.79,494.79,494.79,10.6,4.06,150.66,44.34,132.53,0.0,01-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
01-Mar-2020 - 00:00,26.77,35.97,2.61,0.86,1.09,2.69,4.21,0.23,47.31,433.99,434.23,472.37,472.37,472.37,10.2,3.72,146.82,49.26,76.71,0.0,02-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
02-Mar-2020 - 00:00,37.3,50.73,2.66,0.84,1.17,2.74,4.25,0.31,44.76,433.62,433.72,486.96,486.96,486.96,9.45,3.73,146.86,51.75,72.65,0.08,03-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
03-Mar-2020 - 00:00,26.05,39.83,2.51,0.8,1.07,2.55,3.78,0.2,50.95,428.04,427.85,451.28,451.28,451.28,9.12,6.05,159.92,44.29,56.95,0.04,04-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
04-Mar-2020 - 00:00,31.36,52.58,2.64,0.85,1.15,2.71,3.89,0.23,48.3,446.54,446.55,487.19,487.19,487.19,10.0,4.81,168.87,45.39,94.06,0.0,05-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
05-Mar-2020 - 00:00,26.16,33.84,2.78,0.89,1.22,2.85,3.97,0.32,41.39,435.83,435.63,495.84,495.84,495.84,9.61,4.29,164.34,62.72,65.62,0.16,06-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
06-Mar-2020 - 00:00,27.2,35.96,2.79,0.89,1.2,2.88,4.07,0.25,52.2,440.21,440.21,506.89,506.89,506.89,10.28,5.99,170.54,62.02,64.12,0.12,07-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
07-Mar-2020 - 00:00,26.76,35.67,2.74,0.87,1.2,2.82,3.58,0.22,44.66,431.33,431.07,502.2,502.2,502.2,10.02,6.36,172.6,62.47,68.54,0.0,08-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
08-Mar-2020 - 00:00,22.49,37.82,2.96,0.95,1.24,3.02,4.05,0.18,60.63,414.37,414.37,529.08,529.08,529.08,11.58,9.69,212.82,54.29,147.01,0.0,09-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
09-Mar-2020 - 00:00,28.24,43.21,3.09,0.99,1.35,3.19,4.81,0.31,51.23,438.51,438.51,575.14,575.14,575.14,12.27,3.97,176.19,55.94,163.23,0.0,10-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
10-Mar-2020 - 00:00,38.29,58.0,3.08,1.03,1.3,3.16,5.13,0.28,53.82,455.63,454.98,571.43,571.43,571.43,11.5,4.28,173.0,66.33,85.04,0.0,11-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
11-Mar-2020 - 00:00,23.71,39.2,2.94,0.99,1.23,3.05,5.05,0.23,55.11,449.07,449.24,546.32,546.32,546.32,12.51,5.37,188.11,42.02,160.03,0.0,12-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
12-Mar-2020 - 00:00,29.41,46.19,2.35,0.8,0.97,2.41,4.93,0.22,43.71,428.98,428.49,430.81,430.81,430.81,10.19,4.64,148.19,37.9,124.53,0.0,13-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
13-Mar-2020 - 00:00,42.13,59.6,2.36,0.81,0.96,2.43,4.73,0.29,41.19,429.2,428.74,437.69,437.69,437.69,10.29,3.29,130.78,44.8,93.35,0.0,14-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
14-Mar-2020 - 00:00,54.55,76.48,2.6,0.92,1.02,2.73,5.36,0.33,49.91,426.19,426.07,487.08,487.08,487.08,12.86,4.06,181.21,55.76,90.2,0.0,15-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
15-Mar-2020 - 00:00,22.91,37.96,2.54,0.88,1.02,2.61,4.78,0.19,44.94,435.64,435.66,467.52,467.52,467.52,12.46,5.78,168.75,42.13,71.47,0.0,16-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
16-Mar-2020 - 00:00,23.71,42.96,2.49,0.85,1.02,2.53,5.4,0.21,34.38,266.63,266.54,282.16,282.1,282.12,11.84,5.58,171.91,32.67,142.42,0.0,17-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
17-Mar-2020 - 00:00,40.45,62.34,2.74,0.97,1.08,2.8,6.26,0.33,6.61,50.6,50.71,50.6,50.59,50.52,11.29,4.12,155.47,39.1,134.44,0.0,18-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
18-Mar-2020 - 00:00,43.32,71.35,2.66,0.9,1.09,2.73,6.52,0.3,28.46,6.75,6.77,11.7,11.59,11.63,11.05,5.98,172.16,47.41,128.02,0.0,19-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
19-Mar-2020 - 00:00,53.01,76.08,2.48,0.83,1.03,2.57,5.24,0.34,16.13,0.12,0.16,0.06,0.0,0.02,10.2,4.28,146.73,44.72,104.6,0.0,20-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
20-Mar-2020 - 00:00,52.22,77.71,2.77,0.92,1.18,2.89,6.81,0.34,22.44,0.1,0.15,0.09,0.03,0.02,10.96,5.15,177.2,56.42,77.72,0.04,21-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
21-Mar-2020 - 00:00,55.42,77.77,2.58,0.86,1.08,2.65,5.25,0.32,9.88,0.09,0.04,0.01,0.01,0.02,9.48,3.95,148.65,58.94,54.17,0.04,22-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
22-Mar-2020 - 00:00,20.27,29.87,2.44,0.79,1.03,2.5,4.41,0.21,16.02,0.12,0.06,0.03,0.0,0.0,8.45,4.98,146.43,54.83,30.67,0.61,23-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
23-Mar-2020 - 00:00,22.55,30.48,2.5,0.8,1.09,2.59,4.6,0.24,7.46,0.1,0.13,0.06,0.0,0.01,9.25,3.5,140.12,56.18,54.4,0.03,24-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
24-Mar-2020 - 00:00,30.89,40.28,2.64,0.86,1.14,2.71,5.21,0.22,1.85,0.15,0.05,0.03,0.0,0.02,11.35,3.73,142.77,54.92,136.12,0.01,25-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
25-Mar-2020 - 00:00,48.95,60.91,2.81,0.93,1.19,2.88,5.85,0.29,5.57,0.16,0.03,0.03,0.05,0.01,12.06,4.15,153.1,62.74,88.74,0.01,26-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
26-Mar-2020 - 00:00,46.31,58.32,2.65,0.89,1.09,2.74,5.9,0.29,9.43,0.14,0.03,0.01,0.0,0.02,12.36,3.6,169.05,51.47,111.04,0.0,27-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
27-Mar-2020 - 00:00,41.76,66.28,2.57,0.87,1.07,2.67,6.72,0.25,14.49,0.05,0.04,0.01,0.01,0.02,13.23,4.64,165.11,49.19,104.33,0.0,28-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
28-Mar-2020 - 00:00,32.09,60.49,2.45,0.85,0.98,2.54,6.44,0.19,10.24,0.03,0.02,0.04,0.01,0.02,13.64,8.47,167.63,39.84,144.58,0.0,29-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
29-Mar-2020 - 00:00,30.45,58.87,2.46,0.87,0.97,2.54,7.49,0.21,13.88,0.1,0.11,0.07,0.01,0.04,13.48,9.57,175.98,23.62,162.8,0.0,30-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
30-Mar-2020 - 00:00,56.53,92.53,2.52,0.89,0.98,2.58,9.16,0.36,11.79,0.16,0.1,0.04,0.01,0.02,12.85,6.0,167.93,30.33,162.32,0.0,31-Mar-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
31-Mar-2020 - 00:00,57.01,97.45,2.35,0.84,0.9,2.45,8.91,0.35,9.96,0.13,0.11,0.04,0.01,0.03,11.84,4.23,138.23,36.93,130.67,0.0,01-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
01-Apr-2020 - 00:00,44.8,80.92,2.56,0.91,1.0,2.66,8.87,0.29,24.59,0.07,0.03,0.01,0.01,0.0,13.15,5.01,153.65,36.58,133.98,0.0,02-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
02-Apr-2020 - 00:00,36.42,75.26,2.84,0.99,1.14,2.97,10.62,0.24,38.26,0.02,0.02,0.01,0.02,0.01,15.32,11.55,197.24,43.44,141.96,0.0,03-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
03-Apr-2020 - 00:00,32.73,64.07,2.88,1.0,1.13,3.01,9.03,0.21,24.17,0.01,0.02,0.02,0.01,0.02,15.78,10.17,203.03,43.69,167.44,0.0,04-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
04-Apr-2020 - 00:00,6.83,49.85,2.64,0.88,0.25,2.81,7.54,0.04,16.93,0.01,0.02,0.06,0.0,0.01,10.61,5.79,182.09,55.33,1.04,0.0,05-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
05-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,06-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
06-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,07-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
07-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,08-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
08-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,09-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
09-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,10-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
10-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,11-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
11-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,12-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
12-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,13-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
13-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,14-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
14-Apr-2020 - 00:00,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,15-Apr-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
