from date,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,BP,CO,NO,NO2,NOx,Ozone,PM2.5,PM10,RH,SO2,SR,VWS,WD,WS,to date,station
24-Apr-2020 - 00:00,2.07,10.82,0.71,0.1,0.21,999.95,0.27,3.43,16.47,9.91,52.21,27.13,82.56,29.58,18.94,228.74,,304.4,7.94,25-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
25-Apr-2020 - 00:00,0.96,7.97,0.53,0.06,0.16,,0.39,4.85,13.42,10.04,41.76,27.69,70.19,43.74,18.45,219.99,0.0,295.54,7.9,26-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
26-Apr-2020 - 00:00,1.74,10.06,0.74,0.08,0.21,,0.39,4.82,13.77,10.29,44.81,26.07,73.05,46.51,9.03,222.07,,283.21,5.89,27-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
27-Apr-2020 - 00:00,3.62,21.17,1.37,0.19,0.42,,0.45,3.96,20.04,12.73,52.19,31.78,83.38,39.34,31.13,212.99,,247.65,4.31,28-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
28-Apr-2020 - 00:00,4.88,33.11,2.65,0.3,0.8,,0.46,3.63,24.84,14.82,50.44,32.32,85.03,32.83,44.65,218.47,,115.0,4.05,29-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
29-Apr-2020 - 00:00,3.35,31.7,2.35,0.21,0.78,,0.66,3.09,22.85,13.37,57.65,27.15,77.16,26.71,32.11,222.22,,89.32,5.1,30-Apr-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
30-Apr-2020 - 00:00,1.88,19.03,1.67,0.12,0.45,,0.47,2.75,16.87,10.27,56.9,27.26,74.49,24.79,37.59,212.6,,110.79,6.03,01-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
01-May-2020 - 00:00,1.78,15.18,0.87,0.12,0.3,,0.53,2.82,13.38,8.63,49.96,28.37,90.04,27.38,27.61,213.02,,169.93,6.6,02-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
02-May-2020 - 00:00,1.46,10.43,0.62,0.08,0.21,,0.56,3.68,15.49,10.26,55.83,22.22,61.47,32.48,29.2,224.83,,262.76,7.19,03-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
03-May-2020 - 00:00,2.67,15.47,0.85,0.12,0.25,999.77,0.65,4.74,15.77,11.23,54.43,23.85,63.16,39.16,19.89,218.77,,306.85,6.28,04-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
04-May-2020 - 00:00,2.4,16.56,0.92,0.12,0.28,,0.72,4.82,15.96,11.38,58.79,24.3,71.95,42.41,20.1,222.25,,302.51,6.08,05-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
05-May-2020 - 00:00,3.9,28.59,2.1,0.26,0.66,,0.57,3.78,27.62,14.42,50.54,31.47,136.23,32.98,2.42,172.0,,159.72,3.19,06-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
06-May-2020 - 00:00,3.73,20.09,1.55,0.24,0.65,999.4,0.7,3.99,18.33,11.77,59.76,26.43,79.06,36.87,,217.65,,256.45,5.68,07-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
07-May-2020 - 00:00,7.46,37.06,1.69,0.32,0.79,,0.39,3.75,21.19,13.09,58.84,31.1,74.84,31.09,,223.19,,260.45,3.95,08-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
08-May-2020 - 00:00,3.31,17.75,0.86,0.18,0.42,999.9,0.51,3.75,14.82,10.0,57.42,25.75,66.18,37.86,,221.52,,270.74,5.09,09-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
09-May-2020 - 00:00,4.26,21.29,1.15,0.27,0.53,,0.55,5.53,16.7,11.88,52.43,23.98,74.78,39.68,,220.09,,288.76,5.09,10-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
10-May-2020 - 00:00,2.9,16.99,0.92,0.2,0.41,999.93,0.74,1.88,14.75,8.57,56.53,26.37,61.76,38.83,,223.18,,226.13,5.6,11-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
11-May-2020 - 00:00,2.04,14.1,0.72,0.13,0.34,,0.61,1.94,15.81,9.15,57.66,21.27,65.85,44.15,,217.94,,262.05,5.38,12-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
12-May-2020 - 00:00,3.09,15.96,0.94,0.17,0.45,,0.51,3.02,16.41,10.26,57.48,22.07,69.62,49.3,,214.95,,262.89,4.63,13-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
13-May-2020 - 00:00,2.63,17.41,0.83,0.17,0.43,999.54,0.48,4.03,17.27,11.43,52.28,22.86,66.64,39.47,,219.08,,263.88,5.59,14-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
14-May-2020 - 00:00,2.76,18.28,1.0,0.19,0.56,,0.49,3.07,19.76,11.9,51.95,21.98,64.48,35.21,,219.87,,130.68,4.81,15-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
15-May-2020 - 00:00,3.66,23.88,1.43,0.26,0.76,999.37,0.5,3.85,18.47,11.87,62.03,19.03,79.22,34.3,,216.25,,167.12,5.89,16-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
16-May-2020 - 00:00,3.24,18.67,1.28,0.23,0.69,999.07,0.41,2.53,18.84,11.06,54.13,36.03,105.81,34.26,,209.65,,141.51,6.99,17-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
17-May-2020 - 00:00,2.72,17.45,1.28,0.23,0.69,998.85,0.67,2.5,18.69,10.91,55.41,26.89,62.76,33.2,,217.23,,169.43,7.03,18-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
18-May-2020 - 00:00,3.53,23.95,3.52,0.36,0.99,998.27,0.74,2.67,22.15,12.79,54.51,20.95,61.6,33.4,,199.57,,201.79,6.7,19-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
19-May-2020 - 00:00,4.81,19.81,2.21,0.4,1.11,998.66,0.56,4.11,25.92,15.71,59.18,24.33,58.08,35.37,,226.02,,217.83,6.02,20-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
20-May-2020 - 00:00,4.52,24.6,1.82,0.37,0.95,998.11,0.69,2.83,22.25,12.92,60.54,25.68,81.78,28.3,,226.12,,123.36,7.23,21-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
21-May-2020 - 00:00,6.82,22.15,1.95,0.38,0.89,998.72,0.5,2.69,25.68,14.51,62.03,33.68,85.9,27.8,,223.14,,256.65,5.11,22-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
22-May-2020 - 00:00,7.41,32.71,2.6,0.59,1.17,999.27,0.67,4.5,35.82,20.82,62.37,30.87,90.03,26.43,,223.54,,278.53,5.35,23-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
23-May-2020 - 00:00,5.2,24.69,1.59,0.42,0.79,999.41,0.67,2.56,21.24,12.24,56.04,29.25,82.08,32.98,,225.51,,303.83,6.36,24-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
24-May-2020 - 00:00,2.67,11.73,1.36,0.23,0.7,999.92,0.83,2.82,17.82,10.76,56.84,25.27,68.85,34.2,,227.77,,224.14,7.02,25-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
25-May-2020 - 00:00,2.22,12.5,0.97,0.18,0.5,,0.59,3.9,15.99,10.58,57.4,24.97,69.69,33.69,,229.3,0.0,292.02,7.14,26-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
26-May-2020 - 00:00,1.68,11.0,1.01,0.15,0.38,999.43,0.54,2.91,20.0,11.89,50.46,30.86,100.51,45.46,,227.67,,302.22,7.15,27-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
27-May-2020 - 00:00,4.72,16.32,1.12,0.27,0.47,998.15,0.83,3.67,20.94,12.96,55.84,31.01,88.96,46.93,,223.34,,277.81,8.81,28-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
28-May-2020 - 00:00,8.2,16.19,1.36,0.26,0.59,998.11,0.6,3.56,18.58,11.71,55.2,29.75,85.84,43.0,,219.46,,277.78,8.98,29-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
29-May-2020 - 00:00,5.8,15.51,1.42,0.28,0.66,998.59,0.51,3.26,18.68,11.54,44.86,23.96,80.41,48.2,,204.21,,268.13,8.3,30-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
30-May-2020 - 00:00,4.27,15.16,1.2,0.23,0.56,999.03,0.43,3.53,16.29,10.54,47.72,25.82,65.97,44.5,,190.9,,276.56,7.77,31-May-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
31-May-2020 - 00:00,3.31,16.63,1.27,0.2,0.64,999.45,0.44,3.66,15.97,10.5,55.7,23.75,69.87,45.48,,211.1,,291.62,5.95,01-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
01-Jun-2020 - 00:00,6.83,23.9,3.21,0.49,1.49,999.57,0.61,2.75,22.87,13.2,64.19,30.72,450.56,42.44,,199.65,,257.07,5.86,02-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
02-Jun-2020 - 00:00,10.81,43.61,5.05,0.91,2.14,999.26,0.44,2.74,42.6,22.79,34.32,126.89,257.63,46.38,16.44,225.01,,202.69,3.82,03-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
03-Jun-2020 - 00:00,7.98,42.07,3.72,0.81,1.58,997.38,0.43,2.5,42.81,21.15,70.45,30.0,52.75,43.98,24.63,180.51,,207.29,3.15,04-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
04-Jun-2020 - 00:00,5.8,32.55,3.32,0.45,1.43,998.15,0.83,4.91,38.87,22.23,58.09,26.66,85.53,49.29,21.66,176.28,17.98,203.61,5.11,05-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
05-Jun-2020 - 00:00,7.36,40.26,3.0,0.84,1.47,998.37,0.65,3.74,32.34,18.46,3.0,29.84,87.73,60.5,13.34,195.85,,250.8,5.89,06-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
06-Jun-2020 - 00:00,8.19,24.5,3.16,0.61,1.49,999.0,0.67,3.93,41.34,23.06,40.29,33.58,66.4,63.36,14.81,185.9,,249.56,5.06,07-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
07-Jun-2020 - 00:00,6.53,20.7,3.62,0.52,1.53,999.2,0.82,5.21,32.64,19.78,36.35,20.27,68.99,76.03,13.58,164.08,18.0,239.27,4.49,08-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
08-Jun-2020 - 00:00,7.99,20.37,3.89,0.52,1.71,999.24,0.6,4.89,28.88,17.74,30.13,22.81,71.01,81.49,11.16,146.59,19.62,237.44,4.58,09-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
09-Jun-2020 - 00:00,4.38,18.99,3.2,0.4,1.44,998.92,0.89,5.2,24.98,16.03,39.7,21.16,82.87,76.06,12.18,237.36,19.31,248.58,4.38,10-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
10-Jun-2020 - 00:00,5.39,23.95,6.88,0.98,1.64,997.78,0.79,5.9,20.8,14.53,44.34,23.67,93.58,74.08,17.58,190.09,18.79,254.79,5.28,11-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
11-Jun-2020 - 00:00,8.41,39.24,8.21,1.19,2.81,997.84,0.71,5.3,27.96,17.55,37.4,21.07,68.75,77.27,17.11,227.48,19.54,241.31,3.7,12-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
12-Jun-2020 - 00:00,7.79,40.3,13.27,3.37,4.79,995.7,0.9,5.36,21.55,14.51,45.46,20.82,91.98,73.03,16.26,221.01,18.39,257.55,4.88,13-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
13-Jun-2020 - 00:00,7.32,30.8,8.57,1.52,3.35,996.47,1.18,3.86,28.68,16.82,30.03,22.41,63.9,80.12,19.98,188.93,17.67,229.43,4.73,14-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
14-Jun-2020 - 00:00,6.56,28.21,6.6,0.85,2.59,997.64,0.82,3.15,27.62,15.82,35.38,23.6,84.71,83.26,18.37,189.63,18.93,197.42,4.4,15-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
15-Jun-2020 - 00:00,21.68,44.55,6.52,2.34,5.43,997.17,0.83,4.01,31.65,18.41,32.86,21.41,90.01,79.92,20.06,214.86,19.27,276.15,5.13,16-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
16-Jun-2020 - 00:00,7.52,46.73,3.39,0.85,1.26,995.02,0.89,6.96,24.29,17.03,38.29,31.75,94.52,81.36,10.79,171.9,18.7,260.86,5.37,17-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
17-Jun-2020 - 00:00,4.57,49.31,3.05,0.76,0.59,995.55,0.76,5.18,20.44,13.78,19.48,14.79,10.33,76.71,9.79,175.8,11.75,244.88,7.98,18-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
18-Jun-2020 - 00:00,3.34,45.86,3.06,0.71,0.91,997.23,0.55,6.66,34.83,21.02,70.85,11.09,86.93,78.61,11.71,176.22,19.59,229.28,7.2,19-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
19-Jun-2020 - 00:00,4.01,51.5,3.63,1.0,0.99,998.3,0.71,22.56,35.27,24.32,40.1,18.54,134.68,75.72,9.78,185.79,19.42,224.99,7.56,20-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
20-Jun-2020 - 00:00,3.31,41.66,3.54,0.77,0.74,998.9,0.49,5.42,11.78,6.14,47.85,22.67,131.53,71.16,9.93,196.73,19.61,225.07,7.74,21-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
21-Jun-2020 - 00:00,3.18,59.54,2.87,0.93,0.7,998.28,0.73,3.44,12.59,8.39,54.11,24.18,131.17,72.32,11.64,172.62,19.8,234.4,7.16,22-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
22-Jun-2020 - 00:00,3.37,54.02,2.69,0.8,0.84,997.64,0.52,4.5,16.81,11.52,48.24,19.1,103.71,73.24,13.51,175.94,19.75,224.04,6.6,23-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
23-Jun-2020 - 00:00,3.13,60.57,2.38,0.7,0.62,998.33,0.5,7.34,15.51,12.17,62.27,22.95,69.45,70.33,12.93,202.39,19.58,221.71,6.54,24-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
24-Jun-2020 - 00:00,1.9,55.2,1.14,0.42,0.56,999.26,0.76,13.2,27.89,22.88,45.46,32.98,,81.12,11.84,125.13,9.88,229.16,4.24,25-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
25-Jun-2020 - 00:00,0.97,51.23,1.22,0.39,0.27,998.58,0.64,8.12,23.75,17.56,40.61,29.63,147.33,76.55,11.75,201.79,17.18,236.36,4.74,26-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
26-Jun-2020 - 00:00,1.78,48.93,1.77,0.31,0.39,998.02,0.61,9.05,30.58,20.73,46.38,37.69,151.82,69.97,10.46,201.51,18.16,262.4,4.36,27-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
27-Jun-2020 - 00:00,1.36,37.76,1.64,0.23,0.29,997.95,0.49,9.28,44.33,20.68,62.9,46.96,123.51,57.08,12.57,300.02,19.56,248.59,7.35,28-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
28-Jun-2020 - 00:00,1.35,50.9,1.28,0.29,0.29,997.89,0.53,6.15,23.89,16.19,28.06,31.6,,65.84,10.4,226.45,19.83,251.67,6.94,29-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
29-Jun-2020 - 00:00,1.39,60.17,0.79,0.25,0.36,997.54,0.67,8.65,26.12,19.09,25.46,30.05,127.99,64.29,12.32,212.06,17.63,252.88,5.58,30-Jun-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
30-Jun-2020 - 00:00,1.22,43.66,1.39,0.28,0.34,997.47,0.72,7.15,58.59,33.28,41.82,40.47,117.34,72.97,16.26,145.62,15.68,176.13,3.21,01-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
01-Jul-2020 - 00:00,1.96,46.44,1.91,0.44,0.31,997.87,0.71,4.9,34.6,20.51,47.13,23.96,103.8,68.68,14.13,173.53,19.88,228.0,6.0,02-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
02-Jul-2020 - 00:00,1.81,52.42,1.46,0.47,0.34,997.0,0.72,6.24,22.72,15.74,48.99,14.16,70.63,68.24,20.03,212.58,19.63,234.73,6.67,03-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
03-Jul-2020 - 00:00,1.3,41.98,1.5,0.38,0.28,995.97,0.55,9.02,29.6,21.17,42.71,21.23,90.06,72.07,14.61,167.58,17.81,249.31,4.9,04-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
04-Jul-2020 - 00:00,1.98,49.22,1.86,0.53,0.27,993.84,0.78,6.88,28.58,19.07,49.41,29.95,86.6,70.46,21.61,220.15,19.2,196.82,3.9,05-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
05-Jul-2020 - 00:00,2.64,30.88,1.09,0.43,0.38,992.57,0.5,3.63,18.3,11.63,61.15,17.58,45.72,70.83,15.07,153.55,19.74,185.12,5.4,06-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
06-Jul-2020 - 00:00,2.36,40.51,2.15,0.45,0.48,991.58,0.62,6.54,21.11,15.18,32.95,18.17,41.84,90.66,20.97,96.36,17.94,153.3,2.83,07-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
07-Jul-2020 - 00:00,1.07,34.54,1.97,0.36,0.44,992.33,0.67,5.06,17.39,12.26,34.53,16.78,53.29,85.74,14.82,149.01,19.61,164.18,4.9,08-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
08-Jul-2020 - 00:00,1.52,42.16,2.11,0.45,0.37,997.14,0.87,15.59,23.11,22.88,49.09,31.59,67.74,90.96,18.45,126.59,18.71,177.7,4.16,09-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
09-Jul-2020 - 00:00,2.37,54.76,1.23,0.48,0.36,997.77,0.68,11.18,30.19,23.07,,31.6,70.86,86.34,18.08,151.54,19.41,223.9,4.9,10-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
10-Jul-2020 - 00:00,1.96,46.31,1.33,0.46,0.39,997.63,0.64,10.73,30.57,22.92,,25.39,41.9,84.67,12.58,159.02,19.49,230.64,7.48,11-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
11-Jul-2020 - 00:00,2.2,55.01,2.23,0.36,0.35,997.36,0.6,7.95,24.94,18.1,,21.25,48.8,85.27,16.82,167.29,19.5,233.6,8.19,12-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
12-Jul-2020 - 00:00,2.1,53.66,2.51,0.37,0.32,998.38,0.64,9.48,28.12,20.78,,26.87,60.19,93.66,20.89,140.47,19.26,230.57,5.69,13-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
13-Jul-2020 - 00:00,2.2,52.21,2.27,0.55,0.54,997.87,0.7,10.42,24.98,19.96,,34.16,78.39,84.04,19.4,152.29,19.18,235.7,4.62,14-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
14-Jul-2020 - 00:00,2.49,50.34,1.51,0.58,0.47,997.61,0.62,10.36,33.0,23.81,,40.24,88.15,83.59,17.8,142.92,18.62,251.0,4.41,15-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
15-Jul-2020 - 00:00,2.98,63.91,2.2,0.72,0.58,996.72,0.68,5.5,33.19,20.27,,36.47,85.78,83.6,15.84,150.4,18.59,247.47,3.76,16-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
16-Jul-2020 - 00:00,2.85,64.79,1.6,0.6,0.54,994.01,0.86,9.17,51.48,31.96,,28.98,79.69,85.63,20.61,162.37,19.02,201.05,2.71,17-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
17-Jul-2020 - 00:00,2.83,61.19,1.7,0.67,0.49,993.91,0.74,8.78,35.41,23.83,,20.56,52.07,86.03,16.38,166.48,19.5,175.02,2.43,18-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
18-Jul-2020 - 00:00,2.96,63.11,1.6,0.65,0.41,997.37,0.69,5.18,19.39,13.32,,17.24,44.6,81.55,13.36,185.91,19.45,199.47,5.46,19-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
19-Jul-2020 - 00:00,3.08,71.28,2.53,0.66,0.59,998.18,0.59,7.74,24.16,17.55,,27.38,67.39,78.75,14.35,187.33,19.15,246.66,6.32,20-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
20-Jul-2020 - 00:00,3.28,59.08,1.69,0.67,0.79,997.73,0.76,7.76,28.43,19.66,,32.78,64.87,77.79,15.07,158.15,19.28,238.36,6.75,21-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
21-Jul-2020 - 00:00,2.62,61.53,2.47,0.65,0.58,998.2,0.54,8.1,28.45,19.92,,25.8,43.3,75.89,14.48,173.0,19.8,230.03,7.28,22-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
22-Jul-2020 - 00:00,2.68,68.23,3.31,0.78,0.82,998.81,0.63,9.83,34.73,24.28,,33.51,52.02,74.11,15.91,199.84,19.72,251.71,5.89,23-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
23-Jul-2020 - 00:00,2.62,67.01,3.65,0.81,0.74,998.49,0.55,8.19,34.93,23.15,,34.14,57.26,75.83,16.91,187.89,19.9,267.3,5.72,24-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
24-Jul-2020 - 00:00,3.18,66.91,3.01,0.86,0.69,998.97,0.63,7.75,33.35,22.04,87.21,41.47,70.75,77.06,10.57,190.6,19.73,242.24,4.91,25-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
25-Jul-2020 - 00:00,4.06,65.52,1.87,0.86,0.53,999.54,0.84,7.31,45.06,27.43,,44.18,91.44,82.7,13.27,181.97,19.68,211.04,2.85,26-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
26-Jul-2020 - 00:00,4.06,65.52,1.87,0.86,0.53,,0.77,7.64,26.86,18.81,,30.21,111.57,81.16,14.28,203.8,,214.21,4.58,27-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
27-Jul-2020 - 00:00,3.67,65.09,1.53,0.86,0.46,999.61,0.91,10.2,38.42,26.36,,28.41,53.84,77.07,15.37,151.88,19.86,232.06,4.76,28-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
28-Jul-2020 - 00:00,3.8,75.87,1.76,0.72,0.61,998.65,0.92,8.48,28.07,20.02,,35.79,78.85,76.78,16.16,154.52,19.61,267.87,5.48,29-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
29-Jul-2020 - 00:00,3.72,80.01,1.64,0.77,0.69,998.48,0.82,9.24,25.28,19.23,,30.46,72.68,75.9,11.79,143.97,19.47,258.71,4.83,30-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
30-Jul-2020 - 00:00,3.83,79.75,2.6,0.75,0.88,998.64,0.79,16.84,45.29,34.66,23.49,54.62,177.26,83.97,12.48,113.42,19.86,232.35,3.78,31-Jul-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
31-Jul-2020 - 00:00,2.9,63.45,1.65,0.39,0.97,998.26,0.94,15.35,39.51,30.73,29.4,45.57,80.72,79.06,15.32,153.0,19.4,227.18,3.96,01-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
01-Aug-2020 - 00:00,2.82,64.88,1.78,0.42,0.98,998.47,0.93,11.09,32.18,23.98,31.24,27.12,47.32,75.7,19.53,175.2,19.56,226.17,5.03,02-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
02-Aug-2020 - 00:00,3.12,68.94,2.06,0.53,0.96,997.35,1.02,6.26,26.69,17.67,35.32,24.15,73.31,74.33,21.09,179.35,19.55,235.93,5.17,03-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
03-Aug-2020 - 00:00,3.13,54.34,2.16,0.58,0.56,994.48,0.84,4.04,19.87,12.71,37.99,16.34,55.96,75.87,20.02,165.79,19.64,231.43,6.38,04-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
04-Aug-2020 - 00:00,4.06,67.77,2.82,0.79,0.68,990.34,0.82,4.06,22.01,13.77,,24.55,83.93,74.27,15.48,165.06,19.01,208.43,3.42,05-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
05-Aug-2020 - 00:00,4.06,76.91,3.24,0.78,0.74,988.88,0.81,5.36,32.08,19.65,63.83,30.65,135.83,81.37,19.07,96.24,19.36,157.0,4.64,06-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
06-Aug-2020 - 00:00,3.07,65.8,2.04,0.78,0.52,988.78,0.82,7.99,37.74,24.37,33.73,25.15,63.64,89.26,22.81,73.84,19.67,117.74,3.38,07-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
07-Aug-2020 - 00:00,3.46,67.13,1.98,0.9,0.79,993.41,0.92,9.39,29.12,21.21,47.48,27.13,88.62,90.68,12.17,125.11,19.79,209.96,5.29,08-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
08-Aug-2020 - 00:00,4.75,68.13,2.82,0.88,0.79,997.42,0.71,10.77,29.93,22.64,49.53,32.73,121.29,88.11,17.1,184.56,17.29,230.08,6.3,09-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
09-Aug-2020 - 00:00,5.42,68.35,3.5,1.01,0.9,997.68,0.72,14.68,39.71,29.98,66.71,43.56,302.11,94.54,20.42,88.83,13.61,246.48,4.41,10-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
10-Aug-2020 - 00:00,6.21,70.61,3.65,1.2,0.97,997.73,0.88,15.91,38.35,30.58,65.78,50.96,119.95,91.24,17.93,135.99,18.63,245.16,4.33,11-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
11-Aug-2020 - 00:00,5.57,64.06,3.25,1.05,0.79,998.29,0.74,14.92,32.57,27.02,65.63,61.99,134.45,87.21,14.05,172.62,19.29,248.71,5.2,12-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
12-Aug-2020 - 00:00,0.0,0.0,0.0,0.0,0.0,998.86,0.71,9.16,28.68,19.37,49.09,26.28,82.82,97.08,11.32,76.49,0.0,255.25,8.13,13-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
13-Aug-2020 - 00:00,3.69,11.49,1.33,0.45,1.17,997.19,1.02,9.45,22.27,17.92,38.87,21.97,71.23,98.48,14.6,56.29,,259.83,8.87,14-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
14-Aug-2020 - 00:00,2.38,19.94,2.75,0.61,1.64,994.67,0.97,15.98,33.66,28.3,69.47,18.73,63.05,95.43,11.47,88.15,,249.9,7.18,15-Aug-2020 - 00:00,"Maninagar, Ahmedabad - GPCB"
