from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Toluene,CO,NH3,NO2,NO,NOx,Ozone,PM10,PM2.5,SR,WS,WD,SO2,to date,station
16-Jan-2020 - 00:00,1.65,0.35,1.32,0.41,9.19,0.46,2.33,3.22,3.11,2.65,61.1,63.43,28.97,54.41,2.05,254.39,2.62,17-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
17-Jan-2020 - 00:00,4.31,2.5,13.67,4.3,20.13,1.0,2.24,7.2,3.11,4.7,56.06,69.81,47.59,97.44,1.67,148.51,5.03,18-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
18-Jan-2020 - 00:00,7.91,6.07,29.8,8.34,32.45,1.57,2.41,10.41,3.21,6.38,48.96,111.58,64.54,91.45,1.82,170.94,6.61,19-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
19-Jan-2020 - 00:00,6.68,5.43,26.78,7.51,29.77,1.42,2.93,8.74,3.18,5.57,51.37,101.07,75.56,85.84,1.97,163.36,2.72,20-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
20-Jan-2020 - 00:00,5.25,4.87,24.82,6.3,28.27,1.26,3.08,9.28,3.22,5.85,43.4,101.11,62.13,86.58,2.02,188.89,4.4,21-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
21-Jan-2020 - 00:00,4.54,3.12,15.78,3.13,23.71,0.95,3.67,6.5,3.12,4.35,38.27,96.85,58.94,90.69,2.18,181.68,2.97,22-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
22-Jan-2020 - 00:00,3.76,1.62,10.08,1.82,19.68,0.82,3.53,5.56,3.1,3.86,40.97,85.87,59.14,76.89,1.96,163.75,4.56,23-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
23-Jan-2020 - 00:00,6.37,5.97,28.25,8.16,30.31,1.3,3.17,9.05,3.3,5.77,33.1,96.31,75.3,88.23,2.11,172.53,4.84,24-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
24-Jan-2020 - 00:00,4.86,4.87,24.93,7.5,26.44,1.24,2.93,8.66,3.11,5.42,35.91,102.14,76.75,89.88,2.04,154.31,5.08,25-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
25-Jan-2020 - 00:00,5.12,2.63,17.14,4.13,21.21,1.15,3.22,7.29,3.15,4.8,37.14,93.62,45.49,82.07,1.66,193.21,3.83,26-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
26-Jan-2020 - 00:00,4.94,2.17,13.5,2.81,21.11,1.01,3.39,6.34,3.13,4.29,34.29,96.89,57.1,86.03,1.77,150.74,6.45,27-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
27-Jan-2020 - 00:00,3.35,1.21,8.19,1.62,17.08,0.8,3.41,4.99,3.09,3.55,42.0,155.58,49.63,87.58,2.82,183.13,3.77,28-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
28-Jan-2020 - 00:00,1.03,0.41,2.39,0.44,8.21,0.47,2.81,3.23,3.08,2.63,40.42,115.39,22.55,86.69,3.27,260.2,2.64,29-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
29-Jan-2020 - 00:00,1.41,0.52,3.25,0.6,11.56,0.53,2.4,3.58,3.1,2.83,40.86,70.98,21.64,90.02,1.88,219.52,3.4,30-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
30-Jan-2020 - 00:00,3.51,2.08,12.09,3.17,17.08,0.91,2.06,5.89,3.12,4.05,42.19,83.67,41.72,99.87,2.01,154.3,4.73,31-Jan-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
31-Jan-2020 - 00:00,3.28,0.97,8.68,1.14,15.7,0.84,2.14,4.8,3.12,3.49,47.92,85.44,44.47,90.8,1.91,187.41,6.2,01-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
01-Feb-2020 - 00:00,3.34,0.88,6.89,1.16,13.37,0.78,2.3,4.01,3.09,3.05,51.51,78.91,47.82,92.82,2.43,123.14,4.14,02-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
02-Feb-2020 - 00:00,3.85,2.99,15.58,4.76,17.37,1.02,2.08,6.5,3.15,4.39,52.25,86.54,45.07,93.96,2.61,143.9,10.22,03-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
03-Feb-2020 - 00:00,4.13,1.92,12.18,2.5,20.17,0.95,2.45,4.49,3.12,3.32,44.79,131.87,59.46,92.35,2.06,172.38,4.67,04-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
04-Feb-2020 - 00:00,3.22,0.94,4.56,0.9,17.34,0.73,2.49,3.65,3.1,2.86,44.03,99.0,55.04,90.54,1.93,205.01,3.54,05-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
05-Feb-2020 - 00:00,3.66,0.73,7.77,1.38,14.91,0.83,2.14,4.47,3.11,3.3,42.67,107.42,50.17,92.89,2.05,204.53,9.72,06-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
06-Feb-2020 - 00:00,3.2,12.69,8.19,29.48,12.53,0.68,2.43,3.79,3.24,3.1,40.99,95.28,51.1,94.68,1.93,238.1,2.9,07-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
07-Feb-2020 - 00:00,2.29,1.37,2.14,1.09,9.61,0.63,3.11,4.19,3.51,3.63,44.11,105.18,55.49,96.65,1.8,197.81,3.24,08-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
08-Feb-2020 - 00:00,2.3,0.6,4.48,0.93,10.86,0.75,3.51,8.88,2.16,5.63,72.97,96.94,72.49,86.58,2.63,132.91,2.92,09-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
09-Feb-2020 - 00:00,2.27,0.48,2.64,0.56,5.81,0.66,3.6,10.06,1.12,5.69,90.52,87.6,58.54,91.77,3.08,122.42,5.55,10-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
10-Feb-2020 - 00:00,2.75,1.43,10.02,1.62,11.26,0.78,4.04,12.84,1.18,7.21,61.75,79.63,51.76,90.82,2.9,128.08,3.32,11-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
11-Feb-2020 - 00:00,3.74,6.32,35.15,12.39,17.43,0.91,11.78,34.99,4.78,22.64,37.81,73.71,47.24,89.22,2.9,138.6,4.31,12-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
12-Feb-2020 - 00:00,4.44,6.22,43.6,19.73,20.86,0.84,18.33,59.27,2.9,48.96,42.25,73.95,49.65,82.77,2.45,139.78,4.96,13-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
13-Feb-2020 - 00:00,5.28,4.55,30.5,14.1,21.74,0.78,15.41,50.3,6.78,57.37,49.3,109.22,72.58,81.07,1.9,183.92,2.84,14-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
14-Feb-2020 - 00:00,1.91,1.07,14.32,7.37,15.63,0.55,12.67,42.82,1.3,43.17,111.46,93.37,55.09,107.04,1.73,215.75,2.38,15-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
15-Feb-2020 - 00:00,3.83,2.59,19.86,9.07,19.1,0.64,14.78,46.4,2.69,50.45,97.71,81.86,56.98,96.0,2.13,168.13,5.96,16-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
16-Feb-2020 - 00:00,6.07,4.72,24.64,12.12,24.64,0.88,12.5,51.92,9.65,63.84,93.37,97.87,68.14,96.47,2.29,133.8,7.14,17-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
17-Feb-2020 - 00:00,9.05,9.21,48.28,18.76,39.2,1.14,11.65,64.55,14.64,80.84,65.39,119.32,83.87,90.39,2.18,176.25,6.6,18-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
18-Feb-2020 - 00:00,10.02,7.27,27.57,12.97,26.95,0.77,11.6,50.78,3.16,53.99,71.49,90.44,65.95,95.97,1.73,176.41,7.63,19-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
19-Feb-2020 - 00:00,1.65,1.18,8.49,3.76,12.78,0.64,13.41,40.29,2.0,42.63,76.07,69.31,51.5,95.74,1.92,155.67,3.6,20-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
20-Feb-2020 - 00:00,1.98,1.11,7.59,3.39,14.23,0.61,15.26,40.05,1.91,41.39,82.27,100.02,62.03,91.51,2.11,189.87,3.05,21-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
21-Feb-2020 - 00:00,2.7,1.1,7.95,3.34,15.01,0.7,13.4,40.05,2.0,42.07,81.77,71.87,54.79,92.87,2.02,177.67,2.96,22-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
22-Feb-2020 - 00:00,2.29,1.78,10.22,3.93,16.77,0.68,14.03,45.12,2.3,47.76,80.76,78.12,58.49,94.33,2.04,154.5,7.68,23-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
23-Feb-2020 - 00:00,2.71,1.27,6.86,3.24,13.66,0.63,14.89,38.31,2.05,40.28,79.67,81.69,56.79,97.64,1.93,178.19,3.99,24-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
24-Feb-2020 - 00:00,2.02,0.81,6.02,2.96,11.69,0.56,11.87,37.02,2.13,38.86,75.53,101.59,53.97,101.07,1.74,195.81,3.43,25-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
25-Feb-2020 - 00:00,2.13,1.11,9.14,3.38,12.69,0.61,10.22,43.07,3.45,46.06,58.52,70.62,36.26,103.98,2.39,139.95,2.48,26-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
26-Feb-2020 - 00:00,3.0,2.7,16.11,6.55,20.66,0.88,7.65,48.07,9.36,58.52,55.65,81.21,40.95,108.09,2.46,171.78,10.95,27-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
27-Feb-2020 - 00:00,5.24,4.58,22.5,9.34,27.14,1.04,9.32,60.18,13.72,57.02,34.97,89.96,48.35,105.55,2.13,150.28,5.41,28-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
28-Feb-2020 - 00:00,3.28,1.47,10.42,4.25,14.24,0.7,12.38,42.7,2.42,24.24,75.67,99.93,55.21,99.4,1.86,172.19,9.04,29-Feb-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
29-Feb-2020 - 00:00,3.41,1.3,8.95,3.91,15.32,0.63,13.73,43.13,2.5,24.12,74.27,107.44,57.51,89.4,2.27,172.65,3.59,01-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
01-Mar-2020 - 00:00,1.18,0.86,6.76,3.2,12.19,0.48,13.85,36.03,1.85,19.79,21.21,62.1,36.31,75.74,2.02,190.45,4.6,02-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
02-Mar-2020 - 00:00,2.48,1.63,9.7,4.14,15.33,0.68,12.56,44.15,5.05,27.27,53.37,139.43,49.08,103.37,2.7,185.75,2.68,03-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
03-Mar-2020 - 00:00,0.9,0.61,4.47,1.91,9.01,0.47,15.12,29.96,1.48,15.94,44.11,124.8,45.41,110.15,2.54,225.39,6.01,04-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
04-Mar-2020 - 00:00,0.35,0.55,3.7,1.96,10.65,0.45,17.38,28.58,1.43,15.46,49.44,122.29,41.75,101.09,2.4,252.9,3.22,05-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
05-Mar-2020 - 00:00,0.65,0.74,4.24,2.14,9.48,0.43,16.78,28.31,1.97,15.83,28.9,118.69,40.04,101.53,2.56,233.02,2.38,06-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
06-Mar-2020 - 00:00,0.38,1.08,6.58,2.33,11.75,0.43,17.63,29.71,2.84,17.51,16.65,125.97,32.22,78.86,3.22,265.0,2.73,07-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
07-Mar-2020 - 00:00,0.45,0.7,5.4,2.49,8.85,0.41,15.78,26.85,1.5,14.86,24.02,64.67,21.16,103.4,1.89,238.69,2.44,08-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
08-Mar-2020 - 00:00,1.15,0.79,4.98,2.83,10.58,0.48,13.07,31.67,1.82,17.59,17.0,80.91,34.12,104.02,2.26,158.26,6.08,09-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
09-Mar-2020 - 00:00,2.41,0.79,5.44,2.21,11.23,0.52,14.53,32.77,1.68,17.74,5.4,102.92,46.24,95.1,1.99,188.05,3.79,10-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
10-Mar-2020 - 00:00,1.42,0.72,5.72,2.85,10.73,0.54,16.96,27.13,2.01,15.47,0.11,67.15,32.44,75.85,2.8,217.17,2.6,11-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
11-Mar-2020 - 00:00,0.25,0.78,4.19,1.88,7.33,0.36,15.45,23.59,1.88,13.36,73.04,97.24,23.24,108.2,2.94,275.97,2.56,12-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
12-Mar-2020 - 00:00,0.36,0.54,4.55,1.98,8.3,0.4,15.15,22.94,1.74,12.97,72.79,88.45,23.39,95.31,2.52,236.22,2.49,13-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
13-Mar-2020 - 00:00,0.71,0.53,2.96,1.29,6.8,0.35,12.52,19.1,1.6,10.86,98.08,51.69,22.46,111.87,2.06,221.22,2.36,14-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
14-Mar-2020 - 00:00,2.92,3.21,14.56,5.94,17.01,0.8,7.8,42.24,5.55,26.9,92.63,85.04,37.01,106.53,2.28,184.98,4.1,15-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
15-Mar-2020 - 00:00,2.75,2.25,12.97,5.49,14.84,0.66,8.96,46.0,3.13,26.78,83.33,101.02,40.48,102.74,2.63,154.07,5.23,16-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
16-Mar-2020 - 00:00,2.83,2.17,13.43,5.33,15.56,0.74,10.89,46.22,3.26,26.84,82.38,84.26,41.24,88.49,1.96,180.42,7.87,17-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
17-Mar-2020 - 00:00,1.79,0.89,7.33,3.34,10.93,0.6,14.4,35.56,1.79,19.57,70.39,64.93,36.3,82.31,2.18,151.22,7.23,18-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
18-Mar-2020 - 00:00,1.12,0.99,6.68,2.74,10.59,0.56,13.06,33.34,2.45,19.06,58.44,68.44,31.84,91.16,2.0,198.68,3.9,19-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
19-Mar-2020 - 00:00,1.0,0.69,5.45,3.19,9.88,0.4,10.97,26.33,1.9,14.87,57.08,45.05,25.29,107.09,2.05,207.86,2.71,20-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
20-Mar-2020 - 00:00,0.43,0.57,4.06,2.19,7.79,0.38,12.21,26.4,1.79,14.75,39.48,100.26,35.68,108.18,2.77,227.44,2.61,21-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
21-Mar-2020 - 00:00,0.97,0.55,3.87,1.8,8.51,0.41,13.37,24.14,1.82,13.6,45.53,51.72,27.62,107.45,2.3,236.46,2.74,22-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
22-Mar-2020 - 00:00,0.73,0.47,1.68,0.92,6.48,0.36,16.96,22.53,1.57,12.59,56.21,42.83,28.69,98.97,2.02,172.16,4.33,23-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
23-Mar-2020 - 00:00,1.28,0.45,1.52,0.85,4.89,0.4,17.84,24.72,1.72,13.8,66.55,52.96,31.45,98.5,1.85,176.18,4.48,24-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
24-Mar-2020 - 00:00,1.09,0.49,2.6,1.08,5.99,0.44,14.31,28.24,1.43,15.35,68.81,67.82,35.93,78.77,2.11,178.39,6.06,25-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
25-Mar-2020 - 00:00,0.06,2.38,0.7,0.5,0.32,0.44,18.01,29.52,1.76,16.24,49.83,51.87,35.58,58.81,2.13,157.77,4.01,26-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
26-Mar-2020 - 00:00,1.13,1.4,1.1,0.95,5.19,0.4,19.91,24.98,1.64,13.97,60.76,39.56,29.28,96.57,2.43,180.11,2.52,27-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
27-Mar-2020 - 00:00,1.69,1.4,1.5,1.19,8.69,0.46,20.31,26.42,1.76,14.82,55.41,50.09,42.14,79.44,1.77,249.46,2.97,28-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
28-Mar-2020 - 00:00,1.2,1.6,1.5,1.2,7.2,0.4,16.14,23.77,1.83,13.46,62.82,43.36,34.1,97.56,2.19,199.21,2.41,29-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
29-Mar-2020 - 00:00,1.2,1.6,1.49,1.21,7.23,0.4,13.19,22.43,1.84,12.73,73.96,46.94,28.21,96.96,1.98,183.55,2.75,30-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
30-Mar-2020 - 00:00,1.2,1.6,1.5,1.2,7.18,0.43,12.76,20.18,6.71,14.56,69.82,47.6,34.87,105.2,2.19,180.28,2.84,31-Mar-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
31-Mar-2020 - 00:00,1.21,1.6,1.5,1.19,7.18,0.41,11.29,21.11,1.42,11.73,59.06,43.29,34.09,94.64,1.99,207.17,2.84,01-Apr-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
01-Apr-2020 - 00:00,1.2,1.6,1.49,1.2,7.2,0.37,10.44,19.65,1.13,10.63,59.53,33.99,25.32,118.45,2.02,231.1,2.06,02-Apr-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
02-Apr-2020 - 00:00,1.2,1.6,1.49,1.2,7.19,0.39,11.78,20.23,1.51,11.2,59.72,53.38,31.75,117.31,1.97,180.44,1.9,03-Apr-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
03-Apr-2020 - 00:00,1.2,1.61,1.5,1.2,7.18,0.39,11.44,20.88,1.36,11.5,70.64,69.88,43.95,107.78,2.01,193.84,1.89,04-Apr-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
04-Apr-2020 - 00:00,1.2,1.6,1.5,1.2,7.21,0.43,11.72,22.08,1.45,12.02,76.08,46.56,41.05,111.88,1.83,219.7,2.3,05-Apr-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
05-Apr-2020 - 00:00,1.19,1.59,1.5,1.19,7.21,0.46,11.39,22.25,1.33,12.21,77.65,48.68,40.46,113.47,1.88,202.46,1.93,06-Apr-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
06-Apr-2020 - 00:00,0.86,0.95,1.12,0.93,4.5,0.45,11.8,21.58,1.49,11.94,79.49,56.33,38.15,118.7,2.44,221.9,2.13,07-Apr-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
07-Apr-2020 - 00:00,0.6,0.4,0.79,0.7,2.25,0.38,15.09,21.28,1.24,11.43,58.22,55.94,24.69,115.15,2.34,223.83,2.33,08-Apr-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
08-Apr-2020 - 00:00,0.59,0.4,0.8,0.71,2.17,0.34,10.21,19.0,1.59,10.73,48.87,64.39,26.6,116.66,2.38,234.05,2.55,09-Apr-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
09-Apr-2020 - 00:00,0.61,0.39,0.81,0.71,2.21,0.36,11.22,19.46,1.51,10.76,56.48,67.46,28.17,115.5,2.18,221.84,1.9,10-Apr-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
10-Apr-2020 - 00:00,0.58,0.41,0.79,0.7,2.12,0.4,13.17,21.04,1.44,11.62,74.96,64.47,27.55,106.49,2.1,207.3,2.02,11-Apr-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
11-Apr-2020 - 00:00,0.6,0.4,0.78,0.73,2.22,0.39,10.72,20.76,1.28,11.37,79.05,55.56,30.58,113.13,1.94,185.4,3.27,12-Apr-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
12-Apr-2020 - 00:00,0.62,0.41,0.8,0.7,2.18,0.42,9.82,20.88,1.38,11.41,74.16,57.34,28.31,109.06,1.84,191.88,2.69,13-Apr-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
13-Apr-2020 - 00:00,0.6,0.4,0.8,0.69,2.18,0.43,10.07,19.65,1.08,10.64,81.07,55.71,29.01,115.18,2.15,237.79,2.87,14-Apr-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
14-Apr-2020 - 00:00,0.6,0.39,0.8,0.69,2.25,0.42,10.85,19.88,1.38,10.8,83.23,53.18,30.28,107.65,2.26,219.34,2.63,15-Apr-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
15-Apr-2020 - 00:00,0.58,0.4,0.81,0.65,2.15,0.45,10.65,21.01,1.25,11.51,78.27,52.31,26.29,103.74,2.0,209.52,2.76,16-Apr-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
16-Apr-2020 - 00:00,0.6,0.39,0.79,0.7,2.29,0.46,13.14,22.86,1.57,12.67,77.24,53.53,26.8,108.06,2.28,228.81,2.58,17-Apr-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
17-Apr-2020 - 00:00,0.59,0.41,0.81,0.71,2.23,0.46,16.15,23.63,1.42,13.04,64.29,50.63,28.04,105.38,2.63,251.56,2.17,18-Apr-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
18-Apr-2020 - 00:00,0.59,0.41,0.79,0.69,2.18,0.39,13.09,20.22,1.14,10.83,65.33,51.39,24.53,103.48,2.38,259.92,2.87,19-Apr-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
19-Apr-2020 - 00:00,0.59,0.4,0.8,0.69,2.2,0.41,10.98,19.34,1.58,10.98,68.62,57.69,29.39,107.4,2.22,253.98,3.05,20-Apr-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
20-Apr-2020 - 00:00,0.6,0.4,0.79,0.69,2.19,0.4,9.65,21.08,1.24,11.45,56.28,46.28,24.7,118.15,2.1,218.1,2.44,21-Apr-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
21-Apr-2020 - 00:00,0.6,0.4,0.8,0.69,2.3,0.38,8.72,19.91,1.24,10.85,40.2,43.42,22.77,123.12,2.38,212.73,2.29,22-Apr-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
22-Apr-2020 - 00:00,0.59,0.4,0.79,0.69,2.19,0.36,10.55,19.6,1.11,10.47,51.94,47.87,19.39,115.44,2.38,246.65,2.26,23-Apr-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
23-Apr-2020 - 00:00,0.59,0.39,0.79,0.7,2.26,0.38,11.02,18.88,1.57,10.61,51.39,51.24,25.97,115.02,2.5,230.8,2.07,24-Apr-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
24-Apr-2020 - 00:00,0.59,0.39,0.79,0.7,2.11,0.33,10.5,18.57,1.32,10.04,38.73,40.01,19.53,121.7,2.9,260.38,2.11,25-Apr-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
25-Apr-2020 - 00:00,0.59,0.39,0.8,0.68,2.18,0.28,10.3,17.25,1.23,9.32,45.47,39.91,18.76,128.75,2.77,245.79,2.21,26-Apr-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
26-Apr-2020 - 00:00,0.58,0.4,0.79,0.7,2.15,0.34,9.16,16.58,1.62,9.51,50.26,42.82,18.31,121.52,2.36,221.75,2.11,27-Apr-2020 - 00:00,"Gangapur Road, Nashik - MPCB"
