from date,PM10,PM2.5,WD,WS,RH,SO2,NOx,NH3,CO,Ozone,NO,NO2,to date,station
27-Feb-2020 - 00:00,91.28,35.66,,0.33,,4.92,40.28,5.89,0.46,1.43,9.99,30.3,28-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
28-Feb-2020 - 00:00,102.96,42.33,,5.54,,4.56,52.1,4.96,0.5,1.64,11.73,40.36,29-Feb-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
29-Feb-2020 - 00:00,109.99,53.06,,5.14,70.0,3.69,46.75,10.38,0.62,1.49,12.55,34.19,01-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
01-Mar-2020 - 00:00,86.71,43.06,,9.86,80.05,3.28,48.14,10.71,0.44,1.48,19.66,28.49,02-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
02-Mar-2020 - 00:00,81.7,38.44,,22.96,,3.18,38.31,7.81,0.44,1.54,8.63,29.68,03-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
03-Mar-2020 - 00:00,98.6,43.09,5.17,11.79,,3.84,52.6,7.07,0.49,1.07,17.92,34.69,04-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
04-Mar-2020 - 00:00,76.98,23.9,,0.69,,3.1,38.59,7.82,0.4,1.18,9.98,28.61,05-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
05-Mar-2020 - 00:00,81.02,25.23,,5.7,44.69,3.13,41.14,4.08,0.4,1.27,11.62,29.53,06-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
06-Mar-2020 - 00:00,79.24,17.62,,16.38,,2.98,42.6,2.63,0.35,1.48,12.46,30.14,07-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
07-Mar-2020 - 00:00,77.84,20.01,,5.58,,3.01,42.77,3.4,0.38,1.6,14.37,28.28,08-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
08-Mar-2020 - 00:00,81.32,21.76,,4.36,69.77,3.4,45.53,3.26,0.35,1.42,14.93,30.6,09-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
09-Mar-2020 - 00:00,81.38,27.3,,11.11,42.16,3.44,44.24,2.72,0.43,1.3,12.66,31.58,10-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
10-Mar-2020 - 00:00,92.78,27.75,,3.55,70.19,3.37,39.5,4.07,0.46,1.52,10.24,29.27,11-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
11-Mar-2020 - 00:00,71.39,19.14,,17.15,67.38,3.15,39.38,4.69,0.36,1.41,12.62,26.76,12-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
12-Mar-2020 - 00:00,74.57,18.45,,7.75,,3.15,39.72,3.69,0.38,1.45,11.24,28.48,13-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
13-Mar-2020 - 00:00,61.02,19.31,237.75,5.88,,3.01,30.12,6.02,0.34,1.41,7.61,22.51,14-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
14-Mar-2020 - 00:00,77.23,26.29,37.75,4.94,41.27,3.73,40.7,4.12,0.43,1.38,8.5,32.21,15-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
15-Mar-2020 - 00:00,78.85,29.17,60.67,7.93,,3.91,35.75,4.36,0.45,1.26,6.33,29.42,16-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
16-Mar-2020 - 00:00,110.07,41.11,2.0,6.71,44.71,3.69,43.35,4.03,0.6,1.41,8.3,35.06,17-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
17-Mar-2020 - 00:00,76.75,28.86,7.05,6.64,,3.77,39.52,5.01,0.44,1.52,8.41,31.12,18-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
18-Mar-2020 - 00:00,82.81,28.49,123.75,2.23,70.18,3.22,38.48,5.71,0.42,1.39,8.37,30.12,19-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
19-Mar-2020 - 00:00,72.94,32.0,,6.49,,3.74,37.44,6.86,0.47,1.23,7.07,30.37,20-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
20-Mar-2020 - 00:00,72.98,27.79,10.63,10.57,,3.25,39.0,9.18,0.45,1.17,7.42,31.58,21-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
21-Mar-2020 - 00:00,85.15,25.18,59.6,6.87,25.09,3.31,44.12,5.62,0.52,1.0,11.68,32.45,22-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
22-Mar-2020 - 00:00,63.33,24.04,156.67,6.65,48.37,4.28,21.58,9.42,0.28,1.47,5.77,15.81,23-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
23-Mar-2020 - 00:00,78.2,28.06,,8.41,73.99,3.55,22.26,8.35,0.34,1.36,4.98,17.28,24-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
24-Mar-2020 - 00:00,61.55,28.23,181.15,11.29,59.25,3.41,25.19,8.64,0.3,1.31,7.64,17.56,25-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
25-Mar-2020 - 00:00,55.21,27.09,7.0,14.97,78.62,3.18,24.47,10.09,0.27,1.33,8.88,15.59,26-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
26-Mar-2020 - 00:00,40.54,23.37,122.24,14.83,27.61,4.7,32.34,12.28,0.21,1.38,13.64,18.7,27-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
27-Mar-2020 - 00:00,,,,,,,,,,,,,28-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
28-Mar-2020 - 00:00,,,,,,,,,,,,,29-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
29-Mar-2020 - 00:00,,,,,,,,,,,,,30-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
30-Mar-2020 - 00:00,,,,,,,,,,,,,31-Mar-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
31-Mar-2020 - 00:00,,,,,,,,,,,,,01-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
01-Apr-2020 - 00:00,,,,,,,,,,,,,02-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
02-Apr-2020 - 00:00,,,,,,,,,,,,,03-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
03-Apr-2020 - 00:00,,,,,,,,,,,,,04-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
04-Apr-2020 - 00:00,,,,,,,,,,,,,05-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
05-Apr-2020 - 00:00,,,,,,,,,,,,,06-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
06-Apr-2020 - 00:00,,,,,,,,,,,,,07-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
07-Apr-2020 - 00:00,,,,,,,,,,,,,08-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
08-Apr-2020 - 00:00,,,,,,,,,,,,,09-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
09-Apr-2020 - 00:00,,,,,,,,,,,,,10-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
10-Apr-2020 - 00:00,,,,,,,,,,,,,11-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
11-Apr-2020 - 00:00,,,,,,,,,,,,,12-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
12-Apr-2020 - 00:00,,,,,,,,,,,,,13-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
13-Apr-2020 - 00:00,,,,,,,,,,,,,14-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
14-Apr-2020 - 00:00,,,,,,,,,,,,,15-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
15-Apr-2020 - 00:00,,,,,,,,,,,,,16-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
16-Apr-2020 - 00:00,,,,,,,,,,,,,17-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
17-Apr-2020 - 00:00,,,,,,,,,,,,,18-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
18-Apr-2020 - 00:00,,,,,,,,,,,,,19-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
19-Apr-2020 - 00:00,,,,,,,,,,,,,20-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
20-Apr-2020 - 00:00,,,,,,,,,,,,,21-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
21-Apr-2020 - 00:00,,,,,,,,,,,,,22-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
22-Apr-2020 - 00:00,,,,,,,,,,,,,23-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
23-Apr-2020 - 00:00,,,,,,,,,,,,,24-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
24-Apr-2020 - 00:00,,,,,,,,,,,,,25-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
25-Apr-2020 - 00:00,,,,,,,,,,,,,26-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
26-Apr-2020 - 00:00,,,,,,,,,,,,,27-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
27-Apr-2020 - 00:00,,,,,,,,,,,,,28-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
28-Apr-2020 - 00:00,,,,,,,,,,,,,29-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
29-Apr-2020 - 00:00,,,,,,,,,,,,,30-Apr-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
30-Apr-2020 - 00:00,,,,,,,,,,,,,01-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
01-May-2020 - 00:00,,,,,,,,,,,,,02-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
02-May-2020 - 00:00,,,,,,,,,,,,,03-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
03-May-2020 - 00:00,,,,,,,,,,,,,04-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
04-May-2020 - 00:00,,,,,,,,,,,,,05-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
05-May-2020 - 00:00,,,,,,,,,,,,,06-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
06-May-2020 - 00:00,,,,,,,,,,,,,07-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
07-May-2020 - 00:00,65.0,8.55,271.41,3.52,48.36,3.14,14.67,13.31,0.19,1.41,4.16,10.51,08-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
08-May-2020 - 00:00,47.66,10.62,273.38,0.97,70.62,2.71,14.19,5.4,0.17,1.37,3.5,10.69,09-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
09-May-2020 - 00:00,52.22,18.93,,24.67,,3.67,16.33,3.51,0.19,1.37,4.04,12.29,10-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
10-May-2020 - 00:00,46.23,17.51,,,,3.1,17.27,2.47,0.2,1.34,5.35,11.91,11-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
11-May-2020 - 00:00,34.91,15.44,,,,3.02,20.57,2.61,0.27,1.41,3.93,16.63,12-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
12-May-2020 - 00:00,39.03,17.92,,,,2.8,20.58,5.01,0.31,1.36,3.57,17.01,13-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
13-May-2020 - 00:00,47.75,21.23,,,,2.88,20.32,6.45,0.27,1.39,3.61,16.72,14-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
14-May-2020 - 00:00,32.65,16.81,,,,2.9,21.43,6.01,0.28,1.35,3.23,18.21,15-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
15-May-2020 - 00:00,25.5,14.08,,,,2.84,17.37,6.12,0.22,1.44,3.67,13.7,16-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
16-May-2020 - 00:00,44.79,19.42,75.27,11.31,81.95,2.92,24.79,4.98,0.34,1.34,4.77,20.03,17-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
17-May-2020 - 00:00,61.89,26.5,209.35,2.33,61.95,55.78,150.79,31.38,1.24,1.41,134.41,122.68,18-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
18-May-2020 - 00:00,96.68,27.35,189.98,2.01,76.27,,325.6,22.85,1.39,,295.48,181.67,19-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
19-May-2020 - 00:00,70.37,16.61,232.22,6.87,60.49,,345.97,0.16,1.61,,325.94,162.19,20-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
20-May-2020 - 00:00,38.78,10.0,229.0,1.65,74.75,,,,1.31,,,,21-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
21-May-2020 - 00:00,,8.74,227.5,1.23,56.98,,,,1.18,,,,22-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
22-May-2020 - 00:00,67.15,11.15,224.18,1.95,76.38,13.03,26.3,2.9,0.74,1.36,4.99,21.31,23-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
23-May-2020 - 00:00,62.89,15.49,297.7,0.3,84.0,,53.32,11.1,0.75,1.34,27.45,25.87,24-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
24-May-2020 - 00:00,48.22,13.58,298.0,0.3,84.0,,54.2,,0.01,1.49,39.25,14.95,25-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
25-May-2020 - 00:00,51.19,14.08,298.0,0.3,84.0,,34.87,0.52,0.1,1.41,22.4,12.47,26-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
26-May-2020 - 00:00,52.26,15.14,298.0,0.3,84.0,,15.71,6.1,0.16,1.35,3.03,12.68,27-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
27-May-2020 - 00:00,60.72,13.64,298.0,0.3,84.0,0.21,17.49,5.42,0.15,1.38,4.13,13.36,28-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
28-May-2020 - 00:00,50.97,13.56,298.0,0.3,84.0,17.75,17.68,7.63,0.15,1.36,4.75,12.93,29-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
29-May-2020 - 00:00,44.36,11.23,,,,0.17,14.93,8.33,0.15,1.39,3.3,11.63,30-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
30-May-2020 - 00:00,41.53,12.59,,,,3.76,23.23,8.99,0.27,1.41,5.78,17.45,31-May-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
31-May-2020 - 00:00,34.47,12.79,,,,0.06,16.0,9.13,0.18,1.39,3.88,12.12,01-Jun-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
01-Jun-2020 - 00:00,13.89,7.04,,,,1.93,23.99,10.38,0.34,1.36,5.32,18.68,02-Jun-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
02-Jun-2020 - 00:00,24.95,3.37,190.03,2.1,73.62,0.56,21.77,14.09,0.23,1.37,6.55,15.22,03-Jun-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
03-Jun-2020 - 00:00,10.44,4.78,211.39,1.59,88.87,10.13,19.04,13.29,0.24,1.36,5.41,13.64,04-Jun-2020 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
