from date,CH4,WD,BP,SR,NMHC,NO2,NOx,NO,CO,VWS,PM2.5,RH,WS,THC,Temp,NH3,SO2,to date,station
10-Mar-2019 - 00:00,,211.73,751.86,140.89,236.12,37.12,24.31,6.1,0.87,0.07,84.34,35.9,1.89,675.16,19.81,20.61,6.62,11-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Mar-2019 - 00:00,,141.87,750.75,100.7,277.21,42.39,26.36,5.23,1.03,-0.03,101.1,39.21,2.64,698.85,21.38,20.47,7.32,12-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Mar-2019 - 00:00,,61.9,751.34,111.69,255.62,20.97,13.3,3.64,0.76,-0.07,70.17,42.12,2.58,754.76,21.0,12.69,6.61,13-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Mar-2019 - 00:00,,72.03,751.48,59.19,364.34,38.34,27.38,9.13,0.99,-0.14,116.61,42.5,1.5,829.3,19.97,19.06,11.72,14-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Mar-2019 - 00:00,,80.91,751.89,87.72,357.33,35.39,26.03,9.37,0.94,0.11,127.36,57.85,2.34,783.49,18.0,34.53,14.77,15-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Mar-2019 - 00:00,,213.88,753.1,146.46,308.51,43.75,29.03,7.65,0.66,0.06,58.06,51.64,2.38,755.4,19.29,31.18,7.84,16-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Mar-2019 - 00:00,,271.25,752.77,106.7,282.24,44.42,26.73,4.37,0.63,-0.23,60.98,50.55,2.45,750.44,18.87,16.39,3.9,17-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Mar-2019 - 00:00,,214.59,751.54,143.89,326.03,41.45,24.66,3.71,0.58,-0.04,87.74,36.06,2.2,573.19,21.16,15.77,6.89,18-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Mar-2019 - 00:00,,263.04,750.99,137.82,373.53,57.93,35.2,6.08,0.87,-0.13,97.83,37.19,1.6,551.7,21.5,16.92,16.15,19-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Mar-2019 - 00:00,,227.76,749.11,142.96,402.82,67.13,49.64,18.12,1.04,-0.22,90.68,34.85,2.0,495.45,22.79,15.44,30.37,20-Mar-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
