from date,CH4,WD,BP,SR,NMHC,NO2,NOx,NO,CO,VWS,PM2.5,RH,WS,THC,Temp,NH3,SO2,to date,station
08-Aug-2019 - 00:00,255.23,125.43,743.88,57.49,278.52,57.5,35.56,6.82,0.89,-0.28,38.24,78.08,2.36,555.8,29.43,80.93,5.8,09-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Aug-2019 - 00:00,,132.32,744.14,112.62,135.15,28.31,18.52,4.67,0.81,-0.17,27.13,70.53,3.98,902.56,29.12,38.88,6.92,10-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Aug-2019 - 00:00,,135.43,742.59,6.06,124.57,29.84,18.85,4.03,0.83,-0.26,21.38,89.28,3.98,942.07,26.68,36.2,7.29,11-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,12-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Aug-2019 - 00:00,0.0,230.03,742.65,57.2,192.74,19.73,10.91,5.43,0.67,-0.35,30.95,78.51,3.4,0.0,29.84,25.42,20.22,13-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Aug-2019 - 00:00,0.0,285.2,744.92,85.34,180.89,15.9,11.9,4.75,0.61,-0.34,30.22,79.15,3.92,0.0,28.69,21.82,19.66,14-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Aug-2019 - 00:00,18.08,173.99,744.87,129.66,320.3,28.18,19.63,8.82,1.25,0.01,69.08,82.24,1.64,290.89,28.84,42.42,20.2,15-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Aug-2019 - 00:00,371.9,101.39,745.65,113.54,176.22,14.87,12.52,5.92,0.8,-0.02,45.43,78.32,1.64,579.38,28.57,26.31,21.8,16-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Aug-2019 - 00:00,276.49,136.28,743.64,100.71,146.19,19.19,14.5,5.56,0.67,-0.09,28.04,81.08,2.04,422.01,27.66,28.48,9.02,17-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Aug-2019 - 00:00,189.77,167.99,742.45,54.17,160.73,15.02,14.34,8.1,0.53,-0.2,20.13,94.25,1.94,350.1,25.41,28.69,6.62,18-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Aug-2019 - 00:00,0.0,227.6,744.96,48.09,300.0,14.83,14.48,8.39,0.86,-0.12,26.37,83.22,0.8,300.0,25.34,26.31,26.45,19-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Aug-2019 - 00:00,75.56,118.4,746.24,133.75,251.56,15.49,21.99,17.37,1.11,0.04,55.99,76.36,0.84,327.13,27.73,35.68,28.15,20-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Aug-2019 - 00:00,181.75,181.04,744.44,131.58,215.24,21.01,23.37,16.63,1.03,-0.02,65.33,68.28,1.37,463.01,28.88,32.88,13.26,21-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Aug-2019 - 00:00,0.0,158.83,743.8,139.22,236.45,17.39,13.75,5.81,0.98,-0.03,72.37,67.97,0.91,255.13,29.78,23.3,5.48,22-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Aug-2019 - 00:00,451.68,157.24,744.47,90.17,387.55,17.29,21.82,19.21,1.0,-0.08,79.09,78.6,1.04,825.94,27.78,31.18,7.24,23-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Aug-2019 - 00:00,303.74,216.44,746.02,90.79,442.79,10.37,29.52,39.06,1.2,0.15,72.69,79.17,0.49,624.57,28.55,46.67,6.54,24-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Aug-2019 - 00:00,97.25,158.38,746.37,48.36,512.6,17.06,53.08,77.97,1.69,-0.01,89.73,84.43,0.57,704.01,27.7,74.94,6.67,25-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Aug-2019 - 00:00,134.12,144.62,746.53,66.32,119.72,18.51,16.31,8.42,0.79,-0.02,60.48,86.89,0.72,642.64,26.1,24.02,3.58,26-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Aug-2019 - 00:00,396.19,128.59,745.58,124.05,228.97,17.18,18.19,11.49,0.84,0.04,36.37,74.23,1.69,512.38,28.09,26.04,6.72,27-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Aug-2019 - 00:00,104.02,132.55,746.13,130.15,264.35,14.42,24.76,21.52,0.96,0.07,64.63,74.45,1.32,276.22,29.4,31.32,8.05,28-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Aug-2019 - 00:00,0.0,136.12,745.61,114.03,259.77,9.66,17.64,15.73,0.93,0.0,63.77,73.0,2.1,576.74,30.4,26.44,3.57,29-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-Aug-2019 - 00:00,381.4,163.51,746.48,125.98,190.79,31.71,22.79,7.86,0.73,-0.01,42.81,71.46,2.71,705.19,30.28,30.21,5.78,30-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-Aug-2019 - 00:00,,155.87,745.22,112.12,256.54,29.24,22.51,9.01,0.55,-0.11,65.0,72.85,1.75,962.8,30.21,30.36,5.54,31-Aug-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
31-Aug-2019 - 00:00,,203.15,743.47,88.14,281.61,23.66,18.54,7.7,0.83,-0.14,59.84,78.03,1.62,,29.79,31.4,5.91,01-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Sep-2019 - 00:00,0.0,130.96,744.51,80.87,258.27,16.15,13.45,6.24,0.63,-0.1,42.33,84.3,2.31,411.72,27.27,24.0,6.19,02-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Sep-2019 - 00:00,139.47,108.19,745.94,130.15,207.71,14.86,13.36,6.97,0.56,0.41,52.04,78.4,1.81,469.8,29.3,22.58,6.17,03-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Sep-2019 - 00:00,,106.21,746.46,102.86,272.49,14.61,12.19,5.67,0.7,1.54,91.91,81.1,1.64,788.53,29.57,20.28,11.36,04-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Sep-2019 - 00:00,,151.77,754.18,87.61,277.35,18.5,13.71,5.03,0.63,0.95,81.4,82.63,1.32,922.8,29.15,22.78,13.14,05-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Sep-2019 - 00:00,,140.14,759.17,109.04,222.79,24.31,17.74,6.27,0.48,0.06,35.12,80.65,1.45,945.05,29.04,27.26,15.05,06-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Sep-2019 - 00:00,,155.91,758.68,112.28,260.15,24.96,19.27,7.75,0.42,0.06,41.0,78.94,1.35,998.9,29.57,27.75,15.34,07-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Sep-2019 - 00:00,,168.14,,95.19,297.71,30.11,21.91,7.68,0.4,0.01,32.42,82.44,1.42,,28.66,30.26,15.24,08-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Sep-2019 - 00:00,,84.07,746.32,128.88,214.65,38.28,25.26,6.6,0.6,0.06,25.8,77.62,1.27,914.95,29.31,36.72,15.01,09-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Sep-2019 - 00:00,,53.66,745.65,130.71,265.52,27.22,19.44,6.48,0.63,0.05,50.9,70.29,1.71,,30.44,28.99,16.13,10-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Sep-2019 - 00:00,,109.47,744.92,117.11,290.03,23.31,18.6,8.0,0.46,0.11,54.6,70.36,0.98,,30.18,30.75,16.81,11-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Sep-2019 - 00:00,,156.51,745.35,109.95,334.46,22.03,19.87,10.41,0.62,0.15,48.12,70.95,0.75,,30.79,30.89,16.99,12-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Sep-2019 - 00:00,,190.7,745.64,28.92,334.58,30.86,22.07,7.39,0.44,0.13,38.86,77.93,1.45,,29.36,31.82,17.9,13-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Sep-2019 - 00:00,,156.18,744.88,114.82,96.61,24.32,17.54,6.01,0.41,0.4,24.21,64.65,0.41,,31.13,26.97,5.31,14-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Sep-2019 - 00:00,,135.34,745.36,107.44,65.31,15.53,12.9,5.96,0.26,0.53,20.25,77.57,0.57,,28.83,22.25,5.08,15-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Sep-2019 - 00:00,,114.5,746.24,88.61,127.31,9.59,11.12,7.62,0.52,0.55,26.73,83.39,0.34,,27.99,21.87,6.33,16-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Sep-2019 - 00:00,,95.93,745.5,106.6,195.48,19.23,20.57,13.12,0.64,0.11,43.23,72.36,0.48,,29.55,31.23,8.71,17-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Sep-2019 - 00:00,,166.72,746.04,119.14,146.66,16.54,14.08,6.77,0.59,1.25,43.31,64.68,0.39,,30.06,25.4,8.93,18-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Sep-2019 - 00:00,0.0,158.17,747.47,130.63,115.03,19.25,14.7,5.78,0.29,1.25,24.8,65.62,0.72,795.03,28.28,23.75,7.38,19-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Sep-2019 - 00:00,,150.42,748.66,99.91,83.04,29.48,20.37,6.16,0.33,0.66,20.63,75.0,0.77,918.09,26.68,24.75,7.36,20-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Sep-2019 - 00:00,,139.42,747.68,105.14,166.16,23.19,21.04,11.13,0.42,-0.22,36.01,72.78,0.43,901.25,27.52,29.7,8.63,21-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Sep-2019 - 00:00,93.52,170.56,748.01,93.66,156.34,25.51,22.07,10.89,0.47,-0.32,29.1,77.37,0.6,543.08,27.28,31.27,9.19,22-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Sep-2019 - 00:00,,149.67,749.43,62.27,123.98,6.06,11.66,11.45,0.46,-0.3,27.38,86.4,0.71,,24.69,25.1,10.6,23-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Sep-2019 - 00:00,,119.5,749.49,92.97,92.88,29.72,22.62,8.82,0.41,-0.14,31.17,79.07,0.92,,25.94,27.53,8.9,24-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Sep-2019 - 00:00,0.0,131.44,749.86,100.58,152.49,45.1,34.29,13.34,0.46,-0.0,39.55,75.82,1.05,762.12,26.66,32.87,10.37,25-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Sep-2019 - 00:00,,130.51,750.41,117.2,100.31,27.62,23.36,11.12,0.42,0.09,25.09,77.55,0.9,,26.65,28.32,10.39,26-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Sep-2019 - 00:00,,137.15,750.12,98.02,70.69,32.17,24.44,9.5,0.44,1.02,22.71,76.81,1.01,,26.89,25.78,10.82,27-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Sep-2019 - 00:00,0.0,126.4,749.05,85.45,82.31,22.42,16.14,5.51,1.14,0.87,15.42,79.34,0.98,797.67,25.89,23.16,10.16,28-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Sep-2019 - 00:00,,106.87,748.68,82.11,133.54,18.18,14.84,6.66,1.12,0.12,21.92,81.49,0.97,,25.4,25.03,9.54,29-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-Sep-2019 - 00:00,,145.31,748.58,68.34,104.57,18.51,13.78,5.11,0.19,0.72,17.16,82.3,1.1,,24.96,20.81,9.26,30-Sep-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-Sep-2019 - 00:00,,160.84,747.93,70.91,145.27,24.86,17.99,6.21,0.35,1.01,30.3,81.34,0.8,,25.26,25.37,10.32,01-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Oct-2019 - 00:00,,174.52,747.4,97.15,150.32,23.08,17.24,6.45,0.4,0.63,28.23,79.9,0.86,,25.78,25.23,11.23,02-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Oct-2019 - 00:00,,138.18,748.05,106.19,187.41,32.77,23.44,7.86,0.48,0.25,31.33,75.45,0.39,,26.14,27.8,11.89,03-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Oct-2019 - 00:00,,145.07,747.86,92.6,233.91,35.92,26.17,9.2,0.48,0.25,55.49,72.12,0.55,,26.39,32.19,14.69,04-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Oct-2019 - 00:00,,167.4,748.32,118.5,167.5,35.44,25.01,8.06,0.34,0.23,33.36,72.93,0.97,,25.25,31.41,13.44,05-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Oct-2019 - 00:00,,183.2,748.16,128.72,167.73,39.02,24.57,5.17,0.58,0.23,38.24,60.26,0.95,,25.49,24.27,13.47,06-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Oct-2019 - 00:00,,175.98,747.04,116.89,151.32,47.54,28.97,5.1,0.4,0.25,44.82,60.74,1.22,,26.01,21.45,13.37,07-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Oct-2019 - 00:00,,231.03,747.48,100.96,120.58,51.18,31.3,5.63,0.61,0.19,55.07,63.09,2.0,,25.72,21.05,12.07,08-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Oct-2019 - 00:00,,217.08,748.02,128.1,115.31,47.71,29.45,5.58,0.61,0.15,35.47,56.72,1.47,,25.3,20.32,12.85,09-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Oct-2019 - 00:00,,144.65,747.87,102.99,264.9,67.31,44.35,11.39,0.74,0.18,61.02,57.12,0.98,898.4,25.44,39.36,17.56,10-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Oct-2019 - 00:00,,142.72,747.25,93.08,414.28,50.18,30.72,5.56,0.74,0.41,97.73,57.09,0.54,,25.63,40.11,22.88,11-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Oct-2019 - 00:00,,226.6,747.14,108.17,363.68,47.07,29.62,6.23,0.62,0.36,76.84,53.68,1.0,,26.06,36.83,23.78,12-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Oct-2019 - 00:00,39.73,215.6,747.8,102.1,184.62,53.49,34.14,7.67,0.66,0.15,101.0,56.4,1.4,360.07,26.48,25.07,23.59,13-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Oct-2019 - 00:00,28.18,162.25,747.38,88.43,353.24,58.52,37.93,9.11,0.97,0.15,139.15,59.46,1.29,49.31,25.59,32.07,22.55,14-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Oct-2019 - 00:00,500.0,181.14,747.48,99.54,404.34,52.39,39.14,14.64,0.85,0.12,109.59,62.16,1.2,707.28,25.77,48.33,23.4,15-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Oct-2019 - 00:00,500.0,171.46,747.72,94.86,200.0,56.65,44.99,19.17,0.92,0.04,116.83,61.74,0.83,700.0,25.96,43.45,27.31,16-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Oct-2019 - 00:00,500.0,118.29,747.83,84.92,275.24,59.52,41.27,12.63,0.74,-0.02,132.28,65.59,0.66,737.9,26.09,47.39,25.28,17-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Oct-2019 - 00:00,,128.67,747.72,90.02,367.46,65.23,39.88,7.16,0.97,0.09,115.84,58.85,0.8,,26.1,34.34,52.29,18-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Oct-2019 - 00:00,469.3,147.76,747.8,92.58,327.5,49.4,31.62,7.19,0.85,0.14,87.81,54.83,1.27,872.03,25.93,42.91,28.09,19-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Oct-2019 - 00:00,491.3,182.9,748.4,88.73,423.88,61.04,39.07,8.89,0.75,0.11,84.1,52.96,1.02,881.5,25.45,60.4,11.95,20-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Oct-2019 - 00:00,,307.55,748.15,104.96,432.82,52.61,32.48,6.17,0.86,0.12,80.4,43.16,1.54,950.46,25.8,53.33,13.31,21-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Oct-2019 - 00:00,,312.41,747.32,104.1,428.27,54.58,32.36,4.73,1.05,0.12,108.04,42.14,1.93,,25.08,53.76,15.03,22-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Oct-2019 - 00:00,,266.42,745.96,103.92,422.0,62.34,43.64,13.75,1.27,0.12,78.59,44.51,2.1,956.91,24.51,68.29,17.17,23-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Oct-2019 - 00:00,,260.08,745.69,107.66,534.21,70.12,58.27,26.95,1.68,0.17,104.89,50.52,1.58,,24.09,92.78,19.62,24-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Oct-2019 - 00:00,,103.49,746.18,80.64,582.9,74.94,60.58,26.68,1.42,0.14,133.6,61.76,1.06,977.58,23.3,95.13,23.16,25-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Oct-2019 - 00:00,,127.88,746.81,95.04,413.77,55.28,43.06,17.64,1.08,0.09,100.24,55.92,1.13,,23.31,71.3,29.5,26-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Oct-2019 - 00:00,,160.86,747.33,94.88,509.24,61.2,54.11,27.59,1.36,0.04,118.64,60.25,0.58,,23.81,90.65,7.37,27-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Oct-2019 - 00:00,,244.87,746.97,91.05,546.37,67.03,63.36,35.34,1.63,0.07,194.03,57.38,1.01,,23.59,108.38,9.72,28-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Oct-2019 - 00:00,,228.48,747.24,75.5,542.21,63.12,53.32,25.34,1.57,0.13,301.15,59.09,0.8,,23.35,90.4,9.53,29-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-Oct-2019 - 00:00,,212.46,747.53,45.28,630.53,78.15,72.56,39.55,2.09,0.14,292.13,72.21,0.79,,22.69,125.58,10.71,30-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-Oct-2019 - 00:00,,225.21,746.98,57.07,614.35,75.32,102.33,78.62,2.16,0.13,252.25,69.68,1.05,,23.27,175.5,13.06,31-Oct-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
31-Oct-2019 - 00:00,,231.31,746.69,67.45,665.51,76.9,102.12,77.33,1.99,0.09,276.33,65.83,1.11,,22.76,178.01,20.3,01-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Nov-2019 - 00:00,,205.24,746.7,75.32,716.99,84.85,77.56,41.42,1.66,0.04,338.84,62.93,1.15,,23.63,132.0,20.31,02-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Nov-2019 - 00:00,,259.18,747.54,48.97,569.38,68.51,47.25,14.22,1.2,0.1,295.29,62.86,1.3,,23.48,85.23,12.92,03-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Nov-2019 - 00:00,,267.63,748.78,39.31,707.77,69.03,48.25,15.13,1.8,0.1,586.77,73.79,1.48,,22.32,96.41,17.35,04-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Nov-2019 - 00:00,,286.24,748.42,72.89,509.86,61.63,40.56,10.37,1.12,0.13,252.91,53.33,2.01,,23.84,73.64,19.86,05-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Nov-2019 - 00:00,,266.57,747.05,91.63,452.27,55.5,40.73,14.59,1.09,0.18,180.23,49.69,1.84,968.97,23.38,70.95,13.25,06-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Nov-2019 - 00:00,,170.06,746.56,83.74,571.1,69.65,67.61,38.93,0.98,0.13,78.71,50.23,1.56,850.46,22.67,111.65,13.57,07-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Nov-2019 - 00:00,,128.34,747.37,26.49,508.5,63.93,46.55,16.34,0.95,0.13,135.31,68.2,1.37,,20.17,81.76,9.32,08-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Nov-2019 - 00:00,,225.96,748.31,76.45,568.38,57.66,45.11,18.65,1.0,0.14,130.23,63.68,1.07,,21.61,80.28,14.92,09-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Nov-2019 - 00:00,,308.38,748.39,95.0,427.01,52.13,34.15,8.57,0.67,0.18,104.21,49.53,1.97,927.63,22.53,62.24,11.47,10-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Nov-2019 - 00:00,,307.08,748.46,79.65,493.88,64.77,39.89,7.48,0.75,0.14,164.64,38.23,1.56,955.2,21.82,68.79,10.45,11-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Nov-2019 - 00:00,,300.63,747.61,72.46,536.9,64.75,40.17,7.84,1.08,0.09,219.56,37.35,1.92,,21.01,73.85,12.07,12-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Nov-2019 - 00:00,,272.44,748.24,74.96,607.46,75.88,45.31,6.91,1.42,0.03,291.1,45.67,1.47,,20.25,83.7,17.8,13-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Nov-2019 - 00:00,,244.99,748.82,65.67,541.64,75.99,50.8,13.76,1.49,0.04,269.3,59.54,1.24,,20.28,90.38,19.29,14-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Nov-2019 - 00:00,,166.5,749.11,43.24,763.22,89.17,77.67,38.73,1.9,0.05,264.1,72.97,0.82,,19.75,133.08,26.55,15-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Nov-2019 - 00:00,,275.24,748.22,65.12,524.89,68.74,52.91,21.15,1.2,0.11,263.63,64.41,1.61,,20.92,103.55,34.0,16-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Nov-2019 - 00:00,125.53,313.36,748.13,85.49,344.91,59.41,37.53,8.04,1.02,0.26,114.49,53.46,2.3,141.3,21.97,79.96,26.18,17-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Nov-2019 - 00:00,,295.54,748.52,92.9,278.05,51.45,32.14,6.5,0.66,0.28,64.36,48.95,2.39,977.77,21.57,69.87,13.68,18-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Nov-2019 - 00:00,,265.07,748.82,82.11,336.13,59.29,41.92,13.6,0.89,0.2,84.64,57.92,1.95,976.3,20.17,85.93,12.65,19-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Nov-2019 - 00:00,,254.33,748.4,73.56,378.59,75.12,62.42,28.87,1.13,0.06,108.16,57.49,1.57,932.45,19.72,117.85,20.25,20-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Nov-2019 - 00:00,,200.87,748.74,68.84,582.35,104.45,125.87,88.98,1.88,-0.01,155.36,62.28,0.87,869.42,18.91,231.03,29.1,21-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Nov-2019 - 00:00,,172.34,749.17,61.14,611.09,98.93,90.85,48.81,1.62,-0.03,170.21,61.54,0.95,,18.78,158.78,33.94,22-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Nov-2019 - 00:00,,238.8,749.43,68.39,570.62,87.71,61.4,19.34,1.41,-0.02,164.59,58.1,1.07,926.6,19.52,107.11,19.31,23-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Nov-2019 - 00:00,,278.83,749.47,54.66,383.91,63.85,41.8,10.46,0.83,-0.0,85.83,52.37,1.83,874.72,20.84,68.32,9.79,24-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Nov-2019 - 00:00,446.8,297.52,749.11,70.2,307.34,50.96,31.66,6.22,0.62,0.02,65.74,52.26,1.64,772.91,21.23,59.76,7.59,25-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Nov-2019 - 00:00,475.68,200.39,749.43,71.44,340.7,51.75,41.63,18.17,0.92,-0.04,69.57,52.76,0.89,712.67,20.47,70.41,14.87,26-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Nov-2019 - 00:00,443.3,80.55,749.09,55.3,322.87,54.47,38.98,13.07,0.84,-0.01,77.81,51.17,1.47,754.44,21.13,66.66,19.92,27-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Nov-2019 - 00:00,380.58,117.36,749.11,60.52,244.66,42.98,28.4,7.37,0.66,0.1,54.6,65.93,1.48,766.05,19.66,57.38,8.97,28-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Nov-2019 - 00:00,398.52,80.6,751.41,51.34,161.32,26.34,17.18,4.17,0.52,0.17,27.86,79.14,1.69,580.81,17.2,37.76,2.58,29-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-Nov-2019 - 00:00,453.13,162.63,752.8,83.51,292.52,37.93,27.15,9.12,0.71,0.16,44.26,76.27,1.28,738.47,17.72,53.89,6.89,30-Nov-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
