from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,SR,RH,RF,WS,WD,to date,station
04-Mar-2019 - 00:00,42.41,119.64,12.57,20.09,7.52,30.89,2.32,0.24,35.98,1.91,30.79,1.4,1.1,1.41,202.49,48.98,0.0,1.04,250.95,05-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
05-Mar-2019 - 00:00,41.12,95.93,16.94,27.12,10.19,29.87,3.29,0.34,34.52,1.9,30.79,1.4,1.1,1.39,200.69,49.59,0.0,0.58,184.15,06-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
06-Mar-2019 - 00:00,43.68,102.09,24.93,42.41,17.47,27.35,4.02,0.55,20.58,1.9,30.83,1.4,1.11,1.4,206.37,47.19,0.0,0.57,183.01,07-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
07-Mar-2019 - 00:00,57.28,136.41,27.9,47.71,19.8,24.81,4.61,0.56,26.0,1.9,30.8,1.4,1.11,1.4,204.0,47.45,0.0,0.62,208.73,08-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
08-Mar-2019 - 00:00,62.02,155.99,37.72,66.15,28.42,21.2,12.4,0.67,17.77,1.9,30.79,1.39,1.01,1.41,3.65,49.2,0.0,0.7,246.38,09-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
09-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,10-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
10-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,11-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
11-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,12-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
12-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,13-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
13-Mar-2019 - 00:00,,,13.96,22.04,8.08,26.14,5.9,,,,30.88,1.39,0.0,,,,0.0,1.31,188.52,14-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
14-Mar-2019 - 00:00,0.0,,12.96,20.44,7.46,,,,,,,,0.0,0.0,,,0.0,0.88,,15-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
15-Mar-2019 - 00:00,6.17,145.79,16.82,24.72,7.89,,18.29,0.13,22.84,1.93,30.86,,0.19,0.24,4.2,46.99,0.0,1.23,,16-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
16-Mar-2019 - 00:00,40.7,128.77,20.17,26.01,5.84,26.23,12.41,0.49,38.79,1.89,30.9,1.39,1.1,1.4,122.11,48.56,0.0,0.53,134.19,17-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
17-Mar-2019 - 00:00,43.9,104.28,20.57,26.38,5.82,26.59,9.61,0.48,33.21,1.9,30.8,1.4,1.1,1.41,217.02,47.32,0.0,0.59,176.12,18-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
18-Mar-2019 - 00:00,39.85,100.47,17.81,23.75,6.2,27.67,12.37,0.5,20.89,1.91,30.81,1.39,1.1,1.4,119.51,46.63,0.0,0.52,157.79,19-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
19-Mar-2019 - 00:00,33.64,88.97,18.38,25.37,7.03,26.1,7.35,0.46,32.6,1.9,30.98,1.4,1.13,1.38,364.6,47.27,0.0,1.19,157.76,20-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
20-Mar-2019 - 00:00,64.75,169.02,32.6,48.91,16.31,22.91,25.75,0.53,12.29,1.91,30.81,1.39,1.14,1.37,2.12,47.24,0.0,0.87,263.99,21-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
21-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,22-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
22-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,23-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
23-Mar-2019 - 00:00,,88.02,,22.38,7.05,,7.21,0.52,,,,,,,16.9,47.48,,,309.74,24-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
24-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,25-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
25-Mar-2019 - 00:00,,,,,,29.84,,0.45,,,,1.42,,,,,0.0,,,26-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
26-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,27-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
27-Mar-2019 - 00:00,26.15,106.82,,20.75,6.75,,5.07,0.47,29.46,1.92,30.72,,0.0,0.0,407.43,42.24,0.0,,90.25,28-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
28-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,29-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
29-Mar-2019 - 00:00,43.6,122.36,21.84,34.49,12.65,22.41,12.61,1.07,31.93,1.91,30.77,1.41,1.1,1.4,278.52,50.66,0.0,1.15,197.17,30-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
30-Mar-2019 - 00:00,42.39,124.04,23.05,36.42,13.36,22.22,28.49,0.71,27.44,1.9,30.77,1.4,1.11,1.4,218.1,51.2,0.0,1.22,239.5,31-Mar-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
31-Mar-2019 - 00:00,49.54,146.71,22.24,30.7,8.46,23.7,74.69,0.58,17.84,1.9,30.82,1.4,1.1,1.4,214.52,49.86,0.0,1.03,212.57,01-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
01-Apr-2019 - 00:00,48.92,139.3,19.23,27.81,8.58,24.61,63.9,0.63,37.75,1.53,17.5,1.03,0.83,1.44,211.48,51.22,0.0,0.93,198.03,02-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
02-Apr-2019 - 00:00,51.34,140.85,24.41,36.8,12.39,22.86,17.32,0.95,44.95,1.44,3.38,0.68,0.55,1.19,3.8,52.97,0.0,0.35,203.68,03-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
03-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,04-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
04-Apr-2019 - 00:00,,110.31,18.21,60.44,42.23,19.9,5.72,0.19,29.92,,,,,,686.08,56.23,0.0,1.39,249.89,05-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
05-Apr-2019 - 00:00,,,,,,11.85,,,,,,,,,,,,,,06-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
06-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,07-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
07-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,08-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
08-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,09-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
09-Apr-2019 - 00:00,38.85,99.18,15.08,56.56,41.34,22.24,12.46,0.26,34.16,1.43,17.83,0.68,0.55,1.22,687.95,58.03,0.0,1.68,239.34,10-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
10-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,11-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
11-Apr-2019 - 00:00,41.58,122.44,30.88,170.08,139.2,15.01,4.33,1.44,20.62,8.38,49.82,0.7,3.44,0.42,205.38,54.75,,0.76,176.11,12-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
12-Apr-2019 - 00:00,54.89,132.51,37.88,190.79,152.91,2.95,27.07,0.6,17.08,2.17,50.13,0.97,1.25,0.89,220.0,57.28,,1.05,240.98,13-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
13-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,14-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
14-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,15-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
15-Apr-2019 - 00:00,74.79,371.5,37.35,142.01,104.66,27.94,3.41,0.45,31.77,1.59,9.23,0.93,1.77,0.72,226.08,58.59,,1.13,264.88,16-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
16-Apr-2019 - 00:00,104.59,288.55,36.93,130.38,93.45,35.97,2.22,0.52,20.15,2.1,11.88,1.25,1.31,1.27,138.76,56.9,,0.98,250.26,17-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
17-Apr-2019 - 00:00,32.2,71.48,35.69,116.55,80.86,42.25,6.76,0.48,27.6,2.34,17.23,1.02,0.91,1.05,231.62,56.08,,1.56,226.55,18-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
18-Apr-2019 - 00:00,30.65,91.16,30.58,97.16,66.6,51.07,5.56,0.47,31.35,2.19,14.14,1.03,0.97,1.06,248.89,55.68,,1.05,237.26,19-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
19-Apr-2019 - 00:00,23.21,62.71,33.51,98.36,64.84,51.32,3.32,0.45,33.8,2.08,11.23,1.04,0.93,0.99,255.7,54.72,,0.64,177.64,20-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
20-Apr-2019 - 00:00,31.3,77.83,38.76,114.59,75.83,46.33,4.62,0.63,30.49,3.79,14.2,1.24,2.35,2.42,249.61,53.59,,0.63,192.0,21-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
21-Apr-2019 - 00:00,33.49,87.67,42.12,122.39,80.27,47.84,5.39,0.65,23.11,3.93,16.48,1.81,2.52,2.18,251.57,52.08,,0.81,224.76,22-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
22-Apr-2019 - 00:00,38.46,106.39,41.64,109.84,68.09,39.85,13.04,0.83,25.4,3.38,17.12,1.37,1.09,1.42,249.94,52.35,,0.79,215.95,23-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
23-Apr-2019 - 00:00,47.62,121.26,5.34,9.36,4.03,2.04,22.83,0.3,21.26,,,,,,330.18,56.57,,1.23,236.94,24-Apr-2019 - 00:00,"Sector-10, Gandhinagar - GPCB"
