from date,NO2,NH3,NO,NOx,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,O Xylene,Temp,RH,WS,WD,VWS,SR,RF,PM10,PM2.5,to date,BP,station
18-Jan-2019 - 00:00,109.39,69.18,61.57,171.22,68.61,2.32,17.3,20.01,22.54,6.46,10.12,2.13,18.71,55.92,1.0,259.14,0.02,144.81,0.0,392.8,184.19,19-Jan-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
19-Jan-2019 - 00:00,123.16,61.61,96.86,196.23,81.98,2.27,13.97,21.8,20.45,8.62,11.93,1.71,18.7,50.22,1.11,294.68,0.02,150.24,0.0,428.94,222.12,20-Jan-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
20-Jan-2019 - 00:00,110.58,59.83,99.79,201.23,44.65,1.91,14.04,24.61,20.79,5.04,11.68,1.49,18.99,54.82,0.89,252.59,0.02,145.89,0.0,393.12,177.11,21-Jan-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
21-Jan-2019 - 00:00,109.92,73.83,161.57,217.62,68.17,2.7,14.48,21.04,23.06,5.37,10.66,2.96,19.76,54.36,0.89,217.47,0.02,140.41,0.0,470.45,211.31,22-Jan-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
22-Jan-2019 - 00:00,124.23,78.57,153.15,259.71,53.02,2.98,10.82,27.02,32.26,7.02,13.02,3.0,20.5,54.19,0.76,151.1,0.02,126.78,0.0,489.39,223.95,23-Jan-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
23-Jan-2019 - 00:00,118.62,81.57,157.56,261.09,36.02,2.96,10.8,27.98,30.66,8.54,14.39,3.66,21.57,52.24,0.89,173.16,-0.0,154.88,0.0,448.46,208.94,24-Jan-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
24-Jan-2019 - 00:00,118.56,64.8,71.94,190.44,51.12,1.62,11.96,19.04,17.68,3.99,8.03,1.12,22.21,53.02,0.94,153.52,-0.01,139.93,0.0,330.87,157.31,25-Jan-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
25-Jan-2019 - 00:00,100.35,56.33,37.25,137.54,31.74,1.18,11.48,9.24,13.64,2.57,4.84,0.83,22.34,53.22,1.1,118.43,0.02,151.06,0.0,240.33,106.54,26-Jan-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
26-Jan-2019 - 00:00,68.95,47.35,13.98,82.9,21.48,0.83,12.57,6.46,6.44,1.63,3.2,2.09,21.71,57.29,1.46,235.37,0.01,138.72,0.0,215.33,94.46,27-Jan-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
27-Jan-2019 - 00:00,87.17,45.49,18.61,105.73,55.83,0.96,9.74,6.09,5.89,1.01,2.24,0.36,21.31,58.56,1.49,307.08,0.02,126.33,0.0,208.02,90.37,28-Jan-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
28-Jan-2019 - 00:00,84.24,46.82,14.16,98.66,45.68,0.81,10.22,6.45,8.44,1.72,2.86,0.48,19.9,64.78,1.89,319.34,0.02,85.22,0.0,186.16,77.24,29-Jan-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
29-Jan-2019 - 00:00,89.86,43.84,22.08,112.8,35.26,1.04,10.2,7.23,15.7,1.95,3.87,0.74,18.95,47.57,2.94,305.12,0.02,151.66,0.0,209.53,79.94,30-Jan-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
30-Jan-2019 - 00:00,89.19,45.22,50.91,140.05,40.65,1.05,9.28,9.0,15.72,1.9,4.08,2.19,17.64,39.87,2.82,323.91,0.02,198.68,0.0,214.26,90.85,31-Jan-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
31-Jan-2019 - 00:00,98.15,52.59,71.66,169.75,59.37,1.19,9.47,12.86,19.04,2.88,5.78,0.99,18.63,50.69,2.57,221.56,0.02,156.67,0.0,286.45,126.58,01-Feb-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
01-Feb-2019 - 00:00,107.22,55.08,80.02,187.22,58.5,1.82,9.29,15.0,16.93,3.51,6.53,1.01,20.21,50.74,2.14,260.98,0.02,155.69,0.0,358.76,153.79,02-Feb-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
02-Feb-2019 - 00:00,100.35,56.53,101.99,196.69,67.78,1.87,9.48,21.42,23.44,5.19,8.74,1.74,21.03,48.38,2.37,200.41,0.02,170.53,0.0,362.72,159.73,03-Feb-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
03-Feb-2019 - 00:00,95.62,52.43,77.63,174.37,35.43,1.63,9.61,13.38,15.24,4.62,8.04,1.79,21.62,44.92,2.43,195.09,0.02,177.14,0.0,288.33,131.69,04-Feb-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
04-Feb-2019 - 00:00,118.82,59.25,101.08,219.78,55.34,1.69,7.38,15.3,17.07,4.65,7.81,1.77,21.59,44.46,2.41,231.13,0.02,167.05,0.0,332.25,131.43,05-Feb-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
05-Feb-2019 - 00:00,92.92,56.44,90.02,174.83,57.61,1.68,13.62,15.0,22.06,3.19,6.23,1.14,20.58,47.37,2.7,258.08,0.02,182.44,0.0,293.24,127.22,06-Feb-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
06-Feb-2019 - 00:00,109.96,62.65,83.77,195.88,61.6,2.03,16.4,18.3,21.35,4.93,8.4,1.92,21.7,45.96,2.57,235.39,0.02,165.71,0.0,343.18,158.65,07-Feb-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
07-Feb-2019 - 00:00,108.33,66.02,91.51,199.72,45.08,1.76,28.58,19.77,21.14,4.08,7.67,1.9,23.27,48.28,2.05,130.51,0.07,138.12,0.0,328.5,147.13,08-Feb-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
08-Feb-2019 - 00:00,88.33,64.67,26.25,114.4,29.21,1.14,38.63,10.64,10.3,2.38,4.06,0.75,24.06,52.75,0.99,103.13,0.09,134.13,0.0,280.26,126.32,09-Feb-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
09-Feb-2019 - 00:00,48.43,45.64,3.17,51.35,29.82,0.61,39.09,3.04,5.21,0.52,1.15,0.14,21.63,63.03,2.19,175.31,0.09,117.98,0.0,152.36,73.95,10-Feb-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
10-Feb-2019 - 00:00,58.62,37.64,4.34,62.86,24.4,0.49,27.47,2.27,5.92,0.57,1.14,0.51,19.93,48.35,1.7,273.09,0.09,218.94,0.0,109.04,47.81,11-Feb-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
11-Feb-2019 - 00:00,75.01,47.88,44.94,119.91,37.49,1.0,23.55,5.29,11.05,2.23,3.38,0.94,19.73,49.07,1.11,281.38,0.09,222.74,0.0,201.34,83.54,12-Feb-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
12-Feb-2019 - 00:00,81.13,51.64,60.75,141.87,41.55,1.22,22.43,9.09,12.69,3.03,4.84,0.72,20.33,48.45,1.05,287.74,0.09,206.21,0.0,270.29,118.84,13-Feb-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
13-Feb-2019 - 00:00,95.85,70.01,68.29,157.82,60.98,1.65,27.34,13.34,19.81,4.23,6.93,1.63,21.58,46.57,0.96,304.66,0.09,192.67,0.0,313.7,148.39,14-Feb-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
14-Feb-2019 - 00:00,111.44,68.25,82.61,194.0,85.76,1.83,23.3,17.35,21.16,6.28,9.62,1.64,23.03,44.91,0.87,260.42,0.09,179.74,0.0,338.54,165.23,15-Feb-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
15-Feb-2019 - 00:00,98.21,65.3,82.85,179.66,50.81,1.55,29.08,12.9,16.72,5.13,7.51,1.82,23.73,49.09,1.06,231.08,0.09,177.28,0.0,319.85,152.92,16-Feb-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
16-Feb-2019 - 00:00,95.03,53.65,25.71,120.72,62.09,1.14,21.33,7.61,8.58,2.7,4.22,0.72,22.17,57.11,1.32,242.81,0.09,105.63,0.0,205.98,96.74,17-Feb-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
17-Feb-2019 - 00:00,76.08,46.02,12.6,88.65,48.06,0.88,27.2,4.78,5.44,1.36,2.41,0.52,22.8,54.19,3.35,275.99,0.09,188.5,0.0,167.04,76.97,18-Feb-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
18-Feb-2019 - 00:00,73.84,41.83,14.63,88.4,32.5,1.04,26.67,7.65,13.05,3.33,5.03,0.87,22.01,43.87,2.64,167.35,0.09,193.15,0.0,194.6,86.14,19-Feb-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
19-Feb-2019 - 00:00,84.23,52.61,23.32,107.44,38.23,0.94,29.71,9.61,10.61,2.47,3.94,0.7,24.09,52.99,1.35,206.51,0.09,195.87,0.0,207.1,99.98,20-Feb-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
20-Feb-2019 - 00:00,66.96,60.74,14.31,81.22,29.91,0.84,27.36,4.48,7.6,1.27,2.31,1.04,25.59,56.16,1.82,183.72,0.09,180.59,0.0,161.88,71.46,21-Feb-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
21-Feb-2019 - 00:00,93.33,57.22,38.22,131.46,56.73,1.18,26.08,10.87,13.34,3.51,5.31,0.97,25.56,50.21,2.62,244.84,0.03,181.1,0.0,262.56,118.24,22-Feb-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
22-Feb-2019 - 00:00,62.69,61.21,17.91,80.57,40.78,0.75,26.36,6.67,6.09,1.83,4.79,0.87,26.09,63.84,2.57,206.07,0.02,180.99,0.0,163.15,77.16,23-Feb-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
23-Feb-2019 - 00:00,75.12,57.95,31.85,106.86,50.26,1.21,32.16,8.09,9.34,2.72,4.94,1.11,27.01,52.8,3.09,277.3,0.02,192.61,0.0,202.34,91.08,24-Feb-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
24-Feb-2019 - 00:00,61.04,46.91,13.91,74.92,33.96,0.65,28.06,5.06,8.07,1.74,3.18,1.59,26.0,39.41,2.58,163.42,0.02,207.92,0.0,195.14,95.17,25-Feb-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
25-Feb-2019 - 00:00,57.79,50.88,8.43,66.2,20.48,0.62,24.21,4.26,5.32,1.26,1.96,0.36,20.48,75.35,2.53,191.51,0.02,83.82,0.11,129.27,58.03,26-Feb-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
26-Feb-2019 - 00:00,42.44,52.02,6.34,48.7,16.32,0.61,23.24,5.31,5.39,0.62,1.51,0.26,20.83,85.12,3.38,121.87,0.02,75.78,0.12,73.73,35.59,27-Feb-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
27-Feb-2019 - 00:00,41.12,43.48,6.85,47.95,14.6,0.42,23.3,3.62,6.31,0.79,1.53,0.41,21.11,81.73,3.63,158.81,0.02,154.91,0.22,52.63,25.16,28-Feb-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
28-Feb-2019 - 00:00,49.0,45.39,22.68,71.54,23.53,0.66,20.43,4.49,9.51,1.38,2.43,0.5,20.35,82.05,4.0,189.42,0.02,92.76,0.42,71.65,35.76,01-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
01-Mar-2019 - 00:00,60.06,45.9,39.23,99.27,35.67,0.85,21.27,6.07,10.84,1.95,3.55,1.69,20.58,55.41,3.91,241.96,0.02,236.45,0.0,131.24,61.2,02-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
02-Mar-2019 - 00:00,57.92,54.08,47.7,105.61,28.29,1.22,23.92,7.97,14.42,2.64,4.55,2.0,21.05,47.82,3.37,139.29,0.01,238.23,0.0,163.22,76.41,03-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
03-Mar-2019 - 00:00,78.83,60.9,52.19,130.67,49.57,1.75,24.02,9.78,13.36,2.83,5.25,1.87,22.4,50.38,2.78,234.93,0.01,195.81,0.0,251.28,111.72,04-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
04-Mar-2019 - 00:00,52.29,53.64,6.55,58.79,21.24,0.85,28.56,5.28,6.27,2.22,2.79,0.6,23.77,76.01,2.74,194.21,0.01,102.02,0.0,168.46,77.81,05-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
05-Mar-2019 - 00:00,46.17,45.53,8.72,54.87,16.11,0.69,24.78,5.08,8.46,1.41,2.6,0.85,24.25,74.31,1.82,113.46,0.01,125.54,0.06,108.08,46.22,06-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
06-Mar-2019 - 00:00,52.7,43.31,8.19,60.86,21.02,0.77,27.18,4.48,8.91,0.99,2.21,0.7,24.26,69.07,2.93,152.12,0.01,154.84,0.0,136.36,65.24,07-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
07-Mar-2019 - 00:00,64.02,43.46,13.99,77.97,36.39,0.69,26.91,4.55,10.1,1.4,2.67,0.86,23.5,52.08,3.23,191.87,0.01,203.91,0.0,174.15,73.07,08-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
08-Mar-2019 - 00:00,80.15,52.13,28.86,108.98,38.15,0.84,23.29,5.74,8.06,1.69,2.99,1.11,23.94,44.18,2.98,251.46,0.01,231.72,0.0,189.95,79.52,09-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
09-Mar-2019 - 00:00,72.11,47.98,18.67,90.67,55.48,0.94,20.17,8.42,8.03,1.92,3.54,2.23,25.04,41.5,2.33,254.69,0.01,243.78,0.0,203.12,84.45,10-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
10-Mar-2019 - 00:00,31.86,47.99,5.91,37.76,17.25,0.36,16.82,1.92,3.73,0.28,0.86,1.27,25.82,73.28,2.27,185.03,0.02,161.21,0.0,117.46,49.15,11-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
11-Mar-2019 - 00:00,49.26,42.74,8.88,58.12,21.71,0.73,17.93,4.62,7.16,1.01,2.01,0.79,27.46,69.13,1.94,193.17,0.01,143.34,0.0,137.77,56.62,12-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
12-Mar-2019 - 00:00,43.27,35.63,5.62,48.89,37.36,0.73,27.22,3.6,4.33,1.01,2.3,1.12,27.78,65.39,2.1,229.51,0.01,211.86,0.0,148.61,61.89,13-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
13-Mar-2019 - 00:00,40.26,31.6,5.75,46.0,25.11,0.78,24.69,5.28,6.92,1.54,2.74,1.06,28.36,66.64,2.38,207.71,0.01,190.27,0.0,136.01,57.49,14-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
14-Mar-2019 - 00:00,43.47,29.05,4.57,47.97,23.25,0.73,34.04,4.78,5.89,1.78,2.15,1.21,28.63,58.08,1.81,212.33,0.01,201.26,0.01,167.16,70.99,15-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
15-Mar-2019 - 00:00,64.5,38.3,12.58,77.04,54.84,1.19,27.44,5.4,6.09,1.73,3.06,0.44,26.88,60.18,1.54,227.24,0.01,171.03,0.0,163.9,81.06,16-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
16-Mar-2019 - 00:00,71.97,35.64,4.42,75.82,51.4,1.29,25.86,5.55,6.33,4.9,5.96,0.92,28.14,49.15,2.08,243.32,0.01,63.32,0.0,157.98,66.6,17-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
17-Mar-2019 - 00:00,38.2,32.98,4.58,42.72,26.13,0.64,31.87,2.78,5.34,0.79,1.28,1.62,26.65,63.26,1.87,180.81,0.01,200.25,0.25,125.66,53.95,18-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
18-Mar-2019 - 00:00,58.29,33.09,8.85,67.13,39.41,0.84,19.68,4.6,6.97,1.96,3.02,1.18,24.39,60.74,2.0,222.49,0.01,143.69,0.0,99.56,44.13,19-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
19-Mar-2019 - 00:00,44.34,31.68,4.75,49.03,38.88,0.75,26.51,2.9,5.56,2.06,2.36,1.2,26.3,63.09,2.28,238.4,-0.02,209.85,0.0,110.43,46.82,20-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
20-Mar-2019 - 00:00,47.12,33.17,6.84,53.99,30.23,1.01,23.72,3.89,5.67,1.96,2.58,1.42,27.28,67.32,1.88,218.93,0.01,197.34,0.0,131.88,59.46,21-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
21-Mar-2019 - 00:00,20.13,24.67,4.85,24.97,13.33,0.53,26.95,1.64,3.41,0.45,0.82,1.69,28.15,62.26,1.95,216.52,-0.01,247.48,0.0,91.19,40.94,22-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
22-Mar-2019 - 00:00,25.01,24.03,4.72,29.77,9.27,0.56,23.87,1.66,4.02,0.36,0.8,2.04,27.03,70.5,2.09,222.9,-0.01,212.29,0.06,71.7,34.01,23-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
23-Mar-2019 - 00:00,63.2,32.6,27.03,90.19,35.72,1.18,21.04,6.0,7.97,2.9,4.62,1.76,27.52,49.1,1.85,265.33,-0.05,254.37,0.0,145.17,59.27,24-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
24-Mar-2019 - 00:00,70.01,31.88,25.09,95.09,57.54,1.07,19.99,6.86,7.83,3.49,4.35,3.07,27.23,35.07,1.83,272.24,-0.03,275.12,0.0,182.03,74.29,25-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
25-Mar-2019 - 00:00,69.98,38.25,21.0,90.98,41.02,1.15,22.4,7.24,8.12,3.82,4.59,1.78,28.34,39.5,1.27,253.43,-0.01,249.9,0.0,185.03,74.91,26-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
26-Mar-2019 - 00:00,34.21,34.17,5.29,39.61,21.34,0.55,25.08,2.54,4.84,0.85,1.34,1.91,27.42,52.79,2.11,209.85,-0.05,234.15,0.0,169.99,61.07,27-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
27-Mar-2019 - 00:00,55.73,29.29,5.92,61.65,45.77,0.75,25.46,3.45,5.31,2.65,2.83,1.09,26.5,49.4,1.73,236.17,-0.01,217.61,0.0,145.01,55.75,28-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
28-Mar-2019 - 00:00,34.32,37.48,4.83,39.43,13.31,0.62,22.1,2.7,3.22,1.31,1.49,1.1,28.23,61.09,1.8,206.83,0.0,215.84,0.0,111.69,43.9,29-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
29-Mar-2019 - 00:00,27.99,26.45,8.49,35.62,7.01,0.43,15.98,1.93,2.96,0.85,1.09,1.34,27.95,68.27,2.16,190.81,-0.01,215.33,0.0,96.85,40.76,30-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
30-Mar-2019 - 00:00,29.92,22.51,8.3,38.17,9.74,0.63,22.33,1.98,1.58,0.79,0.58,0.63,28.38,69.18,1.73,213.89,0.0,164.63,0.0,118.88,45.84,31-Mar-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
31-Mar-2019 - 00:00,19.0,14.91,6.06,25.04,0.82,0.47,22.38,1.65,0.31,0.68,1.86,0.14,28.89,72.84,2.06,187.02,-0.02,235.2,0.0,104.35,42.5,01-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
01-Apr-2019 - 00:00,21.46,14.83,5.2,26.51,1.9,0.52,30.15,2.52,0.28,0.75,0.63,0.17,27.46,65.92,2.9,133.32,-0.1,243.3,0.0,80.04,29.2,02-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
02-Apr-2019 - 00:00,23.11,12.27,7.8,30.78,0.74,0.56,24.19,2.09,0.51,0.99,1.73,0.19,28.93,70.32,2.02,206.88,-0.0,203.8,0.0,59.78,39.18,03-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
03-Apr-2019 - 00:00,22.4,14.15,5.76,28.12,0.49,0.48,25.82,2.59,0.25,0.78,2.36,0.16,29.2,68.94,2.27,162.72,-0.01,240.11,0.0,56.62,39.21,04-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
04-Apr-2019 - 00:00,17.5,16.19,6.68,24.15,0.37,0.45,21.22,1.69,0.26,0.65,1.25,0.13,28.51,70.9,2.49,179.0,-0.01,169.88,0.0,50.63,35.46,05-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
05-Apr-2019 - 00:00,24.07,18.67,11.41,35.41,0.57,0.57,22.47,2.73,0.49,1.06,0.88,0.22,28.38,67.33,2.4,178.91,-0.02,130.35,0.03,88.02,36.76,06-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
06-Apr-2019 - 00:00,44.37,21.45,11.83,56.2,24.89,0.54,33.75,3.04,0.74,1.35,2.01,0.28,26.32,65.26,2.38,240.01,-0.03,218.66,0.15,101.18,43.18,07-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
07-Apr-2019 - 00:00,35.26,23.88,7.35,42.44,18.81,0.54,50.3,2.37,0.4,1.1,0.9,0.23,25.95,63.83,2.45,202.44,-0.03,217.41,0.0,66.05,30.02,08-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
08-Apr-2019 - 00:00,53.08,19.15,8.93,62.0,36.51,0.53,38.64,2.11,0.88,1.27,1.6,0.25,27.52,57.54,2.44,213.62,-0.01,194.03,0.0,85.9,32.13,09-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
09-Apr-2019 - 00:00,53.29,13.86,7.01,60.29,15.85,0.54,29.88,3.35,0.65,1.21,2.03,0.25,26.77,67.35,2.33,203.35,-0.02,233.09,0.08,70.68,30.42,10-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
10-Apr-2019 - 00:00,51.19,12.75,8.28,59.46,12.86,0.57,23.69,3.61,0.54,1.32,1.65,0.27,26.31,72.52,2.37,188.95,-0.01,203.11,0.05,74.75,33.15,11-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
11-Apr-2019 - 00:00,31.99,10.77,7.18,39.15,1.01,0.49,17.37,2.55,0.37,0.93,1.32,0.19,28.72,73.66,2.08,177.82,-0.0,182.99,0.0,74.07,31.35,12-Apr-2019 - 00:00,,"Ghusuri, Howrah - WBPCB"
