from date,PM2.5,Benzene,Temp,RH,SR,RF,Toluene,Eth-Benzene,MP-Xylene,O Xylene,WS,NO2,NO,WD,NOx,NH3,SO2,CO,Ozone,PM10,to date,station
11-Jan-2019 - 00:00,61.38,0.16,22.95,36.6,592.59,0.0,16.06,12.2,0.85,5.38,1.61,18.79,15.51,195.93,8.39,20.14,5.43,1.25,83.19,123.03,12-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
12-Jan-2019 - 00:00,69.29,0.23,23.93,39.67,598.16,0.0,19.31,14.07,0.9,6.25,1.68,18.94,16.02,166.53,8.87,20.22,5.08,1.41,72.77,212.48,13-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
13-Jan-2019 - 00:00,62.62,0.2,23.53,39.56,585.77,0.0,17.77,13.23,0.91,6.2,1.6,19.77,15.98,175.84,9.18,20.07,24.36,1.17,77.73,141.94,14-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
14-Jan-2019 - 00:00,45.26,0.07,24.42,42.76,549.09,0.0,11.25,8.33,0.41,3.67,1.52,20.61,15.69,258.15,9.49,19.85,5.89,0.83,101.02,164.32,15-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
15-Jan-2019 - 00:00,43.0,0.1,23.79,40.25,571.56,0.0,10.92,10.35,0.51,4.14,1.76,20.05,15.9,222.03,9.36,20.0,5.64,0.8,74.51,98.22,16-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
16-Jan-2019 - 00:00,50.55,0.08,23.86,45.14,604.13,0.0,9.75,7.41,0.43,3.18,1.48,20.08,15.8,174.9,7.71,19.99,4.64,0.79,80.92,112.77,17-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
17-Jan-2019 - 00:00,37.8,0.27,24.5,40.48,638.42,0.0,14.97,10.42,0.64,4.52,1.45,18.19,15.82,176.0,6.71,20.17,4.82,1.08,54.82,58.52,18-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
18-Jan-2019 - 00:00,17.08,0.18,24.42,34.24,634.46,0.0,6.01,4.7,0.25,2.03,1.61,18.2,66.57,230.46,7.11,22.47,15.07,0.33,64.49,62.53,19-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
19-Jan-2019 - 00:00,49.39,0.12,24.6,28.45,653.63,0.0,19.53,16.72,0.86,6.95,1.47,17.57,65.5,213.79,36.39,25.25,9.87,1.22,64.34,63.41,20-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
20-Jan-2019 - 00:00,58.07,0.22,24.72,34.53,653.62,0.0,21.38,15.64,0.83,6.75,1.62,18.24,24.33,162.97,13.28,20.73,5.65,1.33,62.99,63.57,21-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
21-Jan-2019 - 00:00,67.35,0.23,24.9,29.93,652.19,0.0,21.22,14.7,0.74,6.36,2.24,17.31,21.31,127.7,11.2,20.5,5.28,1.27,62.16,85.81,22-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
22-Jan-2019 - 00:00,46.73,0.07,23.87,35.18,651.2,0.0,14.13,9.41,0.49,3.91,2.31,17.12,15.78,158.99,11.24,20.48,4.43,0.77,60.82,71.27,23-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
23-Jan-2019 - 00:00,48.42,0.14,22.92,48.3,761.98,0.0,15.59,11.32,0.78,4.58,1.57,15.26,21.4,186.46,10.0,18.43,5.37,0.78,39.94,73.41,24-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
24-Jan-2019 - 00:00,45.33,0.08,23.65,43.03,698.12,0.0,11.87,7.48,0.56,3.43,1.91,4.48,4.44,168.99,4.59,4.12,5.81,0.75,50.24,65.25,25-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
25-Jan-2019 - 00:00,38.35,0.04,22.82,37.96,722.24,0.0,11.8,4.2,0.27,1.66,1.72,9.58,8.92,202.75,8.1,9.43,8.48,0.53,43.76,53.2,26-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
26-Jan-2019 - 00:00,36.99,0.02,21.06,58.31,671.08,0.0,5.74,6.41,0.26,2.44,1.06,8.81,5.79,266.8,6.53,8.19,8.41,0.48,37.54,49.69,27-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
27-Jan-2019 - 00:00,26.77,0.0,21.34,48.71,679.94,0.0,3.86,2.18,0.15,0.85,1.29,8.74,12.08,255.64,5.91,8.0,8.51,0.4,43.57,41.37,28-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
28-Jan-2019 - 00:00,29.58,0.03,20.49,38.33,701.96,0.0,5.71,7.21,0.25,2.82,1.57,6.47,1.54,263.35,3.92,5.35,8.38,0.38,44.95,43.76,29-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
29-Jan-2019 - 00:00,26.19,0.07,20.14,25.36,731.38,0.0,8.18,7.88,0.44,3.88,1.57,8.32,20.47,242.7,6.32,7.73,8.49,0.35,42.32,48.45,30-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
30-Jan-2019 - 00:00,41.91,0.15,20.95,29.15,748.05,0.0,16.64,9.98,0.78,5.84,1.53,3.15,4.92,200.26,4.62,5.42,8.41,0.72,47.39,60.48,31-Jan-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
31-Jan-2019 - 00:00,43.91,0.21,22.51,28.55,705.08,0.0,19.93,14.99,1.04,9.96,1.92,5.46,11.58,169.59,5.79,11.98,8.37,0.96,59.65,70.85,01-Feb-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
01-Feb-2019 - 00:00,49.55,0.21,23.79,35.61,651.51,0.0,10.88,7.18,0.64,12.23,1.82,,,170.46,,,8.3,1.06,61.67,68.29,02-Feb-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
02-Feb-2019 - 00:00,43.0,0.26,24.82,40.37,663.82,0.0,7.71,5.55,0.34,7.08,1.97,,,164.85,,,8.43,0.97,55.35,67.42,03-Feb-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
03-Feb-2019 - 00:00,34.39,0.08,26.11,37.2,627.27,0.0,9.7,9.66,0.61,5.48,2.06,,,219.77,,,8.42,0.56,81.4,55.04,04-Feb-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
04-Feb-2019 - 00:00,34.73,0.02,25.93,36.54,542.59,0.0,5.39,9.25,0.55,4.79,2.49,,,271.95,,,8.34,0.7,75.67,62.76,05-Feb-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
05-Feb-2019 - 00:00,41.29,0.0,26.06,35.22,622.77,0.0,1.77,14.18,0.73,6.6,2.04,,,174.65,,,8.39,1.06,67.77,65.74,06-Feb-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
06-Feb-2019 - 00:00,42.93,0.0,26.69,37.82,644.98,0.0,5.3,13.19,0.76,5.73,2.6,,,118.81,,,8.42,1.01,59.15,67.81,07-Feb-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
07-Feb-2019 - 00:00,69.05,,23.97,34.74,765.83,0.0,,,,,3.01,,,157.76,,,8.37,0.5,77.21,54.54,08-Feb-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
08-Feb-2019 - 00:00,27.52,,21.11,32.06,817.65,0.0,,,,,2.28,,,177.38,,,8.34,0.38,76.92,53.7,09-Feb-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
09-Feb-2019 - 00:00,38.31,,20.4,20.61,834.5,0.0,,,,,1.36,,,248.62,,,8.41,0.4,87.32,76.81,10-Feb-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
10-Feb-2019 - 00:00,30.56,,21.65,22.63,752.49,0.0,,,,,2.03,,,228.93,,,8.43,0.77,64.96,65.01,11-Feb-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
11-Feb-2019 - 00:00,38.28,,25.19,28.28,710.58,0.0,,,,,1.78,,,210.5,,,8.37,1.18,66.95,72.25,12-Feb-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
12-Feb-2019 - 00:00,42.23,,27.69,41.37,676.66,0.0,,,,,1.91,,,181.03,,,8.36,1.02,43.57,67.4,13-Feb-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
13-Feb-2019 - 00:00,38.32,0.0,28.49,42.49,665.88,0.0,0.0,0.0,0.0,0.0,2.1,27.43,71.0,191.76,58.88,48.61,8.42,0.87,54.67,63.26,14-Feb-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
14-Feb-2019 - 00:00,47.32,0.0,28.06,35.78,659.75,0.0,0.0,0.0,0.0,0.0,2.01,32.2,2.45,139.02,18.73,46.55,8.3,1.18,52.84,75.28,15-Feb-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
15-Feb-2019 - 00:00,34.01,0.0,27.68,29.42,626.86,0.0,0.0,0.0,0.0,0.0,2.47,33.93,1.48,161.95,18.74,41.52,8.51,0.7,62.64,61.49,16-Feb-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
16-Feb-2019 - 00:00,36.23,0.0,25.47,28.63,756.12,0.0,0.0,0.0,0.0,0.0,1.47,24.61,1.82,205.95,14.31,31.54,8.47,0.76,85.61,57.68,17-Feb-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
17-Feb-2019 - 00:00,34.85,0.0,25.05,27.9,737.29,0.0,0.0,0.0,0.0,0.0,1.4,23.57,0.66,191.44,12.62,28.48,8.41,0.84,76.54,53.44,18-Feb-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
18-Feb-2019 - 00:00,41.07,0.0,26.11,26.35,755.63,0.0,0.0,0.0,0.0,0.0,1.61,21.98,2.06,166.46,12.7,25.35,8.21,1.04,55.1,66.0,19-Feb-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
19-Feb-2019 - 00:00,46.56,0.0,27.77,24.31,704.12,0.0,0.0,0.0,0.0,0.0,1.65,17.32,3.26,192.81,11.3,25.25,8.41,1.06,67.01,68.34,20-Feb-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
20-Feb-2019 - 00:00,39.89,0.0,29.77,30.63,691.96,0.0,0.0,0.0,0.0,0.0,2.06,12.83,0.86,164.7,7.38,15.06,8.43,1.19,58.03,61.86,21-Feb-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
21-Feb-2019 - 00:00,55.06,0.0,28.73,40.6,803.17,0.0,0.0,0.0,0.0,0.0,1.93,13.74,0.72,124.59,5.21,1.82,8.35,0.81,42.64,73.76,22-Feb-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
22-Feb-2019 - 00:00,55.15,0.0,33.09,24.06,230.68,0.0,0.0,0.0,0.0,0.0,1.86,5.11,0.06,210.66,2.68,0.88,6.62,0.12,110.18,73.83,23-Feb-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
23-Feb-2019 - 00:00,54.56,0.0,30.35,29.46,707.7,0.0,0.0,0.0,0.0,0.0,1.7,5.12,,183.5,2.65,0.9,6.42,0.12,110.56,73.49,24-Feb-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
24-Feb-2019 - 00:00,54.56,0.0,29.38,19.87,758.26,0.0,0.0,0.0,0.0,0.0,2.54,5.12,,138.78,2.65,0.9,6.42,0.12,110.56,73.49,25-Feb-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
25-Feb-2019 - 00:00,42.88,0.0,27.83,18.91,762.14,0.0,0.0,0.0,0.0,0.0,2.07,6.36,0.15,175.49,3.17,1.08,7.41,0.29,91.21,75.51,26-Feb-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
26-Feb-2019 - 00:00,46.72,0.0,26.64,20.58,803.07,0.0,0.0,0.0,0.0,0.0,2.81,6.34,0.14,171.53,3.36,1.04,11.45,0.34,66.8,86.36,27-Feb-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
27-Feb-2019 - 00:00,42.86,0.0,25.92,25.75,819.68,0.0,0.0,0.0,0.0,0.0,2.82,6.84,0.13,171.33,3.58,1.02,9.11,0.51,48.0,82.67,28-Feb-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
28-Feb-2019 - 00:00,33.73,0.0,25.15,30.73,783.42,0.0,0.0,0.0,0.0,0.0,1.44,6.76,0.1,218.65,3.6,1.11,8.37,0.49,63.36,70.93,01-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
01-Mar-2019 - 00:00,36.79,0.0,26.25,24.81,765.99,0.0,0.0,0.0,0.0,0.0,1.66,6.18,0.02,230.73,3.18,1.33,10.65,0.29,95.87,67.71,02-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
02-Mar-2019 - 00:00,48.65,0.0,29.08,28.17,753.76,0.0,0.0,0.0,0.0,0.0,2.73,7.08,0.87,185.13,4.27,1.34,9.97,0.85,87.65,78.83,03-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
03-Mar-2019 - 00:00,42.96,0.0,29.25,18.09,782.49,0.0,0.0,0.0,0.0,0.0,2.53,6.21,0.14,155.23,3.34,1.13,8.35,0.62,87.77,68.89,04-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
04-Mar-2019 - 00:00,47.34,0.0,28.04,35.21,778.38,0.0,0.0,0.0,0.0,0.0,2.95,6.21,0.09,163.5,3.2,1.17,8.34,0.41,47.15,80.17,05-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
05-Mar-2019 - 00:00,42.22,0.0,25.83,36.55,810.33,0.0,0.0,0.0,0.0,0.0,2.46,6.82,0.14,182.56,3.66,1.15,8.35,0.55,59.12,79.38,06-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
06-Mar-2019 - 00:00,39.71,0.0,25.76,25.34,805.53,0.0,0.0,0.0,0.0,0.0,1.71,6.51,0.08,183.38,3.45,0.91,8.59,0.63,77.04,72.98,07-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
07-Mar-2019 - 00:00,42.69,0.0,24.46,25.75,860.33,0.0,0.0,0.0,0.0,0.0,1.8,6.33,0.06,174.3,3.34,0.8,8.54,0.64,75.76,75.33,08-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
08-Mar-2019 - 00:00,0.0,0.0,32.72,13.32,832.6,0.0,0.0,0.0,0.0,0.0,2.13,8.44,47.54,156.23,51.83,13.9,8.61,0.83,84.38,,09-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
09-Mar-2019 - 00:00,,,29.65,22.81,785.19,0.0,,,,,2.14,8.79,85.64,184.53,69.87,19.12,8.24,0.74,56.86,,10-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
10-Mar-2019 - 00:00,,,29.74,21.13,755.12,0.0,,,,,2.0,7.59,176.56,155.28,152.17,25.3,8.35,0.62,62.21,,11-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
11-Mar-2019 - 00:00,,,29.9,19.89,778.93,0.0,,,,,2.05,7.08,223.81,173.6,200.96,61.46,8.44,0.65,50.87,,12-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
12-Mar-2019 - 00:00,46.75,,30.01,24.03,697.3,0.0,,,,,1.77,7.28,67.31,195.81,58.96,6.77,8.23,0.81,69.14,77.06,13-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
13-Mar-2019 - 00:00,45.35,,30.3,15.86,667.08,0.0,,,,,2.1,8.08,80.95,181.19,77.64,11.96,8.48,0.55,67.81,72.17,14-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
14-Mar-2019 - 00:00,39.73,,29.35,20.08,713.94,0.0,,,,,1.96,5.62,45.74,157.23,21.87,8.79,8.7,0.28,79.15,85.4,15-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
15-Mar-2019 - 00:00,32.37,,29.63,18.36,718.65,0.0,0.0,0.0,0.0,0.0,1.52,4.84,0.73,199.57,2.77,0.88,8.27,0.6,83.88,72.66,16-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
16-Mar-2019 - 00:00,33.65,,30.57,17.86,733.58,0.0,,,,,2.0,5.61,16.78,174.38,18.99,1.68,7.57,0.57,82.8,75.42,17-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
17-Mar-2019 - 00:00,38.81,,31.46,18.43,725.63,0.0,0.0,0.0,0.0,0.0,2.48,4.55,0.03,153.57,2.35,0.91,4.61,0.39,111.32,79.52,18-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
18-Mar-2019 - 00:00,30.36,0.0,29.63,19.12,873.27,0.0,0.0,0.0,0.0,0.0,1.76,4.43,9.08,191.93,6.87,1.68,5.46,0.44,104.08,77.62,19-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
19-Mar-2019 - 00:00,36.55,,30.81,16.37,749.49,0.0,,,,,1.87,6.19,3.79,154.54,6.04,0.86,46.44,0.71,87.22,73.57,20-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
20-Mar-2019 - 00:00,38.81,0.0,31.4,17.65,735.93,0.0,0.0,0.0,0.0,0.0,1.95,4.9,0.68,168.42,2.84,0.81,45.14,0.57,98.01,75.63,21-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
21-Mar-2019 - 00:00,44.46,0.0,30.92,20.95,795.37,0.0,0.0,0.0,0.0,0.0,1.87,5.3,0.63,179.4,3.1,0.77,32.47,0.54,61.41,76.67,22-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
22-Mar-2019 - 00:00,36.24,0.0,30.55,17.13,778.25,0.0,0.0,0.0,0.0,0.0,1.58,4.9,0.23,207.99,2.77,0.72,20.62,0.57,69.36,66.93,23-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
23-Mar-2019 - 00:00,38.51,0.0,31.23,17.14,733.22,0.0,0.0,0.0,0.0,0.0,1.67,5.24,4.83,188.46,4.86,1.8,27.45,0.62,68.85,80.58,24-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
24-Mar-2019 - 00:00,41.04,0.0,32.17,16.66,713.08,0.0,0.0,0.0,0.0,0.0,1.78,5.82,10.07,216.52,14.63,2.76,23.15,0.91,72.15,80.72,25-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
25-Mar-2019 - 00:00,43.43,0.0,33.26,17.14,755.82,0.0,0.0,0.0,0.0,0.0,1.5,5.77,0.93,190.53,3.89,0.73,21.99,0.91,75.67,82.74,26-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
26-Mar-2019 - 00:00,13.94,0.0,34.02,14.09,794.85,0.0,0.0,0.0,0.0,0.0,1.4,4.59,2.05,214.12,3.99,1.34,16.44,0.54,68.79,74.92,27-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
27-Mar-2019 - 00:00,21.31,0.0,32.73,13.25,751.39,0.0,0.0,0.0,0.0,0.0,1.86,5.64,0.38,211.62,3.19,0.53,25.3,0.95,50.29,77.37,28-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
28-Mar-2019 - 00:00,34.13,0.0,33.6,11.68,741.4,0.0,0.0,0.0,0.0,0.0,1.57,3.96,0.26,229.72,2.24,0.42,24.0,0.82,76.07,50.09,29-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
29-Mar-2019 - 00:00,29.25,0.0,34.15,13.47,751.03,0.0,0.0,0.0,0.0,0.0,1.68,3.95,0.66,234.85,2.52,0.43,9.7,0.99,95.25,25.0,30-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
30-Mar-2019 - 00:00,31.74,0.0,34.39,14.78,740.14,0.0,0.0,0.0,0.0,0.0,1.66,4.1,0.38,200.06,2.38,0.28,22.66,0.44,90.29,25.0,31-Mar-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
31-Mar-2019 - 00:00,9.89,,33.9,18.77,765.52,0.0,0.0,0.0,0.0,0.0,2.61,2.84,0.12,151.04,1.56,0.24,11.93,0.0,131.37,25.0,01-Apr-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
01-Apr-2019 - 00:00,20.89,,34.28,12.1,818.75,0.0,,,,,2.47,3.13,0.11,165.29,1.7,0.3,9.99,0.32,104.51,41.19,02-Apr-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
02-Apr-2019 - 00:00,38.84,0.0,34.35,17.64,758.76,0.0,0.0,0.0,0.0,0.0,2.1,3.81,0.19,158.22,2.03,0.38,39.76,0.55,78.5,63.52,03-Apr-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
03-Apr-2019 - 00:00,46.56,,34.82,16.6,762.14,0.0,,,,,1.7,5.01,0.36,173.99,2.89,0.52,20.07,0.72,82.24,88.51,04-Apr-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
04-Apr-2019 - 00:00,45.93,,35.26,16.93,706.89,0.0,0.0,0.0,0.0,0.0,2.33,4.27,0.1,220.36,2.21,0.41,15.69,0.69,85.89,95.14,05-Apr-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
05-Apr-2019 - 00:00,33.02,,33.27,26.55,756.64,0.0,,,,,1.89,5.83,0.1,162.53,3.06,0.43,20.61,0.57,79.32,72.71,06-Apr-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
06-Apr-2019 - 00:00,28.17,,34.34,17.74,781.32,0.0,,,,,2.12,4.92,0.09,174.51,2.59,0.41,15.81,0.46,89.18,78.42,07-Apr-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
07-Apr-2019 - 00:00,34.65,0.0,34.56,16.08,823.13,0.0,0.0,0.0,0.0,0.0,2.19,4.33,0.26,179.19,2.39,0.23,17.67,0.53,54.4,73.93,08-Apr-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
08-Apr-2019 - 00:00,27.05,,35.4,15.17,823.31,0.0,0.0,0.0,0.0,0.0,2.14,2.84,0.07,187.48,1.48,0.06,13.02,0.38,65.67,62.96,09-Apr-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
09-Apr-2019 - 00:00,12.22,,33.96,16.18,814.55,0.0,,,,,2.17,3.75,0.32,160.84,2.16,0.03,19.06,0.57,56.12,46.35,10-Apr-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
10-Apr-2019 - 00:00,30.64,0.0,37.96,9.73,903.58,0.0,0.0,0.0,0.0,0.0,2.02,2.79,0.11,173.74,1.39,0.04,11.59,0.36,86.64,105.82,11-Apr-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
11-Apr-2019 - 00:00,26.59,0.07,36.22,15.08,796.62,0.0,0.09,0.74,0.05,0.16,2.1,2.63,0.09,186.63,1.39,0.04,15.23,0.52,85.06,48.9,12-Apr-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
12-Apr-2019 - 00:00,37.73,0.0,35.68,14.63,764.91,0.0,0.0,0.0,0.0,0.0,1.76,3.33,0.17,207.97,1.83,0.06,18.28,0.53,77.5,81.84,13-Apr-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
13-Apr-2019 - 00:00,56.2,0.0,33.84,19.16,777.92,0.0,0.0,0.0,0.0,0.0,1.6,4.72,0.51,200.94,2.88,0.08,29.47,0.6,79.61,113.66,14-Apr-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
14-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,15-Apr-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
15-Apr-2019 - 00:00,40.92,0.0,35.42,20.18,305.83,0.01,0.0,0.0,0.0,0.0,2.04,3.88,0.4,209.41,1.93,0.02,10.08,0.48,89.66,70.14,16-Apr-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
16-Apr-2019 - 00:00,45.73,0.0,31.09,36.0,461.7,0.01,0.0,0.0,0.0,0.0,1.78,4.34,0.8,195.98,2.88,,0.73,0.59,68.88,81.93,17-Apr-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
17-Apr-2019 - 00:00,56.27,0.0,31.1,32.41,846.38,0.0,0.0,0.0,0.0,0.0,2.87,4.03,0.95,140.52,2.8,9.73,1.23,0.4,83.23,70.7,18-Apr-2019 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
