from date,CH4,PM10,CO,NO,NO2,NOx,Ozone,SO2,to date,station
11-Mar-2019 - 00:00,0.0,50.31,,4.03,20.5,24.99,12.33,15.8,12-Mar-2019 - 00:00,"Haldia, Haldia - WBPCB"
12-Mar-2019 - 00:00,0.0,85.23,0.0,3.48,21.89,24.9,14.38,10.18,13-Mar-2019 - 00:00,"Haldia, Haldia - WBPCB"
13-Mar-2019 - 00:00,0.0,83.56,,3.37,20.31,24.13,14.33,10.89,14-Mar-2019 - 00:00,"Haldia, Haldia - WBPCB"
14-Mar-2019 - 00:00,0.0,114.55,,3.4,26.59,30.44,18.18,15.05,15-Mar-2019 - 00:00,"Haldia, Haldia - WBPCB"
15-Mar-2019 - 00:00,0.0,85.15,,3.07,21.01,24.55,21.15,11.71,16-Mar-2019 - 00:00,"Haldia, Haldia - WBPCB"
16-Mar-2019 - 00:00,0.0,60.36,,3.76,32.51,36.74,15.82,9.75,17-Mar-2019 - 00:00,"Haldia, Haldia - WBPCB"
17-Mar-2019 - 00:00,0.0,86.22,0.0,3.67,36.62,40.45,17.62,11.29,18-Mar-2019 - 00:00,"Haldia, Haldia - WBPCB"
18-Mar-2019 - 00:00,0.0,49.52,0.0,4.05,24.38,28.52,18.2,8.74,19-Mar-2019 - 00:00,"Haldia, Haldia - WBPCB"
19-Mar-2019 - 00:00,0.0,59.72,,3.93,23.46,27.72,18.65,9.45,20-Mar-2019 - 00:00,"Haldia, Haldia - WBPCB"
20-Mar-2019 - 00:00,0.0,65.65,0.0,3.91,21.08,25.05,14.51,13.19,21-Mar-2019 - 00:00,"Haldia, Haldia - WBPCB"
21-Mar-2019 - 00:00,0.0,48.94,,3.72,18.8,22.97,16.71,14.53,22-Mar-2019 - 00:00,"Haldia, Haldia - WBPCB"
22-Mar-2019 - 00:00,0.0,40.65,0.0,3.44,19.03,22.75,13.52,12.11,23-Mar-2019 - 00:00,"Haldia, Haldia - WBPCB"
23-Mar-2019 - 00:00,0.0,62.03,,3.7,25.38,29.51,18.64,7.7,24-Mar-2019 - 00:00,"Haldia, Haldia - WBPCB"
24-Mar-2019 - 00:00,0.0,71.27,0.0,4.65,32.88,37.38,18.59,15.12,25-Mar-2019 - 00:00,"Haldia, Haldia - WBPCB"
25-Mar-2019 - 00:00,0.0,62.03,,3.91,33.04,37.42,21.67,15.31,26-Mar-2019 - 00:00,"Haldia, Haldia - WBPCB"
26-Mar-2019 - 00:00,,16.23,,3.18,24.13,27.8,16.82,15.62,27-Mar-2019 - 00:00,"Haldia, Haldia - WBPCB"
27-Mar-2019 - 00:00,,63.19,,3.62,25.11,29.18,17.96,16.31,28-Mar-2019 - 00:00,"Haldia, Haldia - WBPCB"
28-Mar-2019 - 00:00,,,,3.54,20.43,24.42,14.53,15.72,29-Mar-2019 - 00:00,"Haldia, Haldia - WBPCB"
29-Mar-2019 - 00:00,,15.13,,2.99,14.8,18.11,13.74,12.4,30-Mar-2019 - 00:00,"Haldia, Haldia - WBPCB"
30-Mar-2019 - 00:00,,,,3.22,15.02,18.67,13.06,12.83,31-Mar-2019 - 00:00,"Haldia, Haldia - WBPCB"
31-Mar-2019 - 00:00,,2.52,,3.03,13.25,16.71,13.58,11.63,01-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
01-Apr-2019 - 00:00,,,,3.36,17.44,21.23,15.49,12.01,02-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
02-Apr-2019 - 00:00,,,,,,,12.1,10.9,03-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
03-Apr-2019 - 00:00,,,,3.22,14.51,18.15,14.42,8.74,04-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
04-Apr-2019 - 00:00,,13.66,,3.34,12.95,16.74,11.6,13.53,05-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
05-Apr-2019 - 00:00,,20.91,,3.19,14.18,17.79,13.84,19.84,06-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
06-Apr-2019 - 00:00,,3.87,,3.57,17.79,21.77,14.8,15.96,07-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
07-Apr-2019 - 00:00,,28.95,,3.29,20.23,23.95,19.99,15.45,08-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
08-Apr-2019 - 00:00,,,,2.84,18.03,21.36,16.43,17.77,09-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
09-Apr-2019 - 00:00,,48.22,,3.49,17.7,21.64,14.47,11.67,10-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
10-Apr-2019 - 00:00,,,,3.31,13.69,17.46,14.1,11.96,11-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
11-Apr-2019 - 00:00,,,,3.24,13.0,16.65,10.08,15.98,12-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
12-Apr-2019 - 00:00,,,,3.48,15.77,19.69,12.56,17.62,13-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
13-Apr-2019 - 00:00,,,,3.73,20.07,24.27,17.87,10.58,14-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
14-Apr-2019 - 00:00,,,,2.98,11.87,15.32,14.43,12.14,15-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
15-Apr-2019 - 00:00,,,,2.84,11.08,14.39,12.53,14.22,16-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
16-Apr-2019 - 00:00,,,,4.27,13.08,17.67,16.61,12.73,17-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
17-Apr-2019 - 00:00,,,,9.0,7.0,16.0,21.38,17.44,18-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
18-Apr-2019 - 00:00,,,,5.67,21.01,26.94,21.94,10.59,19-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
19-Apr-2019 - 00:00,,,,2.95,27.3,30.71,21.06,13.56,20-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
20-Apr-2019 - 00:00,,,,2.45,18.43,19.2,23.37,12.52,21-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
21-Apr-2019 - 00:00,,,,2.91,16.72,20.11,14.09,15.09,22-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
22-Apr-2019 - 00:00,,12.62,,3.59,19.29,23.37,18.62,14.18,23-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
23-Apr-2019 - 00:00,,30.18,,3.12,19.17,22.71,18.09,19.41,24-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
24-Apr-2019 - 00:00,,38.75,,3.0,17.8,19.53,13.58,18.06,25-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
25-Apr-2019 - 00:00,,38.15,,3.23,16.06,19.72,10.69,9.9,26-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
26-Apr-2019 - 00:00,,57.52,,3.19,15.72,19.33,10.53,20.33,27-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
27-Apr-2019 - 00:00,,55.92,,2.89,12.58,15.77,11.91,16.64,28-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
28-Apr-2019 - 00:00,,46.25,,3.2,12.5,16.1,9.53,13.48,29-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
29-Apr-2019 - 00:00,,38.24,,3.21,12.71,16.35,8.57,17.79,30-Apr-2019 - 00:00,"Haldia, Haldia - WBPCB"
30-Apr-2019 - 00:00,,38.31,,3.1,13.22,16.7,9.5,15.85,01-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
01-May-2019 - 00:00,,22.96,,2.89,12.2,15.47,10.91,20.36,02-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
02-May-2019 - 00:00,,22.69,,3.7,12.4,16.55,10.85,17.35,03-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
03-May-2019 - 00:00,,27.57,,3.7,14.34,18.5,14.11,18.15,04-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
04-May-2019 - 00:00,,33.33,,3.9,17.32,21.22,16.16,18.85,05-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
05-May-2019 - 00:00,,75.03,,4.16,18.46,22.67,12.85,17.14,06-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
06-May-2019 - 00:00,,88.7,,3.2,15.31,18.56,17.16,17.94,07-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
07-May-2019 - 00:00,,78.16,,3.15,13.06,16.16,17.63,16.45,08-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
08-May-2019 - 00:00,,80.96,,3.19,12.19,15.38,15.6,16.15,09-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
09-May-2019 - 00:00,,79.82,,2.99,12.51,15.37,17.4,19.9,10-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
10-May-2019 - 00:00,,74.89,,3.19,12.4,15.58,18.26,20.98,11-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
11-May-2019 - 00:00,,65.4,,2.71,13.77,16.54,18.27,17.06,12-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
12-May-2019 - 00:00,,,,,,,,,13-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
13-May-2019 - 00:00,,41.35,,1.61,6.02,7.76,21.53,9.62,14-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
14-May-2019 - 00:00,,56.41,,1.22,6.21,7.3,23.42,13.51,15-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
15-May-2019 - 00:00,,58.55,,1.75,6.72,8.36,19.3,16.29,16-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
16-May-2019 - 00:00,,41.75,,2.37,7.23,9.52,19.83,15.19,17-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
17-May-2019 - 00:00,,50.78,,1.86,7.37,9.14,15.76,16.71,18-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
18-May-2019 - 00:00,,58.61,,2.38,8.76,8.66,15.37,18.55,19-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
19-May-2019 - 00:00,,56.05,,,,,16.94,24.57,20-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
20-May-2019 - 00:00,,55.73,,,,,17.0,24.67,21-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
21-May-2019 - 00:00,,55.9,,,,,15.25,22.16,22-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
22-May-2019 - 00:00,,54.99,,,,,15.27,18.04,23-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
23-May-2019 - 00:00,,,,,,,4.01,18.37,24-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
24-May-2019 - 00:00,,,,,,,3.79,14.36,25-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
25-May-2019 - 00:00,,,,,,,15.69,14.87,26-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
26-May-2019 - 00:00,,,,,,,14.78,14.51,27-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
27-May-2019 - 00:00,,60.1,,,,,18.97,14.54,28-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
28-May-2019 - 00:00,,62.22,,,,,17.82,14.32,29-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
29-May-2019 - 00:00,,57.42,,,,,22.55,14.6,30-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
30-May-2019 - 00:00,,59.17,,,,,17.87,16.47,31-May-2019 - 00:00,"Haldia, Haldia - WBPCB"
31-May-2019 - 00:00,,60.97,,,,,17.68,16.59,01-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
01-Jun-2019 - 00:00,,57.46,,,,,20.57,13.07,02-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
02-Jun-2019 - 00:00,,58.89,,,,,17.51,13.1,03-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
03-Jun-2019 - 00:00,,29.17,,,,,24.7,12.38,04-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
04-Jun-2019 - 00:00,,44.62,,,,,17.66,13.34,05-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
05-Jun-2019 - 00:00,,39.59,,,,,17.45,12.05,06-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
06-Jun-2019 - 00:00,,20.34,,,,,20.29,11.38,07-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
07-Jun-2019 - 00:00,0.0,22.83,0.0,,,0.0,19.92,11.74,08-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
08-Jun-2019 - 00:00,,19.95,,,,,20.09,11.93,09-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
09-Jun-2019 - 00:00,,47.5,,,,,19.91,12.13,10-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
10-Jun-2019 - 00:00,,49.52,,,,,19.51,11.75,11-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
11-Jun-2019 - 00:00,,49.3,,,,,26.65,11.56,12-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
12-Jun-2019 - 00:00,,54.86,,,,,19.32,10.6,13-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
13-Jun-2019 - 00:00,,52.37,,,,,30.8,12.64,14-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
14-Jun-2019 - 00:00,,53.59,,,,,28.44,11.08,15-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
15-Jun-2019 - 00:00,,39.37,,,,,23.29,11.23,16-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
16-Jun-2019 - 00:00,,50.87,,,,,23.68,11.52,17-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
17-Jun-2019 - 00:00,,64.01,,,,,21.58,10.86,18-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
18-Jun-2019 - 00:00,,94.78,,,,,25.51,11.51,19-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
19-Jun-2019 - 00:00,,58.48,,,,,26.7,10.75,20-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
20-Jun-2019 - 00:00,,52.54,,,,,16.26,11.27,21-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
21-Jun-2019 - 00:00,,26.07,,,,,15.56,11.91,22-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
22-Jun-2019 - 00:00,,26.64,,,,,20.08,10.86,23-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
23-Jun-2019 - 00:00,,17.97,,,,,16.82,10.92,24-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
24-Jun-2019 - 00:00,,33.06,,,,,16.74,11.5,25-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
25-Jun-2019 - 00:00,,33.69,,,,,13.21,12.15,26-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
26-Jun-2019 - 00:00,,28.62,,,,,12.59,11.76,27-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
27-Jun-2019 - 00:00,,36.05,,,,,14.34,11.57,28-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
28-Jun-2019 - 00:00,,33.79,,,,,22.96,9.62,29-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
29-Jun-2019 - 00:00,,60.03,,,,,22.39,10.36,30-Jun-2019 - 00:00,"Haldia, Haldia - WBPCB"
30-Jun-2019 - 00:00,,185.02,,,,,13.9,11.54,01-Jul-2019 - 00:00,"Haldia, Haldia - WBPCB"
01-Jul-2019 - 00:00,,25.09,,,,,14.0,12.85,02-Jul-2019 - 00:00,"Haldia, Haldia - WBPCB"
02-Jul-2019 - 00:00,,24.31,,,,,20.17,11.19,03-Jul-2019 - 00:00,"Haldia, Haldia - WBPCB"
03-Jul-2019 - 00:00,,27.98,,,,,20.17,11.32,04-Jul-2019 - 00:00,"Haldia, Haldia - WBPCB"
04-Jul-2019 - 00:00,,51.59,,,,,21.65,11.01,05-Jul-2019 - 00:00,"Haldia, Haldia - WBPCB"
05-Jul-2019 - 00:00,,42.44,,,,,15.58,10.91,06-Jul-2019 - 00:00,"Haldia, Haldia - WBPCB"
06-Jul-2019 - 00:00,,29.97,,,,,10.54,11.26,07-Jul-2019 - 00:00,"Haldia, Haldia - WBPCB"
07-Jul-2019 - 00:00,,47.7,,,,,12.83,14.24,08-Jul-2019 - 00:00,"Haldia, Haldia - WBPCB"
08-Jul-2019 - 00:00,,61.08,,,,,17.18,10.69,09-Jul-2019 - 00:00,"Haldia, Haldia - WBPCB"
09-Jul-2019 - 00:00,,50.74,,,,,17.12,9.6,10-Jul-2019 - 00:00,"Haldia, Haldia - WBPCB"
10-Jul-2019 - 00:00,,41.4,,,,,17.13,9.95,11-Jul-2019 - 00:00,"Haldia, Haldia - WBPCB"
11-Jul-2019 - 00:00,,52.47,,,,,15.26,11.23,12-Jul-2019 - 00:00,"Haldia, Haldia - WBPCB"
12-Jul-2019 - 00:00,,38.42,,,,,16.05,10.48,13-Jul-2019 - 00:00,"Haldia, Haldia - WBPCB"
