from date,PM10,O Xylene,WD,RH,SR,NO,NO2,NOx,Ozone,Temp,CO,WS,RF,PM2.5,NH3,SO2,Benzene,Toluene,MP-Xylene,Eth-Benzene,to date,station
11-Sep-2019 - 00:00,356.66,28.58,227.96,62.98,107.69,29.59,55.77,53.51,26.56,31.16,1.04,0.08,0.0,85.09,21.15,6.39,2.53,46.05,11.59,14.73,12-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
12-Sep-2019 - 00:00,340.77,17.38,257.78,66.15,84.67,11.34,39.3,29.85,20.47,30.37,0.53,0.06,0.0,66.41,18.48,5.98,1.8,29.69,7.79,8.9,13-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
13-Sep-2019 - 00:00,212.01,16.81,274.09,64.38,97.7,21.75,42.38,39.58,17.39,30.6,0.52,0.06,0.0,40.9,17.85,6.22,1.79,27.59,7.43,7.13,14-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
14-Sep-2019 - 00:00,209.2,13.65,244.35,64.31,80.85,13.2,34.51,28.67,20.14,29.87,0.57,0.05,0.0,30.24,17.6,6.17,1.25,22.73,6.14,5.47,15-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
15-Sep-2019 - 00:00,212.45,16.7,277.98,69.0,56.38,19.02,43.83,38.08,23.94,28.84,0.63,0.09,0.0,40.59,16.73,6.46,1.41,28.3,7.38,7.14,16-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
16-Sep-2019 - 00:00,258.16,20.35,272.87,64.93,88.66,25.34,63.92,53.08,30.15,29.98,0.79,0.12,0.0,62.47,11.65,6.43,2.02,34.04,7.27,9.07,17-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
17-Sep-2019 - 00:00,211.01,22.31,264.43,63.28,103.36,21.35,62.52,50.03,27.81,29.81,0.76,0.14,0.01,59.32,14.74,6.38,1.64,39.05,9.75,9.12,18-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
18-Sep-2019 - 00:00,218.27,15.43,177.02,59.37,113.02,9.42,88.96,54.29,32.42,29.64,0.35,0.05,0.0,41.64,16.09,7.41,1.02,27.8,6.97,6.87,19-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
19-Sep-2019 - 00:00,196.0,16.18,220.06,66.14,58.84,17.71,31.95,30.4,16.79,27.56,0.6,0.06,0.0,30.81,15.5,6.18,1.27,25.94,6.83,5.72,20-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
20-Sep-2019 - 00:00,329.04,22.75,256.69,64.21,89.16,31.28,38.5,45.38,12.0,28.7,0.63,0.1,0.0,50.59,16.06,6.56,1.66,37.18,8.78,10.14,21-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
21-Sep-2019 - 00:00,195.18,19.48,278.8,71.49,76.92,23.6,34.53,37.15,18.92,27.67,0.49,0.11,0.28,40.64,15.98,6.44,1.37,29.22,8.62,8.62,22-Sep-2019 - 00:00,"Sirifort, Delhi - CPCB"
