from date,Eth-Benzene,MP-Xylene,O Xylene,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,SO2,to date,station
24-Apr-2019 - 00:00,1.0,0.56,0.99,0.53,22.01,14.76,12.25,28.61,22.58,266.57,49.39,0.02,47.37,352.93,30.28,149.59,0.63,18.32,25-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
25-Apr-2019 - 00:00,1.34,0.69,1.37,1.05,38.33,29.4,9.33,33.12,14.94,103.05,37.93,0.03,50.84,388.97,29.18,151.42,0.63,7.28,26-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
26-Apr-2019 - 00:00,1.57,0.81,1.6,0.79,28.61,23.09,14.34,37.42,17.17,122.59,46.4,0.0,42.78,319.01,30.7,195.57,0.84,3.66,27-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
27-Apr-2019 - 00:00,1.33,0.67,1.39,0.93,35.08,24.28,31.44,55.71,12.89,161.46,50.27,0.0,36.51,264.85,31.22,290.39,0.87,5.38,28-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
28-Apr-2019 - 00:00,2.12,1.03,2.14,0.82,34.26,22.79,29.64,52.43,12.86,198.72,49.11,0.0,31.72,220.54,31.76,297.0,0.91,5.82,29-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
29-Apr-2019 - 00:00,2.13,1.04,2.15,1.02,27.56,20.07,34.51,54.57,12.87,163.79,53.52,0.0,27.29,171.05,31.74,239.8,0.62,9.72,30-Apr-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
30-Apr-2019 - 00:00,2.12,1.03,2.14,0.85,84.3,39.86,29.1,68.85,14.91,145.56,53.45,0.02,29.81,210.82,31.6,171.1,1.12,3.58,01-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
01-May-2019 - 00:00,2.13,1.04,2.17,1.03,66.26,33.93,29.86,63.77,17.35,128.67,49.78,0.0,34.68,250.61,30.99,165.3,0.67,10.95,02-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
02-May-2019 - 00:00,2.15,1.06,2.16,0.83,38.36,22.85,28.99,51.84,18.79,133.7,43.84,0.01,39.78,297.22,27.93,138.54,1.08,16.37,03-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
03-May-2019 - 00:00,2.12,1.08,2.15,0.75,36.68,22.58,30.73,53.3,23.81,93.67,44.57,0.0,34.21,241.38,29.4,251.49,0.9,14.62,04-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
04-May-2019 - 00:00,2.12,1.03,2.14,1.09,85.15,47.26,30.73,77.98,24.41,124.47,47.21,0.0,30.09,189.97,29.88,224.67,0.68,38.3,05-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
05-May-2019 - 00:00,2.12,1.03,2.14,1.18,130.19,68.51,31.36,99.8,25.2,133.75,48.48,0.0,30.85,204.54,30.29,176.69,0.46,42.43,06-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
06-May-2019 - 00:00,1.84,0.9,1.86,0.62,90.11,42.15,28.82,77.13,27.79,113.81,33.9,0.0,28.19,180.07,31.73,227.99,0.85,15.06,07-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
07-May-2019 - 00:00,0.06,0.1,0.08,0.71,28.65,19.63,40.73,61.2,18.31,142.74,32.26,0.03,23.87,125.55,33.91,163.71,0.66,21.22,08-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
08-May-2019 - 00:00,1.18,0.61,1.18,0.97,29.6,23.33,39.25,63.58,12.13,163.33,34.21,0.0,27.33,161.61,32.41,221.41,0.6,9.47,09-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
09-May-2019 - 00:00,2.12,1.06,2.15,1.17,25.1,20.85,40.05,60.89,22.06,210.39,47.21,0.0,30.05,192.38,32.24,222.27,0.61,10.29,10-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
10-May-2019 - 00:00,2.07,1.01,2.09,0.52,30.05,19.92,28.7,48.81,33.6,213.2,51.44,0.0,32.55,223.8,32.06,226.97,0.99,7.18,11-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
11-May-2019 - 00:00,2.13,1.04,2.16,0.71,35.67,23.22,31.29,54.51,27.35,131.06,46.48,0.0,37.29,275.65,30.3,200.03,0.84,27.21,12-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
12-May-2019 - 00:00,2.12,1.03,2.14,0.96,38.02,25.41,31.84,57.24,20.84,173.82,51.98,0.0,38.45,290.98,30.56,246.86,0.67,30.03,13-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
13-May-2019 - 00:00,2.13,1.04,2.15,0.73,36.86,24.47,32.33,56.36,24.74,184.74,52.0,0.01,43.79,320.74,29.26,168.68,0.93,25.61,14-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
14-May-2019 - 00:00,2.15,1.09,2.17,0.58,43.94,27.68,27.24,54.95,26.21,107.32,45.95,0.06,49.6,436.95,28.53,136.4,0.71,15.74,15-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
15-May-2019 - 00:00,2.06,1.03,2.1,0.71,46.57,30.98,24.21,55.3,25.6,140.74,42.45,0.0,54.18,453.79,28.11,183.47,0.96,12.31,16-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
16-May-2019 - 00:00,2.13,1.06,2.14,0.52,34.22,25.22,22.16,47.2,28.58,124.63,46.59,0.04,65.17,559.33,26.95,184.72,0.93,7.21,17-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
17-May-2019 - 00:00,1.96,1.0,1.98,0.56,33.44,26.66,22.72,49.92,17.54,127.54,41.48,0.08,75.35,604.61,23.64,206.73,0.89,17.69,18-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
18-May-2019 - 00:00,1.25,0.61,1.26,0.64,38.35,29.14,19.12,48.77,23.07,121.85,13.01,0.05,65.04,548.01,26.59,268.3,0.78,5.02,19-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
19-May-2019 - 00:00,1.17,0.57,1.18,0.72,29.84,23.68,23.24,46.92,24.52,165.93,38.29,0.09,53.49,442.21,29.94,246.4,0.74,33.48,20-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
20-May-2019 - 00:00,0.0,0.0,0.0,0.72,25.2,21.08,27.96,48.88,18.92,155.18,51.34,0.04,42.83,332.27,30.9,234.89,0.99,42.31,21-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
21-May-2019 - 00:00,0.0,0.0,0.0,0.78,23.97,20.01,30.1,50.09,16.94,161.3,54.46,0.03,36.42,266.85,32.61,274.36,0.74,24.34,22-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
22-May-2019 - 00:00,0.62,0.3,0.63,0.66,23.54,17.49,30.58,50.4,17.57,155.91,50.29,0.07,37.53,333.89,31.73,214.96,0.67,43.63,23-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
23-May-2019 - 00:00,2.97,0.53,1.57,0.61,32.96,24.9,26.8,51.67,22.49,122.85,45.87,0.01,47.65,395.63,29.72,141.34,1.08,26.39,24-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
24-May-2019 - 00:00,2.85,0.23,1.0,0.52,69.79,46.62,17.61,61.25,27.15,126.26,43.23,0.0,55.84,478.78,27.78,191.02,0.98,35.24,25-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
25-May-2019 - 00:00,3.39,0.2,1.15,0.5,32.16,23.89,22.83,46.25,27.95,106.86,43.03,0.0,52.28,447.37,27.94,281.87,1.05,7.73,26-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
26-May-2019 - 00:00,3.23,0.19,1.09,0.6,36.07,23.31,25.96,50.58,27.87,134.64,47.08,0.0,44.1,348.64,30.87,229.35,0.69,20.54,27-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
27-May-2019 - 00:00,2.11,0.74,0.54,0.66,28.82,20.67,30.42,51.4,22.14,162.73,42.35,0.0,30.98,209.31,32.76,302.21,0.99,12.59,28-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
28-May-2019 - 00:00,1.26,2.06,1.14,0.87,28.25,19.51,32.08,51.6,20.38,134.23,42.87,0.0,26.76,160.65,33.65,274.1,0.74,10.65,29-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
29-May-2019 - 00:00,0.88,1.4,2.29,0.92,23.52,17.21,31.51,48.69,21.96,135.14,43.0,0.0,29.89,194.94,35.07,239.72,0.64,9.11,30-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
30-May-2019 - 00:00,2.25,0.99,1.84,0.89,21.75,17.06,33.93,51.21,21.83,141.56,44.08,0.0,29.48,190.59,36.27,210.28,0.53,13.68,31-May-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
31-May-2019 - 00:00,2.04,1.5,1.29,0.74,18.6,16.39,30.12,46.51,19.98,165.55,42.0,0.0,30.01,198.99,36.62,234.93,0.63,3.46,01-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
01-Jun-2019 - 00:00,1.63,1.34,2.24,0.62,27.15,18.02,26.45,44.91,24.16,205.45,62.08,0.0,32.76,229.53,35.89,175.93,0.84,9.58,02-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
02-Jun-2019 - 00:00,0.34,0.66,0.91,0.67,35.43,22.35,25.14,48.14,46.82,198.28,-8.89,0.0,41.45,328.76,35.31,167.11,0.66,10.31,03-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
03-Jun-2019 - 00:00,0.91,1.78,2.48,0.6,42.2,27.23,20.86,48.06,45.92,187.43,24.34,0.0,48.62,402.86,34.6,128.71,0.99,7.65,04-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
04-Jun-2019 - 00:00,0.95,1.86,2.59,0.39,37.3,24.84,18.02,42.05,14.84,190.84,54.02,0.0,47.98,349.43,32.02,102.75,1.09,7.26,05-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
05-Jun-2019 - 00:00,1.29,2.52,3.51,0.59,39.95,28.63,15.19,43.82,9.26,189.27,28.47,0.0,40.66,259.75,35.5,185.56,0.68,7.69,06-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
06-Jun-2019 - 00:00,1.05,2.05,2.85,0.39,32.67,23.73,11.61,35.33,13.64,191.48,34.96,0.0,34.19,227.34,34.2,180.35,0.74,9.9,07-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
07-Jun-2019 - 00:00,1.29,2.52,3.51,0.45,34.14,23.73,9.42,33.09,29.58,105.22,33.45,0.0,38.52,273.78,32.66,147.7,0.61,9.31,08-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
08-Jun-2019 - 00:00,1.29,2.52,3.51,0.57,32.33,23.85,10.37,34.21,29.53,137.0,30.31,0.0,35.54,239.96,34.7,176.42,0.56,8.06,09-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
09-Jun-2019 - 00:00,1.29,2.52,3.51,0.48,28.57,22.51,7.8,30.04,29.59,121.97,30.16,0.0,30.89,204.8,35.59,228.68,0.55,8.25,10-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
10-Jun-2019 - 00:00,1.1,2.16,3.0,0.68,26.72,22.32,5.92,28.24,33.47,157.77,37.15,0.0,29.91,193.08,36.83,192.53,0.57,9.0,11-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
11-Jun-2019 - 00:00,0.67,1.3,1.81,0.59,25.13,30.45,5.08,29.85,21.98,187.91,35.57,0.0,32.03,231.68,36.43,153.79,0.97,11.29,12-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
12-Jun-2019 - 00:00,0.96,1.86,2.6,0.36,20.85,21.61,4.24,25.46,23.53,154.39,48.19,0.0,40.72,321.41,32.6,110.9,1.31,9.31,13-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
13-Jun-2019 - 00:00,0.68,1.33,1.85,0.46,26.81,25.77,5.16,26.9,19.93,72.35,51.58,0.0,41.59,302.95,33.13,171.35,0.77,8.29,14-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
14-Jun-2019 - 00:00,1.29,2.52,3.51,0.48,26.89,27.07,5.44,28.34,31.78,73.91,38.91,0.0,29.16,182.22,35.01,293.15,0.83,8.07,15-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
15-Jun-2019 - 00:00,1.03,2.02,2.81,0.48,25.35,24.53,5.06,27.8,41.45,122.45,49.03,0.0,34.16,250.7,33.69,198.23,0.8,9.43,16-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
16-Jun-2019 - 00:00,0.2,0.38,0.53,0.38,33.09,31.52,1.94,30.34,36.48,103.69,45.03,0.0,45.04,346.81,31.77,249.97,0.97,8.79,17-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
17-Jun-2019 - 00:00,0.96,1.88,2.62,0.39,42.15,36.51,35.88,46.82,32.05,172.79,61.87,0.03,59.44,403.88,31.1,226.28,1.21,7.67,18-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
18-Jun-2019 - 00:00,0.98,1.91,2.65,0.35,46.35,43.22,32.04,55.26,29.32,103.45,50.61,0.0,68.42,390.98,26.98,156.39,0.81,10.05,19-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
19-Jun-2019 - 00:00,1.29,2.52,3.51,0.48,43.8,39.74,34.1,53.83,29.78,205.21,85.27,0.0,57.77,419.13,31.16,224.25,0.71,16.76,20-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
20-Jun-2019 - 00:00,1.16,2.26,3.15,0.46,39.84,36.45,35.44,52.55,25.41,195.96,65.87,0.01,60.04,428.16,29.21,146.78,0.76,17.78,21-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
21-Jun-2019 - 00:00,1.29,2.52,3.51,0.51,40.89,37.89,34.95,52.85,22.19,127.83,49.4,0.0,54.93,375.82,30.77,238.56,0.68,4.4,22-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
22-Jun-2019 - 00:00,1.29,2.52,3.51,0.53,29.94,28.53,40.55,49.07,22.01,137.3,53.44,0.05,45.78,338.06,33.76,273.9,0.77,4.57,23-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
23-Jun-2019 - 00:00,1.18,2.3,3.21,0.43,33.31,29.3,40.46,49.76,29.94,165.7,59.31,0.25,54.6,373.31,32.96,196.31,0.97,4.28,24-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
24-Jun-2019 - 00:00,1.0,1.96,2.71,0.38,36.61,30.64,30.58,50.96,24.54,146.64,40.91,0.09,64.43,506.32,29.18,152.49,0.82,11.53,25-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
25-Jun-2019 - 00:00,1.16,2.27,3.16,0.43,42.73,37.08,15.58,53.16,37.12,225.24,41.16,0.14,60.64,425.55,31.62,125.18,0.63,15.5,26-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
26-Jun-2019 - 00:00,1.29,2.52,3.51,0.55,33.44,31.26,19.09,50.33,33.06,80.04,54.85,0.11,52.93,428.61,33.71,219.98,0.83,6.38,27-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
27-Jun-2019 - 00:00,0.93,1.81,2.53,0.43,28.35,26.22,23.19,47.5,31.74,132.66,46.2,0.06,46.92,376.24,33.04,230.13,1.06,21.64,28-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
28-Jun-2019 - 00:00,1.29,2.52,3.51,0.61,29.06,27.01,21.5,48.51,34.44,138.82,51.16,0.12,50.24,370.75,34.6,215.31,0.94,7.62,29-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
29-Jun-2019 - 00:00,0.8,1.6,2.9,0.33,23.41,23.06,23.86,46.74,23.12,127.66,48.75,0.02,49.51,393.13,35.22,214.59,0.8,7.78,30-Jun-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
30-Jun-2019 - 00:00,2.37,0.76,2.33,0.4,17.17,18.14,26.76,44.89,38.26,125.74,54.27,0.0,43.44,351.46,34.78,199.42,0.89,10.23,01-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
01-Jul-2019 - 00:00,1.7,1.05,2.25,0.65,16.7,18.03,26.78,44.81,26.26,151.93,63.64,0.0,51.91,424.47,33.8,174.9,0.86,10.87,02-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
02-Jul-2019 - 00:00,0.28,1.47,2.45,0.71,26.15,24.52,22.86,47.45,29.94,116.51,42.23,0.0,47.8,362.71,33.65,193.53,0.83,23.3,03-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
03-Jul-2019 - 00:00,1.27,2.52,1.67,0.94,40.89,32.31,21.41,53.94,37.07,160.45,55.83,0.0,59.34,463.32,34.27,171.98,0.8,11.94,04-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
04-Jul-2019 - 00:00,1.26,2.17,2.38,0.83,32.49,26.79,26.53,53.32,44.66,108.61,43.91,0.0,67.35,547.28,32.31,127.17,0.91,14.12,05-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
05-Jul-2019 - 00:00,1.68,0.86,2.25,0.85,25.33,21.99,30.24,52.22,40.44,118.64,48.22,0.0,65.89,516.18,32.04,146.68,0.77,11.8,06-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
06-Jul-2019 - 00:00,1.55,0.95,2.1,1.03,38.96,37.36,22.32,55.45,21.52,135.55,54.95,0.04,77.94,642.16,30.14,125.22,0.69,13.73,07-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
07-Jul-2019 - 00:00,1.46,0.51,1.27,0.76,65.35,74.7,18.63,80.16,23.93,86.64,32.58,0.08,71.96,561.7,31.89,146.02,0.78,8.67,08-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
08-Jul-2019 - 00:00,1.57,1.07,2.02,0.79,53.79,28.52,28.26,56.71,31.38,114.46,47.65,0.0,74.55,560.7,32.19,152.46,0.68,10.96,09-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
09-Jul-2019 - 00:00,2.94,1.6,2.55,0.73,55.56,26.92,27.56,54.48,25.47,145.46,25.56,0.06,82.32,399.81,28.97,107.99,0.86,10.36,10-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
10-Jul-2019 - 00:00,3.04,1.5,2.05,0.63,103.31,53.71,37.38,90.84,25.31,165.3,57.41,0.0,82.35,562.28,30.03,121.36,0.92,21.34,11-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
11-Jul-2019 - 00:00,1.85,1.72,0.86,0.8,66.73,30.37,29.82,65.12,30.71,163.7,96.17,0.04,88.51,378.35,29.41,105.28,0.7,14.95,12-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
12-Jul-2019 - 00:00,,,,0.28,236.1,94.42,75.73,170.15,19.28,154.3,41.89,,,472.82,29.64,102.39,0.47,187.6,13-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
13-Jul-2019 - 00:00,,,,0.51,131.85,90.41,56.39,159.11,25.87,133.34,30.09,,,467.86,28.48,128.54,0.54,82.94,14-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
14-Jul-2019 - 00:00,,,,0.62,179.56,79.58,50.65,130.22,22.61,133.98,34.65,,,326.77,24.93,126.96,0.78,84.4,15-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
15-Jul-2019 - 00:00,,,,0.73,130.48,50.45,35.19,85.63,21.89,115.1,43.69,,,569.48,26.54,119.27,0.75,103.69,16-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
16-Jul-2019 - 00:00,,,,0.86,131.98,49.35,36.18,85.47,24.1,71.04,69.39,,,467.22,25.56,144.75,0.78,80.07,17-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
17-Jul-2019 - 00:00,,,,1.21,102.94,35.66,29.08,64.72,30.97,79.85,33.95,,,553.18,27.57,135.37,0.58,56.79,18-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
18-Jul-2019 - 00:00,,,,1.21,119.68,38.72,29.63,68.23,22.19,116.0,34.17,,,588.55,28.83,122.78,0.65,7.42,19-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
19-Jul-2019 - 00:00,,,,0.88,91.93,28.75,27.75,56.48,43.89,74.48,21.87,,,522.25,27.91,111.0,0.76,16.18,20-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
20-Jul-2019 - 00:00,,,,1.52,90.91,25.38,32.74,59.31,34.11,152.54,29.36,,,543.18,28.81,120.66,0.77,22.42,21-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
21-Jul-2019 - 00:00,,,,1.88,106.56,32.87,20.86,53.72,31.1,83.43,26.7,,,510.73,30.35,115.2,0.57,28.51,22-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
22-Jul-2019 - 00:00,,,,1.98,76.71,21.34,20.99,42.32,29.85,91.35,40.65,,,499.79,31.18,107.66,0.6,22.92,23-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
23-Jul-2019 - 00:00,,,,1.82,93.68,29.14,31.79,60.91,33.48,111.2,44.1,,,493.02,31.42,133.45,0.41,29.7,24-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
24-Jul-2019 - 00:00,,,,1.44,117.84,34.5,26.42,60.92,25.89,107.26,47.14,,,505.01,32.06,183.36,0.49,38.4,25-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
25-Jul-2019 - 00:00,,,,1.1,90.82,24.16,24.44,51.86,24.04,262.49,22.79,,,738.91,19.65,106.02,0.8,24.37,26-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
26-Jul-2019 - 00:00,,,,0.96,132.36,40.71,26.72,67.43,31.12,123.21,36.19,,,700.01,16.56,112.38,0.62,44.75,27-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
27-Jul-2019 - 00:00,,,,1.21,82.2,25.05,25.47,49.45,16.24,67.59,27.54,,,730.89,15.79,93.09,0.74,31.63,28-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
28-Jul-2019 - 00:00,,,,1.54,59.03,13.12,12.94,26.77,27.73,60.42,16.57,,,645.89,17.61,73.33,0.8,40.19,29-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
29-Jul-2019 - 00:00,,,,1.75,57.96,13.73,17.06,30.65,29.25,55.74,25.55,,,606.81,18.76,127.43,0.56,23.4,30-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
30-Jul-2019 - 00:00,,,,1.54,156.99,45.53,18.99,64.48,20.64,98.94,27.44,,,691.07,17.26,143.83,0.89,45.17,31-Jul-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
31-Jul-2019 - 00:00,,,,1.31,151.05,45.18,34.64,79.82,13.87,51.9,18.67,,,699.51,15.16,87.5,0.9,31.95,01-Aug-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
01-Aug-2019 - 00:00,,,,1.59,131.1,38.97,32.62,71.59,19.14,66.64,30.75,,,705.66,15.64,78.41,1.04,17.17,02-Aug-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
02-Aug-2019 - 00:00,,,,1.32,128.61,36.94,32.22,74.12,33.55,70.35,23.2,,,753.02,15.26,99.93,0.54,47.97,03-Aug-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
03-Aug-2019 - 00:00,,,,1.26,116.08,36.15,31.89,68.03,34.69,92.4,42.21,,,696.11,17.03,121.2,0.53,72.93,04-Aug-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
04-Aug-2019 - 00:00,,,,1.17,200.39,68.95,43.4,115.05,29.07,87.33,40.58,,,660.8,18.24,183.77,0.42,73.77,05-Aug-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
05-Aug-2019 - 00:00,,,,0.86,137.4,45.62,30.67,78.27,15.24,117.35,40.56,,,704.95,18.59,140.94,0.41,28.42,06-Aug-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
06-Aug-2019 - 00:00,,,,0.54,155.04,52.42,35.34,87.75,18.79,128.57,36.0,,,709.96,17.81,145.73,0.61,5.38,07-Aug-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
07-Aug-2019 - 00:00,,,,0.54,55.9,20.23,11.2,31.54,9.97,110.94,34.67,,,642.19,18.38,138.25,0.49,5.53,08-Aug-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
08-Aug-2019 - 00:00,,,,0.54,24.68,12.61,4.37,17.21,9.39,145.22,37.4,,,600.96,19.28,178.13,0.52,6.82,09-Aug-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
09-Aug-2019 - 00:00,,,,0.57,42.81,20.71,8.3,29.0,5.24,95.15,28.37,,,759.73,16.11,98.71,0.65,5.47,10-Aug-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
10-Aug-2019 - 00:00,,,,0.51,20.84,9.37,5.02,15.03,10.89,150.73,31.12,,,667.95,17.79,98.28,0.66,6.87,11-Aug-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
11-Aug-2019 - 00:00,,,,0.54,26.19,10.99,6.61,17.58,12.88,118.81,32.72,,,627.72,18.68,152.48,0.58,5.38,12-Aug-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
12-Aug-2019 - 00:00,,,,0.61,14.62,6.57,4.9,11.48,15.25,133.66,45.3,,,718.16,17.95,152.11,0.55,5.6,13-Aug-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
13-Aug-2019 - 00:00,,,,0.52,12.99,5.04,4.26,9.3,16.67,77.8,22.1,,,752.08,16.75,136.98,0.47,5.24,14-Aug-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
14-Aug-2019 - 00:00,,,,0.51,13.73,5.14,4.71,10.79,14.63,119.22,23.47,,,693.14,17.54,117.86,0.68,5.36,15-Aug-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
15-Aug-2019 - 00:00,,,,0.52,28.92,11.35,7.68,19.03,18.48,80.7,21.58,,,707.16,17.6,145.21,0.41,8.23,16-Aug-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
16-Aug-2019 - 00:00,,,,0.46,15.19,5.66,5.16,10.78,17.97,86.61,28.27,,,693.16,17.21,121.2,0.61,11.12,17-Aug-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
17-Aug-2019 - 00:00,,,,0.43,26.12,11.22,7.09,18.3,12.33,90.12,26.97,,,775.19,13.83,99.61,0.59,11.52,18-Aug-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
18-Aug-2019 - 00:00,,,,0.36,164.86,63.71,29.06,94.11,18.41,79.71,12.15,,,707.94,15.03,150.84,0.56,12.19,19-Aug-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
19-Aug-2019 - 00:00,,,,0.67,97.06,41.04,17.4,60.22,16.08,71.79,21.12,,,711.58,15.47,172.6,0.67,12.18,20-Aug-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
20-Aug-2019 - 00:00,,,,1.15,45.72,19.33,10.32,29.66,35.16,96.19,27.93,,,662.21,16.84,227.33,0.52,11.89,21-Aug-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
21-Aug-2019 - 00:00,,,,1.42,12.91,10.77,5.55,16.32,24.07,130.23,42.82,,,647.28,17.92,197.36,0.46,11.74,22-Aug-2019 - 00:00,"Civil Line, Jalandhar - PPCB"
