from date,NO2,NH3,NOx,NO,CO,Ozone,SO2,Benzene,PM10,PM2.5,WD,WS,AT,to date,station
21-Mar-2019 - 00:00,16.6,40.3,20.3,9.26,2.65,14.86,7.12,0.0,79.69,53.99,267.76,0.58,26.23,22-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
22-Mar-2019 - 00:00,14.84,33.89,22.75,13.17,2.84,11.53,6.9,0.0,101.39,63.84,203.24,0.54,27.0,23-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
23-Mar-2019 - 00:00,17.56,38.58,25.29,12.92,2.76,11.54,6.84,0.0,125.26,74.92,190.06,0.53,26.47,24-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
24-Mar-2019 - 00:00,22.61,45.53,32.24,14.39,2.88,10.04,7.2,0.0,201.18,106.45,187.7,0.48,25.72,25-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
25-Mar-2019 - 00:00,24.4,43.1,38.39,18.89,3.06,10.96,7.91,0.0,230.15,122.86,184.96,0.49,26.34,26-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
26-Mar-2019 - 00:00,25.1,39.39,33.82,17.89,2.95,16.32,8.39,0.0,171.86,97.71,204.28,0.65,27.21,27-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
27-Mar-2019 - 00:00,20.74,42.6,26.06,11.71,2.72,13.91,7.54,0.0,165.98,89.69,187.13,0.56,27.35,28-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
28-Mar-2019 - 00:00,20.72,40.66,31.68,14.22,2.86,16.69,7.0,0.0,175.57,83.67,191.91,0.49,27.1,29-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
29-Mar-2019 - 00:00,28.22,35.87,38.02,17.05,3.11,18.58,8.26,0.0,209.62,113.72,222.78,0.49,27.64,30-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
30-Mar-2019 - 00:00,23.95,35.41,38.83,20.36,3.13,15.71,9.53,0.0,218.8,119.33,193.68,0.52,28.41,31-Mar-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
31-Mar-2019 - 00:00,19.53,39.32,34.45,17.77,3.15,20.8,8.89,0.0,213.18,109.83,206.98,0.59,29.72,01-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
01-Apr-2019 - 00:00,21.27,37.16,27.08,11.56,2.91,19.1,8.5,0.0,143.44,81.49,220.05,0.62,29.31,02-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
02-Apr-2019 - 00:00,24.25,38.69,32.51,14.9,2.99,11.03,7.74,0.0,169.63,90.72,181.55,0.56,29.28,03-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
03-Apr-2019 - 00:00,24.47,39.96,35.89,16.06,3.19,18.27,9.29,0.0,212.84,122.44,197.22,0.56,28.55,04-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
04-Apr-2019 - 00:00,23.79,64.81,35.72,18.43,3.26,21.58,9.62,0.0,222.9,127.82,213.44,0.7,29.5,05-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
05-Apr-2019 - 00:00,,,,,,,,,,,,,,06-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
06-Apr-2019 - 00:00,,,0.0,,0.0,,,0.0,3.97,0.0,272.66,1.06,37.01,07-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
07-Apr-2019 - 00:00,,,,,,,,,,,,,,08-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
08-Apr-2019 - 00:00,,,,,,,,,,,,,,09-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
09-Apr-2019 - 00:00,,,,,,,,,,,,,,10-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
10-Apr-2019 - 00:00,,,,,,,,,,,,,,11-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
11-Apr-2019 - 00:00,22.97,53.87,34.09,18.72,2.47,11.27,7.47,0.0,115.59,-9.36,185.04,0.72,30.67,12-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
12-Apr-2019 - 00:00,18.25,72.06,33.32,18.92,2.49,12.67,7.52,0.0,174.99,77.81,194.51,0.67,30.98,13-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
13-Apr-2019 - 00:00,19.23,97.66,28.22,12.98,2.24,16.88,7.48,0.0,158.38,75.13,222.2,0.67,31.11,14-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
14-Apr-2019 - 00:00,22.2,84.03,29.36,12.82,2.5,18.2,7.8,0.0,180.34,89.25,248.43,0.74,32.36,15-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
15-Apr-2019 - 00:00,23.66,77.22,44.0,22.19,2.93,7.63,9.54,0.0,254.86,131.6,233.84,0.46,28.82,16-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
16-Apr-2019 - 00:00,,,,,,,,,,,,,,17-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
17-Apr-2019 - 00:00,,,,,,,,,,,,,,18-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
18-Apr-2019 - 00:00,,,,,,,,,,,,,,19-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
19-Apr-2019 - 00:00,14.15,46.81,25.86,16.35,2.49,15.48,7.64,0.0,49.2,-24.4,173.53,0.97,27.79,20-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
20-Apr-2019 - 00:00,16.76,30.38,27.93,16.65,2.37,8.41,7.68,0.0,62.48,28.74,174.58,0.67,22.89,21-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
21-Apr-2019 - 00:00,,,,,,,,,,,,,,22-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
22-Apr-2019 - 00:00,19.15,38.35,68.98,58.34,2.09,23.49,7.72,0.0,70.1,0.0,175.83,0.83,31.25,23-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
23-Apr-2019 - 00:00,,,,,,,,,,,,,,24-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
24-Apr-2019 - 00:00,,,0.0,,0.0,,,0.0,121.32,37.56,236.53,0.82,33.11,25-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
25-Apr-2019 - 00:00,26.54,54.97,21.64,22.48,1.1,14.86,7.94,0.0,120.83,45.81,182.99,0.55,30.41,26-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
26-Apr-2019 - 00:00,21.51,48.18,30.26,14.28,2.12,12.76,7.85,0.0,133.03,62.1,222.22,0.73,33.35,27-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
27-Apr-2019 - 00:00,24.61,59.8,31.79,12.87,2.25,11.41,7.14,0.0,200.12,90.39,218.05,0.67,33.71,28-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
28-Apr-2019 - 00:00,24.63,76.32,32.79,14.57,2.35,13.6,7.14,0.0,227.06,99.03,200.03,0.74,33.33,29-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
29-Apr-2019 - 00:00,26.84,90.72,50.39,30.16,2.54,7.24,9.44,0.0,238.42,118.17,202.31,0.57,28.17,30-Apr-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
30-Apr-2019 - 00:00,17.13,60.88,20.24,25.55,1.56,19.39,7.92,0.0,74.37,-1.16,247.35,1.36,33.95,01-May-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
01-May-2019 - 00:00,16.87,80.78,17.86,7.99,2.22,10.13,6.31,0.0,53.02,18.18,243.52,1.07,32.35,02-May-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
02-May-2019 - 00:00,13.99,62.79,20.73,11.99,2.22,7.39,7.16,0.0,45.51,2.21,192.4,0.6,30.53,03-May-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
03-May-2019 - 00:00,12.16,77.11,15.88,11.86,2.04,6.5,5.85,0.0,35.83,-4.82,144.96,1.15,28.82,04-May-2019 - 00:00,"GM Office, Brajrajnagar - OSPCB"
