from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
17-Feb-2019 - 00:00,,,,,,,,,,,,,18-Feb-2019 - 00:00,"Pusa, Delhi - IMD"
18-Feb-2019 - 00:00,,,,,,,,,,,,,19-Feb-2019 - 00:00,"Pusa, Delhi - IMD"
19-Feb-2019 - 00:00,197.89,117.2,28.68,66.89,95.57,1.71,,32.0,5.17,2.72,79.7,6.78,20-Feb-2019 - 00:00,"Pusa, Delhi - IMD"
20-Feb-2019 - 00:00,126.45,72.26,30.3,62.01,92.31,1.24,,16.9,4.97,5.32,35.74,8.83,21-Feb-2019 - 00:00,"Pusa, Delhi - IMD"
21-Feb-2019 - 00:00,110.21,55.03,35.25,53.51,88.75,1.07,,20.26,4.18,5.55,9.32,5.6,22-Feb-2019 - 00:00,"Pusa, Delhi - IMD"
22-Feb-2019 - 00:00,94.22,49.68,13.77,28.83,42.6,0.83,,20.58,2.31,5.59,9.42,5.17,23-Feb-2019 - 00:00,"Pusa, Delhi - IMD"
23-Feb-2019 - 00:00,55.85,28.34,5.16,22.84,28.0,0.67,,28.72,1.75,3.65,13.71,3.41,24-Feb-2019 - 00:00,"Pusa, Delhi - IMD"
24-Feb-2019 - 00:00,94.84,57.83,9.74,34.43,44.17,0.82,,27.35,3.67,1.97,29.48,5.11,25-Feb-2019 - 00:00,"Pusa, Delhi - IMD"
25-Feb-2019 - 00:00,91.83,53.93,13.41,51.48,64.88,0.86,,22.55,3.64,1.13,37.66,6.12,26-Feb-2019 - 00:00,"Pusa, Delhi - IMD"
26-Feb-2019 - 00:00,73.02,40.91,12.42,46.32,58.74,0.74,,21.23,2.91,0.69,32.29,4.23,27-Feb-2019 - 00:00,"Pusa, Delhi - IMD"
27-Feb-2019 - 00:00,60.34,32.55,6.64,33.57,40.21,0.68,,21.04,2.38,0.25,36.23,3.9,28-Feb-2019 - 00:00,"Pusa, Delhi - IMD"
28-Feb-2019 - 00:00,103.55,59.32,27.49,45.06,72.55,0.92,,21.84,4.69,0.89,51.6,6.03,01-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
01-Mar-2019 - 00:00,101.42,59.48,21.47,44.17,65.64,0.91,,22.64,4.15,0.0,55.09,4.38,02-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
02-Mar-2019 - 00:00,101.71,65.25,31.22,64.42,95.64,1.01,,14.62,5.3,0.0,58.73,6.37,03-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
03-Mar-2019 - 00:00,74.05,49.3,21.98,41.44,63.42,0.91,,18.75,3.66,0.0,36.25,3.71,04-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
04-Mar-2019 - 00:00,125.36,81.59,41.77,46.33,88.09,1.21,,20.23,6.05,0.0,53.56,4.12,05-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
05-Mar-2019 - 00:00,,,,,,,,,,,,,06-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
06-Mar-2019 - 00:00,98.05,55.87,22.33,41.33,63.65,1.0,,21.05,4.22,0.0,45.79,3.64,07-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
07-Mar-2019 - 00:00,117.22,62.26,35.59,50.66,86.25,1.3,,24.62,5.19,0.0,79.2,4.13,08-Mar-2019 - 00:00,"Pusa, Delhi - IMD"
